AGIO,Agios Pharmaceuticals Inc,20170428,BRIEF-Agios announces closing of over-allotment option in public offering ,* Agios announces closing of over-allotment option in public offering,topStory
CHSCO,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing: sources ,SAO PAULO CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,topStory
CHSCO,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing -sources ,SAO PAULO  April 28 CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,normal
CHSCO,CHS Inc,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,normal
CHSCP,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing: sources ,SAO PAULO CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,topStory
CHSCP,CHS Inc,20170428,U.S. ag cooperative CHS hit by Brazil firm's bankruptcy filing -sources ,SAO PAULO  April 28 CHS Inc  the biggest U.S. agricultural cooperative  is among the largest creditors of Brazilian commodities trader Seara Ind e Com de Produtos Agropecuários Ltda  which filed for bankruptcy protection last week  two sources with knowledge of the situation told Reuters on Friday.,normal
CHSCP,CHS Inc,20170428,ADM hires chief risk officer from CHS in latest corporate shake-up ,LONDON/CHICAGO  April 28 Archer Daniels Midland Co has hired a chief risk officer from rival CHS Inc   the U.S. agribusiness confirmed on Friday  a further sign of an internal shake-up as a global grain glut pressures its profits.,normal
JVA,Coffee Holding Co Inc,20170428,BRIEF-Coffee holding's unit enters into an amended and restated loan and security agreement ,* On April 25  2017 co  unit entered into an amended and restated loan and security agreement with Sterling National Bank,topStory
CACC,Credit Acceptance Corporation,20170428,BRIEF-Credit acceptance announces extension of revolving secured warehouse facility ,* Credit Acceptance announces increase and extension of revolving secured warehouse facility,topStory
CYTR,CytRx Corporation,20170428,BRIEF-Cytrx Corp prices $15 mln public offering of common stock ,* Cytrx Corporation announces pricing of $15 million public offering of common stock,topStory
DBVT,DBV Technologies SA,20170428,BRIEF-Dbv Technologies cash position shrinks to EUR 227.0 mln ,* Cash and cash equivalents amounted to EUR 227.0 million ($246.5 million) as of March 31  2017 compared to EUR 256.5 million as of Dec 31  2016 Source text for Eikon: Further company coverage: ($1 = 0.9207 euros) (Gdynia Newsroom),topStory
FANG,Diamondback Energy Inc,20170428,BRIEF-Diamondback Energy CEO Stice's 2016 total compensation $22.1 mln ,* Diamondback Energy Inc CEO Travis Stice's 2016 total compensation $22.1 million versus $9.7 million in 2015 - SEC filing Source text: (http://bit.ly/2pq1rtR) Further company coverage:,topStory
DCIX,Diana Containerships Inc,20170428,BRIEF-Diana Containerships announces time charter contract ,* Diana containerships inc. Announces time charter contract for m/v sagitta with hapag-lloyd,topStory
DGII,Digi International Inc,20170428,BRIEF-Telenor says Digi earnings fell in Q1 ,* says Digi Malaysia Q1 ebitda before items nok 1.35 billion versus 1.43 billion,topStory
DRAD,Digirad Corporation,20170428,BRIEF-Digirad Corporation Q1 loss per share $0.10 ,* Digirad Corporation reports financial results for the first quarter ended March 31  2017,topStory
EGRX,Eagle Pharmaceuticals Inc,20170428,BRIEF-Eagle Pharmaceuticals says it is pursuing development of formulation of Fulvestrant ,* Eagle Pharmaceuticals Inc says pursuing development of formulation of Fulvestrant that contains no castor oil  requires one monthly injection - SEC filing,topStory
ERIC,Ericsson,20170428,Fitch Downgrades Ericsson to 'BBB'  Outlook Negative ,(The following statement was released by the rating agency) MOSCOW  April 28 (Fitch) Fitch Ratings has downgraded Telefonaktiebolaget LM Ericsson's Long-Term Issuer Default Rating (IDR) and senior unsecured rating to 'BBB' from 'BBB+'. The Outlook on the IDR is Negative. The downgrade and the Negative Outlook reflect operating and financial challenges facing Ericsson  at least over the next 18-24 months. Significant revenue pressure in the core networks segment and a re-sizing of the media and I,topStory
GRVY,GRAVITY Co Ltd,20170428,BRIEF-Gravity reports qtrly earnings per share $0.28 ,* Gravity reports first quarter of 2017 results and business update,topStory
HBHC,Hancock Holding Company,20170428,BRIEF-Whitney Bank acquires branches  certain assets and liabilities of First NBC Bank ,* Whitney acquiring branches  certain assets and liabilities of First NBC Bank from the FDIC,topStory
HBHCL,Hancock Holding Company,20170428,BRIEF-Whitney Bank acquires branches  certain assets and liabilities of First NBC Bank ,* Whitney acquiring branches  certain assets and liabilities of First NBC Bank from the FDIC,topStory
HOPE,Hope Bancorp Inc,20170428,BRIEF-Hope Bancorp Q1 earnings per share $0.27 ,* Qtrly net interest income before provision for loan losses $114 million versus $71 million Source text for Eikon: Further company coverage:,topStory
HBP,Huttig Building Products Inc,20170428,BRIEF-HUTTIG BUILDING ANNOUNCES DISTRIBUTION AGREEMENT WITH KNAUF INSULATION ,* HUTTIG BUILDING PRODUCTS INC SAYS WITH AGREEMENT  CO WILL DISTRIBUTE A VARIETY OF KNAUF INSULATION PRODUCTS Source text for Eikon: Further company coverage:,topStory
IDXX,IDEXX Laboratories Inc,20170428,BRIEF-Idexx Laboratories reports Q1 EPS $0.77 ,* Says increases 2017 eps outlook range by $0.10 to $2.95 - $3.11,topStory
IRMD,iRadimed Corporation,20170428,BRIEF-Iradimed posts Q1 adj. earnings per share $0.00 ,* Iradimed Corp - board of directors approved share repurchase program  authorizing repurchase of up to $8 million of co's common stock through April 28  2018,topStory
JAGX,Jaguar Health Inc,20170428,BRIEF-Jaguar signs distribution agreement JP Equine Services ,* Jaguar signs distribution agreement for japan for neonorm foal & neonorm calf,topStory
JBLU,JetBlue Airways Corporation,20170428,BRIEF-Jetblue Airways says entered into agreement with Goldman Sachs for accelerated share repurchase program ,* Jetblue Airways Corp - on April 27 entered into an agreement with Goldman Sachs & Co to implement an accelerated share repurchase program,topStory
KALU,Kaiser Aluminum Corporation,20170428,BRIEF-Kaiser Aluminum CEO Jack Hockema's FY 2016 total compensation $6 mln ,* CEO Jack Hockema's FY 2016 total compensation was $6 million versus $4.9 million in 2015 - SEC filing Source: (http://bit.ly/2oR0Rnf) Further company coverage:,topStory
LPNT,LifePoint Health Inc,20170428,BRIEF-Lifepoint Health Q1 earnings per share $1.46 ,* Q1 earnings per share view $1.02  revenue view $1.63 billion -- Thomson Reuters I/B/E/S Source text for Eikon: Further company coverage:,topStory
LIVN,LivaNova PLC,20170428,BRIEF-Livanova to unveil new data demonstrating perceval sutureless valve is safe  effective aortic valve replacement ,* Livanova to unveil new data further demonstrating the perceval sutureless valve is a safe and effective aortic valve replacement for patients,topStory
MBVX,MabVax Therapeutics Holdings Inc,20170428,BRIEF-Co-Diagnostics files for IPO of up to $10 mln ,* Says it intends to apply to list its common stock on Nasdaq under the symbol “CODX”,topStory
MTCH,Match Group Inc,20170428,BRIEF-Match Group CEO's 2016 compensation was $4 mln ,* Match Group Inc CEO Gregory Blatt's 2016 total compensation was $4 million Source text - http://bit.ly/2qoeQCb Further company coverage:,topStory
MTBC,Medical Transcription Billing Corp,20170428,BRIEF-Medical Transcription Billing sees 2017 rev of $30 mln to $31 mln ,* Medical transcription billing corp - company anticipates full year 2017 revenue of approximately $30 to $31 million,topStory
MTBCP,Medical Transcription Billing Corp,20170428,BRIEF-Medical Transcription Billing sees 2017 rev of $30 mln to $31 mln ,* Medical transcription billing corp - company anticipates full year 2017 revenue of approximately $30 to $31 million,topStory
MRUS,Merus NV,20170428,BRIEF-Merus reports Q4 loss per share eur 1.91 ,* Merus announces fourth quarter and full year 2016 financial results and corporate developments,topStory
MSFT,Microsoft Corporation,20170428,Microsoft Surface sales sink  shares dip ,Microsoft Corp slightly missed Wall Street's average revenue estimate for the latest quarter on Thursday  as sales of its Surface tablets and laptops slumped in the face of revamped competition in the personal computer market.,topStory
MSFT,Microsoft Corporation,20170428,Microsoft's silver lining: Surface loses  but Windows wins ,Microsoft Corp's lineup of Surface tablets  laptops and desktop computers has always been a paradox.,normal
MSFT,Microsoft Corporation,20170428,Microsoft's silver lining: Surface loses  but Windows wins ,April 27 Microsoft Corp's lineup of Surface tablets  laptops and desktop computers has always been a paradox.,normal
MDXG,MiMedx Group Inc,20170428,BRIEF-MiMedx Q1 earnings per share $0.04 ,* Q1 earnings per share view $0.07  revenue view $71.9 million -- Thomson Reuters I/B/E/S,topStory
TYPE,Monotype Imaging Holdings Inc,20170428,BRIEF-Monotype Q1 loss per share $0.03 ,* Monotype Imaging Holdings Inc - revenue for quarter was $52.5 million  an increase of 5%  year over year,topStory
MFSF,MutualFirst Financial Inc,20170428,BRIEF-MutualFirst Financial reappoints Richard Lashley to its board ,* MutualFirst Financial Inc announces re-appointment of richard j. Lashley to the board of directors,topStory
NCSM,NCS Multistage Holdings Inc,20170428,BRIEF-NCS Multistage Holdings prices IPO of 9.5 mln shares of common stock at $17/shr ,* Prices initial public offering of 9.5 million shares of common stock at a public offering price of $17.00 per share Source text for Eikon: Further company coverage:,topStory
NFLX,Netflix Inc,20170428,BRIEF-Iqiyi signs licensing agreement with Netflix for popular shows ,* Iqiyi signs licensing agreement with Netflix for popular shows,topStory
OPOF,Old Point Financial Corporation,20170428,BRIEF-Old Point Financial Q1 earnings per share $0.19 ,* Q1 net interest income $7.1 million versus $6.6 million Source text for Eikon: Further company coverage:,topStory
ORIT,Oritani Financial Corp,20170428,BRIEF-Oritani Financial Corp. qtrly earnings per share $0.54 ,* Oritani Financial Corp - net interest income increased by $1.6 million to $26.8 million for three months ended March 31  2017,topStory
OTTW,Ottawa Bancorp Inc,20170428,BRIEF-OTTAWA BANCORP Q1 EARNINGS PER SHARE $0.11 ,* OTTAWA SAVINGS BANCORP INC - NET INTEREST INCOME INCREASED BY $0.2 MILLION OR 12.4% TO $2.0 MILLION FOR THREE MONTHS ENDED MARCH 31  2017 Source text for Eikon: Further company coverage:,topStory
PBHC,Pathfinder Bancorp Inc,20170428,BRIEF-PATHFINDER BANCORP Q1 EARNINGS PER SHARE $0.19 ,* PATHFINDER BANCORP  INC. FIRST QUARTER NET INCOME UP 24% IN COMPARISON TO 2016,topStory
PLYA,Playa Hotels & Resorts NV,20170428,BRIEF-Playa Hotels & Resorts  unit enter amended  restated senior secured credit agreement ,* Playa Hotels & Resorts NV -  on April 27  2017  co  unit entered an amended and restated senior secured credit agreement - SEC filing,topStory
POLA,Polar Power Inc,20170428,BRIEF-Polar Power Q1 earnings per share $0.06 ,* Backlog totaled $1.0 million at march 31  2017  as compared to $3.1 million at december 31  2016.,topStory
BPOP,Popular Inc,20170428,Market braces for earnings from capital-stricken Popular ,LONDON  April 28 (IFR) - Banco Popular's Additional Tier 1 bonds plunged ahead of next Friday's first quarter earnings as concerns around the bank's liquidity position compounded worries over the state of its capital position.,topStory
PROV,Provident Financial Holdings Inc,20170428,BRIEF-Provident Financial Holdings announces extension of stock repurchase plan ,* Provident Financial Holdings announces extension of stock repurchase plan,topStory
PBIP,Prudential Bancorp Inc,20170428,BRIEF-Prudential Bancorp reports Q2 loss per share $0.27 ,* Prudential Bancorp Inc announces second quarter fiscal 2017 results and the completion of the Polonia Bancorp Inc acquisition,topStory
QCOM,QUALCOMM Incorporated,20170428,Qualcomm warns of profit hit as Apple battle intensifies ,Qualcomm Inc slashed its current-quarter profit and revenue forecasts on Friday  amid an escalating legal battle between the chipmaker and Apple Inc .,topStory
QCOM,QUALCOMM Incorporated,20170428,Qualcomm warns of profit hit as Apple battle intensifies ,Qualcomm Inc slashed its current-quarter profit and revenue forecasts on Friday  amid an escalating legal battle between the chipmaker and Apple Inc.,normal
