AMZN,Amazoncom Inc,20111007,Customer-service leader Zappos trips up ,* Project WMS like open heart surgery on moving train-CEO,topStory
DTYL,Barclays PLC,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DTYL,Barclays PLC,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
COWN,Cowen Inc,20111007,MOVES-CIBC  Cowen  Virgin Money ,Oct 7 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
ERIC,Ericsson,20111007,Deals of the day -- mergers and acquisitions ,Oct 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Friday:,topStory
ERIC,Ericsson,20111007,Sony in talks to buy Ericsson out of phone venture: source ,HELSINKI/TOKYO Sony Corp is in talks to buy out Ericsson's stake in their mobile phone joint venture  a source said  in a bid to catch up with rivals. | Video ,normal
ERIC,Ericsson,20111007,Sony to be Sony Ericsson owner in six months: poll ,STOCKHOLM Analysts see a strong chance that Japanese consumer electronics giant Sony  will succeed in buying out its joint-venture partner in mobile phone handset maker Sony Ericsson in the next half-year for around 10.6 billion Swedish crowns ($1.5 billion).,normal
ERIC,Ericsson,20111007,Ericsson says signs India's first TD-LTE deal ,NEW DELHI  Oct 7 Ericsson   the world's top telecoms gear maker  said on Friday it has signed India's first-ever equipment contract for a wireless broadband network based on fourth-generation TD-LTE technology.,normal
ERIC,Ericsson,20111007,Nikkei closes up on Europe hopes but posts mild weekly loss ,TOKYO The Nikkei stock average climbed on Friday for a second day of gains  helping to cut its losses for the week to just over 1 percent as hedge funds showed signs of tip-toeing back into the market  betting that the short-term bounce would hold. | Video ,normal
ERIC,Ericsson,20111007,Sony shares dip on report to buy Ericsson phone venture stake ,TOKYO Sony Corp  shares fell 1.8 percent in early trading after The Wall Street Journal reported on Thursday that the firm is nearing a deal to buy Telefon AB LM Ericsson's  half of their smartphone venture.,normal
ERIC,Ericsson,20111007,UPDATE 6-Sony in talks to buy Ericsson out of phone JV-source ,* Deal could be worth over $1.3 billion - JPMorgan analyst,normal
ERIC,Ericsson,20111007,Nikkei ends up on Europe hopes  posts mild weekly loss ,* Sony bucks trend  falls on Ericsson JV stake purchase news,normal
ERIC,Ericsson,20111007,NORDIC STOCKS - Factors to watch on Oct 7 ,HELSINKI  Oct 7 The following stocks may be affected by newspaper reports and other factors on Friday:,normal
ERIC,Ericsson,20111007,Market Chatter -- Corporate finance press digest ,BANGALORE  Oct 7 The following corporate finance-related stories were reported by media on Friday:,normal
ILMN,Illumina Inc,20111007,Snap Analysis: Gene sequencers edge away from Illumina's woes ,As Illumina Inc announced it was battling slower purchases by customers who depend on federal funding for research  several peers in gene sequencing rushed to reassure investors they don't have the same kind of risk exposure.,topStory
ILMN,Illumina Inc,20111007,Illumina outlook drags down genetic tools sector ,Shares of Illumina Inc  fell 35 percent and dragged down its peers on Friday  a day after the maker of genetic analysis tools forecast a weak third quarter on uncertainty related to research funding in the United States and Europe.,normal
ILMN,Illumina Inc,20111007,Snap Analysis: Gene sequencers edge away from Illumina's woes ,As Illumina Inc  announced it was battling slower purchases by customers who depend on federal funding for research  several peers in gene sequencing rushed to reassure investors they don't have the same kind of risk exposure.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
FLAT,iPath US Treasury Flattener ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
FLAT,iPath US Treasury Flattener ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
STPP,iPath US Treasury Steepener ETN,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
STPP,iPath US Treasury Steepener ETN,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
MSFT,Microsoft Corporation,20111007,EU clears Microsoft's Skype acquisition ,BRUSSELS Microsoft secured EU approval on Friday to purchase internet voice and video service Skype for $8.5 billion  its biggest ever acquisition.,topStory
MSFT,Microsoft Corporation,20111007,EU clears Microsoft's Skype acquisition ,BRUSSELS  Oct 7 Microsoft secured EU approval on Friday to purchase internet voice and video service Skype for $8.5 billion  its biggest ever acquisition.,normal
MSFT,Microsoft Corporation,20111007,RPT-UPDATE 3-Apple's lead over rivals could narrow without Jobs ,SEOUL/SEATTLE  Oct 6 If the death of Apple's inspirational leader means a slowdown in the company's blistering pace of innovation  it could give breathless rivals like Microsoft and Samsung a chance to catch up.,normal
MSFT,Microsoft Corporation,20111007,RPT-UPDATE 3-Apple's lead over rivals could narrow without Jobs ,SEOUL/SEATTLE  Oct 6 If the death of Apple's inspirational leader means a slowdown in the company's blistering pace of innovation  it could give breathless rivals like Microsoft and Samsung a chance to catch up.,normal
NFLX,Netflix Inc,20111007,Netflix strikes agreement with AMC for zombie show ,Netflix and AMC Networks Inc have signed a new licensing agreement that gives the popular streaming video service exclusive rights in the United States and Canada to the hit show "The Walking Dead.",topStory
NFLX,Netflix Inc,20111007,UPDATE 2-Netflix strikes agreement with AMC for zombie show ,Oct 7 Netflix and AMC Networks Inc have signed a new licensing agreement that gives the popular streaming video service exclusive rights in the United States and Canada to the hit show "The Walking Dead.",normal
NWS,News Corporation,20111007,Designer Hoppen accepts hacking damages from News Corp ,LONDON  Oct 7 British interior designer Kelly Hoppen has accepted 60 000 pounds ($92 300) in damages in settlement of her legal action over the phone hacking scandal which has engulfed Rupert Murdoch's News Corp media empire.,topStory
NWSA,News Corporation,20111007,Designer Hoppen accepts hacking damages from News Corp ,LONDON  Oct 7 British interior designer Kelly Hoppen has accepted 60 000 pounds ($92 300) in damages in settlement of her legal action over the phone hacking scandal which has engulfed Rupert Murdoch's News Corp media empire.,topStory
NUAN,Nuance Communications Inc,20111007,Deals of the day -- mergers and acquisitions ,Oct 7 The following bids  mergers  acquisitions and disposals involving European  U.S. and Asian companies were reported by 2100 GMT on Friday:,topStory
NUAN,Nuance Communications Inc,20111007,UPDATE 3-Nuance Communications snaps up Swype  eyes bigger mobile pie ,Oct 7 Speech recognition and digital imaging software maker Nuance Communications Inc bought rival Swype Inc for $102.5 million to enhance its offerings for the red hot smartphone and tablet market.,normal
REIS,Reis Inc,20111007,U.S. mall Q3 vacancy rate at 11-year high -report ,NEW YORK  Oct 7 The average vacancy rate for large U.S. shopping malls reached its highest level in 11 years in the third quarter  as department store closings took effect and retailers scaled back their floor space due to shaky consumer sentiment  according to a report issued on Friday.,topStory
ANF,Abercrombie & Fitch Company,20111007,UPDATE 1-Fitch cuts Italy  Spain ratings  outlook negative ,ROME  Oct 7 Fitch on Friday cut Italy's sovereign credit rating by one notch and Spain's by two  citing a worsening of the euro zone debt crisis and a risk of fiscal slippage in both countries.,topStory
AA,Alcoa Corporation,20111007,Earnings on deck as Europe eyed ,NEW YORK Investors tiring of the euro zone's debt crisis dragging the market all over the place are hoping to focus on something else next week -- earnings.,topStory
AMOV,America Movil SAB de CV,20111007,America Movil sees Telmex buyout bid in Nov: CEO ,MEXICO CITY Mexican mobile phone giant America Movil plans to launch its bid to buy the rest of fixed-line phone unit Telefonos de Mexico in mid-November  Chief Executive Officer Daniel Hajj said on Friday.,topStory
AMOV,America Movil SAB de CV,20111007,UPDATE 2-America Movil sees Telmex buyout bid in Nov -CEO ,MEXICO CITY  Oct 7 Mexican mobile phone giant America Movil plans to launch its bid to buy the rest of fixed-line phone unit Telefonos de Mexico in mid-November  Chief Executive Officer Daniel Hajj said on Friday.,normal
AMX,America Movil SAB de CV,20111007,America Movil sees Telmex buyout bid in Nov: CEO ,MEXICO CITY Mexican mobile phone giant America Movil plans to launch its bid to buy the rest of fixed-line phone unit Telefonos de Mexico in mid-November  Chief Executive Officer Daniel Hajj said on Friday.,topStory
AMX,America Movil SAB de CV,20111007,UPDATE 2-America Movil sees Telmex buyout bid in Nov -CEO ,MEXICO CITY  Oct 7 Mexican mobile phone giant America Movil plans to launch its bid to buy the rest of fixed-line phone unit Telefonos de Mexico in mid-November  Chief Executive Officer Daniel Hajj said on Friday.,normal
T,AT&T Inc,20111007,AT&T seeing "extraordinary demand" for new iPhone ,AT&T  said on Friday it has seen "extraordinary demand" for Apple Inc's  latest iPhone with over 200 000 pre-orders in the first 12 hours.,topStory
T,AT&T Inc,20111007,UPDATE 1-AT&T seeing "extraordinary demand" for new iPhone ,Oct 7 AT&T said on Friday it has seen "extraordinary demand" for Apple Inc's latest iPhone with over 200 000 pre-orders in the first 12 hours.,normal
SAN,Banco Santander SA,20111007,DealTalk: KBC close to Polish unit sale while BCP stalls ,WARSAW Belgian lender KBC  is moving quickly toward sealing a deal with Santander  for Kredyt Bank   defying expectations it would struggle to offload its Polish arm.,topStory
SAN,Banco Santander SA,20111007,DEALTALK-KBC close to Polish unit sale while BCP stalls ,* KBC's talks with Santander on Polish unit sale in final stretch-sources,normal
BAC,Bank of America Corporation,20111007,BofA to pay $11 million total to Price  Krawcheck ,Bank of America Corp  will pay $11 million to ousted executives Joe Price and Sallie Krawcheck  a large payout at a time when banks face protests over pay but smaller than the eight-figure packages some executives received before the financial crisis.,topStory
BAC,Bank of America Corporation,20111007,UPDATE 2-BofA to pay $11 mln total to Price  Krawcheck ,* One-time payments of $5.15 mln each; $850 000 over a year,normal
BAC,Bank of America Corporation,20111007,UPDATE 1-BofA to pay $11 mln to Price  Krawcheck ,Oct 7 Bank of America Corp said it will pay $11 million total to ousted executives Joe Price and Sallie Krawcheck  according to separation agreements filed by the bank Friday.,normal
BAC,Bank of America Corporation,20111007,Insight: Americans seethe as banks hit them with new fees ,Smoking outside a Bank of America branch in Chicago  restaurant worker Mike Dysangco complained about the "totally ridiculous" new banking fees.,normal
BAC,Bank of America Corporation,20111007,INSIGHT-Americans seethe as banks hit them with new fees ,Oct 7 Smoking outside a Bank of America  branch in Chicago  restaurant worker Mike Dysangco complained about the "totally ridiculous" new banking fees.,normal
BMO,Bank Of Montreal,20111007,Manitoba sells C$300 mln 5-yr debentures ,NEW YORK  Oct 7 The Canadian province on Manitoba sold C$300 million ($288 million) of five-year debentures on Friday  according to a term sheet seen by Reuters.,topStory
BCS,Barclays PLC,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,topStory
BCS,Barclays PLC,20111007,Barclays starts India Tech coverage; Rates Infy  HCL Tech 'overweight' ,MUMBAI  Oct 7 Barclays Capital has started coverage on the Indian technology sector with an overweight rating on Infosys Ltd. and HCL Technologies  citing higher growth rate for the next five years.,normal
BHP,BHP Billiton Limited,20111007,First Quantum eyes year-end restart of Ravensthorpe nickel mine ,SYDNEY  Oct 7 First Quantum Minerals Ltd  said nickel production is set to resume by the end of 2011 from Australia's Ravensthorpe mine following a two-year redevelopment programme.,topStory
BA,Boeing Company (The),20111007,Cargolux: no deal reached on Boeing 747 delivery ,Cargolux Airlines International  on Friday said it has made progress but has not reached a deal to resolve a contract dispute that abruptly blocked a scheduled delivery of the first Boeing Co  747-8 Freighter last month.,topStory
BA,Boeing Company (The),20111007,Cargolux  Boeing keep talking on 747 dispute ,BRUSSELS  Oct 7 Freight carrier Cargolux Airlines International said on Friday progress had been made to resolve a dispute that has delayed its acceptance of the first Boeing Co 747-8 freighter and that discussions would continue over the weekend.,normal
BA,Boeing Company (The),20111007,Airbus suppliers ready to boost output despite credit woes ,PARIS  Oct 7 Airbus suppliers are ready to keep up with possible record production of 48-50 narrowbody jets a month but some of the industry's smallest parts manufacturers are struggling due to a lending clampdown by French banks  the head of French aerospace supplier Zodiac  said on Friday.,normal
CM,Canadian Imperial Bank of Commerce,20111007,MOVES-CIBC  Cowen  Virgin Money ,Oct 7 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20111007,UPDATE 2-BofA to pay $11 mln total to Price  Krawcheck ,* One-time payments of $5.15 mln each; $850 000 over a year,topStory
C,Citigroup Inc,20111007,New Issue-BG Energy Capital sells $3 bln in 3 parts ,Oct 7 BG Energy Capital PLC on Thursday sold $3 billion of senior unsecured notes in three parts in the 144a private placement market  said IFR  a Thomson Reuters service.      Barclays Capital  Citigroup  Mizuho  and RBC were the joint bookrunning managers for the sale. BORROWER: BG ENERGY CAPITAL PLC TRANCHE 1 AMT $750 MLN      COUPON 2.875 PCT    MATURITY 10/15/2016 TYPE SR NTS       ISS PRICE 99.833    FIRST PAY 4/15/2012 MOODY'S A2        YIELD 2.911 PCT     SETTLEMENT 10/12/201,normal
CMC,Commercial Metals Company,20111007,UPDATE 2-Commercial Metals to cut 1480 jobs  exit Croatia mill ,Oct 7 Steel maker and metals recycler Commercial Metals said it would cut 1 480 jobs as it moves to exit its underperforming steel pipe making operations in Croatia and shut down some other facilities.,topStory
COP,ConocoPhillips,20111007,UPDATE 3-ConocoPhillips names insiders to head new units ,HOUSTON  Oct 7 Integrated oil major ConocoPhillips named two company insiders on Friday to head its oil and gas production and refining units  whose separation is expected to be completed in the second quarter of next year.,topStory
CLR,Continental Resources Inc,20111007,UPDATE 1-Continental Resources may meet top end of FY output view ,Oct 7 Independent oil and natural gas company Continental Resources expects to meet the upper-end of its production-growth forecast for 2011 on the back of a strong third quarter.,topStory
DAL,Delta Air Lines Inc,20111007,AMR financial woes stoke merger prospects: experts ,Troubles at American Airlines  a unit of AMR Corp   could bring the airline closer to a merger with US Airways   especially if American opts to restructure in bankruptcy someday  experts say.,topStory
DB,Deutsche Bank AG,20111007,New Issue-Daimler prices 400 mln euro 2013 FRN ,Notes                   Launched under issuer's EMTN programme,topStory
DB,Deutsche Bank AG,20111007,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  October 07  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	     ,normal
DB,Deutsche Bank AG,20111007,SPARTAN CAPITAL HOLDINGS INVITES POLKOMTEL FINANCE 2015 FRN POLISH ZLOTY NOTEHOLDERS TO TENDER NOTES FOR CASH ,LONDON  Oct 7 (IFR) - Spartan Capital Holdings has invited holders of the Polkomtel Finance 2015 Polish Zloty FRN to tender their notes for cash.,normal
D,Dominion Energy Inc,20111007,NRC not ready to allow restart of Virginia reactors ,NEW YORK  Oct 7 The U.S. Nuclear Regulatory Commission said Friday it will hold a meeting on Oct. 21 to discuss the restart readiness of U.S. power company Dominion's North Anna nuclear power plant in Virginia  which shut down safely following the Aug. 23 earthquake in Virginia.,topStory
DCUD,Dominion Energy Inc,20111007,NRC not ready to allow restart of Virginia reactors ,NEW YORK  Oct 7 The U.S. Nuclear Regulatory Commission said Friday it will hold a meeting on Oct. 21 to discuss the restart readiness of U.S. power company Dominion's North Anna nuclear power plant in Virginia  which shut down safely following the Aug. 23 earthquake in Virginia.,topStory
