FLWS,1-800 FLOWERSCOM Inc,20110803,UPDATE 4-Sears hires former FreshDirect exec as CMO-memo , * Names Monica Woo as VP and chief marketing officer: memo,topStory
GOOG,Alphabet Inc,20110803,UPDATE 1-British Library offers e-classics app for iPad , LONDON  Aug 3  - Frankenstein  Oliver Twist and Robinson Crusoe could all be lurking on your iPad if you download a new application launched by the British Library this week which provides access to over 45 000 historical and antiquarian titles.,normal
AMAG,AMAG Pharmaceuticals Inc,20110803,Deals of the day -- mergers and acquisitions , (Adds Grupo Aeroportuario del Pacifico (GAP)  Thomson Reuters),topStory
AMZN,Amazoncom Inc,20110803,Google+  Apple's iCloud keep developers keen ,TORONTO Mobile developers more than ever want to devote their energies to writing apps for Apple's iOS and Google's Android platforms at the expense of their less popular rivals  a study released on Wednesday showed.,topStory
AMZN,Amazoncom Inc,20110803,Google+  Apple's iCloud keep developers interested , TORONTO  Aug 3 Mobile developers more than ever want to devote their energies to writing apps for Apple's iOS and Google's Android platforms at the expense of their less popular rivals  a study released on Wednesday showed.,normal
AMGN,Amgen Inc,20110803,FDA: Generic biotech drugs require paradigm shift , * Must evaluate "totality of evidence" for biotech copies,topStory
AAPL,Apple Inc,20110803,British smartphone use soaring  led by teens: survey ,LONDON Teenage Britons are spending more and more time using smartphones to make calls  send texts and use social networking sites  and more than half of those that own the devices claim to be addicted to them  regulator Ofcom said on Thursday.,topStory
AAPL,Apple Inc,20110803,British smartphone use soaring  led by teens - survey , LONDON  Aug 4 Teenage Britons are spending more and more time using smartphones to make calls  send texts and use social networking sites  and more than half of those that own the devices claim to be addicted to them  regulator Ofcom said on Thursday.,normal
AAPL,Apple Inc,20110803,UPDATE 3-RIM tilts at iPhone with new BlackBerry phones ,   * RIM says browser 40 percent faster than original Torch,normal
AAPL,Apple Inc,20110803,Time Inc to make all titles available on tablets ,NEW YORK Time Inc plans to make all 21 of its magazines  including Real Simple and Entertainment Weekly  available on leading tablet computers by the end of the year  the publishing arm of Time Warner said on Wednesday.,normal
AAPL,Apple Inc,20110803,British Library offers e-classics app for iPad ,LONDON  - Frankenstein  Oliver Twist and Robinson Crusoe could all be lurking on your iPad if you download a new application launched by the British Library this week which provides access to over 45 000 historical and antiquarian titles.,normal
AAPL,Apple Inc,20110803,UPDATE 1-British Library offers e-classics app for iPad , LONDON  Aug 3  - Frankenstein  Oliver Twist and Robinson Crusoe could all be lurking on your iPad if you download a new application launched by the British Library this week which provides access to over 45 000 historical and antiquarian titles.,normal
AAPL,Apple Inc,20110803,RIM launches two new BlackBerry Torch phones ,TORONTO Research In Motion went on the offensive on Wednesday  unveiling two new and powerful versions of its touchscreen BlackBerry Torch  including an all-touch model  as it seeks to regain ground lost to Apple and Google.,normal
AAPL,Apple Inc,20110803,Time Inc to make all titles available on tablets , NEW YORK  Aug 3 Time Inc plans to make all 21 of its magazines  including Real Simple and Entertainment Weekly  available on leading tablet computers by the end of the year  the publishing arm of Time Warner  said on Wednesday.,normal
AAPL,Apple Inc,20110803,Google+  Apple's iCloud keep developers keen ,TORONTO Mobile developers more than ever want to devote their energies to writing apps for Apple's iOS and Google's Android platforms at the expense of their less popular rivals  a study released on Wednesday showed.,normal
AAPL,Apple Inc,20110803,RIM launches two new BlackBerry Torch phones ,TORONTO Research In Motion  on Wednesday took the wraps off two more powerful versions of its touchscreen BlackBerry Torch  aiming to buy time until it can introduce a radically new software package in its smartphones.,normal
AMAT,Applied Materials Inc,20110803,GT Solar results  MEMC deal cheer investors ,LOS ANGELES Solar investors on Wednesday cheered better-than-expected results from equipment maker GT Solar International Inc and MEMC Electronic Materials Inc's newest purchase of a solar project developer  sending both stocks up in extended trade.,topStory
AMAT,Applied Materials Inc,20110803,WRAPUP 1-GT Solar results  MEMC deal cheer investors , LOS ANGELES  Aug 3 Solar investors on Wednesday cheered better-than-expected results from equipment maker GT Solar International Inc  and MEMC Electronic Materials Inc's  newest purchase of a solar project developer  sending both stocks up in extended trade.,normal
AMAT,Applied Materials Inc,20110803,GT Solar profit tops Wall Street view  shares rise ,NEW YORK Solar equipment maker GT Solar International Inc on Wednesday reported higher-than-expected quarterly earnings and said its backlog of orders had risen to record levels  lifting its share price.,normal
AMAT,Applied Materials Inc,20110803,UPDATE 1-GT Solar profit tops Wall St view  shares rise , NEW YORK  Aug 3 Solar equipment maker GT Solar International Inc  on Wednesday reported higher-than-expected quarterly earnings and said its backlog of orders had risen to record levels  lifting its share price.,normal
CAR,Avis Budget Group Inc,20110803,Avis Budget's Q2 beats  shares rise ,BANGALORE Car rental company Avis Budget Group  posted better-than-expected quarterly results helped by strong travel demand  sending its shares up 4 percent in extended trade.,topStory
CAR,Avis Budget Group Inc,20110803,UPDATE 2-Avis Budget's Q2 beats  shares rise , * Shares up 4 pct in extended trade   (Compares with analysts' estimates  adds background in paragraphs 3 & 4  adds shares),normal
BIDU,Baidu Inc,20110803,China's Tudou to launch $120 mln U.S. IPO this week -IFR , SHANGHAI  Aug 3 Chinese online video website Tudou Holdings is ready to launch its $120 million U.S. initial public offering this week after postponing it in November  IFR reported on Wednesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DLBL,Barclays PLC,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DLBL,Barclays PLC,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DLBL,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DLBL,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DLBL,Barclays PLC,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DLBL,Barclays PLC,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DTYL,Barclays PLC,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DTYL,Barclays PLC,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DTYL,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DTYL,Barclays PLC,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DTYL,Barclays PLC,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DTYL,Barclays PLC,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
CECO,Career Education Corporation,20110803,UPDATE 1-Career Education Q2 new enrollment down  shares fall , Aug 3 Career Education's second-quarter profit beat market expectations  but new student enrollment fell 14 percent at its colleges  as the for-profit education provider was hurt by changes to its enrollment practices and higher competition.,topStory
CME,CME Group Inc,20110803,UPDATE 4-ICE profit jumps as another exchange beats Street , * Robust Brent  Gasoil trading helps 19 pct earnings rise,topStory
CME,CME Group Inc,20110803,UPDATE 1-WTI no longer reflects global oil price--ICE CEO , * ICE's Brent contract shot to record highs this year  (Adds background  quotes  byline),normal
CME,CME Group Inc,20110803,WTI no longer reflects global oil price--ICE CEO , NEW YORK  Aug 3 The head of futures exchange IntercontinentalExchange Inc  said Wednesday the WTI crude contract no longer reflected global oil prices  adding that the price divergence from the Brent contract "may continue for some time.",normal
CMCSA,Comcast Corporation,20110803,Big media's profits defy gloomy outlook  for now ,NEW YORK Big media companies reported strong results but a bleak economic outlook has investors worried over whether they can deliver again in the face of high unemployment and slumping U.S. consumer spending.,topStory
CMCSA,Comcast Corporation,20110803,WRAPUP 2-Big media's profits defy gloomy outlook  for now , * Comcast: Concerned about economy  but advertising strong,normal
CMCSA,Comcast Corporation,20110803,Hulu follows Netflix down original content path ,NEW YORK Hulu  the popular TV show website  is trying its hand at commissioning its own shows at a time when its programing partners are starting to trim back the availability of content.,normal
CMCSA,Comcast Corporation,20110803,Hulu follows Netflix down original content path , * Hulu to run Morgan Spurlock six-part documentary series,normal
CMCSA,Comcast Corporation,20110803,REFILE-UPDATE 2-Comcast profit up on Web subscribers  ad sales , (Refiled to insert 'added' in first sentence of paragraph two),normal
CMCSA,Comcast Corporation,20110803,Time Warner Cable extends CEO employment contract ,NEW YORK Time Warner Cable Inc has extended the employment contract of Chief Executive Glenn Britt by one year to December 2013  according to a regulatory filing.,normal
CMCSA,Comcast Corporation,20110803,UPDATE 1-Time Warner Cable extends CEO employment contract , * New CFO Esteves to earn up to $5 mln a year  (Adds analyst quote),normal
CMCSA,Comcast Corporation,20110803,US STOCKS-Stocks set to bounce after selloff  ADP , * Futures up: Dow 41 pts  S&P 5.9 pts  Nasdaq 9 pts,normal
CMCSA,Comcast Corporation,20110803,US STOCKS-Futures rise after selloff  S&P support eyed , * Futures up: Dow 22 pts  S&P 3.4 pts  Nasdaq 5.75 pts,normal
CMCSA,Comcast Corporation,20110803,US STOCKS-Futures point to gains after selloff , * Futures up: Dow 54 pts  S&P 6 pts  Nasdaq 10.75 pts,normal
DNKN,Dunkin&#39; Brands Group Inc,20110803,Dunkin' Donuts  Baskin-Robbins eye price increases ,LOS ANGELES Dunkin' Brands Group Inc  said on Wednesday its franchisees are raising prices at Dunkin' Donuts and Baskin-Robbins stores to help cover the higher costs of key ingredients such as coffee and milk.,topStory
DNKN,Dunkin&#39; Brands Group Inc,20110803,UPDATE 3-Dunkin' Donuts  Baskin-Robbins eye price increases , * Shares down 4 percent in midday trading  (Rewrites throughout; adds company comment; changes dateline to LOS Angeles; updates share activity),normal
EBAY,eBay Inc,20110803,RPT-Back-to-school U.S. shoppers want a D-E-A-L , * Longer supply lists  smaller budgets squeeze US shoppers,topStory
GRMN,Garmin Ltd,20110803,Garmin sees gloom before revival in late-2012  shares down ,BANGALORE Garmin Ltd's efforts to revive waning sales of its once popular personal navigation devices will only bear fruit in the second half of next year  as many consumers have turned to free navigation apps on their smartphones and tablets.,topStory
GRMN,Garmin Ltd,20110803,UPDATE 4-Garmin sees gloom before revival in late-2012  shares down , BANGALORE  Aug 3 Garmin Ltd's efforts to revive waning sales of its once popular personal navigation devices will only bear fruit in the second half of next year  as many consumers have turned to free navigation apps on their smartphones and tablets.,normal
GRMN,Garmin Ltd,20110803,CORRECTED-UPDATE 2-Garmin forecasts gloomy 2011 on margin squeeze  shares slump , Aug 3 Garmin Ltd forecast full-year earnings well below analysts' expectations and posted a lower-than-expected quarterly profit  as revenue from its more profitable products gets deferred  pressuring margins.,normal
ICON,Iconix Brand Group Inc,20110803,Ex-Playboy CEO's husband settles insider trading charges ,NEW YORK The husband of former Playboy Enterprises Inc Chief Executive Christie Hefner agreed to pay $168 352 to settle regulatory charges that he engaged in insider trading of the publisher's shares based on information he learned from his wife.,topStory
ICON,Iconix Brand Group Inc,20110803,UPDATE 3-Ex-Playboy CEO Hefner's husband in SEC insider pact , * Hugh Hefner took Playboy private in 2011  (Adds paragraph 4  Playboy and Christie Hefner statements),normal
INTC,Intel Corporation,20110803,"State actor" behind slew of cyber attacks ,BOSTON Security experts have discovered an unprecedented series of cyber attacks on the networks of 72 organizations globally  including the United Nations  governments and corporations  over a five-year period. | Video ,topStory
INTC,Intel Corporation,20110803,UPDATE 5-'State actor' behind slew of cyber attacks , * 'Operation Shady RAT' took data from at least 72 victims,normal
INTC,Intel Corporation,20110803,Intel Capital invests in three Chinese tech companies , Aug 3 Intel Capital  the investment arm of Intel Corp   has invested $22 million in three Chinese technology companies  the company president said on Wednesday.,normal
INTC,Intel Corporation,20110803,UPDATE 1-Biggest-ever series of cyber attacks uncovered  UN hit , * Security firm McAfee discloses unprecedented attacks,normal
INTC,Intel Corporation,20110803,Biggest-ever series of cyber attacks uncovered  UN hit , * 'Operation Shady RAT' took data from at least 72 victims,normal
IDCC,InterDigital Inc,20110803,Google blasts Apple  Microsoft for patent gang-up ,LOS ANGELES/SAN FRANCISCO Google Inc  fresh off losing a bid to buy thousands of valuable patents from bankrupt Nortel  accused its biggest rivals on Wednesday of banding together to block the Internet giant in the red-hot smartphone arena.,topStory
IDCC,InterDigital Inc,20110803,Google blasts Apple  Microsoft for patent gang-up , * Android-based handsets under pressure from patent suits,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
FLAT,iPath US Treasury Flattener ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
FLAT,iPath US Treasury Flattener ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
FLAT,iPath US Treasury Flattener ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
FLAT,iPath US Treasury Flattener ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
FLAT,iPath US Treasury Flattener ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
FLAT,iPath US Treasury Flattener ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
STPP,iPath US Treasury Steepener ETN,20110803,RBS to shed thousands of investment bank jobs-FT , LONDON  Aug 3 Royal Bank of Scotland  plans to shed as many as 2 000 jobs from its investment banking unit  the Financial Times reported on Thursday.,topStory
STPP,iPath US Treasury Steepener ETN,20110803,Lehman European arm vexed over claim treatment , NEW YORK  Aug 3 Lehman Brothers'  European brokerage arm has asked a court to classify its $8.9 billion claim against the failed investment bank as a customer claim  a higher-priority category that could afford it full recovery.,normal
STPP,iPath US Treasury Steepener ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor: sources ,NEW YORK/LONDON Avista Capital Partners and Cinven are among four private equity firms bidding for Thomson Reuters Corp's trade and risk management software business  Kondor  people close to the matter said.,normal
STPP,iPath US Treasury Steepener ETN,20110803,Avista  Cinven among bidders for Reuters' Kondor-sources , * Avista  Cinven  Montagu  Bridgepoint submit bids-sources,normal
STPP,iPath US Treasury Steepener ETN,20110803,UPDATE 2-Inflation clouds outlook for Kenyan banks , * Co-op profit jumps  National's drops   (Adds Co-op and National results  analysts),normal
STPP,iPath US Treasury Steepener ETN,20110803,PRESS DIGEST - British business - Aug 3 , WORLD'S RICHEST MAN PUTS TELECOMS COMPANY BACK TOGETHER,normal
JCOM,j2 Global Inc,20110803,US SMALL/MIDCAPS-Weak data adds to growth fears  energy weighs , NEW YORK  Aug 3 Energy and material shares in the mid- and small-cap market tumbled on Wednesday as a new round of discouraging data underlined growing concerns about the pace of economic growth and pressured commodity prices.,topStory
LAMR,Lamar Advertising Company,20110803,UPDATE 1-Clear Channel Outdoor Q2 profit beats Wall Street , Aug 3 Clear Channel Outdoor Holdings Inc  posted better-than-expected quarterly earnings  helped by an improvement in the advertising market and growth in its international segment.,topStory
