AMZN,Amazoncom Inc,20111129,Retail stocks up after strong holiday weekend ,After a blockbuster performance over the long Thanksgiving weekend  risk-taking retailers such as Macy's Inc  and Amazon.com Inc  were rewarded with big gains in their shares  while chains that are still tinkering with their strategies reaped smaller rewards. | Video ,topStory
DTYL,Barclays PLC,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DTYL,Barclays PLC,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
BECN,Beacon Roofing Supply Inc,20111129,UPDATE 1- Beacon Roofing Q4 beats Street ,Nov 29 Roofing products distributor Beacon Roofing Supply Inc posted better-than-expected quarterly results driven by re-roofing activity following spring hail storms and price increases.,topStory
CSCO,Cisco Systems Inc,20111129,Global cloud data traffic growing rapidly: Cisco ,Network equipment maker Cisco Systems Inc said global cloud data traffic will grow at a compound annual rate of 66 percent between 2010 and 2015  as consumers and businesses seek untethered access to content and applications.,topStory
CSCO,Cisco Systems Inc,20111129,Global cloud data traffic growing rapidly - Cisco ,Nov 29 Network equipment maker Cisco Systems Inc said global cloud data traffic will grow at a compound annual rate of 66 percent between 2010 and 2015  as consumers and businesses seek untethered access to content and applications.,normal
CME,CME Group Inc,20111129,UPDATE 2-Illinois house votes down CME  Sears tax relief ,CHICAGO  Nov 29 The Illinois house voted down a proposal on Tuesday that would have given $100 million in tax relief to CME Group and Sears Holdings   which have threatened to move to other states.,topStory
CME,CME Group Inc,20111129,Illinois senate panel passes CME  Sears tax breaks ,CHICAGO  Nov 29 A second committee of Illinois legislators approved a proposal that gives $100 million in tax relief to CME Group and Sears Holdings   which have threatened to move to other states.,normal
ESRX,Express Scripts Holding Company,20111129,Seven U.S. lawmakers back Medco/Express Scripts deal ,WASHINGTON  Nov 28 Seven U.S. lawmakers with the Congressional Black Caucus sent a letter to antitrust regulators supporting Express Scripts' planned purchase of pharmacy benefits manager Medco Health Solutions .,topStory
INTU,Intuit Inc,20111129,Small businesses create 55 000 jobs in November ,WASHINGTON U.S. small businesses created 55 000 jobs in November but employees worked fewer hours and earned less money  according to a survey on Tuesday that highlighted the still weak labor market conditions.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
FLAT,iPath US Treasury Flattener ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
FLAT,iPath US Treasury Flattener ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
FLAT,iPath US Treasury Flattener ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
FLAT,iPath US Treasury Flattener ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
FLAT,iPath US Treasury Flattener ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
FLAT,iPath US Treasury Flattener ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
STPP,iPath US Treasury Steepener ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK Standard & Poor's reduced its credit ratings on 15 big banking companies  mostly in the Europe and United States  on Tuesday as the result of a sweeping overhaul of its ratings criteria.,topStory
STPP,iPath US Treasury Steepener ETN,20111129,S&P criteria change reduces ratings on big banks ,NEW YORK  Nov 29 Standard & Poor's reduced its credit ratings on several big banks in the United States and Europe on Tuesday as the result of an overhaul of its ratings criteria.,normal
STPP,iPath US Treasury Steepener ETN,20111129,New Issue-John Deere Capital sells $1.1 bln notes in 2 parts ,Nov 29 John Deere Capital Corp on Tuesday sold $1.1 billion of notes in two parts  said IFR  a Thomson Reuters service.     Barclays Capital  Deutsche Bank and J.P. Morgan were the joint bookrunning manager for the sale. BORROWER: JOHN DEERE CAPITAL CORP TRANCHE 1 AMT $600 MLN      COUPON 1.25 PCT      MATURITY    12/2/2014 TYPE NTS          ISS PRICE 99.871     FIRST PAY    6/2/2012 MOODY'S A2        YIELD 1.294          SETTLEMENT  12/2/2011 S&P SINGLE-A      SPREAD 90 BPS        P,normal
STPP,iPath US Treasury Steepener ETN,20111129,MOVES-Citi Private Bank  Robert W. Baird  Barclays Wealth ,Nov 29 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
STPP,iPath US Treasury Steepener ETN,20111129,TABLE-Companies exposed to carbon price crash ,LONDON  Nov 29    Prices for U.N.-backed carbon credits fell to a new record low below 5 euros last week  as anxiety about economic growth fuelled panic selling.	     The U.N.'s Clean Development Mechanism is already suffering from record credit issuance and uncertainty about its future after emissions-cutting pact the Kyoto Protocol expires in 2012.	     Under the scheme  countries or private investors can finance projects that cut emissions of six greenhouse gases in countries with,normal
STPP,iPath US Treasury Steepener ETN,20111129,CORRECTED-New Issue-CADES adds 280 mln euros to 2021 bond ,November 29 (Reuters) -Following are terms and conditions,normal
MSFT,Microsoft Corporation,20111129,Exclusive: PE firm eyes buyout for Yahoo's U.S. business ,NEW YORK Thomas H. Lee Partners is interested in buying the U.S. operations of Yahoo Inc  breaking away from other bidders that are for now eyeing either a minority stake or teaming up with the Internet giant's partners in Asia  sources familiar with the matter said.,topStory
MSFT,Microsoft Corporation,20111129,Microsoft  AgreeYa to provide access to apps across platforms ,BEIJING Microsoft Corp and U.S. mobile engineering firm AgreeYa Mobility on Tuesday signed an agreement to allow corporations and other users to connect to Microsoft services from a variety of computing platforms  including phones and tablets running Apple Inc's iOS and Google Inc's Android.,normal
MSFT,Microsoft Corporation,20111129,Microsoft  AgreeYa to provide access to apps across platforms ,BEIJING  Nov 29 Microsoft Corp  and U.S. mobile engineering firm AgreeYa Mobility on Tuesday signed an agreement to allow corporations and other users to connect to Microsoft services from a variety of computing platforms  including phones and tablets running Apple Inc's  iOS and Google Inc's Android.,normal
NWS,News Corporation,20111129,Murdoch suffers BSkyB revolt  but hangs on ,LONDON BSkyB independent shareholders dealt James Murdoch a heavy blow on Tuesday with over 40 percent failing to back his re-election as chairman  venting their anger at his handling of a phone hacking scandal. | Video ,topStory
NWS,News Corporation,20111129,CORRECTED-(OFFICIAL)-UPDATE 4-Murdoch suffers BSkyB revolt  but hangs on ,* 17 pct of shareholders vote against Murdoch  7 pct abstain,normal
NWS,News Corporation,20111129,UPDATE 1-Murdoch suffers BSkyB revolt  but hangs on ,LONDON  Nov 29 Investors holding nearly a quarter of BSkyB shares failed to back the re-election of chairman James Murdoch on Tuesday  in protest over the former chief executive's handling of a phone hacking scandal that has damaged the family name.,normal
NWS,News Corporation,20111129,19 percent vote against Murdoch at BSkyB ,LONDON  Nov 29 At least 19 percent of BSkyB investors failed to back the re-election of chairman James Murdoch on Tuesday  in protest over the former chief executive's handling of a phone hacking scandal that has damaged the family name.,normal
NWSA,News Corporation,20111129,Murdoch suffers BSkyB revolt  but hangs on ,LONDON BSkyB independent shareholders dealt James Murdoch a heavy blow on Tuesday with over 40 percent failing to back his re-election as chairman  venting their anger at his handling of a phone hacking scandal. | Video ,topStory
NWSA,News Corporation,20111129,CORRECTED-(OFFICIAL)-UPDATE 4-Murdoch suffers BSkyB revolt  but hangs on ,* 17 pct of shareholders vote against Murdoch  7 pct abstain,normal
NWSA,News Corporation,20111129,UPDATE 1-Murdoch suffers BSkyB revolt  but hangs on ,LONDON  Nov 29 Investors holding nearly a quarter of BSkyB shares failed to back the re-election of chairman James Murdoch on Tuesday  in protest over the former chief executive's handling of a phone hacking scandal that has damaged the family name.,normal
NWSA,News Corporation,20111129,19 percent vote against Murdoch at BSkyB ,LONDON  Nov 29 At least 19 percent of BSkyB investors failed to back the re-election of chairman James Murdoch on Tuesday  in protest over the former chief executive's handling of a phone hacking scandal that has damaged the family name.,normal
OSUR,OraSure Technologies Inc,20111129,OraSure gets wider use for hep C test  shares up ,Nov 29 OraSure Technologies received approval to sell its test for the hepatitis C virus to a wider range of clinics and doctors' offices in the United States  sending shares of the company up nearly 9 percent.,topStory
PBIB,Porter Bancorp Inc,20111129,UPDATE 1-Porter Bancorp shareholder raises bad assets concern ,* Questions accuracy of representations made to investors,topStory
