ATSG,Air Transport Services Group Inc,20110722,CORRECTED-BRIEF-ATSG expects reduction in role as provider for DB Schenker , JULY 22 -     July 22 Air Transport Services Group Inc :  * Expect reduction in role as provider of main-deck freighter lift for DB Schenker in North America  * If all dc-8 727 aircraft for DB Schenker removed from service sees annual fall in maintenance costs of $10-$15 million  * ATSG statement concerning DB Schenker announcement  * ATSG - sees each of 8 dc-8 and 8 727 aircraft dedicated to DB Schenker generating about $0.01 per share in earnings after tax annually,topStory
DLBL,Barclays PLC,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DLBL,Barclays PLC,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DLBL,Barclays PLC,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DLBL,Barclays PLC,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DLBL,Barclays PLC,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DLBL,Barclays PLC,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DLBL,Barclays PLC,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DLBL,Barclays PLC,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
DTYL,Barclays PLC,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DTYL,Barclays PLC,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DTYL,Barclays PLC,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DTYL,Barclays PLC,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DTYL,Barclays PLC,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DTYL,Barclays PLC,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DTYL,Barclays PLC,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DTYL,Barclays PLC,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
BRKS,Brooks Automation Inc,20110722,UPDATE 4-Celestica profits triples  shares jump , * Company sees demand influenced by economic uncertainty,topStory
CSTR,CapStar Financial Holdings Inc,20110722,US SMALL/MIDCAPS-Results lead tech stocks higher , NEW YORK  July 22 Information technology stocks led the mid- and smallcap market's gains on Friday after strong earnings results from the sector.,topStory
TAST,Carrols Restaurant Group Inc,20110722,Low prices help McDonald's beat profit expectations ,LOS ANGELES McDonald's Corp  reported a higher-than-expected quarterly profit on Friday as low prices brought in strong sales in Europe and the United States. The company's share price rose 3.1 percent.,topStory
CSCO,Cisco Systems Inc,20110722,UPDATE 4-Celestica profits triples  shares jump , * Company sees demand influenced by economic uncertainty,topStory
CSCO,Cisco Systems Inc,20110722,UPDATE 2-Celestica profits triples  shares jump , * Company sees demand influenced by economic uncertainty,normal
CSCO,Cisco Systems Inc,20110722,UPDATE 1-Celestica Q2 net profit up  sees continued volatility in demand , July 22 Contract electronics maker Celestica Inc   reported a more than threefold jump in quarterly net profit  but said it expects the current global environment to drive continued volatility in customer demand.,normal
CME,CME Group Inc,20110722,Analysis: For CME Group  uncertainty is a two-edged blade ,CHICAGO Uncertainty is proving a two-edged sword for CME Group Inc .,topStory
CMCSA,Comcast Corporation,20110722,Stan Lee reveals details of new comic "Seekers" ,SAN DIEGO Comic book legend Stan Lee on Friday revealed details of his new web-based  digital series "The Seekers " saying it is set in modern times on an Earth in danger of imminent destruction.,topStory
CMCSA,Comcast Corporation,20110722,Stan Lee reveals details of new comic "Seekers" , SAN DIEGO  July 22 Comic book legend Stan Lee on Friday revealed details of his new web-based  digital series "The Seekers " saying it is set in modern times on an Earth in danger of imminent destruction.,normal
CMCSA,Comcast Corporation,20110722,GE tops Wall Street estimates on overseas demand ,BOSTON General Electric Co notched a better-than-expected 21.6 percent rise in earnings  helped by strong demand for jet engines as well as equipment used in oil and natural gas production.,normal
CMCSA,Comcast Corporation,20110722,UPDATE 2-GE tops Wall Street estimates on overseas demand , BOSTON  July 22 General Electric Co  reported a 21.6 percent rise in profit  topping estimates  boosted by strong demand outside the United States for its heavy equipment including jet engines and electric turbines.,normal
COST,Costco Wholesale Corporation,20110722,Goldman Sachs fights bias lawsuit  cites Wal-Mart ,NEW YORK Goldman Sachs Group Inc  said a recent landmark decision throwing out a class-action lawsuit against Wal-Mart  means it should not face a wide-ranging case accusing it of systematic bias against women.,topStory
COST,Costco Wholesale Corporation,20110722,Goldman Sachs fights bias lawsuit  cites Wal-Mart , * Three female ex-employees say were gender bias victims,normal
DRYS,DryShips Inc,20110722,Capesizes hurt Baltic index  panamaxes firm , BANGALORE  July 22 The Baltic Exchange's main sea freight index   which tracks rates to ship dry commodities  fell for an 11th straight session on Friday as a firm panamax market could not make up for weakness in the capesizes.,topStory
ETFC,E*TRADE Financial Corporation,20110722,E*Trade retains Morgan Stanley to review options ,NEW YORK E*Trade Financial Corp  said on Friday it is hiring Morgan Stanley to review strategic options  two days after Citadel LLC  its largest shareholder  pressed the online brokerage and bank to get a new investment bank and consider a sale.,topStory
ETFC,E*TRADE Financial Corporation,20110722,UPDATE 2-E*Trade retains Morgan Stanley to review options , * JPMorgan previously said sale not best option  (Adds no comment from Citadel),normal
ETFC,E*TRADE Financial Corporation,20110722,UPDATE 1-E*Trade retains Morgan Stanley to review options , NEW YORK  July 22 E*Trade Financial Corp  on Friday said it is hiring Morgan Stanley to review  strategic options  two days after Citadel LLC  its largest shareholder  pressed the online brokerage and bank to hire a new investment bank and consider a sale.,normal
ETFC,E*TRADE Financial Corporation,20110722,Schwab shops modestly but sees E*Trade's potential ,TORONTO Charles Schwab Corp  is limiting itself to looking at modest acquisitions at the moment but does see the consolidation opportunity that would arise if discount broker E*Trade  were to put itself up for sale  Chief Executive Walt Bettinger said on Friday.,normal
ETFC,E*TRADE Financial Corporation,20110722,UPDATE 1-Schwab shops modestly but sees E*Trade's potential , * Firm currently eyeing only "modest" acquisition targets,normal
ETFC,E*TRADE Financial Corporation,20110722,Schwab shops modestly but sees E*Trade's potential , * Firm currently eyeing only "modest" acquisition targets,normal
ESRX,Express Scripts Holding Company,20110722,Medco  Express Scripts face termination fees , * Fees total up to $225 mln under certain circumstances,topStory
ESRX,Express Scripts Holding Company,20110722,Express Scripts takes $14 billion bridge loan ,NEW YORK Express Scripts  is syndicating a $14 billion bridge loan that will help finance its $29.1 billion acquisition of rival Medco Health Solutions   banking sources said on Friday.,normal
ESRX,Express Scripts Holding Company,20110722,RLPC-UPDATE 1-Express Scripts takes $14 bln bridge loan , NEW YORK  July 22 Express Scripts  is syndicating a $14 billion bridge loan that will help finance its $29.1 billion acquisition of rival Medco Health Solutions   banking sources said on Friday.,normal
ESRX,Express Scripts Holding Company,20110722,Express Scripts takes $14 bln bridge loan for Medco buy-bankers , NEW YORK  July 22  Express Scripts is syndicating a $14 billion bridge loan which will part-finance its acquisition of rival Medco Health Solutions   senior bankers said on Friday.,normal
ESRX,Express Scripts Holding Company,20110722,RPT-NEWSMAKER-'Nerdy' accountant ready to lead healthcare merger , NEW YORK  July 21 For a self-described nerdy accountant who shuns attention  Express Scripts Inc  chief George Paz just thrust himself into the limelight.,normal
ESRX,Express Scripts Holding Company,20110722,RPT- Express buy of Medco rouses consumer foes , WASHINGTON  July 21 Express Scripts Inc's  planned buy of Medco Health Solutions  met with swift opposition from consumer advocates and drug stores  signaling the beginning of what could be an ugly fight for antitrust approval.,normal
ESRX,Express Scripts Holding Company,20110722,PRESS DIGEST - New York Times business news - July 22 , July 22 The following were the top stories in The New York Times business pages on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
FLEX,Flex Ltd,20110722,ADR Report-Tech shares help lift ADRs after robost earnings , NEW YORK  July 22 Tech shares helped lead gains in U.S.-listed shares of overseas companies on Friday as robust results from U.S. chipmakers including SanDisk  and Advanced Micro Devices  lifted the outlook for the sector.,topStory
FLIR,FLIR Systems Inc,20110722,UPDATE 1-FLIR cuts outlook on delayed US defense contracts , July 22 FLIR Systems Inc posted a weaker-than-expected profit for the third quarter in a row and cut its outlook for the year  as the maker of thermal-imaging products and infrared cameras struggles to get new orders from the U.S. government.,topStory
FRAN,Francesca&#39;s Holdings Corporation,20110722,CORRECTED-(July 21)-UPDATE 1-Francesca's prices IPO at $17  above expected range , (Corrects July 21 story to fix valuation in paragraph 5),topStory
FRAN,Francesca&#39;s Holdings Corporation,20110722,Francesca's Holdings Corp IPO sells 10 mln shares -underwriter , Jul 21 Specialty retailer Francesca's Holdings Corp  sold 10 million shares in its initial public offering and priced it at $17 per share  above the expected range  an underwriter told Reuters.,normal
GRMN,Garmin Ltd,20110722,UPDATE 3-TomTom writes down prospects for satnav devices , * 512 million-euro impairment charge reflects poor outlook,topStory
IDXX,IDEXX Laboratories Inc,20110722,UPDATE 1-IDEXX Q2 beats Street  ups 2011 profit view , * Sees FY 2011 EPS $2.68-$2.73 vs est $2.70   (Follows alerts),topStory
INTC,Intel Corporation,20110722,Analysis: Aging PC giants see writing on the wall ,SAN FRANCISCO Silicon Valley's old guard is waking up to the fact that the era of consumer PC may be in its twilight  accelerating the need to invest and adapt to rapidly changing tastes.,topStory
INTC,Intel Corporation,20110722,UPDATE 3-Air Products profit and outlook tepid; stock falls , * Forecasts fiscal Q4 profit in range mostly below Street,normal
INTC,Intel Corporation,20110722,US STOCKS-Futures up on Greece rescue deal  GE rises early , * Futures up: Dow 36 pts  S&P 2.9 pts  Nasdaq 0.5 pt,normal
IDCC,InterDigital Inc,20110722,Icahn: Motorola could split patents and handsets ,NEW YORK Activist investor Carl Icahn urged Motorola to consider splitting off its patent portfolio to cash in on surging interest in wireless technology from companies like Google Inc and Apple Inc.,topStory
IDCC,InterDigital Inc,20110722,UPDATE 5-Icahn: Motorola could split patents and handsets , * Icahn urges Motorola to explore alternatives for patents,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,Lehman trustee appeals $1.1 billion win for Barclays ,NEW YORK The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110722,Lehman trustee appeals $1.1 bln win for Barclays , NEW YORK  July 22 The bankruptcy trustee for Lehman Brothers Holdings Inc's  brokerage arm is appealing a February decision awarding Barclays PLC  about $1.1 billion associated with Barclays' purchase of Lehman's North American unit at the height of the financial crisis.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,UPDATE 1-Wall Street boosts Obama's campaign cash haul , * Campaign spending in 2012 expected to set record  (Adds comments  details of donations),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,FACTBOX - Top liquidity providers on Nasdaq , NEW YORK  July 22 Below are the top 10 liquidity providers in Nasdaq and in New York Stock Exchange securities for June 2011  according to Nasdaq OMX Group .,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,RPT-UPDATE 2-Europe banks  insurers take Greek hit in stride , * Private sector agrees to take 21 pct loss on Greek debt,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,UPDATE 1-German "mini Madoff" jailed for 10 years 8 mths , * Kiener's lawyers pleaded for "significantly" less time,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,Barclays Capital emerging Asia research head Redward leaves co-sources , SINGAPORE  July 22 Peter Redward  the high-profile head of emerging Asia research at Barclays Capital  has left the firm  two sources familiar with the move said on Friday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110722,Europe's banks  insurers jump on Greece rescue deal ,LONDON Europe's banks and insurers rose on Friday after Greece's private sector creditors agreed to take a 21 percent loss on their debt holdings as part of a rescue plan.,normal
