AVAV,AeroVironment Inc,20110907,UPDATE 1-AeroVironment Q1 beats Wall Street view , Sept 7 - AeroVironment Inc posted a first-quarter profit as revenue rose 62 percent on higher sales of its drones.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DLBL,Barclays PLC,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DLBL,Barclays PLC,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DLBL,Barclays PLC,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DLBL,Barclays PLC,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DLBL,Barclays PLC,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DLBL,Barclays PLC,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DTYL,Barclays PLC,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DTYL,Barclays PLC,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DTYL,Barclays PLC,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTYL,Barclays PLC,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTYL,Barclays PLC,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DTYL,Barclays PLC,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
CLMT,Calumet Specialty Products Partners LP,20110907,BRIEF-Moody's changes Calumet's outlook to stable from positive , * Moody's changes Calumet's outlook to stable from positive,topStory
CASY,Caseys General Stores Inc,20110907,UPDATE 1-Casey's Q1 results miss Wall Street , * Q1 rev up 38 pct to $1.87 bln vs est $1.9 bln   (Follows alerts),topStory
CASY,Caseys General Stores Inc,20110907,CORRECTED-BRIEF-Casey's General Stores Q1 results , (Corrects EPS figure in second bullet point  and revenue figure in fourth bullet point),normal
CMCSA,Comcast Corporation,20110907,UPDATE 1-SeaChange Q2 misses market estimates , * Shares fall 6 pct in after-market trade   (Follows alerts),topStory
CMCSA,Comcast Corporation,20110907,NBC reporter Andrea Mitchell has breast cancer ,WASHINGTON Andrea Mitchell  NBC's chief foreign affairs correspondent and wife of former Federal Reserve Chairman Alan Greenspan  said on her TV program on Wednesday that she has breast cancer.,normal
CMCSA,Comcast Corporation,20110907,NBC reporter Andrea Mitchell has breast cancer ,WASHINGTON Andrea Mitchell  NBC's chief foreign affairs correspondent and wife of former Federal Reserve Chairman Alan Greenspan  said on her TV program on Wednesday that she has breast cancer.,normal
CMCSA,Comcast Corporation,20110907,NBC reporter Andrea Mitchell has breast cancer , WASHINGTON  Sept 7 Andrea Mitchell  NBC's chief foreign affairs correspondent and wife of former Federal Reserve Chairman Alan Greenspan  said on her TV program on Wednesday that she has breast cancer.,normal
CONN,Conn&#39;s Inc,20110907,UPDATE 3-Furniture  mattress sales to lift Conn's profit , * Shares rise as much as 37 pct   (Adds conference call details  company  industry background  updates share movement),topStory
DRYS,DryShips Inc,20110907,Analysis: China looks to save struggling shipping sector ,SINGAPORE China's campaign to protect its maritime industry during a severe downturn will become more costly for foreign companies as Beijing grabs a bigger slice of the profits for shipping iron ore  coal and grains to the world's second largest economy.,topStory
ETFC,E*TRADE Financial Corporation,20110907,Deals of the day -- mergers and acquisitions , (Adds Mosaid Technologies  Wilan  Anglo American  Dover  DNO  Sberbank  ConocoPhillips  Eaton  Cooper Industries  Bug Music  Warburg  Avusa  Hess  CONSOL  Santa Fe Gold  TD Ameritrade  E*Trade  Sierra Rutile),topStory
ETFC,E*TRADE Financial Corporation,20110907,TD Ameritrade plays down idea of E*Trade bid ,TORONTO TD Ameritrade Holding Corp can't see obvious merit in buying smaller rival E*Trade Financial  given the current "optimistic" price and doubts about E*Trade assets  the head of the U.S. online discount brokerage said on Wednesday.,normal
ETFC,E*TRADE Financial Corporation,20110907,TD Ameritrade plays down idea of E*Trade bid , * Says "significant issues" exist in E*Trade asset pool,normal
EBAY,eBay Inc,20110907,Best Buy unveils new third-party Marketplace ,SAN FRANCISCO Best Buy Co said on Wednesday it will offer products online from other sellers through a new third-party Marketplace as the electronics retailer tries to better compete with Internet rivals Amazon.com and eBay Inc.,topStory
EBAY,eBay Inc,20110907,UPDATE 1-Best Buy unveils new third-party Marketplace , * Buy.com among six third-party sellers signed up  (Adds details of third-party sellers  share price  exec comment),normal
EBAY,eBay Inc,20110907,Best Buy unveils new third-party marketplace , SAN FRANCISCO  Sept 7 Best Buy Co  said on Wednesday it will offer products online from other sellers through a new third-party Marketplace as the electronics retailer tries to better compete with online rivals Amazon.com  and eBay Inc .,normal
EBAY,eBay Inc,20110907,EBay hires ex-Thomson Reuters executive Wenig ,SAN FRANCISCO EBay Inc hired former Thomson Reuters Corp executive Devin Wenig as president of its global marketplaces unit  the online commerce and auction site's largest division.,normal
FSLR,First Solar Inc,20110907,Samsung SDI sees $70 billion global solar cell market by 2020 ,SEOUL South Korea's Samsung SDI Co Ltd said it expects the global solar cell market to be worth $70 billion by 2020  more than double last year's $30 billion  with falling prices and government support expected to drive demand globally.,topStory
FLIR,FLIR Systems Inc,20110907,RPT-U.S. safer 10 years after 9/11  but at what cost? , NEW YORK  Sept 7 Tourists flock to Times Square for the bright lights and Broadway shows. There they find another spectacle: helmeted police with machine guns patrolling the subway station on the lookout for would-be bombers and gunmen.,topStory
FULT,Fulton Financial Corporation,20110907,Text-Fitch affirms Fulton Financial; outlook stable ,(The following statement was released by the rating agency.) NEW YORK  September 07 (Fitch) Fitch Ratings has affirmed the long-term and short-term Issuer Default Ratings (IDRs) of Fulton Financial  Corporation (FULT) at 'A-' and 'F1' respectively. The Rating Outlook is Stable. A complete list of ratings follows this release. The ratings affirmation reflects the company's consistent performance and solid overall financial condition including asset quality  liquidity and capital pos,topStory
GIII,G-III Apparel Group LTD,20110907,UPDATE 1-G-III Apparel misses expectations  sees weak Q3 , Sept 7 Clothes maker G-III Apparel Group Ltd's  posted second-quarter earnings well below analysts' estimates and forecast a weak third-quarter as more discounts eat into its margins.,topStory
GPRO,GoPro Inc,20110907,U.S. FDA advisory meetings through Nov. 16 , THIS DIARY IS FILED AS THE FOOD AND DRUG ADMINISTRATION UPDATES ITS SCHEDULE. ALL ITEMS EDT/GMT UNTIL NOV. 6.,topStory
INTC,Intel Corporation,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp  jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,topStory
INTC,Intel Corporation,20110907,Nvidia up on outlook  analysts skeptical ,Shares of Nvidia Corp jumped more than 11 percent on Wednesday  as investors bet on strong sales for the company's chips used in mobile devices like smartphones and tablets.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DTUS,iPath US Treasury 2-year Bear ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DTUL,iPath US Treasury 2-year Bull ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DFVS,iPath US Treasury 5-year Bear ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DFVL,iPath US Treasury 5-year Bull ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
FLAT,iPath US Treasury Flattener ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
FLAT,iPath US Treasury Flattener ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
FLAT,iPath US Treasury Flattener ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
FLAT,iPath US Treasury Flattener ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
FLAT,iPath US Treasury Flattener ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
FLAT,iPath US Treasury Flattener ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
STPP,iPath US Treasury Steepener ETN,20110907,Cerberus-owned NewPage files for Chapter 11 ,WILMINGTON  Del./NEW YORK NewPage Corp   the biggest maker of magazine paper in North America  filed for bankruptcy on Wednesday  succumbing to falling demand as advertisers and readers move online.,topStory
STPP,iPath US Treasury Steepener ETN,20110907,UPDATE 6-Cerberus-owned NewPage files for Chapter 11 , * Largest non-financial U.S. bankruptcy in two years  (Adds names of lenders),normal
STPP,iPath US Treasury Steepener ETN,20110907,Lehman asks US judge for $500 mln Barclays payback , NEW YORK  Sept 7 Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
STPP,iPath US Treasury Steepener ETN,20110907,Lehman asks U.S. judge for $500 million Barclays payback ,NEW YORK Lehman Brothers Holdings Inc -- whose North American business was taken over by Barclays Plc in 2008 -- has asked a U.S. judge on Wednesday to force the British bank to pay it back $500 million it says was meant to go to employees.,normal
STPP,iPath US Treasury Steepener ETN,20110907,Lehman appeals to district court on Barclays sale , NEW YORK  Sept 7 Lehman Brothers Holdings Inc  appealed on Wednesday a U.S. bankruptcy court ruling that upheld the sale of its North American securities business to Barclays Plc   according to court documents.,normal
STPP,iPath US Treasury Steepener ETN,20110907,UK banks face costly rewrite of "death plans" , LONDON  Sept 7 Britain's plans to shield taxpayers from the risk of possible future failures by high street banks will trigger a costly and fundamental rewriting of lenders' so-called "living wills.",normal
IRDM,Iridium Communications Inc,20110907,Iridium to sell new phone  other services ,WASHINGTON Iridium Communications Inc unveiled what it called the world's most rugged satellite handset on Wednesday as part of a new suite of services designed to run off its 66-satellite global network.,topStory
LAYN,Layne Christensen Company,20110907,UPDATE 2-Layne Christensen sees minerals ops boosting Q3 , * Sees mineral exploration business to continue to be strong in Q3,topStory
