ACIW,ACI Worldwide Inc,20110916,UPDATE 1-S1 terminates Fundtech merger agreement , * Fundtech agrees to be bought by PE firm GTCR for $390 mln,topStory
AAPL,Apple Inc,20110916,Irish startup sells translation for app developers , Sept 16 Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
AAPL,Apple Inc,20110916,Analysis: Music industry banks on free in effort to get paid ,NEW YORK The future of the music business is social  free -- and hopefully profitable.,normal
AAPL,Apple Inc,20110916,CORRECTED-Risk-wary UK mall developers prune project plans , * Mall developers pare back project budgets  blueprints,normal
BIDU,Baidu Inc,20110916,Analysis: China seeks to tether the microblog tiger ,BEIJING Mao Zedong famously said a single spark could start a revolutionary prairie fire. That fear is now driving his Communist Party successors to grapple with how to tame China's expanding legions of microbloggers. | Video ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DLBL,Barclays PLC,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DLBL,Barclays PLC,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DLBL,Barclays PLC,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DTYL,Barclays PLC,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DTYL,Barclays PLC,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DTYL,Barclays PLC,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
BIIB,Biogen Inc,20110916,Analysis: Biogen investors place bets ahead of MS drug trial ,BOSTON Over the past year  Biogen Idec Inc has given investors little to complain about. The biotechnology company  operating under new management  has restructured its operations  reported promising clinical trial data and seen its shares rise 72 percent.,topStory
CSCO,Cisco Systems Inc,20110916,Most Asian nations realizing Internet cannot be tamed ,SINGAPORE It's not just dictators. Governments around the world  many of them popularly elected  have tried for years to control the Internet and social media  dismayed by their potential to incite violence  spread mischief and distribute pornography and dissent.,topStory
CSCO,Cisco Systems Inc,20110916,Most Asian nations realising Internet cannot be tamed , SINGAPORE  Sept 16 It's not just dictators. Governments around the world  many of them popularly elected  have tried for years to control the Internet and social media  dismayed by their potential to incite violence  spread mischief and distribute pornography and dissent.,normal
CME,CME Group Inc,20110916,Insight: CME says wheat converging  but traders scoff ,CHICAGO CME Group is celebrating the one-year anniversary of a controversial storage scheme for its benchmark wheat futures contract by saying it has fixed a long-standing problem on futures deliveries.,topStory
CMCSA,Comcast Corporation,20110916,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere. | Video ,topStory
COST,Costco Wholesale Corporation,20110916,No class action for now in Costco gender bias case ,Costco Wholesale Corp won a court decision that blocks women who accused the company of gender bias from suing as a group  but the court left open the possibility that the case could regain class-action status.,topStory
COST,Costco Wholesale Corporation,20110916,UPDATE 3-No class action for now in Costco gender bias case , * Women plaintiffs  Costco each claim victory  (Adds more background  more details from decision),normal
COST,Costco Wholesale Corporation,20110916,Southern California union takes major step toward strike ,LOS ANGELES The union representing many of the 62 000 workers at Ralphs  Vons and Albertsons supermarkets in southern California issued a required 72-hour notice of its plan to cancel its extended contract  a move that could pave the way for a strike.,normal
COST,Costco Wholesale Corporation,20110916,UPDATE 2-S. California union takes major step toward strike ,   * Union issues 72-hour notice canceling contract extension,normal
DRYS,DryShips Inc,20110916,TEXT-S&P rates Ocean Rig UDW Inc. 'B' , (The following statement was released by the rating agency),topStory
ETFC,E*TRADE Financial Corporation,20110916,UPDATE 2-Ricketts retires from TD Ameritrade board , * Ricketts' son Todd to fill seat vacated by his father,topStory
EBAY,eBay Inc,20110916,EBay builds new division to woo developers ,SAN FRANCISCO Ebay Inc is building a new division to woo developers and attract more merchants as the company tries to emulate the success of Apple Inc's iOS platform in the e-commerce world.,topStory
EBAY,eBay Inc,20110916,EBay builds new division to woo developers ,  * E-commerce giant revives X.com from PayPal's early days,normal
FSLR,First Solar Inc,20110916,Drop in 2010 solar costs may accelerate: study ,The cost to install solar power in the United States fell by 17 percent in 2010 and is on pace to drop even faster this year  according to a new report issued by the Lawrence Berkeley National Laboratory.,topStory
INTC,Intel Corporation,20110916,Obama signs patent bill  sees boost for innovators ,President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,topStory
INTC,Intel Corporation,20110916,Obama signs patent bill  sees boost for innovators , Sept 16 President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,normal
INTC,Intel Corporation,20110916,EU probing if Google dominates Internet search ,BRUSSELS EU regulators are still undecided whether Google dominates in Internet search and if it has abused rivals in breach of competition rules  the EU's antitrust chief said on Friday.,normal
INTC,Intel Corporation,20110916,UPDATE 1-EU probing if Google dominates Internet search , * Commission can fine companies up to 10 pct of global sales,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
FLAT,iPath US Treasury Flattener ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
FLAT,iPath US Treasury Flattener ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
FLAT,iPath US Treasury Flattener ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
STPP,iPath US Treasury Steepener ETN,20110916,IFR-Barclays ramps up CMBS business with FundCore partnership , NEW YORK  Sept 16 (IFR) - Barclays Capital is ramping up its involvement in the commercial mortgage-backed securities (CMBS) market by teaming up with FundCore Finance Group  a privately-held commercial real estate investment management firm  to establish a CMBS loan origination and securitization program.,topStory
STPP,iPath US Treasury Steepener ETN,20110916,Private banks eye UBS's disgruntled rich clients , * CS  London-based private banks seen gaining from UBS woes,normal
STPP,iPath US Treasury Steepener ETN,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
JASO,JA Solar Holdings Co Ltd,20110916,Drop in 2010 solar costs may accelerate: study ,The cost to install solar power in the United States fell by 17 percent in 2010 and is on pace to drop even faster this year  according to a new report issued by the Lawrence Berkeley National Laboratory.,topStory
KALU,Kaiser Aluminum Corporation,20110916,Bidder selected for Anglesey aluminium smelter , LONDON  Sept 16 The board of Anglesey Aluminium Metals  jointly owned by Rio Tinto and Kaiser Aluminium    has selected a bidder for the plant  which was put up for sale after the smelter was mothballed in 2009  an official at the group said.,topStory
MSCC,Microsemi Corporation,20110916,Microsemi to fight Zarlink shareholder rights plan ,U.S. chipmaker Microsemi Corp is challenging a takeover defense adopted by Zarlink  the Ottawa-based rival it is trying to buy with a hostile bid valued at C$550 million ($561 million).,topStory
MSCC,Microsemi Corporation,20110916,UPDATE 2-Microsemi to fight Zarlink shareholder rights plan , * Zarlink urges investors to take no action  (Adds analyst's comment  details),normal
MSFT,Microsoft Corporation,20110916,BlackBerry maker's missteps stir talk of its sale ,Research In Motion's dismal quarterly results  the latest in a string of disappointments for shareholders  may have pleased prospective buyers coveting the BlackBerry maker's treasure trove of wireless patents.,topStory
MSFT,Microsoft Corporation,20110916,Shares of video game companies swing on reviews ,NEW YORK Want to know why video game stocks pop or drop? Check the reviews.,normal
MSFT,Microsoft Corporation,20110916,Obama signs patent bill  sees boost for innovators ,President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,normal
MSFT,Microsoft Corporation,20110916,Obama signs patent bill  sees boost for innovators , Sept 16 President Barack Obama signed into law a patent overhaul bill on Friday that backers say will curb frivolous lawsuits and help the U.S. Patent and Trademark Office do the hiring needed to clear a huge backlog of applications.,normal
MSFT,Microsoft Corporation,20110916,Irish startup sells translation for app developers ,Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
MSFT,Microsoft Corporation,20110916,Irish startup sells translation for app developers ,Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
MSFT,Microsoft Corporation,20110916,Irish startup sells translation for app developers , Sept 16 Irish startup Tethras on Friday rolled out a translation service aimed at helping mobile application developers target non-English speaking users.,normal
MSFT,Microsoft Corporation,20110916,EU probing if Google dominates Internet search ,BRUSSELS EU regulators are still undecided whether Google dominates in Internet search and if it has abused rivals in breach of competition rules  the EU's antitrust chief said on Friday.,normal
MSFT,Microsoft Corporation,20110916,UPDATE 1-EU probing if Google dominates Internet search , * Commission can fine companies up to 10 pct of global sales,normal
MSFT,Microsoft Corporation,20110916,EU probing if Google dominates Internet search , BRUSSELS  Sept 16 EU regulators are investigating whether Google  dominates in Internet search but have yet to decide if this is the case  the EU's antitrust chief said on Friday.,normal
MYL,Mylan NV,20110916,Cephalon sues Sandoz over Fentora cancer drug , Sept 16 Cephalon Inc  on Friday sued Novartis AG's  Sandoz drug unit  accusing it of trying to infringe two patents related to its Fentora drug that treats pain in adults who have cancer.,topStory
BABY,Natus Medical Incorporated,20110916,Deals of the day -- mergers and acquisitions , (Adds Kinetic Concepts  TransGlobe Apartment Real Estate  CSN  S1 Corp  99 Cents Only Stores),topStory
BABY,Natus Medical Incorporated,20110916,UPDATE 1-Natus buys sleep diagnostics co for $16 mln , Sept 16 Medical device maker Natus Medical Inc  said it bought privately-held Embla Systems LLC for about $16.1 million in cash to expand its sleep diagnostics portfolio.,normal
NFLX,Netflix Inc,20110916,PRESS DIGEST - Wall Street Journal - Sept 16 , Sept 16 The following were the top stories in The Wall Street Journal on Friday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NWSA,News Corporation,20110916,UK police want paper to reveal phone-hacking sources ,LONDON British police are seeking an "unprecedented" court order to force the newspaper that led the coverage of a phone-hacking scandal engulfing Rupert Murdoch's News Corp empire to reveal its sources  the paper said on Friday.,topStory
NWSA,News Corporation,20110916,UPDATE 1-UK police want paper to reveal phone-hacking sources , * Paper calls action under Official Secrets Act unprecedented   (Adds quote from Dowler's lawyer),normal
NWSA,News Corporation,20110916,UK police want paper to reveal phone-hacking sources , * Guardian says police want to know source of explosive story,normal
NWSA,News Corporation,20110916,Analysis: Music industry banks on free in effort to get paid ,NEW YORK The future of the music business is social  free -- and hopefully profitable.,normal
NWSA,News Corporation,20110916,TEXT-Fitch = 2 , The report includes the rating rationale  key rating drivers  portfolio summary  corporate governance overview  pension screener  revenue segment and geographic pie charts  organizational debt diagram  covenant analysis and financial summary for each of the following companies in Fitch's Media and Entertainment portfolio:,normal
NWSA,News Corporation,20110916,BSkyB COO says not damaged by hacking scandal , CAMBRIDGE  England  Sept 16 Britain's BSkyB  has seen no impact on subscriptions from the phone hacking scandal that has damaged its chairman and largest shareholder and if anything it has boosted the reputation of its news channel  an executive said on Friday.,normal
NWSA,News Corporation,20110916,The Guardian hikes cover price by 20 percent ,LONDON The loss-making Guardian  which has led the exposure of a phone-hacking scandal at Rupert Murdoch's News of the World tabloid  is to hike its cover price by 20 percent  making it the country's most expensive newspaper.,normal
NWSA,News Corporation,20110916,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere. | Video ,normal
ROST,Ross Stores Inc,20110916,HOW TO PLAY IT-Stocks that inspire consumer confidence , THE ISSUE: The Thomson Reuters/U of Michigan's Consumer Confidence index rose slightly more than expected but remained at nearly the lowest level in years at 57.8. In a healthy economy  it would be over 70 percent.,topStory
RYAAY,Ryanair Holdings plc,20110916,UPDATE 2-Ryanair ups pressure on Aer Lingus over pensions , * Shareholder Ryanair says Aer Lingus mishandling pension issue,topStory
SHPG,Shire plc,20110916,Bayer to reshuffle diagnostics business , FRANKFURT  Sept 16 German drugmaker Bayer  is to overhaul its contrast agents business  seeking marketing synergies with its U.S. medical devices unit Medrad  as it cuts costs to counter generic competition.,topStory
SHPG,Shire plc,20110916,Shire CEO sees diabetes surge buoying Dermagraft ,NEW YORK Shire Plc  sees a strong market for its recently acquired Dermagraft skin substitute due to surging rates of diabetes that can cause foot ulcers in a significant number of patients  according to its chief executive.,normal
SINA,Sina Corporation,20110916,Analysis: China seeks to tether the microblog tiger ,BEIJING Mao Zedong famously said a single spark could start a revolutionary prairie fire. That fear is now driving his Communist Party successors to grapple with how to tame China's expanding legions of microbloggers. | Video ,topStory
TTWO,Take-Two Interactive Software Inc,20110916,Shares of video game companies swing on reviews ,NEW YORK Want to know why video game stocks pop or drop? Check the reviews.,topStory
AMTD,TD Ameritrade Holding Corporation,20110916,UPDATE 2-Ricketts retires from TD Ameritrade board , * Ricketts' son Todd to fill seat vacated by his father,topStory
ANDE,The Andersons Inc,20110916,Insight: CME says wheat converging  but traders scoff ,CHICAGO CME Group is celebrating the one-year anniversary of a controversial storage scheme for its benchmark wheat futures contract by saying it has fixed a long-standing problem on futures deliveries.,topStory
VOD,Vodafone Group Plc,20110916,Operator wants Albania to liberalize 3G market , TIRANA  Sept 16 Albania's smallest mobile phone operator  PLUS Communications  on Friday asked the government to fully liberalise its 3G market to boost competition and lower prices.,topStory
YRCW,YRC Worldwide Inc,20110916,Trucker YRC shares plummet as company restructures ,OVERLAND PARK  Kansas Shares of long-troubled U.S. trucker YRC Worldwide  plunged more than 65 percent on Friday as the company completed a financial restructuring that essentially wiped out shareholder equity.,topStory
AGI,Alamos Gold Inc,20110916,CANADA STOCKS-TSX set to open lower as RIM  Europe fears weigh , Sept 16 Canada's main stock index was set to open lower on Friday  hurt by disappointing results from BlackBerry maker Research In Motion Ltd  and concern about the outcome of a euro zone finance ministers meeting in Poland.,topStory
AGI,Alamos Gold Inc,20110916,UPDATE 1-Alamos' Turkey projects show rise in indicated resources , Sept 16 Canada's Alamos Gold Inc said measured and indicated resources for two of its projects in Turkey rose 19 percent.,normal
AA,Alcoa Corporation,20110916,UPDATE 1-Guinea's CBG bauxite loading to resume Friday-Alcoa , CONAKRY  Sept 16 Guinea's CBG is expected to resume loading bauxite onto ships for export later on Friday  once a damaged conveyer belt is repaired  Alcoa said.,topStory
AA,Alcoa Corporation,20110916,Guinea's CBG bauxite loading to resume Friday-Alcoa , CONAKRY  Sept 16 Guinea's CBG is expected to resume loading bauxite onto ships for export later on Friday  once a damaged conveyer belt is repaired  Alcoa said.,normal
AIG,American International Group Inc,20110916,BofA keeping Countrywide bankruptcy as option: report ,Countrywide Financial's lawsuit losses could compel parent Bank of America Corp (BofA)  to put up the unit on the bankruptcy block  Bloomberg reported citing four people with knowledge of the firm's strategy.,topStory
AIG,American International Group Inc,20110916,BofA keeping Countrywide bankruptcy as option - Bloomberg , Sept 16 Countrywide Financial's lawsuit losses could compel parent Bank of America Corp (BofA)  to put up the unit on the bankruptcy block  Bloomberg reported citing four people with knowledge of the firm's strategy.,normal
AIG,American International Group Inc,20110916,Allied World  Transatlantic call off deal ,Reinsurers Allied World Assurance Co Holdings Ltd and Transatlantic Holdings Inc called off their merger on Friday in the face of overwhelming opposition  and Transatlantic indicated it might remain independent despite two higher offers on the table.,normal
AIG,American International Group Inc,20110916,UPDATE 6-Allied World  Transatlantic call off deal , * Q3 earnings below Wall Street's worst-case figures  (Adds bid source  background; updates share prices),normal
AIG,American International Group Inc,20110916,Timeline: Three-way race for Transatlantic ,Allied World Assurance Co Holdings and Transatlantic call off their merger in the face of overwhelming shareholder opposition. Transatlantic says both National Indemnity and Validus offers are inadequate  but is open to negotiations.,normal
AIG,American International Group Inc,20110916,TIMELINE-Three-way race for Transatlantic , Sept 16 Allied World Assurance Co Holdings  and Transatlantic call off their merger in the face of overwhelming shareholder opposition. Transatlantic says both National Indemnity and Validus offers are inadequate  but is open to negotiations.,normal
AU,AngloGold Ashanti Limited,20110916,ADR REPORT-Receding euro zone concern helps ADRs ,   (Updates with closing levels  adds Moody's comments on Italy after U.S. market close),topStory
AU,AngloGold Ashanti Limited,20110916,ADR REPORT-Receding euro zone concern helps banks , NEW YORK  Sept 16 U.S.-listed shares of overseas companies were little changed on Friday  with banks mostly higher as investors were increasingly optimistic that leaders are working to contain the euro zone debt crisis.,normal
APA,Apache Corporation,20110916,UPDATE 1-Chevron signs LNG sales deal with Kyushu Electric , * Chevron a step closer to making FID by year end   (Adds details  background),topStory
APO,Apollo Global Management LLC,20110916,Carlyle investors should prepare for rocky ride ,NEW YORK Carlyle is facing a tough market and if recent history is any guide  once it goes public  its shares will be volatile.,topStory
APO,Apollo Global Management LLC,20110916,IPO VIEW-Carlyle investors should prepare for rocky ride , NEW YORK  Sept 16 Carlyle is facing a tough market and if recent history is any guide  once it goes public  its shares will be volatile.,normal
ADM,Archer-Daniels-Midland Company,20110916,Insight: CME says wheat converging  but traders scoff ,CHICAGO CME Group is celebrating the one-year anniversary of a controversial storage scheme for its benchmark wheat futures contract by saying it has fixed a long-standing problem on futures deliveries.,topStory
T,AT&T Inc,20110916,Seven states join effort to stop AT&T/T-Mobile deal ,Seven states have joined the Justice Department's lawsuit to stop AT&T's proposed purchase of T-Mobile USA  the Justice Department said on Friday.,topStory
T,AT&T Inc,20110916,UPDATE 2-Seven states join effort to stop AT&T/T-Mobile deal , * California  New York  Illinois among states joining DOJ,normal
