AKAM,Akamai Technologies Inc,20110824,UPDATE 1-Brightcove files for $50 mln public offering , NEW YORK  Aug 24 Digital media company Brightcove Inc filed with regulators for a public offering of up to $50 million as it seeks to expand its offering of online video and app services for business clients.,topStory
AMZN,Amazoncom Inc,20110824,Hulu seen drawing bids from Yahoo  others -sources , NEW YORK  Aug 24 The deadline for initial bids in the auction for Hulu was extended from Wednesday until the end of the week to allow interested parties more time to examine the online video site's financial information  according to people familiar with the situation.,normal
AAPL,Apple Inc,20110824,Factbox: Apple's history and milestones ,Silicon Valley legend Steve Jobs on Wednesday resigned as chief executive of Apple Inc in a stunning move that ended his 14-year reign at the technology giant he co-founded in a garage.,topStory
AAPL,Apple Inc,20110824,Steve Jobs resigns from Apple  Cook becomes CEO ,SAN FRANCISCO Silicon Valley legend Steve Jobs on Wednesday resigned as chief executive of Apple Inc in a stunning move that ended his 14-year reign at the technology giant he co-founded in a garage. | Video ,normal
AAPL,Apple Inc,20110824,FACTBOX-Apple's history and milestones , Aug 24 Silicon Valley legend Steve Jobs on Wednesday resigned as chief executive of Apple Inc  in a stunning move that ended his 14-year reign at the technology giant he co-founded in a garage.  [ID:nN1E77N227],normal
AAPL,Apple Inc,20110824,Instant view: Apple CEO Jobs resigns  Cook to take over ,NEW YORK Steve Jobs resigned as Apple Inc Chief Executive on Wednesday  without specifying a reason.,normal
AAPL,Apple Inc,20110824,Apple wins ban on some Samsung smartphone sales ,AMSTERDAM Apple won an injunction in a Dutch court on Wednesday to stop Samsung Electronics from marketing three smartphone models in some European countries after alleging a breach of patents.,normal
AAPL,Apple Inc,20110824,UPDATE 4-Apple wins ban on some Samsung smartphone sales , * Applies to the Netherlands and other European countries,normal
AAPL,Apple Inc,20110824,UPDATE 2-Steve Jobs resigns from Apple  Cook becomes CEO , * Shares resume  dive 7 percent  (Adds share action  analyst's comment),normal
AAPL,Apple Inc,20110824,Text: Letter from Steve Jobs resigning as Apple CEO ,Following is a letter from Steve Jobs who resigned on Wednesday as chief executive officer of technology giant Apple Inc:,normal
AAPL,Apple Inc,20110824,COLUMN-2011: A Samsung litigation odyssey: Alison Frankel , -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,normal
AAPL,Apple Inc,20110824,Analysis: Outlook for tech spending getting darker ,BOSTON Hopes are rapidly dwindling that there will be even modest growth in technology spending during the second half of 2011. And 2012 may be no better.,normal
AMAT,Applied Materials Inc,20110824,UPDATE 1-Applied Materials Q3 sales rises 11 pct , Aug 24 Chip-manufacturing equipment maker Applied Materials posted an 11 percent rise in quarterly sales.,topStory
AMAT,Applied Materials Inc,20110824,US STOCKS-Futures off after rally  focus on Bernanke speech , * Bank of America off premarket  extending recent slide,normal
AMAT,Applied Materials Inc,20110824,US STOCKS-Futures off after rally  durable goods on tap , * Bank of America off premarket after hitting 2-1/2-yr low,normal
BMLP,Bank Of Montreal,20110824,CANADA STOCKS-TSX ekes out gain despite gold selloff , * Banks up 1.5 percent  gold miners off 3 percent  (Updates to close  adds details  quotes),topStory
BMLP,Bank Of Montreal,20110824,CANADA STOCKS-Sliding golds drag TSX lower , * Gold miners plunge nearly 4 percent  banks up 0.6 percent  (Updates to afternoon),normal
BMLP,Bank Of Montreal,20110824,CANADA STOCKS-TSX flat as weak golds outweigh stronger banks , * Seven of the 10 main sectors firmer  golds weigh  (Updates with details  commentary),normal
BMLP,Bank Of Montreal,20110824,CANADA STOCKS-TSX may open lower on broad economic concerns , Aug 24 Toronto's main stock index looked set to open lower on Wednesday after Moody's downgraded Japan's sovereign debt and concerns over the health of the global economy kept investors sensitive to risk.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DLBL,Barclays PLC,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DLBL,Barclays PLC,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DLBL,Barclays PLC,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DLBL,Barclays PLC,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DTYL,Barclays PLC,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DTYL,Barclays PLC,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DTYL,Barclays PLC,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DTYL,Barclays PLC,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
CA,CA Inc,20110824,Factbox: WIN America members include Microsoft  others ,The following companies are members of the WIN America Campaign  a coalition devoted to pushing for an overseas corporate profit repatriation tax holiday.,topStory
CBOE,CBOE Holdings Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,NEW YORK U.S. stock exchanges could quietly log record per-share earnings this quarter thanks to a surge in trading volume  and analysts are urging investors to step in to take advantage of the broader market selloff.,topStory
CBOE,CBOE Holdings Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,   * Exchanges reap big revenues when panic grips marketplace,normal
CETV,Central European Media Enterprises Ltd,20110824,Czech Broadcaster CME's CFO buys 20 000 shares , PRAGUE  Aug 24 Central European Media Enterprises' (CME)  Chief Financial Officer David Sach bought 20 000 company shares on Aug. 19  a filing showed on Wednesday.,topStory
PLCE,Children&#39;s Place Inc (The),20110824,American Eagle profit misses  margin worries persist ,BANGALORE American Eagle Outfitters Inc  forecast disappointing third-quarter earnings as higher product costs and discounts eat into margins  joining a slew of apparel retailers that have raised concerns over consumer spending during the key back-to-school selling season.,topStory
PLCE,Children&#39;s Place Inc (The),20110824,UPDATE 3-American Eagle profit misses  margin worries persist , * Shares fall as much as 14 percent   (Adds conference call  analyst comments; updates share movement),normal
CSCO,Cisco Systems Inc,20110824,Analysis: Outlook for tech spending getting darker ,BOSTON Hopes are rapidly dwindling that there will be even modest growth in technology spending during the second half of 2011. And 2012 may be no better.,topStory
CSCO,Cisco Systems Inc,20110824,CORRECTED-BRIEF-Cisco Systems CEO adopts pre-arranged stock trading plan , (Corrects headline to say Cisco Systems CEO  and not the company  adopts pre-arranged stock trading plan),normal
CSCO,Cisco Systems Inc,20110824,Insight: Showdown looms on U.S. overseas profit tax break ,WASHINGTON Backed by powerful companies spending millions of dollars  Washington lobbyists are fighting in the marble corridors of Congress for a tax break on $1.5 trillion in profits held overseas to escape the U.S. tax man.,normal
CME,CME Group Inc,20110824,Gold posts biggest drop since 1980 on Fed fears ,NEW YORK Gold futures fell more than $100 on Wednesday  one of the steepest falls ever  as strong U.S. economic data and expectations of more Federal Reserve stimulus accelerated profit taking from the safe-haven record high of a day ago. | Video ,topStory
CME,CME Group Inc,20110824,FACTBOX-Gold margin changes by CME since 2009 , Aug 24 CME Group Inc  late Wednesday raised margin requirements for the 100-ounce gold futures <0#GC:> by 27.3 percent  the biggest hike in about two and half years.,normal
CME,CME Group Inc,20110824,UPDATE 1-CME hikes gold margins by 27 pct , * Maintenance margins now $7 000 from $5 500 a contract,normal
CME,CME Group Inc,20110824,PRECIOUS-Gold posts biggest drop since 1980 on Fed fears , * Strong U.S. durable goods orders dent safe-haven appeal,normal
CME,CME Group Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,NEW YORK U.S. stock exchanges could quietly log record per-share earnings this quarter thanks to a surge in trading volume  and analysts are urging investors to step in to take advantage of the broader market selloff.,normal
CME,CME Group Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,   * Exchanges reap big revenues when panic grips marketplace,normal
CMCSA,Comcast Corporation,20110824,US cable cos challenge plan for broadband subsidies , WASHINGTON  Aug 24 U.S. cable companies are warning regulators about a plan that would give traditional phone companies a first bite at government subsidies to build out broadband in underserved areas.,topStory
CMCSA,Comcast Corporation,20110824,UPDATE 1-Brightcove files for $50 mln public offering , NEW YORK  Aug 24 Digital media company Brightcove Inc filed with regulators for a public offering of up to $50 million as it seeks to expand its offering of online video and app services for business clients.,normal
CBRL,Cracker Barrel Old Country Store Inc,20110824,Biglari seeks changes to Cracker Barrel reporting norms ,Cracker Barrel Old Country Store Inc's  largest shareholder called for management to publicly disclose operating information for both its businesses  after rejecting the company's offer to view this privately.,topStory
CBRL,Cracker Barrel Old Country Store Inc,20110824,UPDATE 2-Biglari seeks changes to Cracker Barrel reporting norms , * Investor seeks separate reporting info for both restaurants and retail,normal
DISH,DISH Network Corporation,20110824,TiVo results beat estimates  patents in focus ,NEW YORK TiVo Inc  a maker of digital video recorders  reported second-quarter results on Wednesday that beat expectations and said it is looking at ways to boost the value of its patents.,topStory
DISH,DISH Network Corporation,20110824,UPDATE 2-TiVo results beat estimates  patents in focus ,* Shares rise 9 pct after hours  (Adds outlook  byline  EPS estimate  details on Grande deal  byline),normal
DRYS,DryShips Inc,20110824,UPDATE 6-China COSCO seeks to reassure shipowners over unpaid bills , * COSCO moves hurt Chinese shipping companies-analyst   (Adds sources' comment on DryShips in paragraphs 12  14  15),topStory
DRYS,DryShips Inc,20110824,DryShips may seize more COSCO ships - sources , BANGALORE  Aug 24 Dry bulk shipowner DryShips    which is in a dispute with China COSCO Holdings   over non-payment of high-priced freight contracts  could seize more vessels if payments are not made  two Greece-based sources familiar with the matter told Reuters on Wednesday.,normal
DRYS,DryShips Inc,20110824,China COSCO seeks to reassure shipowners over unpaid bills ,SINGAPORE/HONG KONG China COSCO Holdings    the country's top shipping company  sought to reassure investors on Wednesday that negotiations with shipowners over unpaid bills would be resolved and its business remained strong.,normal
EXLS,ExlService Holdings Inc,20110824,EXLService in talks with 6-8 parties for possible deals ,NEW DELHI India-based business process outsourcing firm ExlService Holdings Inc  is in talks with six to eight industry players for acquisitions that could total $130 million  its chief executive said on Wednesday.,topStory
ESRX,Express Scripts Holding Company,20110824,Analysis: Express Scripts risks culture row with Medco deal ,NEW YORK At their roots  Express Scripts Inc  and Medco Health Solutions Inc  share the same goal: Reduce drug and healthcare costs for their clients.,topStory
GEVO,Gevo Inc,20110824,UPDATE 3-Genomatica hunts for $100 mln with IPO filing , * Shares of rivals Gevo  Solazyme down 30 pct since IPOs  (Adds investment risk details),topStory
INTC,Intel Corporation,20110824,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Aug 24 Short interest on the Nasdaq rose 3.9 percent in the first half of August compared with the second half of July  the exchange said on Wednesday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
FLAT,iPath US Treasury Flattener ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
FLAT,iPath US Treasury Flattener ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
FLAT,iPath US Treasury Flattener ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
FLAT,iPath US Treasury Flattener ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
STPP,iPath US Treasury Steepener ETN,20110824,UK bank insurance mis-selling complaints jump in H1 , LONDON  Aug 24 Complaints against controversial loan insurance by customers at two of Britain's top banks rose by 25-30 percent in the first half of this year from the previous six months and may rise further in the current period.,topStory
STPP,iPath US Treasury Steepener ETN,20110824,UPDATE 2-Nakheel ends restructuring  to issue $1 bln sukuk , * First sukuk tranche worth $1.03 bln to be issued Thursday,normal
STPP,iPath US Treasury Steepener ETN,20110824,Nakheel to issue $1 bln sukuk to trade creditors Thursday , DUBAI  Aug 24 Dubai's Nakheel will issue the first tranche of a 4.8 billion dirhams ($1.31 bln) Islamic bond to trade creditors on Thursday  its chairman said  part of the property firm's complex debt restructuring underway since 2009.,normal
STPP,iPath US Treasury Steepener ETN,20110824,Markets eye ECB dollar sale for bank funding clues , LONDON  Aug 24 The cost to insure bank debt remained near record highs and shares were anaemic as markets awaited the outcome of a European Central Bank dollar tender that could provide clues about lenders' ability to fund themselves.,normal
MSFT,Microsoft Corporation,20110824,COLUMN-2011: A Samsung litigation odyssey: Alison Frankel , -- Alison Frankel writes the On the Case blog for Thomson Reuters News & Insight (http://newsandinsight.com). The views expressed are her own. --,topStory
MSFT,Microsoft Corporation,20110824,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Aug 24 Short interest on the Nasdaq rose 3.9 percent in the first half of August compared with the second half of July  the exchange said on Wednesday.,normal
MSFT,Microsoft Corporation,20110824,UPDATE 1-Brightcove files for $50 mln public offering , NEW YORK  Aug 24 Digital media company Brightcove Inc filed with regulators for a public offering of up to $50 million as it seeks to expand its offering of online video and app services for business clients.,normal
MSFT,Microsoft Corporation,20110824,Exclusive: Privacy lawsuit targets comScore ,SAN FRANCISCO/BOSTON Online data tracking service comScore Inc siphons confidential information including passwords  credit card numbers and Social Security numbers from unsuspecting users  according to a lawsuit filed on Tuesday.,normal
MSFT,Microsoft Corporation,20110824,Acer sees more losses as revamp charges hurt Q2 ,TAIPEI Taiwanese PC maker Acer Inc reported a worse-than-expected quarterly loss  the first in company history  as it took charges to reorganize in a troubled first half  and said it would be impossible to break even for the full year.,normal
MSFT,Microsoft Corporation,20110824,UPDATE 2-Acer sees more losses as revamp charges hurt Q2 , * Chairman sees tablet PC 'fever' receding  notebooks regaining interest,normal
MSFT,Microsoft Corporation,20110824,China's Renren signs agreement with Microsoft's MSN ,SHANGHAI Chinese social-networking site Renren said on Wednesday it has signed an agreement with Microsoft's joint venture instant messaging firm  MSN  to cooperate in areas of instant messaging and social networking.,normal
MSFT,Microsoft Corporation,20110824,China's Renren signs agreement with Microsoft's MSN , SHANGHAI  Aug 24 Chinese social-networking site Renren said on Wednesday it has signed an agreement with Microsoft's joint venture instant messaging firm  MSN  to cooperate in areas of instant messaging and social networking.,normal
NDAQ,Nasdaq Inc,20110824,Starbucks CEO:100+ leaders to stop political gifts ,CHICAGO Starbucks Corp  Chief Executive Howard Schultz on Wednesday said that more than 100 U.S. business leaders have signed on to his call to withhold political contributions from lawmakers until they strike a bipartisan debt deal.,topStory
NDAQ,Nasdaq Inc,20110824,Starbucks CEO:100+ leaders to stop political gifts , CHICAGO  Aug 24 Starbucks Corp  Chief Executive Howard Schultz on Wednesday said that more than 100 U.S. business leaders have signed on to his call to withhold political contributions from lawmakers until they strike a bipartisan debt deal.,normal
NDAQ,Nasdaq Inc,20110824,Nasdaq short interest jumps in early August , NEW YORK  Aug 24 Short interest on the Nasdaq rose 3.9 percent in the first half of August compared with the second half of July  the exchange said on Wednesday.,normal
NDAQ,Nasdaq Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,NEW YORK U.S. stock exchanges could quietly log record per-share earnings this quarter thanks to a surge in trading volume  and analysts are urging investors to step in to take advantage of the broader market selloff.,normal
NDAQ,Nasdaq Inc,20110824,Nasdaq  NYSE in for quiet profit rise amid selloff ,   * Exchanges reap big revenues when panic grips marketplace,normal
NDAQ,Nasdaq Inc,20110824,Clients pressure Europe bourses on clearing choice ,LONDON Europe's largest exchanges  including the London Stock Exchange   NYSE Euronext  and Deutsche Boerse   face growing pressure from their main clients to copy rivals and offer brokers a wider choice of clearing providers.,normal
NDAQ,Nasdaq Inc,20110824,Clients pressure Europe bourses on clearing choice , * Interoperability increases "risks" - Deutsche Boerse,normal
NFLX,Netflix Inc,20110824,US STOCKS-Wall St rises but investors wary about Fed , * Dow up 0.6 pct  S&P up 0.6 pct  Nasdaq up 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon; changes byline),topStory
NFLX,Netflix Inc,20110824,US STOCKS-Dow  S&P rise  but uncertainty makes trading choppy , * Dow up 0.2 pct  S&P up 0.3 pct  Nasdaq down 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to early afternoon),normal
NFLX,Netflix Inc,20110824,US STOCKS-Wall St slips as Fed uncertainty weighs , * Indexes down: Dow 0.3 pct  S&P 0.3 pct  Nasdaq 0.9 pct,normal
NWSA,News Corporation,20110824,No 9/11 hacking probe details revealed to families , * No timeline for preliminary probe into hacking report,topStory
NWSA,News Corporation,20110824,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Aug 24 Short interest on the Nasdaq rose 3.9 percent in the first half of August compared with the second half of July  the exchange said on Wednesday.,normal
NVDA,NVIDIA Corporation,20110824,US STOCKS-Wall St rises but investors wary about Fed , * Dow up 0.6 pct  S&P up 0.6 pct  Nasdaq up 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to late afternoon; changes byline),topStory
NVDA,NVIDIA Corporation,20110824,US STOCKS-Dow  S&P rise  but uncertainty makes trading choppy , * Dow up 0.2 pct  S&P up 0.3 pct  Nasdaq down 0.2 pct  * For up-to-the-minute market news see [STXNEWS/US]  (Updates to early afternoon),normal
