ARAY,Accuray Incorporated,20111116,UPDATE 1-Accuray to cut 5 pct jobs to reduce cost ,Nov 16 Medical device maker Accuray Inc  said it would cut about 5 percent of its workforce  or 51 jobs  to reduce cost following its acquisition of smaller rival TomoTherapy earlier this year.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DLBL,Barclays PLC,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DLBL,Barclays PLC,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DTYL,Barclays PLC,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DTYL,Barclays PLC,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
ESLT,Elbit Systems Ltd,20111116,UPDATE 2-Elbit Systems Q3 adjusted net profit up ,TEL AVIV  Nov 16 Israeli defence electronics group Elbit Systems Ltd reported higher adjusted third-quarter net profit that beat expectations  boosted by acquisitions and strong sales in the United States  South America and Asia-Pacific.,topStory
ESLT,Elbit Systems Ltd,20111116,BRIEF-Elbit Systems Q3 results ,Nov 16 Israeli defence electronics firms Elbit Systems  :,normal
ERIC,Ericsson,20111116,Ericsson  Alcatel dominate LTE market: Dell'Oro ,Ericsson and Alcatel-Lucent won more of the emerging market for LTE wireless network technology in the third quarter  helped by their strong position in the United States  researcher Dell'Oro said.,topStory
FITB,Fifth Third Bancorp,20111116,UPDATE 1-Fifth Third eyes deals in 2012  CFO says ,Nov 16 Fifth Third Bancorp will look more closely at buying rival banks in 2012 as one way to use its excess capital  Chief Financial Officer Daniel Poston said on Wednesday.,topStory
FITBI,Fifth Third Bancorp,20111116,UPDATE 1-Fifth Third eyes deals in 2012  CFO says ,Nov 16 Fifth Third Bancorp will look more closely at buying rival banks in 2012 as one way to use its excess capital  Chief Financial Officer Daniel Poston said on Wednesday.,topStory
FSLR,First Solar Inc,20111116,UPDATE 1-First Solar could supply two major U.S. projects ,Nov 16 German solar project developer solarhybrid AG said on Wednesday it plans to use First Solar Inc panels in two major U.S. power plants as part of its plan to take over Solar Millennium AG's U.S. project pipeline.,topStory
INCY,Incyte Corporation,20111116,UPDATE 1-US approves Incyte's rare bone marrow disease drug ,Nov 16 U.S. drug regulators on Wednesday approved Incyte Corp's Jakafi  the first drug to specifically treat the rare bone marrow disease myelofibrosis.,topStory
INDB,Independent Bank Corp,20111116,MOVES-Citigroup  Markel International ,Nov 16 The following financial service industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
INTL,INTL FCStone Inc,20111116,UPDATE 2-FCStone to buy MF Global's LME seat  team ,LONDON/NEW YORK  Nov 16 U.S.-based broker INTL FCStone has agreed to acquire the ring dealing seat on the London Metal Exchange formerly held by MF Global  in its latest step to beef up its metals business  industry sources said on Wednesday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
FLAT,iPath US Treasury Flattener ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
FLAT,iPath US Treasury Flattener ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
STPP,iPath US Treasury Steepener ETN,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
STPP,iPath US Treasury Steepener ETN,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
MU,Micron Technology Inc,20111116,Rambus loses antitrust lawsuit  shares plunge ,SAN FRANCISCO Rambus Inc lost a $4 billion antitrust lawsuit against Micron Technology Inc and Hynix Semiconductor Inc  erasing more than half of the chipmaker's value as investors abandoned its stock.,topStory
MU,Micron Technology Inc,20111116,UPDATE 5-Rambus loses antitrust lawsuit  shares plunge ,* Rambus shares sink 60.6 pct; Micron shares rise 23.4 pct,normal
MU,Micron Technology Inc,20111116,Rambus loses antitrust case vs Micron  Hynix ,SAN FRANCISCO  Nov 16 Rambus lost and was awarded no damages in an antitrust trial where it accused Micron Technology and Hynix Semiconductor of conspiring to prevent Rambus' computer memory technology from becoming the industry standard.,normal
MSFT,Microsoft Corporation,20111116,Newsmaker: "Italian Prussian" Monti sworn in as premier ,ROME Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,topStory
MSFT,Microsoft Corporation,20111116,NEWSMAKER-"Italian Prussian" Monti sworn in as premier ,ROME  Nov 16 Mario Monti  the economist sworn in on Wednesday as Italy's prime minister  brings credentials from a decade as a European commissioner that his technocrat government will need as it faces a financial crisis threatening to spin out of control.,normal
MSFT,Microsoft Corporation,20111116,Nokia aims to undercut rivals with volume focus ,BARCELONA Nokia plans to undercut its Windows Phone rivals to give its new smartphones a foothold in the market before trying to improve margins  its Chief Executive Stephen Elop said on Wednesday.,normal
MSFT,Microsoft Corporation,20111116,Nokia to launch Windows tablet mid-2012: report ,PARIS Cellphone maker Nokia plans to launch a tablet that runs on Microsoft's Windows operating system in the summer of 2012  the head of Nokia France told Les Echos newspaper in an interview published on Wednesday.,normal
MSFT,Microsoft Corporation,20111116,REFILE-Nokia to launch Windows tablet mid-2012 -report ,PARIS  Nov 16 Cellphone maker Nokia  plans to launch a tablet that runs on Microsoft's  Windows operating system in the summer of 2012  the head of Nokia France told Les Echos newspaper in an interview published on Wednesday.,normal
MORN,Morningstar Inc,20111116,HOW TO PLAY IT: Wading through ratings for the right fund ,THE ISSUE: Morningstar launched a new ratings system designed to factor in more forward-looking factors. But with multiple companies out there rating funds  what factors should investors look at when choosing a fund?,topStory
NTAP,NetApp Inc,20111116,NetApp sees Q3 profit below Street  shares fall ,Data storage equipment maker NetApp Inc  reported a 6 percent dip in fiscal second-quarter profit and forecast lower than expected results for the current quarter as large corporations trim technology spending in a shaky economy.,topStory
NTAP,NetApp Inc,20111116,UPDATE 2-NetApp sees Q3 profit below Street  shares fall ,Nov 16 Data storage equipment maker NetApp Inc reported a 6 percent dip in fiscal second-quarter profit and forecast lower than expected results for the current quarter as large corporations trim technology spending in a shaky economy.,normal
NWS,News Corporation,20111116,UK MPs to press James Murdoch on snooping claims ,LONDON British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,topStory
NWS,News Corporation,20111116,UPDATE 1-UK MPs to press James Murdoch on snooping claims ,LONDON  Nov 16 British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,normal
NWS,News Corporation,20111116,UK MPs to press James Murdoch on snooping claims ,LONDON  Nov 16 British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,normal
NWS,News Corporation,20111116,Big funds bought News Corp as scandal rumbled ,* Childrens Investment  Eton Park  Elliot bought News Corp,normal
NWSA,News Corporation,20111116,UK MPs to press James Murdoch on snooping claims ,LONDON British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,topStory
NWSA,News Corporation,20111116,UPDATE 1-UK MPs to press James Murdoch on snooping claims ,LONDON  Nov 16 British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,normal
NWSA,News Corporation,20111116,UK MPs to press James Murdoch on snooping claims ,LONDON  Nov 16 British legislators will write to News International chairman James Murdoch to press him further on claims that his company snooped on them when they were pursuing allegations of phone hacking  a senior parliamentarian told Reuters on Wednesday.,normal
NWSA,News Corporation,20111116,Big funds bought News Corp as scandal rumbled ,* Childrens Investment  Eton Park  Elliot bought News Corp,normal
QCOM,QUALCOMM Incorporated,20111116,Qualcomm keeps long-term growth target ,Qualcomm Inc on Wednesday affirmed its long-term growth target of at least 10 percent for annual revenue and earnings per share  citing strong demand for smartphones and other wireless devices.,topStory
QCOM,QUALCOMM Incorporated,20111116,Qualcomm keeps long-term growth target ,Nov 16 Qualcomm Inc on Wednesday affirmed its long-term growth target of at least 10 percent for annual revenue and earnings per share  citing strong demand for smartphones and other wireless devices.,normal
RMBS,Rambus Inc,20111116,US STOCKS-Wall Street falls  eyes banking contagion ,NEW YORK  Nov 16 U.S. stocks fell on Wednesday  with selling accelerating late in the session on more warnings about the potential impact of the euro zone's debt crisis on the global economy and the banking system.,topStory
RMBS,Rambus Inc,20111116,Rambus loses antitrust lawsuit  shares plunge ,SAN FRANCISCO Rambus Inc lost a $4 billion antitrust lawsuit against Micron Technology Inc and Hynix Semiconductor Inc  erasing more than half of the chipmaker's value as investors abandoned its stock.,normal
RMBS,Rambus Inc,20111116,UPDATE 5-Rambus loses antitrust lawsuit  shares plunge ,* Rambus shares sink 60.6 pct; Micron shares rise 23.4 pct,normal
SINA,Sina Corporation,20111116,Chatter in China: Multinationals turn to Weibo ,SHANGHAI What do the International Monetary Fund  Louis Vuitton and Unilever have in common?,topStory
SINA,Sina Corporation,20111116,UPDATE 2-Chatter in China: Multinationals turn to Weibo ,* Weibo is now dominant platform for directly reaching Chinese public,normal
ANF,Abercrombie & Fitch Company,20111116,US STOCKS-Wall Street falls  eyes banking contagion ,NEW YORK  Nov 16 U.S. stocks fell on Wednesday  with selling accelerating late in the session on more warnings about the potential impact of the euro zone's debt crisis on the global economy and the banking system.,topStory
ANF,Abercrombie & Fitch Company,20111116,Abercrombie margins to stay weak  keeps Europe plans ,Abercrombie & Fitch  said it sees margins remaining weak in the key holiday season but backed its international expansion plans  spooking investors  who drove the teen retailer's stock down 14 percent Wednesday.,normal
ANF,Abercrombie & Fitch Company,20111116,UPDATE 4-Abercrombie margins to stay weak  keeps Europe plans ,Nov 16 Abercrombie & Fitch said it sees margins remaining weak in the key holiday season but backed its international expansion plans  spooking investors  who drove the teen retailer's stock down 14 percent Wednesday.,normal
ANF,Abercrombie & Fitch Company,20111116,"Situation" sues Abercrombie & Fitch over ad campaign ,"Jersey Shore" star Michael "The Situation" Sorrentino on Tuesday sued retailer Abercrombie & Fitch over what he claims was a publicity stunt to sell clothes using phrases associated with the reality TV actor.,normal
ANF,Abercrombie & Fitch Company,20111116,"Situation" sues Abercrombie & Fitch over ad campaign ,"Jersey Shore" star Michael "The Situation" Sorrentino on Tuesday sued retailer Abercrombie & Fitch over what he claims was a publicity stunt to sell clothes using phrases associated with the reality TV actor.,normal
AET,Aetna Inc,20111116,REFILE-Samsung Elec buys U.S. healthcare equipment maker Nexus ,SEOUL  Nov 16 Samsung Electronics  said late on Tuesday that it had purchased U.S. provider cardiac testing solutions provider Nexus  marking its second healthcare acquisition this year as the technology giant pushes into new growth areas.,topStory
AET,Aetna Inc,20111116,Samsung Elec buys U.S. healthcare equipment maker Nexus ,SEOUL Samsung Electronics  said late on Tuesday that it had purchased U.S. provider cardiac testing solutions provider Nexus  marking its second healthcare acquisition as the technology giant pushes into new growth areas.,normal
AEE,Ameren Corporation,20111116,Ameren in talks to hand over carbon-capture project - report ,Nov 15 Ameren Corp  a utility holding company  is in talks to hand over control of a carbon-capture project  Bloomberg reported  citing people familiar with the talks.,topStory
BAC,Bank of America Corporation,20111116,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 16  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,topStory
BCS,Barclays PLC,20111116,New Issue-BHP Billiton Fin sells $3 bln notes in 3 parts ,Nov 16 BHP Billiton Finance Ltd on Wednesday sold $3 billion of three-part notes  said IFR  a Thomson Reuters service.      Barclays Capital and J.P. Morgan were the joint bookrunning managers for the sale. BORROWER: BHP BILLITON FINANCE LTD TRANCHE 1 AMT $1 BLN        COUPON 1.125 PCT     MATURITY  11/21/2014 TYPE NTS          ISS PRICE 99.645     FIRST PAY  5/21/2012 MOODY'S A1        YIELD 1.246 PCT      SETTLEMENT 11/21/2011 S&P A-PLUS        SPREAD 85 BPS        PAY FREQ SEMI-AN,topStory
BCS,Barclays PLC,20111116,PROFILE: SIFMA chair takes helm at time of uncertainty ,NEW YORK  Nov 16 Barclays Capital co-head Jerry del Missier has a lot to do before he turns 50.,normal
ABX,Barrick Gold Corporation,20111116,UPDATE 1-Novagold shares jump on possible Galore Creek sale ,TORONTO  Nov 16 Shares of Novagold rose 13.4 percent on Wednesday morning after the mining exploration company said it is exploring a possible sale of its 50 percent stake in the big Galore Creek copper/gold project in northwestern British Columbia.,topStory
ABX,Barrick Gold Corporation,20111116,UPDATE 1-Pakistan says no to Antofagasta-Barrick Gold mine ,LONDON  Nov 16 Pakistan's Baluchistan province has rejected a mining lease application from Chilean copper producer Antofagasta and Canada's Barrick Gold   raising questions over the future of their Reko Diq copper-gold project.,normal
BHP,BHP Billiton Limited,20111116,UPDATE 1-BHP Billiton turns more cautious on outlook ,MELBOURNE  Nov 17 BHP Billiton  the world's biggest miner  has turned more wary on the outlook for commodity markets  warning on Thursday that some customers are starting to face tighter access to trade finance and some are cutting production.,topStory
BHP,BHP Billiton Limited,20111116,BHP Billiton wary on commodity price outlook ,MELBOURNE  Nov 17 BHP Billiton  the world's biggest miner  expects heightened volatility and the uncertain economic outlook to weigh on sentiment in commodities markets  with customers being more cautious in managing stocks.,normal
BA,Boeing Company (The),20111116,UPDATE 4-AIRSHOW-UAE says Rafale proposal 'unworkable' ,* French source says talks ongoing  UAE negotiating price,topStory
BA,Boeing Company (The),20111116,Emirates Airline has $4 bln in cash reserves -Sheikh Ahmed ,DUBAI  Nov 16 Emirates  Dubai's flagship carrier  has $4 billion in cash reserves  its Chairman Sheikh Ahmed bin Saeed al-Maktoum told Al-Arabiya television on Wednesday.,normal
BA,Boeing Company (The),20111116,AIRSHOW-WRAPUP 5-Qatar  Airbus make up and sign $6 bln deal ,* Qatar Airways orders 5 Airbus A380s  50 A320neo jetliners,normal
BP,BP plc,20111116,BP Texas City refinery operating normally -sources ,HOUSTON  Nov 16 BP Plc's  406 570 barrel-per-day (bpd) Texas City  Texas  refinery was operating normally on Wednesday as workers attempted to determine the source of odors that triggered complaints from nearby residents  according to sources familiar with refinery operations.,topStory
BP,BP plc,20111116,BP Whiting crude unit  coker back after work -sources ,HOUSTON  Nov 16 BP Plc's  405 000 barrel per day (bpd) Whiting  Indiana  refinery completed returning a crude distillation unit and coking unit to production by Tuesday morning  said sources familiar with refinery operations.,normal
BT,BT Group plc,20111116,BT CEO says may make early pension payment ,BARCELONA  Spain  Nov 16 British telecoms group BT could use strong cash flow to make an early payment into its pension fund once a triennial review starts at the end of the year.,topStory
BT,BT Group plc,20111116,CORRECTED-BT to open access to pole and duct network ,LONDON  Nov 16 Openreach  the infrastructure division of BT  said it would open commercial access to its telegraph poles and ducts to other operators later this month  in a move that could speed up the rollout of superfast broadband across Britain.,normal
CM,Canadian Imperial Bank of Commerce,20111116,New Issue-Canada Housing prices dual tranche deal-Leads ,Underlying govt bond    Over the 3.25 pct June 01  2021 CDOR,topStory
CHK,Chesapeake Energy Corporation,20111116,Chesapeake chief opposes exporting US natural gas ,* Chesapeake has supply agreement to export natgas abroad,topStory
CVX,Chevron Corporation,20111116,Statoil group to spend C$348 mln on Canada acreage ,CALGARY  Alberta  Nov 16 A trio of international oil companies led by Norway's Statoil ASA won bids for exploration rights off Canada's East Coast on Wednesday  pledging to spend a total of C$348 million ($341 million) on two offshore parcels.,topStory
CVX,Chevron Corporation,20111116,Statoil wins exploration rights offshore Canada ,OSLO  Nov 16 Norwegian oil and gas firm Statoil has won exploration rights in two areas of the Flemish Pass Basin offshore Newfoundland and Labrador in Canada  the firm said on Wednesday.,normal
CHL,China Mobile (Hong Kong) Ltd,20111116,Hong Kong shares to open up 0.7 percent ,HONG KONG  Nov 16 Hong Kong shares were set to open higher on Wednesday  with China Mobile Ltd  the biggest boost to the benchmark Hang Seng Index  but turnover could stay weak with the situation in Europe keeping investors on the backfoot.,topStory
C,Citigroup Inc,20111116,Citigroup to cut jobs  total could top 3 000 ,Citigroup In c may cut "slightly more" than 3 000 jobs  becoming the latest U.S. bank to eliminate positions  a source familiar with the matter said.,topStory
C,Citigroup Inc,20111116,FTSE climbs as investors cheer earnings ,* Europe debt concerns see Italian  Spanish yields remain high,normal
