SHLM,A Schulman Inc,20110825,UPDATE 2-A. Schulman cuts profit target  to close plant , * Stock drops 3.5 percent  (Adds CEO comments  stock drop),topStory
AAPL,Apple Inc,20110825,Investors sanguine as Apple's Jobs steps aside ,SAN FRANCISCO/NEW YORK Apple Inc's first day without Steve Jobs as chief executive looked awfully similar to most other days: its share price beat the broader stock market. | Video ,normal
AAPL,Apple Inc,20110825,How much higher can Apple shares go without Jobs? ,NEW YORK As far as investors can see  the outlook for Apple's shares remains as bright as an iPad screen despite the resignation of Steve Jobs  the company's legendary co-founder  as chief executive.,normal
AAPL,Apple Inc,20110825,Tense market falls ahead of Bernanke speech ,NEW YORK Stocks fell on Thursday as investors raised cash ahead of a critical speech from Fed Chairman Ben Bernanke  hoping he will give them a clearer picture of the Fed's plans for the struggling economy. | Video ,normal
AAPL,Apple Inc,20110825,WRAPUP 5-Investors sanguine as Apple's Jobs steps aside , * At least 13 brokerages maintain ratings on stock  (Adds link to package of Reuters stories),normal
AAPL,Apple Inc,20110825,Pandora Media revenue beats on strong ad sales ,NEW YORK Online radio service Pandora Media Inc reported results that beat expectations on strong advertising sales in its fiscal second quarter.,normal
AAPL,Apple Inc,20110825,UPDATE 3-Pandora Media revenue beats on strong ad sales , * Adj EPS 2 cents vs loss of 3 cents per share St. view,normal
AAPL,Apple Inc,20110825,OmniVision sees Q2 below estimates  shares dive ,BANGALORE OmniVision Technologies Inc  forecast second-quarter results well below estimates  hinting at a loss of market share in its key smartphone image sensor business  sending its shares down 25 percent in extended trade.,normal
AAPL,Apple Inc,20110825,UPDATE 3-AMD ends CEO search  hires Lenovo executive , * He promises to be aggressive in adding mobile products,normal
AMAT,Applied Materials Inc,20110825,REFILE-US STOCKS-Wall St drops  triggered by German market fall , * Apple slides after Steve Jobs resigns  weighs on Nasdaq,topStory
AMAT,Applied Materials Inc,20110825,Applied Materials falls on dim solar wafer prospects ,Shares of Applied Materials fell 4 percent on Thursday as the company's weak outlook underlined a slowdown in the broader semiconductor equipment market and prompted a slew of brokerages cut their price target on the stock.,normal
AMAT,Applied Materials Inc,20110825,US STOCKS-Wall St drops about 1 pct  tracking German Dax , * Indexes down: Dow 1.4 pct  S&P 1.4 pct  Nasdaq 1.6 pct,normal
AMAT,Applied Materials Inc,20110825,US STOCKS-Wall St drops about 1 pct  tracking German Dax , * Indexes down: Dow 1.4 pct  S&P 1.4 pct  Nasdaq 1.6 pct,normal
BMLP,Bank Of Montreal,20110825,UPDATE 4-Canada's National Bank profit rises  shares fall , * Shares down 2.9 pct  (Adds CEO comments  details  updates shares),topStory
BMLP,Bank Of Montreal,20110825,Profit up at National Bank of Canada's wealth unit , * Says  Wellington deal synergies on time and on target,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DLBL,Barclays PLC,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DLBL,Barclays PLC,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DLBL,Barclays PLC,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DLBL,Barclays PLC,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DLBL,Barclays PLC,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DLBL,Barclays PLC,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTYL,Barclays PLC,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DTYL,Barclays PLC,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DTYL,Barclays PLC,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DTYL,Barclays PLC,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DTYL,Barclays PLC,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTYL,Barclays PLC,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
CSIQ,Canadian Solar Inc,20110825,CORRECTED-UPDATE 1-Germany's SMA Solar eyes 1.4GW of business from India , (Corrects figure in headline to 1.4GW from 3.5GW  and in first paragraph to 40 percent of 3 500MW  not 3 500MW)	  (Adds details  background  quotes),topStory
CETV,Central European Media Enterprises Ltd,20110825,UPDATE 1-RTL interested in Poland's TVN - source , * Process at early stage  no due diligence yet - source,topStory
CLNE,Clean Energy Fuels Corp,20110825,UPDATE 2-Clean Energy gets more investment  shares rise , * Springleaf  Lionfish  Greenwich Asset to invest $150 mln,topStory
CLNE,Clean Energy Fuels Corp,20110825,Clean Energy receives another $150 million in investment ,Clean Energy Fuels Corp  said three investment companies will pump $150 million in the largest North American natural gas fuels provider  a month after Chesapeake Energy  pledged a similar amount to help expand Clean Energy's infrastructure.,normal
CME,CME Group Inc,20110825,UPDATE 1-CME cuts crude oil futures margins by 4 pct , Aug 25 The CME Group   the world's largest commodities exchange  lowered its margin requirement on trading U.S. crude oil futures by 4 percent on Thursday  the first reduction this year  amid a steep drop in prices since the start of August.,topStory
CMCSA,Comcast Corporation,20110825,SK Telecom says no plan to bid for Hulu , SEOUL  Aug 25 South Korea's top mobile carrier  SK Telecom   said on Thursday that it had no plans to bid for U.S. online video site Hulu.,topStory
COST,Costco Wholesale Corporation,20110825,Costco can't move "I slipped on a slurpee" lawsuit ,NEW YORK A 74-year-old woman who said she was injured after falling in a Costco store in Florida beat back the retailer's effort to move the case to that state because it was too much trouble to defend itself in New York.,topStory
COST,Costco Wholesale Corporation,20110825,Costco can't move "I slipped on a slurpee" lawsuit , NEW YORK  Aug 25 A 74-year-old woman who said she was injured after falling in a Costco store in Florida beat back the retailer's effort to move the case to that state because it was too much trouble to defend itself in New York.,normal
EBAY,eBay Inc,20110825,Newsmaker: Steve Jobs has a different operating system ,SAN FRANCISCO Hard to understand  difficult to work with and deemed irreplaceable by many Apple fans and investors  Steve Jobs has made a life defying conventions and expectations.,topStory
ESRX,Express Scripts Holding Company,20110825,LPC-Express Scripts $5.5bn loan to allocate , NEW YORK  Aug 25 (LPC) - Express Scripts Inc's $5.5 billion pro rata tranche is expected to allocate today after the commitment deadline was extended from Friday  sources said.,topStory
FFIV,F5 Networks Inc,20110825,Analysis: Network gear makers stumble  but growth still there ,As sales of smartphones soar and companies shift data to cloud computing  the outlook for the makers of the switches  routers and other gear to manage networks may not be as gloomy as recent share market performance suggests.,topStory
HBAN,Huntington Bancshares Incorporated,20110825,Investors who follow Buffett in BofA may be sorry ,BOSTON Following Warren Buffett is usually an easy way to make money  but in the case of the oracle's investment in Bank of America Corp investors may find it a lot tougher.,topStory
HBAN,Huntington Bancshares Incorporated,20110825,Investors who follow Buffett in BofA may be sorry , BOSTON  Aug 25 Following Warren Buffett is usually an easy way to make money  but in the case of the oracle's investment in Bank of America Corp  investors may find it a lot tougher.,normal
INTC,Intel Corporation,20110825,UPDATE 3-AMD ends CEO search  hires Lenovo executive , * He promises to be aggressive in adding mobile products,topStory
INTC,Intel Corporation,20110825,UPDATE 2-AMD ends CEO search  hires Lenovo veteran , NEW YORK  Aug 25 Advanced Micro Devices Inc  named Rory Read as its new chief executive on Thursday  hiring the Lenovo Group Ltd  executive after a search that began in January.,normal
INTC,Intel Corporation,20110825,AMD ends CEO search  hires Lenovo veteran ,NEW YORK Advanced Micro Devices Inc  named Rory Read as its new chief executive on Thursday  hiring the Lenovo Group Ltd  executive after a search that began in January.,normal
INTC,Intel Corporation,20110825,Newsmaker: Cook's vision center stage after Jobs's departure ,NEW YORK Tim Cook  the small-town football fanatic turned chief executive of the world's largest technology company  long faced the question of whether he had the same remarkable vision as his predecessor Steve Jobs.,normal
INTC,Intel Corporation,20110825,NEWSMAKER-Cook's vision center stage after Jobs' departure , NEW YORK  Aug. 24 Tim Cook  the small-town football fanatic turned chief executive of the world's largest technology company  long faced the question of whether he had the same remarkable vision as his predecessor Steve Jobs.,normal
IDCC,InterDigital Inc,20110825,Analysis: China's telecom patent boom heralds innovation era ,SINGAPORE China's telecom giants are building up a war-chest of patents to help give them an edge in the legal battles raging between the world's smartphone makers  aided by Beijing's push to transform the country from workshop to innovator.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
FLAT,iPath US Treasury Flattener ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
FLAT,iPath US Treasury Flattener ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
FLAT,iPath US Treasury Flattener ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
FLAT,iPath US Treasury Flattener ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
FLAT,iPath US Treasury Flattener ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
FLAT,iPath US Treasury Flattener ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
STPP,iPath US Treasury Steepener ETN,20110825,UBS hires Barclays' Pierce to run U.S. MLP banking , NEW YORK  Aug 25 UBS AG   said it hired banker Robert Pierce away from Barclays Plc's  Barclays Capital to run its midstream energy and master limited partnership investment banking business in the Americas.,topStory
STPP,iPath US Treasury Steepener ETN,20110825,Dealtalk: Barclays M&A team rises from Lehman's ashes ,NEW YORK Skip McGee's most fulfilling moment as an investment banker came in 2002  when his team at Lehman Brothers helped Williams Cos  avert bankruptcy.,normal
STPP,iPath US Treasury Steepener ETN,20110825,DEALTALK-Barclays M&A team rises from Lehman's ashes , * Challenge now to tap bank's ties with firms to M&A roles,normal
STPP,iPath US Treasury Steepener ETN,20110825,Barclays cuts 140 jobs in UK corporate arm , LONDON  Aug 25 Barclays is cutting 140 jobs in its corporate business arm as part of the UK bank's plan to slash costs and improve efficiencies.,normal
STPP,iPath US Treasury Steepener ETN,20110825,UPDATE 1-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
STPP,iPath US Treasury Steepener ETN,20110825,NEW ISSUE-Union Bank of India picks 6 banks for offshore bond-sources , MUMBAI  Aug 25 State-run Union Bank of India (UBI) has picked six banks for a possible offshore bond issue  several sources with direct knowledge of the matter told Reuters.,normal
LPLA,LPL Financial Holdings Inc,20110825,Wealth managers lost 14 000 advisers in 2010: report ,NEW YORK The U.S. wealth management industry is shrinking  losing legions of advisers  just as demand for their services is on the rise.,topStory
LPLA,LPL Financial Holdings Inc,20110825,REFILE-Wealth managers lost 14 000 advisers in 2010-report , NEW YORK  Aug 25 The U.S. wealth management industry is shrinking  losing legions of advisers  just as demand for their services is on the rise.,normal
MSCC,Microsemi Corporation,20110825,Dealtalk: Zarlink looks enticing but white-knight bid elusive ,TORONTO Specialty chipmaker Zarlink Semiconductor  may have what it takes to tempt new takeover offers as it fights a hostile C$550 million bid from Microsemi Corp but would-be buyers have yet to show their cards.,topStory
MSCC,Microsemi Corporation,20110825,DEALTALK-Zarlink looks enticing but white-knight bid elusive ,   *Zarlink seeks buyers to fend off hostile Microsemi bid,normal
