ATVI,Activision Blizzard Inc,20110921,EA wants Facebook's users  $3 billion in digital sales ,NEW YORK Electronic Arts Inc may never recover its Silicon Valley swagger. But maybe it doesn't have to  its top executive says.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
DLBL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DLBL,Barclays PLC,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DLBL,Barclays PLC,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DLBL,Barclays PLC,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DLBL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
DLBL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
DLBL,Barclays PLC,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DLBL,Barclays PLC,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DLBL,Barclays PLC,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
DTYL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DTYL,Barclays PLC,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DTYL,Barclays PLC,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DTYL,Barclays PLC,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DTYL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
DTYL,Barclays PLC,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
DTYL,Barclays PLC,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTYL,Barclays PLC,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTYL,Barclays PLC,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
BBBY,Bed Bath & Beyond Inc,20110921,Bed Bath Q2 profit beats Street view ,Bed Bath & Beyond Inc  posted a quarterly profit that beat Wall Street expectations  as more shoppers showed an interest in decorating their homes.,topStory
BBBY,Bed Bath & Beyond Inc,20110921,UPDATE 1-Bed Bath Q2 profit beats Street view , * Sees Q3 EPS at $0.82-$0.87 vs est $0.86   (Follows alerts),normal
CSCO,Cisco Systems Inc,20110921,Oracle expects strong Q2  firms up tech outlook ,Oracle Corp forecast earnings for the current quarter that are higher than expected  as well as robust software sales  offering some reassurance to investors hoping that global technology spending is holding up.,topStory
CSCO,Cisco Systems Inc,20110921,UPDATE 4-Oracle expects strong Q2  firms up tech outlook , * Q1 EPS ex-items 48 cts  vs 46 cts expected by Wall St,normal
CMCSA,Comcast Corporation,20110921,Hulu has more than 1 million paying subscribers: CEO ,NEW YORK Hulu  the popular online video service which has been put up for sale by its joint owners  now has more than 1 million paying subscribers  Chief Executive Jason Kilar said on Wednesday.,topStory
CMCSA,Comcast Corporation,20110921,UPDATE 1-Hulu has more than 1 mln paying subs - CEO , * Hulu sale still being evaluated - News Corp COO Carey,normal
DISCA,Discovery Communications Inc,20110921,UPDATE 2-Netflix  Discovery in streaming deal for TV shows , * Discovery's first major release of long-form Web content  (Adds Netflix comments),topStory
ETFC,E*TRADE Financial Corporation,20110921,TD Bank expresses little appetite for E*Trade deal , TORONTO  Sept 21 The lack of clarity around the assets held in E*Trade's  mortgage portfolio and the high price that the U.S. online broker might fetch make it unlikely that Toronto-Dominion Bank  would take part in any deal to buy the firm.,topStory
EBAY,eBay Inc,20110921,HP may oust CEO  hire eBay veteran: source ,Hewlett-Packard Co's board convened on Wednesday to consider ousting Chief Executive Officer Leo Apotheker after less than a year on the job and replacing him temporarily with former eBay CEO Meg Whitman  a source familiar with the matter said.,topStory
EBAY,eBay Inc,20110921,UPDATE 4-HP's board may oust CEO  hire eBay vet -source , * Wall Street roars approval  shares close 6.6 pct higher,normal
EBAY,eBay Inc,20110921,US STOCKS-Wall St sinks after Fed statement cites 'risks' , * Dow off 2.5 pct  S&P off 2.9 pct  Nasdaq off 2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates to close),normal
EBAY,eBay Inc,20110921,US STOCKS-Wall St extends losses after Fed statement , * Dow off 0.9 pct  S&P off 1.2 pct  Nasdaq off 0.2 pct * For up-to-the-minute market news see [STXNEWS/US]  (Updates with Fed statement  changes byline),normal
EBAY,eBay Inc,20110921,HP board meeting on Wed.  considering CEO change , SAN FRANCISCO  Sept 21 Hewlett-Packard Co's  board of directors is meeting on Wednesday to consider whether to replace Chief Executive Leo Apotheker and whether to name former eBay  CEO Meg Whitman  who is a current HP director  to replace him  a source familiar with the matter said.,normal
EBAY,eBay Inc,20110921,HP's board considers ousting CEO -Bloomberg , Sept 21 Hewlett-Packard Co's  board is considering ousting Chief Executive Officer Leo Apotheker after less than a year on the job and replacing him temporarily with former eBay  CEO Meg Whitman  Bloomberg cited two sources familiar with the matter as saying.,normal
EXPE,Expedia Inc,20110921,Schmidt says Google has not cooked search results ,WASHINGTON Google Inc has not cooked its search results to favor its own products and listings  Executive Chairman Eric Schmidt told a U.S. Senate hearing looking into whether the search giant abuses its power.,topStory
EXPE,Expedia Inc,20110921,UPDATE 4-Schmidt says Google has not cooked search results , * Senator Lee: Google decides who wins  fails on Internet,normal
EXPE,Expedia Inc,20110921,Schmidt confident regulators will clear Google , * Expedia representative to say Google abuses dominance,normal
EXPE,Expedia Inc,20110921,PRESS DIGEST - Wall Street Journal - Sept 21 , Sept 21 The following were the top stories in The Wall Street Journal on Wednesday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
FSLR,First Solar Inc,20110921,House Republicans step up probe into energy loans ,WASHINGTON/LOS ANGELES Republican lawmakers are stepping up their investigation into alternative energy loan programs in the wake of the collapse of the Solyndra solar company  the first company to receive such government funding.,topStory
GEVO,Gevo Inc,20110921,CORRECTED-UPDATE 2-Elevance Renewable Sciences files for $100 mln IPO , * Morgan Stanley  J.P. Morgan  Jefferies  Piper Jaffray  Raymond James underwriting IPO,topStory
MLHR,Herman Miller Inc,20110921,Herman Miller Q1 beats view  shares rise ,Office furniture maker Herman Miller Inc's  first-quarter results handily beat estimates helped by margin expansion and order growth.,topStory
MLHR,Herman Miller Inc,20110921,UPDATE 1-Herman Miller Q1 beats view  shares rise , * Shares up 8 percent in extended trade   (Follows alerts),normal
INTC,Intel Corporation,20110921,Dealtalk: Microsemi must raise Zarlink bid or lose to rival ,A C$550 million hostile bid for specialty chipmaker Zarlink will likely fail as investors wait for predator Microsemi to raise its bid  or for a friendly suitor to emerge.,topStory
INTC,Intel Corporation,20110921,DEALTALK-Microsemi must raise Zarlink bid or lose to rival ,   * Zarlink says C$3.35/share low  talking to other parties,normal
INTC,Intel Corporation,20110921,Microsoft boosts dividend 25 percent ,Microsoft Corp announced a 25 percent increase in its quarterly dividend on Tuesday to 20 cents per share  as the technology giant hands more cash back to shareholders frustrated with its stagnant share price.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of its North American business in 2008.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,DealTalk: Could BRIC banks ride to Europe's rescue? ,LONDON Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,DEALTALK-Could BRIC banks ride to Europe's rescue? , LONDON  Sept 21 Top banks in China  Brazil and Russia are likely to be sizing up whether Europe's ailing banks are ripe for picking  though the eurozone's deep problems and grim growth prospects are expected to deter all but the most brave or ambitious.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,MOVES-BlackRock  Aon Hewitt  Standard Chartered , Sept 21 The following financial service industry appointments were announced on Tuesday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110921,Barclays poaches Deutsche's equities team in S.Korea , HONG KONG  Sept 21 Barclays Capital (Barcap) has hired nine staff for its South Korean equities team  the company said in a statement on Wednesday. Eight of the nine staff previously worked with Deutsche Bank AG   said Barcap  investment banking arm of British bank Barclays Plc .,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110921,UPDATE 4-Lehman to drop appeals over Barclays sale , * Will not appeal follow-up ruling over employee bonuses,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110921,Obama says American jobs can help the world ,NEW YORK U.S. President Barack Obama sought support for his job creation plan at a philanthropic summit on Wednesday  saying improving the prospects of the world's richest economy was good for the world.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110921,Obama says American jobs can help the world , * Corporate leaders say social good now a core strategy,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110921,Lehman to drop appeals over Barclays sale ,NEW YORK Lehman Brothers Holdings Inc  said it will drop its appeal of a bankruptcy court's ruling upholding Barclays Plc's  purchase of Lehman's North American business in 2008 to avoid an unnecessary strain on its remaining assets.,normal
