ATVI,Activision Blizzard Inc,20111115,Vivendi sells 35 mln shares of game unit Activision ,PARIS  Nov 15 Vivendi said it had sold 35 million shares of video game maker Activision Blizzard   reducing its stake by roughly 3 percent to 60 percent.,topStory
AAPL,Apple Inc,20111115,Australia court to hear Samsung-Apple case in March ,SYDNEY An Australian court has agreed to hear in March a case brought by Samsung Electronics to ban sales of Apple Inc's latest iPhone  with sales allowed to continue as normal ahead of the full hearing on alleged patent infringements.,normal
AAPL,Apple Inc,20111115,Australia court to hear Samsung-Apple case in March ,SYDNEY  Nov 15 An Australian court has agreed to hear in March a case brought by Samsung Electronics  to ban sales of Apple Inc's latest iPhone  with sales allowed to continue as normal ahead of the full hearing on alleged patent infringements.,normal
AAPL,Apple Inc,20111115,Seoul shares slip as financials fall; LG Display gains ,* Selling by foreign investors  investment managers weighs,normal
ADSK,Autodesk Inc,20111115,Autodesk Q3 beats Street ,Design software maker Autodesk Inc's  third-quarter results beat Wall Street estimates on strong demand across all its geographies.,topStory
ADSK,Autodesk Inc,20111115,UPDATE 1-Autodesk Q3 beats Street ,Nov 15 Design software maker Autodesk Inc's third-quarter results beat Wall Street estimates on strong demand across all its geographies.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DLBL,Barclays PLC,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DLBL,Barclays PLC,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DLBL,Barclays PLC,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DTYL,Barclays PLC,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DTYL,Barclays PLC,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DTYL,Barclays PLC,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
CENX,Century Aluminum Company,20111115,UPDATE 2-Century Aluminum CEO resigns  sues company ,NEW YORK  Nov 15 Century Aluminum Co  said in a news release on Tuesday that Logan Kruger  its Chief Executive since December 2005  resigned and filed a lawsuit against the aluminum producer  alleging a breach of contract and wrongful termination.,topStory
CME,CME Group Inc,20111115,UPDATE 1-CME lifts hold on transferred MF Global accounts ,Nov 14 CME Group said on Monday its customers now have full access to trading accounts transferred from MF Global  following margin allocation adjustments for some customers based on the failed broker's account balances.,topStory
CME,CME Group Inc,20111115,CME lifts hold on transferred MF Global accounts ,Nov 14 CME Group said on Monday its customers now have full access to trading accounts transferred from MF Global  following margin allocation adjustments for some customers based on the failed broker's account balances.,normal
GERN,Geron Corporation,20111115,UPDATE 1-Geron shares drop on stem cell retreat ,Nov 15 Shares of Geron Corp   the first company conduct human embryonic stem cell trials  fell by as much as 28 percent on Tuesday  a day after the biotech company said it was getting out of stem cell research to focus on cancer drugs.,topStory
IBOC,International Bancshares Corporation,20111115,UPDATE 1-Egypt's CIB says Q3 net income falls 20 percent ,CAIRO  Nov 15 Commercial International Bank (CIB)   Egypt's biggest private bank by assets  said on Tuesday its net income for the third quarter dropped 20 percent from a year earlier  putting it well short of analyst forecasts.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DTYS,iPath US Treasury 10-year Bear ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DTUS,iPath US Treasury 2-year Bear ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DTUL,iPath US Treasury 2-year Bull ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DFVS,iPath US Treasury 5-year Bear ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DFVL,iPath US Treasury 5-year Bull ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
FLAT,iPath US Treasury Flattener ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
FLAT,iPath US Treasury Flattener ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
FLAT,iPath US Treasury Flattener ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
STPP,iPath US Treasury Steepener ETN,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
STPP,iPath US Treasury Steepener ETN,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
STPP,iPath US Treasury Steepener ETN,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
MSFT,Microsoft Corporation,20111115,Microsoft shareholders grumble at brief annual meet ,BELLEVUE  Washington Microsoft Corp shareholders filed out of the software giant's annual meeting grumbling that they did not get to ask more questions in their once-a-year opportunity to quiz Chairman Bill Gates and CEO Steve Ballmer.,topStory
MORN,Morningstar Inc,20111115,UPDATE 2-Clipper Fund gets gold in new Morningstar rating ,Nov 15 Morningstar Inc assigned the Davis Selected Advisers' Clipper Fund a gold rating on Tuesday  making it the only one-star fund to receive the top accolade under its new system.,topStory
MORN,Morningstar Inc,20111115,Clipper Fund gets gold in new Morningstar rating ,Morningstar Inc assigned the Davis Selected Advisers' Clipper Fund a gold rating on Tuesday  making it the only one-star fund to receive the top accolade under its new system.,normal
MORN,Morningstar Inc,20111115,Clipper Fund gets gold in new Morningstar rating ,Nov 15 Morningstar Inc assigned the Davis Selected Advisers' Clipper Fund a gold rating on Tuesday  making it the only one-star fund to receive the top accolade under its new system.,normal
NFLX,Netflix Inc,20111115,UPDATE 3-HIGHLIGHTS-US hedge funds remain divided on banks ,* Viking Global dumps JPMorgan  Morgan Stanley  BlackRock,topStory
RYAAY,Ryanair Holdings plc,20111115,UPDATE 1-Aer Lingus rejects renewed Ryanair EGM call ,DUBLIN  Nov 15 Irish airline Aer Lingus  rejected a renewed call by rival Ryanair on Tuesday to hold an extraordinary general meeting (EGM) to discuss its 400 million euros ($541 million) pension deficit and a tax settlement with the Irish government.,topStory
SHLD,Sears Holdings Corporation,20111115,UPDATE 1-Sears Canada posts Q3 loss ,Nov 15 Retailer Sears Canada  posted a third-quarter loss  hurt by excess inventories and restructuring costs.,topStory
SBUX,Starbucks Corporation,20111115,Starbucks raises prices in several key markets ,Nov 15 Starbucks Corp   which has been grappling with higher costs for coffee and other key commodities  on Tuesday raised prices on some drinks in several major markets.,topStory
SBUX,Starbucks Corporation,20111115,Starbucks to drop fee on smaller bags of coffee ,Starbucks Corp has agreed to drop a $1.50 fee that was undisclosed to consumers purchasing bagged coffee in sizes less than one pound  after Massachusetts investigated and fined the coffee chain.,normal
SBUX,Starbucks Corporation,20111115,Starbucks to drop fee on smaller bags of coffee ,Nov 14 Starbucks Corp has agreed to drop a $1.50 fee that was undisclosed to consumers purchasing bagged coffee in sizes less than one pound  after Massachusetts investigated and fined the coffee chain.,normal
SYMC,Symantec Corporation,20111115,UPDATE 3-Huawei buys Symantec stake in JV for $530 mln ,HONG KONG/NEW YORK  Nov 15 Huawei Technologies  the world's No.2 telecoms equipment maker  plans to buy the remaining 49 percent stake in a joint venture with Symantec Corp that it does not already own for $530 million to bolster its corporate security solutions business.,topStory
VOD,Vodafone Group Plc,20111115,Vodafone eyes KPN's Spanish mobile unit -source ,AMSTERDAM  Nov 15 Dutch telecom firm KPN  has opened the books at its Spanish operations to prospective buyers  including Vodafone  a person familiar with the situation told Reuters on Tuesday  confirming reports in the Spanish media.,topStory
ANF,Abercrombie & Fitch Company,20111115,UPDATE 2-American Eagle names Levi's exec CEO ,Nov 15 Teen apparel retailer American Eagle Outfitters Inc named Levi Straussexecutive Robert Hanson as chief executive on Tuesday  replacing Jim O'Donnell  who is retiring.,topStory
AEO,American Eagle Outfitters Inc,20111115,UPDATE 2-American Eagle names Levi's exec CEO ,Nov 15 Teen apparel retailer American Eagle Outfitters Inc named Levi Straussexecutive Robert Hanson as chief executive on Tuesday  replacing Jim O'Donnell  who is retiring.,topStory
AEO,American Eagle Outfitters Inc,20111115,American Eagle names Levi's exec CEO ,Teen apparel retailer American Eagle Outfitters Inc  on Tuesday named Levi Strauss  executive Robert Hanson as chief executive  replacing Jim O'Donnell  who is retiring.,normal
AXP,American Express Company,20111115,UPDATE 1-American Express exec says mobile wallet growing ,Nov 15 U.S. consumers' adoption of so-called digital wallets will allow brick-and-mortar retailers to better compete with their online rivals  an American Express Co executive said on Tuesday.,topStory
AXP,American Express Company,20111115,TABLE-Delinquency rates rise marginally at most major US card cos ,Nov 15 Credit card charge-offs and delinquency rates rose slightly at most major U.S. lenders in October  as a weak economy and stubbornly high unemployment rates took a toll on American consumers trying to keep up with their bill payments  but remained near historically low levels. 	     	                              Net charge-off rate        Delinquency rate     	                              Oct 2011  Sept 2011       Oct 2011  Sept 2011        	 Bank of America        5.98     5,normal
AMP,AMERIPRISE FINANCIAL SERVICES INC,20111115,ON THE MOVE: Ameriprise recruits Merrill Lynch advisers ,Nov 15 Ameriprise Financial Inc has hired two former Merrill Lynch advisers from Bank of America's brokerage division  the firm confirmed on Tuesday.,topStory
ASH,Ashland Global Holdings Inc,20111115,Ashland bets on emerging markets for growth ,Nov 15 Speciality chemicals maker Ashland Inc  best known for its Valvoline lubricant  said it is targeting emerging markets like China  India and Brazil to fuel growth as demand from North America loses steam.,topStory
AGO,Assured Guaranty Ltd,20111115,Assured Guaranty: Chapter 9s could force pullback ,Nov 15 Bond insurer Assured Guaranty  may stop underwriting bonds in states without tighter controls on municipal bankruptcies  after two recent high-profile filings  the company's chief executive said on Tuesday.,topStory
AZN,Astrazeneca PLC,20111115,Few advantages seen for Crestor over Lipitor: study ,ORLANDO  Florida Pfizer Inc's Lipitor and AstraZeneca's Crestor cholesterol drugs  taken at their highest dose  safely reduced artery-clogging plaque in heart patients  according to data from a clinical trial presented on Tuesday.,topStory
AZN,Astrazeneca PLC,20111115,UPDATE 2-Few advantages seen for Crestor over Lipitor-study ,ORLANDO  Fla.  Nov 15 Pfizer Inc's  Lipitor and AstraZeneca's Crestor cholesterol drugs  taken at their highest dose  safely reduced artery-clogging plaque in heart patients  according to data from a clinical trial presented on Tuesday.,normal
T,AT&T Inc,20111115,UPDATE 1-Frontier eyes resale of AT&T wireless service ,NEW YORK  Nov 15 Frontier Communications plans to expand beyond home phone services in the first half of 2012 with a trial offer of wireless services based on a resale agreement with AT&T Inc .,topStory
BAC,Bank of America Corporation,20111115,Bank of America technology layoffs underway ,Nov 15 Bank of America Corp technology and operations employees are being notified about layoffs this week as part of the company's ongoing efficiency initiative  a bank spokeswoman said on Tuesday.,topStory
BAC,Bank of America Corporation,20111115,McColl's private equity firm invests in research co ,* Private-equity firm was founded by former BofA CEO McColl,normal
BAC,Bank of America Corporation,20111115,TABLE-Delinquency rates rise marginally at most major US card cos ,Nov 15 Credit card charge-offs and delinquency rates rose slightly at most major U.S. lenders in October  as a weak economy and stubbornly high unemployment rates took a toll on American consumers trying to keep up with their bill payments  but remained near historically low levels. 	     	                              Net charge-off rate        Delinquency rate     	                              Oct 2011  Sept 2011       Oct 2011  Sept 2011        	 Bank of America        5.98     5,normal
BAC,Bank of America Corporation,20111115,BofA learned a lesson from debit card fury: CEO ,Bank of America Corp learned a lesson from its abandoned debit card fee and will work to provide transparency and fair pricing to customers while producing a return for shareholders  Chief Executive Brian Moynihan said on Tuesday.,normal
BAC,Bank of America Corporation,20111115,UPDATE 1-BofA learned a lesson from debit card fury - CEO ,Nov 15 Bank of America Corp learned a lesson from its abandoned debit card fee and will work to provide transparency and fair pricing to customers while producing a return for shareholders  Chief Executive Brian Moynihan said on Tuesday.,normal
BAC,Bank of America Corporation,20111115,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  November 15  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	    ,normal
BAC,Bank of America Corporation,20111115,Hong Kong down on weak financial stocks; China ekes gains ,* CCB gains 1 pct post-BofA sale  but weakness seen ahead,normal
BAC,Bank of America Corporation,20111115,RPT-Paulson adds more BofA  which caused his big pain ,BOSTON  Nov 14 For hedge fund manager John Paulson  Bank of America's stock has been an albatross  causing him the biggest losses of his career  but he bought even more of the lender in the third quarter  a new regulatory filing shows.,normal
BAC,Bank of America Corporation,20111115,UPDATE 2-BofA sale highlights end of era for foreign  China banks ,BEIJING/HONG KONG  Nov 15 Bank of America's sale of most of its shares in China Construction Bank earned the U.S. lender a tidy profit  but also underlined that BofA  like other foreign financial groups  found scant strategic gain in the Chinese stake it built.,normal
BAC,Bank of America Corporation,20111115,HK shares set to open down 1 percent; CCB lags ,HONG KONG  Nov 15 Hong Kong shares were set to dip on Tuesday as a spike in euro zone bond yields pointed to weak investor appetite  with  financials the biggest drag following Bank of America's further stake sale in CCB.,normal
BCS,Barclays PLC,20111115,New Issue-Indianapolis Pwr & Light sells $140 mln in bonds ,Nov 15 Indianapolis Power & Light Company on Tuesday sold $140 million of first mortgage bonds in the 144a private placement market  said IFR  a Thomson Reuters service.     Barclays Capital was the sole bookrunning manager for the sale. BORROWER: INDIANAPOLIS POWER & LIGHT COMPANY TRANCHE 1 AMT $140 MLN      COUPON 4.875 PCT     MATURITY   11/1/2041 TYPE BONDS        ISS PRICE 99.909     FIRST PAY   5/1/2012 MOODY'S A3        YIELD 4.881 PCT      SETTLEMENT 11/18/2011 S&P TRIPLE-B  ,topStory
BCS,Barclays PLC,20111115,UPDATE 3-Indosat in talks with Tower Bersama on $500 mln tower deal-sources ,* Citi advising Indosat  Barclays Cap advising Tower Bersama-sources,normal
BCS,Barclays PLC,20111115,India's HAL shortlists Goldman Sachs  3 others for $200 mln IPO-sources ,MUMBAI  Nov 15 India's state-run military aircraft maker Hindustan Aeronautics Ltd has shortlisted four banks including Goldman Sachs and Barclays for an initial public offering that is likely to raise $200 million  sources with direct knowledge said.,normal
BKS,Barnes & Noble Inc,20111115,Amazon ships Fire early as competition heats up ,Amazon.com Inc began shipping its Kindle Fire on Monday  a day earlier than it expected and extending its lead time over Barnes & Noble Inc's rival Nook tablet. | Video ,topStory
BCE,BCE Inc,20111115,UPDATE 2-Big Canada Internet providers win partial victory ,GATINEAU  Quebec  Nov 15 Canada's communications regulator handed a partial victory on Tuesday to big Internet service providers by allowing them to charge lease fees based on the amount of capacity small providers use.,topStory
BCE,BCE Inc,20111115,Canada regulator hands partial win to ISP firms ,GATINEAU  Quebec  Nov 15 Canada's telecom and broadcast regulator on Tuesday handed a partial victory to big Internet providers allowing them to charge lease fees based on the amount of capacity that small providers use.,normal
