ACIW,ACI Worldwide Inc,20110726,UPDATE 3-ACI Worldwide offers to buy S1 Corp; Fundtech deal in doubt , * Says offer gives more value than S1's Fundtech merger plan,topStory
AAPL,Apple Inc,20110726,CORRECTED - UPDATE 3-Patents take spotlight as Kodak posts losses , (Corrects analysts' estimates for Q2 loss to 67 cents  not 61 cents. Rewrites first paragraph to remove reference to bigger-than-expected loss. Error first appeared in UPDATE 2),normal
AAPL,Apple Inc,20110726,Reid's debt plan could speed wireless auctions ,WASHINGTON Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
AAPL,Apple Inc,20110726,Reid's US debt plan could speed wireless auctions , WASHINGTON  July 26 Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
AAPL,Apple Inc,20110726,Amazon revenue surges  stock jumps ,SAN FRANCISCO Amazon.com Inc reported a surge in quarterly revenue on sales of its kindle electronic reader and other electronics and forecast far better-than-expected revenue for the current quarter  sending its shares up more than 6 percent.,normal
AAPL,Apple Inc,20110726,UPDATE 4-Amazon revenue surges  stock jumps , * Shares up 6.3 percent in after-hours trading  (Adds analyst comment  business background),normal
AAPL,Apple Inc,20110726,Facebook tackles face-recognition privacy concern ,LOS ANGELES Facebook has made it easier for users to opt out of its controversial facial-recognition technology for photographs  an effort to address concerns that it had violated consumers' privacy.,normal
AAPL,Apple Inc,20110726,UPDATE 1-Facebook tackles face-recognition privacy concern , * Allows users to opt out of facial recognition program,normal
BIDU,Baidu Inc,20110726,UPDATE 4-Baidu sees strong Q3 on China ads; shares jump , * Sees higher costs in H2  more social network products,topStory
BMLP,Bank Of Montreal,20110726,Analysis: Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion  and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,topStory
BMLP,Bank Of Montreal,20110726,Canadians who follow RIM take pity on a local hero ,TORONTO Wall Street and Silicon Valley have issued verdicts on Research In Motion   and they are mostly damning for the BlackBerry maker. Canadians  on the other hand  are eager to give their compatriot the benefit of the doubt.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DLBL,Barclays PLC,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DLBL,Barclays PLC,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DLBL,Barclays PLC,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DLBL,Barclays PLC,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DTYL,Barclays PLC,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DTYL,Barclays PLC,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DTYL,Barclays PLC,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DTYL,Barclays PLC,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
BBBY,Bed Bath & Beyond Inc,20110726,Amazon revenue surges  stock jumps ,SAN FRANCISCO Amazon.com Inc reported a surge in quarterly revenue on sales of its kindle electronic reader and other electronics and forecast far better-than-expected revenue for the current quarter  sending its shares up more than 6 percent.,topStory
BBBY,Bed Bath & Beyond Inc,20110726,UPDATE 4-Amazon revenue surges  stock jumps , * Shares up 6.3 percent in after-hours trading  (Adds analyst comment  business background),normal
BIIB,Biogen Inc,20110726,Biogen net falls; Tysabri sales top expectations ,BOSTON Biogen Idec Inc  reported higher-than-expected sales of its multiple sclerosis drug Tysabri in the second quarter as the net number of new users grew at the highest rate in more than a year.,topStory
BIIB,Biogen Inc,20110726,UPDATE 4-Biogen net falls; Tysabri sales top expectations , * Biogen shares rise 1.2 percent  (Adds CFO comment  details),normal
CHRW,CH Robinson Worldwide Inc,20110726,UPDATE 1-C.H. Robinson Q2 results lag estimates , * Q2 rev $2.71 bln vs est $2.72 bln   (Follows alerts),topStory
CPLA,Capella Education Company,20110726,UPDATE 1-Capella Education sees a fall in Q3 revenue , July 26 Capella Education Co forecast a fall in third-quarter revenue and a continued slide in new student enrollment  as the for-profit education provider struggled to retain its working adult student population.,topStory
CME,CME Group Inc,20110726,Bank cash cushions can soften U.S. credit blow , * Record liquidity levels give banks advantage--experts,topStory
CME,CME Group Inc,20110726,UPDATE 1-CME rivals sit pat on policies as US default looms , * CME raises Treasury collateral 'haircuts'; rivals don't,normal
CME,CME Group Inc,20110726,CME rivals sit pat on policies as default looms ,CHICAGO Most clearinghouses are so far not spooked enough by the looming possibility of a government default to change their policies for accepting Treasuries as collateral to back trades.,normal
CME,CME Group Inc,20110726,CME rivals sit pat on policies as US default looms , * CME raises Treasury collateral 'haircuts'; rivals don't,normal
CME,CME Group Inc,20110726,UPDATE 1-CME teams up with Osaka exchange to offer yen futures , July 26 CME Group Inc and Japan's Osaka Securities Exchange (OSE) announced on Tuesday that they are teaming up to offer Japanese yen-denominated futures contracts for their customers by early 2012.,normal
CME,CME Group Inc,20110726,CME acts to curb volatile Treasury futures ,NEW YORK The CME Group has made it more expensive to trade Treasury futures in an effort to curb market swings created by growing fears of a government default.,normal
CME,CME Group Inc,20110726,UPDATE 4-CME acts to curb volatile US Treasury futures , * CME to raise haircuts on Treasury collateral it accepts,normal
CTSH,Cognizant Technology Solutions Corporation,20110726,UPDATE 1-Cognizant to buy CoreLogic's India operations for $50 mln , * Deal for cash payment of about $50 mln   (Follows alerts),topStory
CMCSA,Comcast Corporation,20110726,Reid's debt plan could speed wireless auctions ,WASHINGTON Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,topStory
CMCSA,Comcast Corporation,20110726,Reid's US debt plan could speed wireless auctions , WASHINGTON  July 26 Efforts to give U.S. regulators the authority to auction off some television airwaves for mobile broadband use are getting a boost in a debt ceiling plan proposed by Senate Majority Leader Harry Reid.,normal
CMCSA,Comcast Corporation,20110726,Analysis: Pricing hit unlikely to deter Netflix growth ,LOS ANGELES Netflix Inc's star darkened briefly this week after a rare stumble on pricing incensed investors and triggered an unusually dim growth projection.,normal
CMCSA,Comcast Corporation,20110726,Comcast bows live ads with on-demand on NBC Universal ,NEW YORK Cable company Comcast Corp is teaming up with its NBC Universal unit to help programmers dynamically place commercials around on-demand TV shows in a bid to drive new advertising revenue.,normal
CMCSA,Comcast Corporation,20110726,Comcast bows live ads with on-demand on NBC Universal , * New technology allows ad spots to be changed on the fly,normal
DRYS,DryShips Inc,20110726,UPDATE 2-DryShips to buy OceanFreight for $118 mln , * To pay $11.25  0.52326 unit share for each OceanFreight share,topStory
DNKN,Dunkin&#39; Brands Group Inc,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DNKN,Dunkin&#39; Brands Group Inc,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DNKN,Dunkin&#39; Brands Group Inc,20110726,UPDATE 1-Dunkin' Brands IPO prices at $19 per share , LOS ANGELES  July 26 Dunkin' Brands sold $422.75 million worth of shares at $19 apiece in its initial public offering  an underwriter told Reuters on Tuesday.,normal
EBAY,eBay Inc,20110726,Amazon revenue surges  stock jumps ,SAN FRANCISCO Amazon.com Inc reported a surge in quarterly revenue on sales of its kindle electronic reader and other electronics and forecast far better-than-expected revenue for the current quarter  sending its shares up more than 6 percent.,topStory
EBAY,eBay Inc,20110726,UPDATE 4-Amazon revenue surges  stock jumps , * Shares up 6.3 percent in after-hours trading  (Adds analyst comment  business background),normal
EBAY,eBay Inc,20110726,American Apparel to set up online store with EBay ,American Apparel signed a multi-year deal with EBay Inc for an online store  as the retailer continues efforts to turn around its sagging sales  sending its shares up as much as 12 percent before the bell.,normal
EBAY,eBay Inc,20110726,UPDATE 2-American Apparel to set up online store with EBay; shares up , * Expects venture to become "multi-million dollar" business in first year,normal
ESRX,Express Scripts Holding Company,20110726,UPDATE 4-Medco  Astra get U.S. subpoenas over four drugs , * Medco shares down 0.9 pct  Astra little changed  (Adds Express Scripts  analyst comment),topStory
FSLR,First Solar Inc,20110726,First Solar touts record-setting cell efficiency ,LOS ANGELES First Solar Inc on Tuesday said a test cell using its cadmium telluride solar technology set a new world record of 17.3 percent efficiency.,topStory
FSLR,First Solar Inc,20110726,First Solar touts record-setting cell efficiency , LOS ANGELES  July 26 First Solar Inc  on Tuesday said a test cell using its cadmium telluride solar technology set a new world record of 17.3 percent efficiency.,normal
FISV,Fiserv Inc,20110726,UPDATE 1-Fiserv Q2 profit tops estimates  maintains FY forecast , July 26 Fiserv Inc   which provides IT services and systems to the financial sector  reported a quarterly profit that beat market estimates helped by higher processing and services revenue  and reiterated its full-year outlook.,topStory
FLEX,Flex Ltd,20110726,India  Africa  Europe missed 2010 FDI revival - UN , * Developed world gets less than half all FDI for first time,topStory
GILD,Gilead Sciences Inc,20110726,UPDATE 3-Gilead 2nd quarter profit rises with HIV drugs , * Still sees full-year product sales $7.9 bln to $8.1 bln,topStory
HAS,Hasbro Inc,20110726,Activists come of age at "Oscars" for hackers ,BOSTON The computer hacking community is gearing up for its own version of the annual Oscars  with two notorious "hacktivist" groups and industry heavyweight WikiLeaks among those vying for the top award.,topStory
HAS,Hasbro Inc,20110726,Activists come of age at 'Oscars' for hackers , BOSTON  July 26 The computer hacking community is gearing up for its own version of the annual Oscars  with two notorious "hacktivist" groups and industry heavyweight WikiLeaks among those vying for the top award.,normal
HMST,HomeStreet Inc,20110726,UPDATE 1-HomeStreet sees receiving about $164 million from IPO , * Expects to list common stock on Nasdaq under symbol 'HMST'   (Follows alerts),topStory
INTC,Intel Corporation,20110726,Economic jitters threaten holiday chip cheer ,SAN FRANCISCO Makers of chips for TVs  game consoles and other consumer electronics aren't expecting much for Christmas  but insatiable demand for high-end gadgets like Apple's iPad will likely deliver some cheer.,topStory
INTC,Intel Corporation,20110726,Economic jitters threaten holiday chip cheer , SAN FRANCISCO  July 26 Makers of chips for TVs  game consoles and other consumer electronics aren't expecting much for Christmas  but insatiable demand for high-end gadgets like Apple's  iPad will likely deliver some cheer.,normal
INTC,Intel Corporation,20110726,CORRECTED-OFFICIAL-UPDATE 1-Israel grants Intel $295 mln , (Corrects figure in second paragraph to $5 bln  after correction from government ministry),normal
INTC,Intel Corporation,20110726,Israel grants Intel 1 bln shekels for chip plants , JERUSALEM  July 26 Israel's government approved a 1 billion shekel ($295 million) grant to Intel Corp  to invest in two local chip plants  the Industry and Trade Ministry said on Tuesday.,normal
INTC,Intel Corporation,20110726,UPDATE 2-ARM cautious on Christmas holiday sales , * Sees sequential rise in industry revenue in current quarter,normal
IDCC,InterDigital Inc,20110726,InterDigital files Nokia  Huawei  ZTE complaint ,NEW YORK InterDigital Inc has filed a complaint with the U.S. International Trade Commission against Nokia Corp  Huawei Technologies Co Ltd and ZTE Corp accusing the cellphone makers of infringing seven InterDigital technology patents.,topStory
IDCC,InterDigital Inc,20110726,UPDATE 2-InterDigital files Nokia  Huawei  ZTE complaint , * InterDigital shares up about 3 pct  (Adds Nokia comment  Huawei comment  background  share price),normal
IDCC,InterDigital Inc,20110726,InterDigital files Nokia  Huawei complaint ,NEW YORK InterDigital Inc has filed a complaint at the U.S. International Trade Commission against Nokia  Huawei Technologies Co Ltd and ZTE Corp accusing the cellphone makers of infringing seven InterDigital technology patents.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
FLAT,iPath US Treasury Flattener ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
FLAT,iPath US Treasury Flattener ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
FLAT,iPath US Treasury Flattener ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
FLAT,iPath US Treasury Flattener ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
STPP,iPath US Treasury Steepener ETN,20110726,Dunkin' Brands IPO prices at $19 per share ,LOS ANGELES Dunkin' Brands  has raised $422.75 million after pricing its IPO at $19 per share  well above the range set by underwriters  signaling strong demand for this week's biggest deal.,topStory
STPP,iPath US Treasury Steepener ETN,20110726,UPDATE 3-Dunkin' Brands IPO prices at $19 per share , * Deal gives Dunkin' Brands a market value of $2.4 bln  (Adds valuation  analyst and investor comment  competitors),normal
STPP,iPath US Treasury Steepener ETN,20110726,UBS says granted some immunity in LIBOR probe , * DoJ agreement could let UBS limit liability in civil cases,normal
STPP,iPath US Treasury Steepener ETN,20110726,Analysis: Can Goldman  Morgan Stanley recover moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs  and Morgan Stanley   the pressure to do better in the second half of this year has never been more intense.,normal
IRBT,iRobot Corporation,20110726,UPDATE 1-iRobot Q2 beats  raises FY view , July 26 - iRobot Corp posted better-than-expected quarterly results on increased demand for its home robot products  and raised its full-year outlook.,topStory
JBLU,JetBlue Airways Corporation,20110726,JetBlue profit falls as fuel costs rise ,CHICAGO JetBlue Airways  reported a 19 percent drop in second-quarter profit despite rising revenue as fuel prices battered the low-cost carrier and its rivals in the United States.,topStory
JBLU,JetBlue Airways Corporation,20110726,JetBlue profit falls as fuel costs rise ,CHICAGO JetBlue Airways  reported a 19 percent drop in second-quarter profit despite rising revenue as fuel prices battered the low-cost carrier and its rivals in the United States.,normal
JBLU,JetBlue Airways Corporation,20110726,UPDATE 2-JetBlue profit falls as fuel costs rise , * Fuel costs up 57.6 pct to $439 million  (Rewrites; adds CEO comment  shares  background),normal
JBLU,JetBlue Airways Corporation,20110726,TET-Fitch on recovery analysis for U.S. airlines , (The following statement was released by the rating agency),normal
MSFT,Microsoft Corporation,20110726,UPDATE 2-ARM cautious on Christmas holiday sales , * Sees sequential rise in industry revenue in current quarter,topStory
NDAQ,Nasdaq Inc,20110726,Nasdaq short interest slips 1.1 pct in early July , NEW YORK  July 26  Short interest on the Nasdaq fell 1.1 percent in the first half of July  the exchange said on Tuesday.,topStory
NDAQ,Nasdaq Inc,20110726,DEALTALK-Nasdaq sticking to basics as M&A speculation hangs , (For more Reuters DEALTALK stories  click on [DEALTALK/]),normal
NFLX,Netflix Inc,20110726,CORRECTED-UPDATE1-DreamWorks Q2 rev beats Street  sees Kungfu Panda helping Q3 , (Corrects analysts' estimates for Q2 revenue and profit in bullet points and paragraph 4),topStory
NFLX,Netflix Inc,20110726,Analysis: Pricing hit unlikely to deter Netflix growth ,LOS ANGELES Netflix Inc's star darkened briefly this week after a rare stumble on pricing incensed investors and triggered an unusually dim growth projection.,normal
NFLX,Netflix Inc,20110726,Debt talks buffet stocks  but chipmakers shine ,NEW YORK The stalemate in debt talks dragged down stocks for a second day on Tuesday  and light volume showed investors remained reluctant to make bets despite another round of healthy earnings. | Video ,normal
NFLX,Netflix Inc,20110726,Mexico's Televisa agrees Netflix Latam deal , MEXICO CITY  July 26 Mexican broadcaster Grupo Televisa  said on Tuesday it has agreed a distribution deal with U.S. movie rental company Netflix   which will launch in Latin America later this year.,normal
NFLX,Netflix Inc,20110726,US STOCKS-Debt talks buffet stocks  but chipmakers shine , * Dow off 0.7 pct  S&P off 0.4 pct  Nasdaq off 0.1 pct,normal
NFLX,Netflix Inc,20110726,US STOCKS-Debt headwinds buffet stocks  but chipmakers shine , * Dow off 0.7 pct  S&P off 0.4 pct  Nasdaq off 0.1 pct,normal
NFLX,Netflix Inc,20110726,US STOCKS-S&P 500 near flat while debt issue drags on , * Dow off 0.4 pct  S&P off 0.1 pct  Nasdaq up 0.2 pct,normal
