AEIS,Advanced Energy Industries Inc,20110804,Analysis: SMA Solar faces profit margin struggle ,FRANKFURT Europe's biggest solar company is unlikely to meet profit margin forecasts this year  analysts say  as demand in its largest markets collapses and global competitors start to force down prices.,topStory
ANSS,ANSYS Inc,20110804,UPDATE 1-Ansys Q2 beats Street  sees strong Q3 profit , Aug 4 Engineering simulation software maker Ansys Inc posted better-than-expected quarterly results helped by robust software licenses sales and forecast strong third-quarter results.,topStory
AAPL,Apple Inc,20110804,Investors flee bad telecom smartphone bets ,NEW YORK Smartphones may have good looks and a lot of whiz-bang features  but this week they just have a bad reputation.,topStory
AAPL,Apple Inc,20110804,UPDATE 2-Sony rules out quitting TV business; to keep Vita price , * Seeks to pull together plans to overhaul TV division   (Adds details  background),normal
AAPL,Apple Inc,20110804,Sony rules out exiting TV business or LCD panel venture ,TOKYO Sony ruled out dumping its television business or dissolving a TV panel partnership with Samsung Electronics Co even as it looks to overhaul its lossmaking TV unit.,normal
AAPL,Apple Inc,20110804,Sony rules out exiting TV business or LCD panel venture , TOKYO  Aug 4 Sony on Thursday ruled out dumping its television business or dissolving a TV panel partnership with Samsung Electronics Co in an overhaul of its lossmaking TV unit that will take shape this month.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DLBL,Barclays PLC,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DLBL,Barclays PLC,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DLBL,Barclays PLC,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DLBL,Barclays PLC,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DLBL,Barclays PLC,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DTYL,Barclays PLC,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DTYL,Barclays PLC,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DTYL,Barclays PLC,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DTYL,Barclays PLC,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DTYL,Barclays PLC,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
CATM,Cardtronics plc,20110804,UPDATE 1-Cardtronics Q2 profit beats Street , Aug 4 Cardtronics Inc posted a better-than-expected profit  helped by higher transactions from its ATMs in the UK and the United States  and forecast a full-year adjusted profit above Wall Street expectations.,topStory
CBOE,CBOE Holdings Inc,20110804,UPDATE 1-CBOE profit up 32 percent in 2nd quarter , CHICAGO  Aug 4 CBOE Holdings Inc   which operates the oldest U.S. stock-option market  said on Thursday that quarterly earnings rose as investors used more of its index options to bet on swings in the stock market.,topStory
CHSCP,CHS Inc,20110804,UPDATE 2-Cargill  CHS in talks to expand US grain export venture ,   * Firms currently have joint venture in Washington state,topStory
CME,CME Group Inc,20110804,Factbox: Five endangered Dodd-Frank rules ,The recent defeat of the U.S. Securities and Exchange Commission's proxy access rule in a federal appeals court could embolden industry groups to mount similar legal challenges to other rules required by the Dodd-Frank financial oversight law.,topStory
CMCSA,Comcast Corporation,20110804,Comcast sues DirecTV  says false ads lure NFL fans ,NEW YORK Comcast Corp  the largest U.S. cable operator  has sued pay TV rival DirecTV  accusing it of misleading consumers by promising "free" broadcasts of National Football League games.,topStory
CMCSA,Comcast Corporation,20110804,Comcast sues DirecTV  says false ads lure NFL fans , * Comcast: DirecTV poaching customers with false promises,normal
COST,Costco Wholesale Corporation,20110804,Discounts help chains in July; tough battle ahead ,NEW YORK Deep discounts brought shoppers to malls and helped many retail chains report sales gains in July  in an early sign that consumers will keep demanding bargains in the back-to-school season.,topStory
COST,Costco Wholesale Corporation,20110804,WRAPUP 4-Discounts help chains in July; tough battle ahead , * July same-store sales up 4.4 pct; in line with estimates,normal
COST,Costco Wholesale Corporation,20110804,U.S. retailers' July same-store sales review , http://r.reuters.com/tuq92s  	 	 Click on the above link for a Thomson Reuters report that reviews July same-store sales performance at U.S. retailers,normal
COST,Costco Wholesale Corporation,20110804,U.S. retailers' July same-store sales , http://r.reuters.com/cuq92s	 Click on the attached link for a table that compares U.S. retailers' reported July same-store sales with analyst estimates published by Thomson Reuters data.,normal
COST,Costco Wholesale Corporation,20110804,US STOCKS-Futures off ahead of data  GM up after net doubles , * Futures off: Dow 63 pts  S&P 9 pts  Nasdaq 14.5 pts,normal
COST,Costco Wholesale Corporation,20110804,WRAPUP 1-US chains win shoppers  July sales with discounts , * Some worry if retailers had to discount more than usual  (Adds Costco),normal
COST,Costco Wholesale Corporation,20110804,WRAPUP 1-US chains win shoppers  July sales with discounts , * Some worry if retailers had to discount more than usual  (Adds Costco),normal
COST,Costco Wholesale Corporation,20110804,US STOCKS-Futures point to drop ahead of jobless data , * Futures off: Dow 82 pts  S&P 10.10 pts  Nasdaq 17.75 pts,normal
COST,Costco Wholesale Corporation,20110804,UPDATE 1-Costco July same-store sales up 10 pct  beat poll , * Same-store sales excluding fuel prices and forex up 5 pct   (Adds detail),normal
DRYS,DryShips Inc,20110804,UPDATE 2-DryShips to sell drilling unit stake  pay dividend , * Payout of about 0.007434 Ocean Rig shrs for each DryShips shr,topStory
ETFC,E*TRADE Financial Corporation,20110804,Analysis: Warburg Pincus bets big on small investors ,NEW YORK Warburg Pincus is placing bets on mom-and-pop investors neglected by big Wall Street firms intent on courting the elite.,topStory
ERIC,Ericsson,20110804,Nokia Siemens Networks starts cutting 1 500 jobs ,LONDON Nokia Siemens Networks has begun cutting 1 500 jobs from the 6 900 staff it acquired with its $1.2 billion acquisition of Motorola's telecoms network unit in April  a spokesman said on Thursday.,topStory
ERIC,Ericsson,20110804,Nokia Siemens Networks starts cutting 1 500 jobs , LONDON  Aug 4 Nokia Siemens Networks [NSN.UL] has begun cutting 1 500 jobs from the 6 900 staff it acquired with its $1.2 billion acquisition of Motorola's  telecoms network unit in April  a spokesman said on Thursday.,normal
ESRX,Express Scripts Holding Company,20110804,CVS Caremark cuts sales view  shares fall ,CHICAGO CVS Caremark Corp  trimmed its 2011 sales forecast and narrowed its profit target  sending its shares down more than 3 percent on Thursday even though it posted a better-than-expected quarterly profit.,topStory
ESRX,Express Scripts Holding Company,20110804,UPDATE 4-CVS Caremark cuts sales view  shares fall , * Confident on year  narrows FY EPS view to $2.75-$2.81,normal
FSLR,First Solar Inc,20110804,First Solar profit falls  cuts 2011 forecast ,NEW YORK/LOS ANGELES First Solar Inc posted lower-than-expected quarterly profit and cut its 2011 forecast as slack demand in Europe hit prices for its thin-film panels.,topStory
FSLR,First Solar Inc,20110804,UPDATE 3-First Solar profit falls  cuts 2011 forecast , * Shares fall 2.7 pct in post-market trading  (Adds analyst comment  details on margins  bylines),normal
FSLR,First Solar Inc,20110804,Sempra to expand Copper Mountain solar plant ,NEW YORK Sempra Energy said on Thursday that it plans to expand its Copper Mountain Solar power plant  the largest in the United States  and would sell the electricity to Pacific Gas and Electric Co.,normal
FSLR,First Solar Inc,20110804,UPDATE 1-Sempra to expand Copper Mountain solar plant , NEW YORK  Aug 4 Sempra Energy  said on Thursday that it plans to expand its Copper Mountain Solar power plant  the largest in the United States  and would sell the electricity to Pacific Gas and Electric Co .,normal
FISV,Fiserv Inc,20110804,FIS ditches Misys bid  opts to buy back shares instead ,BANGALORE Based payment processor Fidelity National Information Services  dropped plans to buy British software company Misys   and said it would instead begin buying back its shares under an existing repurchase program.,topStory
LOPE,Grand Canyon Education Inc,20110804,UPDATE 2-Grand Canyon Q2 profit beats Street; shares up , * Shares up 2 pct in after-market trade   (Adds student enrollment  margin details),topStory
LOPE,Grand Canyon Education Inc,20110804,CORRECTED-BRIEF-Grand Canyon Education Q2 results , Aug 4 Grand Canyon Education Inc :  * Reports second quarter 2011 results  * Auto Alert - Q2 earnings per share $0.29  * Auto Alert - Q2 earnings per share view $0.23 -- Thomson Reuters I/B/E/S  * Auto Alert - Q2 revenue $103.1 million versus I/B/E/S view $104.6 million  * Sees H2 2011 revenue up 13 to 15 percent  * Sees adjusted EBITDA margins are 23.5% in the second half of 2011.,normal
INTC,Intel Corporation,20110804,RPT-UPDATE 4-'State actor' behind slew of cyber attacks , * 'Operation Shady RAT' took data from at least 72 victims,topStory
IDCC,InterDigital Inc,20110804,Google cries foul on Apple  Microsoft mobile gang-up ,LOS ANGELES Google Inc  fresh from losing a bid to buy thousands of patents from bankrupt Nortel  lashed out at its biggest rivals on Wednesday and accused them of banding together to block the Internet giant in the red-hot smartphone arena.,topStory
IDCC,InterDigital Inc,20110804,UPDATE 2-Google cries foul on Apple  Microsoft mobile gang-up , * Android-based handsets under pressure from patent suits,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
FLAT,iPath US Treasury Flattener ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
FLAT,iPath US Treasury Flattener ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
FLAT,iPath US Treasury Flattener ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
FLAT,iPath US Treasury Flattener ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
FLAT,iPath US Treasury Flattener ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
STPP,iPath US Treasury Steepener ETN,20110804,Bank retail operations face harsh ringfencing -FT , LONDON  Aug 4 The ringfence to be placed around Britain's retail banking operations  the core recommendation of the government-appointed Vickers commission  will be much tougher than anticipated  The Financial Times reported on Friday.,topStory
STPP,iPath US Treasury Steepener ETN,20110804,UPDATE 2-Knight Capital to cut jobs  close Hong Kong office , BANGALORE  Aug 4 Electronic trader Knight Capital Group Inc will layoff about 6 percent of its global workforce and close its Hong Kong office  to cut costs and improve profitability  the latest move in a wave of job cuts at financial institutions on Wall Street.,normal
STPP,iPath US Treasury Steepener ETN,20110804,Analysis: Crackdown on bank risk leaves "black box" empty ,LONDON Banks will struggle to recoup the fat returns they grew used to by trading anything from complex bond derivatives to gold and currencies  as a clampdown on their riskiest activities bites.,normal
STPP,iPath US Treasury Steepener ETN,20110804,Italy bank valuations sink to Lehman crisis lows , LONDON  Aug 4 Italian bank shares have tumbled to valuations matching the lows seen at the depth of the 2008/09 financial crisis as worries mount that Italy will be sucked deeper into the euro zone crisis.,normal
STPP,iPath US Treasury Steepener ETN,20110804,IFR-Barclays eyes alternative levers as revenues slump , LONDON  Aug 4 (IFR) - Barclays Capital is set to continue selling assets over coming months in an effort to hit its ambitious return on equity targets  after an industry-wide decline in client activity pushed the bank further away from its planned 2012 revenue targets.,normal
LAMR,Lamar Advertising Company,20110804,UPDATE 2-Lamar outlook disappoints as billboards lose lure , * Shares fall as much as 21 pct   (Adds details on Q3 rev outlook  analyst comments  updates share movement),topStory
LAMR,Lamar Advertising Company,20110804,UPDATE 1-Lamar Advertising Q2 profit beats Street , Aug 4 Billboard operator Lamar Advertising Co  posted second-quarter profit that beat Wall Street estimates  helped by an improvement in the advertising market.,normal
LFUS,Littelfuse Inc,20110804,UPDATE 1-Littelfuse Q2 results miss , Aug 4 Circuit protection products maker Littelfuse Inc posted quarterly results below analysts' expectations  hurt by higher metal and oil costs  and the company forecast worse-than-expected third-quarter profit and sales on a slowdown in orders.,topStory
LORL,Loral Space and Communications Inc,20110804,A ,A	  ,topStory
MSFT,Microsoft Corporation,20110804,Canada govt to reduce 100 e-mail systems to one , * Part of plan to cut C$4 bln/year from govt by 2014-15,topStory
MSFT,Microsoft Corporation,20110804,UPDATE 1-IFR-30-year debt too good to refuse with UST below 4% , NEW YORK  Aug 4 (IFR) - A 30-year Treasury bond yield at under 4% was too good to refuse for for six corporates this week  which have together issued more than $2bn of long-dated debt  some at record low coupons.,normal
MSFT,Microsoft Corporation,20110804,IFR-30-year debt too good to refuse with Treasuries below 4% , NEW YORK  Aug 4 (IFR) - A 30-year Treasury bond yield at under 4% was too good to refuse for five corporates this week  which have together issued $1.6bn of long-dated debt  some at record low coupons.,normal
MSFT,Microsoft Corporation,20110804,French online deal firm wants EU probe into Google ,BRUSSELS French online daily deals company Deal du Jour has complained about Google's business practices to EU antitrust regulators  the latest company to take its grievances about the web search giant to the European Commission.,normal
MSFT,Microsoft Corporation,20110804,French online deal firm wants EU probe into Google , BRUSSELS  Aug 4 French online daily deals company Deal du Jour has complained about Google's business practices to EU antitrust regulators  the latest company to take its grievances  about the web search giant  to the European Commission.,normal
NDAQ,Nasdaq Inc,20110804,EU deepens probe into D.Boerse-NYSE deal ,BRUSSELS/NEW YORK EU antitrust regulators have opened an in-depth probe into the proposed $9 billion merger of Deutsche Boerse and NYSE Euronext  citing concerns about competition in derivatives trading and clearing.,topStory
NDAQ,Nasdaq Inc,20110804,UPDATE 2-EU deepens probe into D.Boerse-NYSE deal , * EU concerned about deal impact on derivatives  equities,normal
NDAQ,Nasdaq Inc,20110804,D.Boerse  NYSE say confident EU will clear merger , BRUSSELS  Aug 4 Deutsche Boerse  and NYSE Euronext  said on Thursday they were confident that EU regulators would clear their planned merger after the European Commission opened a lengthy in-depth probe into the deal.,normal
NDAQ,Nasdaq Inc,20110804,EU to probe deeper into D.Boerse-NYSE deal , BRUSSELS  Aug 4 EU antitrust regulators opened on Thursday as expected an in-depth probe into the proposed merger of Deutsche Boerse  and NYSE Euronext   saying it was concerned about the deal's impact on derivatives and equities.,normal
