AXAS,Abraxas Petroleum Corporation,20110926,Lack of sand helps explain well costs gap -Kodiak , * Flooding delayed shipment of sand for fracking -Abraxas,topStory
CAR,Avis Budget Group Inc,20110926,UPDATE 1-Dollar Thrifty sees Q3 adj EBITDA up 17-28 pct , * Sees Q3 rental revenue up about 2 percent   (Follows alerts),topStory
BIDU,Baidu Inc,20110926,Sina shares slump on fears of Chinese government scrutiny ,Shares of China's Sina Corp  fell as much as 12 percent on Monday on fears that a controversial corporate structure used by companies to list overseas or get foreign investment may draw scrutiny by the Chinese government.,topStory
BIDU,Baidu Inc,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
BMLP,Bank Of Montreal,20110926,Canada bank regulator sharpens focus on lending , TORONTO  Sept 26 Canada's banking watchdog is increasing its scrutiny of the consumer loan sector to make sure the country's banks don't lower their standards to boost lending volumes.,topStory
BMLP,Bank Of Montreal,20110926,American Apparel close to financing deal with Burkle ally:report ,American Apparel  is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
BMLP,Bank Of Montreal,20110926,American Apparel close to financing deal with Burkle ally - WWD , Sept 26 American Apparel is in the final stages of negotiating a $90 million funding from an affiliate of billionaire investor Ron Burkle  industry journal Women's Wear Daily (WWD) reported  citing sources close to the deal.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DLBL,Barclays PLC,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DLBL,Barclays PLC,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DLBL,Barclays PLC,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DTYL,Barclays PLC,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYL,Barclays PLC,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DTYL,Barclays PLC,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
CALM,Cal-Maine Foods Inc,20110926,UPDATE 1-Cal Maine Q1 profit falls on higher feed costs , * Expects feed costs to remain high and volatile   (Follows alerts),topStory
CME,CME Group Inc,20110926,LME opens door to potential $1.5 billion ,LONDON The world's biggest metal market has thrown open its doors to a potential 1 billion pound ($1.5 billion) takeover and is considering a sale that might end the independence its chief executive previously said was not negotiable.,topStory
CMCSA,Comcast Corporation,20110926,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Sept 26 Short interest on the Nasdaq rose 4.2 percent in early September  compared with the second half of August  the exchange said on Monday.,topStory
CMCSA,Comcast Corporation,20110926,3D "Lion King" rules box office for second week ,LOS ANGELES "The Lion King" fended off Brad Pitt to keep the box-office crown for a second straight weekend. | Video ,normal
DISCA,Discovery Communications Inc,20110926,Netflix edges out HBO for Dreamworks deal-NY Times , LOS ANGELES  Sept 25 Netflix Inc  has won a deal to pipe Dreamworks Animation  movies starting in 2013  the first time a major Hollywood studio has chosen Internet streaming over traditional pay TV  The New York Times reported on Sunday.,topStory
DSPG,DSP Group Inc,20110926,TEXT-DSP Group chips to power Gigaset DECT phones , Sept 26 - DSP Group Inc. (Nasdaq:DSPG)  a leading global provider of wireless chipset solutions for converged communications at home  announced today that its XciteR(TM) chipset solution is powering the base station of the just launched Gigaset flagship	 phone SL910 / SL910A as also the DX800A high end IP phone developed and manufactured by Gigaset Communications  Europe's leading DECT cordless phone manufacturer.,topStory
ESLT,Elbit Systems Ltd,20110926,Elbit Systems to buy back up to 1 mln shares , TEL AVIV  Sept 26 Israeli defence electronics firm Elbit Systems said on Monday its board authorised the company to repurchase up to 1 million of its ordinary shares over the next 12 months.,topStory
FSLR,First Solar Inc,20110926,Italy solar capacity growth to slow down in 2012 ,MILAN Italy's total installed photovoltaic (PV) capacity is expected to rise to at least 15 gigawatts by the end of 2012  with growth slowing down under its new incentive plan  senior industry officials said on Monday.,topStory
FSLR,First Solar Inc,20110926,UPDATE 1-Italy solar capacity growth to slow down in 2012 , * Main driver next year to be installations under 1 MW   (Combines pvs stories  adds new comments  background),normal
FSLR,First Solar Inc,20110926,SolarCity latest to see U.S. loan loss post-Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,normal
IMGN,ImmunoGen Inc,20110926,Cancer cost "becoming unsustainable" in rich nations ,STOCKHOLM An explosion of new technologies and treatments for cancer coupled with a rapid rise in cases of the disease worldwide mean cancer care is rapidly becoming unaffordable in many developed countries  oncology experts said on Monday.,topStory
IDTI,Integrated Device Technology Inc,20110926,UPDATE 1-Integrated Device cuts Q2 revenue view , Sept 26 Analog chipmaker Integrated Device Technology Inc cut its second-quarter revenue outlook as it faced delays in customer orders.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
FLAT,iPath US Treasury Flattener ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
FLAT,iPath US Treasury Flattener ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
FLAT,iPath US Treasury Flattener ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
STPP,iPath US Treasury Steepener ETN,20110926,MOVES-Nomura  Barclays Wealth  Medivir , Sept 26 The following financial service industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
STPP,iPath US Treasury Steepener ETN,20110926,UPDATE 2-EU opens antitrust probe into e-payments market , * EU investigating whether banks blocked new entrants from market,normal
STPP,iPath US Treasury Steepener ETN,20110926,UK bank Aldermore raises 62 mln stg from investors , LONDON  Sept 26 Aldermore  one of a clutch of new British banks to have emerged in the wake of the credit crisis  has raised 62 million pounds ($95.7 million) from investors to fund its expansion and further development.,normal
LHCG,LHC Group,20110926,Amedisys: clarity on cuts could ease share pain ,Amedisys Inc and other home healthcare providers would rather the U.S. government make the industry swallow a bitter pill of reimbursement cuts today than spread the pain over the next few years.,topStory
MSCC,Microsemi Corporation,20110926,UPDATE 2-Mosaid asks shareholders to reject WiLan bid , * Mosaid says WiLan offer is "inadequate" and "highly opportunistic",topStory
MSFT,Microsoft Corporation,20110926,After Facebook event  a dot-com boom-scaled party ,SAN FRANCISCO When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,topStory
MSFT,Microsoft Corporation,20110926,CORRECTED - After Facebook event  a dot-com boom-scaled party , SAN FRANCISCO  Sept 23 When somebody who has been played by Justin Timberlake in a Hollywood movie decides to throw a party  the expectations are pretty high.,normal
MSFT,Microsoft Corporation,20110926,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Sept 26 Short interest on the Nasdaq rose 4.2 percent in early September  compared with the second half of August  the exchange said on Monday.,normal
MSFT,Microsoft Corporation,20110926,RPT-EU should note Microsoft  Skype bundling risks-rival , (Repeats to extra subscriber codes with no change to text),normal
MSFT,Microsoft Corporation,20110926,EU should note Microsoft  Skype bundling risks-rival , * Messagenet says EU should block anticompetitive bundling,normal
MSFT,Microsoft Corporation,20110926,UPDATE 2-Mosaid asks shareholders to reject WiLan bid , * Mosaid says WiLan offer is "inadequate" and "highly opportunistic",normal
MSFT,Microsoft Corporation,20110926,PRESS DIGEST - CANADA - September 26 , Sept 26 The following are top stories from selected Canadian newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MSFT,Microsoft Corporation,20110926,Samsung to launch its first Microsoft Mango phone from late Oct , SEOUL  Sept 26 Samsung Electronics   the world's second-biggest handset maker  said on Monday that it will release its first smartphone based on the latest version of Microsoft Corp's mobile operating system starting in Italy from the end of October.,normal
MSFT,Microsoft Corporation,20110926,PRESS DIGEST - New York Times - Sept 26 , Sept 26 The New York Times reported the following stories on its business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NDAQ,Nasdaq Inc,20110926,UPDATE 1-Short interest rose in early September , NEW YORK  Sept 26 Bearish bets on major U.S. exchanges rose in the first half of September  suggesting investors added positions as the market declined.,topStory
NDAQ,Nasdaq Inc,20110926,NYSE short interest increases in early September ,  NEW YORK  Sept 26 Short interest on the New York Stock Exchange rose 5.5 percent in the first half of September  the exchange said on Monday.,normal
NDAQ,Nasdaq Inc,20110926,Nasdaq short interest rises 4.2 pct in early Sept. , NEW YORK  Sept 26 Short interest on the Nasdaq rose 4.2 percent in the first half of September  the exchange said on Monday.,normal
NTES,NetEase Inc,20110926,Sina shares slump on fears of Chinese government scrutiny ,Shares of China's Sina Corp  fell as much as 12 percent on Monday on fears that a controversial corporate structure used by companies to list overseas or get foreign investment may draw scrutiny by the Chinese government.,topStory
NFLX,Netflix Inc,20110926,Netflix signs pay TV deal for Dreamworks animation ,Online video rental company Netflix Inc said it won pay TV rights to Dreamworks Animation movies starting in 2013  the first time a major Hollywood studio has chosen an Internet streaming player over a traditional cable channel.,topStory
NFLX,Netflix Inc,20110926,UPDATE 1-Amazon snaps up Fox shows for more streaming , NEW YORK  Sept 26 Online retailer Amazon.com  expanded its catalog of TV shows and movies for Web streaming by inking a new deal with News Corp's  Fox Networks.,normal
NFLX,Netflix Inc,20110926,PRESS DIGEST - New York Times - Sept 26 , Sept 26 The New York Times reported the following stories on its business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NFLX,Netflix Inc,20110926,Netflix edges out HBO for Dreamworks deal-NY Times , LOS ANGELES  Sept 25 Netflix Inc  has won a deal to pipe Dreamworks Animation  movies starting in 2013  the first time a major Hollywood studio has chosen Internet streaming over traditional pay TV  The New York Times reported on Sunday.,normal
NWSA,News Corporation,20110926,UPDATE 1-Amazon snaps up Fox shows for more streaming , NEW YORK  Sept 26 Online retailer Amazon.com  expanded its catalog of TV shows and movies for Web streaming by inking a new deal with News Corp's  Fox Networks.,topStory
NWSA,News Corporation,20110926,3D "Lion King" rules box office for second week ,LOS ANGELES "The Lion King" fended off Brad Pitt to keep the box-office crown for a second straight weekend. | Video ,normal
OMEX,Odyssey Marine Exploration Inc,20110926,U.S. firm finds British shipwreck full of silver ,TAMPA  Florida U.S. salvage company Odyssey Marine Exploration Inc said on Monday it had found the sunken wreckage of a British cargo ship filled with silver in the Atlantic Ocean  where it was torpedoed by the Germans during the Second World War.,topStory
OMEX,Odyssey Marine Exploration Inc,20110926,U.S. firm finds British shipwreck full of silver , TAMPA  Fla.  Sept 26 U.S. salvage company Odyssey Marine Exploration Inc  said on Monday it had found the sunken wreckage of a British cargo ship filled with silver in the Atlantic Ocean  where it was torpedoed by the Germans during the Second World War.,normal
ODFL,Old Dominion Freight Line Inc,20110926,YRC Worldwide says changes corporate structure ,Trucker YRC Worldwide Inc  said it eliminated certain positions  including that of chief operations officer  as part of its corporate restructuring  and announced new leadership for its YRC and Holland units.,topStory
ODFL,Old Dominion Freight Line Inc,20110926,UPDATE 1-YRC Worldwide says changes corporate structure , * Eliminates positions including chief operations officer,normal
SINA,Sina Corporation,20110926,Sina shares slump on fears of Chinese government scrutiny ,Shares of China's Sina Corp  fell as much as 12 percent on Monday on fears that a controversial corporate structure used by companies to list overseas or get foreign investment may draw scrutiny by the Chinese government.,topStory
SINA,Sina Corporation,20110926,ASIA PRIVATE EQUITY WEEKLY NEWS  SEPTEMBER 26  2011 , HONG KONG  Sept 26 News and developments in Asia private equity from Reuters News for the week ending September 23.,normal
SOHU,Sohucom Inc,20110926,Sina shares slump on fears of Chinese government scrutiny ,Shares of China's Sina Corp  fell as much as 12 percent on Monday on fears that a controversial corporate structure used by companies to list overseas or get foreign investment may draw scrutiny by the Chinese government.,topStory
SYMC,Symantec Corporation,20110926,Obama slams Republicans in West Coast money swing ,ATHERTON  California President Barack Obama harshly criticized Republican opponents on Sunday as he began a West Coast fundraising tour  accusing them of "ideological pushback" at a time of national crisis.,topStory
SYMC,Symantec Corporation,20110926,UPDATE 1-Obama slams Republicans in West Coast money swing , * Donations kept pace in 2nd quarter despite tough economy,normal
VOD,Vodafone Group Plc,20110926,Verizon takes Samsung's side in spat with Apple ,Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's request to ban the sale of some Samsung Electronics Co devices in the United States.,topStory
VOD,Vodafone Group Plc,20110926,UPDATE 1-Verizon takes Samsung's side in spat with Apple , * Samsung in multiple legal battles with Apple  (Adds details of lawsuit and background on dispute),normal
VOD,Vodafone Group Plc,20110926,REFILE-Verizon takes Samsung's side in spat with Apple , Sept 26 Verizon Wireless  the biggest U.S. mobile provider  has taken a legal stand against Apple Inc's  request to prohibit the sale of some Samsung Electronics models in the United States.,normal
VOD,Vodafone Group Plc,20110926,Egypt mobile phone June subscriptions up 30 pct , CAIRO  Sept 26 The number of mobile phone subscriptions in Egypt grew 30 percent from a year earlier to 76.43 million as of June  government figures showed on Monday.,normal
WIN,Windstream Holdings Inc,20110926,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Sept 26 Short interest on the Nasdaq rose 4.2 percent in early September  compared with the second half of August  the exchange said on Monday.,topStory
YRCW,YRC Worldwide Inc,20110926,YRC Worldwide says changes corporate structure ,Trucker YRC Worldwide Inc  said it eliminated certain positions  including that of chief operations officer  as part of its corporate restructuring  and announced new leadership for its YRC and Holland units.,topStory
YRCW,YRC Worldwide Inc,20110926,UPDATE 1-YRC Worldwide says changes corporate structure , * Eliminates positions including chief operations officer,normal
YRCW,YRC Worldwide Inc,20110926,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  Sept 26 Short interest on the Nasdaq rose 4.2 percent in early September  compared with the second half of August  the exchange said on Monday.,normal
MMM,3M Company,20110926,New Issue - 3M Co sells $1 bln senior unsecured notes ,  Sept 26 The 3M Company  on Monday sold $1 billion of senior unsecured notes  said IFR  a Thomson Reuters service.,topStory
ANF,Abercrombie & Fitch Company,20110926,American Eagle jumps as chairman buys stock ,American Eagle Outfitters'  shares rose 10 percent after chairman Jay Schottenstein bought a million shares of the teen clothes retailer  boosting investor confidence in the stock.,topStory
MO,Altria Group,20110926,Dealtalk: AB Inbev seen brewing up final mega deal ,LONDON In a global brewing industry marked by huge consolidation over the last decade  bankers are hopeful of an $80 billion plus deal to end all deals between the industry's two giants  Anheuser-Busch InBev  and SABMiller .,topStory
AEO,American Eagle Outfitters Inc,20110926,US SMALL/MIDCAPS-Stocks slip; weakness in home builders , NEW YORK  Sept 26 Small- and mid-capitalization stocks declined on Monday  with home builder stocks hurt by a a brokerage's lowered price target and data showing a drop in new U.S. home sales last month.,topStory
AEO,American Eagle Outfitters Inc,20110926,American Eagle jumps as chairman buys stock ,American Eagle Outfitters'  shares rose 10 percent after chairman Jay Schottenstein bought a million shares of the teen clothes retailer  boosting investor confidence in the stock.,normal
AIG,American International Group Inc,20110926,Goldman wins dismissal of NY lawsuit over bonuses ,Goldman Sachs Group Inc's  board of directors has won the dismissal of a lawsuit seeking to recover billions of dollars of bonus payouts and other compensation awarded for 2009.,topStory
AIG,American International Group Inc,20110926,UPDATE 1-Goldman wins dismissal of NY lawsuit over bonuses , Sept 26 Goldman Sachs Group Inc's  board of directors has won the dismissal of a lawsuit seeking to recover billions of dollars of bonus payouts and other compensation awarded for 2009.,normal
AIG,American International Group Inc,20110926,Transatlantic in talks with new bidder ,Transatlantic Holdings Inc  said on Monday it entered into deal talks with an undisclosed bidder  adding a fresh twist in a months-long takeover saga and sending the reinsurer's shares up sharply.,normal
AIG,American International Group Inc,20110926,UPDATE 3-Transatlantic in talks with new bidder , * Transatlantic shares rise 4.2 pct  (Adds analyst; updates shares),normal
AWK,American Water Works,20110926,HOW TO PLAY IT: Don't be a volatility ostrich , THE ISSUE: Since the beginning of August  the Dow industrial average has had nine days with 300-point-plus losses. In the entire year before it  there were only two. How can investors manage in such a period of high volatility?,topStory
AU,AngloGold Ashanti Limited,20110926,High gold price extends life of top Mali mine-govt , BAMAKO  Sept 26 Record high gold prices will allow Mali and its partners to continue producing from the country's top gold mine until 2020  seven years past the initial closure date  the government said on Monday.,topStory
AU,AngloGold Ashanti Limited,20110926,AngloGold aims to lift output to 5.5 mln oz by 2014 , JOHANNESBURG  Sept 26 AngloGold Ashanti    the world's third largest gold producer  said on Monday that it was aiming to lift output to 5.5 million ounces by 2014 from a forecast 4.45 million ounces this year.,normal
APA,Apache Corporation,20110926,Chevron approves A$29 bln Australian LNG project , PERTH  Sept 26 Chevron Corporation on Monday gave the final go ahead for its A$29 billion ($28.4 billion) Wheatstone liquefied natural gas project in Western Australia  the company's second LNG export project in the country.,topStory
