ACIW,ACI Worldwide Inc,20110915,UPDATE 4-Fundtech drops S1 for 'superior' PE offer , * GTCR's $23.33/shr cash offer at 33 pct premium to Fundtech Wed close,topStory
CMCSA,Comcast Corporation,20110915,HOW TO PLAY IT - Did Netflix's very bad day create value? , THE ISSUE: Netflix Inc   one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,topStory
CMCSA,Comcast Corporation,20110915,How to play it: Did Netflix's very bad day create value? ,THE ISSUE: Netflix Inc  one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
CMCSA,Comcast Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere.,normal
CMCSA,Comcast Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" , * "X Factor" gets flashy premiere fitting for splashy show,normal
CBRL,Cracker Barrel Old Country Store Inc,20110915,Olive Garden  Red Lobster slimming kids' menus ,Olive Garden and Red Lobster parent Darden Restaurants Inc said on Thursday it would reduce calories and sodium in its meals for children  amid growing calls for healthier and more nutritious restaurant fare.,topStory
CBRL,Cracker Barrel Old Country Store Inc,20110915,UPDATE 1-Olive Garden  Red Lobster slimming kids' menus , * Move comes amid calls to help reduce childhood obesity,normal
DENN,Denny&#39;s Corporation,20110915,Olive Garden  Red Lobster slimming kids' menus ,Olive Garden and Red Lobster parent Darden Restaurants Inc said on Thursday it would reduce calories and sodium in its meals for children  amid growing calls for healthier and more nutritious restaurant fare.,topStory
DENN,Denny&#39;s Corporation,20110915,UPDATE 1-Olive Garden  Red Lobster slimming kids' menus , * Move comes amid calls to help reduce childhood obesity,normal
DISH,DISH Network Corporation,20110915,Netflix lowers U.S. subscriber forecast; shares fall ,Netflix Inc cut its third-quarter forecast by 1 million U.S. subscribers  sending its shares down nearly 19 percent  as the company known for rapid growth expects more fallout from a price increase on its DVD service. | Video ,topStory
DISH,DISH Network Corporation,20110915,UPDATE 5-Netflix lowers US subscriber forecast; shares fall , * Shares end 19 pct lower  (Adds comments by Netflix executive  adds analyst comments  updates share prices),normal
ETFC,E*TRADE Financial Corporation,20110915,Schwab trading volumes up 35 pct in Aug from July , * optionsXpress trading volumes up 17 pct in Aug from July,topStory
EBAY,eBay Inc,20110915,EBay lawyer: Craigslist "sought" criminal probe ,SAN FRANCISCO A criminal investigation involving eBay is a "game changer" that should slow Craigslist's attempts to obtain documents and depositions in a parallel civil case  an eBay lawyer said in court.,topStory
EBAY,eBay Inc,20110915,EBay lawyer: Craigslist 'sought' criminal probe , * Probe should slow discovery in parallel case-eBay lawyer,normal
EBAY,eBay Inc,20110915,EBay pitches merchants as PayPal heads offline ,SAN FRANCISCO EBay Inc unveiled new PayPal technology to more than a hundred big retailers this week as the e-commerce company tries to take its big online payments business into the physical world.,normal
ERIC,Ericsson,20110915,Huawei targets enterprise deals at $7 billion by 2012 ,DALIAN  China/HONG KONG Huawei Technologies Co Ltd  the world's No.2 network equipment maker  expects its deals in the enterprise sector to total more than $7 billion by next year  banking on demand from key markets such as China  a senior executive said.,topStory
FSLR,First Solar Inc,20110915,Drop in 2010 US solar costs may accelerate -study , * Costs fell 17 pct last year  could drop faster for 2011,topStory
FISV,Fiserv Inc,20110915,Analysis: Why no killer app for paying bills online? ,NEW YORK If you want to manage all of your money and all of your monthly payments in one convenient online place  you're pretty much out of luck.,topStory
INTC,Intel Corporation,20110915,New Issue-Intel Corp. sells $5 bln notes in 3 parts ,  Sept 15 Intel Corp.  on Wednesday sold $5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
FLAT,iPath US Treasury Flattener ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
FLAT,iPath US Treasury Flattener ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
FLAT,iPath US Treasury Flattener ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
STPP,iPath US Treasury Steepener ETN,20110915,PRESS DIGEST - Financial Times - Sept 15 , Britain is to sue the European Central Bank over rules that it claims handicap the City of London and would force one of the biggest clearing houses to move to the euro area. http://www.ft.com/cms/s/0/146a256e-dee1-11e0-9130-00144feabdc0.html,topStory
STPP,iPath US Treasury Steepener ETN,20110915,Barclays close to deal for UPP stake: report ,LONDON Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Program (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
STPP,iPath US Treasury Steepener ETN,20110915,Barclays close to deal for UPP stake - FT , LONDON  Sept 15 Barclays Capital  is close to selling its majority stake in Britain's University Partnerships Programme (UPP)  in a deal that could be worth close to 1 billion pounds  the Financial Times reported on Thursday.,normal
JASO,JA Solar Holdings Co Ltd,20110915,Drop in 2010 US solar costs may accelerate -study , * Costs fell 17 pct last year  could drop faster for 2011,topStory
MU,Micron Technology Inc,20110915,UPDATE 5-Elpida eyes Taiwan to hedge yen woes; shares jump , * Elpida to take steps to fight soaring yen  weak chip market,topStory
MSFT,Microsoft Corporation,20110915,Judge extends time for Google digital books talks ,NEW YORK Google Inc and authors and publishers groups have about nine more months to untangle their six-year-old legal dispute over plans to create the world's largest digital library  a federal judge said on Thursday.,topStory
MSFT,Microsoft Corporation,20110915,Judge extends time for Google digital books talks , NEW YORK  Sept 15 Google Inc  and authors and publishers groups have about nine more months to untangle their six-year-old legal dispute over plans to create the world's largest digital library  a federal judge said on Thursday.,normal
MSFT,Microsoft Corporation,20110915,PRESS DIGEST - Wall Street Journal - Sept 15 , Sept 15 The following were the top stories in The Wall Street Journal on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MSFT,Microsoft Corporation,20110915,PRESS DIGEST - New York Times business news - Sept 15 , Sept 15 The following were the top stories in The New York Times business pages on Thursday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
MSFT,Microsoft Corporation,20110915,Investors fail to bite at Microsoft Wall Street pow-wow ,ANAHEIM  California A rising tide of investor agitation over Microsoft Corp's static share price and bulging cash hoard made no mark at the software company's annual meeting with Wall Street analysts and fund managers on Wednesday.,normal
MSFT,Microsoft Corporation,20110915,Investors fail to bite at Microsoft Wall St pow-wow , ANAHEIM  Calif.  Sept 14 A rising tide of investor agitation over Microsoft Corp's  static share price and bulging cash hoard made no mark at the software company's annual meeting with Wall Street analysts and fund managers on Wednesday.,normal
NDAQ,Nasdaq Inc,20110915,EU antitrust chief-will keep softer rules on bank aid ,WROCLAW  Poland EU countries that want to bail out struggling banks will continue to have leeway to do so  the official in charge of enforcing antitrust rules said on Thursday  promising to keep rules flexible into next year.,topStory
NDAQ,Nasdaq Inc,20110915,UPDATE 2-EU antitrust chief-will keep softer rules on bank aid , * EU had intended to resume strict bank aid regime in 2012,normal
NDAQ,Nasdaq Inc,20110915,German stocks - Factors to watch on September 15 , FRANKFURT  Sept 15 The DAX top-30 index  looked set to open 1.1 percent higher on Thursday  according to premarket data from brokerage Lang & Schwarz at 0609 GMT.,normal
NFLX,Netflix Inc,20110915,Euro zone progress extends Wall St gain ,NEW YORK Stocks rose for a fourth day on Thursday as coordinated central bank action calmed fears that Europe's financial sector was headed for a credit freeze due to the region's sovereign debt crisis. | Video ,topStory
NFLX,Netflix Inc,20110915,US STOCKS-Euro zone progress extends Wall St gain , * Central banks offer dollar liquidity to European lenders,normal
NFLX,Netflix Inc,20110915,Netflix lowers U.S. subscriber forecast; shares fall ,Netflix Inc cut its third-quarter forecast by 1 million U.S. subscribers  sending its shares down nearly 19 percent  as the company known for rapid growth expects more fallout from a price increase on its DVD service. | Video ,normal
NFLX,Netflix Inc,20110915,UPDATE 5-Netflix lowers US subscriber forecast; shares fall , * Shares end 19 pct lower  (Adds comments by Netflix executive  adds analyst comments  updates share prices),normal
NFLX,Netflix Inc,20110915,HOW TO PLAY IT - Did Netflix's very bad day create value? , THE ISSUE: Netflix Inc   one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
NFLX,Netflix Inc,20110915,US STOCKS-Euro zone progress extends Wall St advance , * Central banks offer dollar liquidity to European lenders,normal
NFLX,Netflix Inc,20110915,How to play it: Did Netflix's very bad day create value? ,THE ISSUE: Netflix Inc  one of the most closely-watched "momentum" stocks"  dropped nearly 20 percent on Thursday. Is it time to buy 'bargain' shares in the fast-expanding web video service?,normal
NFLX,Netflix Inc,20110915,US STOCKS-Wall St advances for 4th day  banks up on ECB moves , * Indexes up: Dow 1.2 pct  S&P 1.1 pct  Nasdaq 0.8 pct,normal
NWSA,News Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" ,LOS ANGELES There aren't many reality TV shows that stage their own world premiere.,topStory
NWSA,News Corporation,20110915,Hollywood rolls out red carpet for Cowell's "X Factor" , * "X Factor" gets flashy premiere fitting for splashy show,normal
NWSA,News Corporation,20110915,Britain's Guardian hikes cover price by 20 percent , LONDON  Sept 15 Britain's loss-making Guardian newspaper  which has led the exposure of a phone-hacking scandal at Rupert Murdoch's News of the World tabloid  is to hike its cover price by 20 percent  making it the country's most expensive newspaper.,normal
ORLY,O&#39;Reilly Automotive Inc,20110915,New Issue-O'Reilly Automotive sells $300 mln in notes ,  Sept 14 O'Reilly Automotive Inc.  late on Wednesday sold $300 million of senior notes  said IFR  a Thomson Reuters service.,topStory
AMTD,TD Ameritrade Holding Corporation,20110915,Schwab trading volumes up 35 pct in Aug from July , * optionsXpress trading volumes up 17 pct in Aug from July,topStory
VVUS,VIVUS Inc,20110915,US SMALL/MIDCAPS-Retail stocks up as consumer endures , NEW YORK  Sept 15 Small and midcap retail stocks outperformed the wider market on Thursday on growing optimism that the U.S. consumer was not yet succumbing to the economic weakness seen in other areas.,topStory
VVUS,VIVUS Inc,20110915,FDA OKs early resubmission of Vivus diet drug ,U.S. health regulators cleared the way for Vivus Inc  to submit a new application for a narrower indication of its obesity drug by next month  reviving the possibility of a new prescription fat fighter hitting the market soon.,normal
VVUS,VIVUS Inc,20110915,UPDATE 2-Vivus jumps as FDA OKs obesity drug early resubmission , * Will not hold resubmission till Fortress study completion,normal
VOD,Vodafone Group Plc,20110915,Fifteen lawmakers ask Obama to OK AT&T merger ,Fifteen Democratic lawmakers asked the Obama administration on Thursday to approve AT&T Inc's  proposed purchase of T-Mobile USA.,topStory
VOD,Vodafone Group Plc,20110915,Fifteen lawmakers ask Obama to OK AT&T merger ,Fifteen Democratic lawmakers asked the Obama administration on Thursday to approve AT&T Inc's proposed purchase of T-Mobile USA.,normal
VOD,Vodafone Group Plc,20110915,Fifteen U.S. lawmakers ask Obama to OK AT&T merger , * Lawmakers cite jobs as reason to seek merger's approval,normal
WMGI,Wright Medical Group NV,20110915,UPDATE 1-Wright Medical agrees to extended monitoring agreement , Sept 15 Wright Medical Group Inc said it voluntarily agreed to be monitored by federal authorities for another 12 months  following a breach of the terms of an existing deal with prosecutors.,topStory
WMGI,Wright Medical Group NV,20110915,UPDATE 1-Wright Medical to cut 80 jobs , * Sees cost restructuring to add to 2012 adj EPS by $0.05-$0.06,normal
AEM,Agnico Eagle Mines Limited,20110915,CANADA STOCKS-TSX rallies on signs of euro-zone action , * Gold miners drag materials group down 0.7 pct  (Updates to close. Adds details  comments),topStory
AEM,Agnico Eagle Mines Limited,20110915,CANADA STOCKS-TSX rallies on signs of euro-zone action , * Gold miners drag materials group down 0.7 pct  (Updates to close. Adds details  comments),normal
AGI,Alamos Gold Inc,20110915,UPDATE 1-Alamos Gold raises half yearly dividend , Sept 15 Alamos Gold raised its half yearly dividend by 40 percent  the third increase since its first payout in 2010 amid skyrocketing gold prices.,topStory
AA,Alcoa Corporation,20110915,Alcoa to spend $300 mln at Iowa plant for auto mart , NEW YORK  Sept 15 Alcoa Inc. said  on Thursday  it will spend about $300 million to expand its Davenport  Iowa rolled products plant in order to meet rising demand from the automotive market.,topStory
AA,Alcoa Corporation,20110915,UPDATE 1-Damaged Guinea bauxite conveyor to restart Friday-Alcoa , CONAKRY  Sept 15 A damaged conveyer belt that halted bauxite exports by Guinea's CBG earlier this week should be repaired and back in service on Friday  Alcoa said on Thursday.,normal
AA,Alcoa Corporation,20110915,Damaged Guinea bauxite conveyor to restart Friday-Alcoa , CONAKRY  Sept 15 A damaged conveyer belt that halted bauxite exports by Guinea's CBG should be repaired and back in service on Friday  Alcoa said on Thursday.,normal
ALL,Allstate Corporation (The),20110915,FACTBOX-Insured losses from Hurricane Irene , Sept 15 Hurricane Irene caused severe flood damage from the Bahamas all the way to the northern New England region of the United States last month  adding to what was already one of the costliest years for insurers in history.,topStory
ALL,Allstate Corporation (The),20110915,UPDATE 1-Allstate Irene losses less than tornado impact , * Lost $865 mln pretax in July/August  $500 mln from Irene,normal
AMOV,America Movil SAB de CV,20110915,Mexico agency  mulling $1 bln Slim fine  gets new member , Sept 15 Mexico President Felipe Calderon on Thursday appointed one of his advisers to join the nation's competition commission as the panel weighs a $1 billion fine against billionaire Carlos Slim.,topStory
