ACIW,ACI Worldwide Inc,20110815,UPDATE 1-ACI asks S1 shareholders to vote against Fundtech deal , Aug 15 ACI Worldwide Inc urged shareholders of S1 Corp   which rejected its $540 million offer earlier this month  to vote against S1's proposed acquisition of Israel's Fundtech Ltd .,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
FLAT,iPath US Treasury Flattener ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
FLAT,iPath US Treasury Flattener ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
FLAT,iPath US Treasury Flattener ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
STPP,iPath US Treasury Steepener ETN,20110815,BofA to exit Canada  Europe credit card business ,CHARLOTTE  N.C./TORONTO Eager to shed assets and rebuild its battered capital base  Bank of America Corp  said on Monday it plans to sell its $8.6 billion Canadian credit card portfolio to TD Bank Group .,topStory
STPP,iPath US Treasury Steepener ETN,20110815,UPDATE 4-BofA to exit Canada  Europe credit card business , * Sale at "modest premium" to $8.6 bln portfolio  TD says,normal
STPP,iPath US Treasury Steepener ETN,20110815,Barclays gets green light to expand in Israel , JERUSALEM  Aug 15 Bank of Israel Governor Stanley Fischer has awarded Barclays a banking licence and permit to open a branch  the central bank said  paving the way for the UK-listed bank to expand its investment banking and brokerage activities.,normal
MSFT,Microsoft Corporation,20110815,Google's bold bet on Motorola could hit Asian handset makers , SEOUL  Aug 16 Asian handset vendors such as HTC  and Samsung Electronics could face pressure after Google Inc swooped in to buy Motorola Mobility Holdings Inc for $12.5 billion to help protect its fast-growing Android mobile operating system.,topStory
MSFT,Microsoft Corporation,20110815,Google to buy Motorola Mobility in biggest deal ever ,NEW YORK/SAN FRANCISCO Google Inc's biggest deal ever  acquiring Motorola Mobility Holdings Inc for $12.5 billion  is an attempt to buy insurance against increasingly aggressive legal attacks from rivals such as Apple Inc. | Video ,normal
MSFT,Microsoft Corporation,20110815,UPDATE 8-Google to buy Motorola Mobility in biggest deal ever , * Losers may include rival cellphone makers  (Adds anti-trust and other details  fund manager's comment),normal
MSFT,Microsoft Corporation,20110815,Eyes on holiday season  casual games at Gamescom ,FRANKFURT Hackers  holiday season sales and "casual" gaming are expected to be in the spotlight at Gamescom  Europe's biggest video game trade fair  which throws its doors open to visitors this week.,normal
MSFT,Microsoft Corporation,20110815,Eyes on holiday season  casual games at Gamescom , * All eyes on Sony for possible PlayStation 3 price cut,normal
MSFT,Microsoft Corporation,20110815,Google-Motorola tie-up may draw antitrust scrutiny ,NEW YORK Google Inc  already the subject of antitrust inquiries  likely opened itself up to more regulatory scrutiny with its proposed $12.5 billion cash acquisition of Motorola Mobility Holdings Inc.,normal
MSFT,Microsoft Corporation,20110815,CORRECTED - Google-Motorola tie-up may draw antitrust scrutiny , (Corrects name of law firm in paragraph 17 to Shearman & Sterling LLP instead of Shearman & Stearling),normal
MSFT,Microsoft Corporation,20110815,Timeline: Motorola from cellphone inventor to Google bolt-on ,Google Inc's purchase of Motorola Mobility marks the end of its 81-year story -- including its invention of the cellphone in the 1970s  its spectacular success with the Razr phone a few years ago  and then its slide into crisis and now its takeover.,normal
MSFT,Microsoft Corporation,20110815,TIMELINE-Motorola: From cellphone inventor to Google bolt-on , Aug 15 Google Inc's  purchase of Motorola Mobility  marks the end of its 81-year story -- including its invention of the cellphone in the 1970s  its spectacular success with the Razr phone a few years ago  and then its slide into crisis and now its takeover. * 1928: Galvin family establishes Galvin Manufacturing. Its first product was a power converter. * 1930: Changes name to Motorola. Three generations of Galvins lead Motorola until Christopher Galvin's ,normal
MSFT,Microsoft Corporation,20110815,Analysis: Google deal ups RIM's allure  but for how long? ,TORONTO Google's $12.5 billion bid for Motorola Mobility brought a 9 percent gain for the beaten-down stock of tech rival Research In Motion on Monday as investors calculated what a similarly bulging premium would do for the BlackBerry maker's asking price.,normal
MYL,Mylan NV,20110815,FDA  industry reach generic drug fee agreement , WASHINGTON  Aug 15 U.S. regulators and generic drugmakers have reached a compromise agreement for a user-fee program that would require the companies to pay some $299 million in the first year to accelerate drug approvals.,topStory
NDAQ,Nasdaq Inc,20110815,Starbucks CEO urges halt to U.S. political donations ,LOS ANGELES Starbucks Corp  Chief Executive Howard Schultz is winning support for his call to withhold political contributions from U.S. lawmakers until they strike a "fair  bipartisan" deal on the country's debt  revenue and spending.,topStory
NDAQ,Nasdaq Inc,20110815,Starbucks CEO urges halt to US political donations , LOS ANGELES  Aug 15 Starbucks Corp  Chief Executive Howard Schultz is winning support for his call to withhold political contributions from U.S. lawmakers until they strike a "fair  bipartisan" deal on the country's debt  revenue and spending.,normal
NFLX,Netflix Inc,20110815,PRESS DIGEST - New York Times business news - August 15 , Aug 15 The following were the top stories on The New York Times business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NWSA,News Corporation,20110815,Wall Street Journal to launch German website , FRANKFURT  Aug 15 News Corp  will launch a German language online edition of the Wall Street Journal in December  German daily Handelsblatt said in an advance copy of its Tuesday edition.,topStory
SORL,SORL Auto Parts Inc,20110815,US SMALL/MIDCAPS-Energy rises alongside crude  telecom rallies , NEW YORK  Aug 15 Mid- and small-cap stocks advanced broadly on Monday as economic optimism lifted crude oil prices and energy shares  while a major telecom deal added to the positive sentiment.,topStory
SORL,SORL Auto Parts Inc,20110815,UPDATE 1-SORL Auto Parts posts weak Q2 results , Aug 15 SORL Auto Parts Inc   a Chinese maker of air brake components  posted lower-than-expected quarterly results and forecast weak third-quarter sales hurt by slower new vehicle sales in China's auto market.,normal
SBUX,Starbucks Corporation,20110815,Starbucks CEO urges halt to U.S. political donations ,LOS ANGELES Starbucks Corp  Chief Executive Howard Schultz is winning support for his call to withhold political contributions from U.S. lawmakers until they strike a "fair  bipartisan" deal on the country's debt  revenue and spending.,topStory
SBUX,Starbucks Corporation,20110815,Starbucks CEO urges halt to US political donations , LOS ANGELES  Aug 15 Starbucks Corp  Chief Executive Howard Schultz is winning support for his call to withhold political contributions from U.S. lawmakers until they strike a "fair  bipartisan" deal on the country's debt  revenue and spending.,normal
URBN,Urban Outfitters Inc,20110815,Urban Outfitters second quarter beats market view ,Urban Outfitters Inc's  quarterly results beat market expectations  helped mainly by higher sales at its Free People stores and direct-to-consumer segment  sending its shares up 7 percent after the bell.,topStory
URBN,Urban Outfitters Inc,20110815,UPDATE 1-Urban Outfitters Q2 beats market view , * Q2 rev $609.2 mln vs est $604.5 mln   (Follows alerts),normal
VRSN,VeriSign Inc,20110815,Businesses in U.S. complain of .xxx shakedown ,NEW YORK In preparation for a new triple-x Internet domain that will launch in December  lawyers for the most storied brands in the United States are scrambling to prevent an x-rated rip-off of an invaluable asset: corporate Web addresses.,topStory
VRSN,VeriSign Inc,20110815,Businesses in U.S. complain of .xxx shakedown , *Companies pay to protect brands in new pornography domain,normal
VOD,Vodafone Group Plc,20110815,E.ON mulls gas transport network sale: source ,DUESSELDORF  Germany E.ON AG  is considering selling its natural gas transport network  a company source told Reuters  as Germany's decision to abandon nuclear power forces the group to shed assets and jobs.,topStory
VOD,Vodafone Group Plc,20110815,CORRECTED-(OFFICIAL)-UPDATE 2-E.ON mulls gas transport network sale -source , (Company corrects number of employees at Open Grid Europe unit to 1 800 from 1 400 in second paragraph),normal
VOD,Vodafone Group Plc,20110815,UPDATE 1-Post-revolution downturn takes toll on Telecom Egypt , * Company says some services disrupted by cable theft   (Adds details  background),normal
A,Agilent Technologies Inc,20110815,Agilent third quarter profit beats Street ,Electronics testing equipment maker Agilent Technologies Inc  posted quarterly profit ahead of the market expectations helped by a 13 percent jump in orders  but forecast a fourth-quarter largely below analysts' average estimates.,topStory
A,Agilent Technologies Inc,20110815,UPDATE 1-Agilent Q3 profit beats Street , Aug 15 Electronics testing equipment maker Agilent Technologies Inc posted quarterly profit ahead of the market expectations helped by a 13 percent jump in orders  but forecast a fourth-quarter largely below analysts' average estimates.,normal
A,Agilent Technologies Inc,20110815,US STOCKS-Futures up  volatility seen lower , * Futures up: Dow 34 pts  S&P 6.4 pts  Nasdaq 7.75 pts,normal
A,Agilent Technologies Inc,20110815,US STOCKS-Futures rise after last week's wild ride , * Futures up: Dow 34 pts  S&P 5.6 pts  Nasdaq 8.5 pts,normal
AL,Air Lease Corporation,20110815,UPDATE 1-Boeing  Air Lease close $2.5 billion order , CHICAGO  Aug 15 Boeing Co  and Air Lease Corp  said on Monday they finalized an order for 14 Next-Generation 737-800s and five 777-300ER airplanes.,topStory
ALL,Allstate Corporation (The),20110815,Allstate sues Goldman over mortgage debt losses ,NEW YORK Allstate Corp  on Monday sued Goldman Sachs Group Inc   accusing the Wall Street bank of causing losses by hiding the risks more than $123 million of mortgage securities it bought.,topStory
ALL,Allstate Corporation (The),20110815,UPDATE 1-Allstate sues Goldman over mortgage debt losses , NEW YORK  Aug 15 Allstate Corp  on Monday sued Goldman Sachs Group Inc   accusing the Wall Street bank of causing losses by hiding the risks more than $123 million of mortgage securities it bought.,normal
AIG,American International Group Inc,20110815,Berkowitz's Fairholme slashes U.S. stock holdings , NEW YORK  Aug 15 Bruce Berkowitz's Fairholme Capital Group roughly halved its U.S. stock holdings in the second quarter by moving some of its money into more concentrated bets like insurer American International Group   according to a regulatory filing.,topStory
AMN,AMN Healthcare Services Inc,20110815,UPDATE 1-National Oilwell pact to get more review , HOUSTON  Aug 15 U.S. oilfield services firm National Oilwell Varco Inc  said on Monday its has refiled a notice with anti-trust regulators to provide them more time to review its proposed takeover of Ameron International Corp .,topStory
AU,AngloGold Ashanti Limited,20110815,UPDATE 2-Harmony Gold misses Q4 market forecast as costs bite , * Company sticks to 2 mln oz output target by 2015   (Adds CEO interview  analyst comment  details),topStory
AU,AngloGold Ashanti Limited,20110815,Tanzania in talks with miners to raise royalties on gold , DAR ES SALAAM  Aug 15 Tanzania plans to conclude negotiations with mining companies early next month to allow the government to raise royalty payments on gold exports to 4 percent from 3 percent.,normal
APO,Apollo Global Management LLC,20110815,RPT-Market chaos raises concerns for private equity , NEW YORK  Aug 12 Private equity firms frustrated over long-delayed plans to sell companies in their portfolios are bunkering down for an even longer wait.,topStory
ASH,Ashland Global Holdings Inc,20110815,LPC-Amid flight to quality  pro rata loan activity a bright spot , NEW YORK  Aug 15 (LPC) - As macroeconomic uncertainty leads to volatile swings in prices in the institutional loan market  one corner of the leveraged loan space  bankers say  has not skipped a beat.,topStory
AGO,Assured Guaranty Ltd,20110815,Berkowitz's Fairholme slashes U.S. stock holdings , NEW YORK  Aug 15 Bruce Berkowitz's Fairholme Capital Group roughly halved its U.S. stock holdings in the second quarter by moving some of its money into more concentrated bets like insurer American International Group   according to a regulatory filing.,topStory
T,AT&T Inc,20110815,Timeline: Motorola from cellphone inventor to Google bolt-on ,Google Inc's purchase of Motorola Mobility marks the end of its 81-year story -- including its invention of the cellphone in the 1970s  its spectacular success with the Razr phone a few years ago  and then its slide into crisis and now its takeover.,topStory
