ACOR,Acorda Therapeutics Inc,20110725,UPDATE 1-Biogen wins conditional approval for MS drug in EU , * Study to evaluate safety  efficacy over the long term,topStory
AAPL,Apple Inc,20110725,Broadcom results beat Street  stock leaps ,SAN FRANCISCO Wireless chipmaker Broadcom  gave a rosier-than-expected outlook for its revenues  dispelling worries about a tepid economy and high inventories and giving a hefty boost to its shares.,normal
AAPL,Apple Inc,20110725,UPDATE 3-Broadcom results beat Street  stock leaps , * Stock jumps after hours  (Rewrites first paragraph  adds quote  details),normal
AAPL,Apple Inc,20110725,UPDATE 6-RIM adjusts to new reality by slashing workforce , * Shares drop 4 percent  (Adds details  updates share price),normal
AAPL,Apple Inc,20110725,RIM adjusts to new reality by slashing 2 000 jobs ,TORONTO BlackBerry maker Research In Motion plans to cut about 11 percent of its workforce as it struggles to keep pace with Apple and Google in the mobile market it once dominated.,normal
AAPL,Apple Inc,20110725,Chinese city orders two fake Apple Stores to close ,KUNMING  China Chinese officials in Kunming have ordered two fake Apple shops to close  not because of piracy or copyright concerns  but because the stores in the southwestern city did not have an official business permit.,normal
AAPL,Apple Inc,20110725,UPDATE 3-Chinese city orders two fake Apple Stores to close , * Only shops without business licences ordered to close - official,normal
AAPL,Apple Inc,20110725,China's Apple frenzy triggers wave of smuggling , ,normal
AAPL,Apple Inc,20110725,China's Apple frenzy triggers wave of smuggling ,HONG KONG In a crowded multi-storeyed marketplace in downtown Shenzhen  a store owner haggles with a cigarette-smoking customer over the price for a bulk sale.,normal
BIDU,Baidu Inc,20110725,Baidu's Q3 view outpaces Street view  shares jump ,LOS ANGELES/BANGALORE Baidu Inc forecast revenue well ahead of Wall Street's expectations as major advertisers shrugged off fears of a Chinese economic slowdown  and its shares rose 7 percent.,topStory
BIDU,Baidu Inc,20110725,UPDATE 3-Baidu's Q3 view outpaces Street view  shares jump , * Q3 outlook outpaces Wall Street view  advertising strong,normal
BIDU,Baidu Inc,20110725,REFILE-FUNDVIEW-Silvant Capital bets on Baidu  midcap network gear makers , * Bearish on optical gear makers Finisar  JDS Uniphase,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DLBL,Barclays PLC,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DLBL,Barclays PLC,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DLBL,Barclays PLC,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DLBL,Barclays PLC,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DLBL,Barclays PLC,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DLBL,Barclays PLC,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DLBL,Barclays PLC,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DTYL,Barclays PLC,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DTYL,Barclays PLC,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DTYL,Barclays PLC,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DTYL,Barclays PLC,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DTYL,Barclays PLC,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DTYL,Barclays PLC,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DTYL,Barclays PLC,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
BIIB,Biogen Inc,20110725,UPDATE 1-Biogen wins conditional approval for MS drug in EU , * Study to evaluate safety  efficacy over the long term,topStory
CALM,Cal-Maine Foods Inc,20110725,Cal Maine Foods Q4 profit beats estimates ,Cal Maine Foods Inc  reported a higher-than-expected quarterly profit on rising demand and higher prices for its fresh shell eggs.,topStory
CALM,Cal-Maine Foods Inc,20110725,UPDATE 1-Cal Maine Foods Q4 profit beats estimates , * Q4 sales rise 9 pct to $242.4 mln   (Follows alerts),normal
CLMT,Calumet Specialty Products Partners LP,20110725,UPDATE 2-Murphy Oil announces sale of smallest refinery , HOUSTON  July 25 Murphy Oil Corp  announced on Monday it sold the smallest of its three refineries for $214 million plus inventory  bringing the company a step closer to shedding refining to focus solely on exploration and production.,topStory
CLMT,Calumet Specialty Products Partners LP,20110725,RPT-BRIEF-Murphy Oil to sell Superior refinery to Calumet , July 25 Murphy Oil Corp :  * Announces Superior refinery sale  * Says deal for $214 million  * Says Superior refinery is being acquired by Calumet Specialty Products,normal
CSIQ,Canadian Solar Inc,20110725,Canadian Solar CFO quits ,BANGALORE Canadian Solar Inc said its chief financial officer has quit and the solar module maker forecast its second-quarter gross margin at the lower end of its prior outlook.,topStory
CSIQ,Canadian Solar Inc,20110725,RPT-UPDATE 2-Canadian Solar CFO quits; sees Q2 margin at lower end of estimate , (Repeats to add missing word in headline. Adds CFO change in paragraph 1  details on new  old CFO in paragraphs 2 3 4 7 CEO comment in paragraph 6  new CFO comment in last para),normal
CSCO,Cisco Systems Inc,20110725,REFILE-FUNDVIEW-Silvant Capital bets on Baidu  midcap network gear makers , * Bearish on optical gear makers Finisar  JDS Uniphase,topStory
CME,CME Group Inc,20110725,UPDATE 3-CME raises margin requirements on US Treasury futures , * CME boosts margins on a rise in bond market volatility,topStory
CME,CME Group Inc,20110725,UPDATE 1-Osaka bourse to list Dow Jones futures -Nikkei , TOKYO  July 25 The Osaka Securities Exchange  plans to relist Dow Jones Industrial Average Futures after dropping them in 2005  hoping that this time extended trading hours will boost their popularity  the Nikkei business daily reported on Monday.,normal
CME,CME Group Inc,20110725,Osaka bourse to list Dow Jones futures: report ,TOKYO The Osaka Securities Exchange  plans to list Dow Jones Industrial Average Futures as apart on an alliance with the Chicago Mercantile Exchange  the Nikkei business daily reported on Monday.,normal
CME,CME Group Inc,20110725,Osaka bourse to list Dow Jones futures -Nikkei , TOKYO  July 25 The Osaka Securities Exchange  plans to list Dow Jones Industrial Average Futures as apart on an alliance with the Chicago Mercantile Exchange  the Nikkei business daily reported on Monday.,normal
ETFC,E*TRADE Financial Corporation,20110725,RPT-Citadel presses E*Trade more on alternatives , BOSTON  July 25 Citadel LLC demanded on Monday that E*Trade Financial Corp  call a special shareholder meeting less than one week after the online broker's largest single owner urged it to explore a possible sale.,topStory
ETFC,E*TRADE Financial Corporation,20110725,Citadel presses E*Trade more on alternatives ,BOSTON Citadel LLC demanded on Monday that E*Trade Financial Corp  call a special shareholder meeting less than one week after the online broker's largest single owner urged it to explore a possible sale.,normal
ETFC,E*TRADE Financial Corporation,20110725,TD Ameritrade to discuss pursuit of E*Trade: report ,TD Ameritrade Holding's  directors plan to discuss at a meeting Tuesday the possibility of trying to buy rival online broker E*Trade Financial Corp   the Wall Street Journal said  citing people familiar with the matter.,normal
ETFC,E*TRADE Financial Corporation,20110725,PRESS DIGEST - Wall Street Journal - July 25 , July 25The following were the top stories in The Wall Street Journal on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,normal
ETFC,E*TRADE Financial Corporation,20110725,TD Ameritrade to discuss pursuit of E*Trade - WSJ , July 25 TD Ameritrade Holding's  directors plan to discuss at a meeting Tuesday the possibility of trying to buy rival online broker E*Trade Financial Corp    the Wall Street Journal said  citing people familiar with the matter.,normal
ESLT,Elbit Systems Ltd,20110725,Elbit Systems wins $40 mln Israel defence contract , TEL AVIV  July 25 Israeli defence electronics firm Elbit Systems  said on Monday it won a $40 million order from Israel's Ministry of Defence for its  Digital Army Programme.,topStory
FFIV,F5 Networks Inc,20110725,REFILE-FUNDVIEW-Silvant Capital bets on Baidu  midcap network gear makers , * Bearish on optical gear makers Finisar  JDS Uniphase,topStory
FNSR,Finisar Corporation,20110725,REFILE-FUNDVIEW-Silvant Capital bets on Baidu  midcap network gear makers , * Bearish on optical gear makers Finisar  JDS Uniphase,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
FLAT,iPath US Treasury Flattener ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
FLAT,iPath US Treasury Flattener ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
FLAT,iPath US Treasury Flattener ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
FLAT,iPath US Treasury Flattener ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
FLAT,iPath US Treasury Flattener ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
FLAT,iPath US Treasury Flattener ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
FLAT,iPath US Treasury Flattener ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
STPP,iPath US Treasury Steepener ETN,20110725,Cable seeks reassurance on UK banking reform , * Cable says competition needed to counter rip-off culture,topStory
STPP,iPath US Treasury Steepener ETN,20110725,Lazard hires ex-UBS financial services banker Howe , NEW YORK  July 25 Lazard Ltd  said on Monday it hired former UBS AG  investment banker Gary Howe as head of financial institutions advisory in North America.,normal
STPP,iPath US Treasury Steepener ETN,20110725,Analysis: Can Goldman  Morgan Stanley recover commodities moxie? ,NEW YORK At the once-feared commodity trading arms of Goldman Sachs and Morgan Stanley  the pressure to do better in the second half of this year has never been more intense.,normal
STPP,iPath US Treasury Steepener ETN,20110725,UBS names Americas head of leveraged finance , NEW YORK  July 25 UBS AG   said on Monday it named Michael Konigsberg  a former banker for Barclays Plc  affiliate Barclays Capital  as its Americas head of leveraged finance.,normal
STPP,iPath US Treasury Steepener ETN,20110725,BRIEF-Moody's assigns Aa3 (sf) to Barclays index linked notes , * Moody's assigns Aa3 (sf) to Barclays Index Linked Notes,normal
STPP,iPath US Treasury Steepener ETN,20110725,BRIEF-Moody's assigns rtgs to B-CAP 2 Trust Certificates (CMBS) , * Moody's assigns ratings to B-CAP 2 Trust Certificates (CMBS),normal
STPP,iPath US Treasury Steepener ETN,20110725,UPDATE 1-UK mortgage lender Yorkshire to buy Egg units from Citi , * Units comprise 2.5 bln stg savings book  430 mln mortgage book,normal
JASO,JA Solar Holdings Co Ltd,20110725,DuPont buys solar tech company Innovalight ,LOS ANGELES Chemical company DuPont said on Monday it bought solar technology start-up Innovalight Inc in a move to help double sales to the solar industry to $2 billion by 2014.,topStory
JASO,JA Solar Holdings Co Ltd,20110725,UPDATE 3-DuPont buys solar tech company Innovalight , * Innovalight silicon ink boosts efficiency of solar cells,normal
JASO,JA Solar Holdings Co Ltd,20110725,Canadian Solar CFO quits ,BANGALORE Canadian Solar Inc said its chief financial officer has quit and the solar module maker forecast its second-quarter gross margin at the lower end of its prior outlook.,normal
JASO,JA Solar Holdings Co Ltd,20110725,RPT-UPDATE 2-Canadian Solar CFO quits; sees Q2 margin at lower end of estimate , (Repeats to add missing word in headline. Adds CFO change in paragraph 1  details on new  old CFO in paragraphs 2 3 4 7 CEO comment in paragraph 6  new CFO comment in last para),normal
JBLU,JetBlue Airways Corporation,20110725,Airlines raise fares as taxes lapse ,ATLANTA Many U.S. airlines have raised fares in recent days to take advantage of a lapse in U.S. ticket tax collection after Congress failed last week to fully fund the Federal Aviation Administration budget  but passengers are not likely to notice any price difference.,topStory
JBLU,JetBlue Airways Corporation,20110725,UPDATE 2-U.S. airlines raise fares as taxes lapse , * For most travelers  ticket prices not likely to change,normal
JBLU,JetBlue Airways Corporation,20110725,U.S. airlines raise fares to scoop up tax lapse , * For most travelers  ticket prices likely won't change,normal
LSCC,Lattice Semiconductor Corporation,20110725,Canadian Solar CFO quits ,BANGALORE Canadian Solar Inc said its chief financial officer has quit and the solar module maker forecast its second-quarter gross margin at the lower end of its prior outlook.,topStory
LSCC,Lattice Semiconductor Corporation,20110725,RPT-UPDATE 2-Canadian Solar CFO quits; sees Q2 margin at lower end of estimate , (Repeats to add missing word in headline. Adds CFO change in paragraph 1  details on new  old CFO in paragraphs 2 3 4 7 CEO comment in paragraph 6  new CFO comment in last para),normal
LECO,Lincoln Electric Holdings Inc,20110725,Melrose says may raise offer for Charter ,LONDON Manufacturing buy-out firm Melrose  said it would consider making a higher proposed offer for Charter International  if it was given access to the British engineering company's books.,topStory
LECO,Lincoln Electric Holdings Inc,20110725,UPDATE 2-Melrose says may raise offer for Charter , * Says willing to consider increasing proposal if has "access to due diligence",normal
MSCC,Microsemi Corporation,20110725,UPDATE 1-Zarlink adopts poison pill to fend off Microsemi , July 25 Canada's Zarlink Semiconductor Corp  adopted a "poison pill" shareholder rights plan to fend off a hostile takeover bid by U.S. rival Microsemi Corp    who made public its $548.7 million cash offer after two failed buyout attempts.,topStory
NFLX,Netflix Inc,20110725,Netflix shares down after outlook disappoints ,LOS ANGELES/NEW YORK Netflix Inc  facing a backlash from customers upset over a price hike  warned its subscriber growth would cool down in the third quarter  and its shares fell 10 percent. | Video ,topStory
NFLX,Netflix Inc,20110725,UPDATE 4-Netflix shares down after outlook disappoints , * Shares fall about 10 pct after earnings-report outlook  (Adds details on forecasts  price hike),normal
NFLX,Netflix Inc,20110725,CORRECTED - UPDATE 2-Netflix shares down after subscriber outlook , (Corrects year-ago net income figures to $44 million  or 80 cents a share  paragraph 2),normal
NFLX,Netflix Inc,20110725,LinkedIn tightens ties between jobseekers  employers ,SAN FRANCISCO Professional social network LinkedIn took the wraps off a tool that allows jobseekers to apply for open positions by sending their LinkedIn profiles directly to prospective employers.,normal
NFLX,Netflix Inc,20110725,LinkedIn tightens ties between jobseekers  employers , * Netflix  LivingSocial  Photobucket already using tool,normal
NFLX,Netflix Inc,20110725,Options investors hope for more Netflix gains ,NEW YORK/CHICAGO Options investors appear to be betting that Netflix Inc   already up more than 60 percent this year  will continue its rise after its earnings report later in the day.,normal
