ATVI,Activision Blizzard Inc,20110902,United States loses video game jobs to Quebec ,MONTREAL Outside  the sun is shining  but it is dark in the production room where more than 150 Ubisoft artists  animators and engineers are racing to finish the latest edition of "Assassin's Creed " one of this holiday's hotly anticipated games.,topStory
DLBL,Barclays PLC,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DLBL,Barclays PLC,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DLBL,Barclays PLC,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DLBL,Barclays PLC,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DLBL,Barclays PLC,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DLBL,Barclays PLC,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DLBL,Barclays PLC,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DLBL,Barclays PLC,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DLBL,Barclays PLC,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DLBL,Barclays PLC,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DTYL,Barclays PLC,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DTYL,Barclays PLC,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DTYL,Barclays PLC,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTYL,Barclays PLC,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTYL,Barclays PLC,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYL,Barclays PLC,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DTYL,Barclays PLC,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DTYL,Barclays PLC,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DTYL,Barclays PLC,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DTYL,Barclays PLC,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
CETV,Central European Media Enterprises Ltd,20110902,Dealtalk: Time Warner ahead in TVN sale ,WARSAW While Time Warner is frontrunner in the sale of blue-chip Polish media company TVN  it could end in a split  with one of TVN's founding families picking up web portal Onet.pl  leaving the TV assets to the U.S. group.,topStory
CSCO,Cisco Systems Inc,20110902,Dealtalk: Anti-trust shadow looms over European telco deals ,LONDON The block on AT&T's $39 billion purchase of T-Mobile USA is a grim reminder of the need to do anti-trust homework on deals in mature  slow growth telecoms markets and could put some European players off their takeover plans.,topStory
CMCSA,Comcast Corporation,20110902,Relax football fans: Obama speech won't trump NFL ,WASHINGTON American football fans can rest easy: President Barack Obama's nationally televised jobs speech to Congress will not conflict with the season-opening NFL game between the Green Bay Packers and New Orleans Saints. | Video ,topStory
CMCSA,Comcast Corporation,20110902,Court battle looms between U.S. and AT&T  T-Mobile ,NEW YORK/WASHINGTON The Justice Department made a bold move when it sued to block AT&T Inc's $39 billion acquisition of T-Mobile. Now comes the hard part: going to court. | Video ,normal
CBRL,Cracker Barrel Old Country Store Inc,20110902,UPDATE 1-Cracker Barrel rejects Biglari's nomination to board , * Shareholder Biglari said he will delay special meeting,topStory
ERIC,Ericsson,20110902,Microsoft to win from Google Motorola buy -Acer , BERLIN  Sept 2 Microsoft will be the winner in Google's acquisition of Motorola Mobility  as the deal makes Google a direct rival to its phone-making clients  a senior executive from Acer Inc  said on Friday.,topStory
ESRX,Express Scripts Holding Company,20110902,FTC seeks more info on Medco  Express Scripts deal ,LOS ANGELES The U.S. Federal Trade Commission has asked for additional information on Express Scripts Inc's  planned acquisition of rival pharmacy benefits manager Medco Health Solutions Inc .,topStory
ESRX,Express Scripts Holding Company,20110902,UPDATE 3-FTC seeks more info on Medco  Express Scripts deal , LOS ANGELES  Sept 2 The U.S. Federal Trade Commission has asked for additional information on Express Scripts Inc's  planned acquisition of rival pharmacy benefits manager Medco Health Solutions Inc .,normal
FITB,Fifth Third Bancorp,20110902,IFR-Wells Fargo redeems $5.8bn of TruPs at expense of investors , NEW YORK  Sept 2 (IFR) - US investors got a taste of losses to come this week when Wells Fargo & Company on Thursday triggered regulatory event calls to redeem $5.8bn of high yielding Trust Preferred (TruPs) and other securities.,topStory
FSLR,First Solar Inc,20110902,UPDATE 1-Dow Chemical gets U.S. government solar grant , NEW YORK  Sept 2 Dow Chemical Co  has received a $12.8 million grant from the U.S. government to study how to cut the cost of solar panels integrated into construction products.,topStory
GRMN,Garmin Ltd,20110902,Deals of the day -- mergers and acquisitions , (Adds Berkshire Hathaway  Microsemi  Johnson Controls  Gazprom  others),topStory
GRMN,Garmin Ltd,20110902,Garmin eyes Europe No.1 spot with Navigon ,BERLIN Garmin Ltd is looking to challenge rival TomTom's leading position in the European market for portable navigation devices (PNDs) though its acquisition of Germany-based Navigon  its executive said on Friday.,normal
INTC,Intel Corporation,20110902,Microsemi says could walk away from Zarlink bid ,TORONTO Chipmaker Microsemi Corp has dared takeover target Zarlink Semiconductor  to show it can get a bid higher than the C$550 million ($561 million) it has offered  saying it is willing to walk away from the bid.,topStory
INTC,Intel Corporation,20110902,UPDATE 3-Microsemi says could walk away from Zarlink bid , * Zarlink shares fall 1.08 percent  (Reworks first paragraph),normal
INTC,Intel Corporation,20110902,China's GCL-Poly Energy signs $713 million loan deal ,HONG KONG China's top polysilicon company GCL-Poly Energy Holdings Ltd said on Friday it secured loans worth $713 million from state-owned lender China Development Bank in a deal highlighting the nation's continuing support for the solar sector.,normal
INTC,Intel Corporation,20110902,China's GCL-Poly Energy signs $713 mln loan deal , HONG KONG  Sept 2 China's top polysilicon company GCL-Poly Energy Holdings Ltd said on Friday it secured loans worth $713 million from state-owned lender China Development Bank in a deal highlighting the nation's continuing support for the solar sector.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110902,UPDATE 6-US regulator sues major banks over subprime bonds , * Litigation may hamper settlement with states  (Adds lawsuit details  bank comments  Wells Fargo),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,Factbox: Who the FHFA has sued over subprime bonds ,The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,FACTBOX-Who the FHFA has sued over subprime bonds , Sept 2 The U.S. Federal Housing Finance Agency sued 17 financial institutions on Friday  for allegedly misrepresenting material information when selling mortgage-backed securities.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,MOVES-Capstan Capital  BNY Mellon  CLS Group  Insynergy  Barclays Capital , Sept 2 The following financial service industry appointments were announced on Friday. To inform us of other job changes  email to moves@thomsonreuters.com.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,Barclays sued by Madoff trustee ,NEW YORK Barclays Plc was sued for $67.4 million by the trustee seeking money for victims of Bernard Madoff's Ponzi scheme.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,Barclays sued by Madoff trustee , * Money funneled from Fairfield Sentry feeder fund sought,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,Elevated spreads put kibosh on senior FIG revival , LONDON  Sep 2 (IFR) - Hopes that the reopening of the covered bond market could help revive the fortunes of the senior FIG market might be dashed as European banks' senior spreads remain at elevated levels.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,UPDATE 1-Euro debt crisis ups cost pressure at Deutsche Bank , * Newspaper - bank eyes possible 1-2 bln eur in cost savings,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110902,Indigestion fears as covered issuers pile in , LONDON  Sep 1 (IFR) - The covered bond market revival could be jeopardised by overeager banks executing large deals and poor secondary performance  bankers said this week.,normal
FLAT,iPath US Treasury Flattener ETN,20110902,U.S. regulator sues major banks over subprime bonds ,WASHINGTON/NEW YORK A U.S. regulator sued 17 large banks and financial institutions on Friday over losses on about $200 billion of subprime bonds  which may hamper a broader government settlement of the mortgage mess left over from the housing crisis.,topStory
