AVAV,AeroVironment Inc,20110712,Analysis: Electronic warfare moves to frontline ,BANGALORE As the United States draws down troops in Afghanistan and Iraq and cuts back on defense spending  its reliance on technology will only rise  benefiting a clutch of companies specializing in intelligence gathering  surveillance and reconnaissance.,topStory
AAPL,Apple Inc,20110712,DEALTALK-Barnes & Noble won't get better bid than Malone's , NEW YORK/PHILADELPHIA  July 12 Nearly a year after Barnes & Noble Inc  put itself up for sale  the largest U.S. bookstore chain likely will settle for the only firm offer it has received: $1 billion from John Malone's Liberty Media Corp .,normal
AAPL,Apple Inc,20110712,Google costs in focus after busy quarter ,SAN FRANCISCO Google Inc's investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,normal
AAPL,Apple Inc,20110712,PREVIEW-Google costs in focus after busy quarter , SAN FRANCISCO  July 12 Google Inc's  investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,normal
AAPL,Apple Inc,20110712,Apple chief patent lawyer leaving: sources ,SAN FRANCISCO Apple Inc's chief patent counsel will soon leave the company  at a time when the iPhone maker is fighting numerous legal battles around the world  according to sources familiar with the situation.,normal
AAPL,Apple Inc,20110712,RIM could do better as two businesses: analyst ,TORONTO BlackBerry maker Research In Motion should split itself in two to liberate locked-in value and speed up innovation at a company that has lagged its competitors  a brokerage said on Tuesday.,normal
AAPL,Apple Inc,20110712,WRAPUP 1-Semiconductor worries fester after warnings , SAN FRANCISCO  July 12 Chip manufacturing equipment maker Applied Materials Inc  said tough economic conditions are hurting demand  adding to semiconductor worries after warnings by Novellus Systems Inc  and Microchip Technology Inc .,normal
AMAT,Applied Materials Inc,20110712,WRAPUP 2-Semiconductor worries fester after warnings , * Shares fall on sector worries  (Adds detail on KLA-Tencor  updates stock prices),topStory
AMAT,Applied Materials Inc,20110712,WRAPUP 1-Semiconductor worries fester after warnings , SAN FRANCISCO  July 12 Chip manufacturing equipment maker Applied Materials Inc  said tough economic conditions are hurting demand  adding to semiconductor worries after warnings by Novellus Systems Inc  and Microchip Technology Inc .,normal
AMAT,Applied Materials Inc,20110712,Applied Materials warns of tough economies ,SAN FRANCISCO Chip manufacturing equipment maker Applied Materials  said tough economic conditions in Europe and the United States were hurting demand  and it maintained its forecast for slower quarterly revenue.,normal
AMAT,Applied Materials Inc,20110712,UPDATE 2-Applied Materials warns of tough economies , * Stock down 3.3 percent  (Adds quote  details on outlook  other chip companies  byline),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DLBL,Barclays PLC,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DLBL,Barclays PLC,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DLBL,Barclays PLC,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DTYL,Barclays PLC,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DTYL,Barclays PLC,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DTYL,Barclays PLC,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
CA,CA Inc,20110712,Quest Software sees Q2 miss  shares fall ,Bangalore Quest Software Inc's  preliminary second-quarter results missed estimates  and the company cut fiscal 2011 revenue growth forecast  hurt by lower-than-anticipated return on higher investments in business and acquisitions  sending its shares down 12 percent.,topStory
CSIQ,Canadian Solar Inc,20110712,Canadian Solar targets '12 module shipments above 2 GW ,SAN FRANCISCO Canadian Solar Inc is aiming to ship more than 2 gigawatts of solar modules in 2012  a target that would represent a 60 percent increase from the midpoint of its 2011 forecast  Chief Executive Shawn Qu said on Tuesday.,topStory
CSTR,CapStar Financial Holdings Inc,20110712,Netflix raises DVD  streaming plan price by 60 percent ,LOS ANGELES Netflix Inc hiked monthly prices for customers who use both its mail and online services  a move that could steer users toward its growing Internet streaming service.,topStory
CSTR,CapStar Financial Holdings Inc,20110712,UPDATE 1-Netflix raises DVD  streaming plan price by 60 pct , * Shares up slightly  (Adds company  analyst comment; adds shares),normal
CECO,Career Education Corporation,20110712,UPDATE 1-For-profit schools lose two  win one in US ruling , * But online schools win against multi-state authorization  (Adds Education Dept comment  further detail from ruling),topStory
CECO,Career Education Corporation,20110712,For-profit schools lose two  win one in US ruling , WASHINGTON  July 12 For-profit trade schools and colleges  the subject of a U.S. government crackdown over education standards and recruiting  lost a court challenge of two new rules but prevailed on a third.,normal
CASY,Caseys General Stores Inc,20110712,Couche-Tard profit falls  but beats estimates ,TORONTO Alimentation Couche-Tard Inc   Canada's biggest independent convenience store operator  posted a lower quarterly profit on Tuesday but topped market estimates on growth of merchandise sales in the United States and on a stronger Canadian dollar.,topStory
CASY,Caseys General Stores Inc,20110712,UPDATE 2-Couche-Tard profit falls  but beats estimates , * Same-store merchandise sales up in U.S.  down in Canada,normal
GTLS,Chart Industries Inc,20110712,Clean Energy hits 2-month high on Chesapeake investment ,BANGALORE Shares of Clean Energy Fuels Corp rose 16 percent after Chesapeake Energy Corp said on Monday it plans to invest $150 million in Clean Energy to fund the development of nearly 150 liquefied natural gas (LNG) truck fueling stations.,topStory
CSCO,Cisco Systems Inc,20110712,Cisco could eliminate as many as 10 000 jobs: report ,SAN FRANCISCO Networking equipment company Cisco Systems Inc  could eliminate as many as 10 000 jobs  or about 14 percent of its workforce  to revive profit growth  Bloomberg said  citing two people familiar with the matter.,topStory
CSCO,Cisco Systems Inc,20110712,UPDATE 2-Cisco could eliminate as many as 10 000 jobs -report , * Job cuts to amount to about 14 pct of workforce-Bloomberg,normal
CSCO,Cisco Systems Inc,20110712,Cisco could eliminate as many as 10 000 jobs: report ,SAN FRANCISCO Networking equipment company Cisco Systems Inc could eliminate as many as 10 000 jobs  or about 14 percent of its workforce  to revive profit growth  Bloomberg said  citing two people familiar with the matter.,normal
CLNE,Clean Energy Fuels Corp,20110712,Clean Energy hits 2-month high on Chesapeake investment ,BANGALORE Shares of Clean Energy Fuels Corp rose 16 percent after Chesapeake Energy Corp said on Monday it plans to invest $150 million in Clean Energy to fund the development of nearly 150 liquefied natural gas (LNG) truck fueling stations.,topStory
COST,Costco Wholesale Corporation,20110712,Analysis: Wal-Mart ruling no knock-out blow for class actions ,NEW YORK The end of the road for a class-action discrimination lawsuit brought by female employees of Wal-Mart Stores Inc has not spelled doom for employment lawsuits facing other big U.S. companies.,topStory
DISCA,Discovery Communications Inc,20110712,Vivendi  Discovery among possible TVN buyers-sources , * News Corp  Warner  Bertelsmann also among possible buyers,topStory
DRRX,DURECT Corporation,20110712,Durect inks antipsychotic drug deal with Zogenix ,Bangalore Specialty pharmaceutical company Durect Corp  said peer Zogenix Inc  acquired the rights to use Durect's technology for developing an antipsychotic drug  for an upfront payment of $2.25 million and up to $103 million in future payments.,topStory
EBAY,eBay Inc,20110712,EU court says eBay should protect trademarks better ,LUXEMBOURG Internet auction marketplace eBay may have to take more responsibility over what is sold via its website or it could be sued for trademark abuse  Europe's top court ruled on Tuesday.,topStory
EBAY,eBay Inc,20110712,RPT-UPDATE 2-EU court says eBay should protect trademarks better , * Follows L'Oreal complaint over trademark abuse on eBay,normal
EBAY,eBay Inc,20110712,FEATURE-German shopping boom yet to benefit Merkel , * German government not benefiting from upswing in polls,normal
EBAY,eBay Inc,20110712,EU court: eBay may be liable on trademark infringements , LUXEMBOURG  July 12 Internet auction marketplace eBay  may be liable for trademark infringements committed by users on its site if it plays an active role in their use  Europe's highest court ruled on Tuesday.,normal
SATS,EchoStar Corporation,20110712,Special report: New Mexican TV probe hits embattled Slim ,MEXICO CITY First they handed him a record fine. Then they denied him a television license. Now Mexican regulators are investigating whether business tycoon Carlos Slim has already snuck into the TV market by the back door.,topStory
SATS,EchoStar Corporation,20110712,Mexican watchdog probes Slim's Dish Mexico deal ,  MEXICO CITY  July 12 Mexico's competition watchdog is investigating whether a tie-up between the country's largest home-phone network and a pay TV company has given the world's richest man Carlos Slim a backdoor entry to the television market  according to a Reuters special report published on Tuesday.,normal
HAFC,Hanmi Financial Corporation,20110712,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  July 12 Short interest on the Nasdaq fell 1.97 percent in late June compared with the first half of the month  the exchange said on Tuesday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
FLAT,iPath US Treasury Flattener ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
FLAT,iPath US Treasury Flattener ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
FLAT,iPath US Treasury Flattener ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
DLBS,iPath US Treasury Long Bond Bear ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
STPP,iPath US Treasury Steepener ETN,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
STPP,iPath US Treasury Steepener ETN,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
STPP,iPath US Treasury Steepener ETN,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
JASO,JA Solar Holdings Co Ltd,20110712,ReneSola cuts outlook amid solar selloff ,BANGALORE ReneSola Ltd  a China-based solar wafer producer  joined a slew of companies in cutting its quarterly revenue and gross profit margin view  as lower subsidies in major European markets weigh on sales and prices.,topStory
JASO,JA Solar Holdings Co Ltd,20110712,UPDATE 3-ReneSola cuts outlook amid solar selloff , * Lowers revenue  gross profit margin outlook on price declines,normal
KTOS,Kratos Defense & Security Solutions Inc,20110712,Analysis: Electronic warfare moves to frontline ,BANGALORE As the United States draws down troops in Afghanistan and Iraq and cuts back on defense spending  its reliance on technology will only rise  benefiting a clutch of companies specializing in intelligence gathering  surveillance and reconnaissance.,topStory
LHCG,LHC Group,20110712,Analysis: New rules won't put home healthcare on life support ,BANGALORE U.S. home health service providers will remain under pressure in the near term as newly introduced rules and reimbursement rate cuts squeeze margins  but the tide should turn in 2012 as the regulatory uncertainty clears up.,topStory
LHCG,LHC Group,20110712,Analysis: New rules won't put home healthcare on life support ,BANGALORE Home health service providers will remain under pressure in the near term as newly introduced rules and reimbursement rate cuts squeeze margins  but the tide should turn in 2012 as the regulatory uncertainty clears up.,normal
LHCG,LHC Group,20110712,TIMELINE: Key developments in home healthcare since last year , July 11 For-profit home health companies have been under fire since last year  with regulatory bodies probing their reimbursement practices and issuing new rules. Following are the major developments since last year:,normal
LPLA,LPL Financial Holdings Inc,20110712,Investors worn out climbing wall of worry ,NEW YORK Like kids on a road trip  investors keep asking: are we there yet?,topStory
LPLA,LPL Financial Holdings Inc,20110712,RPT-UPDATE 1-Investors worn out climbing wall of worry , (Adds sourcing for mutual fund flows; in second paragraph clarifies that the recession was declared over  but that investors remain fearful),normal
LPLA,LPL Financial Holdings Inc,20110712,Investors getting worn out climbing wall of worry , NEW YORK  July 12 Like kids on a road trip  investors keep asking: are we there yet?,normal
MRCY,Mercury Systems Inc,20110712,Analysis: Electronic warfare moves to frontline ,BANGALORE As the United States draws down troops in Afghanistan and Iraq and cuts back on defense spending  its reliance on technology will only rise  benefiting a clutch of companies specializing in intelligence gathering  surveillance and reconnaissance.,topStory
MCHP,Microchip Technology Incorporated,20110712,WRAPUP 2-Semiconductor worries fester after warnings , * Shares fall on sector worries  (Adds detail on KLA-Tencor  updates stock prices),topStory
MCHP,Microchip Technology Incorporated,20110712,WRAPUP 1-Semiconductor worries fester after warnings , SAN FRANCISCO  July 12 Chip manufacturing equipment maker Applied Materials Inc  said tough economic conditions are hurting demand  adding to semiconductor worries after warnings by Novellus Systems Inc  and Microchip Technology Inc .,normal
MCHP,Microchip Technology Incorporated,20110712,UPDATE 2-Applied Materials warns of tough economies , * Stock down 3.3 percent  (Adds quote  details on outlook  other chip companies  byline),normal
MCHP,Microchip Technology Incorporated,20110712,Microchip shares fall on Q1 outlook cut ,Bangalore Shares of Microchip Technology Inc  fell 12 percent in early trade on Tuesday  a day after the chip maker cut its first-quarter outlook hurt by lower automotive production and weakness in consumer and computing end markets.,normal
MSFT,Microsoft Corporation,20110712,Google costs in focus after busy quarter ,SAN FRANCISCO Google Inc's investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,topStory
MSFT,Microsoft Corporation,20110712,PREVIEW-Google costs in focus after busy quarter , SAN FRANCISCO  July 12 Google Inc's  investment spree and shrinking profit margins will draw investor scrutiny when it reports its earnings on Thursday  following an eventful quarter when the company launched the Google+ social network and the government disclosed a probe of its business practices.,normal
MSFT,Microsoft Corporation,20110712,Apple chief patent lawyer leaving: sources ,SAN FRANCISCO Apple Inc's chief patent counsel will soon leave the company  at a time when the iPhone maker is fighting numerous legal battles around the world  according to sources familiar with the situation.,normal
MSFT,Microsoft Corporation,20110712,RIM could do better as two businesses: analyst ,TORONTO BlackBerry maker Research In Motion should split itself in two to liberate locked-in value and speed up innovation at a company that has lagged its competitors  a brokerage said on Tuesday.,normal
MSFT,Microsoft Corporation,20110712,UPDATE 1-RIM could do better as two businesses - analyst , * RBC says a split would promote innovation  unlock value,normal
NDAQ,Nasdaq Inc,20110712,Nasdaq short interest dips in late June , NEW YORK  July 12 Short interest on the Nasdaq fell 1.97 percent in the second half of June  the exchange said on Tuesday.,topStory
NFLX,Netflix Inc,20110712,Netflix raises DVD  streaming plan price by 60 percent ,LOS ANGELES Netflix Inc hiked monthly prices for customers who use both its mail and online services  a move that could steer users toward its growing Internet streaming service.,topStory
NFLX,Netflix Inc,20110712,UPDATE 1-Netflix raises DVD  streaming plan price by 60 pct , * Shares up slightly  (Adds company  analyst comment; adds shares),normal
NFLX,Netflix Inc,20110712,Netflix raises DVD  streaming plan price by 60 pct ,LOS ANGELES Netflix Inc will raise by 60 percent the monthly price of a plan that lets subscribers watch unlimited movies and video online and get DVDs by mail.,normal
NWSA,News Corporation,20110712,British government tries to halt Murdoch Sky bid ,LONDON The British government endorsed a move in parliament to block Rupert Murdoch's bid for broadcaster BSkyB on Tuesday  casting more doubt on his hopes to expand in television despite a widening scandal over phone-hacking by one of his newspapers. | Video ,topStory
NWSA,News Corporation,20110712,Hollywood gloats  silently  over News Corp scandal , * British celebs greet woes at Murdoch empire with glee,normal
NWSA,News Corporation,20110712,PRESS DIGEST-Australian Business News - July 13 , Compiled for Reuters by Media Monitors. Reuters has not verified these stories and does not vouch for their accuracy.,normal
NWSA,News Corporation,20110712,News Corp increases stock buyback to $5 billion ,NEW YORK News Corp  plans to buy back $5 billion in stock over the next 12 months as the media company tries to contain a telephone hacking scandal in Britain that has sent its share price down about 14 percent since July 4.,normal
NWSA,News Corporation,20110712,UPDATE 3-News Corp increases stock buyback to $5 billion , * Shares fall 0.84 percent after rising  (Adds analyst comment),normal
NWSA,News Corporation,20110712,News International "worked with criminals": ex PM-Brown ,LONDON Former British Prime Minister Gordon Brown accused Rupert Murdoch's News International media group on Tuesday of using criminals to obtain information illegally about his private life and spoke of the shock he felt when it published a story about his baby's ill health.,normal
NWSA,News Corporation,20110712,UPDATE 2-News Intl "worked with criminals" - ex PM-Brown , LONDON  July 12 Former British Prime Minister Gordon Brown accused Rupert Murdoch's News International media group on Tuesday of using criminals to obtain information illegally about his private life and spoke of the shock he felt when it published a story about his baby's ill health.,normal
NWSA,News Corporation,20110712,Murdoch's clout should be reduced: newspaper owner ,MOSCOW Rupert Murdoch's News Corp media empire has become so powerful that regulators should reduce its influence and prevent it from taking over British pay-TV operator BSkyB  Russian tycoon Alexander Lebedev said on Tuesday.,normal
NWSA,News Corporation,20110712,FCC not involved in review of News Corp scandal ,WASHINGTON U.S. communications regulators are not looking into News Corp and its role in a phone hacking scandal at its British newspapers.,normal
NWSA,News Corporation,20110712,U.S. FCC not involved in review of News Corp scandal , WASHINGTON  July 12 U.S. communications regulators are not looking into News Corp  and its role in a phone hacking scandal at its British newspapers.,normal
OMEX,Odyssey Marine Exploration Inc,20110712,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  July 12 Short interest on the Nasdaq fell 1.97 percent in late June compared with the first half of the month  the exchange said on Tuesday.,topStory
OSTK,Overstockcom Inc,20110712,Surge in California tax measures seen for 2012 , * Measures for income tax hike  against online sales tax,topStory
RYAAY,Ryanair Holdings plc,20110712,New Issue-King International prices 155.745 mln euro 2023 FRN , Issuer                  King International Leasing II LLC,topStory
SGEN,Seattle Genetics Inc,20110712,Trial size may limit use of Seattle Genetics drug ,WASHINGTON U.S. drug reviewers might limit the use of a Seattle Genetics Inc experimental blood cancer drug due to the narrow scope of its clinical trials  sending the company's shares down 3.6 percent.,topStory
SGEN,Seattle Genetics Inc,20110712,UPDATE 4-Trial size may limit use of Seattle Genetics drug , * FDA staff see significant amounts of missing safety data,normal
SGEN,Seattle Genetics Inc,20110712,FDA eyes trial size for Seattle Genetics cancer drug ,WASHINGTON Seattle Genetics' experimental cancer drug showed promise in treating two rare types of blood cancer  but the design and size of clinical trials limited conclusions  U.S. drug reviewers said.,normal
SIRI,Sirius XM Holdings Inc,20110712,FACTBOX-Biggest changes in Nasdaq short interest , NEW YORK  July 12 Short interest on the Nasdaq fell 1.97 percent in late June compared with the first half of the month  the exchange said on Tuesday.,topStory
SBUX,Starbucks Corporation,20110712,Analysis: Wal-Mart ruling no knock-out blow for class actions ,NEW YORK The end of the road for a class-action discrimination lawsuit brought by female employees of Wal-Mart Stores Inc has not spelled doom for employment lawsuits facing other big U.S. companies.,topStory
