AKAM,Akamai Technologies Inc,20111012,UPDATE 1-Akamai shares surge on Google deal report ,* Akamai a long-running subject of takeover rumors-analyst,topStory
EBAYL,eBay Inc,20111012,Facebook and eBay unveil e-commerce partnership ,SAN FRANCISCO Facebook executive and eBay Inc  board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,normal
EBAYL,eBay Inc,20111012,eBay and Facebook unveil e-commerce partnership ,SAN FRANCISCO  Oct 12 Facebook executive and eBay Inc board member Katie Mitic unveiled a partnership between the two companies designed to create a new crop of e-commerce applications with social networking features.,normal
EBAYL,eBay Inc,20111012,RPT-EBay to deepen Facebook relationship ,SAN FRANCISCO  Oct 11 EBay Inc is set to deepen its relationship with social network leader Facebook at a developer conference this week  a person familiar with the e-commerce company said on Tuesday.,normal
FFBC,First Financial Bancorp,20111012,UPDATE 1-First Fin expects Aviva to sell JV stake from end-2011 ,TAIPEI  Oct 12 Aviva's Taiwan partner expects the British insurer to offload its stake in their tie-up in phases beginning as early as the end of 2011  but approval from Taiwan regulators is the key factor for the planned sale  an executive said on Tuesday.,topStory
INTC,Intel Corporation,20111012,UPDATE 4-ASML sees slowdown in chip sector ,* Q3 net profit 355 mln euros  above forecast 329.9 mln euros,topStory
MU,Micron Technology Inc,20111012,Rambus jury in fourth week of deliberation ,SAN FRANCISCO  Oct 12 In its fourth week of deliberations  the jury in Rambus Inc's $4 billion antitrust lawsuit against Micron and Hynix  has yet to reach a verdict -- and is reviewing more testimony from the trial.,topStory
NDAQ,Nasdaq Inc,20111012,UPDATE 1-Nasdaq approves $300 mln share buyback ,Oct 12 Nasdaq OMX Group said its board has approved a $300 million share repurchase program  as it looks to return excess capital to its shareholders.,topStory
NWS,News Corporation,20111012,Exclusive: Ten high-risk U.S. companies named by governance firm ,NEW YORK News Corp  and Discovery Communications  have been flagged as two of the top 10 riskiest American companies based on a new gauge that looks at weak corporate governance  accounting red flags and high leverage.,topStory
NWS,News Corporation,20111012,BSkyB investors voice doubts over James Murdoch-FT ,Oct 11 A leading shareholder at British Sky Broadcasting has called for James Murdoch to resign as its chairman as investor concerns increase in the wake of the phone-hacking scandal at News International  the Financial Times reported.,normal
NWSA,News Corporation,20111012,Exclusive: Ten high-risk U.S. companies named by governance firm ,NEW YORK News Corp  and Discovery Communications  have been flagged as two of the top 10 riskiest American companies based on a new gauge that looks at weak corporate governance  accounting red flags and high leverage.,topStory
NWSA,News Corporation,20111012,BSkyB investors voice doubts over James Murdoch-FT ,Oct 11 A leading shareholder at British Sky Broadcasting has called for James Murdoch to resign as its chairman as investor concerns increase in the wake of the phone-hacking scandal at News International  the Financial Times reported.,normal
PDCO,Patterson Companies Inc,20111012,UPDATE 1-Patterson-UTI sees Q3 revenue above estimates ,Oct 12 Onshore driller Patterson-UTI Energy Inc  expects its third-quarter revenue to top analyst estimates  helped mainly by its drilling segment.,topStory
PTEN,Patterson-UTI Energy Inc,20111012,UPDATE 1-Patterson-UTI sees Q3 revenue above estimates ,Oct 12 Onshore driller Patterson-UTI Energy Inc  expects its third-quarter revenue to top analyst estimates  helped mainly by its drilling segment.,topStory
RMBS,Rambus Inc,20111012,Rambus jury in fourth week of deliberation ,SAN FRANCISCO  Oct 12 In its fourth week of deliberations  the jury in Rambus Inc's $4 billion antitrust lawsuit against Micron and Hynix  has yet to reach a verdict -- and is reviewing more testimony from the trial.,topStory
SINA,Sina Corporation,20111012,REFILE-DEALTALK-China's US companies mull restructuring as crackdown looms ,* VIEs used to circumvent China restrictions on foreigners,topStory
USAT,USA Technologies Inc,20111012,UPDATE 1-USA Technologies suspends CEO ,* Suspends George Jensen pending probe into Internet posts,topStory
USATP,USA Technologies Inc,20111012,UPDATE 1-USA Technologies suspends CEO ,* Suspends George Jensen pending probe into Internet posts,topStory
AFL,Aflac Incorporated,20111012,UPDATE 1-Two life insurers meet systemic criteria-analyst ,Oct 12 Only two life insurers -- MetLife Inc and Prudential Financial Inc -- meet new requirements to be considered "systemic" and regulated as such  KBW analysts said on Wednesday.,topStory
AA,Alcoa Corporation,20111012,US STOCKS-Wall St extends gains on euro-fund optimism ,NEW YORK  Oct 12 U.S. stocks rose on Wednesday as Europe's progress toward bolstering its financial rescue fund brought more battle-weary investors back into the market.,topStory
AA,Alcoa Corporation,20111012,US STOCKS-Wall St gains on euro-fund optimism  Dow up on year ,NEW YORK  Oct 12 U.S. stocks jumped 1 percent on Wednesday  pushimg the Dow into positive territory for the year  as the euro-zone rescue fund was set to get approval from all EU members.,normal
AA,Alcoa Corporation,20111012,Alcoa profit hurt by slowdown  recession fears ,Alcoa Inc   the largest U.S. aluminum producer  said an economic slowdown hurt demand and knocked prices for the metal lower  denting its third-quarter profit and sending its shares down in after-hours trading. | Video ,normal
AA,Alcoa Corporation,20111012,Data and Slovak bailout backing lift European shares ,LONDON European shares hit a nine-week closing high on Wednesday after stronger euro zone economic data and news that Slovakia is set to sign off on a plan to expand the region's sovereign bailout fund helped spur demand for cyclical stocks.,normal
AA,Alcoa Corporation,20111012,US STOCKS-Futures rise on hopes for Slovakia deal on rescue ,NEW YORK  Oct 12 U.S. stock index futures rose on Wednesday  putting the benchmark S&P 500 on track for its sixth day of gains in the past seven  as Slovakia moved to reach a deal on expanding the euro zone rescue fund.,normal
AA,Alcoa Corporation,20111012,FTSE falls on euro zone bailout woes  growth concerns ,LONDON  Oct 12 Britain's top share index fell early on Wednesday  as Slovak lawmakers rejected a plan to expand the euro zone rescue fund and growth worries continued to stifle momentum after Alcoa kicked off the earnings season in the U.S. with whimper.,normal
AA,Alcoa Corporation,20111012,European shares fall on Slovak vote  Alcoa results ,LONDON  Oct 12 European shares fell on Wednesday as miners dropped following weaker-than-expected results from U.S. aluminum giant Alcoa on tough economic conditions  and as the Slovak parliament rejected a plan to expand the euro zone rescue fund.,normal
AA,Alcoa Corporation,20111012,Europe Factors-Stocks set to dip as Slovakia stalls EFSF ,By Blaise Robinson	     PARIS  Oct 12 European stock index futures dipped on Wednesday  with investors set to use the rejection by Slovak lawmakers of a plan to expand the euro zone rescue fund as an excuse to book a portion of recent lofty gains  while shares of metal groups could feel the pinch of Alcoa's  disappointing results.	     The top U.S. aluminum maker blamed the economic slowdown that hurt demand and pushed metal prices lower for its forecast-missing net profit  and the f,normal
AA,Alcoa Corporation,20111012,Nikkei snaps 3-day rally on Thai flood damage  Alcoa ,TOKYO  Oct 12 The Nikkei average snapped a three-session winning streak on Wednesday  with stocks including Honda Motor sliding on flood-damage to their Thai factories  and after Alcoa's results suggested Europe's debt crisis would weigh on corporate earnings.	     The Nikkei benchmark fell 0.4 percent to 8 738.90  though it trimmed losses a tad on a rebound in Chinese shares and stayed above the 25-day moving average around 8 637.	     The broader Topix index fell 0.2 percent to 753,normal
AA,Alcoa Corporation,20111012,UK Stocks-Factors to watch on Wednesday Oct 12 ,LONDON  Oct 12 Britain's FTSE 100 index is seen opening down 24-31 points  or 0.6 percent on Wednesday  according to financial bookmakers  after Slovak lawmakers rejected a plan to expand the euro zone rescue fund  and as Alcoa started the third-quarter earnings season with weaker-than-expected results.,normal
ADM,Archer-Daniels-Midland Company,20111012,Pace of global farm productivity must increase-Ag group ,DES MOINES  Iowa  Oct 12 Global agricultural productivity is rising but more effort is needed to meet the world's long-term food needs  a group of agribusiness leaders advised on Wednesday.,topStory
BAC,Bank of America Corporation,20111012,Chicago police arrest 21 protesters for trespassing ,CHICAGO  Oct 11 Chicago police arrested 21 people protesting against economic inequality on Tuesday at two rallies  charging them with trespassing  a Chicago Police spokesman said.,topStory
BAC,Bank of America Corporation,20111012,Chicago police arrest 21 protesters for trespassing ,CHICAGO Chicago police arrested 21 people protesting against economic inequality on Tuesday at two rallies  charging them with trespassing  a Chicago Police spokesman said.,normal
BAC,Bank of America Corporation,20111012,Massachusetts asks banks for recruiting details: report ,The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
BAC,Bank of America Corporation,20111012,Massachusetts asks banks for recruiting details-report ,Oct 12 The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
BMO,Bank Of Montreal,20111012,AltaGas sells C$200 mln note - term sheet ,Oct 12 AltaGas Ltd on Wednesday sold C$200 million ($196 million) of notes due Jan. 17  2019  according to a term sheet seen by Reuters.,topStory
BHP,BHP Billiton Limited,20111012,UPDATE 2-BHP Billiton approves $1.2 bln to start work on giant copper and uranium mine ,* BHP earmarks $1.2 bln to start Olympic Dam copper mine expansion,topStory
BHP,BHP Billiton Limited,20111012,BHP agrees royalty on Olympic Dam copper/uranium mine expansion ,MELBOURNE  Oct 12 BHP Billiton cleared another hurdle for a giant expansion of its Olympic Dam copper and uranium mine on Wednesday  further clearing the way for its board give a final go-ahead by June 2012.,normal
BHP,BHP Billiton Limited,20111012,BHP Billiton approves $1.2 bln to start Olympic Dam mine work ,SYDNEY  Oct 12 Global miner BHP Billiton   on Wednesday approved $1.2 billion in pre-commitment capital to start expansion work on its Olympic Dam copper and uranium mine.,normal
BA,Boeing Company (The),20111012,UPDATE 2-Cargolux accepts first Boeing 747-8 delivery ,Oct 12 Cargolux Airlines Internationalon Wednesday took delivery of Boeing Co's  first 747-8 Freighter after resolving a contractual spat that caused the freight carrier to abruptly refuse delivery last month.,topStory
BA,Boeing Company (The),20111012,UPDATE 2-United Continental sales show no recession signs ,CHICAGO  Oct 12 United Continental Holdings is not seeing signs of an imminent recession in its travel bookings even as the United States and other major economies grapple with a troubling economic outlook  the airline's chief executive said on Wednesday.,normal
BA,Boeing Company (The),20111012,Cargolux accepts Boeing delivery as dispute settled ,BRUSSELS  Oct 12 Freight carrier Cargolux Airlines International said on Wednesday that it had resolved contractual issues over its delivery of Boeing Co's  747-8 freighters and that it would receive its first two planes on Wednesday and Thursday.,normal
BA,Boeing Company (The),20111012,Air New Zealand says more Dreamliner delays possible ,SINGAPORE The CEO of Air New Zealand  said on Wednesday that further delays are possible in the delivery of Boeing  787 Dreamliners it has ordered and the carrier is negotiating with Boeing to be compensated.,normal
BA,Boeing Company (The),20111012,UPDATE 1-Air New Zealand says more Dreamliner delays possible ,SINGAPORE  Oct 12 The CEO of Air New Zealand  said on Wednesday that further delays are possible in the delivery of Boeing 787 Dreamliners it has ordered and the carrier is negotiating with Boeing to be compensated.,normal
BP,BP plc,20111012,U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP and the major contractors involved in the 2010 explosion on the Deepwater Horizon rig that killed 11 workers and spewed more than 4 million barrels of oil into the Gulf of Mexico.,topStory
BP,BP plc,20111012,UPDATE 2-U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP and the major contractors involved in the 2010 explosion on the Deepwater Horizon rig that killed 11 workers and spewed more than 4 million barrels of oil into the Gulf of Mexico.,normal
BP,BP plc,20111012,U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP   Transocean and Halliburton for their roles in last year's massive Gulf oil spill.,normal
BP,BP plc,20111012,Deepwater Horizon rig not leaking oil: probe ,HOUSTON No oil is leaking from the sunken Deepwater Horizon drilling rig or pipe around the vessel  its owner Transocean said on Wednesday.,normal
BP,BP plc,20111012,UPDATE 1-BP gets upper hand in Russian director suit ,MOSCOW  Oct 12 A Russian court is likely to throw out a $2.8 billion lawsuit against two BP  executives on the board of the British major's Russian joint venture  TNK-BP   after a judge denied plaintiffs more time to secure the necessary shareholder support.,normal
CAJ,Canon Inc,20111012,UPDATE 1-Canon eyes $3.8 bln in cost cuts through automation - Nikkei ,Oct 13 Canon Inc will cut about 300 billion yen ($3.88 billion) in costs by 2015 by automating plants to cope with a strong yen and fierce competition  Japanese business daily Nikkei said.,topStory
CAJ,Canon Inc,20111012,Canon seeing no sales downturn  eyes year-end ,TOKYO Canon has so far seen no downturn in sales sparked by the European financial crisis  but cannot predict its effect on the year-end shopping season  the company's chief financial officer told Reuters on Wednesday.,normal
CAJ,Canon Inc,20111012,UPDATE 2-Honda's Thai factory shut as floods hit Japan firms ,* Honda worst hit of Japan automakers  unsure when it can reopen,normal
CHK,Chesapeake Energy Corporation,20111012,FACTBOX-Companies drilling in Ohio's Utica shale ,Oct 12 Oil companies are scrambling to drill in the Utica shale  a new  unconventional oil hub in eastern Ohio that some say has more potential than other U.S. shale plays.     Eight companies have started seeking cheap  domestic oil in the Buckeye state and secured drilling permits for more than 80 oil and gas wells since December 2009  data from the Ohio Department of Natural Resources shows.     The companies will likely use hydraulic fracturing technology  which has unlocked huge,topStory
C,Citigroup Inc,20111012,New Issue- Toronto-Dominion Bank sells $1.5 bln notes ,Oct 12 Toronto-Dominion Bank   on Wednesday sold $1.5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.       Citigroup  Goldman Sachs  JP Morgan  and TD Bank were the joint bookrunning managers for the sale. BORROWER: THE TORONTO-DOMINION BANK AMT $1.5 BLN      COUPON 2.375 PCT    MATURITY 10/19/2016 TYPE SR NTS       ISS PRICE 99.444    FIRST PAY 4/19/2012 MOODY'S Aaa       YIELD 2.494 PCT     SETTLEMENT 10/19/2011 S&P AA-MINUS      SPREAD 135 BPS      PAY FRE,topStory
COO,Cooper Companies Inc (The),20111012,UPDATE 1-Cooper Cos gets new complaints on Avaira contact lenses ,Oct 12 Cooper Cos unit CooperVision said it was continuing to work with U.S. health regulators to complete a recall of about 600 000 Avaira Toric contact lenses  saying it received new complaints of severe eye pain associated with the use of the lenses.,topStory
DRI,Darden Restaurants Inc,20111012,UPDATE 1-Darden buys two seafood chains ,* Buys Eddie V's Prime Seafood and Wildfish Seafood Grille,topStory
DB,Deutsche Bank AG,20111012,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  October 12  2011 - Corporate Meetings for US companies for Week ahead.	         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead   	     Non S&P 500 - Weekly               Non S&P 500 - Day Ahead        	     ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day   	     S&P 500 Earnings - Monthly           Meetings - Day Ahead           	     Economic Indicators                  Dividends                      	     Daily earnings hits & misses    	     ,topStory
DB,Deutsche Bank AG,20111012,Massachusetts asks banks for recruiting details: report ,The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
DB,Deutsche Bank AG,20111012,Massachusetts asks banks for recruiting details-report ,Oct 12 The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
EIX,Edison International,20111012,Edison's Italian investors undecided on revamp terms ,ROME/MILAN Italian investors in Edison  still need to sort out a final agreement to present to EDF  for a reorganization of the Italian company that could give majority control to the French utility and trigger a bid on minorities.,topStory
EIX,Edison International,20111012,UPDATE 3-Edison's Italian investors undecided on revamp terms ,* Edison deal possible by end-October deadline -shareholder,normal
EGO,Eldorado Gold Corporation,20111012,UPDATE 2-Eldorado sees record production in Q3  delays mine ,* Construction delay at Eastern Dragon on weather  permits,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20111012,Garuda in talks with Embraer  Bombardier for 18 planes ,JAKARTA  Oct 12 Indonesian flag carrier PT Garuda Indonesia said on Wednesday it is in talks with Canada's Bombardier Inc and Brazil's Embraer  to buy 18 small-sized planes worth up to $720 million.,topStory
F,Ford Motor Company,20111012,Chrysler  UAW reach tentative labor pact ,DETROIT The United Auto Workers and Chrysler Group LLC have reached a tentative agreement on a four-year labor contract that would pay workers smaller bonuses than unionized workers at General Motors Co and Ford Motor Co.,topStory
F,Ford Motor Company,20111012,UPDATE 7-Chrysler  UAW reach tentative labor pact ,* UAW says Chrysler to invest $4.5 bln in U.S. production,normal
FCX,Freeport-McMoran Inc,20111012,Freeport Indonesia union may slash miner pay demand ,JAKARTA  Oct 12 Freeport Indonesia's union is considering lowering its pay demand for striking copper miners to $7.50 per hour from a previous demand of at least $12.50 per hour  union official Juli Parorrongan told Reuters on Wednesday.,topStory
FCX,Freeport-McMoran Inc,20111012,Freeport says Grasberg copper output over 4 000/T day ,TIMIKA  Indonesia  Oct 12 Copper concentrate production at Freeport McMoRan Copper & Gold Inc's  Grasberg mine in Indonesia has risen to over 4 000 tonnes per day in October  compared to only 54 tonnes on Sept 18 after the start of a worker strike  the firm said in a statement on Wednesday.,normal
FCX,Freeport-McMoran Inc,20111012,Freeport Indonesia to ship 78 921 T concentrate this wk ,TIMIKA  Indonesia  Oct 12 Freeport McMoRan Copper & Gold Inc will ship 78 921 tonnes of copper concentrate from its strike-hit Grasberg mine in Indonesia this week  the company said on Wednesday.,normal
GPS,Gap Inc (The),20111012,REFILE-UPDATE 1-Gap to enter South America  eyes more stores abroad ,* First store in South America to open in Chile this month,topStory
IT,Gartner Inc,20111012,HP expands PC lead  Lenovo No. 2 for 1st time ,Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  according to data from two influential research firms.,topStory
IT,Gartner Inc,20111012,UPDATE 1-HP expands PC lead  Lenovo No. 2 for 1st time ,Oct 12 Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  according to data from two influential research firms.,normal
IT,Gartner Inc,20111012,HP expands PC sales lead  Lenovo No. 2 -Gartner ,Oct 12 Hewlett-Packard Co's personal computer shipments grew 5.3 percent in the third quarter  while China's Lenovo overtook Dell to become the world's No. 2 PC maker for the first time  Gartner data showed.,normal
GEK,General Electric Capital Corporation,20111012,Cargolux accepts Boeing delivery as dispute settled ,BRUSSELS  Oct 12 Freight carrier Cargolux Airlines International said on Wednesday that it had resolved contractual issues over its delivery of Boeing Co's  747-8 freighters and that it would receive its first two planes on Wednesday and Thursday.,topStory
GEK,General Electric Capital Corporation,20111012,GE sees 10-15 pct revenue growth from Africa ,NAIROBI  Oct 12 General Electric Co   the largest U.S. conglomerate  expects to continue to grow its revenue from Africa in double digits in the next few years as the continent ramps up infrastructure  its head for Africa said on Wednesday.,normal
GE,General Electric Company,20111012,Cargolux accepts Boeing delivery as dispute settled ,BRUSSELS  Oct 12 Freight carrier Cargolux Airlines International said on Wednesday that it had resolved contractual issues over its delivery of Boeing Co's  747-8 freighters and that it would receive its first two planes on Wednesday and Thursday.,topStory
GE,General Electric Company,20111012,GE sees 10-15 pct revenue growth from Africa ,NAIROBI  Oct 12 General Electric Co   the largest U.S. conglomerate  expects to continue to grow its revenue from Africa in double digits in the next few years as the continent ramps up infrastructure  its head for Africa said on Wednesday.,normal
GM,General Motors Company,20111012,Chrysler  UAW reach tentative labor pact ,DETROIT The United Auto Workers and Chrysler Group LLC have reached a tentative agreement on a four-year labor contract that would pay workers smaller bonuses than unionized workers at General Motors Co and Ford Motor Co.,topStory
GM,General Motors Company,20111012,UPDATE 7-Chrysler  UAW reach tentative labor pact ,* UAW says Chrysler to invest $4.5 bln in U.S. production,normal
GM,General Motors Company,20111012,GM to produce all-electric Chevy Spark ,DETROIT General Motors Co confirmed it will make its first all-electric vehicle  a version of the Chevrolet Spark minicar that will debut in 2013 and take aim at Nissan Motor Co Ltd's Leaf.,normal
GM,General Motors Company,20111012,UPDATE 3-GM to produce all-electric Chevy Spark ,DETROIT  Oct 12 General Motors Co  confirmed it will make its first all-electric vehicle  a version of the Chevrolet Spark minicar that will debut in 2013 and take aim at Nissan Motor Co Ltd's Leaf.,normal
GS,Goldman Sachs Group Inc (The),20111012,New Issue- Toronto-Dominion Bank sells $1.5 bln notes ,Oct 12 Toronto-Dominion Bank   on Wednesday sold $1.5 billion of senior unsecured notes  said IFR  a Thomson Reuters service.       Citigroup  Goldman Sachs  JP Morgan  and TD Bank were the joint bookrunning managers for the sale. BORROWER: THE TORONTO-DOMINION BANK AMT $1.5 BLN      COUPON 2.375 PCT    MATURITY 10/19/2016 TYPE SR NTS       ISS PRICE 99.444    FIRST PAY 4/19/2012 MOODY'S Aaa       YIELD 2.494 PCT     SETTLEMENT 10/19/2011 S&P AA-MINUS      SPREAD 135 BPS      PAY FRE,topStory
GS,Goldman Sachs Group Inc (The),20111012,Massachusetts asks banks for recruiting details: report ,The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20111012,Massachusetts asks banks for recruiting details-report ,Oct 12 The top financial regulator in Massachusetts has asked many of Wall Street's biggest banks for more information on their hedge fund recruiting services  the New York Times said on Tuesday.,normal
GPK,Graphic Packaging Holding Company,20111012,UPDATE 1-Graphic Packaging to close Indiana plant  cut jobs ,Oct 12 Graphic Packaging Holding Co said one of its units will close its carton facility in La Porte  Indiana and cut about 200-220 jobs  due to weak economic conditions.,topStory
HRB,H&R Block Inc,20111012,Tax preparers fret over first U.S. IRS fees  rules ,WASHINGTON Tax preparers are chewing their pencils as the U.S. Internal Revenue Service gets ready to impose the first comprehensive program of fees and rules on the industry's 730 000 practitioners.,topStory
HRB,H&R Block Inc,20111012,Tax preparers fret over first U.S. IRS fees  rules ,WASHINGTON  Oct 12 Tax preparers are chewing their pencils as the U.S. Internal Revenue Service gets ready to impose the first comprehensive program of fees and rules on the industry's 730 000 practitioners.,normal
HAL,Halliburton Company,20111012,UPDATE 2-U.S. sanctions BP  contractors for Gulf oil spill ,WASHINGTON  Oct 12 The U.S. offshore drilling regulator on Wednesday formally issued sanctions against BP and the major contractors involved in the 2010 explosion on the Deepwater Horizon rig that killed 11 workers and spewed more than 4 million barrels of oil into the Gulf of Mexico.,topStory
