AVAV,AeroVironment Inc,20110923,Drone makers seek out new targets ,Almost a century after the first pilot-less plane was test launched from the back of a truck in the English village of Upavon  unmanned aircraft vehicles (UAV)  or drones  are smarter  more lethal ... and seeking new growth drivers.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DLBL,Barclays PLC,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DLBL,Barclays PLC,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DLBL,Barclays PLC,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DLBL,Barclays PLC,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DLBL,Barclays PLC,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DLBL,Barclays PLC,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DLBL,Barclays PLC,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DLBL,Barclays PLC,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DTYL,Barclays PLC,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DTYL,Barclays PLC,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DTYL,Barclays PLC,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DTYL,Barclays PLC,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DTYL,Barclays PLC,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DTYL,Barclays PLC,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DTYL,Barclays PLC,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DTYL,Barclays PLC,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
CSTR,CapStar Financial Holdings Inc,20110923,Competitors circle around as Netflix stumbles ,LOS ANGELES Missteps by Netflix Inc have opened the door to competitors seeking to grab disgruntled customers who are looking for new options for video rentals and instant online streaming.,topStory
CSTR,CapStar Financial Holdings Inc,20110923,PREVIEW-UPDATE 1-Competitors circle around as Netflix stumbles , * Tech giants could jump in as Netflix falters  (Adds details paragraphs 3  10),normal
CELG,Celgene Corporation,20110923,UPDATE 3-Celgene's Revlimid wins positive opinion in Europe , * Celgene stock slips 0.3 pct  (Adds analyst  company comment  updates share price),topStory
CME,CME Group Inc,20110923,FACTBOX-LME sale would be latest in exchanges merger flurry , LONDON  Sept 23 The London Metal Exchange  the world's top market for industrial metals that is now seeing record trading volumes  is considering selling itself after being approached  it said on Friday. [ID:nL5E7KN3M5],topStory
CME,CME Group Inc,20110923,UPDATE 2-London Metal Exchange considers takeover approaches , * Approach in 2008 valued LME at 800 mln pounds   (Adds comment/detail),normal
CTSH,Cognizant Technology Solutions Corporation,20110923,DEALTALK-Queuing for CoreLogic: one sale or several? , Sept 23 At least seven firms  mainly private equity  have shown interest in data and analytics company CoreLogic Inc   attracted by its growth businesses and relatively cheap valuations.,topStory
CMCSA,Comcast Corporation,20110923,U.S. Internet rules to take effect November 20 ,Long-delayed U.S. Internet rules that tackle the controversial issue of balancing consumer and content provider interests against those who sell access to the Web will take effect November 20.,topStory
CMCSA,Comcast Corporation,20110923,UPDATE 1-U.S. Internet rules to take effect Nov. 20 , * Consumer groups say rules weak but will defend them  (Adds comments from FCC  public interest group  senator),normal
CMCSA,Comcast Corporation,20110923,US 'Net neutrality' rules to take effect in Nov. , Sept 23 Long-awaited U.S. rules addressing the hot-button issue of balancing consumer and content providers' interests against those of Internet service providers will take effect on Nov. 20.,normal
CBRL,Cracker Barrel Old Country Store Inc,20110923,Cracker Barrel fends off Biglari  open to buyout ,Cracker Barrel Old Country Store Inc  sought to put the brakes on a likely attempt by activist investor Sardar Biglari to take control of the restaurant chain by implementing a shareholder rights plan  but left the door open to a complete buyout.,topStory
CBRL,Cracker Barrel Old Country Store Inc,20110923,UPDATE 4-Cracker Barrel fends off Biglari  open to buyout , * Says Biglari has antitrust clearance to buy up to 49.99 pct of its stock,normal
DISH,DISH Network Corporation,20110923,Blockbuster offers streaming for Dish customers ,Blockbuster unveiled a video streaming service limited to Dish Network satellite subscribers  a move to better compete with movie rental giant Netflix and rival cable and satellite TV providers.,topStory
DISH,DISH Network Corporation,20110923,UPDATE 4-Blockbuster offers streaming for Dish customers , * Dish shares gain 5.35 pct  Netflix shares up 0.65 pct  (Adds analyst  company comments; updates shares),normal
DISH,DISH Network Corporation,20110923,Competitors circle around as Netflix stumbles ,LOS ANGELES Missteps by Netflix Inc have opened the door to competitors seeking to grab disgruntled customers who are looking for new options for video rentals and instant online streaming.,normal
DISH,DISH Network Corporation,20110923,PREVIEW-UPDATE 1-Competitors circle around as Netflix stumbles , * Tech giants could jump in as Netflix falters  (Adds details paragraphs 3  10),normal
DNKN,Dunkin&#39; Brands Group Inc,20110923,Dunkin' international president out after 4 months ,Dunkin' Brands Group Inc  said on Friday that Neal Yanofsky is leaving after just four months as its international president.,topStory
DNKN,Dunkin&#39; Brands Group Inc,20110923,UPDATE 3-Dunkin' international president out after 4 months , * Shares down 0.7 percent  (Adds analyst comment  financial details  updates stock activity),normal
EBAY,eBay Inc,20110923,Wall Street stabilizes after disastrous week ,NEW YORK The Dow Jones industrial average on Friday suffered its worst week since the depths of the financial crisis in 2008  stung by severe anxiety over Europe's spiraling debt crisis and a warning from the Federal Reserved about the U.S. economy. | Video ,topStory
EBAY,eBay Inc,20110923,US STOCKS-Wall Street stabilizes after disastrous week , * Suggestion for help for European banks stops bleeding,normal
EBAY,eBay Inc,20110923,US STOCKS-Wall Street edges higher in seesaw session , * Indexes: Dow flat  S&P up 0.4 pct  Nasdaq up 0.8 pct,normal
EBAY,eBay Inc,20110923,HP names Whitman CEO  Apotheker out ,SAN FRANCISCO Hewlett-Packard Co named former eBay Inc Chief Executive Meg Whitman its president and CEO  replacing the harshly criticized Leo Apotheker in a bid to restore investor confidence in the iconic Silicon Valley company. | Video ,normal
EBAY,eBay Inc,20110923,PRESS DIGEST - British business - Sept 23 , Britain's top 50 companies are to get unprecedented access to government ministers in an attempt to spark life into the economy.,normal
EBAY,eBay Inc,20110923,UPDATE 6-HP names Whitman CEO  Apotheker out , * Lane moves to executive chairman from non-executive role,normal
EXPD,Expeditors International of Washington Inc,20110923,Fund view: Tech  healthcare best bets: Edgewood ,'You are better equipped to drive growth in bad times if you offer appealing products and have new ones in the pipeline' is Edgewood Growth Fund's mantra and the technology and healthcare sectors provide such havens.,topStory
ESRX,Express Scripts Holding Company,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,topStory
ESRX,Express Scripts Holding Company,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
ESRX,Express Scripts Holding Company,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
FSLR,First Solar Inc,20110923,SolarCity latest to see loan loss post Solyndra ,LOS ANGELES/WASHINGTON Solar panel installer SolarCity said on Friday it was the second company in as many days that will not get finalization of U.S. government loan aid by a September 30 deadline.,topStory
FSLR,First Solar Inc,20110923,UPDATE 2-SolarCity latest to see US loan loss post Solyndra , * Ethanol  wind and geothermal companies get approval  (Adds SolarCity CEO comments  background  DOE loan guarantees approved on Friday  bylines),normal
FSLR,First Solar Inc,20110923,Solyndra failure puts solar industry on defensive ,LOS ANGELES The U.S. solar industry  eager to shake off the shadow cast by Solyndra's high-profile collapse  has launched a full-scale public relations campaign as scrutiny of government support programs for renewable energy intensifies.,normal
FISV,Fiserv Inc,20110923,DEALTALK-Queuing for CoreLogic: one sale or several? , Sept 23 At least seven firms  mainly private equity  have shown interest in data and analytics company CoreLogic Inc   attracted by its growth businesses and relatively cheap valuations.,topStory
IBKR,Interactive Brokers Group Inc,20110923,IPO VIEW-China Web IPO flow to US threatened by crackdown , * Review comes amid accounting scandals  protest worries,topStory
ISRG,Intuitive Surgical Inc,20110923,Fund view: Tech  healthcare best bets: Edgewood ,'You are better equipped to drive growth in bad times if you offer appealing products and have new ones in the pipeline' is Edgewood Growth Fund's mantra and the technology and healthcare sectors provide such havens.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20110923,RPT-DEALS-Merger bankers seek action as economies sink , * 3rd-qtr global M&A down 23 pct from second quarter,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,Costly bank hole looms as Greeks mull crisis plans ,LONDON Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit. | Video ,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20110923,Deals: Merger bankers seek action as economies sink ,NEW YORK/LONDON Mergers and acquisitions slowed significantly in the third quarter  stymied by economic uncertainty that stifled the confidence and growth horizons of corporate executives  according to Wall Street dealmakers. | Video ,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,CORRECTED - DEALS-Merger bankers seek action as economies sink , (Corrects paragraph 8 to show that Moelis is based in New York  not Los Angeles),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,UPDATE 2-Costly bank hole looms as Greeks mull crisis plans , LONDON  Sept 23 Europe's banks could face a capital shortfall of hundreds of billions of euros if Greece forces them to slash the value of its debt by 50 percent and other troubled euro zone countries like Italy and Ireland follow suit.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,AXA exploring private equity unit sale: sources ,PARIS French insurer AXA  is exploring a sale of its private equity unit and has hired Credit Suisse  to handle it  sources familiar with the situation said on Friday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,UPDATE 2-AXA exploring private equity unit sale-sources , * Insurer has seen BNP Paribas stake value halved   (Adds background  comment  share reaction),normal
DFVL,iPath US Treasury 5-year Bull ETN,20110923,Job axe swings across Asia banking sector; more to come , HONG KONG/MUMBAI Sept 23 Firings are picking up pace at foreign banks across Asia  with industry professionals and headhunters saying more rounds are set to come.,normal
