ACIA,Acacia Communications Inc,20180607,UPDATE 4-Chinese phone maker ZTE saved from brink after deal with U.S. ,June 7 China’s No. 2 telecommunications equipment maker ZTE secured a lifeline from the Trump administration on Thursday after agreeing to pay a $1 billion fine and overhaul leadership in a deal that will lift a ban on its doing business with U.S. suppliers.,normal,Sell
NXPI,NXP Semiconductors NV,20180607,REFILE-Qualcomm CEO hopes ZTE deal will clear acquisition of NXP in China ,June 7 Qualcomm Inc CEO Steven Mollenkopf said on Thursday he hoped an announced agreement between the United States and China on the future of ZTE Corp will pave the way for China clearing Qualcomm's acquisition of NXP Semiconductors NV.,normal,Unknown
OCLR,Oclaro Inc,20180607,UPDATE 4-Chinese phone maker ZTE saved from brink after deal with U.S. ,June 7 China’s No. 2 telecommunications equipment maker ZTE secured a lifeline from the Trump administration on Thursday after agreeing to pay a $1 billion fine and overhaul leadership in a deal that will lift a ban on its doing business with U.S. suppliers.,normal,Sell
QCOM,QUALCOMM Incorporated,20180607,Qualcomm CEO hopes ZTE deal will clear acquisition of NXP in China ,Qualcomm Inc CEO Steven Mollenkopf said on Thursday he hoped an announced agreement between the United States and China on the future of ZTE Corp will pave the way for China clearing Qualcomm's acquisition of NXP Semiconductors NV.,topStory,Unknown
QCOM,QUALCOMM Incorporated,20180607,UPDATE 3-Broadcom profit beats; expects wireless to remain weak ,* Sees a ramp in demand from Apple but fall from Samsung (Adds CEO comment and details from conf call),normal,Unknown
QCOM,QUALCOMM Incorporated,20180607,US STOCKS-Tech rally loses steam  McDonald's pushes Dow higher ,* Dow 0.49 pct  S&P off 0.02 pct  Nasdaq down 0.64 pct (Changes comment  adds details  updates prices),normal,Unknown
QCOM,QUALCOMM Incorporated,20180607,US STOCKS-Energy stocks pull Wall Street higher  tech drags ,* Indexes up: Dow 0.45 pct  S&P 0.26 pct  Nasdaq 0.04 pct (Updates to open),normal,Unknown
QCOM,QUALCOMM Incorporated,20180607,REFILE-Qualcomm CEO hopes ZTE deal will clear acquisition of NXP in China ,June 7 Qualcomm Inc CEO Steven Mollenkopf said on Thursday he hoped an announced agreement between the United States and China on the future of ZTE Corp will pave the way for China clearing Qualcomm's acquisition of NXP Semiconductors NV.,normal,Unknown
QCOM,QUALCOMM Incorporated,20180607,US STOCKS-Futures mixed as food worries counter ZTE deal ,* Futures: Dow up 0.23 pct  S&P up 0.06 pct  Nasdaq off 0.12 pct (Adds comment  details  updates prices),normal,Unknown
SBUX,Starbucks Corporation,20180607,Italy's Illycaffe launches cold coffee as Starbucks looms ,MILAN Italian premium coffee maker illycaffe will launch hand-pulled cold coffee this summer  in a sign it is feeling the pressure as  coffee chain Starbucks  prepares to debut in its home turf.,topStory,Unknown
SBUX,Starbucks Corporation,20180607,Italy's Illycaffe launches cold coffee as Starbucks looms ,MILAN  June 7 Italian premium coffee maker illycaffe will launch hand-pulled cold coffee this summer  in a sign it is feeling the pressure as  coffee chain Starbucks prepares to debut in its home turf.,normal,Unknown
SFIX,Stitch Fix Inc,20180607,UPDATE 1-Stitch Fix quarterly results top estimates  shares surge ,June 7 Stitch Fix Inc on Thursday reported quarterly revenue and profit that blew past Wall Street estimates  as it added more subscribers to its personalized online clothing service  triggering a 12 percent rise in its shares.,topStory,Unknown
SFIX,Stitch Fix Inc,20180607,Stitch Fix quarterly sales beat estimates ,June 7 Stitch Fix Inc  the online retailer that selects apparel for shoppers  reported quarterly revenue that beat Wall Street estimates  as strong demand for newer categories and brands helped strengthen its subscriber base.,normal,Sell
TSLA,Tesla Inc ,20180607,Daimler fights Tesla  VW with new electric big rig truck ,PORTLAND  Ore./FRANKFURT Daimler AG  unveiled on Wednesday an all-electric big rig truck it promises to have in production in 2021  as the German automaker mounts a major challenge to European and American rivals  including new entrants like Tesla Inc .,topStory,Unknown
TMUS,T-Mobile US Inc,20180607,Exclusive: U.S. Justice Department probes T-Mobile-Sprint merger effect on smaller wireless companies - sources ,NEW YORK The U.S. Department of Justice is examining how the proposed merger between T-Mobile US Inc and Sprint Corp could affect prices for smaller wireless operators  according to two people familiar with the matter.,topStory,Sell
FOX,Twenty-First Century Fox Inc,20180607,UPDATE 1-Disney  Fox carved out assets 'surgically' -U.S. antitrust chief ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180607,U.S. antitrust chief says Disney  Fox carved out assets 'surgically' ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180607,UPDATE 1-Disney  Fox carved out assets 'surgically' -U.S. antitrust chief ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180607,U.S. antitrust chief says Disney  Fox carved out assets 'surgically' ,NEW YORK  June 7 Walt Disney Co's $52.4 billion deal to acquire most of Twenty-First Century Fox Inc's assets was "surgically" structured on good advice to be submitted to regulators  Makan Delrahim  assistant attorney general for the U.S. Department of Justice's antitrust division  said on Thursday.,normal,Unknown
BABA,Alibaba Group Holding Limited,20180607,Some fund managers are avoiding Amazon as it leads U.S. market ,NEW YORK  June 7 For most U.S. fund managers  beating the market this year has come down to one decision: whether or not to own shares of Amazon.com Inc.,normal,Unknown
BABA,Alibaba Group Holding Limited,20180607,China allows domestic fundraising for overseas-listed firms ,SHANGHAI China has adopted new rules governing the issuance of securities that will allow the domestic flotation of overseas-listed innovators  the China Securities Regulatory Commission said in a notice published late on Wednesday.,normal,Unknown
BABA,Alibaba Group Holding Limited,20180607,UPDATE 1-China allows domestic fundraising for overseas-listed firms ,* Pilot measures aimed at supporting key technology providers,normal,Unknown
AFSS,AmTrust Financial Services Inc,20180607,AmTrust agrees to sweetened $2.95 billion buyout offer ,U.S. insurer AmTrust Financial Services Inc  on Thursday agreed to be acquired by a group of investors for a sweetened $2.95 billion deal that also helped secure the support of dissenting shareholder Carl Icahn.,repeated,Unknown
AFSS,AmTrust Financial Services Inc,20180607,UPDATE 2-AmTrust agrees to sweetened $2.95 bln buyout offer ,* AmTrust shares up 2.7 pct (Adds statement from Arca Capital  updates shares),normal,Unknown
AFSS,AmTrust Financial Services Inc,20180607,Deals of the day-Mergers and acquisitions ,June 7 The following bids  mergers  acquisitions and disposals were reported by 1200 GMT on Thursday: ** Japan's Fujifilm Holdings Corp said it may have no choice but to abandon a $6.1 billion merger with Xerox Corp if there is no progress in talks with the U.S. firm's new board for about half a year. ** U.S. insurer AmTrust Financial Services Inc agreed to be acquired by a group of investors for a sweetened deal value of $2.95 billion  that helped secure the support of dissenting sh,normal,Unknown
AFSS,AmTrust Financial Services Inc,20180607,Evergreen Parent raises AmTrust buy-out deal value to $2.95 bln ,June 7 U.S. insurer AmTrust Financial Services Inc agreed to be bought by a group of investors for $2.95 billion  up from an earlier offer of $2.7 billion.,normal,Unknown
AFST,AmTrust Financial Services Inc,20180607,AmTrust agrees to sweetened $2.95 billion buyout offer ,U.S. insurer AmTrust Financial Services Inc  on Thursday agreed to be acquired by a group of investors for a sweetened $2.95 billion deal that also helped secure the support of dissenting shareholder Carl Icahn.,repeated,Unknown
AFST,AmTrust Financial Services Inc,20180607,UPDATE 2-AmTrust agrees to sweetened $2.95 bln buyout offer ,* AmTrust shares up 2.7 pct (Adds statement from Arca Capital  updates shares),normal,Unknown
AFST,AmTrust Financial Services Inc,20180607,Deals of the day-Mergers and acquisitions ,June 7 The following bids  mergers  acquisitions and disposals were reported by 1200 GMT on Thursday: ** Japan's Fujifilm Holdings Corp said it may have no choice but to abandon a $6.1 billion merger with Xerox Corp if there is no progress in talks with the U.S. firm's new board for about half a year. ** U.S. insurer AmTrust Financial Services Inc agreed to be acquired by a group of investors for a sweetened deal value of $2.95 billion  that helped secure the support of dissenting sh,normal,Unknown
AFST,AmTrust Financial Services Inc,20180607,Evergreen Parent raises AmTrust buy-out deal value to $2.95 bln ,June 7 U.S. insurer AmTrust Financial Services Inc agreed to be bought by a group of investors for $2.95 billion  up from an earlier offer of $2.7 billion.,normal,Unknown
BNS,Bank of Nova Scotia (The),20180607,Two more staff leave Scotiabank's metals unit- sources ,LONDON  June 7 Two more staff members on Thursday resigned from ScotiaMocatta  the metals arm of Canada's Bank of Nova Scotia (Scotiabank)  following an exodus of senior management as the bank embarks on a radical restructuring  sources said.,topStory,Sell
BNS,Bank of Nova Scotia (The),20180607,RPT-Scotiabank to scrap half its metals business- sources ,LONDON  June 6 Canada's Bank of Nova Scotia (Scotiabank) is limiting lending by its ScotiaMocatta metals unit as it embarks on a radical restructuring likely to halve the size of the business  sources familiar with the matter said.,normal,Sell
BB,BlackBerry Limited,20180607,China's TCL launches high-end BlackBerry smartphone in U.S. ,June 7 Chinese electronics maker TCL Corp on Thursday launched a high-end smartphone in the United States that it developed with Canada's BlackBerry Ltd  touting security and privacy features to distinguish it from other devices.,topStory,Unknown
BA,Boeing Company (The),20180607,Lessor SMBC says will take time for fuel to boost lease rates on new-generation planes ,DUBLIN Rising oil prices are increasingly focusing airlines' attention on new  more fuel-efficient Airbus and Boeing planes  but it will take time for lease rates to improve  lessor SMBC Aviation  a major owner of the planes  said on Thursday.,topStory,Unknown
BWA,BorgWarner Inc,20180607,BorgWarner CEO James Verrier to step down ,Auto parts maker BorgWarner Inc  said on Thursday Chief Executive Officer James Verrier will step down and serve in a non-executive advisory role until he retires in February next year.,topStory,Unknown
BWA,BorgWarner Inc,20180607,UPDATE 1-BorgWarner CEO James Verrier to step down ,June 7 Auto parts maker BorgWarner Inc said on Thursday Chief Executive Officer James Verrier will step down and serve in a non-executive advisory role until he retires in February next year.,normal,Unknown
BWA,BorgWarner Inc,20180607,BorgWarner CEO to step down ,June 7 Auto parts maker BorgWarner Inc said Chief Executive Officer James Verrier will step down and serve in a non-executive advisory role until he retires in February next year.,normal,Unknown
BP,BP plc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,Oil producer BP Plc  complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's  implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,topStory,Unknown
BP,BP plc,20180607,UPDATE 2-BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP Plc complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
BP,BP plc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP PLC complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
BP,BP plc,20180607,Equinor leads oil majors grabbing prime offshore Brazil stakes ,RIO DE JANEIRO Norway's Equinor ASA led oil majors grabbing pre-salt blocks in Brazil on Thursday  snapping up stakes in some of the world's most alluring offshore geology despite fresh concerns about political meddling in the country's energy sector.,normal,Sell
BP,BP plc,20180607,UPDATE 2-Equinor leads oil majors grabbing prime offshore Brazil stakes ,RIO DE JANEIRO  June 7 Norway's Equinor ASA led oil majors grabbing pre-salt blocks in Brazil on Thursday  snapping up stakes in some of the world's most alluring offshore geology despite fresh concerns about political meddling in the country's energy sector.,normal,Unknown
BP,BP plc,20180607,Oil majors to bid on choice stakes in Brazil's offshore ,RIO DE JANEIRO  June 7 Executives from oil majors were set to gather in Rio de Janeiro on Thursday to compete for stakes in Brazil's pre-salt oil play  home to some of the world's most alluring offshore geology  as rising oil prices boost appetite for expensive offshore projects.,normal,Unknown
BPI,Bridgepoint Education Inc,20180607,Bridgepoint mulls IPO of Polish Smyk toys and clothes stores - sources ,WARSAW  June 7 London-based private equity group Bridgepoint is considering an Initial Public Offering (IPO) of Smyk in Warsaw  a children's apparel and toy store chain  three market sources said.,topStory,Unknown
CVX,Chevron Corporation,20180607,Venezuela frees Chevron executives held since April ,CARACAS/HOUSTON Venezuela has released two local executives of U.S. oil major Chevron Corp jailed since mid-April during a corruption probe in the oil sector  authorities and the company said on Wednesday.,topStory,Sell
CVX,Chevron Corporation,20180607,UPDATE 2-Equinor leads oil majors grabbing prime offshore Brazil stakes ,RIO DE JANEIRO  June 7 Norway's Equinor ASA led oil majors grabbing pre-salt blocks in Brazil on Thursday  snapping up stakes in some of the world's most alluring offshore geology despite fresh concerns about political meddling in the country's energy sector.,normal,Unknown
CVX,Chevron Corporation,20180607,UPDATE 3-Venezuela frees Chevron executives held since April ,CARACAS/HOUSTON  June 6 Venezuela has released two local executives of U.S. oil major Chevron Corp jailed since mid-April during a corruption probe in the oil sector  authorities and the company said on Wednesday.,normal,Sell
CVX,Chevron Corporation,20180607,Chevron says Gorgon Train 2 modifications completed safely ,* Chevron says planned modifications on Gorgon Train 2 completed safely.,normal,Unknown
CI,Cigna Corporation,20180607,US high-grade merger lending hits half-year record ,NEW YORK  June 7 (LPC) - Lending to blue chip US companies for mergers and acquisitions (M&A) has hit a record half year total of US$129bn  as banks continue to extend financing while pulling in record fee income for arranging the loans.,normal,Unknown
DB,Deutsche Bank AG,20180607,UPDATE 3-Deutsche Bank sounds out investors about Commerzbank deal-Bloomberg ,FRANKFURT  June 7 Deutsche Bank on Thursday downplayed the idea that a deal with cross-town rival Commerzbank could materialise soon  after Bloomberg reported that top shareholders had been consulted about a potential tie-up.,topStory,Unknown
DB,Deutsche Bank AG,20180607,Deutsche Bank says chairman sees no need to bring up Commerzbank deal ,FRANKFURT  June 7 Deutsche Bank on Thursday said its chairman is constantly asked about the potential for a tie-up with peer Commerzbank but downplayed the idea that a deal could materialise in the short-term.,normal,Unknown
DB,Deutsche Bank AG,20180607,Deutsche Bank sounds out investors about Commerzbank deal-Bloomberg ,FRANKFURT  June 7 Deutsche Bank Supervisory Board Chairman has talked to top shareholders  investors and German government officials about merging with peer Commerzbank  Bloomberg reported  citing people familiar with the matter.,normal,Strong Buy
DB,Deutsche Bank AG,20180607,RPT-UPDATE 1-Deutsche Bank plans to cut investment bank's costs by 1 bln euros - CFO ,* Bank targets ROTE of more than 4 pct next year  lagging peers,normal,Unknown
DB,Deutsche Bank AG,20180607,RPT-COLUMN-Deutsche's dwindling market cap belies still-huge global footprint: McGeever ,LONDON  June 6 Perhaps the most remarkable aspect of Deutsche Bank's dramatic fall from grace over recent years is that it's still Europe's largest player in world financial markets.,normal,Sell
ENB,Enbridge Inc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,Oil producer BP Plc  complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's  implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,topStory,Unknown
ENB,Enbridge Inc,20180607,UPDATE 2-BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP Plc complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
ENB,Enbridge Inc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP PLC complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
ENBA,Enbridge Inc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,Oil producer BP Plc  complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's  implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,repeated,Unknown
ENBA,Enbridge Inc,20180607,UPDATE 2-BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP Plc complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
ENBA,Enbridge Inc,20180607,BP complains to Canada regulator about Enbridge oil pipeline actions ,June 7 Oil producer BP PLC complained to Canada's National Energy Board (NEB) regulator about Enbridge Inc's implementation and then abrupt reversal of new rules for shipping crude on its Mainline pipeline system  NEB documents showed on Thursday.,normal,Unknown
XOM,Exxon Mobil Corporation,20180607,Exclusive: Exxon seeks to sell out of Tanzanian gas field - sources ,LONDON Exxon Mobil  is seeking buyers for its stake in a large undeveloped gas field off Tanzania  according to three banking and industry sources  as the company focuses on the development of an even bigger project in neighboring Mozambique.,topStory,Unknown
XOM,Exxon Mobil Corporation,20180607,Exxon Baton Rouge refinery restarting large crude unit: sources ,HOUSTON Exxon Mobil Corp began restarting the largest crude distillation unit (CDU) at its 502 500 barrel-per-day (bpd) Baton Rouge  Louisiana  refinery on Thursday  said Gulf Coast market sources.,normal,Unknown
XOM,Exxon Mobil Corporation,20180607,ExxonMobil sees Russian LNG plant's capacity at 6.2 million T/year: Ifax ,MOSCOW U.S. major ExxonMobil and Russian energy company Rosneft  expect their future joint project to produce more than 6.2 million tonnes of liquefied natural gas per year  Interfax news agency quoted an ExxonMobil manager as saying on Thursday.,normal,Unknown
XOM,Exxon Mobil Corporation,20180607,ExxonMobil sees Russian LNG plant's capacity at 6.2 mln T/year -Ifax ,MOSCOW  June 7 U.S. major ExxonMobil and Russian energy company Rosneft expect their future joint project to produce more than 6.2 million tonnes of liquefied natural gas per year  Interfax news agency quoted an ExxonMobil manager as saying on Thursday.,normal,Unknown
FCAU,Fiat Chrysler Automobiles NV,20180607,Alphabet's Waymo hopes to bring robo-taxi service to Europe ,TURIN  Italy  June 7 Alphabet Inc's self-driving unit Waymo wants to bring its robo-taxi service to Europe after it launches in the United States later this year.,normal,Unknown
F,Ford Motor Company,20180607,Ford plans to close Bordeaux plant if no buyer found ,PARIS Ford  plans to close its Blanquefort gearbox plant in southwestern France if no buyer can be found for the site  which employs 900 workers  the U.S. carmaker said on Thursday.,topStory,Unknown
FTV,Fortive Corporation,20180607,Deals of the day-Mergers and acquisitions ,June 7 The following bids  mergers  acquisitions and disposals were reported by 1200 GMT on Thursday: ** Japan's Fujifilm Holdings Corp said it may have no choice but to abandon a $6.1 billion merger with Xerox Corp if there is no progress in talks with the U.S. firm's new board for about half a year. ** U.S. insurer AmTrust Financial Services Inc agreed to be acquired by a group of investors for a sweetened deal value of $2.95 billion  that helped secure the support of dissenting sh,normal,Unknown
GE,General Electric Company,20180607,Argentina's YPF  GE launch new unit as search for third partner stalls ,BUENOS AIRES  June 7 Argentina's state-owned oil company YPF SA said on Wednesday its electricity unit  which recently received investment from General Electric  would invest $1 billion through 2020  though talks with a potential third partner have stalled.,topStory,Unknown
GM,General Motors Company,20180607,GM to sell new electric car batteries to Honda in North America ,General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,topStory,Unknown
GM,General Motors Company,20180607,UPDATE 1-GM to sell new electric car batteries to Honda in North America ,June 7 General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,normal,Unknown
GM,General Motors Company,20180607,GM to sell Honda advanced electric car batteries in North America ,June 7 General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,normal,Unknown
HMC,Honda Motor Company Ltd,20180607,GM to sell new electric car batteries to Honda in North America ,General Motors Co will supply advanced batteries to Japan's Honda Motor Co  the companies said Thursday  a move that could significantly reduce the cost of future electric vehicles at both automakers after 2020.,topStory,Unknown
