AGR,Avangrid Inc,20180622,Renewable energy seeks demand  investment to survive Trump squeeze ,NEW YORK  June 22 The wind and solar industries hope demand for carbon-free power from U.S. cities  states and corporations can offset headwinds from President Donald Trump's tax policy and tariffs  developers said this week.,normal,Sell
TROX,Tronox Limited,20180622,EU regulators to okay Tronox  Cristal deal with conditions - sources ,BRUSSELS  June 22 EU antitrust regulators are set to wave through chemical company Tronox's buy of Cristal's titanium dioxide business on condition it sells assets to address competition concerns  two people familiar with the matter said on Friday.,normal,Unknown
TSLA,Tesla Inc ,20180622,Tesla recycling machine catches fire at Fremont  California campus ,A machine used for paper recycling caught fire Thursday night at Tesla Inc's  Fremont  California  campus  outside the company's car production factory  but manufacturing was not affected  the company said.,topStory,Unknown
TSLA,Tesla Inc ,20180622,Exclusive: Tesla to close a dozen solar facilities in nine states - documents ,LOS ANGELES/SAN FRANCISCO Electric car maker Tesla Inc's move last week to cut 9 percent of its workforce will sharply downsize the residential solar business it bought two years ago in a controversial $2.6 billion deal  according to three internal company documents and seven current and former Tesla solar employees. | Video ,normal,Unknown
TSLA,Tesla Inc ,20180622,UPDATE 1-Tesla recycling machine catches fire at Fremont  Calif. campus ,June 22 A machine used for paper recycling caught fire Thursday night at Tesla Inc's Fremont  California  campus  outside the company's car production factory  but manufacturing was not affected  the company said.,normal,Sell
TSLA,Tesla Inc ,20180622,Tesla suffers fire Thursday at Fremont campus ,June 22 Tesla Inc said it suffered a fire Thursday night at its Fremont facility.,normal,Unknown
TTM,Tata Motors Ltd,20180622,UPDATE 3-BlackBerry signals slowing sales on subscription switch ,June 22 Canada's BlackBerry Ltd signaled slowing sales in its software and services business as it switches to a subscription-based model  sending its shares down nearly 10 percent.,normal,Unknown
WMT,Walmart Inc,20180622,Walmart-Advent deal gets Brazil antitrust nod ,SAO PAULO Brazil's antitrust watchdog Cade on Friday approved buyout firm Advent International's acquisition of Walmart Inc's  Brazilian operations  and sought no additional asset sales.,topStory,Unknown
WMT,Walmart Inc,20180622,Walmart-Advent deal gets Brazil antitrust nod ,SAO PAULO  June 22 Brazil's antitrust watchdog Cade on Friday approved buyout firm Advent International's acquisition of Walmart Inc's Brazilian operations  and sought no additional asset sales.,normal,Unknown
WPP,WPP plc,20180622,Former WPP boss Sorrell denies prostitute allegation ,CANNES  France Former WPP  boss Martin Sorrell denied on Friday that he had visited a prostitute and paid using company money when pressed on a stage in front of hundreds of people about why he had left the advertising giant he founded.,topStory,Unknown
WPP,WPP plc,20180622,UPDATE 1-Former WPP boss Sorrell denies prostitute allegation ,CANNES  France  June 22 Former WPP boss Martin Sorrell denied on Friday that he had visited a prostitute and paid using company money when pressed on a stage in front of hundreds of people about why he had left the advertising giant he founded.,normal,Unknown
WPP,WPP plc,20180622,PRESS DIGEST- British Business - June 22 ,June 22 The following are the top stories on the business pages of British newspapers. Reuters has not verified these stories and does not vouch for their accuracy.,normal,Unknown
