AMZN,Amazoncom Inc,20180615,Exclusive: Amazon to tap Brazil beauty obsession with cosmetics partners ,SAO PAULO Amazon.com Inc is recruiting major Brazilian cosmetics firms Grupo Boticario and Natura Cosmeticos SA to sell via the logistics platform it is developing in Brazil  three people familiar with talks told Reuters  making an early play for the world's fourth-largest beauty market. | Video ,topStory,Unknown
CMCSA,Comcast Corporation,20180615,Comcast gains unconditional EU antitrust approval to buy Sky ,BRUSSELS EU antitrust regulators have given the green light to U.S. cable company Comcast's plan to acquire European pay-TV group Sky without demanding concessions.,repeated,Unknown
CMCSA,Comcast Corporation,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
CMCSA,Comcast Corporation,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
CMCSA,Comcast Corporation,20180615,British M&A booms two years on from Brexit vote ,LONDON  June 15 Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
CMCSA,Comcast Corporation,20180615,EU mergers and takeovers (June 15) ,BRUSSELS  June 15 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal,Unknown
CMCSA,Comcast Corporation,20180615,Comcast gains unconditional EU antitrust approval to buy Sky ,BRUSSELS  June 15 EU antitrust regulators have given the green light to U.S. cable company Comcast's plan to acquire European pay-TV group Sky without demanding concessions.,normal,Unknown
CMCSA,Comcast Corporation,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
CMCSA,Comcast Corporation,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK  June 15 (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
GLNG,Golar LNG Limited,20180615,Pipe dream? Chevron  Woodside vie to shape Australia's LNG sector ,MELBOURNE After spending a decade and billions of dollars developing Australia's vast gas reserves  U.S. energy giant Chevron Corp and local firm Woodside Petroleum are at odds over the pace and timing of the next leg of expansion.,topStory,Unknown
GLNG,Golar LNG Limited,20180615,FOCUS-Pipe dream? Chevron  Woodside vie to shape Australia's LNG sector ,* Woodside wants to build quickly as looks to start new field,normal,Unknown
IEP,Icahn Enterprises LP,20180615,SandRidge approached by 17 suitors  Icahn says not to bid soon ,SandRidge Energy Inc  said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,topStory,Sell
IEP,Icahn Enterprises LP,20180615,UPDATE 5-SandRidge approached by 17 suitors  Icahn says not to bid soon ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,normal,Unknown
IEP,Icahn Enterprises LP,20180615,In SandRidge proxy fight  Icahn's reputation for turnarounds at stake ,HOUSTON When SandRidge Energy Inc  shareholders on Tuesday cast their votes for directors  the only question is how much sway over the embattled oil and gas producer they will hand to activist investor Carl Icahn.,normal,Sell
IEP,Icahn Enterprises LP,20180615,In SandRidge proxy fight  Icahn's reputation for turnarounds at stake ,HOUSTON  June 15 When SandRidge Energy Inc shareholders on Tuesday cast their votes for directors  the only question is how much sway over the embattled oil and gas producer they will hand to activist investor Carl Icahn.,normal,Sell
IEP,Icahn Enterprises LP,20180615,CORRECTED-UPDATE 1-SandRidge says approached by 17 potential buyers  including Icahn ,June 15 SandRidge Energy Inc said on Friday it had been approached by 17 potential bidders for a buyout  including billionaire Carl Icahn who is fighting for control of the oil and gas producer's board.,normal,Unknown
INTC,Intel Corporation,20180615,FOCUS-Zara looks to technology to keep up with faster fashion ,MADRID  June 15 The pioneer of fast fashion isn't looking so fast anymore.,normal,Unknown
NFLX,Netflix Inc,20180615,Public and private French TV channels to launch Netflix rival ,PARIS  June 15 France's public TV broadcaster is joining forces with private rivals TF1 and M6 to launch a video-on-demand platform in a bid to compete with the likes of U.S. online video giant Netflix.,topStory,Sell
NXPI,NXP Semiconductors NV,20180615,Qualcomm-NXP deal still waiting for China nod: sources ,BEIJING/SHANGHAI China is yet to approve U.S. chipmaker Qualcomm Inc's  proposed $44 billion acquisition of NXP Semiconductors   three people close to the talks said  dismissing an earlier media report that said Beijing had already greenlit the deal. | Video ,topStory,Unknown
NXPI,NXP Semiconductors NV,20180615,UPDATE 4-Qualcomm-NXP deal still waiting for China nod - sources ,* Pending U.S. tariffs could still hit deal - source (Adds Qualcomm extending cash tender offer to buy NXP shares),normal,Unknown
NXPI,NXP Semiconductors NV,20180615,Qualcomm extends cash tender offer to buy NXP shares ,Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal,Unknown
NXPI,NXP Semiconductors NV,20180615,Qualcomm extends cash tender offer to buy NXP shares ,June 15 Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc  infringed at least one of Qualcomm Inc's  patents  a move that could lead to blocking the import of some iPhones.,topStory,Unknown
QCOM,QUALCOMM Incorporated,20180615,Apple  Qualcomm battle over possible ban on some U.S. iPhone imports ,June 15 The staff of the U.S. International Trade Commission on Friday recommended that a trade judge find that Apple Inc infringed at least one of Qualcomm Inc's patents  a move that could lead to blocking the import of some iPhones.,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,Wall Street ends high-volume session lower on trade jitters ,NEW YORK Wall Street stocks ended lower on Friday  capping a day of heavy trading with investors mostly pulling back from initial concerns over an escalating trade dispute between the United States and China. | Video ,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,Qualcomm-NXP deal still waiting for China nod: sources ,BEIJING/SHANGHAI China is yet to approve U.S. chipmaker Qualcomm Inc's  proposed $44 billion acquisition of NXP Semiconductors   three people close to the talks said  dismissing an earlier media report that said Beijing had already greenlit the deal. | Video ,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,US STOCKS-Wall St heads lower on rising China trade tensions ,* U.S. to implement 25 pct tariffs on $50 bln of Chinese goods,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,US STOCKS-Wall St set to sink as China trade spat intensifies ,* U.S. to implement 25 pct tariff on $50 bln of Chinese goods,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,UPDATE 4-Qualcomm-NXP deal still waiting for China nod - sources ,* Pending U.S. tariffs could still hit deal - source (Adds Qualcomm extending cash tender offer to buy NXP shares),normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,Qualcomm extends cash tender offer to buy NXP shares ,Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,Qualcomm extends cash tender offer to buy NXP shares ,June 15 Qualcomm Inc has extended by a week its cash tender offer to buy all shares of NXP Semiconductors NV for $44 billion  the chipmaker said on Friday.,normal,Unknown
QCOM,QUALCOMM Incorporated,20180615,US STOCKS-Futures slide as U.S. readies China tariffs ,June 15 U.S. stock index futures fell on Friday as the Trump administration prepared to impose tariffs on Chinese goods worth $50 billion that could trigger a countermove from Beijing and escalate trade tensions between the two largest economies.,normal,Unknown
SHPG,Shire plc,20180615,UPDATE 1-Wall St Week Ahead-International fund managers turn to financials  tech as trade worries rise ,NEW YORK  June 15 The rising tensions over global trade policy are prompting some top-performing international fund managers to look for the companies that can emerge as winners.,normal,Sell
SHPG,Shire plc,20180615,Wall St Week Ahead-International fund managers turn to financials  tech as trade worries rise ,NEW YORK  June 15 The rising tensions over global trade policy are prompting some top-performing international fund managers to look for the companies that can emerge as winners.,normal,Sell
TMUS,T-Mobile US Inc,20180615,Sprint  T-Mobile plan to file deal application to FCC on Monday ,WASHINGTON Wireless companies Sprint Corp and T-Mobile US Inc have informed the Federal Communications Commission that they will formally file an application asking for approval to merge on Monday  according to a document seen by Reuters.,topStory,Strong Buy
TMUS,T-Mobile US Inc,20180615,Sprint  T-Mobile plan to file deal application to FCC on Monday ,WASHINGTON  June 15 Wireless companies Sprint Corp and T-Mobile US Inc have informed the Federal Communications Commission that they will formally file an application asking for approval to merge on Monday  according to a document seen by Reuters.,normal,Strong Buy
FOX,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON  June 15 Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
FOX,Twenty-First Century Fox Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK  June 15 (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180615,British M&A booms two years on from Brexit vote ,LONDON  June 15 Deal-making involving UK companies has picked up in the two years since the country's decision to leave the European Union  defying worries that Brexit would stifle mergers and acquisition activity  data from Thomson Reuters Deals Intelligence shows.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
FOXA,Twenty-First Century Fox Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK  June 15 (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
AA,Alcoa Corporation,20180615,UPDATE 1-U.S. steel stocks fall as trade war intensifies ,June 15 Shares in U.S. steel stocks fell on Friday as investors worried about escalating global trade tensions after President Donald Trump announced hefty tariffs on China.,normal,Unknown
APC,Anadarko Petroleum Corporation,20180615,UPDATE 2-Centrica  Tokyo Gas break mould in Mozambique LNG deal ,LONDON/TOKYO  June 15 Britain's Centrica and Japan's Tokyo Gas aim to buy liquefied natural gas (LNG) from Anadarko Petroleum's $20 billion project in Mozambique  the first joint procurement deal designed to defuse risks facing the buyers in their respective markets.,topStory,Unknown
APC,Anadarko Petroleum Corporation,20180615,Centrica  Tokyo Gas join Anadarko's Mozambique LNG project as buyers ,LONDON  June 15 Britain's Centrica and Japan's Tokyo Gas have signed a non-binding agreement to buy liquefied natural gas (LNG) from Anadarko Petroleum's Mozambique acreage  a deal that will help the U.S. company reach a final decision on the project.,normal,Unknown
ADM,Archer-Daniels-Midland Company,20180615,UPDATE 1-U.S.  China trade fight 'will lead to serious consequences' -Cargill ,CHICAGO  June 15 The current trade conflict between the United States and China "will lead to serious consequences for economic growth and job creation " global commodities trader Cargill Inc said on Friday.,topStory,Sell
T,AT&T Inc,20180615,AT&T CEO says ready to invest  WarnerMedia rebranding unveiled ,AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,topStory,Unknown
T,AT&T Inc,20180615,UPDATE 1-AT&T CEO says ready to invest  WarnerMedia rebranding unveiled ,June 15 AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,normal,Sell
T,AT&T Inc,20180615,AT&T CEO says ready to invest  keep culture at Time Warner -CNBC ,June 15 AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,normal,Unknown
T,AT&T Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
T,AT&T Inc,20180615,AT&T closes $85 billion deal for Time Warner ,WASHINGTON AT&T Inc  the No. 2 wireless carrier  on Thursday closed its $85 billion deal to acquire media company Time Warner Inc after U.S. antitrust regulators indicated they would not seek a delay.,normal,Unknown
T,AT&T Inc,20180615,UPDATE 4-AT&T closes $85 billion deal for Time Warner ,WASHINGTON  June 14 AT&T Inc  the No. 2 wireless carrier  on Thursday closed its $85 billion deal to acquire media company Time Warner Inc after U.S. antitrust regulators indicated they would not seek a delay.,normal,Unknown
TBB,AT&T Inc,20180615,AT&T CEO says ready to invest  WarnerMedia rebranding unveiled ,AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,repeated,Unknown
TBB,AT&T Inc,20180615,UPDATE 1-AT&T CEO says ready to invest  WarnerMedia rebranding unveiled ,June 15 AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,normal,Sell
TBB,AT&T Inc,20180615,AT&T CEO says ready to invest  keep culture at Time Warner -CNBC ,June 15 AT&T Inc is committed to spend as much as needed on the media business of newly acquired Time Warner Inc  Chief Executive Randall Stephenson told CNBC on Friday  with a plan to invest $21 billion to $22 billion in the combined company.,normal,Unknown
TBB,AT&T Inc,20180615,Comcast’s record all-cash Fox bid signals aggressive lending push ,NEW YORK (LPC) - Media company Comcast Corp’s record all-cash US$65bn bid to buy Twenty-First Century Fox’s media assets  a day after AT&T’s long-sought acquisition of Time Warner received a green light  signals an oncoming wave of M&A that banks will aggressively compete to finance.,normal,Unknown
TBB,AT&T Inc,20180615,AT&T closes $85 billion deal for Time Warner ,WASHINGTON AT&T Inc  the No. 2 wireless carrier  on Thursday closed its $85 billion deal to acquire media company Time Warner Inc after U.S. antitrust regulators indicated they would not seek a delay.,normal,Unknown
TBB,AT&T Inc,20180615,UPDATE 4-AT&T closes $85 billion deal for Time Warner ,WASHINGTON  June 14 AT&T Inc  the No. 2 wireless carrier  on Thursday closed its $85 billion deal to acquire media company Time Warner Inc after U.S. antitrust regulators indicated they would not seek a delay.,normal,Unknown
BAC,Bank of America Corporation,20180615,Bank of America picks ex Macron adviser Mourad to run investment banking for France - sources ,LONDON/PARIS  June 15 Bank of America has hired Morgan Stanley veteran Bernard Mourad  who recently worked as an adviser to French President Emmanuel Macron  as its new head of corporate and investment banking for France  three sources familiar with the matter told Reuters.,topStory,Sell
BHP,BHP Billiton Limited,20180615,BHP  partners to build $3.4 billion iron ore mine in Australia ,LONDON/MELBOURNE BHP on Thursday approved $2.9 billion in spending to build a new iron ore mine in Australia  the top global miner's biggest investment commitment in seven years.,topStory,Unknown
BHP,BHP Billiton Limited,20180615,UPDATE 2-BHP  partners to build $3.4 billion iron ore mine in Australia ,* Japan's Itochu  Mitsui to spend $510 mln in total (Adds comment from head of BHP Minerals Australia  changes date in dateline),normal,Unknown
BHP,BHP Billiton Limited,20180615,German stocks - Factors to watch on June 15 ,BERLIN/FRANKFURT  June 15 The following are some of the factors that may move German stocks on Friday:,normal,Unknown
BA,Boeing Company (The),20180615,Boeing creates one-stop shop for jets and services in Airbus battle ,PARIS Boeing  has reorganized its sales operations as part of a push into services that has helped it take a lead over rival jet maker Airbus  this year.,topStory,Unknown
BA,Boeing Company (The),20180615,Boeing sales chief says Rolls setbacks not impacting 787 sales ,PARIS Engine problems at Britain's Rolls-Royce  have rattled the aviation industry but have not slowed sales of the Boeing 787 Dreamliner  Boeing Co's  commercial sales chief said.,normal,Unknown
BA,Boeing Company (The),20180615,FOCUS-Boeing creates one-stop shop for jets and services in Airbus battle ,* Planes  services managed under one roof but reported separately,normal,Unknown
BA,Boeing Company (The),20180615,UPDATE 1-Boeing sales chief says Rolls setbacks not impacting 787 sales ,* Embraer  Boeing discussing venture in commercial aviation (Adds comments on demand and partnerships),normal,Unknown
BA,Boeing Company (The),20180615,Boeing sales chief says Rolls setbacks not impacting 787 sales ,PARIS  June 15 Engine problems at Britain's Rolls-Royce have "rattled" the aviation industry but have not slowed sales of the Boeing 787 Dreamliner  Boeing Co's commercial sales chief said.,normal,Unknown
BA,Boeing Company (The),20180615,FOCUS-Boeing creates one-stop shop for jets and services in Airbus battle ,* Planes  services managed under one roof but reported separately,normal,Unknown
BA,Boeing Company (The),20180615,Asked about a mid-market plane  Rolls CEO says gap in the market for a reason ,LONDON The chief executive of British engine-maker Rolls-Royce   asked about the potential for Boeing  to develop a "new mid-market airplane"  said there was a reason for the gap in the market between wide body and narrow body jets.,normal,Sell
BA,Boeing Company (The),20180615,Asked about a mid-market plane  Rolls CEO says gap in the market for a reason ,LONDON  June 15 The chief executive of British engine-maker Rolls-Royce  asked about the potential for Boeing to develop a "new mid-market airplane"  said there was a reason for the gap in the market between wide body and narrow body jets.,normal,Sell
BWA,BorgWarner Inc,20180615,BorgWarner to restate certain financial statements ,U.S. auto parts makers BorgWarner Inc  said on Friday it  would restate its financial statements for fiscal years 2015 and 2016 to re-evaluate accounting of its asbestos-related charges.,topStory,Unknown
BWA,BorgWarner Inc,20180615,UPDATE 1-BorgWarner to restate certain financial statements ,June 15 U.S. auto parts makers BorgWarner Inc said on Friday it  would restate its financial statements for fiscal years 2015 and 2016 to re-evaluate accounting of its asbestos-related charges.,normal,Unknown
BWA,BorgWarner Inc,20180615,BorgWarner to restate financial statements ,June 15 U.S. auto parts makers BorgWarner Inc said on Friday it  would restate its financial statements for the fiscal years 2016 and 2015 due to re-evaluation of its accounting for asbestos-related claim liabilities.,normal,Unknown
BAK,Braskem SA,20180615,LyondellBasell in exclusive talks to acquire control of Braskem ,SAO PAULO LyondellBasell Industries NV  and Odebrecht SA  the controlling owner of petrochemicals producer Braskem  said on Friday they have entered into exclusive talks for Lyondell to acquire control of Braskem  and two people familiar with the matter said the companies are planning a cash and shares deal that could top $9 billion.,topStory,Sell
BAK,Braskem SA,20180615,UPDATE 3-LyondellBasell in exclusive talks to acquire control of Braskem ,SAO PAULO  June 15 LyondellBasell Industries NV and Odebrecht SA  the controlling owner of petrochemicals producer Braskem  said on Friday they have entered into exclusive talks for Lyondell to acquire control of Braskem  and two people familiar with the matter said the companies are planning a cash and shares deal that could top $9 billion.,normal,Sell
BAK,Braskem SA,20180615,Petrobras says will analyze potential Braskem deal btwn Odebrecht  LyondellBasell ,RIO DE JANEIRO  June 15 Brazil's state-run oil company Petroleo Brasileiro said on Friday that if LyondellBasell Industries NV reaches an agreement to buy Odebrecht's stake in Petrochemical firm Braskem SA  it will analyze the deal.,normal,Unknown
BAK,Braskem SA,20180615,LyondellBasell says in talks on Braskem deal ,June 15 Plastic  chemicals and refining company LyondellBasell Industries NV has begun talks with the main shareholder of Brazilian petrochemical firm Braskem SA on a potential tie-up  the two companies said on Friday.,normal,Unknown
BG,Bunge Limited,20180615,UPDATE 1-Bunge calls off Brazilian IPO amid sugar glut  fuel price fears ,SAO PAULO  June 15 Bunge Ltd on Friday called off listing its Brazilian sugar and ethanol unit amid a global glut for the sweetener and erratic fuel-pricing policies in the domestic market.,topStory,Sell
BG,Bunge Limited,20180615,Bunge postpones IPO of Brazilian unit - statement ,SAO PAULO  June 15 Bunge Ltda said on Friday it has decided to postpone the initial public offering (IPO) of its Brazilian sugar and ethanol unit due to market conditions.,normal,Unknown
GOOS,Canada Goose Holdings Inc,20180615,Canada Goose shares soar to a record as own stores  online drive surprise profit ,Canada Goose Holdings Inc shares surged to a record on Friday as growing sales in the luxury coat maker's own stores and online channel helped double revenues and drive a surprise quarterly profit. | Video ,topStory,Unknown
GOOS,Canada Goose Holdings Inc,20180615,UPDATE 3-Canada Goose shares soar to a record as own stores  online drive surprise profit ,* Q4 adj shr C$0.09 vs est loss of C$0.08/shr - TR I/B/E/S (New throughout  adds background and updates share price),normal,Unknown
CVX,Chevron Corporation,20180615,Chevron starts second production unit at Wheatstone LNG in Australia ,MELBOURNE  June 15 Chevron Corp has started producing liquefied natural gas (LNG) at the second unit of its $34 billion Wheatstone development  marking the completion of its two megaprojects in Australia after cost-blowouts and delays.,topStory,Unknown
C,Citigroup Inc,20180615,UPDATE 1-Citigroup to pay $100 million to settle U.S. Libor rigging probe ,NEW YORK  June 15 Citigroup Inc agreed to pay $100 million to settle charges by most U.S. states that it defrauded government and nonprofit entities by manipulating Libor  an interest rate benchmark that underlies a wide range of consumer transactions.,repeated,Unknown
C,Citigroup Inc,20180615,Citigroup to pay $100 million in rate-rigging settlement ,NEW YORK  June 15 Citigroup Inc has agreed to pay $100 million to settle charges by most U.S. states that it rigged the Libor benchmark interest rate to boost profit at the expense of investors.,normal,Unknown
CIG,Comp En De Mn Cemig ADS,20180615,REFILE-Brazil's Cemig Telecom attracts 16 bidders -source ,SAO PAULO  June 15 Brazilian utility Companhia Energetica de Minas Gerais has received far more interest than expected in the sale of its telecommunications assets  attracting 16 groups interested in bidding  a person familiar with the matter told Reuters.,topStory,Unknown
ERJ,Embraer SA,20180615,Boeing sales chief says Rolls setbacks not impacting 787 sales ,PARIS  June 15 Engine problems at Britain's Rolls-Royce have "rattled" the aviation industry but have not slowed sales of the Boeing 787 Dreamliner  Boeing Co's commercial sales chief said.,normal,Unknown
ENB,Enbridge Inc,20180615,UPDATE 1-Enbridge endorses two alternatives for Great Lakes pipeline replacement ,June 15 Enbridge Inc on Friday endorsed either an underwater tunnel or trench to replace a section of its 65-year-old energy pipeline that travels under a stretch of the U.S. Great Lakes in Michigan.,topStory,Sell
ENB,Enbridge Inc,20180615,Enbridge endorses two alternatives for Great Lakes pipeline replacement ,June 15 Enbridge Inc on Friday endorsed either an underwater tunnel or trench to replace a section of its 65-year-old energy pipeline that travels under a stretch of the U.S. Great Lakes in Michigan.,normal,Unknown
ENBA,Enbridge Inc,20180615,UPDATE 1-Enbridge endorses two alternatives for Great Lakes pipeline replacement ,June 15 Enbridge Inc on Friday endorsed either an underwater tunnel or trench to replace a section of its 65-year-old energy pipeline that travels under a stretch of the U.S. Great Lakes in Michigan.,repeated,Sell
