ALGN,Align Technology Inc,20121017,BRIEF-Align Technology shares fall 11.1 pct after the bell following prelim results ,NEW YORK  Oct 17 Align Technology Inc :  * Shares fell 11.1 percent after the bell after it announced preliminary results.,topStory
DLBL,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DLBL,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DLBL,Barclays PLC,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DTYL,Barclays PLC,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DTYL,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DTYL,Barclays PLC,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DTYL,Barclays PLC,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
CETV,Central European Media Enterprises Ltd,20121017,CME outbid other potential buyers for Kansas City Board of Trade ,CHICAGO  Oct 17 CME Group Inc had competition in its bid for the Kansas City Board of Trade  but ultimately the smaller market's board of directors deemed CME's offer the best fit and the best value for shareholders  a top Kansas City Board of Trade official said.,topStory
CHKP,Check Point Software Technologies Ltd,20121017,Check Point Software Q4 forecast hits shares ,TEL AVIV Shares in computer security provider Check Point Software Technologies  plunged on Wednesday after it issued a wider than usual range for fourth-quarter results forecasts  citing economic uncertainty.,topStory
CHKP,Check Point Software Technologies Ltd,20121017,UPDATE 2-Check Point Software Q4 forecast hits shares ,TEL AVIV  Oct 17 Shares in computer security provider Check Point Software Technologies plunged on Wednesday after it issued a wider than usual range for fourth-quarter results forecasts  citing economic uncertainty.,normal
CHKP,Check Point Software Technologies Ltd,20121017,BRIEF-Check Point Software Q4 outlook ,Oct 17 Check Point Software Technologies  CEO says:,normal
CME,CME Group Inc,20121017,Testing regulators  CME sticks toe in position limits water ,NEW YORK The CME Group on Wednesday canceled a proposal to increase position limits that may have pressed U.S. government regulators on the subject soon after a judge shot down a separate government proposal that would have tightened limits.,topStory
CME,CME Group Inc,20121017,Testing regulators  CME sticks toe in position limits water ,NEW YORK  Oct 17 The CME Group on Wednesday canceled a proposal to increase position limits that may have pressed U.S. government regulators on the subject soon after a judge shot down a separate government proposal that would have tightened limits.,normal
CME,CME Group Inc,20121017,CME to buy rival Kansas City exchange  heading off ICE ,CHICAGO/KANSAS CITY  Missouri CME Group Inc  on Wednesday agreed to buy the Kansas City Board of Trade for $126 million in cash  cementing CME's dominance in world grain futures markets and keeping rival IntercontinentalExchange  from gaining an important foothold. | Video ,normal
CME,CME Group Inc,20121017,UPDATE 4-CME to buy rival Kansas City exchange  heading off ICE ,* CME to pay $126 mln in cash; deal to close later in 2012,normal
CME,CME Group Inc,20121017,CME outbid other potential buyers for Kansas City Board of Trade ,CHICAGO  Oct 17 CME Group Inc had competition in its bid for the Kansas City Board of Trade  but ultimately the smaller market's board of directors deemed CME's offer the best fit and the best value for shareholders  a top Kansas City Board of Trade official said.,normal
CME,CME Group Inc,20121017,CORRECTED-CME Group to buy Kansas City Board of Trade for $126 mln ,(In 3rd paragraph  corrects how long trading floor will stay open to at least six months instead of at least three years.),normal
EBAY,eBay Inc,20121017,EBay posts strong results; cautious on holiday outlook ,SAN FRANCISCO EBay Inc reported strong quarterly results on Wednesday  but the e-commerce company gave a cautious forecast for the crucial holiday season amid a brewing price war between big retailers and rival Amazon.com Inc.,topStory
EBAY,eBay Inc,20121017,UPDATE 3-EBay posts strong results; cautious on holiday outlook ,SAN FRANCISCO  Oct 17 EBay Inc reported strong quarterly results on Wednesday  but the e-commerce company gave a cautious forecast for the crucial holiday season amid a brewing price war between big retailers and rival Amazon.com Inc.,normal
EBAY,eBay Inc,20121017,EBay reports 15 percent increase in quarterly revenue ,SAN FRANCISCO  Oct 17 EBay Inc reported a rise in quarterly revenue and earnings on Wednesday as more consumers shopped on its online marketplaces and used its PayPal payment service.,normal
EBAY,eBay Inc,20121017,BRIEF-EBay shares down 4.1 pct after the bell following results ,NEW YORK  Oct 17 eBay Inc :  * Shares were down 4.1 percent after the bell following the release of its results,normal
EBAYL,eBay Inc,20121017,EBay posts strong results; cautious on holiday outlook ,SAN FRANCISCO EBay Inc reported strong quarterly results on Wednesday  but the e-commerce company gave a cautious forecast for the crucial holiday season amid a brewing price war between big retailers and rival Amazon.com Inc.,topStory
EBAYL,eBay Inc,20121017,UPDATE 3-EBay posts strong results; cautious on holiday outlook ,SAN FRANCISCO  Oct 17 EBay Inc reported strong quarterly results on Wednesday  but the e-commerce company gave a cautious forecast for the crucial holiday season amid a brewing price war between big retailers and rival Amazon.com Inc.,normal
EBAYL,eBay Inc,20121017,EBay reports 15 percent increase in quarterly revenue ,SAN FRANCISCO  Oct 17 EBay Inc reported a rise in quarterly revenue and earnings on Wednesday as more consumers shopped on its online marketplaces and used its PayPal payment service.,normal
EBAYL,eBay Inc,20121017,BRIEF-EBay shares down 4.1 pct after the bell following results ,NEW YORK  Oct 17 eBay Inc :  * Shares were down 4.1 percent after the bell following the release of its results,normal
FSLR,First Solar Inc,20121017,First Solar wins 13-MW Dubai project ,DUBAI  Oct 17 First Solar Inc. has been awarded the contract to build a 13-megawatt (MW) photovoltaic solar power plant by Dubai Electricity and Water Authority (DEWA)  the agency said on Wednesday.,topStory
INTC,Intel Corporation,20121017,US STOCKS-Housing lifts S&P 500  but Intel and IBM dent the Dow ,NEW YORK  Oct 17 The S&P 500 rose on Wednesday  putting the benchmark index on track for its third straight day of gains  as U.S. housing starts hit a four-year high  but weak results from tech bellwethers curbed the Dow.,topStory
INTC,Intel Corporation,20121017,Intel's outlook fails to inspire hopes for PC recovery ,SAN FRANCISCO Intel Corp's weak outlook for fourth-quarter revenue and margins dispelled lingering hopes for a revival in PC demand towards the end of the year  pushing its shares 2 percent lower. | Video ,normal
INTC,Intel Corporation,20121017,US STOCKS-S&P 500 rises on housing  but IBM  Intel drag on Dow ,NEW YORK  Oct 17 The S&P 500 rose on Wednesday  heading for its third straight day of gains  as U.S. housing starts hit a four-year high  but weak results from tech bellwethers weighed on the Dow.,normal
INTC,Intel Corporation,20121017,GLOBAL MARKETS-Euro  shares up as Spain dodges rating downgrade ,* Government debt prices fall on Spanish outlook  U.S. housing,normal
INTC,Intel Corporation,20121017,GLOBAL MARKETS-Euro  shares gain as Spain dodges rating downgrade ,* Government debt prices fall on Spanish outlook  U.S. housing,normal
INTC,Intel Corporation,20121017,US STOCKS-Wall St edges higher  but tech weighs ,NEW YORK  Oct 17 The S&P 500 edged higher for its third straight day of gains on Wednesday  lifted by signs of strength in the housing market  but gains were limited by weak tech company results.,normal
INTC,Intel Corporation,20121017,US STOCKS-Futures tick up on BofA  but Nasdaq down on tech ,NEW YORK  Oct 17 The Dow and S&P 500 index futures edged higher on Wednesday as Bank of America rose after reporting a quarterly profit  but the Nasdaq composite index slipped on weak tech company results.,normal
INTC,Intel Corporation,20121017,US STOCKS-Futures close to flat as investors await BofA results ,NEW YORK  Oct 17 U.S. stock index futures were close to flat on Wednesday as investors awaited quarterly results from Bank of America Corp  which could provide more insight into the state of the banking sector.,normal
INTC,Intel Corporation,20121017,Europe Factors to Watch-Shares seen up  tech stocks in focus , ,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
FLAT,iPath US Treasury Flattener ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
FLAT,iPath US Treasury Flattener ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
FLAT,iPath US Treasury Flattener ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
FLAT,iPath US Treasury Flattener ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
STPP,iPath US Treasury Steepener ETN,20121017,BRIEF-Barclays' Walker calls for clear regulation ,LONDON  Oct 17 BARCLAYS:  * Rbs chairman says banks have let customers down in all sorts of,topStory
STPP,iPath US Treasury Steepener ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT Bahrain-backed private equity group Investcorp has mandated Barclays  to organize the sale of Armacell  a maker of insulation materials  aiming to capitalize on growing investor interest in energy-efficient products.,normal
STPP,iPath US Treasury Steepener ETN,20121017,Investcorp mandates Barclays for Armacell sale ,FRANKFURT  Oct 17 Bahrain-backed private equity group Investcorp has mandated Barclays to organise the sale of Armacell  a maker of insulation materials  aiming to capitalise on growing investor interest in energy-efficient products.,normal
STPP,iPath US Treasury Steepener ETN,20121017,UK to legislate reforms of Libor ,LONDON  Oct 17 Britain will change the law to reform the Libor interest rate that was rigged by Barclays  and other banks  the country's finance ministry said on Wednesday.,normal
KFRC,Kforce Inc,20121017,Austria bans insurers from issuing credit default swaps ,VIENNA  Oct 17 Austria has banned insurers from issuing credit default swaps (CDS) because they fall outside the sector's core business and pose unacceptable risks  markets watchdog FMA said on Wednesday.,topStory
LPLA,LPL Financial Holdings Inc,20121017,ON THE MOVE-LPL Financial adds team with $450 mln in assets ,Oct 17 LPL Financial Holdings Inc  the largest U.S. independent broker-dealer by revenue  has expanded its network of independent advisers with a team that manages about $450 million in client assets.,topStory
MSFT,Microsoft Corporation,20121017,Nokia to post loss ahead of make-or-break launches ,HELSINKI  Oct 18 Nokia is expected to report another quarterly loss and dwindling cash reserves on Thursday  underscoring the importance of next month's new smartphone launches as it battles to recoup ground lost to Apple and Samsung.,topStory
MORN,Morningstar Inc,20121017,CORRECTED-YOUR MONEY-Should you dump your 529 college savings plan? ,(Corrects to say that quote in paragraph 7 came in a telephone interview and that quote in paragraph 14 came from an article on Morningstar's website),topStory
NWS,News Corporation,20121017,Murdoch  News Corp board reelected at subdued meeting ,LOS ANGELES Rupert Murdoch survived yet another attempt to oust him as chairman of his News Corp media empire on Tuesday  the second straight year he has defeated critics who say his family wields too much control over the company.,topStory
NWSA,News Corporation,20121017,Murdoch  News Corp board reelected at subdued meeting ,LOS ANGELES Rupert Murdoch survived yet another attempt to oust him as chairman of his News Corp media empire on Tuesday  the second straight year he has defeated critics who say his family wields too much control over the company.,topStory
NTRS,Northern Trust Corporation,20121017,Northern Trust profit edges up but misses expectations ,U.S. custody bank and wealth manager Northern Trust Corp  on Wednesday reported a slight increase in third-quarter net income  missing analysts' estimates  as foreign exchange revenue plummeted.,topStory
NTRS,Northern Trust Corporation,20121017,UPDATE 2-Northern Trust profit edges up but misses expectations ,Oct 17 U.S. custody bank and wealth manager Northern Trust Corp on Wednesday reported a slight increase in third-quarter net income  missing analysts' estimates  as foreign exchange revenue plummeted.,normal
NTRS,Northern Trust Corporation,20121017,Northern Trust Q3 profit up slightly  misses expectations ,Oct 17 Northern Trust Corp said on Wednesday that third-quarter net income rose slightly  missing analysts' estimates  as foreign exchange revenue plummeted.,normal
NTRSP,Northern Trust Corporation,20121017,Northern Trust profit edges up but misses expectations ,U.S. custody bank and wealth manager Northern Trust Corp  on Wednesday reported a slight increase in third-quarter net income  missing analysts' estimates  as foreign exchange revenue plummeted.,topStory
NTRSP,Northern Trust Corporation,20121017,UPDATE 2-Northern Trust profit edges up but misses expectations ,Oct 17 U.S. custody bank and wealth manager Northern Trust Corp on Wednesday reported a slight increase in third-quarter net income  missing analysts' estimates  as foreign exchange revenue plummeted.,normal
NTRSP,Northern Trust Corporation,20121017,Northern Trust Q3 profit up slightly  misses expectations ,Oct 17 Northern Trust Corp said on Wednesday that third-quarter net income rose slightly  missing analysts' estimates  as foreign exchange revenue plummeted.,normal
PENN,Penn National Gaming Inc,20121017,TEXT-S&P rates Penn National proposed incremental term loans ,Oct 17 - Standard & Poor's Ratings Services today assigned issue-level and recovery ratings to Wyomissing  Pa.-based Penn National Gaming Inc.'s     proposed $1 billion of incremental term loans. We assigned the term loans our issue-level rating of 'BBB-' (two notches higher than the 'BB' corporate credit rating on the company) with a recovery rating of '1'  indicating our expectation for very high (90% to 100%) recovery for lenders in the event of a payment default. The term loans will be compr,topStory
RYAAY,Ryanair Holdings plc,20121017,Ryanair denies Italian tax probe claim ,DUBLIN  Oct 17 Ryanair has rejected a claim made in Italy that it dodged around 12 million euros ($15.5 million) of social security payments  saying on Wednesday that it was fully complicit with Irish and European Union tax laws.,topStory
SLM,SLM Corporation,20121017,Sallie Mae third-quarter profit rises ,Sallie Mae   the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans and saw an increase in its private education loan segment.,topStory
SLM,SLM Corporation,20121017,UPDATE 1-Sallie Mae 3rd-quarter profit rises ,Oct 17 Sallie Mae  the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans and saw an increase in its private education loan segment.,normal
SLM,SLM Corporation,20121017,Sallie Mae 3rd-quarter profit rises ,Oct 17 Sallie Mae  the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans.,normal
SLMBP,SLM Corporation,20121017,Sallie Mae third-quarter profit rises ,Sallie Mae   the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans and saw an increase in its private education loan segment.,topStory
SLMBP,SLM Corporation,20121017,UPDATE 1-Sallie Mae 3rd-quarter profit rises ,Oct 17 Sallie Mae  the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans and saw an increase in its private education loan segment.,normal
SLMBP,SLM Corporation,20121017,Sallie Mae 3rd-quarter profit rises ,Oct 17 Sallie Mae  the largest U.S. student lender  reported a higher-than-expected adjusted profit as the company set aside less money to cover soured loans.,normal
SBUX,Starbucks Corporation,20121017,UK committees to examine Starbucks tax strategies ,LONDON Two British parliamentary committees are due to quiz tax officials about how Starbucks was able to avoid paying tax on 1.2 billion pounds ($1.93 billion) of sales since 2009.,topStory
SBUX,Starbucks Corporation,20121017,UPDATE 2-UK committees to examine Starbucks tax strategies ,* Public Affairs and Treasury committees to quiz tax officials,normal
SBUX,Starbucks Corporation,20121017,UK committees to examine Starbucks tax strategies ,LONDON Two British parliamentary committees are due to quiz tax officials about how Starbucks was able to avoid paying tax on 1.2 billion pounds ($1.93 billion) of sales since 2009.,normal
SBUX,Starbucks Corporation,20121017,Starbucks may face UK tax probe after lawmaker asks for inquiry ,LONDON  Oct 17 Starbucks may face an inquiry into its British tax affairs after a senior member of parliament (MP) called for an investigation into how the company could avoid paying tax on 1.2 billion pounds ($1.93 billion) of sales since 2009.,normal
