AMCX,AMC Networks Inc,20121101,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov. 8 - please click on or .  ** For events before Nov. 6 - please click on or .   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS 08 Nov    BMO    Q3 2012 Advance Auto Parts                       1.22    18     1.41 08 Nov           Q3 2012 Cam,topStory
CAR,Avis Budget Group Inc,20121101,UPDATE 1-Avis Budget forecast hit by Europe slowdown ,Nov 1 Car rental company Avis Budget Group Inc's  quarterly profit missed analysts' estimates and the company forecast full-year profit below expectations as a weak European economy hurt travel demand.,normal
CAR,Avis Budget Group Inc,20121101,Avis Budget expects full-year profit below expectations ,Car rental company Avis Budget Group Inc  reported a rise in quarterly profit  but forecast full-year 2012 profit below analysts' expectations.,normal
CAR,Avis Budget Group Inc,20121101,Avis Budget expects full-year profit below expectations ,Nov 1 Car rental company Avis Budget Group Inc  reported a rise in quarterly profit  but forecast full-year 2012 profit below analysts' expectations.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DLBL,Barclays PLC,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DLBL,Barclays PLC,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DLBL,Barclays PLC,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DLBL,Barclays PLC,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBL,Barclays PLC,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DLBL,Barclays PLC,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBL,Barclays PLC,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DLBL,Barclays PLC,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DLBL,Barclays PLC,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DLBL,Barclays PLC,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DTYL,Barclays PLC,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DTYL,Barclays PLC,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DTYL,Barclays PLC,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DTYL,Barclays PLC,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYL,Barclays PLC,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DTYL,Barclays PLC,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYL,Barclays PLC,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DTYL,Barclays PLC,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYL,Barclays PLC,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DTYL,Barclays PLC,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
CBOE,CBOE Holdings Inc,20121101,CBOE Holdings profit down 16 percent but beats Street view ,CBOE Holdings Inc  said Thursday that third-quarter earnings fell 16 percent  less than analysts had expected  as the operator of the biggest and oldest U.S. stock-options market charged more for its products and services.,topStory
CBOE,CBOE Holdings Inc,20121101,UPDATE 2-CBOE Holdings profit down 16 pct but beats Street view ,* Q3 net 43 cents a share  vs 38 cents a share Street view,normal
CBOE,CBOE Holdings Inc,20121101,CBOE to soon offer new discounts for high-volume traders - CEO ,CHICAGO  Nov 1 CBOE Holdings Inc will soon offer a new set of fee discounts to its most active traders to head off a recent decline in market share for single-stock options  its chief executive said on Thursday.,normal
CBOE,CBOE Holdings Inc,20121101,CBOE Holdings profit falls 16 percent as trading declines ,Nov 1 CBOE Holdings Inc  which runs the biggest and oldest U.S. stock-options market  said third-quarter earnings had fallen 16 percent  hurt by a drop in trading.,normal
CEVA,CEVA Inc,20121101,Ceva profit falls  sees growth in China ,JERUSALEM Israeli mobile chip designer Ceva Inc  said it expected growth in phone upgrades in China to spur earnings per share which dropped 40 percent and missed expectations in the third quarter.,topStory
CEVA,CEVA Inc,20121101,UPDATE 2-Ceva profit falls  sees growth in China ,JERUSALEM  Nov 1 Israeli mobile chip designer Ceva Inc said it expected growth in phone upgrades in China to spur earnings per share which dropped 40 percent and missed expectations in the third quarter.,normal
CEVA,CEVA Inc,20121101,Ceva profit sinks  misses expectations ,JERUSALEM Israeli mobile chip designer Ceva Inc  reported On Thursday a 40 percent drop in quarterly earnings per share that fell short of expectations  as licensing revenue was hurt by a weak global economy.,normal
CME,CME Group Inc,20121101,U.S. fiscal cliff threatens "crazy" market activity: CME's Duffy ,CHICAGO Uncertainty over the so-called U.S. fiscal cliff threatens to cause "some real crazy activity" on markets if Congress fails to act by the year-end  Terry Duffy  executive chairman of the CME Group   said on Thursday.,topStory
CME,CME Group Inc,20121101,US fiscal cliff threatens 'crazy' market activity-CME's Duffy ,CHICAGO  Nov 1 Uncertainty over the so-called U.S. fiscal cliff threatens to cause "some real crazy activity" on markets if Congress fails to act by the year-end  Terry Duffy  executive chairman of the CME Group  said on Thursday.,normal
COST,Costco Wholesale Corporation,20121101,Green Mountain to make Kirkland K-Cups for Costco ,Green Mountain Coffee Roasters Inc  will add the Kirkland Signature brand to its lineup of K-Cups as it battles lower-cost competitors  in a deal with Costco Wholesale Corp  that sent its shares up 9 percent.,topStory
COST,Costco Wholesale Corporation,20121101,Costco beats October sales estimates  Limited misses ,Costco Wholesale Corp  posted a better-than-expected 7 percent rise in October sales at stores open at least a year  but said November sales would be marginally affected by closures of its warehouse retail locations due to Hurricane Sandy.,normal
COST,Costco Wholesale Corporation,20121101,WRAPUP 1-Costco beats October sales estimates  Limited misses ,Nov 1 Costco Wholesale Corp posted a better-than-expected 7 percent rise in October sales at stores open at least a year  but said November sales would be marginally affected by closures of its warehouse retail locations due to Hurricane Sandy.,normal
COST,Costco Wholesale Corporation,20121101,Costco October same-store sales beat forecast ,U.S. retailer Costco Wholesale Corp  posted a better-than-expected 7 percent rise in October sales at stores open at least a year  helped by higher gasoline prices and a weak dollar.,normal
COST,Costco Wholesale Corporation,20121101,Costco October same-store sales beat forecast ,Nov 1 U.S. retailer Costco Wholesale Corp  posted a better-than-expected 7 percent rise in October sales at stores open at least a year  helped by higher gasoline prices and a weak dollar.,normal
EQIX,Equinix Inc,20121101,BRIEF-Equinix shares up 5.2 pct after the bell following results ,NEW YORK  Nov 1 Equinix Inc :  * Shares were up 5.2 percent after the bell following the release of its results.,topStory
FB,Facebook Inc,20121101,Bulgarians use Facebook to expose slipshod police ,SOFIA Fed up with ineffective law enforcement  thousands of Bulgarians have flocked to a Facebook page showcasing images of police breaking rules or failing to do their duty.,topStory
FSLR,First Solar Inc,20121101,First Solar  SunPower results top estimates ,LOS ANGELES U.S. solar companies First Solar Inc  and SunPower Corp  reported stronger-than-expected quarterly results as cost cuts and new projects helped offset the impact of weak prices due to a global glut of solar panels.,topStory
FSLR,First Solar Inc,20121101,WRAPUP 2-First Solar  SunPower results top estimates ,* SunPower's posts 3-ct/share profit; analysts expected loss,normal
FSLR,First Solar Inc,20121101,First Solar third-quarter net earnings drop 55 percent ,LOS ANGELES First Solar Inc   the biggest U.S. solar panel maker  on Thursday posted a 55 percent drop in third-quarter net earnings due to restructuring charges and lower revenue.,normal
FSLR,First Solar Inc,20121101,First Solar third-quarter net earnings drop 55 percent ,LOS ANGELES  Nov 1 First Solar Inc  the biggest U.S. solar panel maker  on Thursday posted a 55 percent drop in third-quarter net earnings due to restructuring charges and lower revenue.,normal
FSLR,First Solar Inc,20121101,BRIEF-First Solar shares up 5.9 percent after the bell ,NEW YORK  Nov 1 First Solar Inc :  * Shares up 5.9 percent after the bell following results,normal
GLNG,Golar LNG Limited,20121101,Golar re-writes the LNG game with floating plant ,LONDON Norwegian shipper Golar LNG made big waves on Thursday by ordering its first floating liquefied natural gas (LNG) plant  an innovation that analysts said could loosen the grip on LNG production enjoyed by oil majors.,topStory
GLNG,Golar LNG Limited,20121101,UPDATE 1-Golar re-writes the LNG game with floating plant ,LONDON  Nov 1 Norwegian shipper Golar LNG  made big waves on Thursday by ordering its first floating liquefied natural gas (LNG) plant  an innovation that analysts said could loosen the grip on LNG production enjoyed by oil majors.,normal
GLNG,Golar LNG Limited,20121101,Norway's Golar orders its first floating LNG plant ,LONDON  Nov 1 Norwegian shipping firm Golar LNG  on Thursday ordered its first floating liquefied natural gas (LNG) plant due by 2015  betting that global demand for the fuel will continue to grow.,normal
HAS,Hasbro Inc,20121101,BRIEF-Moody's: Disney  Lucasfilms deal is positive for Hasbro ,Nov 1 Hasbro Inc :  * Moody's: disney acquisition of lucasfilms is positive for Hasbro though its rating and outlook are unchanged.,topStory
IEP,Icahn Enterprises LP,20121101,UPDATE 2-Netflix tells Icahn it is open to his input ,LOS ANGELES  Nov 1 Netflix Inc said on Thursday it was open to input from billionaire Carl Icahn  the activist investor who now controls 10 percent of the video rental company's shares a day after his surprise investment.,topStory
INTL,INTL FCStone Inc,20121101,INTL FCStone raises U.S. corn and soybean production estimates ,CHICAGO Commodity brokerage INTL FCStone  on Thursday said it raised its forecast for U.S. 2012 corn production to 10.881 billion bushels  above its previous estimate of 10.824 billion.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121101,TEXT-Fitch:Barclays Q312 results ratings neutral ,Nov 01 - Fitch Ratings says that Barclays PLC's results  for Q312 were generally in line with the agency's expectation that Barclays Bank  PLC ('A'/Stable/'F1'/'a') would continue to generate satisfactory underlying  earnings  maintain strong liquidity and prepare for the introduction of Basel  III. The results also underlined the bank's exposure to reputation  regulatory  and litigation risks: the GBP700m provision for payment protection insurance  (PPI) redress charged in Q312 made a significa,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,Power market watchdog seeks Barclays fine ,WASHINGTON/NEW YORK U.S. regulators threatened to fine Barclays roughly $470 million to settle allegations that the bank and four traders manipulated California electricity markets  reviving the specter of a sector-wide crackdown on energy trading. | Video ,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,RPT-Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,RPT-UPDATE 3-US power market watchdog seeks Barclays fine ,* Sets up potential precedent over "loss-leader" strategy,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,- - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,Factbox: Biggest civil penalties by U.S. energy regulator FERC ,U.S. federal energy regulators have threatened to fine London-based Barclays about $470 million to settle claims that the bank and its traders manipulated California energy markets  in the largest proposed fine from the agency since 2005.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,In echo of Enron  Barclays traders plotted to rig power market ,Oct 31 - - A series of emails and instant messages between Barclays PLC traders -- peppered with colorful and obscene language -- is at the heart of federal energy regulators' effort to impose record fines over a complex plan to manipulate California power markets.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,UPDATE 3-US power market watchdog seeks record $470 mln from Barclays ,* Sets up potential precedent over "loss-leader" strategy,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121101,PRESS DIGEST - Financial Times - Nov 1 ,British Prime Minister David Cameron came under pressure to act tough on the European Union budget after losing a parliamentary vote on Wednesday.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121101,Nets' home opener against Knicks rescheduled ,The season-opener between the New York Knicks and Brooklyn Nets  postponed because of the havoc caused by Hurricane Sandy  has been rescheduled for November 26  the National Basketball Association said on Thursday.,topStory
