ACHN,Achillion Pharmaceuticals Inc,20120927,Achillion hepatitis C drug shows promise in early trial ,Achillion Pharmaceuticals Inc said an early-stage trial of its experimental hepatitis C treatment showed that a single dose of the drug significantly reduced the severity of the infection.,topStory
ADP,Automatic Data Processing Inc,20120927,TEXT-S&P summary: Aeroports de Paris ,Our base-case operating scenario for 2012 incorporates a 0.8% increase in  passengers travelling through ADP's airports. This low forecast reflects our  view that the economies of France and the European Economic and Monetary Union  (eurozone)--which in 2011 represented over 60% of traffic volumes at ADP's  airports--will remain weak in 2012  with growth returning in the second half  of 2013. Our GDP forecast for 2012  which we view as a key driver of passenger  numbers  is 0.3% for France and n,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DLBL,Barclays PLC,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DTYL,Barclays PLC,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
BIIB,Biogen Inc,20120927,Biogen's hemophilia drug meets late-stage trial goal ,Biogen Idec Inc said on Wednesday its experimental treatment for patients with hemophilia B  a rare inherited blood disorder that impairs coagulation  met the main goal of controlling bleeding in a late-stage trial.,topStory
CME,CME Group Inc,20120927,CME says to launch Chinese steel rebar swap futures ,SHANGHAI  Sept 27 The Chicago Mercantile Exchange will launch Chinese steel rebar swap futures on October 15  as it looks to tap growing appetite among investors to hedge their price exposure to the rebar futures traded in Shanghai.,topStory
DISH,DISH Network Corporation,20120927,Dish looking for programming for Web TV service: source ,Dish Network Corp has approached media companies  including Viacom Inc  about acquiring content for an Internet-based television service that would play live channels  according to a source familiar with the matter.,topStory
DISH,DISH Network Corporation,20120927,Dish looking for programming for Web TV service - source ,Sept 27 Dish Network Corp has approached media companies  including Viacom Inc  about acquiring content for an Internet-based television service that would play live channels  according to a source familiar with the matter.,normal
ENPH,Enphase Energy Inc,20120927,Enphase Energy names CFO ,Sept 27 Solar inverter maker Enphase Energy Inc  named Kris Sennesael as chief financial officer  replacing Sanjeev Kumar  effective immediately.,topStory
FB,Facebook Inc,20120927,California schools  employers banned from social media snooping ,SACRAMENTO Californians who use social media like Twitter and Facebook have a little more privacy protection from employers or universities who may want access to usernames or passwords after the governor signed two bills into law on Thursday.,topStory
FB,Facebook Inc,20120927,California schools  employers banned from social media snooping ,SACRAMENTO  Sept 27 Californians who use social media like Twitter and Facebook have a little more privacy protection from employers or universities who may want access to usernames or passwords after the governor signed two bills into law on Thursday.,normal
FB,Facebook Inc,20120927,Real gifts sold on Facebook as site taps commerce potential ,MENLO PARK  California Facebook Inc is taking a small step toward becoming an e-commerce platform by launching a feature for users to buy and send real gifts worth as much as hundreds of dollars.,normal
FB,Facebook Inc,20120927,Real gifts sold on Facebook as site taps commerce potential ,MENLO PARK  Calif. Sept 27 Facebook Inc  is taking a small step toward becoming an e-commerce platform by launching a feature for users to buy and send real gifts worth as much as hundreds of dollars.,normal
FSLR,First Solar Inc,20120927,First Solar names executive to help grow in China ,First Solar Inc  appointed Bruce Yung as managing director of business development for China as the largest U.S. solar panel maker looks to expand in the country.,topStory
FSLR,First Solar Inc,20120927,First Solar names executive to help grow in China ,Sept 27 First Solar Inc appointed Bruce Yung as managing director of business development for China as the largest U.S. solar panel maker looks to expand in the country.,normal
GLDD,Great Lakes Dredge & Dock Corporation,20120927,BRIEF - Moody's rates Great Lakes Dredge & Dock ,Sept 27 Moody's assigns Great Lakes Dredge & Dock SGL-2 liquidity rating,topStory
INTC,Intel Corporation,20120927,RPT-Intel zeroes in on enterprise customers with first tablet wave ,SAN FRANCISCO  Sept 27 Intel Corp roped in device makers such as Samsung Electronics Co Ltd and Hewlett Packard Co on Thursday to showcase tablets powered by its new "Atom" processor - a chip it hopes will help it biannually break into that crowded market.,topStory
INTC,Intel Corporation,20120927,Intel zeroes in on enterprise customers with first tablet wave ,SAN FRANCISCO Intel Corp roped in device makers such as Samsung Electronics Co Ltd and Hewlett Packard Co on Thursday to showcase tablets powered by its new "Atom" processor - a chip it hopes will help it biannually break into that crowded market.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
FLAT,iPath US Treasury Flattener ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
STPP,iPath US Treasury Steepener ETN,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
MU,Micron Technology Inc,20120927,Micron misses estimates on weak chip sales ,Micron Technology Inc posted lower-than-expected quarterly results as weak PC sales continue to weigh on its chip business.,topStory
MU,Micron Technology Inc,20120927,Micron 4th-qtr loss widens as sales fall ,Sept 27 Chipmaker Micron Technology Inc  posted a bigger loss and lower sales for the fourth quarter.,normal
MU,Micron Technology Inc,20120927,BRIEF-Micron Technology shares up after hours ,NEW YORK  Sept 27 Micron Technology Inc :  * Shares up 1.4 percent after hours,normal
MSFT,Microsoft Corporation,20120927,RPT-Intel zeroes in on enterprise customers with first tablet wave ,SAN FRANCISCO  Sept 27 Intel Corp roped in device makers such as Samsung Electronics Co Ltd and Hewlett Packard Co on Thursday to showcase tablets powered by its new "Atom" processor - a chip it hopes will help it biannually break into that crowded market.,topStory
MSFT,Microsoft Corporation,20120927,Intel zeroes in on enterprise customers with first tablet wave ,SAN FRANCISCO Intel Corp roped in device makers such as Samsung Electronics Co Ltd and Hewlett Packard Co on Thursday to showcase tablets powered by its new "Atom" processor - a chip it hopes will help it biannually break into that crowded market.,normal
MSFT,Microsoft Corporation,20120927,Nokia Lumia starts pricing for European launch ,HELSINKI Nokia's new Lumia smartphones will go on sale in November  taking on the iPhone 5 and Samsung Galaxy S III ahead of the Christmas season  but some analysts said the prices for the colorful handsets looked high.,normal
MSFT,Microsoft Corporation,20120927,EU set to charge Microsoft over ruling breach ,WARSAW/BRUSSELS Microsoft Corp will be charged for failing to comply with a 2009 ruling ordering it to offer a choice of web browsers  the European Union's antitrust chief said on Thursday  which could mean a hefty fine for the company.,normal
MSFT,Microsoft Corporation,20120927,UPDATE 2-EU set to charge Microsoft over ruling breach ,* EU regulators likely to use case to deter other companies,normal
MSFT,Microsoft Corporation,20120927,EU regulators set to charge Microsoft over breached deal ,WARSAW  Sept 27 EU regulators are preparing to charge U.S. software company Microsoft  for failing to comply with a 2009 ruling ordering it to offer users a choice of web browsers  the EU's antitrust chief said on Thursday.,normal
NFBK,Northfield Bancorp Inc,20120927,BRIEF-Moody's rates Northfield Park Associates CFR B2 ,Sept 27 Northfield Park Associates  LLC:  * Moody's assigns b2 cfr to Northfield park associates and b1 to proposed bank,topStory
SBGI,Sinclair Broadcast Group Inc,20120927,TEXT-S&P rates Sinclair Broadcast notes 'B' ,Overview      -- U.S. TV broadcaster Sinclair Television Group Inc. has proposed the  issuance of $500 million of senior notes due 2022.      -- We have assigned the notes our 'B' issue-level rating with a recovery  rating of '6'. We also raised the senior secured second-lien notes issue-level  rating to 'BB' from 'BB-'.      -- We affirmed all other ratings  including the 'BB-' corporate credit  rating on parent Sinclair Broadcast Group.      -- The stable rating outlook reflects our expectatio,topStory
CG,The Carlyle Group LP,20120927,EU mergers and takeovers (Sept 27) ,BRUSSELS  Sept 27 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
TCGP,The Carlyle Group LP,20120927,EU mergers and takeovers (Sept 27) ,BRUSSELS  Sept 27 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
TSCO,Tractor Supply Company,20120927,Tractor Supply appoints Gregory Sandfort CEO ,Sept 27 Farm and ranch products retailer Tractor Supply Co said Chief Executive James Wright will be replaced by Chief Operating Officer Gregory Sandfort effective Jan. 1  2013.,topStory
VSAT,ViaSat Inc,20120927,New Issue-ViaSat Inc adds $300 mln notes ,Sept 27 ViaSat Inc on Thursday added $300 million of senior unsecured notes to an existing issue  said IFR  a Thomson Reuters service.      The sale took place in the 144a private placement market.     Bank of America Merrill Lynch  JP Morgan  Credit Suisse  Morgan Stanley  and Wells Fargo were the joint bookrunning managers for the sale.  BORROWER: VIASAT INC   AMT $300 MLN    COUPON 6.875 PCT   MATURITY    06/15/2020 TYPE SR NTS     ISS PRICE 103.5    FIRST PAY   12/15/2012  MOODY',topStory
VSAT,ViaSat Inc,20120927,TEXT-S&P: ViaSat 'B+' rating unchanged after add-on ,Sept 27 - Standard & Poor's said today that satellite provider ViaSat Inc.'s ratings remain unchanged following its announced proposed $300 million tack-on to its existing $275 million of 6.875% senior unsecured notes due 2020. The company intends to use the proceeds to repay its $275 million of 8.875% notes  with the remainder to be used for general corporate purposes. Our other ratings on ViaSat  including its 'B+' corporate credit rating and stable outlook and the 'B+' issue level rating on i,normal
VSAT,ViaSat Inc,20120927,BRIEF - Moody's rates ViaSat Inc new add-on notes B1 ,Sept 27 Moody's rates ViaSat Inc new add-on notes B1  outlook remains negative,normal
VOD,Vodafone Group Plc,20120927,Vodafone says it will cost 500 million sterling to fix CWW ,LONDON Vodafone Group said it would cost about 500 million pounds ($807 million) to fix Cable & Wireless Worldwide (CWW) over the next four years but the payback by 2016 from the acquisition would be bigger than some analysts expected.,topStory
VOD,Vodafone Group Plc,20120927,UPDATE 1-Vodafone says it will cost 500 mln stg to fix CWW ,* Sees synergies of 150-200 million pounds a year by March 2016,normal
VOD,Vodafone Group Plc,20120927,BRIEF-Vodafone outlines costs  synergies of C&W buy ,LONDON  Sept 27 Vodafone Group PLC :  * Respect to cww acquisition  expect to incur integration costs of,normal
ABT,Abbott Laboratories,20120927,Abbott misstated credentials of spinoff CEO Gonzalez ,Abbott Laboratories  for years misstated that the executive handpicked to head its pending pharmaceutical spinoff held both bachelor's and master's degrees  but on Thursday called the misinformation "an administrative error.",topStory
ABT,Abbott Laboratories,20120927,UPDATE 1-Abbott misstated credentials of spinoff CEO Gonzalez ,Sept 27 Abbott Laboratories for years misstated that the executive handpicked to head its pending pharmaceutical spinoff held both bachelor's and master's degrees  but on Thursday called the misinformation "an administrative error.",normal
ABT,Abbott Laboratories,20120927,Abbott misstated credentials of spinoff CEO Gonzalez ,Sept 27 Abbott Laboratories for years misstated the educational credentials of the executive handpicked to head its pharmaceutical spinoff when the company splits on Jan. 1  but called the misinformation "an administrative error.",normal
ACN,Accenture plc,20120927,Accenture bets on outsourcing business to drive growth ,Accenture Plc forecast full-year earnings ahead of analyst estimates as it bolsters its outsourcing business to offset a slowdown in consulting  sending its shares up 5 percent in after-market trading.,topStory
ACN,Accenture plc,20120927,UPDATE 2-Accenture bets on outsourcing business to drive growth ,* Expects earnings of $4.22 to $4.30 per share in fiscal 2013,normal
ACN,Accenture plc,20120927,Accenture's quarterly profit falls ,Sept 27 Technology outsourcing and consulting company Accenture Plc posted a lower quarterly profit due to higher tax rates.,normal
ACN,Accenture plc,20120927,BRIEF-Accenture shares rise in extended trade after earnings ,NEW YORK  Sept 27 Accenture PLC :  * Shares rise 1.6 percent in extended trade after earnings,normal
ATU,Actuant Corporation,20120927,Actuant forecasts first-quarter profit largely below estimates ,Diversified manufacturer Actuant Corp  forecast current-quarter profit below analysts' estimates as the company expects lower demand for its business that caters to the automobile and agricultural markets.,topStory
ATU,Actuant Corporation,20120927,Actuant profit beats expectations on robust energy segment sales ,Sept 27 Diversified manufacturer Actuant Corp  posted a better-than-expected quarterly profit  helped by strong sales in its energy segment  and the company raised its full-year outlook.,normal
AA,Alcoa Corporation,20120927,Italy says Glencore request over Alcoa plant not acceptable ,MILAN  Sept 27 Italy said on Thursday it could not accept requests to provide deeply discounted energy prices to Swiss commodities trader Glencore if it were to agree to purchase the Italian smelter being closed by U.S. aluminium maker Alcoa.,topStory
AA,Alcoa Corporation,20120927,REFILE-RESEARCH ALERT-Dahlman Rose cuts Alcoa to hold ,Sept 27 Sept 27 Alcoa Inc :  * Dahlman Rose cuts Alcoa Inc to hold from buy,normal
AA,Alcoa Corporation,20120927,Australia issues 6.37 million CO2 units ,BEIJING  Sept 27 (Reuters Point Carbon) - Australia on Thursday issued 6.37 million free carbon units to companies seeking compensation from the country's CO2 pricing mechanisms  the government said  the first ever emission rights to be issued under Australia's carbon scheme.,normal
LNT,Alliant Energy Corporation,20120927,BRIEF-Moody's changes Alliant outlook to stable from negative ,Sept 27 Alliant Energy Corp :  * Moody's changes the outlooks of Alliant  ipl  and wpl to stable; affirms,topStory
AM,Antero Midstream Partners LP,20120927,TEXT-S&P puts American Greetings rating on watch negative ,Sept 27 - Overview      -- U.S. greeting cards manufacturer and distributor American Greetings  Corp. has received a "going private" offer from its CEO  and President and  COO.       -- We believe the company's credit profile could be weaker following the  transaction because of a likely increase in leverage  although we don't know  the financing details at this time.      -- We are placing all of our ratings on American Greetings  including the  'BB+' corporate credit rating  on CreditWatch wit,topStory
AZZ,AZZ Inc,20120927,Electrical equipment maker AZZ raises full-year forecast again ,Sept 27 Electrical equipment and components maker AZZ Inc reported quarterly results above market expectations  helped by a 50 percent jump in sales in its electrical and industrial products business  and raised its full-year forecast for the second time this year.,topStory
BAC,Bank of America Corporation,20120927,Bank of America tests technology to pay with phones ,CHARLOTTE  North Carolina Bank of America Corp is testing a technology that allows a customer to pay at a store register by simply scanning an image with a smartphone  such as Apple Inc's iPhone or Google Inc's Android devices.,topStory
BAC,Bank of America Corporation,20120927,Bank of America tests technology to pay with phones ,* Customers scan QR codes with their phones to make payments,normal
BCS,Barclays PLC,20120927,Barclays new vault opens for gold ,LONDON Too much gold and just nowhere to put it? A high security solution to bullion storage issues is at hand at a secret location somewhere inside London's orbital motorway - the first British bank-owned gold vault to open in over five years.,topStory
BBL,BHP Billiton plc,20120927,BHP says sees China's growth strengthening in H2 ,SHANGHAI  Sept 27 Mining giant BHP Billiton   expects China's economic growth to strengthen through the rest of the year  a senior company official said on Thursday.,topStory
BA,Boeing Company (The),20120927,EU seeks $12 billion trade sanctions on U.S. in Boeing row ,GENEVA The European Union on Thursday asked the World Trade Organization for the right to impose trade sanctions worth up to $12 billion annually on the United States in retaliation for illegal U.S. subsidies to planemaker Boeing .,topStory
BA,Boeing Company (The),20120927,UPDATE 3-EU seeks $12 bln trade sanctions on U.S. in Boeing row ,* Analyst: both sides unlikely to win full sanctions sought,normal
BA,Boeing Company (The),20120927,EU wants $12 bln annual trade sanctions on US in Boeing row ,GENEVA  Sept 27 The European Union has asked the World Trade Organization for the right to impose annual trade sanctions worth $12 billion on the United States in retaliation for illegal subsidies to planemaker Boeing  the WTO said on Thursday.,normal
BP,BP plc,20120927,BP fined for violating terminal spill response regulation ,HOUSTON BP Plc's division that oversees North American refineries has agreed to pay a $210 000 fine for violating federal regulations regarding spill response drills at a Maryland refined product terminal  regulators said.,topStory
BP,BP plc,20120927,BP fined for violating terminal spill response regulation ,HOUSTON  Sept 27 BP Plc's division that oversees North American refineries has agreed to pay a $210 000 fine for violating federal regulations regarding spill response drills at a Maryland refined product terminal  regulators said.,normal
BP,BP plc,20120927,TNK-BP co-owners to bid for entire BP stake ,MOSCOW The billionaires who own half of Russian oil firm TNK-BP  plan to make a cash offer for BP's  50 percent stake  raising the prospect of a bid contest with state-backed Rosneft  that would start at around $20 billion.,normal
BP,BP plc,20120927,Medvedev govt to rule on BP's sale of TNK-BP ,(For other news from Reuters Russia Investment Summit  click on http://www.reuters.com/summit/RussiaInvestment12),normal
BRS,Bristow Group Inc,20120927,TEXT-S&P rates Bristow Group notes 'BB' ,Sept 27 - Standard & Poor's Ratings Services today assigned its 'BB' issue rating to Bristow Group Inc.'s proposed $425 million senior unsecured note offering. We have assigned a '4' recovery rating to this debt  indicating our expectation of average (30% to 50%) recovery  albeit at the low end of this range  in the event of payment default. Our 'BB' corporate credit rating and negative outlook on the company remains unchanged.  Bristow plans to use the proceeds to redeem its $350 million of sen,topStory
BRS,Bristow Group Inc,20120927,BRIEF-Moody's rates Bristow's proposed notes Ba3 ,Sept 27 Bristow Group Inc :  * Moody's rates bristow's proposed notes ba3  * Rpt-moody's rates bristow's proposed notes ba3,normal
CPB,Campbell Soup Company,20120927,UPDATE 2-Campbell to close California plant as soup sales dip ,Sept 27 Campbell Soup Co said on Thursday it plans to close its Sacramento soup  sauce and beverage plant to cut costs as demand for its canned soups in the United States has declined.,topStory
CPB,Campbell Soup Company,20120927,Campbell to close California plant as soup volume wanes ,Campbell Soup Co  said on Thursday it plans to close its Sacramento soup  sauce and beverage plant to cut costs  as demand for its canned soups in the United States has declined.,normal
CAT,Caterpillar Inc,20120927,TEXT-Fitch comments on Caterpillar Inc ,Sept 27 - Fitch Ratings believes a softening outlook for heavy equipment sales to the global mining and construction industries could eventually lead to moderately weaker credit metrics for Caterpillar Inc. (CAT) and could potentially have the same effect on other companies with similar exposure to these industrial customers. Weakening demand for construction and mining-related equipment underscores continuing signs of slowing global economic growth. Rising mining costs in Australia as well as s,topStory
CBS,CBS Corporation,20120927,Dish looking for programming for Web TV service: source ,Dish Network Corp has approached media companies  including Viacom Inc  about acquiring content for an Internet-based television service that would play live channels  according to a source familiar with the matter.,topStory
CBS,CBS Corporation,20120927,Dish looking for programming for Web TV service - source ,Sept 27 Dish Network Corp has approached media companies  including Viacom Inc  about acquiring content for an Internet-based television service that would play live channels  according to a source familiar with the matter.,normal
CVX,Chevron Corporation,20120927,UPDATE 2-Transocean served with Brazil drilling injunction ,Sept 27 Transocean Ltd said on Thursday it was served with a preliminary injunction by a federal court in Brazil that will require the company's nine rigs operating in waters off the country to cease operations in 30 days.,topStory
CVX,Chevron Corporation,20120927,CORRECTED-Chevron pays $17.3 million Brazil spill fine ,RIO DE JANEIRO  Sept 27 Chevron Corp  the second largest U.S. oil company  paid a 35.1 million real ($17.3 million) fine levied by Brazil's petroleum regulator the ANP for irregularities related to a November oil spill  the ANP said in a statement on Thursday.,normal
SNP,China Petroleum & Chemical Corporation,20120927,China's Sinopec shuts plants for environmental checks ,BEIJING China's Sinopec Group  the parent of Sinopec Corp  has ordered the closure of three plants  including two refineries in the southern province of Guangdong  for environmental checks  the company said in a statement.,topStory
SNP,China Petroleum & Chemical Corporation,20120927,UPDATE 1-China's Sinopec shuts plants over environmental problems ,* Affected refineries have combined capacity of 370 000 bpd,normal
SNP,China Petroleum & Chemical Corporation,20120927,China's Sinopec shuts plants for environmental checks ,BEIJING  Sept 27 China's Sinopec Group  the parent of Sinopec Corp  has ordered the closure of three plants  including two refineries in the southern province of Guangdong  for environmental checks  the company said in a statement.,normal
C,Citigroup Inc,20120927,New Issue- Metso Corporation prices 400 mln euro 2019 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 200.1bp,topStory
C,Citigroup Inc,20120927,UPDATE 1-India's LIC Housing plans share sale-sources ,MUMBAI  Sept 27 India's LIC Housing Finance  has hired five banks including Citigroup and HSBC for an institutional share sale to raise between $250 million and $270 million  three sources with direct knowledge of the matter said on Thursday.,normal
CEO,CNOOC Limited,20120927,UPDATE 1-Two high-profile Canadian Conservatives back CNOOC deal ,OTTAWA/CALGARY  Alberta  Sept 27 Two former top aides to Canadian Prime Minister Stephen Harper said on Thursday he should approve a $15.1 billion bid by China's CNOOC Ltd  to take over Canadian oil producer Nexen Inc  saying the benefits outweigh the risks.,topStory
CEO,CNOOC Limited,20120927,Two high-profile Canadian Conservatives back CNOOC-Nexen deal ,Sept 27 Two former top aides to Canadian Prime Minister Stephen Harper said on Thursday he should approve a $15.1 billion bid by China's CNOOC Ltd to take over Canadian oil producer Nexen Inc  saying the benefits outweigh the risks.,normal
CEO,CNOOC Limited,20120927,China's CNOOC confident on Nexen deal after Canada talks: sources ,HONG KONG/BEIJING China's CNOOC Ltd  believes it is poised to win Canada's go-ahead for the $15.1 billion purchase of oil producer Nexen Inc   after talks with provincial leaders boosted its confidence that Canada values China as an investor in its huge oil sands sector and as a future energy customer  sources said.,normal
CEO,CNOOC Limited,20120927,China's CNOOC confident on Nexen deal after Canada talks -sources ,HONG KONG/BEIJING  Sept 27 China's CNOOC Ltd  believes it is poised to win Canada's go-ahead for the $15.1 billion purchase of oil producer Nexen Inc  after talks with provincial leaders boosted its confidence that Canada values China as an investor in its huge oil sands sector and as a future energy customer  sources said.,normal
CIG,Comp En De Mn Cemig ADS,20120927,Brazil's Cemig is interested in some assets of troubled Rede-CEO ,BRASILIA  Sept 27 Cemig Chief Executive Djalma Bastos de Morais said on Thursday that Brazil's No. 2 electricity producer is "interested" in some assets of smaller rival Grupo Rede Energia  which was recently seized by regulators after repeated service glitches and its failure to reduce debt.,topStory
CLGX,CoreLogic Inc,20120927,WaMu appraisal company settles with New York -sources ,NEW YORK  Sept 27 A company accused of inflating home appraisals under pressure from Washington Mutual Inc before the housing crisis agreed to pay $7.8 million on Thursday to settle with the New York attorney general  according to people familiar with the case.,topStory
DF,Dean Foods Company,20120927,BRIEF-Moody's: Dean Foods review for downgrade continues ,Sept 27 Dean Foods Co :  * Moody's says Dean Foods review for downgrade continues after announcement,topStory
DB,Deutsche Bank AG,20120927,New Issue-Deutsche Borse prices 600 mln euro 2022 bond ,September 27 (Reuters) -Following are terms and conditions,topStory
DFS,Discover Financial Services,20120927,Discover Financial 3rd-qtr profit falls ,Sept 27 Credit card company Discover Financial Services' third-quarter profit fell marginally as it increased legal expenses and set aside more money to cover bad debts.,topStory
DG,Dollar General Corporation,20120927,TEXT-S&P: Dollar General ratings unaffected by share repurchase ,Sept 27 - Standard & Poor's said today that its ratings on Dollar General Corp. (BBB-/Stable/--) are not affected by the company's recently announced $250 million share repurchase from Buck Holdings L.P. Although the pace of share repurchase is higher than we previously anticipated (reaching about $600 million in fiscal 2012)  this will not have a meaningful impact on the company's credit protection measures and we expect Dollar General to maintain an "intermediate" financial risk profile.,topStory
DTE,DTE Energy Company,20120927,TEXT-Fitch rates DTE Energy debentures 'BB+' ,Sept 27 - Fitch Ratings has assigned a rating of 'BB+' to DTE Energy Company's (DTE  IDR 'BBB' by Fitch) $200 million issuance of 5.25% Junior Subordinated debentures  2012 series C  due Dec. 1  2062. The Junior Subordinated debentures rank junior to other unsecured debt of DTE. Proceeds from the issuance will be used for general corporate purposes  including the purchase of a portfolio of on-site energy projects.  In Fitch's calculations  this instrument qualifies for 50% equity treatment due t,topStory
DTJ,DTE Energy Company,20120927,TEXT-Fitch rates DTE Energy debentures 'BB+' ,Sept 27 - Fitch Ratings has assigned a rating of 'BB+' to DTE Energy Company's (DTE  IDR 'BBB' by Fitch) $200 million issuance of 5.25% Junior Subordinated debentures  2012 series C  due Dec. 1  2062. The Junior Subordinated debentures rank junior to other unsecured debt of DTE. Proceeds from the issuance will be used for general corporate purposes  including the purchase of a portfolio of on-site energy projects.  In Fitch's calculations  this instrument qualifies for 50% equity treatment due t,topStory
