ALKS,Alkermes plc,20120906,BRIEF-Moody's raises Alkermes' CFR to B1 ,Sept 6 Alkermes Inc:  * Moody's rates alkermes' term loan b1; upgrades cfr to b1  * Rpt-moody's rates alkermes' term loan b1; upgrades cfr to b1,topStory
AAPL,Apple Inc,20120906,Sharp mortgages iPhone display plant  other Japanese factories ,TOKYO Japan's embattled Sharp Corp  has mortgaged nearly all of its domestic offices and factories  including one which makes screens for Apple Inc's  latest iPhone  to secure the fresh loans it needs to stay in business.,normal
AAPL,Apple Inc,20120906,Sharp mortgages iPhone display plant  other Japanese factories ,TOKYO  Sept 6 Japan's embattled Sharp Corp  has mortgaged nearly all of its domestic offices and factories  including one which makes screens for Apple Inc's  latest iPhone  to secure the fresh loans it needs to stay in business.,normal
AAPL,Apple Inc,20120906,South Korea probes Samsung over Apple antitrust complaints ,SEOUL South Korean regulators are investigating complaints filed by Apple Inc that Samsung Electronics Co is abusing its dominant position in wireless technology  the Korea Fair Trade Commission (FTC) said on Thursday.,normal
AAPL,Apple Inc,20120906,S.Korea probes Samsung over Apple antitrust complaints ,SEOUL  Sept 6 South Korean regulators are investigating complaints filed by Apple Inc that Samsung Electronics Co is abusing its dominant position in wireless technology  the Korea Fair Trade Commission (FTC) said on Thursday.,normal
ADP,Automatic Data Processing Inc,20120906,REFILE-CANADA FX-C$ touches session high after ADP data ,TORONTO  Sept 6 The Canadian dollar hit a session high against its U.S. counterpart on Thursday after data showed higher-than-expected private sector job gains in the United States  Canada's largest trading partner.,topStory
ADP,Automatic Data Processing Inc,20120906,TREASURIES-Prices fall on jobs data  ECB bond buy plan ,* U.S. private sector adds more jobs than expected in August     * ECB announces unlimited bond buying program     * U.S. weekly jobless claims come in lower than forecast      By Chris Reese     NEW YORK  Sept 6 U.S. Treasuries prices fell on Thursday as higher-than-expected private sector jobs growth in August and the European Central Bank's announcement of a bond-buying program undermined the safe-haven appeal of U.S. government debt.     U.S. private employers added 201 000 jobs ,normal
ADP,Automatic Data Processing Inc,20120906,TREASURIES-Prices fall on jobs data  ECB bond buy plan ,* U.S. private sector adds more jobs than expected in August     * ECB announces unlimited bond buying program     * U.S. weekly jobless claims come in lower than forecast      By Chris Reese     NEW YORK  Sept 6 U.S. Treasuries prices fell on Thursday as higher-than-expected private sector jobs growth in August and the European Central Bank's announcement of a bond-buying program undermined the safe-haven appeal of U.S. government debt.     U.S. private employers added 201 000 jobs ,normal
ADP,Automatic Data Processing Inc,20120906,UPDATE 1-US Aug private sector job growth beats expectations-ADP ,NEW YORK  Sept 6 U.S. private employers added a better than expected 201 000 jobs in August  a report by a payrolls processor showed on Thursday  a rare dash of good news for the country's struggling labor market.,normal
ADP,Automatic Data Processing Inc,20120906,US STOCKS SNAPSHOT-Futures add to gains after ADP data ,NEW YORK  Sept 6 U.S. stock index futures added to gains after data from payrolls processor Automatic Data Processing showed employers added more private sector jobs than expected in August.,normal
CZR,Caesars Entertainment Corporation,20120906,TEXT-Fitch credit analysis on Caesars Entertainment after outlook revised to negative ,Sept 6 () - Fitch Ratings today published a comprehensive credit update on Caesars Entertainment Corp. (Caesars). It includes detailed analysis of Caesar's primary operating subsidiary (Caesars Entertainment Operating Co.  OpCo) and of its related subsidiaries.  Today's report follows Fitch's Sept. 5  2012 revision of the Rating Outlook on Caesars (IDR 'CCC') and certain subsidiaries to Negative from Stable. The OpCo's near- to medium-term cash burn rate is a key driver of the Negative Outlook  ,topStory
CBOE,CBOE Holdings Inc,20120906,CBOE to open London hub for VIX futures ,CHICAGO CBOE Holdings Inc   which runs the oldest and largest U.S. stock-options exchange  is planning to open a base in London for its fast-growing futures market as it tries to woo more clients from abroad.,topStory
CBOE,CBOE Holdings Inc,20120906,UPDATE 1-CBOE to open London hub for VIX futures ,CHICAGO  Sept 6 CBOE Holdings Inc  which runs the oldest and largest U.S. stock-options exchange  is planning to open a base in London for its fast-growing futures market as it tries to woo more clients from abroad.,normal
ESGR,Enstar Group Limited,20120906,Enstar to buy HSBC's North American closed-life insurance ops ,Enstar Group Ltd  said it would buy the U.S. and Canadian closed-life insurance operations of HSBC Finance  a unit of HSBC Holdings Plc   for a base price of $181 million.,topStory
ESGR,Enstar Group Limited,20120906,Enstar to buy HSBC's North American closed-life insurance ops ,Sept 6 Enstar Group Ltd said it would buy the U.S. and Canadian closed-life insurance operations of HSBC Finance  a unit of HSBC Holdings Plc  for a base price of $181 million.,normal
ESRX,Express Scripts Holding Company,20120906,Walgreen loses key Express customer; August sales drop ,Walgreen Co  on Thursday posted an 8.2 percent decline in sales at existing stores in August  a day after a key healthcare benefits provider said it would not reinstate Walgreen into the pharmacies approved to fill prescriptions.,topStory
ESRX,Express Scripts Holding Company,20120906,UPDATE 1-Walgreen loses key Express customer; August sales down ,Sept 6 Walgreen Co on Thursday posted an 8.2 percent decline in sales at existing stores in August  a day after a key healthcare benefits provider said it would not reinstate Walgreen into the pharmacies approved to fill prescriptions.,normal
FB,Facebook Inc,20120906,PRESS DIGEST - Financial Times - Sept 7 ,The European Central Bank agreed on Thursday to launch a new and potentially unlimited bond-buying programme to solve the euro zone crisis.,topStory
FULT,Fulton Financial Corporation,20120906,TEXT-Fitch affirms Fulton Financial Corp ,Sept 6 - Fitch Ratings has affirmed the long-term and short-term Issuer Default  Ratings (IDRs) of Fulton Financial Corporation (FULT) at 'A-' and 'F1'  respectively. The Rating Outlook is Stable. A complete list of ratings follows  at the end of this release.  The ratings affirmation reflects earnings performance and asset quality  improvement in line with Fitch's expectations. Further improvement is expected  in line with peer institutions to maintain its current rating. Profitability  improve,topStory
CALL,magicJack VocalTec Ltd,20120906,MagicJack raises forecast on strong demand  shares up ,Sept 6 Israel-based MagicJack Vocaltec Ltd   a provider of internet-based phone services  raised its full-year forecast on strong sales of its new MagicJack Plus product and lower costs.,topStory
MU,Micron Technology Inc,20120906,Micron  SanDisk jump after OCZ warns of shortage ,SAN FRANCISCO Shares of chipmakers Micron  and SanDisk  surged on Thursday after a solid-state drive maker warned of component shortages  increasing expectations that production cutbacks are tightening the market for flash memory chips.,topStory
MSFT,Microsoft Corporation,20120906,Microsoft to hire 1 000 in China over next year: executive ,BEIJING Microsoft will hire 1 000 staff in China over the coming year  adding to the 4 500 the company already employs in the country  a senior executive said on Thursday.,topStory
MSFT,Microsoft Corporation,20120906,UPDATE 1-Microsoft to hire 1 000 in China over next year -exec ,* Sees China R&D spending rising 15 pct over next year   (Adds details),normal
MSFT,Microsoft Corporation,20120906,Nokia's new Windows phones  key to its future  disappoint ,NEW YORK/HELSINKI Nokia's new Lumia smartphones drew a quick thumbs-down from investors looking for transformational handsets to rescue the struggling Finnish company  sending the firm's shares tumbling 13 percent. | Video ,normal
MSFT,Microsoft Corporation,20120906,Microsoft to hire 1 000 in China over next year -exec ,BEIJING  Sept 6 Microsoft will hire 1 000 staff in China over the coming year  adding to the 4 500 the company already employs in the country  a senior executive said on Thursday.,normal
NWS,News Corporation,20120906,News Corp cuts Murdoch's 2012 bonus  citing scandal ,NEW YORK News Corp  has cut this year's bonuses for four top executives  including mogul Rupert Murdoch and his son James  after a phone-hacking scandal at the now-shuttered British newspaper The News of the World  a regulatory filing showed.,topStory
NWS,News Corporation,20120906,News Corp cuts Murdoch's 2012 bonus  citing scandal ,NEW YORK  Sept 5 News Corp has cut this year's bonuses for four top executives  including mogul Rupert Murdoch and his son James  after a phone-hacking scandal at the now-shuttered British newspaper The News of the World  a regulatory filing showed.,normal
NWSA,News Corporation,20120906,News Corp cuts Murdoch's 2012 bonus  citing scandal ,NEW YORK News Corp  has cut this year's bonuses for four top executives  including mogul Rupert Murdoch and his son James  after a phone-hacking scandal at the now-shuttered British newspaper The News of the World  a regulatory filing showed.,topStory
NWSA,News Corporation,20120906,News Corp cuts Murdoch's 2012 bonus  citing scandal ,NEW YORK  Sept 5 News Corp has cut this year's bonuses for four top executives  including mogul Rupert Murdoch and his son James  after a phone-hacking scandal at the now-shuttered British newspaper The News of the World  a regulatory filing showed.,normal
NVDA,NVIDIA Corporation,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO Amazon.com Inc's decision to use a processor made by Texas Instruments Inc for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,topStory
NVDA,NVIDIA Corporation,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO  Sept 6 Amazon.com Inc's  decision to use a processor made by Texas Instruments Inc  for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,normal
STX,Seagate Technology PLC,20120906,Needham downgrades Seagate  cuts price target on Western Digital ,Needham & Co downgraded Seagate Technology Plc  two notches to "hold " citing slower demand for its hard drives and storage devices and rising inventory levels in the industry.,topStory
SHPG,Shire plc,20120906,BRIEF-Shire settles Intuniv litigation with Anchen ,LONDON  Sept 6 Shire PLC :  * Shire settles all pending intuniv litigation with anchen  * Settlement provides twi pharma with license to make anchen license to market ,topStory
TXN,Texas Instruments Incorporated,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO Amazon.com Inc's decision to use a processor made by Texas Instruments Inc for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,topStory
TXN,Texas Instruments Incorporated,20120906,Nvidia's miss in Kindle Fire surprises some investors ,SAN FRANCISCO  Sept 6 Amazon.com Inc's  decision to use a processor made by Texas Instruments Inc  for its newest Kindle Fire tablets has surprised some investors and experts who thought Nvidia Inc's Tegra 3 chip would be tapped for the high-profile device.,normal
DSGX,The Descartes Systems Group Inc,20120906,Descartes Systems' profit falls on higher acquisition costs ,Sept 6 Descartes Systems Group Inc  which develops software for companies to manage their inventories and truck fleets  reported a 4 percent fall in quarterly profit on acquisition related costs.,topStory
ULTA,Ulta Beauty Inc,20120906,BRIEF-Ulta Salon climbs 6.4 percent in extended trading ,NEW YORK  Sept 6 Ulta Salon Cosmetics and Fragrance Inc  :  * Shares climb 6.4 percent in extended trading,topStory
WDC,Western Digital Corporation,20120906,Needham downgrades Seagate  cuts price target on Western Digital ,Needham & Co downgraded Seagate Technology Plc  two notches to "hold " citing slower demand for its hard drives and storage devices and rising inventory levels in the industry.,topStory
AIR,AAR Corp,20120906,AAR Corp shares jump on strong 1st-qtr estimates ,Shares of AAR Corp  rose as much as 12 percent after the aircraft parts supplier's estimates for its quarterly results came in above analysts' expectations  boosted by a 40 percent jump in sales to commercial customers.,topStory
AIR,AAR Corp,20120906,Rosneft takes time out in TNK-BP talks ,VLADIVOSTOK  Russia Russia's Rosneft  has taken time out in talks to buy a stake in TNK-BP  to avoid falling foul of a shareholder's agreement between its current owners  Rosneft CEO Igor Sechin said on Thursday.,normal
APD,Air Products and Chemicals Inc,20120906,TEXT-S&P rates Air Products & Chemicals notes ,Sept 6 - Standard & Poor's Ratings Services today assigned its 'A' issue-level rating to Allentown  Pa.-based Air Products and Chemicals Inc.'s  proposed $400 million senior unsecured notes due 2017.  Air Products will use proceeds of the note offering for general corporate  purposes. The existing ratings on Air Products are unchanged. The outlook is  stable.   Standard & Poor's Ratings Services' ratings on Air Products and Chemicals Inc.  reflect our view of the company's strong business risk p,topStory
APD,Air Products and Chemicals Inc,20120906,New Issue-Air Products & Chemicals sells $400 mln in notes ,Sept 6 Air Products and Chemicals Inc on Thursday sold $400 million of senior unsecured notes  said IFR  a Thomson Reuters service.     Bank of America Merrill Lynch and Morgan Stanley were the joint bookrunning managers for the sale.  BORROWER: AIR PRODUCTS AND CHEMICALS   AMT $400 MLN    COUPON 1.2 PCT     MATURITY    10/15/2017 TYPE SR NTS     ISS PRICE 99.896   FIRST PAY    4/15/2013 MOODY'S A2      YIELD 1.221 PCT    SETTLEMENT   9/13/2012    S&P SINGLE-A    SPREAD 55 BPS      P,normal
APD,Air Products and Chemicals Inc,20120906,BRIEF-Moody's rates Air Products notes A2 ,Sept 6 Air Products and Chemicals Inc :  * Moody's assigns a2 rating to air products' new 5 year notes  * Rpt-moody's assigns a2 rating to air products' new 5 year notes,normal
AA,Alcoa Corporation,20120906,Italy minister says cannot guarantee Alcoa jobs ,BRUSSELS  Sept 6 The Italian government cannot give assurances that it will protect jobs at Alcoa Inc's loss-making aluminium plant in Sardinia  Welfare Minister Elsa Fornero said on Thursday.,topStory
Y,Alleghany Corporation,20120906,TEXT-Fitch rates Alleghany Corp senior deb 'BBB' ,Sept 6 - Fitch Ratings has assigned ratings to Alleghany Corporation  (Alleghany) as follows:  --Issuer Default Rating (IDR) at 'A-'; --Senior debt at 'BBB'.  Fitch has also assigned ratings to Transatlantic Holdings  Inc. (Transatlantic) as follows:  --IDR at 'A-'; --Senior debt at 'BBB+'.  In addition  Fitch has assigned an 'A+' Insurer Financial Strength (IFS) rating to Transatlantic's property/casualty reinsurance subsidiaries and an 'A' IFS rating to RSUI Group  Inc.'s (RSUI) property/casua,topStory
AIG,American International Group Inc,20120906,Deals of the day -- mergers and acquisitions ,Sept 6 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
AIG,American International Group Inc,20120906,AIG launches AIA sale to help fund $5 billion buyback ,HONG KONG American International Group Inc launched a widely expected sale of a stake in its former Asian unit AIA  providing the insurer with funding to help repurchase up to $5 billion of its stock from the U.S. government.,normal
AIG,American International Group Inc,20120906,UPDATE 5-AIG launches AIA sale to help fund $5 bln buyback ,* AIA selldown comes two days after lock-up expiry     * Shares offered at 2.1 pct discount-1.7 pct premium range     * Deutsche Bank  Goldman Sachs lead AIA selldown     * Analyst says size of sale and buyback disappointing       By Elzio Barreto and Fiona Lau     HONG KONG  Sept 6 American International Group Inc launched a widely expected sale of a stake in its former Asian unit AIA  providing the insurer with funding to help repurchase up to $5 billion of its stock from the U.S. ,normal
AIG,American International Group Inc,20120906,AIG  Goldman lead Gimme Credit list of top debt issuers ,Sept 6 Four years after it teetered on the brink of bankruptcy and had to be saved by a record-breaking government bailout  insurer AIG is now one of the most attractive issuers of investment-grade debt in the country  research firm Gimme Credit said on Thursday.,normal
AIG,American International Group Inc,20120906,AIG offers up to $2 bln stake of AIA Group in block sale - IFR ,HONG KONG  Sept 6 U.S. insurer American International Group plans to raise up to $2 billion by selling part of its stake in AIA Group Ltd  IFR reported on Thursday  citing a term sheet of the deal.,normal
ASH,Ashland Global Holdings Inc,20120906,UPDATE 2-Head of Ashland's water unit leaves company ,* Head of specialty unit to temporarily oversee water unit,topStory
ASH,Ashland Global Holdings Inc,20120906,Head of Ashland's water unit leaves for "other opportunities" ,NEW YORK  Sept 6 The head of Ashland Inc's  water technology business  which brings in roughly a quarter of the chemical maker's annual sales and supplies paper and municipal customers  has left the company.,normal
AVB,AvalonBay Communities Inc,20120906,New Issue - AvalonBay sells $450 mln in notes ,Sept 6 AvalonBay Communities Inc on Thursday sold $450 million of senior unsecured notes  said IFR  a Thomson Reuters service.      The size of the deal was increased from the originally planned $400 million.      UBS  J.P. Morgan and Goldman Sachs were the joint bookrunning managers for the sale.  BORROWER: AVALONBAY      AMT $450 MLN    COUPON 2.95 PCT    MATURITY    09/15/2022    TYPE SR NTS     ISS PRICE 99.785   FIRST PAY   03/15/2013  MOODY'S Baa1    YIELD 2.975 PCT    SETTLEME,topStory
BAC,Bank of America Corporation,20120906,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies Thursday  September 6  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reserve ,topStory
BZH,Beazer Homes USA Inc,20120906,TEXT-Fitch raises Beazer Homes USA ratings ,Sept 6 - Fitch Ratings has upgraded the Issuer Default Rating (IDR) of Beazer Homes USA  Inc. (NYSE: BZH) to 'B-' from 'CCC'.  The Rating Outlook is Stable.  A full list of rating actions follows at the end of  this press release.     The upgrade and the Stable Outlook reflect Beazer's operating performance so far this year  its robust cash position  and moderately better prospects for the  housing sector during the remainder of this year and in 2013.  The rating is  also supported by the compan,topStory
BA,Boeing Company (The),20120906,Air India takes delivery of its first Boeing 787 Dreamliner ,CHARLESTON  South Carolina  Sept 6 Air India  took delivery of its first Boeing 787 commercial widebody airplane on Thursday at Boeing Co's final assembly plant after a months-long dispute between airline and manufacturer over compensation for a four-year production delay.,topStory
BP,BP plc,20120906,BP executives sought to blame "blue collar rig workers": U.S. ,WASHINGTON BP executives wanted to concentrate blame for the Deepwater Horizon oil spill disaster on "blue collar rig workers" in order to save themselves  U.S. government lawyers wrote in a court document that until Thursday was partially redacted.,topStory
BP,BP plc,20120906,BP executives sought to blame 'blue collar rig workers' -US ,* Federal judge ordered full BP court document made public,normal
BP,BP plc,20120906,Analysis: U.S. government attack on BP shows readiness for court battle ,WASHINGTON In accusing BP Plc  of gross negligence and willful misconduct over the 2010 Deepwater Horizon oil spill  the U.S. Justice Department has shown that it is prepared for a bruising court struggle with the London-based oil giant.,normal
BP,BP plc,20120906,Rosneft takes time out in TNK-BP talks ,VLADIVOSTOK  Russia Russia's Rosneft  has taken time out in talks to buy a stake in TNK-BP  to avoid falling foul of a shareholder's agreement between its current owners  Rosneft CEO Igor Sechin said on Thursday.,normal
BP,BP plc,20120906,CORRECTED-UPDATE 1-Rosneft takes time out in TNK-BP talks ,VLADIVOSTOK  Russia  Sept 6 Russia's Rosneft  has taken time out in talks to buy a stake in TNK-BP  to avoid falling foul of a shareholder's agreement between its current owners  Rosneft CEO Igor Sechin said on Thursday.,normal
BP,BP plc,20120906,Analysis: U.S. government attack on BP shows readiness for court battle ,WASHINGTON In accusing BP Plc of gross negligence and willful misconduct over the 2010 Deepwater Horizon oil spill  the U.S. Justice Department has shown that it is prepared for a bruising court struggle with the London-based oil giant.,normal
CAJ,Canon Inc,20120906,Japan's Nikkei eases ahead of key ECB meeting ,* Sharp sinks after Moody's cuts its debt rating to 'junk'     * Canon up  takes aim at opthalmic market     * ECB purchases could be bad for Spain  Italy - analyst      By Sophie Knight     TOKYO  Sept 6 Japan's Nikkei average inched up on Thursday  barely stirring through the morning session as investors awaited a European Central Bank policy review in hope of new measures to tackle the euro zone debt crisis.     Embattled TV maker Sharp Corp was the most-traded stock on the main b,topStory
CHK,Chesapeake Energy Corporation,20120906,Chesapeake asset deals going as planned: CEO ,Chesapeake Energy Corp  will sell up to $14 billion in assets by the end of the year as planned  with proceeds targeted to debt reduction  the company's chief executive said on Thursday.,topStory
CHK,Chesapeake Energy Corporation,20120906,UPDATE 1-Chesapeake asset deals going as planned-CEO ,Sept 6 Chesapeake Energy Corp will sell up to $14 billion in assets by the end of the year as planned  with proceeds targeted to debt reduction  the company's chief executive said on Thursday.,normal
CHK,Chesapeake Energy Corporation,20120906,BRIEF-Chesapeake CEO says planned asset sales on track ,HOUSTON  Sept 6 Chesapeake Energy Corp :  * Expects $11.7 billion in deals to be announced or completed by end of,normal
CVX,Chevron Corporation,20120906,UPDATE 1-Venezuela restarting Petropiar upgrader after maintenance ,PUERTO LA CRUZ  Venezuela  Sept 5 A maintenance shutdown of Venezuela's Petropiar oil upgrader is over  but a full return to production could still take two weeks  said the senior executive for the Venezuelan unit of Chevron  a partner at the facility.,topStory
CEA,China Eastern Airlines Corporation Ltd,20120906,China Eastern Airlines shares suspended - HKEx ,HONG KONG  Sept 6 Trading in H-shares of China Eastern Airlines Corp Ltd < 0670.HK> was suspended on Thursday  according to a filing on the Hong Kong exchange.,topStory
SNP,China Petroleum & Chemical Corporation,20120906,Sinopec  ENN extend $2.2 bln offer for China Gas again ,HONG KONG  Sept 7 China Petroleum & Chemical Corp (Sinopec) and ENN Energy Holdings Ltd  have extended their $2.2 billion offer for China Gas Holdings Ltd for the fifth time as they seek regulatory approvals to move ahead with Hong Kong's first unsolicited takeover bid.,topStory
C,Citigroup Inc,20120906,Citigroup launches commodity trade finance business ,LONDON U.S. bank Citigroup  has launched a commodity trade finance unit  expanding into a sector once dominated by European lenders who have been shrinking their activities to cope with the euro zone debt crisis.,topStory
C,Citigroup Inc,20120906,UPDATE 2-Citigroup launches commodity trade finance business ,LONDON  Sept 6 U.S. bank Citigroup has launched a commodity trade finance unit  expanding into a sector once dominated by European lenders who have been shrinking their activities to cope with the euro zone debt crisis.,normal
CEO,CNOOC Limited,20120906,UPDATE 1-Canada PM says CNOOC's Nexen bid to be closely studied ,* Extra Canada scrutiny linked to size of proposed deal- PM,topStory
CEO,CNOOC Limited,20120906,Canada PM says CNOOC's Nexen bid to get special treatment ,VANCOUVER  Sept 6 The Canadian government must consider a range of additional factors in its review of Chinese oil company CNOOC's $15.1 billion takeover bid for Canadian oil company Nexen Inc because CNOOC is state owned  Prime Minister Stephen Harper said on Thursday.,normal
CEO,CNOOC Limited,20120906,Deals of the day -- mergers and acquisitions ,Sept 6 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,normal
KO,Coca-Cola Company (The),20120906,SunTrust speeds up sale of Coke shares for $1.9 billion gain ,SunTrust Banks Inc  has accelerated a planned sale of Coca-Cola Co  shares it owns in a move that it said will produce a $1.9 billion pre-tax gain and reduce volatility in its capital ratios.,topStory
KO,Coca-Cola Company (The),20120906,UPDATE 1-SunTrust speeds up sale of Coke shares for $1.9 bln gain ,Sept 6 SunTrust Banks Inc has accelerated a planned sale of Coca-Cola Co shares it owns in a move that it said will produce a $1.9 billion pre-tax gain and reduce volatility in its capital ratios.,normal
KO,Coca-Cola Company (The),20120906,SunTrust speeds up sale of Coke shares for $1.9 bln gain ,Sept 6 SunTrust Banks Inc has accelerated a planned sale of Coca-Cola Co shares it owns in a move that it said will produce a $1.9 billion pre-tax gain and reduce volatility in its capital ratios.,normal
CNX,CONSOL Energy Inc,20120906,UPDATE 1-U.S. miner Consol sees steelmaking coal prices up in 2013 ,* Sees metallurgical coal price at $215-$230/tonne in 2013,topStory
CNX,CONSOL Energy Inc,20120906,BRIEF-Demand for steelmaking coal expected to increase next year - CONSOL Energy Inc CEO ,Sept 6 CONSOL Energy Inc :  * Demand for steelmaking coal expected to increase next year - CONSOL Energy,normal
COO,Cooper Companies Inc (The),20120906,BRIEF-Cooper shares up 5.8 percent in extended trading ,NEW YORK  Sept 6 Cooper Companies Inc :  * Shares up 5.8 percent in extended trading,topStory
DRI,Darden Restaurants Inc,20120906,Darden Restaurants hit with lawsuit over wages ,MIAMI Darden Restaurants Inc  best known for its Olive Garden and Red Lobster chains  was hit with a lawsuit in federal court in Miami on Thursday accusing one of the largest U.S. restaurant operators of violating federal labor laws by underpaying workers at its popular eateries across the country.,topStory
DRI,Darden Restaurants Inc,20120906,Darden Restaurants hit with lawsuit over wages ,MIAMI  Sept 6 Darden Restaurants Inc  best known for its Olive Garden and Red Lobster chains  was hit with a lawsuit in federal court in Miami on Thursday accusing one of the largest U.S. restaurant operators of violating federal labor laws by underpaying workers at its popular eateries across the country.,normal
DAL,Delta Air Lines Inc,20120906,UPDATE 1-Delta Air unit restarts refinery  jet fuel on the way ,* Trainer  Pa. refinery restarting after being closed a year,topStory
DAL,Delta Air Lines Inc,20120906,Trainer refinery restarting  full jet production by end of Sept ,NEW YORK  Sept 6 Monroe Energy LLC  a unit of Delta Air Lines  is in the process of restarting the 185 000 barrel-per-day refinery it bought last spring  with full jet fuel capacity by month's end  a spokesman for the nation's second largest air carrier said on Wednesday.,normal
DAL,Delta Air Lines Inc,20120906,Delta sees solid third-quarter profit  notes rising fuel cost ,Delta Air Lines Inc  said on Thursday it expects a "solidly profitable" third quarter even as rising fuel prices pressure margins.,normal
