ATVI,Activision Blizzard Inc,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
MSFT,Microsoft Corporation,20121108,UPDATE 2-Activision raises outlook on hopes for 'Call of Duty' ,SAN FRANCISCO  Nov 7 Activision Blizzard Inc  raised its 2012 outlook on Wednesday on expectations of strong holiday sales of its latest title in the "Call of Duty" franchise  despite competition from Microsoft Corp's  blockbuster "Halo 4.",topStory
MDLZ,Mondelez International Inc,20121108,UPDATE 5-Kraft  Mondelez stand by 2013 forecasts ,Nov 7 Kraft Foods Group Inc and Mondelez International Inc both stood by their full-year 2013 forecasts on Wednesday in their first earnings reports as standalone companies following last month's breakup.,topStory
MNST,Monster Beverage Corporation,20121108,Monster Bev. profit misses  again rejects safety claims ,Monster Beverage Corp   facing investigations into the safety of its energy drinks  reported a smaller-than-expected quarterly profit as it stepped up promotional spending.,topStory
MNST,Monster Beverage Corporation,20121108,UPDATE 2-Monster Bev. profit misses  again rejects safety claims ,Nov 7 Monster Beverage Corp  facing investigations into the safety of its energy drinks  reported a smaller-than-expected quarterly profit as it stepped up promotional spending.,normal
MORN,Morningstar Inc,20121108,Dean Foods lifts view after earnings beat ,Dean Foods Co  on Thursday reported a better-than-expected quarterly profit and raised its full-year outlook as strong sales of soy milk and other products offset declines in its fresh dairy business  sending its shares up nearly 3 percent.,topStory
MORN,Morningstar Inc,20121108,DIARY-U.S. MEETINGS / DAY AHEAD ,THOMSON REUTERS  Corporate Meetings for US Companies for Thursday  November 8  2012.       S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        Meetings - Weekly                   S&P 500 Earnings - Monthly          Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Reser,normal
NFLX,Netflix Inc,20121108,Icahn says has mulled Netflix takeover  no decision made ,Activist investor Carl Icahn  who holds an almost 10 percent stake in Netflix  said on Thursday he has considered a hostile takeover bid for Netflix  but it was uncertain he stood a chance of acquiring the Internet streaming service.,topStory
NFLX,Netflix Inc,20121108,Icahn says has mulled Netflix takeover  no decision made ,Nov 8 Activist investor Carl Icahn  who holds an almost 10 percent stake in Netflix  said on Thursday he has considered a hostile takeover bid for Netflix  but it was uncertain he stood a chance of acquiring the Internet streaming service.,normal
NWS,News Corporation,20121108,BRIEF - Moody's comments on News Corp's acquisition of CMH ,Nov 8 Moody's says News Corp's acquisition of CMH will not impact its Baa1 rating,topStory
NWSA,News Corporation,20121108,BRIEF - Moody's comments on News Corp's acquisition of CMH ,Nov 8 Moody's says News Corp's acquisition of CMH will not impact its Baa1 rating,topStory
NVDA,NVIDIA Corporation,20121108,BRIEF-NVIDIA says gaining market share in PC graphics chips ,SAN FRANCISCO  Nov 8 NVIDIA Corp :  * CEO says gaining market share in PC graphics chips  * CEO says taking cautious approach to financial outlook due to uncertainty in,topStory
NVDA,NVIDIA Corporation,20121108,UPDATE 2-Nvidia eyes lower quarterly revenue  starts dividend ,SAN FRANCISCO  Nov 8 Graphics chipmaker Nvidia  initiated a quarterly dividend that helped send its shares higher and forecast quarterly revenue below expectations as it pushes further into a growing tablet market to offset weak PC demand.,normal
NVDA,NVIDIA Corporation,20121108,Nvidia eyes lower quarterly revenue  starts dividend ,SAN FRANCISCO Nvidia forecast quarterly revenue below expectations and also initiated a quarterly dividend as the graphics chipmaker pushes further into a growing tablet market to offset weak PC demand.,normal
NVDA,NVIDIA Corporation,20121108,Nvidia quarterly revenue meets expectations  initiates dividend ,SAN FRANCISCO  Nov 8 Nvidia's third-quarter revenue met expectations as the graphics chipmaker pushed further into a growing tablet market to offset weak PC demand.,normal
PLXS,Plexus Corp,20121108,CORRECTED-UPDATE 1-Plexus loses Juniper's business  shares tumble (Nov. 6) ,(Corrects paragraph 5 to make clear Plexus was referring to fiscal year  not calendar year. The story was earlier corrected to fix spelling of Plexus in paragraph 3.),topStory
QCOM,QUALCOMM Incorporated,20121108,Qualcomm revenue beats Street  shares rise ,NEW YORK Qualcomm Inc  posted quarterly earnings and revenue that blew past Wall Street expectations and sent its shares up 8 percent as demand increased for chips used in devices such as the Apple Inc  iPhone and it overcame a supply shortage.,topStory
QCOM,QUALCOMM Incorporated,20121108,UPDATE 4-Qualcomm revenue beats Street  shares rise ,* Sees strong 2013 despite increased competition  weak economy,normal
SASR,Sandy Spring Bancorp Inc,20121108,New tax relief for Sandy victims and volunteers ,NEW YORK The hard-hit victims of superstorm Sandy have received donations of blankets  cleaning supplies and diapers. Now there may be more aid flowing their way: tax help.,topStory
SASR,Sandy Spring Bancorp Inc,20121108,UPDATE 1-Nor'easter slows Sandy power restoration in NY and NJ ,Nov 8 A nor'easter Wednesday in New York and New Jersey knocked power out for hundreds of thousands of people and slowed utilities' efforts to restore service to more than 600 000 still without power in the wake of Hurricane Sandy.,normal
SASR,Sandy Spring Bancorp Inc,20121108,TEXT - Fitch on U.S. insurers post-Sandy ,(The following statement was released by the rating agency) Link to Fitch Ratings' Report: Hurricane Sandy â€” Sensitivity Analysis of Insured  Loss Scenarios http://www.fitchratings.com/creditdesk/reports/report_frame.cfm?rpt_id=694791  Nov 8 - Fitch Ratings has published an updated analysis of potential affects for the U.S. insurance industry following losses incurred from Hurricane Sandy.    Catastrophe modeling firms have made preliminary estimates ranging from a $10 -  $20 billion insured l,normal
SASR,Sandy Spring Bancorp Inc,20121108,Nor'easter slows Sandy power restoration in NY and NJ ,Nov 8 A nor'easter Wednesday in New York and New Jersey knocked power out for hundreds of thousands of people and slowed utilities' efforts to restore service to more than 600 000 still without power in the wake of Hurricane Sandy.,normal
SASR,Sandy Spring Bancorp Inc,20121108,Factbox: 662 000 still without power in East due to Sandy ,More customers in New York and New Jersey were without power Thursday morning than Wednesday due to a nor'easter that knocked out over 300 000 customers and slowed utilities' efforts to restore power outages from Hurricane Sandy.,normal
SBUX,Starbucks Corporation,20121108,UPDATE 1-Green Mountain unveils Keurig Rivo cappuccino maker ,Nov 8 Green Mountain Coffee Roasters Inc  announced the launch of Keurig Rivo  its long-awaited  single-cup espresso machine  on Thursday  sending its shares up more than 2 percent.,topStory
TTWO,Take-Two Interactive Software Inc,20121108,Icahn increases stake in video game maker Take-Two ,Activist investor Carl Icahn raised his stake in video game publisher Take-Two Interactive Software Inc  to 10.6 percent from 9.5 percent  according to a regulatory filing on Thursday.,topStory
TTWO,Take-Two Interactive Software Inc,20121108,Icahn increases stake in video game maker Take-Two ,Nov 8 Activist investor Carl Icahn raised his stake in video game publisher Take-Two Interactive Software Inc  to 10.6 percent from 9.5 percent  according to a regulatory filing on Thursday.,normal
CG,The Carlyle Group LP,20121108,BRIEF-FDA advisory panel recommends approval of Novo's degludec insulin ,Nov 8 Novo Nordisk A/S :   * FDA advisory panel votes that cardiovascular outcomes trial of Novo nordisk's,topStory
CG,The Carlyle Group LP,20121108,Carlyle says U.S. best place to invest  reports profit ,Private equity firm Carlyle Group LP  on Thursday said the United States remained the world's best place to invest  citing low interest rates and the recovering housing market  as it reported a return to profitability in the third quarter.,normal
CG,The Carlyle Group LP,20121108,UPDATE 3-Carlyle says U.S. best place to invest  reports profit ,* Rubenstein sees comprehensive tax reform at least 2 years out,normal
CG,The Carlyle Group LP,20121108,BRIEF-Carlyle's N. American buyout fund raises $3.7 bnn ,Nov 8 Carlyle Group LP in conference call with analysts and investors:  * Co-CEO Rubenstein says expects final close this year for energy mezzanine fund  topping $1 billion in size  * Co-CEO Rubenstein says on track to raise $10 billion for Carlyle Partners VI as scheduled  * Co-CEO rubenstein says no Carlyle portfolio company experienced severe damage as a result of hurricane Sandy  * Co-CEO rubenstein says sandy will not have any meaningful impact on Carlyle  * Co-CEO rubenstein sa,normal
CG,The Carlyle Group LP,20121108,Carlyle returns to Q3 profit as assets recover ,Carlyle Group LP  reported on Thursday a third-quarter profit  as the value of its assets increased and it cashed out on some of its private equity investments  returning money to investors.,normal
CG,The Carlyle Group LP,20121108,CORRECTED-Private equity hunts for Europe bank deals ,(Corrects currency in second paragraph to dollars from euros; also corrects to show 38 percent of assets are funded by deposits  rather than unfunded),normal
TCGP,The Carlyle Group LP,20121108,BRIEF-FDA advisory panel recommends approval of Novo's degludec insulin ,Nov 8 Novo Nordisk A/S :   * FDA advisory panel votes that cardiovascular outcomes trial of Novo nordisk's,topStory
TCGP,The Carlyle Group LP,20121108,Carlyle says U.S. best place to invest  reports profit ,Private equity firm Carlyle Group LP  on Thursday said the United States remained the world's best place to invest  citing low interest rates and the recovering housing market  as it reported a return to profitability in the third quarter.,normal
TCGP,The Carlyle Group LP,20121108,UPDATE 3-Carlyle says U.S. best place to invest  reports profit ,* Rubenstein sees comprehensive tax reform at least 2 years out,normal
TCGP,The Carlyle Group LP,20121108,BRIEF-Carlyle's N. American buyout fund raises $3.7 bnn ,Nov 8 Carlyle Group LP in conference call with analysts and investors:  * Co-CEO Rubenstein says expects final close this year for energy mezzanine fund  topping $1 billion in size  * Co-CEO Rubenstein says on track to raise $10 billion for Carlyle Partners VI as scheduled  * Co-CEO rubenstein says no Carlyle portfolio company experienced severe damage as a result of hurricane Sandy  * Co-CEO rubenstein says sandy will not have any meaningful impact on Carlyle  * Co-CEO rubenstein sa,normal
TCGP,The Carlyle Group LP,20121108,Carlyle returns to Q3 profit as assets recover ,Carlyle Group LP  reported on Thursday a third-quarter profit  as the value of its assets increased and it cashed out on some of its private equity investments  returning money to investors.,normal
TCGP,The Carlyle Group LP,20121108,CORRECTED-Private equity hunts for Europe bank deals ,(Corrects currency in second paragraph to dollars from euros; also corrects to show 38 percent of assets are funded by deposits  rather than unfunded),normal
TGA,Transglobe Energy Corp,20121108,UPDATE 3-Egypt awards first oil licences since revolution ,VIENNA/ABU DHABI  Nov 8 Royal Dutch Shell   RWE and TransGlobe Energy have won concessions in Egypt's first licensing round since the 2011 revolution in a sign that international oil firms are undeterred by a payment backlog of billions of dollars.,topStory
VOD,Vodafone Group Plc,20121108,Cash-strapped Spaniards ditch their mobile phones ,MADRID  Nov 8 A quarter of a million Spaniards ditched their mobile phones in September  with Telefonica  and Vodafone bearing the brunt of cancellations by recession-hit consumers.,topStory
WEN,Wendy&#39;s Company (The),20121108,Image revamp helps Wendy's boost North American same-store sales ,Wendy's Co   the second-largest U.S. hamburger chain  reported a 2.7 percent increase in quarterly sales at established company-operated restaurants in North America  helped by re-branding and introduction of new products.,topStory
WEN,Wendy&#39;s Company (The),20121108,UPDATE 2-Image revamp helps Wendy's boost N.American same-store sales ,* Third-quarter adjusted profit/share from continuing ops $0.03,normal
WEN,Wendy&#39;s Company (The),20121108,Wendy's adjusted profit misses Street ,Nov 8 Wendy's Co  the second-largest U.S. hamburger chain  reported an adjusted quarterly profit that missed Wall Street's view as labor and marketing costs rose.,normal
WIN,Windstream Holdings Inc,20121108,BRIEF-Windstream down in premarket after Q3 results ,NEW YORK  Nov 8 Windstream Corp :  * Down 4.1 percent to $9.03 premarket after Q3 results,topStory
MMM,3M Company,20121108,3M CEO: EPS to grow roughly 10 percent a year for next five years ,Diversified U.S. manufacturer 3M Co  aims to grow earnings per share at a 9 percent to 11 percent average annual rate from 2013 through 2017  Chief Executive Inge Thulin told investors on Thursday.,topStory
MMM,3M Company,20121108,3M CEO - EPS to grow roughly 10 pct a year for next five years ,Nov 8 Diversified U.S. manufacturer 3M Co  aims to grow earnings per share at a 9 percent to 11 percent average annual rate from 2013 through 2017  Chief Executive Inge Thulin told investors on Thursday.,normal
AIR,AAR Corp,20121108,Tycoons end board dispute with BP ,MOSCOW The Soviet-born billionaires who share ownership of Anglo-Russian oil firm TNK-BP  with partner BP  declared an end to a boardroom stalemate on Thursday  a step that could smooth the way to selling the business.,topStory
AIR,AAR Corp,20121108,UPDATE 1-Tycoons end board dispute with BP ,MOSCOW  Nov 8 The Soviet-born billionaires who share ownership of Anglo-Russian oil firm TNK-BP with partner BP declared an end to a boardroom stalemate on Thursday  a step that could smooth the way to selling the business.,normal
AIR,AAR Corp,20121108,AAR consortium says agreed with BP on TNK-BP board ,MOSCOW A quartet of Soviet-born billionaires who own half of Russia's third-largest crude producer  TNK-BP   agreed with their partner BP  to restore TNK-BP's board functions  their consortium said on Thursday.,normal
