AMZN,Amazoncom Inc,20121217,Nordstrom family scion keeps up with Amazon online ,SAN FRANCISCO The future of retail came to Jamie Nordstrom not in a dream  but though his email inbox from Amazon.com Inc  the online retailer that Nordstrom now targets as his biggest rival.,topStory
FB,Facebook Inc,20121217,UPDATE 1-Twitter had offered Instagram $525 million deal: report ,SAN FRANCISCO  Dec 16 Weeks before he accepted a $1 billion buyout offer from Facebook Inc  Instagram CEO Kevin Systrom had verbally agreed to a $525 million offer from Twitter  according to a report in The  New York Times citing unnamed sources close to Twitter and Facebook.,normal
GRMN,Garmin Ltd,20121217,Garmin names COO Pemble as CEO ,Navigation device maker Garmin Ltd named Chief Operating Officer Clifton Pemble as chief executive  succeeding co-founder Min Kao.,topStory
GRMN,Garmin Ltd,20121217,Garmin names COO Pemble as CEO ,Dec 17 Navigation device maker Garmin Ltd  named Chief Operating Officer Clifton Pemble as chief executive  succeeding co-founder Min Kao.,normal
INTC,Intel Corporation,20121217,Intel wins patent appeal against N-Data ,WASHINGTON Intel Corp. won an appeal in a patent fight with Negotiated Data Solutions LLC (N-Data) over Ethernet patents that make it possible for computers to easily talk to one another.,topStory
INTC,Intel Corporation,20121217,Intel wins patent appeal against N-Data ,WASHINGTON  Dec 17 Intel Corp. won an appeal in a patent fight with Negotiated Data Solutions LLC (N-Data) over ethernet patents that make it possible for computers to easily talk to one another.,normal
SIRI,Sirius XM Holdings Inc,20121217,Sirius XM to pay higher music royalty fees ,Sirius XM Radio Inc will pay a bigger percentage of revenue toward music royalties for sound recordings  following a decision made by the U.S. Copyright Royalty Board  the satellite radio provider said on Monday.,topStory
SIRI,Sirius XM Holdings Inc,20121217,Sirius XM to pay higher music royalty fees ,Dec 17 Sirius XM Radio Inc will pay a bigger percentage of  revenue toward music royalties for sound recordings  following a decision made by the U.S. Copyright Royalty Board  the satellite radio provider said on Monday.,normal
CG,The Carlyle Group LP,20121217,Exclusive: Carlyle risks lower profit on TCW deal ,NEW YORK Carlyle Group LP's  planned $780 million takeover of TCW Group Inc could prove less lucrative than envisioned due to the investment manager's financial ties to buyout firm EIG Global Energy Partners LLC  a TCW document to its lenders shows.,topStory
TCGP,The Carlyle Group LP,20121217,Exclusive: Carlyle risks lower profit on TCW deal ,NEW YORK Carlyle Group LP's  planned $780 million takeover of TCW Group Inc could prove less lucrative than envisioned due to the investment manager's financial ties to buyout firm EIG Global Energy Partners LLC  a TCW document to its lenders shows.,topStory
VOD,Vodafone Group Plc,20121217,Drops by Aggreko  Vodafone hold back Britain's FTSE ,LONDON  Dec 17 Big falls by temporary power firm Aggreko and market heavyweight Vodafone weighed on Britain's top shares on Monday as the final full trading week of 2012 got off to a lacklustre start.,topStory
VOD,Vodafone Group Plc,20121217,Spaniards ditch mobile phones in record numbers ,MADRID  Dec 17 Recession-hit Spaniards ditched mobile phone lines in record numbers in October  with the two biggest operators continuing to haemorrhage market share to smaller rivals offering subsidies on handsets.,normal
VOD,Vodafone Group Plc,20121217,Aggreko leads Britain's FTSE 100 lower on outlook worries ,* FTSE 100 down 0.3 percent     * Aggreko slumps on 2013 outlook uncertainty     * Vodafone slips on worries over 4G network costs     * Kazakhmys gains as Kazakhstan output rises      By David Brett     LONDON  Dec 17 Britain's top share index fell early on Monday  led lower by temporary power provider Aggreko  which warned on its 2013 outlook  and heavyweight Vodafone  hit by concerns about the cost of new generation wireless networks.     By 0845 GMT  the FTSE 100 was down 14.72 p,normal
VOD,Vodafone Group Plc,20121217,Aggreko leads Britain's FTSE 100 lower on outlook worries ,LONDON  Dec 17 Britain's top share index fell in early deals on Monday  led lower by temporary power provider Aggreko  which cautioned on its 2013 outlook  and heavyweight Vodafone on concerns over the cost of the new generation wireless networks.,normal
ALL,Allstate Corporation (The),20121217,Allstate to buy back $1 billion of shares ,Allstate Corp  said its board approved a new share buyback program of up to $1 billion  to be funded by issuing subordinated debentures.,topStory
ALL,Allstate Corporation (The),20121217,Allstate to buy back $1 billion of shares ,Dec 17 Allstate Corp said its board approved a new share buyback program of up to $1 billion  to be funded by issuing subordinated debentures.,normal
AIG,American International Group Inc,20121217,AIG to raise up to $6.5 billion through AIA share sale: sources ,HONG KONG American International Group Inc may raise as much as $6.5 billion from the sale of its remaining stake in AIA Group Ltd in Asia's second-largest block sale ever  exiting a business the U.S. insurer started nearly 100 years ago.,topStory
AIG,American International Group Inc,20121217,AIG prices $6.45 billion AIA stake offering near top: source ,HONG KONG U.S. insurer American International Group  has priced its $6.45 billion offering of shares in AIA Group Ltd  near the top of an indicative range  a source with direct knowledge of the deal said on Tuesday  underscoring demand for the stock.,normal
AIG,American International Group Inc,20121217,AIG prices $6.45 bln AIA stake offering near top - source ,HONG KONG  Dec 18 U.S. insurer American International Group has priced its $6.45 billion offering of shares in AIA Group Ltd near the top of an indicative range  a source with direct knowledge of the deal said on Tuesday  underscoring demand for the stock.,normal
AIG,American International Group Inc,20121217,UPDATE 4-AIG to raise up to $6.5 bln via AIA share sale-sources ,* Selldown marks AIG's exit from AIA after almost 100 years,normal
AIG,American International Group Inc,20121217,Capital curbs on insurers will add to government burden: IIF ,LONDON Proposed curbs on insurers aimed at preventing a repeat of AIG's 2008 taxpayer bailout could raise the cost of insurance  making more people dependent on the state  a finance sector lobby group said.,normal
AIG,American International Group Inc,20121217,CORRECTED-Capital curbs on insurers will add to government burden-IIF ,(Corrects final paragraph to show FSB  not IAIS  to name risky insurers),normal
AIG,American International Group Inc,20121217,Market Chatter-Corporate finance press digest ,Dec 17 The following corporate finance-related stories were reported by media on Monday:,normal
AIG,American International Group Inc,20121217,AIG to sell remaining AIA stake for up to $6.5 bln-source ,HONG KONG  Dec 17 American International Group  will sell its remaining stake in AIA for up to $6.5 billion  a source said on Monday.,normal
AIG,American International Group Inc,20121217,AIG begins sale of another block of AIA shares ,HONG KONG  Dec 17 American International Group  said it has commenced a sale in Hong Kong of up to all of its ordinary shares of AIA Group by means of a placing to certain institutional investors.,normal
T,AT&T Inc,20121217,BRIEF-Sprint CEO says deal values Clearwire spectrum higher than AT&T paid for Nextwave ,Dec 17 Sprint Nextel Corp :  * CEO says expects to begin regulatory filings for Clearwire Corp deal,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20121217,TEXT - Fitch cuts BBVA Empresas 6  FTA ,(The following statement was released by the rating agency),topStory
BA,Boeing Company (The),20121217,Boeing resumes $3.6 billion share repurchase program ,NEW YORK Boeing Co said Monday it will raise its dividend 10 percent and resume share repurchases after suspending them in 2009.,topStory
BA,Boeing Company (The),20121217,UPDATE 1-Boeing resumes $3.6 bln share repurchase program ,NEW YORK  Dec 17 Boeing Co said Monday it will raise its dividend 10 percent and resume share repurchases after suspending them in 2009.,normal
BA,Boeing Company (The),20121217,UPDATE 2-Turkey's Pegasus to make landmark Airbus order -sources ,* Expected award follows tough contest between Airbus  Boeing,normal
BA,Boeing Company (The),20121217,Turkey's Pegasus close to landmark Airbus order ,PARIS/ISTANBUL Turkish low-cost carrier Pegasus Airlines appears close to making its first purchase of European passenger jets with an order for as many as 100 Airbus A320-family aircraft  sources familiar with the matter said on Monday.,normal
BA,Boeing Company (The),20121217,Turkey's Pegasus may make big Airbus order-sources ,PARIS  Dec 17 Turkish low-cost carrier Pegasus Airlines appears close to making its first purchase of European passenger jets with an order for as many as 100 Airbus  A320-family aircraft  sources familiar with the matter said.,normal
BP,BP plc,20121217,BP sells interest in North Sea gas field to SSE for $288 million ,Oil company BP Plc  said it would sell its interest in the Sean gas field in the UK North Sea to British utility SSE Plc  for $288 million  as part of its strategy to sell its stakes in non-operated North Sea assets.,topStory
BP,BP plc,20121217,PRESS DIGEST - Financial Times - Dec 17 ,U.S. banks are making a last-minute push to ease new global liquidity requirements  arguing that they would need to come up with an additional $800 billion.,normal
CEO,CNOOC Limited,20121217,Hong Kong shares to open down 0.1 pct; CNOOC  Sinopec slide ,HONG KONG  Dec 17 Hong Kong shares were set to open lower on Monday  with Chinese oil giants CNOOC  and Sinopec among the biggest index drags  each down more than 1 percent.,topStory
DB,Deutsche Bank AG,20121217,Deutsche Bank co-CEO says criticism of bank culture justified ,BERLIN  Dec 17 Deutsche Bank Co-Chief Executive Juergen Fitschen conceded on Monday that criticism of his bank's culture in the wake of the 2007-09 financial crisis was justified and he wanted to reform it.,topStory
DB,Deutsche Bank AG,20121217,Deutsche Bank's reforming leaders struggle to escape their past ,FRANKFURT  Dec 17 Deutsche Bank's decision to choose company veterans as its new leaders is in danger of backfiring  as their attempts to change a culture of aggressive profit-chasing are undermined by questions about their own roles in the bank's troubled past.,normal
DB,Deutsche Bank AG,20121217,Deutsche chief blasted for call to complain over raid ,BERLIN German politicians from across the political spectrum criticized Deutsche Bank co-CEO Juergen Fitschen on Monday following reports he had called a senior local politician to complain about a raid on the bank's Frankfurt headquarters last week.,normal
DB,Deutsche Bank AG,20121217,Deutsche chief blasted for call to complain over raid ,* New leadership duo took over in June  vowed culture change,normal
DB,Deutsche Bank AG,20121217,Former BoE rate-setter Lambert to advise Deutsche Bank ,LONDON  Dec 17 Deutsche Bank has named Richard Lambert  a former member of the Bank of England's Monetary Policy Committee  as an adviser to its UK chief executive  helping the bank to adapt to regulatory changes.,normal
DFS,Discover Financial Services,20121217,UPDATE 1-Bank bear Meredith Whitney turns bullish on financials ,Dec 17 Independent research analyst Meredith Whitney told clients on Monday that she has turned positive on financial stocks  upgrading Citigroup Inc  Bank of America Corp and Discover Financial Services to "buy" from "hold.",topStory
DFS,Discover Financial Services,20121217,Meredith Whitney upgrades three financial stocks ,Dec 17 Independent research analyst Meredith Whitney told clients on Monday that she has turned positive on financial stocks  upgrading Citigroup Inc  Bank of America Corp and Discover Financial Services to "buy" from "hold.",normal
EIX,Edison International,20121217,UPDATE 2-NRC may issue decision in March on San Onofre 2 restart ,* Agency offers first indication of Unit 2 decision timeline,topStory
EIX,Edison International,20121217,Edison Mission Energy files for Chapter 11 bankruptcy ,Edison Mission Energy  the unregulated power generation business of Edison International   has filed for Chapter 11 bankruptcy protection after being hurt by heavy debts  weak power prices and high fuel costs.,normal
ETE,Energy Transfer Equity LP,20121217,TEXT-S&P: Energy Transfer Equity rating unaffected by asset sale ,Dec 17 - Standard & Poor's Ratings Services said today that Energy Transfer Equity L.P.'s  (ETE; BB/Stable/--) and Energy Transfer Partners L.P.'s  (ETP; BBB-/Stable/--) announcement that it has entered into an agreement with The Laclede Group Inc. (A/Stable/--) to sell natural gas utility assets of Southern Union Co. (SUG; BBB-/Stable/--)  will not affect ETE's  ETP's and SUG's ratings. The ratings are not affected because we factored the sale of these assets to reduce consolidated leverage int,topStory
ETE,Energy Transfer Equity LP,20121217,Laclede to double customers in $1 billion deal with Energy Transfer ,Natural gas distributor Laclede Group Inc  is buying two utilities from Energy Transfer Equity LP  for $1 billion  doubling its customer numbers and boosting its exposure to more stable state-regulated income.,normal
ETE,Energy Transfer Equity LP,20121217,UPDATE 2-Laclede to double customers in $1 bln deal with Energy Transfer ,* Over 91 percent of earnings from regulated business - Laclede,normal
ETE,Energy Transfer Equity LP,20121217,Laclede to buy two utilities from Energy Transfer for $1 billion ,Utility holding company Laclede Group Inc  will double its customer base with a $1 billion deal with Energy Transfer Equity LP  to acquire Southern Union Co's Missouri Gas Energy and New England Gas Co.,normal
ETE,Energy Transfer Equity LP,20121217,REFILE-Laclede to buy two utilities from Energy Transfer for $1 bln ,Dec 17 Utility holding company Laclede Group Inc  will acquire two Southern Union utilities  Missouri Gas Energy and New England Gas Co  from Energy Transfer Equity  for about $1 billion  the companies said.,normal
ETP,Energy Transfer Partners LP,20121217,TEXT-S&P: Energy Transfer Equity rating unaffected by asset sale ,Dec 17 - Standard & Poor's Ratings Services said today that Energy Transfer Equity L.P.'s  (ETE; BB/Stable/--) and Energy Transfer Partners L.P.'s  (ETP; BBB-/Stable/--) announcement that it has entered into an agreement with The Laclede Group Inc. (A/Stable/--) to sell natural gas utility assets of Southern Union Co. (SUG; BBB-/Stable/--)  will not affect ETE's  ETP's and SUG's ratings. The ratings are not affected because we factored the sale of these assets to reduce consolidated leverage int,topStory
GEK,General Electric Capital Corporation,20121217,GE sees 2013 sales up despite "fiscal cliff" fears ,NEW YORK General Electric Co  expects revenue to be flat or up as much as 5 percent next year  though its top executive said on Monday that worries about the "fiscal cliff" had hurt demand in the closing months of 2012.,topStory
GEK,General Electric Capital Corporation,20121217,UPDATE 1-GE sees 2013 sales up despite 'fiscal cliff' fears ,NEW YORK  Dec 17 General Electric Co  expects revenue to be flat or up as much as 5 percent next year  though its top executive said on Monday that worries about the "fiscal cliff" had hurt demand in the closing months of 2012.,normal
GEK,General Electric Capital Corporation,20121217,GE close to Avio deal for over 3 billion euros: sources ,MILAN General Electric Co  is close to finalizing an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros ($3.95 billion)  sources close to the deal said on Monday.,normal
GEK,General Electric Capital Corporation,20121217,UPDATE 2-GE close to Avio deal for over 3 bln euros -sources ,MILAN  Dec 17 General Electric Co is close to finalising an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros ($3.95 billion)  sources close to the deal said on Monday.,normal
GEK,General Electric Capital Corporation,20121217,CORRECTED-UPDATE 1-GE sees 2013 sales flat to up 5 pct  'cliff' a worry ,(Corrects to clarify that only GE's industrial revenue  instead of company-wide revenue  is expected to rise by 8 percent this year  para 7),normal
GEK,General Electric Capital Corporation,20121217,GE sees total 2013 revenue flat to up 5 percent ,NEW YORK  Dec 17 General Electric Co  expects its revenue to be flat to up 5 percent in 2013  with strong overall demand for industrial equipment offset by declining sales of wind turbines.,normal
GEK,General Electric Capital Corporation,20121217,CORRECTED-GE close to buying Avio for more than 3 bln euros-sources ,MILAN  Dec 17 General Electric is expected to finalise an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros  sources close to the deal said on Monday.,normal
GEK,General Electric Capital Corporation,20121217,General Electric close to buying Avio for more than $3 bln - sources , ,normal
GE,General Electric Company,20121217,GE sees 2013 sales up despite "fiscal cliff" fears ,NEW YORK General Electric Co  expects revenue to be flat or up as much as 5 percent next year  though its top executive said on Monday that worries about the "fiscal cliff" had hurt demand in the closing months of 2012.,topStory
GE,General Electric Company,20121217,UPDATE 1-GE sees 2013 sales up despite 'fiscal cliff' fears ,NEW YORK  Dec 17 General Electric Co  expects revenue to be flat or up as much as 5 percent next year  though its top executive said on Monday that worries about the "fiscal cliff" had hurt demand in the closing months of 2012.,normal
GE,General Electric Company,20121217,GE close to Avio deal for over 3 billion euros: sources ,MILAN General Electric Co  is close to finalizing an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros ($3.95 billion)  sources close to the deal said on Monday.,normal
GE,General Electric Company,20121217,UPDATE 2-GE close to Avio deal for over 3 bln euros -sources ,MILAN  Dec 17 General Electric Co is close to finalising an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros ($3.95 billion)  sources close to the deal said on Monday.,normal
GE,General Electric Company,20121217,CORRECTED-UPDATE 1-GE sees 2013 sales flat to up 5 pct  'cliff' a worry ,(Corrects to clarify that only GE's industrial revenue  instead of company-wide revenue  is expected to rise by 8 percent this year  para 7),normal
GE,General Electric Company,20121217,GE sees total 2013 revenue flat to up 5 percent ,NEW YORK  Dec 17 General Electric Co  expects its revenue to be flat to up 5 percent in 2013  with strong overall demand for industrial equipment offset by declining sales of wind turbines.,normal
GE,General Electric Company,20121217,CORRECTED-GE close to buying Avio for more than 3 bln euros-sources ,MILAN  Dec 17 General Electric is expected to finalise an agreement to buy Italian aerospace supplier Avio as early as this week for more than 3 billion euros  sources close to the deal said on Monday.,normal
GE,General Electric Company,20121217,General Electric close to buying Avio for more than $3 bln - sources , ,normal
GSK,GlaxoSmithKline PLC,20121217,BRIEF-GSK says ViiV Healthcare files Dolutegravir submissions with EU  US and Canada ,LONDON  Dec 17 GlaxoSmithKline Plc :  * Viiv files dolutegravir with EU  US and Canada,topStory
GSK,GlaxoSmithKline PLC,20121217,GlaxoSmithKline wins U.S. approval for new flu vaccine ,U.S. health regulators have approved a new four-strain seasonal influenza vaccine made by GlaxoSmithKline Plc  the company said on Monday.,normal
GSK,GlaxoSmithKline PLC,20121217,GlaxoSmithKline wins U.S. approval for new flu vaccine ,Dec 17 U.S. health regulators have approved a new four-strain seasonal influenza vaccine made by GlaxoSmithKline Plc  the company said on Monday.,normal
GSK,GlaxoSmithKline PLC,20121217,BRIEF-FDA approves GlaxoSmithKline's four-strain flu vaccine ,LONDON  Dec 17 GlaxoSmithKline Plc :  * Announced today that the U.S. food and drug administration (FDA) has approved,normal
GS,Goldman Sachs Group Inc (The),20121217,EU mergers and takeovers (Dec 17) ,BRUSSELS  Dec 17 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GS,Goldman Sachs Group Inc (The),20121217,France concerned about Alcatel loan deal: paper ,PARIS The French government is concerned about Alcatel-Lucent's plan to use patents as collateral for a 1.6 billion euro ($2.1 billion) loan because the intellectual property could fall into the hands of foreign banks  Les Echos newspaper reported.,normal
GS,Goldman Sachs Group Inc (The),20121217,UPDATE 2-France concerned about Alcatel loan deal-paper ,PARIS  Dec 17 The French government is concerned about Alcatel-Lucent's plan to use patents as collateral for a 1.6 billion euro ($2.1 billion) loan because the intellectual property could fall into the hands of foreign banks  Les Echos newspaper reported.,normal
INFY,Infosys Limited,20121217,REFILE-RESEARCH ALERT-Infosys: Susquehanna cuts price target ,Dec 17 Infosys Ltd :  * Infosys Ltd : Susquehanna cuts price target to $45 from $50; rating neutral,topStory
INFY,Infosys Limited,20121217,Infosys may trim forecast again as U.S. clients cut back ,BANGALORE Infosys  India's No. 2 software services provider  may cut its revenue forecast next month as U.S. business clients defer spending and balk at signing big deals.,normal
INFY,Infosys Limited,20121217,Infosys may trim forecast again as U.S. clients cut back ,BANGALORE  Dec 17 Infosys  India's No. 2 software services provider  may cut its revenue forecast next month as U.S. business clients defer spending and balk at signing big deals.,normal
JPM,J P Morgan Chase & Co,20121217,U.S. agency sues JPMorgan over mortgage securities ,The U.S. credit union regulator sued JPMorgan Securities and Bear Stearns & Co on Monday over $3.6 billion in mortgage securities the bank allegedly sold to credit unions that collapsed because of losses from the securities.,topStory
JPM,J P Morgan Chase & Co,20121217,JPMorgan copper ETF  first in U.S.  gets green light ,U.S. regulators have finally approved JPMorgan Chase & Co's controversial plan to launch a copper exchange-traded fund backed by actual stockpiles of the metal  dealing a blow to end users who fear the product will wreak havoc on prices.,normal
JPM,J P Morgan Chase & Co,20121217,UPDATE 2-JPMorgan copper ETF  first in US  gets green light ,Dec 17 U.S. regulators have finally approved JPMorgan Chase & Co's controversial plan to launch a copper exchange-traded fund backed by actual stockpiles of the metal  dealing a blow to end users who fear the product will wreak havoc on prices.,normal
JPM,J P Morgan Chase & Co,20121217,U.S. SEC approves JPMorgan's plan for copper ETF ,Dec 17 The U.S. Securities and Exchange Commission has approved JPMorgan Chase & Co's  controversial plan to launch an exchange-traded fund physically backed by copper  it said on Monday.,normal
JCI,Johnson Controls International plc,20121217,Johnson Controls files appeal against A123 sale to Chinese rival ,Johnson Controls Inc filed an appeal against the sale order of bankrupt battery maker A123 Systems Inc to Chinese rival Wanxiang Group  objecting to a delay in payment of fees owed to it.,topStory
JCI,Johnson Controls International plc,20121217,Johnson Controls files appeal against A123 sale to Chinese rival ,Dec 17 Johnson Controls Inc filed an appeal against the sale order of bankrupt battery maker A123 Systems Inc to Chinese rival Wanxiang Group  objecting to a delay in payment of fees owed to it.,normal
KKR,KKR & Co LP,20121217,KKR raises $6 billion Asia fund  region's largest ever: sources ,HONG KONG/NEW YORK KKR & Co L.P. has finished raising $6 billion for its second pan-Asia fund  according to sources  the largest private equity pool ever assembled for the region  with strong demand from pension funds and endowments seeking emerging market returns.,topStory
KKR,KKR & Co LP,20121217,UPDATE 1-KKR raises $6 bln Asia fund  region's largest ever-sources ,HONG KONG/NEW YORK  Dec 17 KKR & Co L.P. has finished raising $6 billion for its second pan-Asia fund  according to sources  the largest private equity pool ever assembled for the region  with strong demand from pension funds and endowments seeking emerging market returns.,normal
KKR,KKR & Co LP,20121217,CORRECTED-KKR raises $6 bln Asia fund  region's largest ever-sources ,HONG KONG/NEW YORK  Dec 17 KKR & Co L.P. has finished raising its second pan-Asia fund  reaching $6 billion  according to sources  the largest private equity pool ever raised for the region  with strong demand from pension funds and endowments seeking emerging market returns.,normal
MCD,McDonald&#39;s Corporation,20121217,McDonald's COO urges franchisees to open on Christmas: Ad Age ,LOS ANGELES McDonald's Corp  is urging U.S. restaurant owners to take the unusual step of opening on Christmas Day to deliver the world's biggest hamburger chain with the gift of higher December sales  AdvertsingAge reported on Monday.,topStory
MCD,McDonald&#39;s Corporation,20121217,McDonald's COO urges franchisees to open on Christmas - Ad Age ,LOS ANGELES  Dec 17 McDonald's Corp is urging U.S. restaurant owners to take the unusual step of opening on Christmas Day to deliver the world's biggest hamburger chain with the gift of higher December sales  AdvertsingAge reported on Monday.,normal
MS,Morgan Stanley,20121217,Massachusetts fines Morgan Stanley over Facebook IPO ,BOSTON Morgan Stanley   the lead underwriter for Facebook Inc's  initial public offering  will pay a $5 million fine to Massachusetts for violating securities laws governing how investment research can be distributed.,topStory
MS,Morgan Stanley,20121217,UPDATE 2-Massachusetts fines Morgan Stanley over Facebook IPO ,(Adds statement from MS  quotes from Galvin  underwriting fees),normal
MS,Morgan Stanley,20121217,Mass. fines Morgan Stanley over Facebook research ,BOSTON  Dec 17 Morgan Stanley  the lead underwriter for Facebook Inc's initial public offering  will pay a $5 million fine to Massachusetts to settle charges that its bankers improperly influenced its research analysts when the Internet company went public.,normal
MS,Morgan Stanley,20121217,ON THE MOVE-Merrill Lynch adds 8 advisers from rival brokerages ,Dec 17 Bank of America Corp's Merrill Lynch said on Monday it hired eight veteran advisers from rival U.S. wealth management units at Credit Suisse  Morgan Stanley and the Royal Bank of Canada.,normal
NYT,New York Times Company (The),20121217,PRESS DIGEST-New York Times business news - Dec 17 ,Dec 17 The following are the top stories on the New York Times business pages on Monday. Reuters has not verified these stories and does not vouch for their accuracy.,topStory
NLSN,Nielsen NV,20121217,Twitter and Nielsen pair up to publish new "social TV" ratings ,SAN FRANCISCO Nielsen Holdings NV  the television viewership measurement company  said on Monday it will partner with Twitter to publish a new set of ratings that measure chatter on Twitter about TV programming.,topStory
NLSN,Nielsen NV,20121217,UPDATE 1-Twitter and Nielsen pair up to publish new 'social TV' ratings ,SAN FRANCISCO  Dec 17 Nielsen Holdings NV   the television viewership measurement company  said on Monday it will partner with Twitter to publish a new set of ratings that measure chatter on Twitter about TV programming.,normal
NLSN,Nielsen NV,20121217,Twitter and Nielsen pair up to publish new 'social TV' ratings ,SAN FRANCISCO  Dec 17 Nielsen Holdings NV   the television viewership measurement company  said on Monday it will partner with Twitter to publish a new set of ratings that measure chatter on Twitter about TV programming.,normal
JWN,Nordstrom Inc,20121217,Nordstrom family scion keeps up with Amazon online ,SAN FRANCISCO The future of retail came to Jamie Nordstrom not in a dream  but though his email inbox from Amazon.com Inc  the online retailer that Nordstrom now targets as his biggest rival.,topStory
LUV,Southwest Airlines Company,20121217,Southwest Air sets new fees  to add $100 mln to revenue ,Southwest Airlines  the discount airline that has heavily promoted its "bags fly free" feature  on Friday said it will implement new fees next year under a plan to raise revenues by $1.1 billion in 2013.,topStory
