ASML,ASML Holding NV,20121212,TEXT - Fitch revises ASML Holding N.V. outlook to positive ,Dec 12 - Fitch Ratings has revised the Outlook on Netherlands-based ASML Holding N.V.'s (ASML) Long-term Issuer Default Rating (IDR) to Positive from Stable and affirmed the IDR and senior unsecured ratings  at 'BBB'.   The Positive Outlook reflects Fitch's view of the degree to which ASML has  consolidated its position as one of the semiconductor capital equipment  industry's most important suppliers. This position has been both validated and  strengthened by recent strategic events; namely a c,topStory
ERIC,Ericsson,20121212,BRIEF-Ericsson says has built LTE network for MTN in Africa ,STOCKHOLM  Dec 12 ERICSSON :  * First Ericsson lte network built in Africa  * MTN South Africa's commercial LTE network will be rolled out across the country.  * Services including design  installation  integration commissioning  tuning and optimization  * the pilot network has been running for more than a year.,normal
FB,Facebook Inc,20121212,Andreessen denies Internet bubble  advises Times to stop printing ,* Netscape co-founder says world is in a "technology depression",topStory
FB,Facebook Inc,20121212,Facebook unveils new privacy controls ,SAN FRANCISCO Facebook Inc began rolling out a variety of new privacy controls on Wednesday  the company's latest effort to address user concerns about who can see their personal information on the world's largest social network.,normal
FB,Facebook Inc,20121212,Facebook unveils new privacy controls ,SAN FRANCISCO Facebook Inc began rolling out a variety of new privacy controls on Wednesday  the company's latest effort to address user concerns about who can see their personal information on the world's largest social network.,normal
FB,Facebook Inc,20121212,Facebook unveils new privacy controls ,SAN FRANCISCO  Dec 12 Facebook Inc began rolling out a variety of new privacy controls on Wednesday  the company's latest effort to address user concerns about who can see their personal information on the world's largest social network.,normal
FB,Facebook Inc,20121212,Facebook helps FBI bust cybercriminals blamed for $850 million losses ,SAN FRANCISCO Investigators led by the Federal Bureau of Investigation and aided by Facebook Inc  have busted an international criminal ring that infected 11 million computers around the world and caused more than $850 million in total losses in one of the largest cybercrime hauls in history.,normal
FB,Facebook Inc,20121212,Facebook helps FBI bust cybercriminals blamed for $850 mln losses ,SAN FRANCISCO  Dec 11 Investigators led by the Federal Bureau of Investigation and aided by Facebook Inc   have busted an international criminal ring that infected 11 million computers around the world and caused more than $850 million in total losses in one of the largest cybercrime hauls in history.,normal
GILD,Gilead Sciences Inc,20121212,Gilead bags blood disorder drug with YM BioSciences buy ,Gilead Sciences Inc said it would buy Canada's YM BioSciences Inc for about $510 million in cash  getting access to a second experimental drug to treat a rare blood and immune cell disorder.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
FLAT,iPath US Treasury Flattener ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
FLAT,iPath US Treasury Flattener ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
FLAT,iPath US Treasury Flattener ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
FLAT,iPath US Treasury Flattener ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
STPP,iPath US Treasury Steepener ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
STPP,iPath US Treasury Steepener ETN,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
STPP,iPath US Treasury Steepener ETN,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
STPP,iPath US Treasury Steepener ETN,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
MEOH,Methanex Corporation,20121212,S&P rates Methanex Corp.'s notes 'BBB-' ,Dec 12 - Standard & Poor's Ratings Services today said it assigned its 'BBB-' rating to Methanex Corp.'s US$300 million notes.   "The ratings and outlook on Methanex are unchanged following the company's  plans to issue US$300 million in senior unsecured notes " said Standard &  Poor's credit analyst Jatinder Mall. "We expect proceeds from the notes to be  used for general corporate purposes and to finance a portion of the costs of  relocating one of the company's Chile plants to Geismar  La. " ,topStory
MEOH,Methanex Corporation,20121212,TEXT - Fitch rates Methanex Corp proposed notes 'BBB-' ,Dec 12 - Fitch Ratings has assigned a 'BBB-' rating to Methanex Corporation's (Methanex) proposed $300 million issuance of 7-year  notes. The Rating Outlook is Stable. A complete list of ratings is provided at  the end of this release.  NOTES  The proposed senior notes will be unsecured obligations ranked pari passu with  the company's existing unsecured notes. Borrowings at subsidiaries such as those used to finance the company's EMethanex and Atlas plants are structurally  superior to the note,normal
MYL,Mylan NV,20121212,New Issue-Mylan Sells $750 mln of notes ,Dec 12 Mylan Inc. on Wednesday sold $750 million of notes in the 144a private placement market  said IFR  a Thomson Reuters service.     Bank of America Merrill Lynch  Citigroup  and J.P. Morgan were the joint bookrunning managers for the sale.  BORROWER: MYLAN INC.  AMT $750 MLN      COUPON 3.125 PCT    MATURITY 01/15/2023 TYPE NTS          ISS PRICE 99.793    FIRST PAY 07/15/2013 MOODY'S Baa3      YIELD 3.149 PCT     SETTLEMENT 12/21/2012 S&P BBB-MINUS     SPREAD 145 BPS      PAY F,topStory
MYL,Mylan NV,20121212,TEXT - S&P rates Mylan Inc senior unsecured notes ,Dec 12 - Standard & Poor's said today that its ratings on Canonsburg  Pa.-based Mylan Inc. are not affected by a recently announced $750 million share repurchase program or bond offering.  At the same time  we assigned the proposed $750 million senior unsecured notes  due 2023 our 'BBB-' (the same as the corporate credit rating) issue-level  rating  in line with the company's other senior debt. Our recent upgrade of  the on Mylan incorporated potential transactions such as this one.  Mylan's "sa,normal
NFLX,Netflix Inc,20121212,Netflix rival Redbox starts movie streaming this month ,Kiosk operator Redbox will launch an instant video streaming service that starts at $6 a month  providing another challenge to dominant movie rental company Netflix Inc  in the battle for home entertainment dollars.,topStory
NFLX,Netflix Inc,20121212,Moody's downgrades Netflix debt  outlook stable ,Dec 11 Moody's Investors Service on Tuesday downgraded the debt rating for video rental service Netflix Inc   citing the company's shift away from higher-margin DVDs and toward streaming of TV shows and films over the Internet.,normal
BPOP,Popular Inc,20121212,UPDATE 2-Spain's Popular nears sale of 1 bln euro of loans ,* 1.14 bln eur portfolio contains distressed consumer loans,topStory
BPOP,Popular Inc,20121212,Spain's Popular says loan portfolio sale not sealed yet ,MADRID  Dec 12 Spanish lender Popular  said on Wednesday it had not yet signed a deal to sell a portfolio of distressed consumer loans.,normal
BPOP,Popular Inc,20121212,Spain's Popular sells 1 bln eur consumer loan portfolio ,MADRID  Dec 12 Spanish lender Popular  has sold a 1.143 billion euro ($1.49 billion) portfolio of troubled consumer loans to two international investors  a source familiar with the matter said on Wednesday.,normal
CG,The Carlyle Group LP,20121212,Carlyle selling up to $67 million stake in Kaisa Group: term sheet ,HONG KONG Carlyle Group  is selling up to $67 million of its stake in Hong Kong-listed Kaisa Group Holdings Ltd   according to a term sheet seen by Reuters.,topStory
CG,The Carlyle Group LP,20121212,Carlyle selling up to $67 mln stake in Kaisa Group - term sheet ,HONG KONG  Dec 12 Carlyle Group is selling up to $67 million of its stake in Hong Kong-listed Kaisa Group Holdings Ltd  according to a term sheet seen by Reuters.,normal
TCGP,The Carlyle Group LP,20121212,Carlyle selling up to $67 million stake in Kaisa Group: term sheet ,HONG KONG Carlyle Group  is selling up to $67 million of its stake in Hong Kong-listed Kaisa Group Holdings Ltd   according to a term sheet seen by Reuters.,topStory
TCGP,The Carlyle Group LP,20121212,Carlyle selling up to $67 mln stake in Kaisa Group - term sheet ,HONG KONG  Dec 12 Carlyle Group is selling up to $67 million of its stake in Hong Kong-listed Kaisa Group Holdings Ltd  according to a term sheet seen by Reuters.,normal
MDCO,The Medicines Company,20121212,Medicines Co to spend $300 million to boost hospital products line ,Medicines Company  a maker of drugs used in hospitals  will spend about $300 million in two deals to bulk up its surgical care products portfolio.,topStory
MDCO,The Medicines Company,20121212,UPDATE 1-Medicines Co to spend $300 mln to boost hospital products line ,* To pay $105 mln to license Bristol-Myers' blood-loss control device,normal
MDCO,The Medicines Company,20121212,Medicines Co licenses Bristol-Myers' bleeding control device for $105 mln ,Dec 12 The Medicines Company said it will pay $105 million in an upfront payment for a two-year license to market Bristol-Myers Squibb Company's device to control bleeding during surgery.,normal
VOD,Vodafone Group Plc,20121212,Moody's: Vodafone has stronger credit profile than Telefonica and Telecom Italia ,Vodafone  Telefonica & Telecom Italia     ,topStory
MMM,3M Company,20121212,3M sees 2013 earnings up 8 percent in weak economy ,3M Co  expects earnings to rise about 8 percent next year  with sales growth coming in below the diversified U.S. manufacturer's long-term targets amid a weak global economy. | Video ,topStory
MMM,3M Company,20121212,UPDATE 2-3M sees 2013 earnings up 8 pct in weak economy ,* Expects 2013 earnings $6.70-$6.95/share v. est $6.85/share,normal
MMM,3M Company,20121212,3M sees 2013 profit rise ,Dec 12 3M Co expects profit to rise about 8 percent next year as the U.S. economy continues its slow recovery.,normal
AIR,AAR Corp,20121212,AAR to get cash on closing of $28 bln TNK-BP sale ,MOSCOW  Dec 12 The AAR consortium  representing four Soviet-born tycoons  said it would receive $28 billion in cash for the sale of its one-half stake in TNK-BP to Russian state oil firm Rosneft.,topStory
AIR,AAR Corp,20121212,Rosneft finalises deal to buy TNK-BP stake from AAR ,MOSCOW  Dec 12 State oil major Rosneft  has signed a final deal to buy a one-half stake in Anglo-Russian oil from TNK-BP from the AAR consortium in a deal worth $28 billion  sealing Russia's largest ever takeover transaction.,normal
AET,Aetna Inc,20121212,UPDATE 1-Aetna to join 15 exchanges under U.S. healthcare reform ,NEW YORK  Dec 12 Aetna Inc  the third largest U.S. health insurer  said on Wednesday that by 2014 it expects to be part of about 15 healthcare exchanges being established under government reforms.,topStory
AET,Aetna Inc,20121212,Aetna plans to join 15 exchanges under U.S. healthcare reform ,NEW YORK Aetna Inc  the third largest U.S. health insurer  said on Wednesday that by 2014 it expects to be part of about 15 healthcare exchanges being established under government reforms.,normal
AET,Aetna Inc,20121212,Aetna plans to join 15 exchanges under U.S. healthcare reform ,NEW YORK  Dec 12 Aetna Inc  the third largest U.S. health insurer  said on Wednesday that by 2014 it expects to be part of about 15 healthcare exchanges being established under government reforms.,normal
AXP,American Express Company,20121212,TEXT - S&P affirms Express Pipeline Partnership ratings ,Overview      -- Spectra Energy Corp. (BBB+/Stable/--) announced that it has entered  into a definitive agreement to purchase 100% of the ownership interests in the  Express Pipeline System from Borealis Infrastructure  the Ontario Teachers'  Pension Plan  and Kinder Morgan Energy Partners L.P. for $1.49 billion.      -- We are affirming the rating on Express' 'BBB-' $250 million  subordinated secured notes due 2017 and the rating on its 'BBB' $110 million  senior secured notes due 2020. In addi,topStory
AIG,American International Group Inc,20121212,AIG "profits" an insult to the concept: James Saft ,To say taxpayers made money from their investment in AIG is to libel the very concept of profit.,topStory
AIG,American International Group Inc,20121212,COLUMN-AIG 'profits' an insult to the concept: James Saft ,Dec 12 To say taxpayers made money from their investment in AIG is to libel the very concept of profit.,normal
ADM,Archer-Daniels-Midland Company,20121212,Australia's GrainCorp rejects sweetened ADM offer ,SYDNEY  Dec 13 GrainCorp Ltd rejected on Thursday a sweetened $2.9 billion bid from U.S. agribusiness giant Archer Daniels Midland Co  saying the offer materially undervalues Australia's last major independent grains handler.,topStory
AVP,Avon Products Inc,20121212,Cosmetic giant Avon will cut 1 500 jobs globally ,Avon Products Inc  said it will cut about 1 500 jobs globally and will exit the South Korea and Vietnam markets as part of a turnaround plan announced in November.,topStory
AVP,Avon Products Inc,20121212,Cosmetic giant Avon will cut 1 500 jobs globally ,Dec 11 Avon Products Inc said it will cut about 1 500 jobs globally and will exit the South Korea and Vietnam markets as part of a turnaround plan announced in November.,normal
BNS,Bank of Nova Scotia (The),20121212,New Issue-Bank of Nova Scotia sells $1 bln of notes ,Dec 12 Bank of Nova Scotia on Tuesday sold $1 billion of senior notes  said IFR  a Thomson Reuters service.     Bank of America Merrill Lynch  Barclays  Citigroup  J.P. Morgan  and Scotia were the joint bookrunning managers for the sale.  BORROWER: BANK OF NOVA SCOTIA  AMT $1 BLN        COUPON 1.375 PCT     MATURITY 12/18/2017 TYPE SR NTS       ISS PRICE 99.889     FIRST PAY 06/18/2013 MOODY'S Aa1       YIELD 1.398 PCT      SETTLEMENT 12/18/2012 S&P AA-MINUS      SPREAD 77 BPS       ,topStory
BCS,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON Barclays  has appointed Hector Sants  former boss of British regulator the Financial Services Authority  to oversee its compliance and relationship with governments and regulators as it looks to repair its battered reputation.,topStory
BCS,Barclays PLC,20121212,UPDATE 1-Barclays names ex-FSA boss Sants as compliance chief ,* Sants will also oversee relations with governments  regulators,normal
BCS,Barclays PLC,20121212,Barclays names ex-FSA boss Sants as compliance chief ,LONDON  Dec 12 Barclays has appointed Hector Sants  former boss of Britain's financial regulator  to oversee its compliance and relationship with governments and regulators.,normal
BCS,Barclays PLC,20121212,PRESS DIGEST - British business - Dec 12 ,BARCLAYS FINED BY SPAIN OVER 'LOW-RISK; BOND TRANSACTIONS,normal
BHP,BHP Billiton Limited,20121212,Australia shares rise near 17-mth high led by resource sector ,(Updates to close)     CANBERRA  Dec 12 Australian shares neared a 17-month high on Wednesday  as the resource sector rose on higher commodities prices.     Top miner BHP Billiton Ltd climbed almost 1 percent after it said it would sell its interest in the Browse liquefied natural gas project to PetroChina International Investment (Australia) Pty Ltd for $1.63 billion.       The S&P/ASX 200 index rose inched up 0.2 percent  or 7.8 points  to 4 583.8  extending gains into a fourth str,topStory
BBL,BHP Billiton plc,20121212,UPDATE 4-PetroChina on prowl offshore  buys into Australia LNG project ,* Deal hinges on other partners choosing not to match sale price,topStory
BLK,BlackRock Inc,20121212,Power grid expansion to boost infrastructure groups -BlackRock ,* German strategy shift to trigger infrastructure spending,topStory
BLK,BlackRock Inc,20121212,BlackRock sees S&P 500 at 1 600 by end-2013 ,NEW YORK BlackRock  one of the world's biggest asset managers  expects the S&P 500 to hit a new record high in 2013  with the broad measure of U.S. stocks reaching 1 600 by the end of the year.,normal
BLK,BlackRock Inc,20121212,BlackRock sees S&P 500 at 1 600 by end-2013 ,NEW YORK  Dec 12 BlackRock  one of the world's biggest asset managers  expects the S&P 500 to hit a new record high in 2013  with the broad measure of U.S. stocks reaching 1 600 by the end of the year.,normal
BA,Boeing Company (The),20121212,BMW to collaborate with Boeing on carbon fiber ,FRANKFURT German carmaker BMW  and U.S. aircraft maker Boeing  are to exchange information about making carbon fiber  an emerging battleground among auto and plane makers.,topStory
BA,Boeing Company (The),20121212,REFILE-UPDATE 1-BMW to collaborate with Boeing on carbon fibre ,FRANKFURT  Dec 12 German carmaker BMW  and U.S. aircraft maker Boeing are to exchange information about making carbon fibre  an emerging battleground among auto and plane makers.,normal
BA,Boeing Company (The),20121212,BMW to collaborate with Boeing on carbon fibre ,FRANKFURT  Dec 12 BMW said it has signed a collaboration agreement with Boeing to share manufacturing knowledge about carbon fibre.,normal
