AMZN,Amazoncom Inc,20150617,Amazon insists federal rules apply to U.S. deliveries by drone ,WASHINGTON Amazon.com  seeking to bolster its efforts to deliver products via drone  said on Tuesday that states and local communities should not be allowed to regulate unmanned aerial systems (UAS) authorized by federal aviation regulators.,topStory
BGCP,BGC Partners Inc,20150617,Chris Evans to replace Clarkson as host of UK's Top Gear TV show ,LONDON Television and radio presenter Chris Evans is to become the new host of Britain's globally popular Top Gear TV motoring show  replacing Jeremy Clarkson who was dropped by the BBC in March after he attacked a producer.,topStory
BMRN,BioMarin Pharmaceutical Inc,20150617,BioMarin's dwarfism drug improves growth in a mid-stage study ,BioMarin Pharmaceutical Inc said its experimental drug was effective in improving growth in children with the most common form of dwarfism in a mid-stage study.,topStory
BMRN,BioMarin Pharmaceutical Inc,20150617,UPDATE 1-BioMarin's dwarfism drug improves growth in a mid-stage study ,June 17 BioMarin Pharmaceutical Inc  said its experimental drug was effective in improving growth in children with the most common form of dwarfism in a mid-stage study.,normal
BMRN,BioMarin Pharmaceutical Inc,20150617,BioMarin's dwarfism treatment improves growth in mid-stage study ,June 17 BioMarin Pharmaceutical Inc  said its experimental drug was effective in improving growth in children with the most common form of dwarfism in a mid-stage study.,normal
CSCO,Cisco Systems Inc,20150617,U.S. tech firm Cisco to invest $10 billion in China expansion ,BEIJING Cisco  plans to invest more than $10 billion in China along with local business partners over the next several years  the U.S. network equipment maker said on Wednesday  as it seeks to shore up its position against strong domestic rivals.,topStory
CSCO,Cisco Systems Inc,20150617,U.S. tech firm Cisco to invest $10 billion in China expansion ,BEIJING  June 17 Cisco plans to invest more than $10 billion in China along with local business partners over the next several years  the U.S. network equipment maker said on Wednesday  as it seeks to shore up its position against strong domestic rivals.,normal
CMCSA,Comcast Corporation,20150617,UPDATE 1-Comcast not interested in buying T-Mobile -source ,NEW YORK/FRANKFURT  June 17 U.S. cable company Comcast Corp is not interested in buying wireless carrier T-Mobile US  a person familiar with the situation said on Wednesday.,topStory
CMCSA,Comcast Corporation,20150617,Deutsche Telekom talks to Comcast about T-Mobile US sale: Manager Magazin ,FRANKFURT Deutsche Telekom is in talks with U.S. cable company Comcast about a potential sale of T-Mobile US  German Manager Magazin reported on Wednesday  citing sources. | Video ,normal
CMCSA,Comcast Corporation,20150617,Deals of the day- Mergers and acquisitions ,June 17 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
CMCSA,Comcast Corporation,20150617,Deutsche Telekom talks to Comcast about T-Mobile US sale -Manager Magazin ,FRANKFURT  June 17 Deutsche Telekom  is in talks with U.S. cable company Comcast about a potential sale of T-Mobile US  German Manager Magazin reported on Wednesday  citing sources.,normal
COST,Costco Wholesale Corporation,20150617,Brent edges up  U.S. crude off low as Fed weakens dollar ,NEW YORK Brent crude edged up and U.S. crude eased on Wednesday in volatile trading as both contracts trimmed losses after the Federal Reserve left the outlook for interest rate increases uncertain  brokers and analysts said. | Video ,topStory
FLEX,Flex Ltd,20150617,EU mergers and takeovers (June 17) ,BRUSSELS  June 17 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GRIF,Griffin Industrial Realty Inc,20150617,BRIEF-Investec Property Fund to launch accelerated bookbuild ,* To facilitate Griffin acquisition: Investec Bank will dispose of Investec Property Fund shares via secondary placement via an accelerated bookbuild,topStory
MSFT,Microsoft Corporation,20150617,Stephen Elop  former Nokia CEO  to leave Microsoft ,SEATTLE Stephen Elop  the former top boss at phone-maker Nokia  is one of four high-level executives leaving Microsoft Corp as the company sharpens its focus on software services and the cloud  Chief Executive Satya Nadella announced on Wednesday.,topStory
MSFT,Microsoft Corporation,20150617,UPDATE 2-Stephen Elop  former Nokia CEO  to leave Microsoft ,SEATTLE  June 17 Stephen Elop  the former top boss at phone-maker Nokia  is one of four high-level executives leaving Microsoft Corp as the company sharpens its focus on software services and the cloud  Chief Executive Satya Nadella announced on Wednesday.,normal
MSFT,Microsoft Corporation,20150617,Virtual reality dominates floor at E3 gaming show ,LOS ANGELES Virtual reality gaming  once a distant concept  became the new battleground at this year's E3 industry convention  with developers seeking to win over fans with their immersive headsets and accessories. | Video ,normal
MSFT,Microsoft Corporation,20150617,CORRECTED-Stephen Elop  former Nokia CEO  to leave Microsoft ,June 17 Microsoft Corp said former Nokia Oyj top boss  Stephen Elop  is leaving the software maker as part of a shakeup in its senior leadership.,normal
LABL,Multi-Color Corporation,20150617,Malaysia's Super Enterprise gets takeover offer from Nasdaq-listed firm ,KUALA LUMPUR  June 17 Malaysian self-adhesive label maker Super Enterprise Holdings Bhd has received a takeover offer from Nasdaq-listed Multi-Color Corp of 3.80 ringgit per share or 158.37 million ringgit ($42.15 million)  it said in a local stock exchange filing.,topStory
SBUX,Starbucks Corporation,20150617,Starbucks to close all La Boulange retail locations ,Starbucks Corp  the world's biggest coffee chain  said it would close all 23 of its La Boulange retail locations by the end of September as the stores were not sustainable for its long-term growth.,topStory
SBUX,Starbucks Corporation,20150617,UPDATE 1-Starbucks to close all La Boulange retail locations ,June 16 Starbucks Corp  the world's biggest coffee chain  said it would close all 23 of its La Boulange retail locations by the end of September as the stores were not sustainable for its long-term growth.,normal
SBUX,Starbucks Corporation,20150617,Starbucks to close all its La Boulange retail locations ,June 16 Starbucks Corp said late Tuesday it would close all 23 La Boulange retail locations as well as the two manufacturing facilities that serve those locations  by the end of September.,normal
SGYP,Synergy Pharmaceuticals Inc,20150617,Synergy Pharma's constipation drug succeeds in late-stage study ,Synergy Pharmaceuticals Inc said its drug to treat idiopathic constipation met the main goal in a late-stage trial  sending its shares up as much as 67 percent to a four-year high.,topStory
SGYP,Synergy Pharmaceuticals Inc,20150617,UPDATE 2-Synergy Pharma's constipation drug succeeds in late-stage study ,* Shares rise as much as 67 pct  highest in 4 years   (Adds analyst comment; updates shares),normal
SGYP,Synergy Pharmaceuticals Inc,20150617,Synergy Pharma constipation drug succeeds in late-stage study ,June 17 Synergy Pharmaceuticals Inc  said its experimental drug for treating idiopathic constipation was found safe and effective in a late-stage trial.,normal
MIDD,The Middleby Corporation,20150617,BRIEF-AGA Rangemaster says in deal talks with Middleby Corp ,* In discussions with Middleby Corporation regarding a possible cash offer for company.,topStory
WPPGY,WPP plc,20150617,BRIEF-WPP increases stake in TechEdge from 20 pct to 49 pct ,* WPP increase its stake in TAM analysis software company  TechEdge in Denmark,topStory
AEB,Aegon NV,20150617,Wawrinka cut down by Anderson bombardment ,LONDON French Open champion Stanislas Wawrinka was scythed back to earth by big-serving South African Kevin Anderson on the Queen's Club grass as the Swiss bowed out of the Aegon Championships 7-6(4) 7-6(11) on Wednesday.,topStory
AEB,Aegon NV,20150617,Azarenka injures foot  Ivanovic loses in Birmingham ,LONDON Former world number one Victoria Azarenka was forced out of the Aegon Classic in Birmingham with a foot injury on Wednesday shortly after defending champion Ana Ivanovic suffered a shock defeat.,normal
AED,Aegon NV,20150617,Wawrinka cut down by Anderson bombardment ,LONDON French Open champion Stanislas Wawrinka was scythed back to earth by big-serving South African Kevin Anderson on the Queen's Club grass as the Swiss bowed out of the Aegon Championships 7-6(4) 7-6(11) on Wednesday.,topStory
AED,Aegon NV,20150617,Azarenka injures foot  Ivanovic loses in Birmingham ,LONDON Former world number one Victoria Azarenka was forced out of the Aegon Classic in Birmingham with a foot injury on Wednesday shortly after defending champion Ana Ivanovic suffered a shock defeat.,normal
AEG,Aegon NV,20150617,Wawrinka cut down by Anderson bombardment ,LONDON French Open champion Stanislas Wawrinka was scythed back to earth by big-serving South African Kevin Anderson on the Queen's Club grass as the Swiss bowed out of the Aegon Championships 7-6(4) 7-6(11) on Wednesday.,topStory
AEG,Aegon NV,20150617,Azarenka injures foot  Ivanovic loses in Birmingham ,LONDON Former world number one Victoria Azarenka was forced out of the Aegon Classic in Birmingham with a foot injury on Wednesday shortly after defending champion Ana Ivanovic suffered a shock defeat.,normal
AEH,Aegon NV,20150617,Wawrinka cut down by Anderson bombardment ,LONDON French Open champion Stanislas Wawrinka was scythed back to earth by big-serving South African Kevin Anderson on the Queen's Club grass as the Swiss bowed out of the Aegon Championships 7-6(4) 7-6(11) on Wednesday.,topStory
AEH,Aegon NV,20150617,Azarenka injures foot  Ivanovic loses in Birmingham ,LONDON Former world number one Victoria Azarenka was forced out of the Aegon Classic in Birmingham with a foot injury on Wednesday shortly after defending champion Ana Ivanovic suffered a shock defeat.,normal
AEK,Aegon NV,20150617,Wawrinka cut down by Anderson bombardment ,LONDON French Open champion Stanislas Wawrinka was scythed back to earth by big-serving South African Kevin Anderson on the Queen's Club grass as the Swiss bowed out of the Aegon Championships 7-6(4) 7-6(11) on Wednesday.,topStory
AEK,Aegon NV,20150617,Azarenka injures foot  Ivanovic loses in Birmingham ,LONDON Former world number one Victoria Azarenka was forced out of the Aegon Classic in Birmingham with a foot injury on Wednesday shortly after defending champion Ana Ivanovic suffered a shock defeat.,normal
A,Agilent Technologies Inc,20150617,UPDATE 2-Keysight Technologies to buy UK's Anite in $607 mln deal ,* Anite shares up as much as 25 pct   (Adds share movement  analyst comment),normal
BABA,Alibaba Group Holding Limited,20150617,BRIEF-Hubei Xinyangfeng Fertilizer to cooperate with Alibaba's software firm ,* Says signs cooperation agreement with Alibaba's software firm to develop e-commerce business,topStory
AGN,Allergan plc,20150617,Allergan to buy Kythera Biopharmaceuticals for $2.1 billion ,Botox-maker Allergan Plc  said it would buy Kythera Biopharmaceuticals Inc  in a cash-and-stock deal valued at about $2.1 billion  to expand its line of cosmetic treatments.,topStory
AGN,Allergan plc,20150617,UPDATE 1-Allergan to buy Kythera Biopharmaceuticals for $2.1 billion ,June 17 Botox-maker Allergan Plc said it would buy Kythera Biopharmaceuticals Inc in a cash-and-stock deal valued at about $2.1 billion  to expand its line of cosmetic treatments.,normal
AGN,Allergan plc,20150617,Allergan to buy Kythera Biopharmaceuticals for $2.1 billion ,June 17 Botox-maker Allergan Inc said it would buy Kythera Biopharmaceuticals Inc in a cash-and-stock deal valued at about $2.1 billion  to expand its line of cosmetic treatments.,normal
T,AT&T Inc,20150617,AT&T  Sidley Austin lawyers to appeal missed deadline case to Supreme Court ,AT&T Inc  which was found to be too late to appeal a $40 million judgment against the company in a patent infringement lawsuit because its attorneys did not read key rulings in time  will ask the U.S. Supreme Court to review the case.,topStory
T,AT&T Inc,20150617,AT&T faces potential $100 million U.S. fine over 'throttling' disclosures ,WASHINGTON The U.S. Federal Communications Commission on Wednesday proposed a $100 million fine for AT&T Inc   accusing the No. 2 wireless carrier of misleading customers who paid for unlimited data plans about possible slowing of download speeds.,normal
T,AT&T Inc,20150617,AT&T faces potential $100 mln U.S. fine over 'throttling' disclosures ,WASHINGTON The U.S. Federal Communications Commission on Wednesday proposed a $100 million fine for AT&T Inc  accusing the No. 2 wireless carrier of misleading customers who paid for unlimited data plans about possible slowing of download speeds.,normal
T,AT&T Inc,20150617,UPDATE 1-AT&T faces potential $100 mln U.S. fine over 'throttling' disclosures ,WASHINGTON  June 17 The U.S. Federal Communications Commission on Wednesday proposed a $100 million fine for AT&T Inc  accusing the No. 2 wireless carrier of misleading customers who paid for unlimited data plans about possible slowing of download speeds.,normal
T,AT&T Inc,20150617,U.S. FCC plans $100 mln fine for AT&T over 'throttling' disclosures ,WASHINGTON  June 17 The U.S. Federal Communications Commission on Wednesday proposed a $100 million fine against AT&T Inc  accusing the second-largest U.S. wireless carrier of misleading unlimited-data customers about possible slowdowns in download speeds.,normal
BLL,Ball Corporation,20150617,EU regulators to decide by July 20 on Ball's $6.9 billion Rexam bid ,BRUSSELS European Union market competition regulators are set to decide by July 20 whether to approve the 4.4 billion-pound ($6.9 billion) merger deal between Ball Corp and Rexam Plc  the world's two largest makers of drinks cans.,topStory
BLL,Ball Corporation,20150617,UPDATE 1-EU regulators to decide by July 20 on Ball's $6.9 bln Rexam bid ,BRUSSELS  June 16 European Union market competition regulators are set to decide by July 20 whether to approve the 4.4 billion-pound ($6.9 billion) merger deal between Ball Corp and Rexam Plc  the world's two largest makers of drinks cans.,normal
BBD,Banco Bradesco Sa,20150617,Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,topStory
BBD,Banco Bradesco Sa,20150617,UPDATE 1-Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
BBD,Banco Bradesco Sa,20150617,Brazil's Bradesco to place bid for HSBC Brasil  Estado says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer for HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
BBDO,Banco Bradesco Sa,20150617,Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,topStory
BBDO,Banco Bradesco Sa,20150617,UPDATE 1-Brazil's Bradesco to bid for HSBC Brasil  newswire says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer to buy HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
BBDO,Banco Bradesco Sa,20150617,Brazil's Bradesco to place bid for HSBC Brasil  Estado says ,SAO PAULO  June 17 Banco Bradesco SA  Brazil's No. 2 private-sector bank  will make a binding offer for HSBC Holdings Plc's Brazilian unit next month  the newswire service of O Estado de S. Paulo newspaper said on Wednesday.,normal
BNS,Bank of Nova Scotia (The),20150617,Ontario selects Scotiabank  RBC to lead Hydro One IPO ,TORONTO  June 17 The government of Ontario has selected investment banks Scotiabank and RBC Capital Markets as bookrunners for the initial public offering of electric utility Hydro One.,topStory
BCS,Barclays PLC,20150617,Barclays to refocus U.S. mortgage trading ,NEW YORK Barclays Plc  will no longer make markets for mortgage-backed bonds issued prior to the financial crisis as they have become less profitable under tighter British regulations on these securities  a bank spokesman said on Wednesday.,topStory
BCS,Barclays PLC,20150617,REFILE-Barclays to refocus U.S. mortgage trading ,NEW YORK  June 17 Barclays Plc will no longer make markets for mortgage-backed bonds issued prior to the financial crisis as they have become less profitable under tighter British regulations on these securities  a bank spokesman said on Wednesday.,normal
ABX,Barrick Gold Corporation,20150617,Mick Davis' X2 out as bidder for Barrick Chile copper mine -sources ,June 17 Former Xstrata boss Mick Davis' X2 Resources  long considered a front runner  is out of the race for a stake in Barrick Gold's Zaldivar copper mine in Chile after it was outbid in the first round of the sale process  according to three sources close to the matter.,topStory
BGCA,BGC Partners Inc,20150617,Chris Evans to replace Clarkson as host of UK's Top Gear TV show ,LONDON Television and radio presenter Chris Evans is to become the new host of Britain's globally popular Top Gear TV motoring show  replacing Jeremy Clarkson who was dropped by the BBC in March after he attacked a producer.,topStory
BBL,BHP Billiton plc,20150617,BHP Billiton offers one LNG cargo from Australian export plant ,MILAN  June 17 A division of mining group BHP Billiton is holding a closed tender to sell a liquefied natural gas (LNG) cargo from Australia's North West Shelf export plant  trading sources said.,topStory
BA,Boeing Company (The),20150617,Boeing gets 747 boost as Russian firm signs up for more freighters ,PARIS Boeing  won breathing space for its struggling jumbo jet  on Wednesday with a preliminary deal for 20 of its 747-8 freighters from Russian cargo airline Volga-Dnepr Group.,topStory
BA,Boeing Company (The),20150617,Boeing  Bell eye up to 100 more sales of V-22 Osprey ,PARIS Boeing Co  and Bell Helicopter  makers of the V-22 Osprey   say more countries are interested in buying the tiltrotor aircraft  with another 100 sales possible in coming years.,normal
BA,Boeing Company (The),20150617,AIRSHOW-Boeing  Bell eye up to 100 more sales of V-22 Osprey ,PARIS  June 17 Boeing Co and Bell Helicopter  makers of the V-22 Osprey   say more countries are interested in buying the tiltrotor aircraft  with another 100 sales possible in coming years.,normal
BA,Boeing Company (The),20150617,AIRSHOW-Boeing gets 747 boost as Russian firm signs up for more freighters ,PARIS  June 17 Russian cargo airline Volga-Dnepr Group has signed a memorandum of understanding to buy and lease a total of 20 more Boeing 747-freighters in what would be a major boost for the U.S. planemaker's struggling four-engined jumbo.,normal
BA,Boeing Company (The),20150617,AIRSHOW-Boeing says Ethiopian Airlines orders more Dreamliners ,PARIS  June 17 Boeing announced at the Paris air show on Wednesday that Ethiopian Airlines was the unidentified customer behind a previously announced order for six 787-8 Dreamliners  worth $1.3 billion at list prices.,normal
CNQ,Canadian Natural Resources Limited,20150617,UPDATE 1-CNRL says risks associated with adjusting Alberta's royalty regime ,CALGARY  Alberta  June 17 Canadian Natural Resources Ltd  the country's No. 1 independent oil producer  warned on Wednesday about the risks of adjusting Alberta's oil and gas royalties regime and said the province needed to remain competitive.,topStory
CNQ,Canadian Natural Resources Limited,20150617,CNRL Horizon project ramping up this week after maintenance completed ,CALGARY  Alberta  June 17 Planned maintenance at Canadian Natural Resources Ltd's 125 000-barrel-per-day Horizon oil sands project has been completed and synthetic crude production resumed on Monday  the company said on Wednesday.,normal
CNQ,Canadian Natural Resources Limited,20150617,CNRL says Q2 production cut by 7 500 bpd as a result of wildfires ,CALGARY  Alberta  June 17 Canadian Natural Resources Ltd's second-quarter production will be reduced by approximately 7 500 barrel per day as a result of wildfires in Alberta that shut in output at the Primrose and Kirby South projects  the company said on Wednesday.,normal
CNQ,Canadian Natural Resources Limited,20150617,CNRL says risks associated with adjusting Alberta's royalty regime ,CALGARY  Alberta  June 17 The risk of getting adjustments to Alberta's oil and gas royalty regime wrong is high  Canadian Natural Resources Ltd President Steve Laut said on Wednesday  adding that Alberta needs to remain competitive with other Canadian provinces.,normal
CCV,Comcast Corporation,20150617,UPDATE 1-Comcast not interested in buying T-Mobile -source ,NEW YORK/FRANKFURT  June 17 U.S. cable company Comcast Corp is not interested in buying wireless carrier T-Mobile US  a person familiar with the situation said on Wednesday.,topStory
CCV,Comcast Corporation,20150617,Deutsche Telekom talks to Comcast about T-Mobile US sale: Manager Magazin ,FRANKFURT Deutsche Telekom is in talks with U.S. cable company Comcast about a potential sale of T-Mobile US  German Manager Magazin reported on Wednesday  citing sources. | Video ,normal
CCV,Comcast Corporation,20150617,Deals of the day- Mergers and acquisitions ,June 17 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,normal
CCV,Comcast Corporation,20150617,Deutsche Telekom talks to Comcast about T-Mobile US sale -Manager Magazin ,FRANKFURT  June 17 Deutsche Telekom  is in talks with U.S. cable company Comcast about a potential sale of T-Mobile US  German Manager Magazin reported on Wednesday  citing sources.,normal
COTY,Coty Inc,20150617,Deals of the day- Mergers and acquisitions ,June 17 The following bids  mergers  acquisitions and disposals were reported by 1330 GMT on Wednesday:,topStory
COTY,Coty Inc,20150617,Coty on track to clinch P&G beauty deal in coming weeks: sources , (This June 16 story has been refiled to fix typo in Procter in first paragraph),normal
COTY,Coty Inc,20150617,REFILE-UPDATE 3-Coty on track to clinch P&G beauty deal in coming weeks-sources ,PARIS  June 16 Coty is on track to acquire Procter & Gamble's  beauty business in a $12 billion deal that would make the U.S. cosmetic company the world leader in perfume and hair care  sources close to the matter said.,normal
EC,Ecopetrol SA,20150617,UPDATE 1-Colombia's No. 2 oil pipeline shut after rebel bombings ,BOGOTA  June 17 Colombia's Cano Limon-Covenas oil pipeline  the country's second biggest by volume  has been shut due to damage from bomb attacks by leftist FARC rebels which caused a significant spill that has  contaminated two rivers  the army said on Wednesday.,topStory
EW,Edwards Lifesciences Corporation,20150617,Edwards gets U.S. approval for third generation heart valve ,The U.S. Food and Drug Administration on Wednesday said it approved Edwards Lifesciences Corp's Sapien 3 heart valve  the third-generation version of the company's system for replacing diseased aortic valves.,topStory
EW,Edwards Lifesciences Corporation,20150617,UPDATE 1-Edwards gets U.S. approval for 3rd generation heart valve ,June 17 The U.S. Food and Drug Administration on Wednesday said it approved Edwards Lifesciences Corp's  Sapien 3 heart valve  the third-generation version of the company's system for replacing diseased aortic valves.,normal
EW,Edwards Lifesciences Corporation,20150617,Edwards gets U.S. approval for 3rd generation heart valve ,June 17 The U.S. Food and Drug Administration on Wednesday said it approved Edwards Lifesciences Corp's  Sapien 3 heart valve  the third-generation version of the company's system for replacing diseased aortic valves.,normal
XOM,Exxon Mobil Corporation,20150617,UPDATE 2-Sechin says only that Rosneft on schedule in Kara Sea ,* Sechin promises to keep output stable in 2015-2017   (Adds details  quotes  background  combines stories),topStory
FDX,FedEx Corporation,20150617,US STOCKS-Wall St ends higher in choppy post-Fed trading ,* Indexes up: Dow 0.17 pct  S&P 0.2 pct  Nasdaq 0.18 pct   (Updates to close),topStory
FDX,FedEx Corporation,20150617,FedEx swings to quarterly net loss  weighed by pensions ,CHICAGO Package delivery company FedEx Corp  on Wednesday posted a fiscal fourth-quarter net loss of $895 million  weighed by pension costs  a stronger dollar and lower fuel surcharges.,normal
FDX,FedEx Corporation,20150617,UPDATE 2-FedEx swings to quarterly net loss  weighed by pensions ,CHICAGO  June 17 Package delivery company FedEx Corp on Wednesday posted a fiscal fourth-quarter net loss of $895 million  weighed by pension costs  a stronger dollar and lower fuel surcharges.,normal
FDX,FedEx Corporation,20150617,US STOCKS-Wall St opens higher ahead of Fed statement ,* Indexes up: Dow 0.29 pct  S&P 0.26 pct  Nasdaq 0.29 pct   (Updates to open),normal
FDX,FedEx Corporation,20150617,US STOCKS-Wall St set to open little changed ahead of Fed statement ,* Futures up: Dow 40 pts  S&P 3.5 pts  Nasdaq 5.25 pts   (Adds details  comment; updates prices),normal
FDX,FedEx Corporation,20150617,CORRECTED-FedEx posts quarterly loss due to pension charges ,CHICAGO  June 17 Package delivery firm FedEx Corp on Wednesday reported a quarterly net loss due to a $2.2 non-cash pretax charge related to a move to mark-to-market accounting for employee pensions.,normal
FCAU,Fiat Chrysler Automobiles NV,20150617,Exclusive: GM and FCA line up financial advisers in merger stand-off ,LONDON/MILAN/DETROIT General Motors  and Fiat Chrysler Automobiles (FCA)  have turned to investment banks for help to deal with a stand-off as FCA seeks to force a merger with its Detroit-based rival  according to sources familiar with the matter.,topStory
BEN,Franklin Resources Inc,20150617,Franklin Templeton raises $1.3 billion in retail-friendly hedge fund ,LONDON A Franklin Templeton hedge fund strategy aimed at retail investors has taken in $1.3 billion since its 2013 launch to become its fastest growing fund launch of any stripe over the last five years  company officials said.,topStory
BEN,Franklin Resources Inc,20150617,REFILE-Franklin Templeton raises $1.3 bln in retail-friendly hedge fund ,LONDON  June 17 A Franklin Templeton hedge fund strategy aimed at retail investors has taken in $1.3 billion since its 2013 launch to become its fastest growing fund launch of any stripe over the last five years  company officials said.,normal
BEN,Franklin Resources Inc,20150617,Franklin Templeton raises $1.3 billion in retail-friendly hedge fund ,LONDON A Franklin Templeton hedge fund aimed at retail investors has taken in $1.3 billion since its 2013 launch to become its fastest growing fund launch of any stripe over the last five years  company officials said.,normal
GPS,Gap Inc (The),20150617,UPDATE 2-Mexico court rules for airport operator GAP over Grupo Mexico ,MEXICO CITY  June 17 Mexico's Supreme Court on Wednesday ruled in favor of airport operator Grupo Aeroportuario del Pacifico (GAP) in a four-year dispute with mining and railroad company Grupo Mexico.,topStory
GPS,Gap Inc (The),20150617,Mexico court rules for airport operator GAP vs Grupo Mexico ,MEXICO CITY Mexico's Supreme Court on Wednesday ruled in favor of airport operator Grupo Aeroportuario del Pacifico (GAP) in its shareholder dispute with railroad and mining company Grupo Mexico.,normal
GPS,Gap Inc (The),20150617,Beyond basics: 'More feminine' styles key to reviving Gap brand ,The world didn't end in 2012  but things haven't been the same since then for Gap Inc's  flagship clothing chain.,normal
GPS,Gap Inc (The),20150617,Beyond basics: "More feminine" styles key to reviving Gap brand ,June 17 The world didn't end in 2012  but things haven't been the same since then for Gap Inc's flagship clothing chain.,normal
GEH,General Electric Capital Corporation,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,topStory
GEH,General Electric Capital Corporation,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON  June 17 General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,normal
GEH,General Electric Capital Corporation,20150617,Geometric Power  GE to build 1 080 MW plant in Nigeria ,LAGOS  June 17 Nigeria's Geometric Power will build a 1 080 megawatt power plant jointly with General Electric   with the first phase of the project generating 500 MW expected to be completed in 2019 at a cost of $800 million.,normal
GEK,General Electric Capital Corporation,20150617,GE's Immelt: U.S. retreat from ExIm  trade will cost jobs  influence ,WASHINGTON General Electric Co  Chairman Jeff Immelt warned on Wednesday that the company would move manufacturing jobs to Canada and Europe if the Export-Import Bank closes and that U.S. economic influence will wane if Congress blocks a major Pacific-rim trade pact.,topStory
