AMCX,AMC Networks Inc,20150501,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from May 1  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> C,topStory
MDCO,The Medicines Company,20150501,UPDATE 1-FDA approves the Medicines Co's pain drug device Ionsys ,April 30 The U.S. Food and Drug Administration approved the Medicines Co's drug device Ionsys for postoperative pain for hospital use  the company said on Thursday.,normal
WEN,Wendy&#39;s Company (The),20150501,McDonald's shares poised for big move; bullish bets rise ,NEW YORK Options traders appear poised for a big move in McDonald's Corp's  shares as the world's biggest restaurant chain is set to unveil a much-awaited turnaround plan on Monday  and bullish bets have picked up in recent days.,topStory
AXP,American Express Company,20150501,American Express told it cannot enforce anti-steering rules against merchants ,NEW YORK Merchants unhappy with the fees American Express Co  charges them may steer customers toward less expensive cards without fearing retaliation from the credit card company  a federal judge ruled on Thursday.,topStory
AXP,American Express Company,20150501,UPDATE 2-American Express told it cannot enforce anti-steering rules against merchants ,NEW YORK  April 30 Merchants unhappy with the fees American Express Co  charges them may steer customers toward less expensive cards without fearing retaliation from the credit card company  a federal judge ruled on Thursday.,normal
T,AT&T Inc,20150501,AT&T  U.S. telecom groups seek to block new Internet rules ,WASHINGTON AT&T Inc  CenturyLink Inc  and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday  citing "crushing" compliance costs and threats to investment.,topStory
T,AT&T Inc,20150501,UPDATE 2-AT&T  U.S. telecom groups seek to block new Internet rules ,WASHINGTON  May 1 AT&T Inc  CenturyLink Inc and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday  citing "crushing" compliance costs and threats to investment.,normal
T,AT&T Inc,20150501,U.S. telecom groups  AT&T seek to block new Internet rules ,WASHINGTON U.S. telecom industry groups  alongside AT&T Inc and CenturyLink Inc  called for regulators to block parts of new rules for Internet service providers on Friday  citing "crushing" compliance costs and threats to investment.,normal
ABX,Barrick Gold Corporation,20150501,Barrick names BlackRock exec as head of business performance ,TORONTO  May 1 Barrick Gold Corp on Friday named Catherine Raw  a BlackRock executive and co-manager of one of its flagship mining funds  as head of business performance.,topStory
BBL,BHP Billiton plc,20150501,Australia shares snap 3 days of fall; rise 0.5 pct ,* CSL  Woolworths  IAG  QBE among bottom movers by index weight,topStory
BLK,BlackRock Inc,20150501,Barrick names BlackRock exec as head of business performance ,TORONTO  May 1 Barrick Gold Corp on Friday named Catherine Raw  a BlackRock executive and co-manager of one of its flagship mining funds  as head of business performance.,topStory
BP,BP plc,20150501,UPDATE 1-Energy services firm Cape wins 100 mln stg BP contract ,May 1 British energy services firm Cape Plc  said it had secured a two-year contract from BP Plc  worth 100 million pounds ($153.4 million).,topStory
BP,BP plc,20150501,Energy services firm Cape wins 100 mln stg BP contract ,May 1 British energy services firm Cape Plc  said it had secured a two-year contract from BP Plc  worth about 100 million pounds ($153.43 million).,normal
BAM,Brookfield Asset Management Inc,20150501,Abertis  Brookfield bid to buy out rest of Brazil motorways business ,MADRID  May 1 Spanish infrastructure group Abertis said on Friday it was launching an offer to buy out the listed shares in its Brazilian motorways operator Arteris  alongside its partner  a unit of Canada's Brookfield Asset Management.,topStory
BG,Bunge Limited,20150501,UPDATE 1-Bunge resumes canola processing after fire; soy line down ,WINNIPEG  Manitoba  May 1 Oilseed processor Bunge Ltd restarted canola processing at its Hamilton  Ontario  plant late on Thursday after a fire  spokeswoman Deb Seidel said on Friday.,topStory
BG,Bunge Limited,20150501,Bunge resumes canola processing after fire; soy line down ,WINNIPEG  Manitoba  May 1 Oilseed processor Bunge Ltd restarted canola processing at its Hamilton  Ontario plant late on Thursday after a fire  spokeswoman Deb Seidel said on Friday.,normal
CTL,CenturyLink Inc,20150501,AT&T  U.S. telecom groups seek to block new Internet rules ,WASHINGTON AT&T Inc  CenturyLink Inc  and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday  citing "crushing" compliance costs and threats to investment.,topStory
CTL,CenturyLink Inc,20150501,UPDATE 2-AT&T  U.S. telecom groups seek to block new Internet rules ,WASHINGTON  May 1 AT&T Inc  CenturyLink Inc and U.S. telecom and cable industry groups called for regulators to block parts of new rules for Internet service providers on Friday  citing "crushing" compliance costs and threats to investment.,normal
CVX,Chevron Corporation,20150501,Chevron profit drops but beats expectations on refining margins ,Oil and natural gas producer Chevron Corp  reported a 43 percent drop in quarterly profit on Friday  though results beat analysts' expectations as cost cuts and robust refining margins helped offset the impact of tumbling crude prices.,topStory
CVX,Chevron Corporation,20150501,UPDATE 3-Chevron profit drops but beats expectations on refining margins ,May 1 Oil and natural gas producer Chevron Corp  reported a 43 percent drop in quarterly profit on Friday  though results beat analysts' expectations as cost cuts and robust refining margins helped offset the impact of tumbling crude prices.,normal
CVX,Chevron Corporation,20150501,BRIEF-Chevron says renegotiated contracts to save $900 mln this year ,* Says production in partition zone between Kuwait  Saudi Arabia could be hurt by inability to get work permits  supplies,normal
CVX,Chevron Corporation,20150501,RPT-UPDATE 2-Chevron profit beats expectations  cost cuts offset cheap oil ,May 1 Oil and natural gas producer Chevron Corp  reported a 43 percent drop in quarterly profit on Friday  though results beat analysts' expectations as cost cuts and robust refining margins helped offset the impact of tumbling oil prices.,normal
CVX,Chevron Corporation,20150501,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 1  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                    ,normal
CVX,Chevron Corporation,20150501,Chevron quarterly profit drops 43 percent on cheap oil ,May 1 Oil and natural gas producer Chevron Corp  posted a 43 percent drop in quarterly profit on Friday due to low oil prices .,normal
CVX,Chevron Corporation,20150501,Cyclone threat closes Australian port used by Chevron for LNG exports ,SYDNEY  May 1 An Australian port used by Chevron  for liquefied natural gas exports has been forced to close by a cyclone off the country's west coast.,normal
CL,Colgate-Palmolive Company,20150501,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 1  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                    ,normal
CCV,Comcast Corporation,20150501,Charter loss widens on costs from Comcast-Time Warner Cable deal ,Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp  and Time Warner Cable Inc  that involved assets it was planning to buy.,topStory
CCV,Comcast Corporation,20150501,UPDATE 2-Charter loss widens on costs from Comcast-Time Warner Cable deal ,May 1 Cable company Charter Communications Inc  reported a bigger quarterly loss  hurt by costs from a failed deal between Comcast Corp and Time Warner Cable Inc that involved assets it was planning to buy.,normal
CVS,CVS Health Corporation,20150501,CVS profit beats estimates on pharmacy services strength ,CVS Health Corp  reported higher-than-expected quarterly results on Friday  helped by increased revenue from its specialty pharmacy services and increased claim processing.,topStory
CVS,CVS Health Corporation,20150501,UPDATE 2-CVS profit beats estimates on pharmacy services strength ,May 1 CVS Health Corp reported higher-than-expected quarterly results on Friday  helped by increased revenue from its specialty pharmacy services and increased claim processing.,normal
CVS,CVS Health Corporation,20150501,Drugstore operator CVS reports 11 pct rise in revenue ,May 1 CVS Health Corp  the No.2 U.S drugstore operator  reported an 11 percent rise in quarterly net revenue  helped by higher revenue from specialty pharmacy services and an increase in pharmacy network claims.,normal
DVN,Devon Energy Corporation,20150501,Third Point takes stake in Yum! Brands  stock climbs ,BOSTON Billionaire investor Daniel Loeb said on Friday his hedge fund has taken a new position in Yum! Brands   sending the fast-food restaurant company's stock up nearly 7 percent.,topStory
DVN,Devon Energy Corporation,20150501,UPDATE 1-Third Point takes stakes in Yum! Brands  Devon Energy ,BOSTON  May 1 Hedge fund Third Point told investors Friday it has taken new positions in Yum! Brands  and Devon Energy and thinks U.S. stocks remain attractive because economic data should improve and a near-term rate hike seems unlikely.,normal
DVN,Devon Energy Corporation,20150501,Third Point takes stakes in Yum!  Devon-letter ,BOSTON  May 1 Hedge fund Third Point on Friday told investors that it has taken new positions in fast-food restaurant company Yum! Brands and Devon Energy and thinks U.S. stocks are still attractive because economic data should improve and a near term rate hike seems unlikely.,normal
DUK,Duke Energy Corporation,20150501,Duke Energy profit helped by unusually cold weather ,Duke Energy Corp   the largest U.S. power company by generation capacity  reported a higher-than-expected quarterly profit as exceptionally cold winter weather boosted electricity demand.,topStory
DUK,Duke Energy Corporation,20150501,UPDATE 1-Duke Energy profit helped by unusually cold weather ,May 1 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a higher-than-expected quarterly profit as exceptionally cold winter weather boosted electricity demand.,normal
DUK,Duke Energy Corporation,20150501,Duke Energy profit helped by unusually cold weather ,May 1 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a quarterly profit as exceptionally cold winter weather boosted electricity demand.,normal
DUKH,Duke Energy Corporation,20150501,Duke Energy profit helped by unusually cold weather ,Duke Energy Corp   the largest U.S. power company by generation capacity  reported a higher-than-expected quarterly profit as exceptionally cold winter weather boosted electricity demand.,topStory
DUKH,Duke Energy Corporation,20150501,UPDATE 1-Duke Energy profit helped by unusually cold weather ,May 1 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a higher-than-expected quarterly profit as exceptionally cold winter weather boosted electricity demand.,normal
DUKH,Duke Energy Corporation,20150501,Duke Energy profit helped by unusually cold weather ,May 1 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a quarterly profit as exceptionally cold winter weather boosted electricity demand.,normal
FDX,FedEx Corporation,20150501,BRIEF-TNT Express says makes progress on FedEx deal ,* FedEx and TNT Express confirm that the companies are making timely progress on the preparations for the offer,topStory
FCAU,Fiat Chrysler Automobiles NV,20150501,Fiat Chrysler Canada sales edge higher in April ,TORONTO  May 1 Fiat Chrysler Automobiles'  Canadian sales rose 1 percent to 27 473 cars and trucks in April  boosted by Jeep sales as well as the Chrysler 200 sedan.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150501,UPDATE 3-General Motors tops Canada auto sales in April ,TORONTO  May 1 General Motors Co jumped to the top of the Canadian sales rankings for April as it sold 15 percent more cars and trucks than a year earlier  the company said on Friday  winning a crown usually held by its rivals.,normal
FCAU,Fiat Chrysler Automobiles NV,20150501,Fiat Chrysler says expects U.S. auto industry April sales up 6 pct ,DETROIT  May 1 Fiat Chrysler Automobiles   said on Friday it expects April U.S. auto industry sales to rise 6 percent from a year ago.,normal
F,Ford Motor Company,20150501,CORRECTED-US STOCKS-Wall St ends up sharply as investors buy beaten-down shares ,May 1 U.S. stocks bounced back sharply on Friday as investors snapped up beaten-down shares in the healthcare and technology sectors  and as data gave further signs of a pickup in the economy.,topStory
F,Ford Motor Company,20150501,CORRECTED-(OFFICIAL)-UPDATE 4-U.S. auto sales disappoint in April as Asian automakers miss mark ,DETROIT  May 1 U.S. auto industry sales in April came in below expectations as Asia's major carmakers' results disappointed  offsetting strong gains for trucks and SUVs made by General Motors and Ford.,normal
F,Ford Motor Company,20150501,WRAPUP 3-Anemic U.S. factory data points to moderate growth bounce ,WASHINGTON  May 1 U.S. factory activity failed to gain steam in April after slowing for five straight months and demand for automobiles softened  suggesting the economy was struggling to find momentum after growth almost stalled in the first quarter.,normal
F,Ford Motor Company,20150501,UPDATE 3-General Motors tops Canada auto sales in April ,TORONTO  May 1 General Motors Co jumped to the top of the Canadian sales rankings for April as it sold 15 percent more cars and trucks than a year earlier  the company said on Friday  winning a crown usually held by its rivals.,normal
F,Ford Motor Company,20150501,Ford expands door latch recall to 156 000 more vehicles ,Ford Motor Co  said it was expanding a recall to include 156 000 more vehicles to fix a potential door latch malfunction.,normal
F,Ford Motor Company,20150501,U.S. manufacturing growth holds at low level in April  employment shrinks: ISM ,NEW YORK The pace of U.S. manufacturing growth held at its slowest in almost two years in April  as a rebound in new orders was offset by employment shrinking to its lowest level in more than five years  according to an industry report released on Friday.,normal
F,Ford Motor Company,20150501,Ford expands door latch recall to 156 000 more vehicles ,May 1 Ford Motor Co said it was expanding a recall to include 156 000 more vehicles to fix a potential door latch malfunction.,normal
GM,General Motors Company,20150501,CORRECTED-(OFFICIAL)-UPDATE 4-U.S. auto sales disappoint in April as Asian automakers miss mark ,DETROIT  May 1 U.S. auto industry sales in April came in below expectations as Asia's major carmakers' results disappointed  offsetting strong gains for trucks and SUVs made by General Motors and Ford.,topStory
GM,General Motors Company,20150501,UPDATE 3-General Motors tops Canada auto sales in April ,TORONTO  May 1 General Motors Co jumped to the top of the Canadian sales rankings for April as it sold 15 percent more cars and trucks than a year earlier  the company said on Friday  winning a crown usually held by its rivals.,normal
GSK,GlaxoSmithKline PLC,20150501,U.S. FDA approves Glaxo  Theravance's Breo Ellipta asthma drug ,The U.S. Food and Drug Administration on Thursday approved the sale of Breo Ellipta as a once-daily treatment for asthma in patients aged 18 and older  GlaxoSmithKline and Theravance Inc said.,topStory
GSK,GlaxoSmithKline PLC,20150501,Doubts grow over GlaxoSmithKline's $6 billion capital return plan ,LONDON GlaxoSmithKline  may ditch a plan to return 4 billion pounds ($6.1 billion) to investors  some analysts believe  as the drugmaker prepares to set out its vision for the reshaped group and a new chairman takes the helm.,normal
GSK,GlaxoSmithKline PLC,20150501,Doubts grow over GlaxoSmithKline's $6 bln capital return plan ,LONDON  May 1 GlaxoSmithKline may ditch a plan to return 4 billion pounds ($6.1 billion) to investors  some analysts believe  as the drugmaker prepares to set out its vision for the reshaped group and a new chairman takes the helm.,normal
GS,Goldman Sachs Group Inc (The),20150501,NY jury finds ex-Goldman programmer Aleynikov guilty of code theft ,NEW YORK A New York jury on Friday convicted a former Goldman Sachs Group Inc programmer of stealing some of the bank's high-frequency trading code  in a legal battle closely watched by Wall Street and the financial world.,topStory
GS,Goldman Sachs Group Inc (The),20150501,NY jury finds ex-Goldman programmer Aleynikov guilty of code theft ,NEW YORK A New York jury on Friday convicted a former Goldman Sachs Group Inc  programmer of stealing some of the bank's high-frequency trading code  in a legal battle closely watched by Wall Street and the financial world.,normal
GS,Goldman Sachs Group Inc (The),20150501,UPDATE 3-NY jury finds ex-Goldman programmer Aleynikov guilty of code theft ,NEW YORK  May 1 A New York jury on Friday convicted a former Goldman Sachs Group Inc programmer of stealing some of the bank's high-frequency trading code  in a legal battle closely watched by Wall Street and the financial world.,normal
GS,Goldman Sachs Group Inc (The),20150501,NY jury finds ex-Goldman programmer Aleynikov guilty of code theft ,NEW YORK  May 1 A jury on Friday convicted a former Goldman Sachs Group Inc programmer of stealing the investment bank's high-frequency trading code.,normal
GS,Goldman Sachs Group Inc (The),20150501,Rocket-backed Foodpanda raises $100 million in round led by Goldman ,FRANKFURT Foodpanda  an online takeaway delivery service backed by tech investor Rocket Internet  said on Friday it had received $100 million in a financing round led by a Goldman Sachs hedge fund.,normal
GS,Goldman Sachs Group Inc (The),20150501,Rocket-backed Foodpanda raises $100 mln in round led by Goldman ,FRANKFURT  May 1 Foodpanda  an online takeaway delivery service backed by tech investor Rocket Internet   said on Friday it had received $100 million in a financing round led by a Goldman Sachs hedge fund.,normal
JPM,J P Morgan Chase & Co,20150501,U.S. bid to extradite ex-JPMorgan trader from Spain hits dead end - filing ,NEW YORK U.S. prosecutors said Friday their efforts to extradite from Spain a former JPMorgan Chase & Co  executive charged in connection with the bank's $6.2 billion "London Whale" scandal had hit a dead end.,topStory
JPM,J P Morgan Chase & Co,20150501,U.S. bid to extradite ex-JPMorgan trader from Spain hits dead end: filing ,NEW YORK U.S. prosecutors said Friday their efforts to extradite from Spain a former JPMorgan Chase & Co executive charged in connection with the bank's $6.2 billion "London Whale" scandal had hit a dead end.,normal
JPM,J P Morgan Chase & Co,20150501,UPDATE 1-U.S. bid to extradite ex-JPMorgan trader from Spain hits dead end - filing ,NEW YORK  May 1 U.S. prosecutors said Friday their efforts to extradite from Spain a former JPMorgan Chase & Co executive charged in connection with the bank's $6.2 billion "London Whale" scandal had hit a dead end.,normal
JPM,J P Morgan Chase & Co,20150501,U.S. bid to extradite ex-JPMorgan trader from Spain hits dead end -filing ,NEW YORK  May 1 U.S. prosecutors said Friday their efforts extradite from Spain a former JPMorgan Chase & Co  executive charged in connection with the bank's $6.2 billion "London Whale" scandal had hit a dead end.,normal
LUK,Leucadia National Corporation,20150501,Macquarie revives talks with Jefferies on precious metals business: sources ,LONDON/NEW YORK Australia's Macquarie Group Ltd is looking to recruit the precious metals trading team of Jefferies Group LLC's commodities brokerage  two sources familiar with the matter said on Friday.,topStory
LYG,Lloyds Banking Group Plc,20150501,Britain's FTSE lifted by Lloyds and miners but election nerves start to show ,LONDON  May 1 Britain's top equity index gained ground on Friday as a surge in the shares of Lloyds bank  and miners boosted the market  although caution before next week's national election kept a lid on the progress.,topStory
LYG,Lloyds Banking Group Plc,20150501,UK's FTSE edges higher  Lloyds rallies after results ,LONDON  May 1 Britain's top equity index edged higher on Friday  with Lloyds surging after reporting profits at the top end of analysts' forecasts and miners advancing on expectations of further stimulus in China  the world's top metals consumer.,normal
LYG,Lloyds Banking Group Plc,20150501,Lloyds upbeat on UK growth as profits lifted by drop in bad debts ,LONDON Lloyds Banking Group  is confident next week's British national election will not derail healthy UK economic growth  it said on Friday after posting first-quarter profit up by a fifth  thanks to sharply lower losses on bad loans and wider margins.,normal
LYG,Lloyds Banking Group Plc,20150501,UPDATE 2-Lloyds upbeat on UK growth as profits lifted by drop in bad debts ,* CEO sees UK economy up 2.5-3 pct in 2015  little election risk,normal
LYG,Lloyds Banking Group Plc,20150501,BRIEF-Lloyds CEO expects UK economy to grow 2.5-3 pct this year ,* Lloyds ceo says expects uk economy to grow 2.5 to 3 percent this year  doesn't see election hurting economy  Further company coverage:    (Reporting By Steve Slater),normal
LYG,Lloyds Banking Group Plc,20150501,BRIEF-Lloyds lifts guidance on asset quality for 2015 ,* Full year asset quality ratio for 2015 now expected to be around 25 basis points (previously around 30 basis points,normal
LYG,Lloyds Banking Group Plc,20150501,Lloyds Q1 profits up 21 pct as bad debt losses fall  margins rise ,LONDON  May 1 Britain's biggest retail bank Lloyds Banking Group reported a 21 percent rise in underlying pretax profit for the first quarter  reflecting an improved margin and lower losses for bad debts.,normal
MCD,McDonald&#39;s Corporation,20150501,McDonald's shares poised for big move; bullish bets rise ,NEW YORK Options traders appear poised for a big move in McDonald's Corp's  shares as the world's biggest restaurant chain is set to unveil a much-awaited turnaround plan on Monday  and bullish bets have picked up in recent days.,topStory
MCD,McDonald&#39;s Corporation,20150501,McDonald's shares poised for big move; bullish bets rise ,NEW YORK  May 1 Options traders appear poised for a big move in McDonald's Corp's shares as the world's biggest restaurant chain is set to unveil a much-awaited turnaround plan on Monday  and bullish bets have picked up in recent days.,normal
MS,Morgan Stanley,20150501,UPDATE 1-MOVES-Morgan Stanley commodities executive Cross retires-memo ,NEW YORK  May 1 Ben Cross  a senior executive in Morgan Stanley's commodities trading business  is retiring  according to an internal memo seen by Reuters.,topStory
MS,Morgan Stanley,20150501,MOVES-Morgan Stanley metals trading executive Cross retires-memo ,NEW YORK  May 1 Ben Cross  a senior executive in Morgan Stanley's metals trading business  is retiring  according to an internal memo seen by Reuters.,normal
NYT,New York Times Company (The),20150501,New York Times not giving up on print just yet ,For the New York Times  it will be "All the News That's Fit to Print" - literally - for a while yet.,topStory
OXY,Occidental Petroleum Corporation,20150501,Oil off 2015 highs on record Iraq exports  strong dollar ,NEW YORK Oil prices eased off 2015 highs on Friday after Iraq said its crude oil exports hit a record in April  and on pressure from a stronger dollar.,topStory
OXY,Occidental Petroleum Corporation,20150501,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters May 1  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                    ,normal
PG,Procter & Gamble Company (The),20150501,WRAPUP 3-Anemic U.S. factory data points to moderate growth bounce ,WASHINGTON  May 1 U.S. factory activity failed to gain steam in April after slowing for five straight months and demand for automobiles softened  suggesting the economy was struggling to find momentum after growth almost stalled in the first quarter.,normal
