SHLM,A Schulman Inc,20150925,BRIEF-Pharmacy Chain 36.6 completes merger with A.v.e through additional share issue ,* Says completed merger with A.v.e. under additional share issue placed in open subscription,topStory
GOOGL,Alphabet Inc,20150925,UPDATE 1-Google mobile Android operating system under U.S. antitrust scanner ,Sept 25 The U.S. Federal Trade Commission is investigating whether Google Inc is using its Android mobile operating system to stifle competition  a source familiar with the matter said on Friday.,normal
GOOGL,Alphabet Inc,20150925,Google  Samsung defeat anti-piracy infringement claims ,A Texas federal jury on Wednesday rejected an investment firm's patent infringement claims over the anti-piracy features of Android smartphones and the Google Play app and content service.,normal
AAL,American Airlines Group Inc,20150925,Seatmaker Zodiac faces American Airlines suit over delays ,French aerospace supplier Zodiac Aerospace  confirmed on Friday it was facing court action and the possible loss of some business from American Airlines  over delays in aircraft seat production  sending its shares to a 27-month low.,topStory
AAL,American Airlines Group Inc,20150925,Seatmaker Zodiac faces American Airlines suit over delays ,PARIS French aerospace supplier Zodiac Aerospace  confirmed on Friday it was facing court action and the possible loss of some business from American Airlines  over delays in aircraft seat production  sending its shares to a 27-month low.,normal
AAL,American Airlines Group Inc,20150925,Zodiac says legal advisers reviewing American Airlines filing ,PARIS  Sept 25 French aircraft cabin and systems maker Zodiac said on Friday that American Airlines  had filed a petition in a Texas court seeking "a judicial determination of the contractual situation" between them over business class seats  which may lead to the sharing of this activity with another supplier.,normal
AMGN,Amgen Inc,20150925,Amgen's leukemia drug gets conditional European approval ,European health regulators on Friday conditionally approved Amgen Inc's rare blood cancer drug  Blincyto  which is one of the world's most expensive cancer treatments.,topStory
AMGN,Amgen Inc,20150925,UPDATE 1-Amgen's leukemia drug gets conditional European approval ,Sept 25 European health regulators on Friday conditionally approved Amgen Inc's rare blood cancer drug  Blincyto  which is one of the world's most expensive cancer treatments.,normal
AMGN,Amgen Inc,20150925,Amgen's leukemia drug gets conditional European approval ,Sept 25 European health regulators on Friday conditionally approved Amgen Inc's rare blood cancer drug  Blincyto  which is one of the world's most expensive cancer treatments.,normal
AMGN,Amgen Inc,20150925,BRIEF-EU Medicines Agency recommends approval of Amgen's leukemia drug ,* EU Medicines Agency recommends conditional approval of leukemia drug blincyto from Amgen Inc,normal
AAPL,Apple Inc,20150925,New pink iPhones prove popular as record weekend sales expected ,SAN FRANCISCO/SYDNEY The iPhone 6s and 6s Plus hit stores around the world on Friday  kicking off what is expected to be a record weekend of sales as customers scrambled to buy Apple Inc's  marquee product in pink for the first time. | Video ,topStory
AAPL,Apple Inc,20150925,New pink iPhones prove popular as record weekend sales expected ,SAN FRANCISCO/SYDNEY The iPhone 6s and 6s Plus hit stores around the world on Friday  kicking off what is expected to be a record weekend of sales as customers scrambled to buy Apple Inc's  marquee product in pink for the first time.,normal
AAPL,Apple Inc,20150925,RPT-Apple fans brave Sydney rain as new iPhone 6s hit stores ,SYDNEY/SAN FRANCISCO  Sept 25 The new iPhone 6s and 6s Plus hit stores on Friday  with dozens of people - and a robot - queueing in Sydney to kick off a global sales cycle that will be scrutinized for signs of how much juice Apple Inc's  marquee product has left.,normal
AAPL,Apple Inc,20150925,New iPhone 6s to hit stores Friday in test for Apple ,SAN FRANCISCO The new iPhone 6s and 6s Plus arrive in stores and at consumers' doorsteps on Friday  kicking off a sales cycle that will be scrutinized for signs of how much juice Apple's marquee product has left.,normal
COST,Costco Wholesale Corporation,20150925,CORRECTED-What to Watch in the Week Ahead and on Monday  Sept 28 ,(Corrects the reporting day for Costco Wholesale to Tuesday)      WEEKAHEAD  Markets enter a busy week with jobs data  several Federal Reserve speakers and the possibility of more brinksmanship in Washington over a potential government shutdown - though that looks like it will be avoided. Markets were unable to hang onto a rally on Friday that was initially prompted by Janet Yellen's assurance that the Fed will raise rates in 2015  and it suggests an overall ongoing level of concern that we'r,topStory
ENDP,Endo International plc,20150925,FTC approves Endo's purchase of Par Pharmaceuticals with 2 divestments ,Endo International won U.S. antitrust approval to buy Par Pharmaceuticals  Inc on condition that it divest two generic medicines  the Federal Trade Commission said on Friday.,topStory
ENDP,Endo International plc,20150925,FTC approves Endo's purchase of Par Pharmaceuticals with two divestments ,WASHINGTON Endo International won U.S. antitrust approval to buy Par Pharmaceuticals  Inc on condition that it divest two generic medicines  the Federal Trade Commission said on Friday.,normal
ENDP,Endo International plc,20150925,FTC approves Endo's purchase of Par Pharmaceuticals with 2 divestments ,WASHINGTON  Sept 25 Endo International  won U.S. antitrust approval to buy Par Pharmaceuticals  Inc on condition that it divest two generic medicines  the Federal Trade Commission said on Friday.,normal
EQIX,Equinix Inc,20150925,EU mergers and takeovers (Sept 25) ,BRUSSELS  Sept 25 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
EQIX,Equinix Inc,20150925,BRIEF-Telecity says Equinix notifies proposed acquisition ,* Equinix has notified its proposed acquisition of Telecity Group to European Commission for merger control approval,normal
EQIX,Equinix Inc,20150925,EU regulators to rule on $3.7 billion Equinix  Telecity deal by Oct. 29 ,BRUSSELS The EU antitrust regulator will reach a decision on U.S. data center operator Equinix Inc's 2.4-billion-pound ($3.7 billion) bid for British rival TelecityGroup by Oct.29  according to a filing on its website on Friday.,normal
EQIX,Equinix Inc,20150925,EU regulators to rule on $3.7 bln Equinix  Telecity deal by Oct. 29 ,BRUSSELS  Sept 25 The EU antitrust regulator will reach a decision on U.S. data centre operator Equinix Inc's  2.4-billion-pound ($3.7 billion) bid for British rival TelecityGroup by Oct.29  according to a filing on its website on Friday.,normal
GLPG,Galapagos NV,20150925,AbbVie scraps Galapagos deal to focus on own arthritis drug ,AbbVie Inc said one of its experimental drugs improved symptoms of rheumatoid arthritis in mid-stage studies and scrapped plans to buy rights to a similar treatment from Belgium's Galapagos NV.,topStory
GLPG,Galapagos NV,20150925,UPDATE 4-AbbVie scraps Galapagos deal to focus on own arthritis drug ,* Galapagos shares fall 18 percent   (Adds Galapagos comments  details on AbbVie  Galapagos drugs),normal
GLPG,Galapagos NV,20150925,BRIEF-Galapagos to advance Filgotinib to phase 3 in rheumatoid arthritis ,* Says to advance Filgotinib to phase 3 in rheumatoid arthritis,normal
ODP,Office Depot Inc,20150925,EU launches extensive probe into Staples' bid for Office Depot ,BRUSSELS EU antitrust regulators have opened an extensive investigation into U.S. office supplier Staples' $6.3 billion bid for rival Office Depot as they warned about possible price hikes as a result of the deal. | Video ,topStory
ODP,Office Depot Inc,20150925,EU mergers and takeovers (Sept 25) ,BRUSSELS  Sept 25 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
ODP,Office Depot Inc,20150925,UPDATE 1-EU launches extensive probe into Staples' bid for Office Depot ,BRUSSELS  Sept 25 EU antitrust regulators have opened an extensive investigation into U.S. office supplier Staples' $6.3 billion bid for rival Office Depot  as they warned about possible price hikes as a result of the deal.,normal
ODP,Office Depot Inc,20150925,EU launchs extensive probe into Staples' bid for Office Depot ,BRUSSELS  Sept 25 European Union antitrust regulators opened on Friday an extensive investigation into U.S. office supplier Staples' $6.3 billion bid for rival Office Depot  concerned about price hikes as a result of the deal.,normal
SBUX,Starbucks Corporation,20150925,UPDATE 1-Starbucks to raise wages for UK employees from April ,Sept 24 Starbucks Corp  the world's biggest coffee chain  said it would raise the minimum wage for its UK staff to 7.20 pounds ($10.92) an hour in April 2016  regardless of age  and offer interest-free loans to employees moving into new homes.,topStory
SBUX,Starbucks Corporation,20150925,Starbucks to raise wages for UK employees- FT ,Sept 24 Starbucks Corp  the world's biggest coffee chain  promised to raise the average wage for its UK staff to just under 8 pounds ($12.18) an hour from November regardless of age  the Financial Times reported.,normal
ABBV,AbbVie Inc,20150925,AbbVie scraps Galapagos deal to focus on own arthritis drug ,AbbVie Inc said one of its experimental drugs improved symptoms of rheumatoid arthritis in mid-stage studies and scrapped plans to buy rights to a similar treatment from Belgium's Galapagos NV.,topStory
ABBV,AbbVie Inc,20150925,UPDATE 4-AbbVie scraps Galapagos deal to focus on own arthritis drug ,* Galapagos shares fall 18 percent   (Adds Galapagos comments  details on AbbVie  Galapagos drugs),normal
ABBV,AbbVie Inc,20150925,AbbVie's arthritis drug succeeds in two mid-stage studies ,Sept 25 AbbVie Inc said its experimental drug improved symptoms of rheumatoid arthritis in patients in two mid-stage studies.,normal
AEB,Aegon NV,20150925,BRIEF-Aegon acquires Mercer's US defined contribution record-keeping business ,* Aegon acquires Mercer's US defined contribution record-keeping business,topStory
AED,Aegon NV,20150925,BRIEF-Aegon acquires Mercer's US defined contribution record-keeping business ,* Aegon acquires Mercer's US defined contribution record-keeping business,topStory
AEG,Aegon NV,20150925,BRIEF-Aegon acquires Mercer's US defined contribution record-keeping business ,* Aegon acquires Mercer's US defined contribution record-keeping business,topStory
AEH,Aegon NV,20150925,BRIEF-Aegon acquires Mercer's US defined contribution record-keeping business ,* Aegon acquires Mercer's US defined contribution record-keeping business,topStory
AEK,Aegon NV,20150925,BRIEF-Aegon acquires Mercer's US defined contribution record-keeping business ,* Aegon acquires Mercer's US defined contribution record-keeping business,topStory
BABA,Alibaba Group Holding Limited,20150925,Businesses  not government  to spur consumption in China: Alibaba's Ma ,China's slowdown is an opportunity for a "real market economy" to flourish  and it will be entrepreneurs  not the government  spurring consumption that will drive growth  Alibaba Group Holding Ltd  Executive Chairman Jack Ma said.,topStory
BABA,Alibaba Group Holding Limited,20150925,Businesses  not govt  to spur consumption in China - Alibaba's Ma ,Sept 25 China's slowdown is an opportunity for a "real market economy" to flourish  and it will be entrepreneurs  not the government  spurring consumption that will drive growth  Alibaba Group Holding Ltd Executive Chairman Jack Ma said.,normal
BA,Boeing Company (The),20150925,Boeing tanker plane makes first flight ,Sept 25 Boeing Co's first fully equipped KC-46A refueling plane began its inaugural flight  despite a number of setbacks for the $49 billion program.,topStory
BA,Boeing Company (The),20150925,Seatmaker Zodiac faces American Airlines suit over delays ,French aerospace supplier Zodiac Aerospace  confirmed on Friday it was facing court action and the possible loss of some business from American Airlines  over delays in aircraft seat production  sending its shares to a 27-month low.,normal
BA,Boeing Company (The),20150925,Seatmaker Zodiac faces American Airlines suit over delays ,PARIS French aerospace supplier Zodiac Aerospace  confirmed on Friday it was facing court action and the possible loss of some business from American Airlines  over delays in aircraft seat production  sending its shares to a 27-month low.,normal
BMY,Bristol-Myers Squibb Company,20150925,Bristol's Opdivo boosts kidney cancer survival beyond two years ,Sept 26 Bristol-Myers Squibb's  immunotherapy drug Opdivo extended kidney cancer survival rates by more than two years in a late-stage trial  setting it up to be used beyond melanoma and lung cancer.,topStory
CAT,Caterpillar Inc,20150925,Caterpillar's global woes ripple out through supplier base ,CHICAGO Caterpillar Inc's  suppliers were feeling the pain of slumping sales at the world's largest mining and construction equipment maker long before it announced an extensive cost-cutting program.,topStory
CAT,Caterpillar Inc,20150925,Caterpillar's global woes ripple out through supplier base ,CHICAGO  Sept 25 Caterpillar Inc's  suppliers were feeling the pain of slumping sales at the world's largest mining and construction equipment maker long before it announced an extensive cost-cutting program.,normal
DRI,Darden Restaurants Inc,20150925,US companies quicker to give board seats to activists ,NEW YORK Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
DRI,Darden Restaurants Inc,20150925,RPT - INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
DRI,Darden Restaurants Inc,20150925,INSIGHT-US companies quicker to give board seats to activists ,NEW YORK  Sept 25 Early in August  a call came into Sysco Corp from Trian Fund Management LP  warning the food distributor that the activist hedge fund was about to disclose a large stake in the company.,normal
DB,Deutsche Bank AG,20150925,MOVES- Deutsche Bank  Personal Capital  Russell Investments ,Sept 25 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DB,Deutsche Bank AG,20150925,Deutsche Bank CEO praises wealth management operations: sources ,FRANKFURT Deutsche Bank's new Chief Executive John Cryan praised the lender's revamped asset and wealth management operations at a "town hall" meeting in London on Friday  people attending the event said.,normal
DB,Deutsche Bank AG,20150925,Deutsche Bank CEO praises wealth management ops -sources ,FRANKFURT  Sept 25 Deutsche Bank's  new Chief Executive John Cryan praised the lender's revamped asset and wealth management operations at a "town hall" meeting in London on Friday  people attending the event said.,normal
DB,Deutsche Bank AG,20150925,Deutsche Bank must face $190 mln US tax fraud case ,NEW YORK Deutsche Bank AG must face a U.S. government lawsuit seeking to recoup more than $190 million over an alleged tax fraud 15 years ago  after a federal judge on Thursday turned down the German's bank's request to dismiss the case.,normal
EGO,Eldorado Gold Corporation,20150925,Greek govt to meet Eldorado over gold mine closure on Monday ,ATHENS  Sept 25 Greece's newly appointed government will meet Canada's Eldorado Gold next week to discuss the closure of its Greek gold mine  Energy Minister Panos Skourletis said on Friday.,topStory
XOM,Exxon Mobil Corporation,20150925,Russia's Deputy PM says no pressure for Exxon to quit Sakhalin-1 project ,MOSCOW There is no pressure for U.S. energy major ExxonMobil  to leave Russia's Sakhalin-1 oil and gas project  Yuri Trutnev  Deputy Prime Minister and Presidential Envoy to Russia's far east  said.,topStory
XOM,Exxon Mobil Corporation,20150925,REUTERS SUMMIT-Russia's Deputy PM says no pressure for Exxon to quit Sakhalin-1 project ,MOSCOW  Sept 25 There is no pressure for U.S. energy major ExxonMobil to leave Russia's Sakhalin-1 oil and gas project  Yuri Trutnev  Deputy Prime Minister and Presidential Envoy to Russia's far east  said.,normal
XOM,Exxon Mobil Corporation,20150925,UPDATE 2-Oslo court rules in favour of Norway in $1.8 bln pipeline row ,* Government satisfied with decision -oil ministry   (Adds detail from ruling  reaction  firms' bond ratings),normal
XOM,Exxon Mobil Corporation,20150925,Eni's winning gas streak leaves competition chafing ,MILAN  Sept 25 Eni's giant Zohr gas find in Egypt this month  a gamble taken under the noses of competitors  marked the Italian major's rapid rise to preeminence in the hunt for big new fields.,normal
FLR,Fluor Corporation,20150925,EU mergers and takeovers (Sept 25) ,BRUSSELS  Sept 25 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GS,Goldman Sachs Group Inc (The),20150925,CORRECTED-MOVES-Citi  Acadian Asset  Brown Brothers  Standard Life (Sept. 22) ,Sept 22 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
GS,Goldman Sachs Group Inc (The),20150925,CORRECTED-MOVES-Citi  Acadian Asset  Brown Brothers Harriman  Standard Life ,Sept 22 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
HFC,HollyFrontier Corporation,20150925,Deals of the day-Mergers and acquisitions ,Sept 25 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
HFC,HollyFrontier Corporation,20150925,HollyFrontier shares surge on Tesoro takeover talk: traders ,Shares of U.S. petroleum refiner HollyFrontier Corp rose sharply and trading volume surged on Friday on a market rumor of renewed takeover interest by larger rival Tesoro Corp  market sources said.,normal
HPQ,HP Inc,20150925,Autonomy's Lynch says report shows HP not hoodwinked on $11 bln deal ,LONDON Hewlett-Packard Co was made aware of practices at Autonomy  including hardware sales and growth rates boosted by different accounting rules  before it bought the firm for $11 billion in an ill-fated deal  according to founder Mike Lynch.,topStory
HPQ,HP Inc,20150925,Autonomy's Lynch says report shows HP not hoodwinked on $11 billion deal ,LONDON Hewlett-Packard Co was made aware of practices at Autonomy  including hardware sales and growth rates boosted by different accounting rules  before it bought the firm for $11 billion in an ill-fated deal  according to founder Mike Lynch.,normal
HPQ,HP Inc,20150925,Autonomy's Lynch says report shows HP not hoodwinked on $11 bln deal ,LONDON  Sept 25 Hewlett-Packard Co was made aware of practices at Autonomy  including hardware sales and growth rates boosted by different accounting rules  before it bought the firm for $11 billion in an ill-fated deal  according to founder Mike Lynch.,normal
HSBC,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,topStory
HSBC,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON  Sept 25 The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,normal
HSBC,HSBC Holdings plc,20150925,HSBC  BOCHK blaze trail for new wave of Panda bonds ,* Two foreign issuers make extensive disclosure as first issues show proceeds may be used overseas,normal
HSBC,HSBC Holdings plc,20150925,Weak Japanese data weighs on oil markets ,* After late August bounce  oil prices are down 10 pct in Sept,normal
HSEA,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,topStory
HSEA,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON  Sept 25 The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,normal
HSEA,HSBC Holdings plc,20150925,HSBC  BOCHK blaze trail for new wave of Panda bonds ,* Two foreign issuers make extensive disclosure as first issues show proceeds may be used overseas,normal
HSEA,HSBC Holdings plc,20150925,Weak Japanese data weighs on oil markets ,* After late August bounce  oil prices are down 10 pct in Sept,normal
HSEB,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,topStory
HSEB,HSBC Holdings plc,20150925,HSBC asset management arm to disclose carbon footprint of funds ,LONDON  Sept 25 The fund arm of HSBC  Britain's biggest bank  has agreed to measure and disclose the carbon footprint of its funds on an annual basis after signing up to the Montreal Carbon Pledge.,normal
HSEB,HSBC Holdings plc,20150925,HSBC  BOCHK blaze trail for new wave of Panda bonds ,* Two foreign issuers make extensive disclosure as first issues show proceeds may be used overseas,normal
HSEB,HSBC Holdings plc,20150925,Weak Japanese data weighs on oil markets ,* After late August bounce  oil prices are down 10 pct in Sept,normal
HBM,Hudbay Minerals Inc,20150925,Hudbay wants to invest in exploration projects in Peru and Chile ,AREQUIPA  Peru  Sept 24 Canadian mining company Hudbay Minerals Inc wants to invest in greenfield projects in Peru or Chile now that its Constancia mine is up and running  said the chief executive officer.,topStory
INXN,InterXion Holding NV,20150925,EU regulators to rule on $3.7 bln Equinix  Telecity deal by Oct. 29 ,BRUSSELS  Sept 25 The EU antitrust regulator will reach a decision on U.S. data centre operator Equinix Inc's  2.4-billion-pound ($3.7 billion) bid for British rival TelecityGroup by Oct.29  according to a filing on its website on Friday.,normal
JPM,J P Morgan Chase & Co,20150925,JPMorgan reaped $150 million dividend from Henry Bath before sale: filing ,NEW YORK JPMorgan Chase & Co reaped a $150 million dividend from its metals storage business Henry Bath & Son before selling its physical commodities business last October  as the firm reported its first loss in over a decade  a filing on Thursday showed.,topStory
JPM,J P Morgan Chase & Co,20150925,UPDATE 1-JPMorgan reaped $150 mln dividend from Henry Bath before sale -filing ,NEW YORK  Sept 24 JPMorgan Chase & Co  reaped a $150 million dividend from its metals storage business Henry Bath & Son before selling its physical commodities business last October  as the firm reported its first loss in over a decade  a filing on Thursday showed.,normal
JPM,J P Morgan Chase & Co,20150925,JPMorgan reaped $150 mln dividend from Henry Bath before sale -filing ,NEW YORK  Sept 24 JPMorgan Chase & Co  reaped a $150 million dividend from its metals storage business Henry Bath & Son before selling its physical commodities business last October  as the firm reported its first loss in over a decade  a filing on Thursday showed.,normal
KRA,Kraton Corporation,20150925,Exclusive: Kraton in talks to acquire Arizona Chemical - sources ,Kraton Performance Polymers Inc   which makes rubbers used in adhesives  coatings and personal care products  has offered to acquire pine chemicals producer Arizona Chemical Company LLC  in a deal that could exceed $1.2 billion  including debt  according to people familiar with the matter.,topStory
LYG,Lloyds Banking Group Plc,20150925,UPDATE 1-UK government sells more Lloyds shares  cuts stake to below 12 pct ,LONDON  Sept 25 Britain's government said on Friday it had recouped almost three-quarters of the taxpayer cash used in the 20.5 billion pound rescue of Lloyds Banking Group in 2008  after a fresh share sale pushed its stake to below 12 percent.,topStory
LYG,Lloyds Banking Group Plc,20150925,UK government sells more Lloyds shares  cuts stake to below 12 pct ,LONDON  Sept 25 Britain's government has reduced its holding in Lloyds Banking Group to below 12 percent  taking the bank closer to full privatisation following a taxpayer bailout in the 2008/09 financial crisis.,normal
MCD,McDonald&#39;s Corporation,20150925,McDonald's to offer first-ever organic burger  in Germany ,McDonald's Corp will offer its first-ever 100 percent organic beef hamburger for a limited time in Germany  as a growing number of global diners demand food that is more natural and less processed.,topStory
MCD,McDonald&#39;s Corporation,20150925,UPDATE 1-McDonald's to offer first-ever organic burger  in Germany ,Sept 25 McDonald's Corp will offer its first-ever 100 percent organic beef hamburger for a limited time in Germany  as a growing number of global diners demand food that is more natural and less processed.,normal
MCD,McDonald&#39;s Corporation,20150925,McDonald's to offer first-ever organic burger  in Germany ,Sept 25 McDonald's Corp will offer its first-ever 100 percent organic beef hamburger for a limited time in Germany  as a growing number of global diners demand food that is more natural and less processed.,normal
MCD,McDonald&#39;s Corporation,20150925,U.S. labor case on franchise  contract workers inches closer to courts ,A sanitation company at the center of a major U.S. labor board ruling that could force companies like McDonald's Corp to negotiate directly with franchise and contract workers has refused to bargain with workers hired by a staffing agency.,normal
MCD,McDonald&#39;s Corporation,20150925,U.S. labor case on franchise  contract workers inches closer to courts ,A sanitation company at the center of a major U.S. labor board ruling that could force companies like McDonald's Corp to negotiate directly with franchise and contract workers has refused to bargain with workers hired by a staffing agency.,normal
MRK,Merck & Company Inc,20150925,European Factors to Watch-Futures rise but markets could still have weekly loss ,(Adds futures prices  company news items)     LONDON  Sept 25 European equity futures rose on Friday  although the region's major indexes could still end the week with a loss following blows dealt to the market this week by an emissions test debacle at Volkswagen and new signs of a slowdown in China.     The prospect of a U.S interest rate rise has also weighed on equities  and Federal Reserve head Janet Yellen said late on Thursday she expects the U.S. central bank to begin raisi,normal
MRK,Merck & Company Inc,20150925,German stocks - Factors to watch on September 25 ,FRANKFURT  Sept 25 The DAX top-30 index  looked set to open 1.7 percent higher on Friday  according to premarket data from brokerage Lang & Schwarz at 0605 GMT.,normal
MRK,Merck & Company Inc,20150925,European Factors to Watch-Shares seen opening higher ,(Adds company news items)     LONDON  Sept 25 European stocks were seen opening higher on Friday  although the region's major indexes could still end the week with a loss following blows dealt to the market this week by an emissions test debacle at Volkswagen and new signs of a slowdown in China.     The prospect of a U.S interest rate rise has also weighed on equity markets  and Federal Reserve head Janet Yellen said late on Thursday that she expects the U.S. central bank to begi,normal
SID,National Steel Company,20150925,Brazil's CSN to extend maturities on debt with Banco do Brasil ,BRASILIA  Sept 25 Brazil's Cia Siderurgica Nacional said on Friday it concluded an operation to extend the maturity on 2.2 billion reais ($553.22 million) in debt with Banco do Brasil.,topStory
NKE,Nike Inc,20150925,US STOCKS-S&P 500 ends flat as biotech selloff offsets Yellen comments ,* Indexes: Dow up 0.7 pct  S&P down 0.1 pct  Nasdaq down 1 pct   (Updates to close),topStory
NKE,Nike Inc,20150925,US STOCKS-Wall St rises as Yellen eases fears of slowing growth ,* Indexes up: Dow 1.25 pct  S&P 0.87 pct  Nasdaq 0.68 pct   (Adds details  comment  updates prices),normal
NKE,Nike Inc,20150925,US STOCKS-Wall St opens higher as Yellen eases slowing growth fears ,* Indexes up: Dow 1.06 pct  S&P 0.67 pct  Nasdaq 0.70 pct   (Updates to open),normal
NKE,Nike Inc,20150925,Nike sprints ahead as China sales defy economic slowdown ,BENGALURU/SHANGHAI Nike Inc's  first-quarter profits outpaced expectations as surprisingly steep China growth boosted the world's largest sportswear maker  despite fears of a slowdown in the world's second-biggest economy.,normal
NKE,Nike Inc,20150925,RPT-UPDATE 3-Nike sprints ahead as China sales defy economic slowdown ,BENGALURU/SHANGHAI  Sept 24 Nike Inc's  first-quarter profits outpaced expectations as surprisingly steep China growth boosted the world's largest sportswear maker  despite fears of a slowdown in the world's second-biggest economy.,normal
NKE,Nike Inc,20150925,UPDATE 3-Nike sprints ahead as China sales defy economic slowdown ,* Shares gain 7.5 pct after the bell   (Recasts with China performance  adds executive comments),normal
NVO,Novo Nordisk A/S,20150925,FDA approves Novo Nordisk's long-awaited diabetes drug ,The U.S. Food and Drug Administration on Friday approved Danish drugmaker Novo Nordisk's diabetes drug Tresiba  two years after rejecting the long-acting form of insulin.,topStory
NVO,Novo Nordisk A/S,20150925,UPDATE 3-FDA approves Novo Nordisk's long-awaited diabetes drug ,Sept 25 The U.S. Food and Drug Administration on Friday approved Danish drugmaker Novo Nordisk's  diabetes drug Tresiba  two years after rejecting the long-acting form of insulin.,normal
NVO,Novo Nordisk A/S,20150925,Novo Nordisk successfully completes diabetes drug phase 3a trial ,COPENHAGEN Danish pharmaceutical company Novo Nordisk has successfully completed the second phase 3a trial with its diabetes drug semaglutide  it said on Friday.,normal
