ABMD,ABIOMED Inc,20150210,Abiomed beats fraud lawsuit as court encourages regulatory dealings ,A federal appeals court has thrown out a lawsuit accusing Abiomed Inc of deceiving shareholders about how it marketed its flagship heart pump  and said companies should be encouraged to deal with regulators without having to fear that such dealings could lead to securities fraud claims.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150210,UK Stocks-Factors to watch on Feb. 10 ,LONDON  Feb 10 Britain's FTSE 100 index is seen opening down by around 7 points  or 0.1 percent lower on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150210,Market Chatter-Corporate finance press digest ,Feb 10 The following corporate finance-related stories were reported by media:,normal
CSCO,Cisco Systems Inc,20150210,Israel's Team8 attracts investment for cyber security firms ,TEL AVIV  Feb 10 Team8  an Israeli venture capital fund focused on the cyber-security industry  said on Tuesday it had raised $18 million in its first round of funding  including investment from Alcatel-Lucent and Cisco .,topStory
FB,Facebook Inc,20150210,Facebook launches free mobile Internet service in India ,MUMBAI Facebook has tied up with India's Reliance Communications to provide basic internet services on mobile phones for free  making India the first country in Asia to get Facebook's Internet.org service.,topStory
FB,Facebook Inc,20150210,UPDATE 1-Facebook launches free mobile Internet service in India ,MUMBAI  Feb 10 Facebook has tied up with India's Reliance Communications to provide basic internet services on mobile phones for free  making India the first country in Asia to get Facebook's Internet.org service.,normal
FB,Facebook Inc,20150210,Facebook brings Internet push to India  ties with Reliance Comm ,MUMBAI  Feb 10 Facebook Inc has tied up with India's Reliance Communications Ltd to offer free access to a handful of online services in India  broadening its campaign to boost Internet use in the developing world.,normal
FSLR,First Solar Inc,20150210,Apple investing $850 million in California solar farm ,SAN FRANCISCO Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to help build a solar farm in California with solar panel maker First Solar.,topStory
FSLR,First Solar Inc,20150210,UPDATE 2-Apple investing $850 million in California solar farm ,SAN FRANCISCO  Feb 10 Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to help build a solar farm in California with solar panel maker First Solar.,normal
FSLR,First Solar Inc,20150210,Apple investing $850 million in California solar farm ,SAN FRANCISCO  Feb 10 Apple Inc Chief Executive Tim Cook said on Tuesday the technology company is investing $850 million to build a solar farm in California with solar panel maker First Solar.,normal
GILD,Gilead Sciences Inc,20150210,Gilead expects big increase in Europeans treated with hep C drug ,NEW YORK Gilead Sciences Inc said on Tuesday it expects the number of hepatitis C patients treated in Europe with its Sovaldi drug to increase dramatically this year  and that approvals for the newer combination pill  Harvoni  could come quickly.,topStory
GILD,Gilead Sciences Inc,20150210,Gilead expects big increase in Europeans treated with hep C drug ,NEW YORK  Feb 10 Gilead Sciences Inc  said on Tuesday it expects the number of hepatitis C patients treated in Europe with its Sovaldi drug to increase dramatically this year  and that approvals for the newer combination pill  Harvoni  could come quickly.,normal
GRPN,Groupon Inc,20150210,CJ O Shopping drops out of Groupon S.Korea subsidiary stake bid ,SEOUL  Feb 10 South Korean retailer CJ O Shopping Co Ltd has dropped out of the auction for a stake in Groupon Inc's South Korean subsidiary Ticket Monster  marking the second exit by a major suitor.,topStory
HAS,Hasbro Inc,20150210,Toymaker Hasbro to further close gap with Mattel in 2015 ,Sequels to "Star Wars"  "The Avengers" and "Jurassic Park" movies are expected to boost Hasbro Inc's  sales this year  helping the toymaker to further narrow the lead of Mattel Inc   its bigger rival.,topStory
HAS,Hasbro Inc,20150210,UPDATE 5-Toymaker Hasbro to further close gap with Mattel in 2015 ,Feb 9 Sequels to "Star Wars"  "The Avengers" and "Jurassic Park" movies are expected to boost Hasbro Inc's  sales this year  helping the toymaker to further narrow the lead of Mattel Inc  its bigger rival.,normal
IEP,Icahn Enterprises LP,20150210,CANADA STOCKS-TSX set to open higher ,Feb 10 Canadian stocks were set to open higher on Tuesday as March futures on the S&P TSX index were up 0.65 percent at 7:15 a.m. ET.,normal
LULU,lululemon athletica inc,20150210,Tea retailer David's Tea prepares for IPO-sources ,Feb 10 Privately held Canadian specialty tea retailer David's Tea  whose investors include Lululemon Athletica Inc founder Chip Wilson  has selected banks for a potential initial public offering  according to two people familiar with the matter.,topStory
MAT,Mattel Inc,20150210,Toymaker Hasbro to further close gap with Mattel in 2015 ,Sequels to "Star Wars"  "The Avengers" and "Jurassic Park" movies are expected to boost Hasbro Inc's  sales this year  helping the toymaker to further narrow the lead of Mattel Inc   its bigger rival.,topStory
MAT,Mattel Inc,20150210,UPDATE 5-Toymaker Hasbro to further close gap with Mattel in 2015 ,Feb 9 Sequels to "Star Wars"  "The Avengers" and "Jurassic Park" movies are expected to boost Hasbro Inc's  sales this year  helping the toymaker to further narrow the lead of Mattel Inc  its bigger rival.,normal
QCOM,QUALCOMM Incorporated,20150210,With antitrust deal done  Qualcomm still faces China challenges ,SAN FRANCISCO/BEIJING Even after agreeing to pay a record near-$1 billion fine in China for antitrust violations   U.S. chipmaker Qualcomm Inc faces big challenges in its most important market.,topStory
QCOM,QUALCOMM Incorporated,20150210,Qualcomm to pay $975 mln to resolve China antitrust dispute ,SAN FRANCISCO/BEIJING Qualcomm Inc has agreed to pay a fine of $975 million  the largest in China's corporate history  ending a 14-month government investigation into anti-competitive practices.,normal
QCOM,QUALCOMM Incorporated,20150210,Breakingviews: China pulls its punches with Qualcomm settlement ,HONG KONG (Reuters Breakingviews) - China has held back with its Qualcomm settlement. The country's antitrust watchdogs hit the U.S. chipmaker with a $975 million fine on Feb. 9 and forced it to lower patent fees. That's helpful for local smartphone makers that rely on Qualcomm's third and fourth generation mobile technology. Yet the resolution stopped short of explicitly curbing the tech giant's dominance in the country. Big as China is  it can't yet afford to shut out foreign technology.,normal
QCOM,QUALCOMM Incorporated,20150210,With antitrust deal done  Qualcomm still faces China challenges ,SAN FRANCISCO/BEIJING Even after agreeing to pay a record near-$1 billion fine in China for antitrust violations  U.S. chipmaker Qualcomm Inc faces big challenges in its most important market.,normal
QCOM,QUALCOMM Incorporated,20150210,With antitrust deal done  Qualcomm still faces China challenges ,SAN FRANCISCO/BEIJING  Feb 10 Even after agreeing to pay a record near-$1 billion fine in China for antitrust violations  U.S. chipmaker Qualcomm Inc faces big challenges in its most important market.,normal
QCOM,QUALCOMM Incorporated,20150210,Amid mobile slump  Samsung needs more outside customers for chips  panels ,SEOUL As Samsung Electronics Co Ltd sells fewer of its own smartphones  the South Korean group's components businesses are under pressure to pick up the slack and secure external customers for chips and display panels  including putting these in rival mobile devices. | Video ,normal
QCOM,QUALCOMM Incorporated,20150210,UPDATE 1-Amid mobile slump  Samsung needs more outside customers for chips  panels ,SEOUL  Feb 10 As Samsung Electronics Co Ltd  sells fewer of its own smartphones  the South Korean group's components businesses are under pressure to pick up the slack and secure external customers for chips and display panels  including putting these in rival mobile devices.,normal
QCOM,QUALCOMM Incorporated,20150210,Qualcomm to pay $975 million to resolve China antitrust dispute ,SAN FRANCISCO/BEIJING Qualcomm Inc has agreed to pay a fine of $975 million  the largest in China's corporate history  ending a 14-month government investigation into anti-competitive practices.,normal
REGN,Regeneron Pharmaceuticals Inc,20150210,UPDATE 1-Regeneron revenue beats Street on strong Eylea sales ,Feb 10 Regeneron Pharmaceuticals Inc  reported better-than-expected fourth-quarter sales  driven by surging demand for its blockbuster eye drug Eylea.,topStory
REGN,Regeneron Pharmaceuticals Inc,20150210,Regeneron's profit rises about 14 pct on strong Eylea sales ,Feb 10 Regeneron Pharmaceuticals Inc  reported a nearly 14 percent jump in quarterly profit  driven by strong demand for its blockbuster eye drug Eylea.,normal
SRPT,Sarepta Therapeutics Inc,20150210,Sarepta drug protects lab monkeys from Ebola ,NEW YORK An experimental Ebola drug from Sarepta Therapeutics Inc protected six of eight lab monkeys injected with the virus  scientists from the company and the U.S. Army reported on Tuesday.,topStory
SRPT,Sarepta Therapeutics Inc,20150210,UPDATE 1-Sarepta drug protects lab monkeys from Ebola ,NEW YORK  Feb 10 An experimental Ebola drug from Sarepta Therapeutics Inc protected six of eight lab monkeys injected with the virus  scientists from the company and the U.S. Army reported on Tuesday.,normal
TSLA,Tesla Inc ,20150210,Exclusive: Tesla CEO threatens firings after dismal China sales - sources ,PARIS/DETROIT Tesla Motors Inc  Chief Executive Elon Musk is prepared to fire overseas executives  people with knowledge of the matter said  after weak Chinese sales of the company's luxury electric cars cast doubt on his ambitious global expansion plans.,topStory
URBN,Urban Outfitters Inc,20150210,UPDATE 1-Urban Outfitters  Aeropostale beat forecasts on strong U.S. holiday sales ,Feb 9 U.S. apparel retailers Urban Outfitters Inc and Aeropostale Inc reported better-than-expected quarterly sales after holiday sales in the United States rose the most since 2011.,topStory
BABA,Alibaba Group Holding Limited,20150210,China quality watchdog tells Alibaba fakes threaten China's reputation ,SHANGHAI/BEIJING Alibaba Group Holding Ltd must pay more attention to product quality and step up the fight against fake goods sold online  China's product quality watchdog chief told company executive chairman Jack Ma  according to a statement on Tuesday.,topStory
BABA,Alibaba Group Holding Limited,20150210,China quality watchdog tells Alibaba fakes threaten China's reputation ,SHANGHAI/BEIJING  Feb 10 Alibaba Group Holding Ltd must pay more attention to product quality and step up the fight against fake goods sold online  China's product quality watchdog chief told company executive chairman Jack Ma  according to a statement on Tuesday.,normal
AGN,Allergan plc,20150210,EU mergers and takeovers (Feb 10) ,BRUSSELS  Feb 10 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
AMC,AMC Entertainment Holdings Inc,20150210,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from Feb 10  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> ,topStory
AMOV,America Movil SAB de CV,20150210,UPDATE 2-Telekom Austria sees 2015 growth  steady dividend ,* Sees 2015 revenue up around 2 pct   (Adds comment on outlook  paragraphs 2 and 3),topStory
AMX,America Movil SAB de CV,20150210,UPDATE 2-Telekom Austria sees 2015 growth  steady dividend ,* Sees 2015 revenue up around 2 pct   (Adds comment on outlook  paragraphs 2 and 3),topStory
ANTM,Anthem Inc,20150210,U.S. states say Anthem too slow to inform customers of breach ,BOSTON Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,topStory
ANTM,Anthem Inc,20150210,UPDATE 1-U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTM,Anthem Inc,20150210,U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Attorneys general from 10 U.S. states sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTX,Anthem Inc,20150210,U.S. states say Anthem too slow to inform customers of breach ,BOSTON Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,topStory
ANTX,Anthem Inc,20150210,UPDATE 1-U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTX,Anthem Inc,20150210,U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Attorneys general from 10 U.S. states sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20150210,UPDATE 1-Spain's BBVA to issue 1.5 bln euros in contingent convertible bonds ,MADRID  Feb 10 Spanish bank BBVA is to strengthen its capital base through issuing contingent convertible bonds worth 1.5 billion euros ($1.70 billion).,topStory
BAC,Bank of America Corporation,20150210,Deutsche Bank expects Citi to buy back $1 billion in shares every quarter ,Deutsche Bank said it expects Citigroup Inc  to buy back $1 billion in shares every quarter and other U.S. banks to modestly boost dividends and share buybacks as part of their capital deployment plans under the Federal Reserve's stress test.,normal
BAC,Bank of America Corporation,20150210,RPT-UPDATE 1-Tycoon Dhanin unfazed after Tesco rebuffs approach for Thai unit-sources ,HONG KONG/SINGAPORE  Feb 9 Tesco Plc  rebuffed an approach from billionaire Dhanin Chearavanont in December to buy the British retailer's Thai unit  but undeterred  the tycoon is building financial firepower for another attempt  people familiar with the matter said.,normal
BCS,Barclays PLC,20150210,UK Stocks-Factors to watch on Feb. 10 ,LONDON  Feb 10 Britain's FTSE 100 index is seen opening down by around 7 points  or 0.1 percent lower on Tuesday  according to financial bookmakers. For more on the factors affecting European stocks  please click on,normal
BCS,Barclays PLC,20150210,Market Chatter-Corporate finance press digest ,Feb 10 The following corporate finance-related stories were reported by media:,normal
BT,BT Group plc,20150210,BRIEF-BT Sport secures media rights for 42 Premier League matches through 2019 ,* BT Sport to show 42 live top-flight Saturday and midweek matches for 2016/17 to 2018/19 seasons,topStory
CAJ,Canon Inc,20150210,Canon to buy video surveillance leader Axis for $2.8 bln ,TOKYO/STOCKHOLM Canon Inc made a 23.6 billion-Swedish-crown ($2.83 billion) offer for network video surveillance leader Axis AB on Tuesday -- the biggest purchase ever for the Japanese firm trying to expand beyond a shrinking camera market.,topStory
CAJ,Canon Inc,20150210,Deals of the day- Mergers and acquisitions ,Feb 10 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
CAJ,Canon Inc,20150210,Canon to buy video surveillance leader Axis for $2.8 billion ,TOKYO/STOCKHOLM Canon Inc  made a 23.6 billion-Swedish-crown ($2.83 billion) offer for network video surveillance leader Axis AB  on Tuesday -- the biggest purchase ever for the Japanese firm trying to expand beyond a shrinking camera market.,normal
CAJ,Canon Inc,20150210,UPDATE 3-Canon to buy video surveillance leader Axis for $2.8 bln ,* Deal to help Canon expand in growing surveillance market   (Adds analyst on potential rivals  updates Axis share price),normal
CAJ,Canon Inc,20150210,UPDATE 1-NORDIC STOCKS - Factors to watch on Feb 10 ,STOCKHOLM  Feb 10 The following stocks may be affected by newspaper reports and other factors on Tuesday:,normal
CAJ,Canon Inc,20150210,BRIEF-Axis board recommends Canon bid of SEK 340/share ,* Says board of directors of axis has based on a financial short and mid-term perspective concluded to unanimously recommend that shareholders of axis accept public offer made by canon,normal
CAJ,Canon Inc,20150210,Japan's Canon to launch $2.8 bln bid for Sweden's Axis AB ,TOKYO  Feb 10 Japan's Canon Inc said on Tuesday that it is launching a tender offer to buy all of Sweden's Axis AB for about 23.6 billion crowns  or about 333.7 billion yen ($2.8 billion).,normal
CBS,CBS Corporation,20150210,UPDATE 1-Patent licenser Helferich wins court round against New York Times  others ,WASHINGTON  Feb 10 The New York Times Co   J.C. Penney Corp and CBS Corp lost a round on Tuesday in a patent fight with Helferich Patent Licensing LLC  which had accused them of infringing on patents for looking at websites on mobile telephones.,topStory
CBS,CBS Corporation,20150210,Patent licenser Helferich wins court round against New York Times  others ,WASHINGTON The New York Times Co   J.C. Penney Corp and CBS Corp  lost a round Tuesday in a patent fight with Helferich Patent Licensing  LLC  which had accused them of infringing on patents for looking at websites on mobile telephones.,normal
CBS,CBS Corporation,20150210,Patent licenser Helferich wins court round against New York Times  others ,WASHINGTON The New York Times Co  J.C. Penney Corp and CBS Corp lost a round Tuesday in a patent fight with Helferich Patent Licensing  LLC  which had accused them of infringing on patents for looking at websites on mobile telephones.,normal
CBS,CBS Corporation,20150210,Patent licenser Helferich wins court round against New York Times  others ,WASHINGTON  Feb 10 The New York Times Co   J.C. Penney Corp and CBS Corp lost a round Tuesday in a patent fight with Helferich Patent Licensing  LLC  which had accused them of infringing on patents for looking at websites on mobile telephones.,normal
CHS,Chico&#39;s FAS Inc,20150210,Sycamore in talks to buy apparel retailer Chico's FAS: sources ,Private equity firm Sycamore Partners is in talks to buy apparel retailer Chico's FAS Inc  and is trying to secure debt financing for a deal that could reach $3 billion  according to two people familiar with the matter.,topStory
CHS,Chico&#39;s FAS Inc,20150210,UPDATE 1-Sycamore in talks to buy apparel retailer Chico's FAS -sources ,Feb 10 Private equity firm Sycamore Partners is in talks to buy apparel retailer Chico's FAS Inc and is trying to secure debt financing for a deal that could reach $3 billion  according to two people familiar with the matter.,normal
CHS,Chico&#39;s FAS Inc,20150210,Sycamore in talks to buy apparel retailer Chico's FAS - WSJ ,Feb 10 Private-equity firm Sycamore Partners is in talks to buy apparel retailer Chico's FAS Inc  the Wall Street Journal reported  citing people familiar with the matter.,normal
C,Citigroup Inc,20150210,MOVES-Citigroup  U.S. Bank  Commonfund  Ernst & Young ,Feb 10 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20150210,MOVES--Citigroup top Asia tech banker leaving for Temasek unit -source ,HONG KONG  Feb 10 Citigroup 's top technology-focused investment banker in Asia  Nikhil Eapen  will leave the bank to join a company owned by Singapore state investor Temasek  a source with direct knowledge of the matter told Reuters on Tuesday.,normal
KO,Coca-Cola Company (The),20150210,REFILE-US STOCKS-Wall St rises on Greek deal hopes even as energy drops ,NEW YORK  Feb 10 U.S. stocks rose on Tuesday on hopes that Greek debt negotiations could result in a deal that stabilizes Europe although a drop in oil prices limited the advance.,topStory
KO,Coca-Cola Company (The),20150210,Coke's price increase encourages beverage company shareholders ,NEW YORK Coca-Cola Co  raised the overall prices it charges its retail customers in North America 4 percent in the latest quarter  the company said on Tuesday  a signal to industry watchers that soft-drink rival PepsiCo  probably raised prices too.,normal
KO,Coca-Cola Company (The),20150210,Coke's price increase encourages beverage company shareholders ,NEW YORK  Feb 10 Coca-Cola Co raised the overall prices it charges its retail customers in North America 4 percent in the latest quarter  the company said on Tuesday  a signal to industry watchers that soft-drink rival PepsiCo  probably raised prices too.,normal
KO,Coca-Cola Company (The),20150210,GLOBAL MARKETS-Shares rally on hopes for Greek deal; U.S. yields rise ,* Greek debt hopes help European  U.S. shares     * Coca-Cola earnings boost U.S. shares     * U.S. bond yields rise as Fed rate hike eyed     * Oil slips on IEA warning   (Updates to close of U.S. markets)     By Sam Forgione     NEW YORK  Feb 10 U.S. and European shares advanced on Tuesday on hopes for a debt agreement between Greece and its major creditors  while U.S. Treasury yields rose on continued expectations of a Federal Reserve interest rate hike this year.      The U.S. be,normal
KO,Coca-Cola Company (The),20150210,GLOBAL MARKETS-Shares rally on hopes for Greek deal; U.S. yields rise ,* Greek debt hopes help European  U.S. shares     * Coca-Cola earnings boost U.S. shares     * U.S. bond yields rise as Fed rate hike eyed     * Oil slips on IEA warning   (Updates prices  adds oil settlement prices)     By Sam Forgione     NEW YORK  Feb 10 U.S. and European shares rose on Tuesday on hopes for a debt agreement between Greece and its major creditors  while U.S. Treasury yields rose on continued expectations of a Federal Reserve interest rate hike this year.      Europ,normal
KO,Coca-Cola Company (The),20150210,US STOCKS-Wall St rises on Greek deal hopes even as energy drops ,* Indexes up: Dow 0.43 pct  S&P 0.63 pct  Nasdaq 0.93 pct   (Adds data  updates to late morning),normal
KO,Coca-Cola Company (The),20150210,GLOBAL MARKETS-Shares rise on Greek debt hopes; U.S. yields rise ,* Greek debt hopes help European  U.S. shares     * Coca-Cola earnings boost U.S. shares     * U.S. bond yields rise as Fed rate hike eyed     * Oil slips on IEA warning   (Updates prices  market activity to close of European bond  stock markets)     By Sam Forgione     NEW YORK  Feb 10 U.S. and European shares rose on Tuesday on reports of a possible debt agreement between Greece and its major creditors  while U.S. Treasury yields rose on continued expectations of a Federal Reserve ,normal
KO,Coca-Cola Company (The),20150210,GLOBAL MARKETS-Shares rise on Greek debt hopes; U.S. yields rise ,* Greek debt hopes help European  U.S. shares     * Coca-Cola earnings boost U.S. shares     * U.S. bond yields rise as Fed rate hike eyed     * Oil slips on IEA warning   (Updates to U.S. trading  changes byline  dateline; previous LONDON)     By Sam Forgione     NEW YORK  Feb 10 U.S. and European shares rose on Tuesday after press reports on the possibility of a debt agreement between Greece and its major creditors  while U.S. Treasury yields rose on continued expectations of a Fed,normal
KO,Coca-Cola Company (The),20150210,US STOCKS-Wall St advances on Greek debt hopes  Coke earnings ,* Indexes up: Dow 0.48 pct  S&P 0.48 pct  Nasdaq 0.54 pct   (Updates to market open),normal
KO,Coca-Cola Company (The),20150210,Coca-Cola profit beats estimates; North American soda sales up ,Coca-Cola Co  reported a  slightly higher-than-expected profit on Tuesday as sales in North America  its biggest market  rose for the first time in four quarters  offsetting the impact of a stronger dollar on its overseas business.,normal
BAP,Credicorp Ltd,20150210,Credicorp reports 17 pct rise in fourth-quarter net profit on year ,LIMA  Feb 9 Credicorp Ltd   Peru's biggest financial holding company  said on Monday its fourth-quarter net income rose 17 percent year over year to 495.6 million soles ($165.2 million)  below market expectations.,topStory
CVS,CVS Health Corporation,20150210,CVS Health revenue beats as pharmacy services sales rise ,CVS Health Corp  reported a better-than-expected quarterly net revenue  boosted by growth in its Medicaid business and strength in specialty drug sales.,topStory
CVS,CVS Health Corporation,20150210,UPDATE 2-CVS Health revenue beats as pharmacy services sales rise ,Feb 10 CVS Health Corp reported a better-than-expected quarterly net revenue  boosted by growth in its Medicaid business and strength in specialty drug sales.,normal
CVS,CVS Health Corporation,20150210,CVS Health revenue rises nearly 13 pct ,Feb 10 CVS Health Corp  the No. 2 U.S. drugstore operator  reported a near 13 percent rise in quarterly net revenue  helped by an increase in pharmacy same-store sales.,normal
DF,Dean Foods Company,20150210,Dean Foods sales miss estimates on high raw milk prices ,Dean Foods Co   the largest U.S. milk processor  reported lower-than-expected quarterly sales and profit as raw milk prices remained stubbornly high.,topStory
DF,Dean Foods Company,20150210,UPDATE 1-Dean Foods sales miss estimates on high raw milk prices ,Feb 10 Dean Foods Co  the largest U.S. milk processor  reported lower-than-expected quarterly sales and profit as raw milk prices remained stubbornly high.,normal
DF,Dean Foods Company,20150210,Dean Foods quarterly sales rise 4.3 pct ,Feb 10 Dean Foods Co  the largest U.S. milk processor  reported a 4.3 percent rise in quarterly sales as demand for milk rose among health conscious U.S. customers.,normal
FCAU,Fiat Chrysler Automobiles NV,20150210,UPDATE 1-Baillie Gifford lifts its Fiat stake to 7.29 pct ,MILAN  Feb 10 Edinburgh-based asset manager Baillie Gifford has increased its stake in carmaker Fiat Chrysler Automobiles <FCAU.N to 7.29 percent  a regulatory filing with the Securities and Exchange Commission showed on Tuesday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150210,Baillie Gifford raised stake in Fiat Chrysler to 7.29 pct - SEC ,MILAN  Feb 10 Edinburgh-based asset manager Baillie Gifford has increased its stake in car maker Fiat Chrysler  to 7.29 percent  a regulatory filing with the Securities and Exchange Commission showed on Tuesday.,normal
GEB,General Electric Company,20150210,Koenigsberg retiring as GE Capital Markets chief ,NEW YORK Global head of GE Capital Markets Stewart Koenigsberg has announced his retirement and is expected to leave the company later this year  a GE Capital spokesperson confirmed.,topStory
GEB,General Electric Company,20150210,CORRECTED (OFFICIAL)-Koenigsberg retiring as GE Capital Markets chief ,NEW YORK  Feb 10 Global head of GE Capital Markets Stewart Koenigsberg has announced his retirement and is expected to leave the company later this year  a GE Capital spokesperson confirmed.,normal
GM,General Motors Company,20150210,GM investor seeks board seat  $8 billion stock buyback ,DETROIT Chief Executive Mary Barra's plan to keep a big cash cushion for General Motors Co  is under attack from a group of shareholders led by a member of the auto task force that helped restructure the company during its 2009 bankruptcy. | Video ,topStory
GM,General Motors Company,20150210,Factbox: General Motors' 15 largest shareholders ,General Motors Co  said on Tuesday that an investor who was a member of the U.S. auto task force that helped the automaker through bankruptcy in 2009 wants to join its board. Harry Wilson  working with four hedge funds including Appaloosa Management  told GM he also intends to propose to shareholders at its June annual meeting that the company buy back $8 billion worth of shares over the next year.,normal
