ATVI,Activision Blizzard Inc,20150521,Judge OKs Activision $275 million shareholder settlement  $72 million for lawyers ,WILMINGTON  Del. A Delaware judge on Wednesday approved a $275 million shareholder settlement involving videogame maker Activision Blizzard Inc and awarded the small law firms that brought the case a $72.5 million fee.,topStory
CHTR,Charter Communications Inc,20150521,UPDATE 1-FCC chairman reached out to Time Warner Cable  Charter CEOs -WSJ ,May 21 U.S. Federal Communications Commission Chairman Tom Wheeler reached out to the chief executives of Time Warner Cable Inc and Charter Communications Inc  to convey that the agency is not against any and all cable deals  the Wall Street Journal reported.,topStory
CHTR,Charter Communications Inc,20150521,FCC chairman reached out to Time Warner Cable  Charter CEOs - WSJ ,May 21 Federal Communications Commission Chairman Tom Wheeler reached out to the chief executives of Time Warner Cable Inc and Charter Communications Inc  to convey that the agency is not against cable deals  the Wall Street Journal reported.,normal
CHTR,Charter Communications Inc,20150521,Easier regulatory review seen for Altice vs Charter in TWC deal ,A potential bid by French telecom group Altice SA to buy U.S. cable company Time Warner Cable Inc would pass regulatory hurdles more easily than an offer pondered by cable rival Charter Communications Inc   according to analysts and experts.,normal
CHSCL,CHS Inc,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
CHSCM,CHS Inc,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
CHSCN,CHS Inc,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
CHSCO,CHS Inc,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
CHSCP,CHS Inc,20150521,CHS Inc to buy Illinois ethanol plant in $196 mln deal -SEC filing ,CHICAGO  May 21 CHS Inc will buy an ethanol plant in Annawan  Illinois  that is partially owned by REX American Resources Corp  a U.S. Securities and Exchange Commission filing showed on Thursday.,topStory
EBAY,eBay Inc,20150521,eBay to roll out Amazon Prime-like service in Germany: WSJ ,EBay Inc plans to launch a new shipping service  eBay plus  in Germany in the second half of this year  the Wall Street Journal reported.,topStory
EBAY,eBay Inc,20150521,eBay to roll out Amazon Prime-like service in Germany - WSJ ,May 21 EBay Inc plans to launch a new shipping service  eBay plus  in Germany in the second half of this year  the Wall Street Journal reported.,normal
EBAYL,eBay Inc,20150521,eBay to roll out Amazon Prime-like service in Germany: WSJ ,EBay Inc plans to launch a new shipping service  eBay plus  in Germany in the second half of this year  the Wall Street Journal reported.,topStory
EBAYL,eBay Inc,20150521,eBay to roll out Amazon Prime-like service in Germany - WSJ ,May 21 EBay Inc plans to launch a new shipping service  eBay plus  in Germany in the second half of this year  the Wall Street Journal reported.,normal
ESLT,Elbit Systems Ltd,20150521,UPDATE 1-Elbit Systems buys Nice's cyber unit for up to $158 mln ,* Elbit shares up 1 pct  Nice down 0.8 pct   (Adds analyst's comments  share reaction),topStory
ESLT,Elbit Systems Ltd,20150521,Elbit Systems buys Nice's cyber unit for up to $158 mln ,TEL AVIV  May 21 Israeli defence electronics firm Elbit Systems has  agreed to buy Nice Systems'  cyber and intelligence division for $157.9 million as it seeks to boost its presence in this fast-growing market.,normal
ENDP,Endo International plc,20150521,LPC-Endo reveals $9.275 bln loan package for Par buy ,LONDON  May 21 Specialty drugmaker Endo International has agreed a $9.275 billion loan package backing its $8.05 billion acquisition of privately-owned Par Pharmaceuticals  the borrower announced in an SEC filing on Thursday.,topStory
MSFT,Microsoft Corporation,20150521,HP forecasts split-related costs below expectations ,Hewlett-Packard Co   which is in the process of splitting itself  forecast separation-related costs below the expectation of several analysts and reported a better-than-expected quarterly profit.,topStory
NTAP,NetApp Inc,20150521,US STOCKS-Wall St set to open lower as weekly jobless claims rise ,* Futures down: Dow 23 pts  S&P 2.75 pts  Nasdaq 10.50 pts   (Adds details  comment  updates prices),topStory
NICE,NICE Ltd,20150521,UPDATE 1-Elbit Systems buys Nice's cyber unit for up to $158 mln ,* Elbit shares up 1 pct  Nice down 0.8 pct   (Adds analyst's comments  share reaction),topStory
NICE,NICE Ltd,20150521,Elbit Systems buys Nice's cyber unit for up to $158 mln ,TEL AVIV  May 21 Israeli defence electronics firm Elbit Systems has  agreed to buy Nice Systems'  cyber and intelligence division for $157.9 million as it seeks to boost its presence in this fast-growing market.,normal
OTIC,Otonomy Inc,20150521,Otonomy's ear drug fails mid-stage trial  shares slide ,Otonomy Inc said its experimental drug did not meet the main goal of reducing the incidence of vertigo in a mid-stage trial in patients suffering from Ménière's disease.,topStory
OTIC,Otonomy Inc,20150521,UPDATE 1-Otonomy's ear drug fails mid-stage trial  shares slide ,May 21 Otonomy Inc said its experimental drug did not meet the main goal of reducing the incidence of vertigo in a mid-stage trial in patients suffering from Ménière's disease.,normal
OTIC,Otonomy Inc,20150521,Otonomy Inc's ear drug fails mid-stage trial ,May 21 Drug developer Otonomy Inc said its experimental drug did not meet the main goal of reducing the incidence of vertigo in a mid-stage trial in patients suffering from Ménière's disease.,normal
ANDE,The Andersons Inc,20150521,U.S. grain handler Andersons not looking to be acquired: CEO ,NEW YORK U.S. grain handler Andersons Inc  is not interested in being acquired  Chief Executive Officer Mike Anderson said on Thursday after Richardson International expressed interest in a takeover.,topStory
ANDE,The Andersons Inc,20150521,UPDATE 1-U.S. grain handler Andersons not looking to be acquired -CEO ,NEW YORK  May 21 U.S. grain handler Andersons Inc is not interested in being acquired  Chief Executive Officer Mike Anderson said on Thursday after Richardson International expressed interest in a takeover.,normal
ANDE,The Andersons Inc,20150521,U.S. grain handler Andersons not interested being acquired -CEO ,CHICAGO  May 21 U.S. grain handler Andersons Inc  is not interested in being acquired  Chief Executive Officer Mike Anderson said on Thursday after Richardson International expressed interest in a takeover.,normal
BABA,Alibaba Group Holding Limited,20150521,Alibaba-backed Baozun's shares seesaw in choppy debut ,Shares of China's Baozun Inc  in which Alibaba holds a nearly 20 percent stake  traded erratically in their debut on Thursday  sending the e-commerce services company's valuation seesawing.,topStory
BABA,Alibaba Group Holding Limited,20150521,UPDATE 1-Alibaba-backed Baozun's shares seesaw in choppy debut ,May 21 Shares of China's Baozun Inc  in which Alibaba holds a nearly 20 percent stake  traded erratically in their debut on Thursday  sending the e-commerce services company's valuation seesawing.,normal
BABA,Alibaba Group Holding Limited,20150521,Research group says UC Browser  owned by Alibaba  found to leak data ,SHANGHAI A popular mobile web browser from a company that Alibaba Group Holding Ltd paid more than $1 billion for last year leaks sensitive user data and is a privacy risk  a Canadian technology research group said on Thursday.,normal
BABA,Alibaba Group Holding Limited,20150521,Alibaba-backed Baozun rises in debut after pricing below expectations ,May 21 Shares of China's Baozun Inc  nearly one-fifth-owned by Alibaba  rose as much as 13 percent in their debut on Thursday  valuing the e-commerce services company at up to $548.3 million.,normal
BABA,Alibaba Group Holding Limited,20150521,UPDATE 1-Research group says UC Browser  owned by Alibaba  found to leak data ,SHANGHAI  May 21 A popular mobile web browser from a company that Alibaba Group Holding Ltd paid more than $1 billion for last year leaks sensitive user data and is a privacy risk  a Canadian technology research group said on Thursday.,normal
BABA,Alibaba Group Holding Limited,20150521,Searching for the next Alibaba in India ,MUMBAI Indian e-commerce firms are offering funding help and tech support to woo small retailers  emulating a strategy used by Chinese online retail giant Alibaba Group Holding Ltd to expand into the towns and villages home to the majority of consumers.,normal
BABA,Alibaba Group Holding Limited,20150521,Copying Alibaba  India e-tailers woo small sellers for growth ,MUMBAI Indian e-commerce firms are offering funding help and tech support to woo small retailers  emulating a strategy used by Chinese online retail giant Alibaba Group Holding Ltd to expand into the towns and villages home to the majority of consumers.,normal
BABA,Alibaba Group Holding Limited,20150521,Copying Alibaba  India e-tailers woo small sellers for growth ,MUMBAI  May 21 Indian e-commerce firms are offering funding help and tech support to woo small retailers  emulating a strategy used by Chinese online retail giant Alibaba Group Holding Ltd to expand into the towns and villages home to the majority of consumers.,normal
BABA,Alibaba Group Holding Limited,20150521,Research group says UC Browser  owned by Alibaba  found to leak data ,SHANGHAI  May 21 A popular mobile web browser from a company that Alibaba Group Holding Ltd paid more than $1 billion for last year leaks sensitive user data and is a privacy risk  a Canadian technology research group said on Thursday.,normal
BABA,Alibaba Group Holding Limited,20150521,Alibaba-backed Baozun prices $110 mln US IPO  below expectations ,HONG KONG  May 21 Chinese e-commerce company Baozun Inc  backed by Alibaba Group Holding Ltd   raised $110 million in a U.S. share offering  less than investors had initially expected  after pricing the deal below its own indicative range.,normal
BUD,Anheuser-Busch Inbev SA,20150521,INSIGHT-New breed of food execs raised on mergers  not marketing ,LONDON  May 21 The consumer goods world has long been dominated by marketing whiz kids raised through the ranks of Procter & Gamble or PepsiCo  but the executives now in demand come from a new school that values cost-cutting and mergers over marketing.,topStory
ADM,Archer-Daniels-Midland Company,20150521,ADM boosts grain export capacity at Argentine port ,CHICAGO  May 21 U.S. agribusiness Archer Daniels Midland Co said on Thursday it is expanding grain export capacity at an Argentine port to help boost shipments from the world's No. 3 corn and soybean supplier and top exporter of soymeal and soyoil.,topStory
AXS,Axis Capital Holdings Limited,20150521,Exor says will not raise $6.8 billion offer for PartnerRe ,MILAN Italian investment holding company Exor  said on Thursday it would not raise its $6.8 billion takeover offer for PartnerRe  but was willing to negotiate with the reinsurer if its board declared its offer superior to that of rival suitor Axis Capital Holdings .,topStory
AXS,Axis Capital Holdings Limited,20150521,UPDATE 1-Exor says will not raise $6.8 bln offer for PartnerRe ,MILAN  May 21 Italian investment holding company Exor said on Thursday it would not raise its $6.8 billion takeover offer for PartnerRe but was willing to negotiate with the reinsurer if its board declared its offer superior to that of rival suitor Axis Capital Holdings.,normal
SAN,Banco Santander SA,20150521,BRIEF-Fidentiis places 8.56 pct of NH Hotels for Banco Santander at 5.10 euros per share ,* Said on Wednesday it had placed 8.56 percent of NH Hotel Group SA on behalf of Banco Santander SA at 5.10 euros per share  153 million euros ($170 million) in total     Source text for Eikon:,topStory
BK,Bank Of New York Mellon Corporation (The),20150521,BNY Mellon to pay $180 million to settle foreign exchange lawsuit ,Bank of New York Mellon Corp will pay $180 million to settle a foreign exchange-related putative class action lawsuit  the bank said in a regulatory filing on Thursday.,topStory
BK,Bank Of New York Mellon Corporation (The),20150521,BNY Mellon to pay $180 mln to settle foreign exchange lawsuit ,May 21 Bank of New York Mellon Corp will pay $180 million to settle a foreign exchange-related putative class action lawsuit  the bank said in a regulatory filing on Thursday.,normal
BCS,Barclays PLC,20150521,MOVES-Barclays  Credit Suisse  Citigroup  Guggenheim Securities ,May 21 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20150521,UPDATE 2-Banks give Chicago breathing room to convert bonds ,CHICAGO  May 21 Banks that entered into credit and other deals related to variable-rate debt sold by the city of Chicago have agreed not to immediately demand $2.2 billion in payments triggered when the city's rating was cut to junk by Moody's Investors Service  according to city documents.,normal
BCS,Barclays PLC,20150521,MOVES-Morgan Stanley healthcare banker Truman joins Barclays ,May 21 Healthcare investment banker Jason Truman has left Morgan Stanley to join Barclays Plc in New York  according to an internal memo from the British bank seen by Reuters.,normal
BBY,Best Buy Co Inc,20150521,Best Buy profit beats on strong demand for TVs  smartphones ,Best Buy Co Inc   the largest U.S. consumer electronics chain  reported better-than-expected quarterly profit and sales  helped by strong demand for smartphones and large-screen TVs  sending its shares up over 8 percent. | Video ,topStory
BBY,Best Buy Co Inc,20150521,UPDATE 2-Best Buy profit beats on strong demand for TVs  smartphones ,May 21 Best Buy Co Inc  the largest U.S. consumer electronics chain  reported better-than-expected quarterly profit and sales  helped by strong demand for smartphones and large-screen TVs  sending its shares up over 8 percent.,normal
BBY,Best Buy Co Inc,20150521,US STOCKS-Wall St set to open lower as weekly jobless claims rise ,* Futures down: Dow 23 pts  S&P 2.75 pts  Nasdaq 10.50 pts   (Adds details  comment  updates prices),normal
BBY,Best Buy Co Inc,20150521,Best Buy profit beats on strong demand for TVs  smartphones ,May 21 Best Buy Co Inc  the largest U.S. consumer electronics chain  reported better-than-expected quarterly profit and sales  helped by strong demand for large-screen TVs  smartphones and appliances.,normal
BLK,BlackRock Inc,20150521,UPDATE 3-McDonald's CEO gets grilled at first annual meeting ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders defied executives at its annual meeting on Thursday  approving a proposal to make it easier to nominate directors to the board of the fast-food chain and taking its new CEO to task over wages  advertising and its food.,normal
BLK,BlackRock Inc,20150521,RPT-McDonald's shareholders to weigh director-nomination rules ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders will vote Thursday on a proposal that would make it easier to nominate directors to the board of the fast-food chain  which is in turnaround mode after losing customers and sales to competition and after internal missteps.,normal
BLK,BlackRock Inc,20150521,McDonald's shareholders to weigh director-nomination rules ,LOS ANGELES/BOSTON  May 21 McDonald's Corp  shareholders will vote Thursday on a proposal that would make it easier to nominate directors to the board of the fast-food chain  which is in turnaround mode after losing customers and sales to competition and after internal missteps.,normal
BA,Boeing Company (The),20150521,Lockheed-Boeing rocket venture needs commercial orders to survive ,WASHINGTON United Launch Alliance  a 50-50 joint venture of Lockheed Martin Corp and Boeing Co  on Thursday said it would go out of business unless it won commercial and civil satellite launch orders to offset an expected slump in U.S. military and spy launches.,topStory
BA,Boeing Company (The),20150521,Lockheed-Boeing rocket venture needs commercial orders to survive ,WASHINGTON  May 21 United Launch Alliance  a 50-50 joint venture of Lockheed Martin Corp and Boeing Co  on Thursday said it would go out of business unless it won commercial and civil satellite launch orders to offset an expected slump in U.S. military and spy launches.,normal
BP,BP plc,20150521,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,topStory
BP,BP plc,20150521,BP settles oil spill-related claims with Halliburton  Transocean ,BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
BP,BP plc,20150521,UPDATE 3-BP settles oil spill-related claims with Halliburton  Transocean ,May 20 BP Plc has settled with oilfield services provider Halliburton Co and contract driller Transocean Ltd cross claims related to the 2010 Gulf of Mexico oil spill  the worst offshore disaster in U.S. history.,normal
C,Citigroup Inc,20150521,MOVES-Barclays  Credit Suisse  Citigroup  Guggenheim Securities ,May 21 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20150521,MOVES-Citigroup picks Tweedie to head UK corporate banking ,LONDON  May 21 (IFR) - Citigroup has promoted Mark Tweedie to the position of head of corporate banking for the UK. He will take up the job on July 1 and have coverage responsibility for several key accounts in the country  the bank said.,normal
CVS,CVS Health Corporation,20150521,Deals of the day- Mergers and acquisitions ,May 21 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,topStory
CVS,CVS Health Corporation,20150521,CVS to expand pharmacy business with $10.1 billion Omnicare buy ,Drugstore operator CVS Health Corp  said Thursday it will spend $10.1 billion to buy Omnicare Inc   a company that supplies prescription medicines to nursing  assisted living and other healthcare facilities. | Video ,normal
CVS,CVS Health Corporation,20150521,UPDATE 3-CVS to expand pharmacy business with $10.1 billion Omnicare buy ,* Deal to add $0.20/share to CVS adjusted earnings in 2016   (Adds analyst comments  updates trading),normal
CVS,CVS Health Corporation,20150521,US STOCKS-Wall St shrugs off weak data to inch higher ,* Indexes up: Dow 0.02 pct  S&P 0.1 pct  Nasdaq 0.2 pct   (Updates to open),normal
CVS,CVS Health Corporation,20150521,CORRECTED-UPDATE 2-CVS to buy pharmacy services provider Omnicare for $10.1 bln ,May 21 CVS Health Corp  the second-largest U.S. drugstore operator  said on Thursday it will buy pharmacy services provider Omnicare Inc for $10.1 billion to expand in the growing market serving the senior patient population.,normal
CVS,CVS Health Corporation,20150521,US STOCKS-Wall St set to open lower as weekly jobless claims rise ,* Futures down: Dow 23 pts  S&P 2.75 pts  Nasdaq 10.50 pts   (Adds details  comment  updates prices),normal
CVS,CVS Health Corporation,20150521,CVS Health to buy Omnicare in $12.7 billion deal ,May 21 Drugstore operator CVS Health Corp  said it will acquire pharmacy service provider Omnicare Inc for an enterprise value of about $12.7 billion.,normal
CVS,CVS Health Corporation,20150521,Deals of the day- Mergers and acquisitions ,May 21 The following bids  mergers  acquisitions and disposals were reported by 1030 GMT on Thursday:,normal
DB,Deutsche Bank AG,20150521,REFILE-UPDATE 5-Deutsche Bank gives Jain more power in shake-up  investors object ,FRANKFURT  May 21 Deutsche Bank gave more power to co-chief executive Anshu Jain in a management shake-up that was roundly criticised by investors on Thursday who demanded more changes to restore confidence in the leadership of Germany's largest bank.,topStory
DB,Deutsche Bank AG,20150521,Deutsche Bank gives Jain more power in shake-up  investors object ,FRANKFURT Deutsche Bank  gave more power to co-chief executive Anshu Jain in a management shake-up that was roundly criticized by investors on Thursday who demanded more changes to restore confidence in the leadership of Germany's largest bank. | Video ,normal
DB,Deutsche Bank AG,20150521,Deutsche Bank CEOs ask for support as cost cuts loom ,FRANKFURT Deutsche Bank’s  two chief executives faced down a storm of shareholder criticism on Thursday by conceding that their performance had fallen short and asking the bank’s owners for continued backing as they cut costs and reshape strategy.,normal
DB,Deutsche Bank AG,20150521,Shareholder support for Deutsche Bank co-CEOs drops in vote ,FRANKFURT  May 21 Deutsche Bank  shareholders delivered a stinging rebuke to co-chief executives Anshu Jain and Juergen Fitschen on Thursday with only 61 percent of them voting in favour of their 2014 performances at an annual general meeting.,normal
DB,Deutsche Bank AG,20150521,Deutsche Bank says Postbank spinoff to cost low  triple-digit mln euros ,FRANKFURT  May 21 Deutsche Bank  finance chief Stefan Krause said deconsolidating Postbank  from the group by 2016 as planned would require costs running in the low  triple-digit millions of euros.,normal
DB,Deutsche Bank AG,20150521,Advisory firm Hermes calls for more change at top of Deutsche Bank ,FRANKFURT  May 21 Shareholder adviser Hermes Equity Ownership Services Advisory said on Thursday a management shake-up at Deutsche Bank did not go far enough and called for more changes to restore its confidence in the bank's board of management.,normal
DB,Deutsche Bank AG,20150521,Deutsche Bank CEOs ask for support as cost cuts loom ,FRANKFURT  May 21 Deutsche Bank's two chief executives faced down a storm of shareholder criticism on Thursday by conceding that their performance had fallen short and asking the bank's owners for continued backing as they cut costs and reshape strategy.,normal
F,Ford Motor Company,20150521,Ford sales growth mainly from Asia in next decade: executive ,DEARBORN  Mich Ford Motor Co  sees most of its corporate sales growth over the next decade coming from the Asia Pacific region despite the recent slowdown in China auto demand  a top executive said Thursday.,topStory
F,Ford Motor Company,20150521,Ford sales growth mainly from Asia in next decade - exec ,DEARBORN  Mich  May 21 Ford Motor Co sees most of its corporate sales growth over the next decade coming from the Asia Pacific region despite the recent slowdown in China auto demand  a top executive said Thursday.,normal
GPS,Gap Inc (The),20150521,Gap's profit falls 8 percent due to strong dollar  supply delays ,Apparel retailer Gap Inc  reported an 8 percent fall in quarterly profit  hurt by a stronger dollar  supply delays in the United States and lower demand for its namesake brand.,topStory
GPS,Gap Inc (The),20150521,UPDATE 1-Gap's profit falls 8 pct due to strong dollar  supply delays ,May 21 Apparel retailer Gap Inc reported an 8 percent fall in quarterly profit  hurt by a stronger dollar  supply delays in the United States and lower demand for its namesake brand.,normal
GPS,Gap Inc (The),20150521,BRIEF-Gap Q1 earnings per share $0.56 ,* Q1 earnings per share $0.56; q1 net sales $3.66 billion versus. $3.77 billion last year,normal
GPS,Gap Inc (The),20150521,Gap's profit falls 8 pct due to strong dollar  supply delays ,May 21 Apparel retailer Gap Inc reported an 8 percent fall in quarterly profit  hurt by a stronger dollar  supply delays in the United States and lower demand for its namesake brand.,normal
IT,Gartner Inc,20150521,Worldwide Chromebook sales set to reach 7.3 mln units in 2015- Gartner ,May 21 Market research firm Gartner Inc  estimated 7.3 million Chromebooks would be sold this year  helped mainly by demand from the education industry.,topStory
GEH,General Electric Capital Corporation,20150521,European Factors to Watch-Shares set for lackluster open ,LONDON  May 21 European shares were seen opening lower on Thursday  broadly tracking Asia and Wall Street  after minutes from last month's Federal Reserve meeting offered little to alter market expectations of the timing of an interest-rate hike.,normal
GEK,General Electric Capital Corporation,20150521,European Factors to Watch-Shares set for lackluster open ,LONDON  May 21 European shares were seen opening lower on Thursday  broadly tracking Asia and Wall Street  after minutes from last month's Federal Reserve meeting offered little to alter market expectations of the timing of an interest-rate hike.,normal
GE,General Electric Company,20150521,European Factors to Watch-Shares set for lackluster open ,LONDON  May 21 European shares were seen opening lower on Thursday  broadly tracking Asia and Wall Street  after minutes from last month's Federal Reserve meeting offered little to alter market expectations of the timing of an interest-rate hike.,normal
GEB,General Electric Company,20150521,European Factors to Watch-Shares set for lackluster open ,LONDON  May 21 European shares were seen opening lower on Thursday  broadly tracking Asia and Wall Street  after minutes from last month's Federal Reserve meeting offered little to alter market expectations of the timing of an interest-rate hike.,normal
GM,General Motors Company,20150521,U.S. extends oversight of GM's handling of safety issues ,WASHINGTON U.S. regulators will oversee General Motors Co's decision-making about potential vehicle safety issues for an additional year  the National Highway Traffic Safety Administration said on Thursday.,topStory
GM,General Motors Company,20150521,UPDATE 1-U.S. extends oversight of GM's handling of safety issues ,WASHINGTON  May 21 U.S. regulators will oversee General Motors Co's decision-making about potential vehicle safety issues for an additional year  the National Highway Traffic Safety Administration said on Thursday.,normal
GM,General Motors Company,20150521,GM to spend $439 mln to upgrade Corvette plant in Kentucky ,May 21 General Motors Co said it will spend $439 million to build a new paint shop and on upgrades at its Corvette sports car plant in Bowling Green  Kentucky.,normal
GS,Goldman Sachs Group Inc (The),20150521,Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  the firm held its annual shareholder meeting in its San Francisco headquarters on Thursday.,topStory
GS,Goldman Sachs Group Inc (The),20150521,CORRECTED-UPDATE 1-Goldman Sachs asks shareholders to 'like' tech push in San Francisco ,SAN FRANCISCO  May 21 In Goldman Sachs Group Inc's latest move to bolster its street cred as a cool  tech-savvy bank  the firm held its annual shareholder meeting in its San Francisco headquarters on Thursday.,normal
