GOOG,Alphabet Inc,20150227,REFILE-Market Chatter-Corporate finance press digest ,Feb 27 The following corporate finance-related stories were reported by media:,normal
MORN,Morningstar Inc,20150227,CORRECTED-UPDATE 2-Actavis hormonal contraceptive device wins FDA approval ,Feb 27 The U.S. Food and Drug Administration approved a hormonal contraceptive device on Friday that gives American women another reversible contraceptive choice as effective as sterilization.,topStory
BPOP,Popular Inc,20150227,UPDATE 3-Failure of Puerto Rico's Doral Bank released early in FDIC mishap ,NEW YORK/WASHINGTON  Feb 27 Puerto Rico's Doral Bank has failed and a local rival will take over its operations  authorities said on Friday after accidentally releasing the information early and sending shares down 46 percent before trading was halted.,normal
CG,The Carlyle Group LP,20150227,Carlyle splashes out $31.2 million on former JPMorgan executive ,Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,topStory
CG,The Carlyle Group LP,20150227,REFILE-Carlyle splashes out $31.2 million on former JPMorgan executive ,Feb 26 Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co  $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,normal
TCGP,The Carlyle Group LP,20150227,Carlyle splashes out $31.2 million on former JPMorgan executive ,Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,topStory
TCGP,The Carlyle Group LP,20150227,REFILE-Carlyle splashes out $31.2 million on former JPMorgan executive ,Feb 26 Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co  $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,normal
PCLN,The Priceline Group Inc ,20150227,Priceline Group names new chief executive officer of priceline.com ,Feb 27 Priceline Group Inc on Friday named Paul J. Hennessy as chief executive officer of its priceline.com division  effective April 1.,topStory
FOX,Twenty-First Century Fox Inc,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
FOXA,Twenty-First Century Fox Inc,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
VIA,Viacom Inc,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
VIAB,Viacom Inc,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
VOD,Vodafone Group Plc,20150227,UPDATE 1-Europe's big telecoms roar back to health  worrying rivals ,* More consolidation deals expected   (Adds details on prices in Austria after mergers),topStory
VOD,Vodafone Group Plc,20150227,Europe's big telecoms roar back to health  worrying rivals ,PARIS  Feb 27 Europe's big telecom firms are back to rude financial health after years of poor results and regulatory pressure  drawing crowds of new investors and protests from rivals who worry the formerly state-owned companies may rebuild their monopolies.,normal
AGU,Agrium Inc,20150227,Canadian farmers store fertilizer to fight dealers' pricing power ,WINNIPEG  Manitoba Canadian farmers are plowing profits from bumper crops into fertilizer storage facilities to mitigate the pricing power held by major retailers and producers.,normal
AGU,Agrium Inc,20150227,Canadian farmers store fertilizer to fight dealers' pricing power ,WINNIPEG  Manitoba  Feb 26 Canadian farmers are plowing profits from bumper crops into fertilizer storage facilities to mitigate the pricing power held by major retailers and producers.,normal
BABA,Alibaba Group Holding Limited,20150227,Alibaba's online payment firm Ant Financial eyes 2017 IPO: state media ,SHANGHAI Ant Financial Services Group  Alibaba's affiliate which runs online payment platform Alipay  is seeking to raise up to $4 billion in a private placement of shares and is looking at a domestic IPO in 2017  the state-run Shanghai Securities News reported.,topStory
BABA,Alibaba Group Holding Limited,20150227,China censorship sweep deletes more than 60 000 Internet accounts ,BEIJING  Feb 27 Some of China's largest Internet companies deleted more than 60 000 online accounts because their names did not conform to regulations due to take effect on Sunday  the top Internet regulator said.,normal
BABA,Alibaba Group Holding Limited,20150227,Alibaba's online payment firm Ant Financial eyes 2017 IPO -state media ,SHANGHAI  Feb 27 Ant Financial Services Group  Alibaba's affiliate which runs online payment platform Alipay  is seeking to raise up to $4 billion in a private placement of shares and is looking at a domestic IPO in 2017  the state-run Shanghai Securities News reported.,normal
AMOV,America Movil SAB de CV,20150227,America Movil to install Ericsson man at Telekom Austria-sources ,VIENNA  Feb 27 Mexico's America Movil  is set to install Ericsson manager Alejandro Plater as new operations chief at Telekom Austria  two sources with knowledge of the matter told Reuters on Friday.,topStory
AMX,America Movil SAB de CV,20150227,America Movil to install Ericsson man at Telekom Austria-sources ,VIENNA  Feb 27 Mexico's America Movil  is set to install Ericsson manager Alejandro Plater as new operations chief at Telekom Austria  two sources with knowledge of the matter told Reuters on Friday.,topStory
AIG,American International Group Inc,20150227,UPDATE 3-Former AIG head Benmosche dies; led insurer after bailout ,NEW YORK  Feb 27 Robert Benmosche  who took the helm of insurer American International Group after a massive government bailout at the height of the financial crisis  died on Friday at 70 after a battle with lung cancer.,topStory
AIG,American International Group Inc,20150227,A , ,normal
AIG,American International Group Inc,20150227,CORRECTED-OFFICIAL-Former AIG head Benmosche dies at 70 ,Feb 27 Robert Benmosche  former president and chief executive officer of insurer American International Group   died Friday at 70  the company said in a statement.,normal
AZN,Astrazeneca PLC,20150227,AstraZeneca to carve out antibiotic R&D into separate firm ,LONDON Drugmaker AstraZeneca  has decided to carve out its early-stage antibiotic research by creating a stand-alone subsidiary company  as it sharpens its focus on other therapy areas.,topStory
AZN,Astrazeneca PLC,20150227,UPDATE 1-AstraZeneca to carve out antibiotic R&D into separate firm ,LONDON  Feb 27 Drugmaker AstraZeneca has decided to carve out its early-stage antibiotic research by creating a stand-alone subsidiary company  as it sharpens its focus on other therapy areas.,normal
AZN,Astrazeneca PLC,20150227,AstraZeneca carving out antibiotic R&D into separate firm ,LONDON  Feb 27 Drugmaker AstraZeneca has decided to carve out its early-stage antibiotic research by creating a stand-alone subsidiary company  as it sharpens its focus on other therapy areas.,normal
BRFS,BRF SA,20150227,Brazil's BRF sees 2015 Capex of $642 mln  open to acquisitions ,SAO PAULO  Feb 27 Brazilian meat processor BRF SA said on Friday it expects capital expenditures of 1.85 billion reais in 2015 ($642 million)  up from 1.5 billion reais in 2014  and its global director said it is attentive to acquisition opportunities.,topStory
BRFS,BRF SA,20150227,Brazil's BRF says truck strike complicating food exports ,SAO PAULO  Feb 27 A truck strike in Brazil that is now in its 10th day has made the completion of food export orders difficult for BRF SA  the world's largest chicken exporter  Chairman Abilio Diniz said on Friday.,normal
BTI,British American Tobacco plc,20150227,Kenya's BAT says FY 2104 pretax profit up 11 pct ,NAIROBI  Feb 27 British American Tobacco Kenya's  full year 2014 pretax profit jumped 11 percent to 6.1 billion shillings ($66.8 million)  helped by increased export and domestic sales  the company said on Friday.,topStory
CBS,CBS Corporation,20150227,Fitch Publishes Rating Navigators for U.S. Diversified Media Companies ,(The following statement was released by the rating agency) NEW YORK  February 27 (Fitch) Fitch Ratings has published its new Rating  Navigators for the following North American diversified Media companies: --CBS Corporation --Cox Enterprises  Inc. --Discovery Communications LLC --NBCUniversal Media LLC --Time Warner Inc. --Twenty-First Century Fox  Inc. --Viacom  Inc. --The Walt Disney Company  Inc.  These Rating Navigators should be read in tandem with its companion report  entitled 'Media:  R,topStory
CX,Cemex SAB de CV,20150227,LatAm enjoys another solid start as Cemex climbs ,NEW YORK  Feb 27 (IFR) - LatAm credit markets enjoyed another strong start on Friday with the exception of the Brazilian sovereign  which continues to lag as investors fret about the fallout from the Petrobras corruption scandal.,topStory
CHK,Chesapeake Energy Corporation,20150227,Chesapeake Energy sees asset writedowns in Q1-filing ,HOUSTON  Feb 27 Chesapeake Energy Corp  on Friday said in a regulatory filing it expects to write-down the value of its oil and gas properties in the first quarter  citing low oil and gas prices.,topStory
SNP,China Petroleum & Chemical Corporation,20150227,RPT-COLUMN-PetroChina  Sinopec merger makes little sense: Russell ,(Repeats with no changes to text)  - Clyde Russell is a Reuters columnist. The views expressed are his own. -,topStory
SNP,China Petroleum & Chemical Corporation,20150227,PetroChina  Sinopec merger makes little sense: Russell ,LAUNCESTON  Australia  Feb 27 The market chatter over forming a giant Chinese oil major through merging PetroChina and Sinopec has ramped up again recently  but the motivations for such a deal struggle to stand up to scrutiny.,normal
SNP,China Petroleum & Chemical Corporation,20150227,COLUMN-PetroChina  Sinopec merger makes little sense: Russell ,- Clyde Russell is a Reuters columnist. The views expressed are his own. -,normal
CHA,China Telecom Corp Ltd,20150227,UPDATE 1-China issues 4G licences to China Telecom  China Unicom ,* 4G users pay more on average than other subscribers   (Adds subscriber numbers  context),topStory
CHA,China Telecom Corp Ltd,20150227,China issues 4G FDD licences to China Telecom  China Unicom ,BEIJING  Feb 27 China has issued licences to operate 4G wireless networks to China Telecom Corp Ltd  and China Unicom Hong Kong Ltd  two of the country's three carriers  the Ministry of Industry and Information Technology said on Friday.,normal
CHU,China Unicom (Hong Kong) Ltd,20150227,UPDATE 1-China issues 4G licences to China Telecom  China Unicom ,* 4G users pay more on average than other subscribers   (Adds subscriber numbers  context),topStory
CHU,China Unicom (Hong Kong) Ltd,20150227,China issues 4G FDD licences to China Telecom  China Unicom ,BEIJING  Feb 27 China has issued licences to operate 4G wireless networks to China Telecom Corp Ltd  and China Unicom Hong Kong Ltd  two of the country's three carriers  the Ministry of Industry and Information Technology said on Friday.,normal
EXC,Exelon Corporation,20150227,Exelon returns Limerick Unit 1 to full power ,Feb 27 Exelon Corp said on Friday that its 1 146-megawatt Unit 1 at the Limerick nuclear power plant in Pennsylvania returned to full power today after repair of a valve on one of the unit's main steam lines.,topStory
XOM,Exxon Mobil Corporation,20150227,Energy companies lose round vs. NYC funds in proxy access battle ,BOSTON Exxon Mobil Corp and three other large energy companies failed to block shareholder resolutions on director nomination rules put forth by New York City pension funds  making it more likely investors will get to vote on the hot issue this spring.,topStory
XOM,Exxon Mobil Corporation,20150227,Energy companies lose round vs. NYC funds in proxy access battle ,BOSTON Exxon Mobil Corp and three other large energy companies failed to block shareholder resolutions on director nomination rules put forth by New York City pension funds  making it more likely investors will get to vote on the hot issue this spring.,normal
XOM,Exxon Mobil Corporation,20150227,Energy companies lose round vs. NYC funds in proxy access battle ,BOSTON  Feb 27 Exxon Mobil Corp and three other large energy companies failed to block shareholder resolutions on director nomination rules put forth by New York City pension funds  making it more likely investors will get to vote on the hot issue this spring.,normal
GPS,Gap Inc (The),20150227,Mexican airport operator GAP reports lower 4th-qtr profit ,MEXICO CITY  Feb 27 Mexico's Grupo Aeroportuario del Pacifico (GAP)  which operates airports along Mexico's Pacific Coast  on Friday said its fourth-quarter profit fell 30 percent on weak revenue and a less favorable tax bill.,topStory
GM,General Motors Company,20150227,After Indonesia retreat  GM retrenches in Thailand  too ,A day after announcing it is to stop making GM-branded cars in Indonesia  General Motors  said on Friday it would cease production of its Chevrolet Sonic in Thailand by the middle of this year.,topStory
TV,Grupo Televisa SA,20150227,Mexico's Televisa says Univision could go public in 12-18 months ,MEXICO CITY  Feb 27 An executive from Mexico's Grupo Televisa on Friday said U.S. media company Univision could list shares within the next 12-18 months.,topStory
TV,Grupo Televisa SA,20150227,UPDATE 2-Mexico's Televisa reports slightly higher 4th-qtr profit ,MEXICO CITY  Feb 26 Mexico broadcaster Televisa  the world's biggest provider of Spanish-language content  on Thursday reported a 1.6 percent increase in its fourth-quarter profit  as it added pay-TV subscribers and sold more content and advertising.,normal
TV,Grupo Televisa SA,20150227,Mexico broadcaster Televisa reports slightly higher 4th-qtr profit ,MEXICO CITY  Feb 26 Mexico broadcaster Televisa on Thursday reported a 1.6 percent increase in its fourth-quarter profit.,normal
HMC,Honda Motor Company Ltd,20150227,UPDATE 1-Nissan says can meet U.S. sales goal with capacity in S.Korea  Japan ,* Confident Nissan can overtake Honda in U.S. - exec   (Adds background on U.S. performance  executive's comments),topStory
IBM,International Business Machines Corporation,20150227,IBM targets $40 billion in cloud  other growth areas by 2018 ,International Business Machines Corp   which ruled computing in the age of the mainframe  is targeting $40 billion in annual revenue from the cloud  big data  security and other growth areas by 2018.,topStory
JPM,J P Morgan Chase & Co,20150227,Petrobras denies hiring JPMorgan for subsalt license sales ,SAO PAULO  Feb 27 Petróleo Brasileiro SA   denied on Friday that it has hired JPMorgan Chase & Co to handle the sale of oil exploration licenses in deep-sea areas off the coast this year.,topStory
JPM,J P Morgan Chase & Co,20150227,Carlyle splashes out $31.2 million on former JPMorgan executive ,Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,normal
JPM,J P Morgan Chase & Co,20150227,REFILE-Carlyle splashes out $31.2 million on former JPMorgan executive ,Feb 26 Carlyle Group LP paid its co-president who was hired last year from JPMorgan Chase & Co  $31.2 million in 2014  a higher compensation than many veterans received at the private equity firm  a regulatory filing showed on Thursday.,normal
JCP,JC Penney Company Inc Holding Company,20150227,US STOCKS-Wall St flat as mixed data provides scant incentives ,* Indexes: Dow off 0.09 pct  S&P up 0.03 pct  Nasdaq off 0.05 pct   (Updates to market open),topStory
JCP,JC Penney Company Inc Holding Company,20150227,US STOCKS-Wall St little changed after GDP data; UMich on tap ,* Indexes off: Dow 0.08 pct  S&P 0.01 pct  Nasdaq 0.02 pct   (Updates to market open),normal
JCP,JC Penney Company Inc Holding Company,20150227,US STOCKS-Wall St set for flat open after GDP data ,* Futures off: Dow 17 pts  S&P 3 pts  Nasdaq 5.5 pts   (Adds data  quote),normal
JCP,JC Penney Company Inc Holding Company,20150227,US STOCKS-Futures flat ahead of GDP  consumer sentiment ,NEW YORK  Feb 27 U.S. stock index futures were little changed on Friday  with major indexes on track for a fourth week of gains  ahead of readings on economic growth and consumer sentiment.,normal
JCP,JC Penney Company Inc Holding Company,20150227,UPDATE 2-J.C. Penney shares tumble after surprise miss on profit ,Feb 26 Shares of department store chain J.C. Penney Co Inc tumbled 12 percent in after-hours trade on Thursday after it posted a surprise quarterly loss and forecast small margin improvements this year.,normal
KKR,KKR & Co LP,20150227,MOVES-KKR credit investments chief steps down ,NEW YORK  Feb 27 Private equity firm KKR & Co LP  said on Friday its head of credit and capital markets would step down  just two years after his predecessor departed  the latest leadership change to businesses that have more than $37 billion in assets.,topStory
LYG,Lloyds Banking Group Plc,20150227,Britain's Lloyds to pay first dividend since rescue ,LONDON Lloyds Banking Group  is paying its first dividend in more than six years after reporting a rise in profit and improvements in its capital strength  a milestone in the bank's recovery after it was bailed out during the financial crisis. | Video ,topStory
LYG,Lloyds Banking Group Plc,20150227,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue ,LONDON  Feb 27 Lloyds Banking Group is paying its first dividend in more than six years after reporting a rise in profit and improvements in its capital strength  a milestone in the bank's recovery after it was bailed out during the financial crisis.,normal
LYG,Lloyds Banking Group Plc,20150227,IAG  Lloyds help FTSE 100 cling on to record peak ,LONDON  Feb 27 Strong results from British Airways-owner International Airlines Group and Lloyds Banking Group helped Britain's top share index cling on to record highs on Friday.,normal
LYG,Lloyds Banking Group Plc,20150227,Britain's Lloyds to pay first dividend since financial crisis ,LONDON  Feb 27 Lloyds Banking Group has reported its first dividend since its bailout during the financial crisis of 2007 to 2009 at a cost of 20 billion pounds ($31 billion) to taxpayers.,normal
LMT,Lockheed Martin Corporation,20150227,Lockheed  Sikorsky venture awarded $2.0 billion helicopter support deal ,WASHINGTON The U.S. Navy has awarded a joint venture of Lockheed Martin Corp  and Sikorsky Helicopter a contract worth $2 billion to service the Navy's H-60 helicopters through Jan. 31  2020  the Pentagon announced on Friday.,topStory
LMT,Lockheed Martin Corporation,20150227,Lockheed  Sikorsky venture awarded $2.0 bln helicopter support deal ,WASHINGTON  Feb 27 The U.S. Navy has awarded a joint venture of Lockheed Martin Corp and Sikorsky Helicopter a contract worth $2 billion to service the Navy's H-60 helicopters through Jan. 31  2020  the Pentagon announced on Friday.,normal
LMT,Lockheed Martin Corporation,20150227,BRIEF-Kongsberg wins an order from Lockheed Martin valued at NOK 560 million ,* Won an order from Lockheed Martin valued at 560 million  Norwegian crowns ($73.30 million) for deliveries of rudders and vertical leading edges,normal
MCD,McDonald&#39;s Corporation,20150227,Coffee's hot as IPO could value India's Cafe Coffee Day at $1 bln ,MUMBAI  Feb 27 The firm behind Cafe Coffee Day  India's biggest homegrown coffee chain  is set for a market debut that could value it at almost $1 billion  even as the country's burgeoning cafe culture draws global giants Starbucks  and McDonald's.,topStory
MFGP,Micro Focus Intl PLC,20150227,UPDATE 1-Standard Life fund arm still unhappy with governance at Sports Direct  Afren ,* Concern over board independence at Afren   (Adds detail on Sports Direct  Afren  Micro Focus stakes),topStory
NFX,Newfield Exploration Company,20150227,CORRECTED-E&P oil firms using stock sales to de-lever ,NEW YORK  Feb 26 (IFR) - Exploration and production companies are bracing for a sustained period of low commodity prices by deleveraging through stock sales - and well-funded firms are surprisingly leading the way.,topStory
OCN,Ocwen Financial Corporation,20150227,Ocwen loses two mortgage loan servicing contracts after default ,Mortgage servicer Ocwen Financial Corp said it received a notice from a trustee terminating its services for two pools of securitized mortgage loans.,topStory
OCN,Ocwen Financial Corporation,20150227,Ocwen loses two mortgage loan servicing contracts after default ,Feb 27 Mortgage servicer Ocwen Financial Corp  said it received a notice from a trustee terminating its services for two pools of securitized mortgage loans.,normal
ORAN,Orange,20150227,Europe's big telecoms roar back to health  worrying rivals ,PARIS Europe's big telecom firms are back to rude financial health after years of poor results and regulatory pressure  drawing crowds of new investors and protests from rivals who worry the formerly state-owned companies may rebuild their monopolies.,topStory
PSO,Pearson Plc,20150227,UPDATE 2-Pearson says benefits of restructuring coming through ,* U.S. college enrolments show improving trend   (Adds CEO quotes),topStory
PSO,Pearson Plc,20150227,FT to change the way it charges for digital news ,The Financial Times is changing the way it charges readers for digital access  shaking up the metered model it pioneered almost eight years ago  its chief executive officer said.,normal
PSO,Pearson Plc,20150227,Pearson posts 5 percent rise in 2014 profit as restructuring ends ,LONDON  Feb 27 British publisher Pearson  reported an as expected 5 percent rise in 2014 underlying adjusted operating profit and reiterated its pledge to return to earnings growth in 2015 as two years of painful restructuring come to an end.,normal
PTR,PetroChina Company Limited,20150227,RPT-COLUMN-PetroChina  Sinopec merger makes little sense: Russell ,(Repeats with no changes to text)  - Clyde Russell is a Reuters columnist. The views expressed are his own. -,topStory
PTR,PetroChina Company Limited,20150227,PetroChina  Sinopec merger makes little sense: Russell ,LAUNCESTON  Australia  Feb 27 The market chatter over forming a giant Chinese oil major through merging PetroChina and Sinopec has ramped up again recently  but the motivations for such a deal struggle to stand up to scrutiny.,normal
PTR,PetroChina Company Limited,20150227,COLUMN-PetroChina  Sinopec merger makes little sense: Russell ,- Clyde Russell is a Reuters columnist. The views expressed are his own. -,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,UPDATE 1-Petrobras' services chief Dutra takes leave of absence ,RIO DE JANEIRO  Feb 27 Brazil's embattled state-run oil company Petroleo Brasileiro SA said on Friday that the director of its corporate-services division will take a 90-day leave of absence for  health reasons.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20150227,Petrobras' powerful services chief Dutra takes leave of absence ,RIO DE JANEIRO  Feb 27 Brazil's embattled state-run oil company Petroleo Brasileiro SA  said on Friday that its director of the company's powerful corporate services division will take a 90-day leave of absence on health grounds.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,LatAm credits end week better bid as Petrobras recovers ,NEW YORK  Feb 27 (IFR) - Latin American credits ended the week in better shape  with sovereign and corporate bonds enjoying a strong bid as accounts continued to see value in battered Brazilian names.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,UPDATE 1-Brazil's Petrobras names lawyer Navarro to board ,RIO DE JANEIRO  Feb 27 Brazilian state-run oil company Petroleo Brasileiro SA on Friday said Luiz Navarro  a lawyer who has specialized in anti-corruption legislation  was elected to its board of directors.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,Petrobras downgrade shakes market ,NEW YORK  Feb 27 (IFR) - Moody's shocked bond investors this week with a surprise two-notch downgrade that put Brazilian oil company Petrobras in junk territory. The move was seen by some investors as overly assertive  leaving them to add exposure incrementally.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,Brazil's Petrobras names lawyer Navarro to board of directors ,RIO DE JANEIRO  Feb 27 Brazil's state-run oil company Petroleo Brasileiro SA said on Friday that lawyer Luiz Navarro was named to the board of directors.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,LatAm enjoys another solid start as Cemex climbs ,NEW YORK  Feb 27 (IFR) - LatAm credit markets enjoyed another strong start on Friday with the exception of the Brazilian sovereign  which continues to lag as investors fret about the fallout from the Petrobras corruption scandal.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20150227,Petrobras denies hiring JPMorgan for subsalt license sales ,SAO PAULO  Feb 27 Petróleo Brasileiro SA   denied on Friday that it has hired JPMorgan Chase & Co to handle the sale of oil exploration licenses in deep-sea areas off the coast this year.,normal
