AMGN,Amgen Inc,20151221,BRIEF-Medigene says Amgen acquires medigene spin-off ,* Announced that Amgen Inc.  USA  will acquire 100 pct of Catherex  Inc.  USA  a spin-off of Medigene,topStory
MSFT,Microsoft Corporation,20151221,US STOCKS SNAPSHOT-Wall St ends higher; Apple  Microsoft boost ,NEW YORK  Dec 21 U.S. stocks ended stronger on Monday  helped by a bounce in Apple and Microsoft as well as a rally in hospital shares after more Americans signed up for subsidized health insurance.,topStory
MSFT,Microsoft Corporation,20151221,BUZZ-Stormy times ahead for cloud computing ETF ,** Cloud computing sector seeing volatility as First Trust ISE Cloud Computing Index Fund thrusts to new high at end-of-Nov  before quickly reversing to 3-month low in midst of last week's sharp market swings,normal
NTAP,NetApp Inc,20151221,NetApp to buy flash storage maker SolidFire for $870 million ,Data storage equipment maker NetApp Inc  said it would buy SolidFire  a flash-storage systems maker  for $870 million in cash.,topStory
NTAP,NetApp Inc,20151221,NetApp to buy flash storage maker SolidFire for $870 mln ,Dec 21 Data storage equipment maker NetApp Inc  said it would buy SolidFire  a flash-storage systems maker  for $870 million in cash.,normal
NFLX,Netflix Inc,20151221,Star Wars movie could awaken shares of theater operators ,Dec 21 The record-breaking launch of the latest Star Wars movie puts the shares of U.S. theater operators on course for a stellar performance this quarter and beyond  analysts said  as rave reviews pull in die-hard fans and theater-shy audiences alike.,normal
NFLX,Netflix Inc,20151221,Net Insight says new invention could double addressable market ,STOCKHOLM Net Insight's new invention that enables synchronized live broadcasts on TV  tablets and smartphones could double its total addressable market in 1-2 years and should have a healthy impact on profit margins  its chief executive told Reuters.,normal
VIA,Viacom Inc,20151221,Shari Redstone refused to sell stake in media empire - WSJ ,Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp for $1 billion  the Wall Street Journal reported.,topStory
VIA,Viacom Inc,20151221,UPDATE 2-Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,normal
VIA,Viacom Inc,20151221,Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,normal
VIAB,Viacom Inc,20151221,Shari Redstone refused to sell stake in media empire - WSJ ,Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp for $1 billion  the Wall Street Journal reported.,topStory
VIAB,Viacom Inc,20151221,UPDATE 2-Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,normal
VIAB,Viacom Inc,20151221,Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,normal
BABA,Alibaba Group Holding Limited,20151221,Alibaba names new head of anti-counterfeiting  IP unit ,Alibaba Group Holding Ltd appointed Matthew Bassiur as head global intellectual property enforcement to oversee the company's anti-counterfeiting and intellectual property rights protection efforts.,topStory
BABA,Alibaba Group Holding Limited,20151221,Alibaba names new head of anti-counterfeiting  IP unit ,Alibaba Group Holding Ltd appointed Matthew Bassiur as head global intellectual property enforcement to oversee the company's anti-counterfeiting and intellectual property rights protection efforts.,normal
BABA,Alibaba Group Holding Limited,20151221,Alibaba names new head of anti-counterfeiting  IP unit ,Dec 21 Alibaba Group Holding Ltd  appointed Matthew Bassiur as head global intellectual property enforcement to oversee the company's anti-counterfeiting and intellectual property rights protection efforts.,normal
AMC,AMC Entertainment Holdings Inc,20151221,Star Wars movie could awaken shares of theater operators ,Dec 21 The record-breaking launch of the latest Star Wars movie puts the shares of U.S. theater operators on course for a stellar performance this quarter and beyond  analysts said  as rave reviews pull in die-hard fans and theater-shy audiences alike.,normal
AMOV,America Movil SAB de CV,20151221,UPDATE 1-Shares in Slim's Telesites rise in market debut after spinoff ,MEXICO CITY  Dec 21 Shares in Telesites   the Mexican wireless transmission towers firm spun off from billionaire Carlos Slim's telecoms giant America Movil   rose in their market debut on Monday.,topStory
AMX,America Movil SAB de CV,20151221,UPDATE 1-Shares in Slim's Telesites rise in market debut after spinoff ,MEXICO CITY  Dec 21 Shares in Telesites   the Mexican wireless transmission towers firm spun off from billionaire Carlos Slim's telecoms giant America Movil   rose in their market debut on Monday.,topStory
SAN,Banco Santander SA,20151221,BRIEF-Banco Santander's unit acquires Banco Banif for 150 mln euros ,* The resolution authority  decided to award Banco Banif's business to Banco Santander Totta  a subsidiary of Banco Santander,topStory
BBL,BHP Billiton plc,20151221,Brazil Vale says will appeal ruling to block assets for dam burst ,RIO DE JANEIRO Brazil's Vale SA said on Sunday it will appeal a court decision to freeze some of it and BHP Billiton's Brazilian assets  saying the ruling  which declared the two mining companies responsible for a dam burst last month  was "inappropriate.",topStory
BBL,BHP Billiton plc,20151221,Hoping your rivals will die - The 2016 commodity story: Russell ,LAUNCESTON  Australia - If 2015 was the year in which the growing oversupply of key commodities led to a rout in prices  will 2016 bring the point of capitulation  leading to consolidation and the start of recovery?,normal
BP,BP plc,20151221,UPDATE 2-Safety official tapped to lead U.S. union refinery workers ,HOUSTON  Dec 21 A United Steelworkers union (USW) safety official has been tapped to lead the 30 000 U.S. refinery and chemical plant workers represented by the labor organization  a USW spokeswoman said on Monday.,normal
BAM,Brookfield Asset Management Inc,20151221,UPDATE 1-Canada's Brookfield offers asset sale to clear $6.5 bln Asciano deal ,SYDNEY  Dec 22 Australia's antitrust regulator said it will consider a watered down version of Canadian infrastructure giant Brookfield Asset Management Inc's  $6.5 billion bid for freight firm Asciano Ltd  reviving the prospect of a deal.,topStory
BAM,Brookfield Asset Management Inc,20151221,Canada's Brookfield would sell assets to clear $6.5 bln Asciano deal: Australian regulator ,SYDNEY  Dec 22 Canadian infrastructure giant Brookfield Asset Management Inc offered to sell a host of assets to get antitrust clearance for a proposed $6.5 billion buyout of Australian port and rail firm Asciano Ltd  an Australia regulator said.,normal
CBS,CBS Corporation,20151221,Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,topStory
CBS,CBS Corporation,20151221,UPDATE 2-Shari Redstone refused to sell stake in media empire - WSJ ,Dec 21 Shari Redstone refused an offer from her media mogul father Sumner to sell her 20 percent stake in the holding company that controls Viacom Inc and CBS Corp  for $1 billion  the Wall Street Journal reported.,normal
CF,CF Industries Holdings Inc,20151221,BRIEF-CF Industries and OCI announce amended combination agreement ,* CF Industries and OCI announce amended combination agreement,topStory
CMG,Chipotle Mexican Grill Inc,20151221,CDC investigating new E.coli strain linked to Chipotle ,Federal authorities are investigating a new E.coli strain linked to Chipotle Mexican Grill Inc  piling more pressure on the popular burrito chain already grappling with an outbreak that has affected about 50 people in nine states.,topStory
CMG,Chipotle Mexican Grill Inc,20151221,UPDATE 2-CDC investigating new E.coli strain linked to Chipotle ,* Chipotle shares touch 17-month low in regular trading   (Adds details  background; updates shares),normal
CCV,Comcast Corporation,20151221,Miss Universe host announces wrong winner before Miss Philippines crowned ,The host of the Miss Universe pageant mistakenly announced the wrong winner on Sunday  who then had to give up the crown and hand it over to a 26-year-old actress and model from the Philippines.,normal
CCV,Comcast Corporation,20151221,UPDATE 3-Miss Universe host announces wrong winner before Miss Philippines crowned ,Dec 20 The host of the Miss Universe pageant mistakenly announced the wrong winner on Sunday  who then had to give up the crown and hand it over to a 26-year-old actress and model from the Philippines.,normal
GLOP,GasLog Partners LP,20151221,CORRECTED-BRIEF-GasLog Partners to recommend to board a cash dividend ,Dec 21 GasLog Partners LP:  * GasLog Partners - has not experienced any material change in partnership's operations since reporting financial results for quarter ended September 30  * GasLog Partners - to recommend to partnership's board of directors a cash distribution per unit of $0.478 for the quarter ended December 31  2015 * Source text for Eikon  * Further company coverage,topStory
GPRK,Geopark Ltd,20151221,Trafigura strikes $100-million deal to buy GeoPark's Colombian crude oil ,LONDON Latin American-focused oil and gas explorer GeoPark Ltd has signed a $100-million prepayment agreement with Swiss commodities trading group Trafigura  under which it will sell a portion of its Colombian crude oil output.,topStory
GPRK,Geopark Ltd,20151221,Trafigura strikes $100-mln deal to buy GeoPark's Colombian crude oil ,LONDON  Dec 21 Latin American-focused oil and gas explorer GeoPark Ltd has signed a $100-million prepayment agreement with Swiss commodities trading group Trafigura  under which it will sell a portion of its Colombian crude oil output.,normal
GSK,GlaxoSmithKline PLC,20151221,Independent group says new Glaxo asthma drug far too expensive ,An independent nonprofit organization that evaluates clinical and cost effectiveness of new medicines found the price of GlaxoSmithKline's new drug for severe asthma should be as much as 76 percent lower to justify its value  according to the group's latest draft report.,topStory
GSK,GlaxoSmithKline PLC,20151221,Independent group says new Glaxo asthma drug far too expensive ,Dec 21 An independent nonprofit organization that evaluates clinical and cost effectiveness of new medicines found the price of GlaxoSmithKline's new drug for severe asthma should be as much as 76 percent lower to justify its value  according to the group's latest draft report.,normal
HON,Honeywell International Inc,20151221,BRIEF-European Commission clears Honeywell deal to buy Melrose unit Elster ,* European Commission has granted clearance for acquisition of Elster by Honeywell International Inc,topStory
HON,Honeywell International Inc,20151221,EU regulators approve Honeywell's buy of Elster subject to conditions ,BRUSSELS European Union antitrust regulators on Monday approved Honeywell International Inc's $5.1 billion purchase of Elster Group  the utility consumption metering business of Britain's Melrose Industries Plc  subject to conditions.,normal
HON,Honeywell International Inc,20151221,EU regulators approve Honeywell's buy of Elster subject to conditions ,BRUSSELS  Dec 21 European Union antitrust regulators on Monday approved Honeywell International Inc's  $5.1 billion purchase of Elster Group  the utility consumption metering business of Britain's Melrose Industries Plc  subject to conditions.,normal
IR,Ingersoll-Rand plc (Ireland),20151221,UPDATE 1-Panasonic buys U.S. refrigeration firm Hussmann for $1.5 bln ,TOKYO  Dec 21 Japanese electronics maker Panasonic Corp is set to buy U.S. refrigeration firm Hussmann for over 186.6 billion yen ($1.5 billion) in a deal it says will leverage its technology and help it break into the U.S. food distribution industry.,normal
JPM,J P Morgan Chase & Co,20151221,JPMorgan to pay $150 million in 'London Whale' U.S. class action ,NEW YORK JPMorgan Chase & Co has agreed to pay $150 million to resolve a securities fraud lawsuit by investors suing the bank over its "London Whale" trading scandal  which caused a $6.2 billion loss.,topStory
JPM,J P Morgan Chase & Co,20151221,JPMorgan to pay $150 million in 'London Whale' U.S. class action ,NEW YORK JPMorgan Chase & Co has agreed to pay $150 million to resolve a securities fraud lawsuit by investors suing the bank over its "London Whale" trading scandal  which caused a $6.2 billion loss.,normal
JPM,J P Morgan Chase & Co,20151221,UPDATE 1-JPMorgan to pay $150 million in 'London Whale' U.S. class action ,NEW YORK  Dec 21 JPMorgan Chase & Co has agreed to pay $150 million to resolve a securities fraud lawsuit by investors suing the bank over its "London Whale" trading scandal  which caused a $6.2 billion loss.,normal
JPM,J P Morgan Chase & Co,20151221,JPMorgan to pay $150 million in 'London Whale' U.S. class action ,NEW YORK  Dec 21 JPMorgan Chase & Co has agreed to pay $150 million to resolve a securities fraud lawsuit by investors suing the bank over its "London Whale" trading scandal  which caused a $6.2 billion loss.,normal
JNPR,Juniper Networks Inc,20151221,Cisco reviews code after Juniper breach; more scrutiny expected ,BOSTON Networking equipment maker Cisco Systems Inc said on Monday it has launched a product review to look for tampering after rival Juniper Networks Inc's disclosure it found code in firewall software that made in vulnerable to cyber attacks.,topStory
JNPR,Juniper Networks Inc,20151221,UPDATE 1-Cisco reviews code after Juniper breach; more scrutiny expected ,BOSTON  Dec 21 Networking equipment maker Cisco Systems Inc said on Monday it has launched a product review to look for tampering after rival Juniper Networks Inc's  disclosure it found code in firewall software that made in vulnerable to cyber attacks.,normal
JNPR,Juniper Networks Inc,20151221,Cisco reviewing product code after Juniper software was altered ,BOSTON  Dec 21 Cisco Systems Inc said on Monday that it is reviewing its product code for "malicious modification" in the wake of rival Juniper Networks Inc's  disclosure last week that it had found unauthorized code in its firewall software.,normal
LMT,Lockheed Martin Corporation,20151221,Lockheed meets goal of delivering 45 F-35 jets in 2015 -Pentagon ,WASHINGTON Lockheed Martin Corp met its goal of delivering 45 F-35 fighter jets to the U.S. government and key allies in 2015  a 25 percent increase from 2014 that brought the number of jets delivered to 154  the Pentagon said on Monday.,topStory
LMT,Lockheed Martin Corporation,20151221,UPDATE 3-Lockheed meets goal of delivering 45 F-35 jets in 2015 -Pentagon ,WASHINGTON  Dec 21 Lockheed Martin Corp  met its goal of delivering 45 F-35 fighter jets to the U.S. government and key allies in 2015  a 25 percent increase from 2014 that brought the number of jets delivered to 154  the Pentagon said on Monday.,normal
LMT,Lockheed Martin Corporation,20151221,Lockheed wins $1.17 billion deal for early work on more F-35 jets ,WASHINGTON Lockheed Martin Corp  has won a contract worth $1.17 billion to buy titanium and other materials needed to build an 11th batch of F-35 fighter jets  the Pentagon said on Monday.,normal
LMT,Lockheed Martin Corporation,20151221,Lockheed wins $1.17 bln deal for early work on more F-35 jets ,WASHINGTON  Dec 21 Lockheed Martin Corp  has won a contract worth $1.17 billion to buy titanium and other materials needed to build an 11th batch of F-35 fighter jets  the Pentagon said on Monday.,normal
LMT,Lockheed Martin Corporation,20151221,Lockheed meets goal of delivering 45 F-35 jets in 2015 - Pentagon ,WASHINGTON  Dec 21 Lockheed Martin Corp  met its goal of delivering 45 F-35 fighter jets to the U.S. government and key allies in 2015  a 25 percent increase from 2014 that brought the total number of jets delivered to 154  the Pentagon said on Monday.,normal
MCD,McDonald&#39;s Corporation,20151221,McDonald's exploring sale of stake in Japanese arm: Nikkei ,McDonald's Corp  is reaching out to investors about selling a part of the fast-food company's stake in its Japanese arm for about 100 billion yen ($826.2 million)  the Nikkei business daily reported  without citing sources.,topStory
MCD,McDonald&#39;s Corporation,20151221,McDonald's exploring sale of stake in Japanese arm - Nikkei ,Dec 21 McDonald's Corp is reaching out to investors about selling a part of the fast-food company's stake in its Japanese arm for about 100 billion yen ($826.2 million)  the Nikkei business daily reported  without citing sources.,normal
MTL,Mechel PAO,20151221,UPDATE 1-Russia's Mechel moves step closer to debt restructuring with Sberbank ,MOSCOW  Dec 21 Indebted Russian coal and steel producer Mechel has moved a step closer to a debt restructuring deal with a key lender as its coal subsidiary Southern Kuzbass reached a settlement agreement with Sberbank   the miner said.,topStory
MTL,Mechel PAO,20151221,Russia's Mechel says firm reaches 1st restructuring deal with Sberbank ,MOSCOW  Dec 21 Russian indebted coal and steel producer Mechel said on Monday that its coal subsidiary Southern Kuzbass had signed a settlement out of court with top-lender Sberbank.,normal
MON,Monsanto Company,20151221,Monsanto shares set to rise 20 pct in next year - Barron's ,NEW YORK  Dec 20 Monsanto Co shares  which are trading at a relatively low premium  are poised to rise 20 percent over the next year  according to an article in the latest edition of Barron's.,topStory
MS,Morgan Stanley,20151221,Rosneft deepens ties with Trafigura with huge products deal ,LONDON/MOSCOW  Dec 21 Trafigura is expanding its ties with Russia's Rosneft and is likely to become its biggest buyer next year when the Swiss commodities trader adds refined products to its already huge purchases of crude oil.,normal
NOC,Northrop Grumman Corporation,20151221,UPDATE 3-Lockheed meets goal of delivering 45 F-35 jets in 2015 -Pentagon ,WASHINGTON  Dec 21 Lockheed Martin Corp  met its goal of delivering 45 F-35 fighter jets to the U.S. government and key allies in 2015  a 25 percent increase from 2014 that brought the number of jets delivered to 154  the Pentagon said on Monday.,normal
ORCL,Oracle Corporation,20151221,Oracle settles FTC charges that it left its customers open to hacking ,Oracle Corp has settled allegations by the Federal Trade Commission that it failed to notify customers about unaddressed hacking dangers when it released security updates for the estimated 850 million U.S. computers with Java SE software  the agency said on Monday.,topStory
ORCL,Oracle Corporation,20151221,Oracle settles FTC charges that it left its customers open to hacking ,WASHINGTON Oracle Corp has settled allegations by the Federal Trade Commission that it failed to notify customers about unaddressed hacking dangers when it released security updates for the estimated 850 million U.S. computers with Java SE software  the agency said on Monday.,normal
ORCL,Oracle Corporation,20151221,Oracle settles FTC charges that it left its customers open to hacking ,WASHINGTON  Dec 21 Oracle Corp has settled allegations by the Federal Trade Commission that it failed to notify customers about unaddressed hacking dangers when it released security updates for the estimated 850 million U.S. computers with Java SE software  the agency said on Monday.,normal
PTR,PetroChina Company Limited,20151221,PetroChina to build temporary gas pipe in 10 days after blast ,BEIJING PetroChina plans to lay a temporary natural gas pipeline in the southern Chinese city of Shenzhen to replace a line that exploded near the site of a deadly mudslide  the company said Monday.,topStory
PSX,Phillips 66,20151221,UPDATE 1-Fire at Phillips 66's Ferndale  Washington refinery supports gasoline ,HOUSTON  Dec 21 Pacific Northwest gasoline prices were bid and offered higher on Monday following a fire over the weekend at Phillips 66's refinery in Ferndale  Washington.,topStory
RTN,Raytheon Company,20151221,Israel's David Sling missile defence passes final test ,JERUSALEM  Dec 21 A new Israeli air defense system developed in partnership with the United States has passed its final round of tests  putting it on course for deployment in 2016  the Israeli Defence Ministry said on Monday.,normal
SEAS,SeaWorld Entertainment Inc,20151221,Passengers rescued from ride at SeaWorld Orlando in Florida ,TAMPA  Fla. Emergency responders on Monday helped rescue 50 visitors trapped on the Skytower ride at the SeaWorld Orlando theme park  park officials said. | Video ,topStory
SNA,Snap-On Incorporated,20151221,Snap-On shares could rise 20 percent in next year: Barron's ,Shares of tool maker Snap-On Inc  could rise nearly 20 percent in the next year as increasing complexity of cars and trucks creates new demand for the company's products  according to the latest edition of Barron's.,topStory
LUV,Southwest Airlines Company,20151221,U.S. says Southwest Airlines to pay $2.8 million to settle safety allegations ,WASHINGTON Southwest Airlines Co  has agreed to pay $2.8 million to settle a lawsuit involving allegations that it violated U.S. Federal Aviation Administration safety regulations  the Justice Department said on Monday.,topStory
LUV,Southwest Airlines Company,20151221,U.S. says Southwest Airlines to pay $2.8 mln to settle safety allegations ,WASHINGTON Southwest Airlines Co has agreed to pay $2.8 million to settle a lawsuit involving allegations that it violated U.S. Federal Aviation Administration safety regulations  the Justice Department said on Monday.,normal
LUV,Southwest Airlines Company,20151221,U.S. says Southwest Airlines to pay $2.8 mln to settle safety allegations ,WASHINGTON  Dec 21 Southwest Airlines Co  has agreed to pay $2.8 million to settle a lawsuit involving allegations that it violated U.S. Federal Aviation Administration safety regulations  the Justice Department said on Monday.,normal
STO,Statoil ASA,20151221,Gunvor  Statoil consider joining latest resources transparency drive ,OSLO Commodities trader Gunvor and the oil trading desks of Statoil and other energy firms are considering joining a global initiative aimed at shedding light on companies' dealing with governments of resource-rich countries.,topStory
SMFG,Sumitomo Mitsui Financial Group Inc,20151221,Fitch: No Rating Impact on SMFG from GE Japan Deal ,(The following statement was released by the rating agency) TOKYO  December 20 (Fitch) Fitch Ratings says that the recent announcement by  Sumitomo Mitsui Financial Group  Inc. (SMFG  A/Stable) that its 60%-owned  subsidiary Sumitomo Mitsui Finance and Leasing Company  Limited (SMFL) had  agreed  subject to regulatory approval  to fully acquire General Electric  Group's (GE) leasing operation in Japan will have no rating impact on SMFG and  its subsidiary banks. Fitch views the acquisition as sm,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20151221,BRIEF-TSMC orders machinery equipment worth T$548 million ,* Says orders machinery equipment worth T$548 million ($16.70 million) from Hitachi High-Technologies Corporation,topStory
VALE,VALE SA,20151221,CORRECTED(OFFICIAL)-UPDATE 1-Brazil Vale says operations normal despite asset freeze ,RIO DE JANEIRO  Dec 21 Brazilian mining company Vale SA said on Monday its mining operations were continuing as normal and it still had not been notified of a court ruling on Friday to block the transfer or sale of mining rights after a deadly dam burst last month.,topStory
VALE,VALE SA,20151221,Brazil Vale says will appeal ruling to block assets for dam burst ,RIO DE JANEIRO Brazil's Vale SA said on Sunday it will appeal a court decision to freeze some of it and BHP Billiton's Brazilian assets  saying the ruling  which declared the two mining companies responsible for a dam burst last month  was "inappropriate.",normal
VALE,VALE SA,20151221,Brazil Vale says operations normal despite court asset freeze ,RIO DE JANEIRO  Dec 21 Brazilian mining company Vale SA said on Monday that its mining operations were continuing as normal despite a court ruling on Friday that blocks the firm from extracting iron ore after a deadly dam burst last month.,normal
DIS,Walt Disney Company (The),20151221,UPDATE 2-'Star Wars: The Force Awakens' opens to record $248 mln in North America ,LOS ANGELES  Dec 21 "Star Wars: The Force Awakens" opened with a record-breaking $248 million at the U.S. and Canadian box office  and $529 million globally over its opening weekend  Walt Disney Co said on Monday.,topStory
DIS,Walt Disney Company (The),20151221,'Star Wars: The Force Awakens' opens to record $248 million in North America ,LOS ANGELES "Star Wars: The Force Awakens" opened with a record-breaking $248 million at the North American box office  and $529 million globally over its opening weekend  Walt Disney Co said on Monday.,normal
DIS,Walt Disney Company (The),20151221,Disney CEO says 'Star Wars' global sales may reach $528 mln - Bbg ,"Star Wars: The Force Awakens" may rake in $528 million in worldwide ticket sales over the weekend  Walt Disney Co Chief Executive Bob Iger said on Bloomberg TV.,normal
DIS,Walt Disney Company (The),20151221,Disney CEO says 'Star Wars' global sales may reach $528 million: Bloomberg ,"Star Wars: The Force Awakens" may rake in $528 million in worldwide ticket sales over the weekend  Walt Disney Co Chief Executive Bob Iger said on Bloomberg TV.,normal
DIS,Walt Disney Company (The),20151221,Historic 'Star Wars' debut hands Disney another hit franchise ,LOS ANGELES "Star Wars: The Force Awakens" shattered box office records with an estimated $517 million in worldwide ticket sales through Sunday  a staggering debut that re-established the celebrated space saga as a global phenomenon under Walt Disney Co. | Video ,normal
DIS,Walt Disney Company (The),20151221,Historic 'Star Wars' debut hands Disney another hit franchise ,LOS ANGELES "Star Wars: The Force Awakens" shattered box office records with an estimated $517 million in worldwide ticket sales through Sunday  a staggering debut that re-established the celebrated space saga as a global phenomenon under Walt Disney Co.,normal
