AMD,Advanced Micro Devices Inc,20150729,Bounce in AMD's stock may put pressure on short sellers ,SAN FRANCISCO A two-day rally in the lowly shares of Advanced Micro Devices Inc may be squeezing short sellers  who recently increased their bets against the chipmaker.,topStory
CELG,Celgene Corporation,20150729,Celgene says patent-fighting hedge fund manager wants to short its shares ,NEW YORK Celgene Corp  one of the world's largest biotechnology companies  has accused U.S. hedge fund manager Kyle Bass of attempting to profit from his attempts to wipe out several major drug patents through his Coalition for Affordable Drugs.,topStory
CELG,Celgene Corporation,20150729,Celgene says patent-fighting hedge fund manager wants to short its shares ,NEW YORK Celgene Corp  one of the world's largest biotechnology companies  has accused U.S. hedge fund manager Kyle Bass of attempting to profit from his attempts to wipe out several major drug patents through his Coalition for Affordable Drugs.,normal
CELG,Celgene Corporation,20150729,Celgene says patent-fighting hedge fund manager wants to short its shares ,NEW YORK  July 29 Celgene Corp  one of the world's largest biotechnology companies  has accused U.S. hedge fund manager Kyle Bass of attempting to profit from his attempts to wipe out several major drug patents through his Coalition for Affordable Drugs.,normal
CETV,Central European Media Enterprises Ltd,20150729,BRIEF-Broadcaster CME expects OIBDA growth of 45-55 pct at constant rates in 2015 ,* Says in presentation expects OIBDA growth of 45-55 percent at constant rates in 2015  up from previous outlook of 40-50 percent growth,topStory
DEPO,Depomed Inc,20150729,Depomed rejects Horizon Pharma's latest bid ,Depomed Inc  rejected Horizon Pharma Plc's  latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,topStory
DEPO,Depomed Inc,20150729,UPDATE 1-Depomed rejects Horizon Pharma's latest bid ,July 29 Depomed Inc rejected Horizon Pharma Plc's latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,normal
DEPO,Depomed Inc,20150729,Depomed rejects Horizon Pharma's latest bid ,July 29 Depomed Inc rejected Horizon Pharma Plc's latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,normal
EQIX,Equinix Inc,20150729,Data center operator Equinix's revenue rises 10 percent ,U.S. data center operator Equinix Inc  reported a 10 percent rise in quarterly revenue  helped by strong demand.,topStory
EQIX,Equinix Inc,20150729,Data center operator Equinix's revenue rises 10 pct ,July 29 U.S. data center operator Equinix Inc  reported a 10 percent rise in quarterly revenue  helped by strong demand.,normal
ESRX,Express Scripts Holding Company,20150729,Express Scripts says costly new cholesterol drugs could 'wreak havoc' ,Express Scripts Holding Co  the largest pharmacy benefit manager in the United States  on Wednesday said the cost of potent  newly approved cholesterol drugs could "wreak financial havoc" among its clients.,topStory
ESRX,Express Scripts Holding Company,20150729,UPDATE 2-Express Scripts says costly new cholesterol drugs could 'wreak havoc' ,July 29 Express Scripts Holding Co  the largest pharmacy benefit manager in the United States  on Wednesday said the cost of potent  newly approved cholesterol drugs could "wreak financial havoc" among its clients.,normal
ESRX,Express Scripts Holding Company,20150729,Express Scripts says costly new cholesterol drugs could wreak havoc ,July 29 Express Scripts Holding Co  the largest pharmacy benefit manager in the United States  on Wednesday said the cost of potent new cholesterol drugs called PCSK9 inhibitors could "wreak financial havoc" among its clients.,normal
FB,Facebook Inc,20150729,US STOCKS-Wall St ends higher after Fed leaves investors unruffled ,* Facebook and Whole Foods fall after the bell following reports,topStory
GPRE,Green Plains Inc,20150729,Green Plains in talks to boost ethanol exports to Mexico ,NEW YORK Green Plains Inc is courting Mexican fuel buyers in a bid to boost ethanol exports to the country  the company said on Wednesday  as the U.S. industry continues its search for new outlets for growing output and large supplies.,topStory
GPRE,Green Plains Inc,20150729,UPDATE 1-Green Plains in talks to boost ethanol exports to Mexico ,NEW YORK  July 29 Green Plains Inc is courting Mexican fuel buyers in a bid to boost ethanol exports to the country  the company said on Wednesday  as the U.S. industry continues its search for new outlets for growing output and large supplies.,normal
GPRE,Green Plains Inc,20150729,Green Plains maintains U.S. ethanol export outlook of up to 1 bln gallons ,NEW YORK  July 29 Ethanol producer Green Plains Inc is maintaining its outlook for total U.S. ethanol exports at 800 million to 1 billion gallons this year  the Omaha company's chief said on Wednesday  citing strong demand year-to-date.,normal
HZNP,Horizon Pharma plc,20150729,Depomed rejects Horizon Pharma's latest bid ,Depomed Inc  rejected Horizon Pharma Plc's  latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,topStory
HZNP,Horizon Pharma plc,20150729,UPDATE 1-Depomed rejects Horizon Pharma's latest bid ,July 29 Depomed Inc rejected Horizon Pharma Plc's latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,normal
HZNP,Horizon Pharma plc,20150729,Depomed rejects Horizon Pharma's latest bid ,July 29 Depomed Inc rejected Horizon Pharma Plc's latest unsolicited bid  saying the offer is "inadequate" and undervalues the company.,normal
MSFT,Microsoft Corporation,20150729,A fresh Start: Microsoft's Windows 10 wins plaudits ,Microsoft Corp's  launch of its first new operating system in almost three years  designed to work across laptops  desktop and smartphones  won mostly positive reviews for its user-friendly and feature-packed interface. | Video ,topStory
MSFT,Microsoft Corporation,20150729,A fresh Start: Microsoft's Windows 10 wins plaudits ,Microsoft Corp's launch of its first new operating system in almost three years  designed to work across laptops  desktop and smartphones  won mostly positive reviews for its user-friendly and feature-packed interface. | Video ,normal
MSFT,Microsoft Corporation,20150729,UPDATE 2-A fresh Start: Microsoft's Windows 10 wins plaudits ,July 29 Microsoft Corp's launch of its first new operating system in almost three years  designed to work across laptops  desktop and smartphones  won mostly positive reviews for its user-friendly and feature-packed interface.,normal
MSFT,Microsoft Corporation,20150729,Microsoft launches much-awaited Windows 10 ,July 29 Microsoft Corp launched its much-awaited Windows 10 operating system at midnight on Wednesday.,normal
MSFT,Microsoft Corporation,20150729,Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING China's Alibaba Group Holding Ltd  said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,normal
MSFT,Microsoft Corporation,20150729,CORRECTED-Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING  July 29 China's Alibaba Group Holding Ltd said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,normal
MORN,Morningstar Inc,20150729,Janus' Gross says fund benefited from High Yield CDX short: CNBC ,NEW YORK Bill Gross of Janus Capital Group Inc said on Wednesday that shorting the High Yield CDX index has benefited his Janus Global Unconstrained Bond Fund in the past few months.,topStory
MYL,Mylan NV,20150729,EU clears acquisition of Perrigo by Mylan ,BRUSSELS  July 29 The European Commission said on Wednesday it had cleared generic drug maker Mylan's  planned takeover of Ireland-based Perrigo Co.,topStory
NFLX,Netflix Inc,20150729,Telecom Italia inks content deal with Netflix ,MILAN Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,topStory
NFLX,Netflix Inc,20150729,UPDATE 1-Telecom Italia inks deal with Netflix ,MILAN  July 29 Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,normal
NFLX,Netflix Inc,20150729,Telecom Italia inks content deal with Netflix ,MILAN  July 29 Telecom Italia will offer TV series and movies from Netflix to its clients after a deal the Italian phone group said would help spur demand for faster Internet in the euro zone's No. 3 economy.,normal
SFLY,Shutterfly Inc,20150729,Shutterfly quarterly revenue rises 15.5 percent ,Shutterfly Inc  reported a 15.5 percent rise in quarterly revenue as more customers used its personalized photo-based products and services.,topStory
SFLY,Shutterfly Inc,20150729,Shutterfly quarterly revenue rises 15.5 pct ,July 29 Shutterfly Inc reported a 15.5 percent rise in quarterly revenue as more customers used its personalized photo-based products and services.,normal
CG,The Carlyle Group LP,20150729,Carlyle's second-quarter earnings drop as energy funds suffer ,Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,topStory
CG,The Carlyle Group LP,20150729,UPDATE 1-Carlyle's second-quarter earnings drop as energy funds suffer ,July 29 Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,normal
CG,The Carlyle Group LP,20150729,Carlyle's second-quarter earnings drop as energy funds suffer ,July 29 Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,normal
TCGP,The Carlyle Group LP,20150729,Carlyle's second-quarter earnings drop as energy funds suffer ,Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,topStory
TCGP,The Carlyle Group LP,20150729,UPDATE 1-Carlyle's second-quarter earnings drop as energy funds suffer ,July 29 Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,normal
TCGP,The Carlyle Group LP,20150729,Carlyle's second-quarter earnings drop as energy funds suffer ,July 29 Private equity firm Carlyle Group LP  said on Wednesday its second-quarter earnings dropped 38 percent year-on-year as the value of its energy and hedge funds decreased  even as it generated more cash by cashing out on several of its assets.,normal
GT,The Goodyear Tire & Rubber Company,20150729,Tire maker Goodyear's profit beats on North America demand ,Goodyear Tire & Rubber Co   the largest U.S. tire maker by sales  reported a better-than-expected quarterly profit  helped by higher demand in North America and lower costs.,topStory
GT,The Goodyear Tire & Rubber Company,20150729,Tire maker Goodyear's revenue falls 10 pct on strong dollar ,July 29 Goodyear Tire & Rubber Co  the largest U.S. tire maker by sales  reported a 10 percent fall in quarterly revenue  hurt by a strong dollar.,normal
TRIP,TripAdvisor Inc,20150729,Yelp needs help  and buyout may be the answer ,Selling itself could be one of the few options left for Yelp Inc   which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc   TripAdvisor Inc  and GrubHub Inc .,topStory
TRIP,TripAdvisor Inc,20150729,Yelp needs help  and buyout may be the answer ,July 29 Selling itself could be one of the few options left for Yelp Inc  which is struggling to win advertising dollars in an increasingly crowded market that already includes Google Inc  TripAdvisor Inc  and GrubHub Inc.,normal
ZEAL,Zealand Pharma A/S,20150729,BRIEF-Zealand Pharma: Sanofi announces first LixiLan Phase III trial's primary study endpoint ,* Sanofi has announced that the first LixiLan Phase III trial  LixiLan-O  met primary study endpoint,topStory
AET,Aetna Inc,20150729,Humana says medical costs cut into second-quarter profit ,Health insurer Humana Inc   which earlier this month agreed to be bought by Aetna Inc  for $37 billion  on Wednesday reported a rise in a key medical cost metric that missed analyst expectations.,topStory
AET,Aetna Inc,20150729,UPDATE 2-Humana says medical costs cut into second-quarter profit ,July 29 Health insurer Humana Inc  which earlier this month agreed to be bought by Aetna Inc for $37 billion  on Wednesday reported a rise in a key medical cost metric that missed analyst expectations.,normal
BABA,Alibaba Group Holding Limited,20150729,Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING China's Alibaba Group Holding Ltd  said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,topStory
BABA,Alibaba Group Holding Limited,20150729,CORRECTED-Alibaba cloud unit sets sights on Amazon in $1 billion global push ,BEIJING  July 29 China's Alibaba Group Holding Ltd said on Wednesday it would invest $1 billion into its Aliyun cloud computing arm to challenge Amazon.com Inc's  lucrative Web Services division  opening a global front in the battle between the two e-commerce giants.,normal
AMOV,America Movil SAB de CV,20150729,KPN misses on falling business revenues  expects strong cash flow ,AMSTERDAM  July 29 Telecommunications company KPN missed analyst forecasts for its second-quarter on Wednesday as efficiency gains and improvements in the consumer segment failed to compensate for declining business revenue.,normal
AMX,America Movil SAB de CV,20150729,KPN misses on falling business revenues  expects strong cash flow ,AMSTERDAM  July 29 Telecommunications company KPN missed analyst forecasts for its second-quarter on Wednesday as efficiency gains and improvements in the consumer segment failed to compensate for declining business revenue.,normal
AEUA,Anadarko Petroleum Corporation,20150729,UPDATE 1-Anadarko not selling down Mozambique stake -CEO ,HOUSTON  July 29 Anadarko Petroleum Corp  has no interest in selling down its stake in a planned liquefied natural gas (LNG) project in Mozambique  the company's chief executive said on Wednesday  following talk of international interest in the southern African country's gas reserves.,topStory
AEUA,Anadarko Petroleum Corporation,20150729,Anadarko not interested in selling down Mozambique stake -CEO ,HOUSTON  July 29 Anadarko Petroleum Corp  has no interest in selling down its stake in its planned liquefied natural gas (LNG) project in Mozambique  the company's chief executive said on Wednesday.,normal
AEUA,Anadarko Petroleum Corporation,20150729,BRIEF-Anadarko ceo says current margins don't provide the kind of returns that would put company back in growth mode ,* CEO says interest in selling down its stake in Mozambique LNG project "approaches zero",normal
APC,Anadarko Petroleum Corporation,20150729,UPDATE 1-Anadarko not selling down Mozambique stake -CEO ,HOUSTON  July 29 Anadarko Petroleum Corp  has no interest in selling down its stake in a planned liquefied natural gas (LNG) project in Mozambique  the company's chief executive said on Wednesday  following talk of international interest in the southern African country's gas reserves.,topStory
APC,Anadarko Petroleum Corporation,20150729,Anadarko not interested in selling down Mozambique stake -CEO ,HOUSTON  July 29 Anadarko Petroleum Corp  has no interest in selling down its stake in its planned liquefied natural gas (LNG) project in Mozambique  the company's chief executive said on Wednesday.,normal
APC,Anadarko Petroleum Corporation,20150729,BRIEF-Anadarko ceo says current margins don't provide the kind of returns that would put company back in growth mode ,* CEO says interest in selling down its stake in Mozambique LNG project "approaches zero",normal
ANTM,Anthem Inc,20150729,Anthem profit beats as medical costs stay at low end of estimates ,Health insurer Anthem Inc   which plans to buy rival Cigna Corp  for $47 billion  on Wednesday said medical costs  particularly in its Medicaid and Medicare businesses  were at the low end of expectations and helped boost second-quarter profit.,topStory
ANTM,Anthem Inc,20150729,UPDATE 4-Anthem profit beats as medical costs stay at low end of estimates ,July 29 Health insurer Anthem Inc  which plans to buy rival Cigna Corp for $47 billion  on Wednesday said medical costs  particularly in its Medicaid and Medicare businesses  were at the low end of expectations and helped boost second-quarter profit.,normal
ANTM,Anthem Inc,20150729,Health insurer Anthem profit rises 17.5 percent ,July 29 Health insurer Anthem Inc  reported a 17.5 percent rise in quarterly earnings helped by strong performance in its commercial and government businesses.,normal
ANTX,Anthem Inc,20150729,Anthem profit beats as medical costs stay at low end of estimates ,Health insurer Anthem Inc   which plans to buy rival Cigna Corp  for $47 billion  on Wednesday said medical costs  particularly in its Medicaid and Medicare businesses  were at the low end of expectations and helped boost second-quarter profit.,topStory
ANTX,Anthem Inc,20150729,UPDATE 4-Anthem profit beats as medical costs stay at low end of estimates ,July 29 Health insurer Anthem Inc  which plans to buy rival Cigna Corp for $47 billion  on Wednesday said medical costs  particularly in its Medicaid and Medicare businesses  were at the low end of expectations and helped boost second-quarter profit.,normal
ANTX,Anthem Inc,20150729,Health insurer Anthem profit rises 17.5 percent ,July 29 Health insurer Anthem Inc  reported a 17.5 percent rise in quarterly earnings helped by strong performance in its commercial and government businesses.,normal
AXS,Axis Capital Holdings Limited,20150729,Exclusive: PartnerRe open to acquisition talks with Exor - sources ,PartnerRe Ltd   the reinsurance company that has a $6.6 billion merger agreement with Axis Capital Holdings   is now willing to negotiate a new deal with rival suitor Exor SpA   according to people familiar with the matter.,topStory
BAC,Bank of America Corporation,20150729,ON THE MOVE-Merrill Lynch hires two more advisers from Barclays ,July 29 Bank of America Corp's Merrill Lynch said it had hired two private wealth advisers from the recently sold U.S. wealth management unit of Barclays Plc .,topStory
BCS,Barclays PLC,20150729,Barclays makes cuts in Europe ABS team: source ,LONDON  July 29 (IFR) - Barclays has made significant cuts to its European ABS team due to disappointing activity in that market  a source familiar with the matter told IFR on Wednesday.,topStory
BCS,Barclays PLC,20150729,Barclays to speed up cost-cuts and asset sales ,LONDON Barclays'  new chairman sought to stamp his mark on the bank on Wednesday by accelerating the sale of assets and cost cutting after the group produced a 12 percent increase in second-quarter profits. | Video ,normal
BCS,Barclays PLC,20150729,ON THE MOVE-Merrill Lynch hires two more advisers from Barclays ,July 29 Bank of America Corp's Merrill Lynch said it had hired two private wealth advisers from the recently sold U.S. wealth management unit of Barclays Plc .,normal
BCS,Barclays PLC,20150729,Barclays applies for new licence to meet UK ring-fence rules ,LONDON  July 29 Barclays has applied for a new UK banking licence to comply with new rules requiring it to separate its domestic retail banking arm  highlighting the bigger task it faces in restructuring than its rivals.,normal
BCS,Barclays PLC,20150729,Barclays must cut bureaucracy  exit some countries  new boss says ,LONDON Barclays  needs to cut back in countries where it lacks scale or strength and must cut bureaucracy to deliver on plans to turn the British bank around  its new chairman said on Wednesday.,normal
BCS,Barclays PLC,20150729,Barclays says doesn't expect to raise capital externally ,LONDON Barclays  Finance Director Tushar Morzaria said he doesn't expect the bank to have to raise capital from shareholders after it reported second-quarter results that were ahead of expectations.,normal
BCS,Barclays PLC,20150729,UPDATE 3-Barclays to speed up cost-cuts and asset sales ,* Shares hit 18-month high  up 2 pct   (Writes through with comments from chairman  updates shares),normal
BCS,Barclays PLC,20150729,REFILE-Hikma and Barclays help Britain's FTSE to climb higher ,LONDON  July 29 Britain's top share index rose for a second straight session on Wednesday after recent sharp falls  with Hikma Pharmaceuticals leading the market higher on positive broker comments and Barclays gaining after saying it will speed up cost cuts.,normal
BCS,Barclays PLC,20150729,Barclays must cut bureaucracy  exit some countries  new boss says ,LONDON  July 29 Barclays needs to cut back in countries where it lacks scale or strength and must cut bureaucracy to deliver on plans to turn the British bank around  its new chairman said on Wednesday.,normal
BCS,Barclays PLC,20150729,MOVES-Barclays lays off heads of European ABS sales  trading and research - Bloomberg ,July 29 Barclays Plc is laying off the heads of its European asset-backed securities sales (ABS)  trading  and research units as the bank scales back its European ABS business in London  Bloomberg reported.,normal
BA,Boeing Company (The),20150729,Boeing's largest union calls McNerney job threat 'unacceptable' ,NEW YORK The president of Boeing Co's  largest union called "unacceptable" a threat by Boeing Chairman Jim McNerney to move jobs due to the uncertain future of the U.S. Export-Import Bank  a sign of discord between the plane maker and its labor force.,topStory
BA,Boeing Company (The),20150729,Boeing may move work abroad with Ex-Im future uncertain: chairman ,WASHINGTON Boeing Co  Chairman Jim McNerney on Wednesday said the aircraft maker was actively considering moving "key pieces" of its operations to other countries given the uncertainty of the future of the Export-Import Bank  whose charter expired on June 30.,normal
BA,Boeing Company (The),20150729,UPDATE 1-Boeing's largest union calls McNerney job threat 'unacceptable' ,NEW YORK  July 29 The president of Boeing Co's  largest union called "unacceptable" a threat by Boeing Chairman Jim McNerney to move jobs due to the uncertain future of the U.S. Export-Import Bank  a sign of discord between the plane maker and its labor force.,normal
BA,Boeing Company (The),20150729,Boeing's largest union calls McNerney job threat "unacceptable" ,NEW YORK  July 29 The president of Boeing Co's  largest union called "unacceptable" a threat by Boeing Chairman Jim McNerney to move jobs due to the uncertain future of the U.S. Export-Import Bank  a sign of discord between the plane maker and its labor force.,normal
BA,Boeing Company (The),20150729,UPDATE 3-Boeing may move work abroad with Ex-Im future uncertain -chairman ,WASHINGTON  July 29 Boeing Co Chairman Jim McNerney on Wednesday said the aircraft maker was actively considering moving "key pieces" of its operations to other countries given the uncertainty of the future of the Export-Import Bank  whose charter expired on June 30.,normal
BA,Boeing Company (The),20150729,Boeing says thinking of moving work overseas due to ExIm saga ,WASHINGTON  July 29 Boeing Co Chairman Jim McNerney on Wednesday said the company was actively considering moving "key pieces" of the company to other countries given the ongoing debate in the U.S. Congress over the future of the Export-Import Bank.,normal
BA,Boeing Company (The),20150729,India's SpiceJet in talks with Boeing  Airbus for $11 billion jet deal ,NEW DELHI Indian budget airline SpiceJet Ltd  is in talks with Boeing Co  and Airbus Group  to acquire about 100 new narrow-body jets  its chief financial officer said on Wednesday  in a deal that would be worth about $11 billion at list prices.,normal
BA,Boeing Company (The),20150729,SpiceJet in talks with Boeing  Airbus for $11 billion jet deal ,NEW DELHI Budget airline SpiceJet Ltd  is in talks with Boeing Co  and Airbus Group  to acquire about 100 new narrow-body jets  its chief financial officer said on Wednesday  in a deal that would be worth about $11 billion at list prices.,normal
BA,Boeing Company (The),20150729,UPDATE 1-India's SpiceJet in talks with Boeing  Airbus for $11 bln jet deal ,NEW DELHI  July 29 Indian budget airline SpiceJet Ltd is in talks with Boeing Co and Airbus Group to acquire about 100 new narrow-body jets  its chief financial officer said on Wednesday  in a deal that would be worth about $11 billion at list prices.,normal
BA,Boeing Company (The),20150729,India's SpiceJet in talks with Boeing  Airbus for $11 bln jet deal ,NEW DELHI  July 29 Indian budget airline SpiceJet Ltd is in talks with Boeing Co and Airbus Group to acquire about 100 new narrow-body jets  its chief financial officer said on Wednesday  in a deal worth about $11 billion at list prices.,normal
BRFS,BRF SA,20150729,Brazil's BRF says weaker real helping meat exports ,SAO PAULO  July 29 A weaker Brazilian currency has helped Brazil's meat exports recover their competitive position  Pedro Faria  CEO of BRF SA  the world's largest poultry exporter and a processed foods maker  said on Wednesday.,topStory
BTI,British American Tobacco plc,20150729,BAT sees 'plain packaging' challenge in Britain being heard in December ,LONDON British American Tobacco expects its legal challenge to the implementation of "plain packaging" of tobacco in Britain to be heard in court in December  with possible final resolution by the end of 2016  a senior executive said.,topStory
BTI,British American Tobacco plc,20150729,UPDATE 3-FTSE finishes higher  Hikma and GlaxoSmithKline boost ,LONDON  July 29 Britain's top share index advanced on Wednesday  with Hikma Pharmaceuticals leading the market higher on positive broker comments and GlaxoSmithKline gaining after reporting a lower-than-expected fall in quarterly earnings.,normal
BTI,British American Tobacco plc,20150729,FTSE extends gains  Hikma and GlaxoSmithKline support ,LONDON  July 29 Britain's top share index advanced on Wednesday  with Hikma Pharmaceuticals leading the market higher on positive broker comments and GlaxoSmithKline gaining after reporting a lower-than-expected fall in quarterly earnings.,normal
