VNET,21Vianet Group Inc,20150924,BRIEF-Unisplendour signs MOU with 21Vianet and Microsoft (China) on cloud computing in China ,* Says signs strategic MOU with 21Vianet Group Inc  and Microsoft (China) Co Ltd on cloud computing in China,topStory
ARWR,Arrowhead Pharmaceuticals Inc,20150924,Arrowhead's hep B data shows promise  shares jump ,Arrowhead Research Corp is one step closer to achieving a cure for hepatitis B infection  Chief Executive Christopher Anzalone said.,topStory
ARWR,Arrowhead Pharmaceuticals Inc,20150924,Arrowhead's hep B data shows promise  shares jump ,Sept 24 Arrowhead Research Corp is one step closer to achieving a cure for hepatitis B infection  Chief Executive Christopher Anzalone said.,normal
CSCO,Cisco Systems Inc,20150924,BRIEF-Technicolor receives approval to take over CPE Division from Cisco Systems - ACM ,* Technicolor is allowed to take over CPE Division from Cisco Systems  ACM decided Wednesday  Source text: http://bit.ly/1MrsxWG Further company coverage:    (Gdynia Newsroom),topStory
CSCO,Cisco Systems Inc,20150924,Cisco joins flurry of U.S.-China tech partnerships ,BEIJING Cisco Systems Inc  said Thursday it would form a joint-venture with Chinese server maker Inspur to sell networking and cloud computing products in China  where the Silicon Valley firm faces political pressure and declining sales.,normal
CSCO,Cisco Systems Inc,20150924,Cisco joins flurry of U.S.-China tech partnerships ,BEIJING  Sept 24 Cisco Systems Inc said Thursday it would form a joint-venture with Chinese server maker Inspur to sell networking and cloud computing products in China  where the Silicon Valley firm faces political pressure and declining sales.,normal
MRVL,Marvell Technology Group Ltd,20150924,Marvell Technologies to cut jobs in mobile business ,Chipmaker Marvell Technology Group Ltd said it would cut about 17 percent of its global workforce as the company trims its mobile business.,topStory
MRVL,Marvell Technology Group Ltd,20150924,UPDATE 1-Marvell Technologies to cut jobs in mobile business ,Sept 24 Chipmaker Marvell Technology Group Ltd  said it would cut about 17 percent of its global workforce as the company trims its mobile business.,normal
MRVL,Marvell Technology Group Ltd,20150924,Marvell Technologies to cut jobs in mobile business ,Sept 24 Chipmaker Marvell Technology Group Ltd  said it would cut jobs in its mobile platform business  resulting in a 17 percent reduction in its global workforce.,normal
RIGL,Rigel Pharmaceuticals Inc,20150924,Rigel Pharma sues Novartis over cancer drug Zykadia ,Drug development company Rigel Pharmaceuticals Inc filed a lawsuit on Wednesday against Novartis AG  accusing the pharmaceutical giant of infringing on Rigel patents to make the cancer drug Zykadia.,topStory
RYAAY,Ryanair Holdings plc,20150924,UPDATE 1-Ryanair to distribute Aer Lingus sale proceeds to shareholders ,DUBLIN  Sept 24 Ryanair is to distribute the 398 million euros ($445 million) it earned from the sale of its 30 percent stake in Aer Lingus to shareholders before the end of the year  the airline said on Thursday.,topStory
TSLA,Tesla Inc ,20150924,Germany needs incentives for electric vehicles  says Economy Minister ,BERLIN Germany needs incentives to promote sales of electric vehicles  Economy Minister Sigmar Gabriel said on Thursday after meeting the head of U.S. electric car pioneer Tesla Motors Inc.,topStory
TSLA,Tesla Inc ,20150924,Germany needs incentives for electric vehicles  says Econ Minister ,BERLIN  Sept 24 Germany needs incentives to promote sales of electric vehicles   Economy Minister Sigmar Gabriel said on Thursday after meeting the head of U.S. electric car pioneer Tesla Motors Inc.,normal
AJRD,Aerojet Rocketdyne Holdings Inc ,20150924,Aerojet to pay Orbital $50 million over Antares rocket accident ,Aerojet Rocketdyne Holdings Inc will pay Orbital ATK $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,topStory
AJRD,Aerojet Rocketdyne Holdings Inc ,20150924,Aerojet to pay Orbital $50 million over Antares rocket accident ,CAPE CANAVERAL  Fla. Sept 24 Aerojet Rocketdyne Holdings Inc will pay Orbital ATK $50 million to settle a dispute stemming from an Antares rocket launch accident last year that destroyed a load of cargo bound for the International Space Station  Aerojet said on Thursday.,normal
BAC,Bank of America Corporation,20150924,MOVES-BofA Merrill Lynch names ex-UBS banker Yang head of greater China equities-memo ,HONG KONG  Sept 24 Bank of America Merrill Lynch has named Yang Xia as head of greater China equities  according to an internal memo seen by Reuters on Thursday.,topStory
BKS,Barnes & Noble Inc,20150924,SEC charges NY firm over misleading Barnes & Noble offer ,A little-known New York City investment firm and its owner were charged with fraud on Thursday by the Securities and Exchange Commission for issuing a misleading press release announcing their offer to buy 51 percent of Barnes & Noble Inc .,topStory
BKS,Barnes & Noble Inc,20150924,SEC charges NY firm over misleading Barnes & Noble offer ,NEW YORK A little-known New York City investment firm and its owner were charged with fraud on Thursday by the U.S. Securities and Exchange Commission for issuing a misleading press release announcing their offer to buy 51 percent of Barnes & Noble Inc.,normal
BKS,Barnes & Noble Inc,20150924,SEC charges NY firm over misleading Barnes & Noble offer ,NEW YORK  Sept 24 A little-known New York City investment firm and its owner were charged with fraud on Thursday by the U.S. Securities and Exchange Commission for issuing a misleading press release announcing their offer to buy 51 percent of Barnes & Noble Inc.,normal
ABX,Barrick Gold Corporation,20150924,Argentine judge lifts order against Barrick Gold's Veladero mine ,BUENOS AIRES  Sept 24 An Argentine judge on Thursday lifted his order forbidding Barrick Gold Corp's  from pumping cyanide solution for the leaching process in its Veladero mine  saying a leak had not contaminated water in the surrounding area.,topStory
BBX,BBX Capital Corporation,20150924,SEC wins big fines in BankAtlantic case  appeal expected ,A federal judge ordered BBX Capital Corp  a Florida company once known as BankAtlantic Bancorp  and Chief Executive Alan Levan to pay $4.55 million and $1.3 million of fines respectively after being found liable for defrauding investors before the financial crisis.,topStory
BBX,BBX Capital Corporation,20150924,UPDATE 1-SEC wins big fines in BankAtlantic case  appeal expected ,Sept 24 A federal judge ordered BBX Capital Corp  a Florida company once known as BankAtlantic Bancorp  and Chief Executive Alan Levan to pay $4.55 million and $1.3 million of fines respectively after being found liable for defrauding investors before the financial crisis.,normal
BBX,BBX Capital Corporation,20150924,SEC wins big fines in BankAtlantic case  appeal expected ,A federal judge ordered BBX Capital Corp  a Florida company once known as BankAtlantic Bancorp  and Chief Executive Alan Levan to pay $4.55 million and $1.3 million of fines respectively after being found liable for defrauding investors before the financial crisis.,normal
BBX,BBX Capital Corporation,20150924,SEC wins big fines in BankAtlantic case  appeal expected ,Sept 24 A federal judge ordered BBX Capital Corp  a Florida company once known as BankAtlantic Bancorp  and Chief Executive Alan Levan to pay $4.55 million and $1.3 million of fines respectively after being found liable for defrauding investors before the financial crisis.,normal
BA,Boeing Company (The),20150924,Boeing chairman believes U.S. Export-Import Bank will be reauthorized ,NEW YORK Boeing Co  chairman Jim McNerney said on Thursday he believes the U.S. Export-Import Bank  which recently lost authorization to engage in new business  will be reauthorized.,topStory
BA,Boeing Company (The),20150924,UPDATE 1-Boeing chairman believes U.S. Export-Import Bank will be reauthorized ,NEW YORK  Sept 24 Boeing Co chairman Jim McNerney said on Thursday he believes the U.S. Export-Import Bank  which recently lost authorization to engage in new business  will be reauthorized.,normal
BA,Boeing Company (The),20150924,Boeing chairman believes U.S. Export-Import Bank will be reauthorized ,Sept 24 Boeing Co chairman Jim McNerney said on Thursday he believes the U.S. Export-Import Bank  which recently lost authorization to engage in new business  will be reauthorized.,normal
BP,BP plc,20150924,BP shuts 75 000 bpd CDU for planned work at Indiana refinery: IIR ,NEW YORK BP PLC shut down a 75 000 barrel-per-day crude unit at its 413 000 bpd refinery in Whiting  Indiana on Thursday for up to 25 days of planned work  according to a report by IIR Energy.,topStory
BP,BP plc,20150924,RPT-VW stock shock recalls BP debacle as "investor nightmare" ,LONDON  Sept 23 Volkswagen's  battered shares pose the same risks for traders as BP's  oil spill in 2010  which also threw up tempting trading opportunities but burnt investors who got their bets wrong.,normal
BVN,Buenaventura Mining Company Inc,20150924,UPDATE 2-Peru miners push for bargains with contractors to weather slumping prices ,* Miners pushing for bargains from contract  supply companies,topStory
BVN,Buenaventura Mining Company Inc,20150924,Buenaventura sees 2015 silver output at 23 mln ounces ,LIMA  Sept 23 Buenaventura   will likely produce 23 million ounces of silver this year  500 000 less than previously expected because of a month-long strike at its Uchucchacua mine in May  the company said Wednesday.   (Reporting by Mitra Taj and Teresa Cespedes; Editing by Lisa Shumaker),normal
CAT,Caterpillar Inc,20150924,Wall Street ends lower as Caterpillar  health stocks weigh ,U.S. stocks closed lower on Thursday in a volatile session on uncertainty about U.S. monetary policy and global economic growth  while market heavyweight Caterpillar cut its sales forecast and healthcare investors fled for the exits. | Video ,topStory
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St ends lower as Caterpillar  health stocks weigh ,* Health stocks see 5th day of losses  biotech index falls 2 pct,normal
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St ends lower as Caterpillar  health stocks weigh ,* Health stocks see 5th day of losses  biotech index falls 2 pct,normal
CAT,Caterpillar Inc,20150924,Caterpillar slashes revenue forecast  cutting up to 10 000 jobs ,Caterpillar Inc  slashed its 2015 revenue forecast on Thursday and said it will cut as many as 10 000 jobs through 2018  joining a list of big U.S. industrial companies grappling with the mining and energy downturn. | Video ,normal
CAT,Caterpillar Inc,20150924,US STOCKS SNAPSHOT-Wall St declines as Caterpillar drags ,NEW YORK  Sept 24 U.S. stocks closed lower on Thursday in a volatile session on uncertainty about U.S. monetary policy and global economic growth after market heavyweight Caterpillar cut its sales forecast and healthcare investors fled for the exits.,normal
CAT,Caterpillar Inc,20150924,UPDATE 4-Caterpillar slashes revenue forecast  cutting up to 10 000 jobs ,Sept 24 Caterpillar Inc slashed its 2015 revenue forecast on Thursday and said it will cut as many as 10 000 jobs through 2018  joining a list of big U.S. industrial companies grappling with the mining and energy downturn.,normal
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St falls as Caterpillar  health stocks weigh ,* Indexes down: Dow 0.64 pct  S&P 0.54 pct; Nasdaq 0.72 pct   (Updates to late afternoon  adds commentary),normal
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St falls as Caterpillar  health stocks weigh ,* Indexes down: Dow 1.1 pct  S&P 1 pct  Nasdaq 1.1 pct   (Updates to early afternoon),normal
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St falls sharply as Caterpillar weighs ,* Indexes down: Dow 1.5 pct  S&P 1.3 pct  Nasdaq 1.5 pct   (Adds details  changes comment  updates prices),normal
CAT,Caterpillar Inc,20150924,US STOCKS-Wall St opens sharply lower as Caterpillar weighs ,* Jobless claims  August durable orders in line with estimates,normal
C,Citigroup Inc,20150924,EM inflows lowest since late 1990s  hitting world growth: Citi ,LONDON Emerging market capital inflows are the lowest since the late 1990s and foreign exchange reserve growth is the slowest in over 20 years  according to research from U.S. bank Citi.,topStory
C,Citigroup Inc,20150924,EM inflows lowest since late 1990s  hitting world growth -Citi ,LONDON  Sept 24 Emerging market capital inflows are the lowest since the late 1990s and foreign exchange reserve growth is the slowest in over 20 years  according to research from U.S. bank Citi.,normal
KO,Coca-Cola Company (The),20150924,Coca-Cola to sell nine U.S. bottling plants  set up new supply system ,NEW YORK Coca-Cola Co  said on Thursday it plans to sell nine production facilities to three of its largest independent bottlers as it seeks to unload low-margin assets and reduce manufacturing costs in the United States.,topStory
KO,Coca-Cola Company (The),20150924,UPDATE 2-Coca-Cola to sell nine U.S. bottling plants  set up new supply system ,NEW YORK  Sept 24 Coca-Cola Co said on Thursday it plans to sell nine production facilities to three of its largest independent bottlers as it seeks to unload low-margin assets and reduce manufacturing costs in the United States.,normal
KO,Coca-Cola Company (The),20150924,Coca-Cola considers selling nine bottling plants ,Sept 24 Coca-Cola Co said its Coca-Cola Refreshments bottling unit was considering selling nine of its production facilities to three independent bottlers to reduce costs.,normal
DB,Deutsche Bank AG,20150924,Deutsche Bank must face $190 mln US tax fraud case ,NEW YORK Deutsche Bank AG must face a U.S. government lawsuit seeking to recoup more than $190 million over an alleged tax fraud 15 years ago  after a federal judge on Thursday turned down the German's bank's request to dismiss the case.,topStory
DB,Deutsche Bank AG,20150924,Deutsche Bank must face $190 mln US tax fraud case ,NEW YORK Deutsche Bank AG  must face a U.S. government lawsuit seeking to recoup more than $190 million over an alleged tax fraud 15 years ago  after a federal judge on Thursday turned down the German's bank's request to dismiss the case.,normal
DB,Deutsche Bank AG,20150924,UPDATE 2-Deutsche Bank must face $190 mln US tax fraud case ,NEW YORK  Sept 24 Deutsche Bank AG  must face a U.S. government lawsuit seeking to recoup more than $190 million over an alleged tax fraud 15 years ago  after a federal judge on Thursday turned down the German's bank's request to dismiss the case.,normal
DB,Deutsche Bank AG,20150924,Deutsche Bank must face $190 mln US tax fraud case ,NEW YORK  Sept 24 Deutsche Bank AG  was ordered on Thursday to face a U.S. government lawsuit seeking to recoup more than $190 million from the German bank over alleged tax fraud 15 years ago.,normal
DB,Deutsche Bank AG,20150924,MOVES-Deutsche  Colony American Finance  HSBC  BofA Merrill Lynch ,Sept 24 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
DB,Deutsche Bank AG,20150924,MOVES-Celeste Guth to join Deutsche Bank's Financial Institutions Group ,Sept 24 Deutsche Bank AG said Celeste Guth would join as managing director and co-head of its global Financial Institutions Group (FIG).,normal
GEH,General Electric Capital Corporation,20150924,GE agrees to export financing from UK  may create 1 000 jobs ,General Electric Co  has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,topStory
GEH,General Electric Capital Corporation,20150924,UPDATE 4-GE agrees to export financing from UK  may create 1 000 jobs ,Sept 24 General Electric Co has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,normal
GEH,General Electric Capital Corporation,20150924,GE to get up to $12 billion in export financing from Britain ,Sept 24 General Electric Co said it had reached an agreement with Britain's export credit agency to access export financing of up to $12 billion  allowing the company to create up to 1 000 jobs in the energy sector.,normal
GEK,General Electric Capital Corporation,20150924,GE agrees to export financing from UK  may create 1 000 jobs ,General Electric Co  has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,topStory
GEK,General Electric Capital Corporation,20150924,UPDATE 4-GE agrees to export financing from UK  may create 1 000 jobs ,Sept 24 General Electric Co has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,normal
GEK,General Electric Capital Corporation,20150924,GE to get up to $12 billion in export financing from Britain ,Sept 24 General Electric Co said it had reached an agreement with Britain's export credit agency to access export financing of up to $12 billion  allowing the company to create up to 1 000 jobs in the energy sector.,normal
GE,General Electric Company,20150924,GE agrees to export financing from UK  may create 1 000 jobs ,General Electric Co  has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,topStory
GE,General Electric Company,20150924,UPDATE 4-GE agrees to export financing from UK  may create 1 000 jobs ,Sept 24 General Electric Co has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,normal
GE,General Electric Company,20150924,GE to get up to $12 billion in export financing from Britain ,Sept 24 General Electric Co said it had reached an agreement with Britain's export credit agency to access export financing of up to $12 billion  allowing the company to create up to 1 000 jobs in the energy sector.,normal
GEB,General Electric Company,20150924,GE agrees to export financing from UK  may create 1 000 jobs ,General Electric Co  has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,topStory
GEB,General Electric Company,20150924,UPDATE 4-GE agrees to export financing from UK  may create 1 000 jobs ,Sept 24 General Electric Co has struck a deal for up to $12 billion in financing from Britain's export credit agency  possibly creating as many as 1 000 jobs in the country.,normal
GEB,General Electric Company,20150924,GE to get up to $12 billion in export financing from Britain ,Sept 24 General Electric Co said it had reached an agreement with Britain's export credit agency to access export financing of up to $12 billion  allowing the company to create up to 1 000 jobs in the energy sector.,normal
GGB,Gerdau SA,20150924,Itau BBA's Iunes to take seat on Gerdau board ,SAO PAULO  Sept 24 Fernando Iunes  managing director at investment bank Itau BBA  has taken a seat on the board of Gerdau SA  the Brazilian steelmaker said in a statement on Thursday.,topStory
GSK,GlaxoSmithKline PLC,20150924,GlaxoSmithKline defeats Wellbutrin pay-for-delay lawsuit ,Drugmaker GlaxoSmithKline has won summary judgment in an antitrust class action accusing it of colluding with generic rivals to delay off-brand versions of its Wellbutrin XL antidepressant.,topStory
GSK,GlaxoSmithKline PLC,20150924,EU regulator backs approval for GSK injectable asthma drug ,GlaxoSmithKline Plc said the European health regulator had recommended an approval for its injectable drug to treat asthma patients who don't respond well to traditional inhalers.,normal
GSK,GlaxoSmithKline PLC,20150924,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug ,Sept 24 GlaxoSmithKline Plc  said the European health regulator had recommended an approval for its injectable drug to treat asthma patients who don't respond well to traditional inhalers.,normal
GSK,GlaxoSmithKline PLC,20150924,European regulator recommends approving GSK injectable asthma drug ,GlaxoSmithKline Plc said the European health regulator had recommended approving its injectable drug to treat asthma patients who don't respond well to traditional inhalers.,normal
GSK,GlaxoSmithKline PLC,20150924,European regulator recommends approving GSK injectable asthma drug ,Sept 24 GlaxoSmithKline Plc  said the European health regulator had recommended approving its injectable drug to treat asthma patients who don't respond well to traditional inhalers.,normal
GSK,GlaxoSmithKline PLC,20150924,BRIEF-GSK gets European regulators approval for biotech asthma drug ,* Receives positive CHMP opinion in Europe for novel anti-IL5 biological nucala for treatment of patients with severe refractory eosinophilic asthma,normal
GSK,GlaxoSmithKline PLC,20150924,BRIEF-GSK and Theravance to file Relvar Ellipta for COPD in Japan ,* This decision follows results from an additional global phase 3 efficacy and safety study.,normal
HSBC,HSBC Holdings plc,20150924,CORRECTED-RPT-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,topStory
HSBC,HSBC Holdings plc,20150924,CORRECTED-UPDATE 1-China allows HSBC  Bank of China (HK) to issue yuan bonds onshore ,BEIJING  Sept 22 HSBC Holdings plc   and Bank of China (Hong Kong) Ltd became the first offshore commercial banks on Tuesday to get approval from China's central bank to issue yuan-denominated bonds in China's $6 trillion domestic interbank bond market.,normal
HSBC,HSBC Holdings plc,20150924,CORRECTED-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,normal
HSBC,HSBC Holdings plc,20150924,UPDATE: BOCHK  HSBC line up Rmb1bn 3-yr Panda bonds ,HONG KONG  Sept 24 (IFR) - Bank of China (Hong Kong) and HSBC are each planning to issue Rmb1bn (US$156.7m) of 3-year bonds in China's interbank market next week  opening up the so-called Panda bond market to overseas lenders.,normal
HSEA,HSBC Holdings plc,20150924,CORRECTED-RPT-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,topStory
HSEA,HSBC Holdings plc,20150924,CORRECTED-UPDATE 1-China allows HSBC  Bank of China (HK) to issue yuan bonds onshore ,BEIJING  Sept 22 HSBC Holdings plc   and Bank of China (Hong Kong) Ltd became the first offshore commercial banks on Tuesday to get approval from China's central bank to issue yuan-denominated bonds in China's $6 trillion domestic interbank bond market.,normal
HSEA,HSBC Holdings plc,20150924,CORRECTED-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,normal
HSEA,HSBC Holdings plc,20150924,UPDATE: BOCHK  HSBC line up Rmb1bn 3-yr Panda bonds ,HONG KONG  Sept 24 (IFR) - Bank of China (Hong Kong) and HSBC are each planning to issue Rmb1bn (US$156.7m) of 3-year bonds in China's interbank market next week  opening up the so-called Panda bond market to overseas lenders.,normal
HSEB,HSBC Holdings plc,20150924,CORRECTED-RPT-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,topStory
HSEB,HSBC Holdings plc,20150924,CORRECTED-UPDATE 1-China allows HSBC  Bank of China (HK) to issue yuan bonds onshore ,BEIJING  Sept 22 HSBC Holdings plc   and Bank of China (Hong Kong) Ltd became the first offshore commercial banks on Tuesday to get approval from China's central bank to issue yuan-denominated bonds in China's $6 trillion domestic interbank bond market.,normal
HSEB,HSBC Holdings plc,20150924,CORRECTED-HSBC  Bank of China (HK) given permission to issue bonds in China's interbank market ,BEIJING  Sept 22 China's central bank will allow HSBC Holdings plc and Bank of China (Hong Kong) Ltd to issue yuan-denominated bonds in China's interbank market  it said in a statement on Tuesday  the first time offshore commercial banks have been permitted to issue local-currency debt in the domestic market.,normal
HSEB,HSBC Holdings plc,20150924,UPDATE: BOCHK  HSBC line up Rmb1bn 3-yr Panda bonds ,HONG KONG  Sept 24 (IFR) - Bank of China (Hong Kong) and HSBC are each planning to issue Rmb1bn (US$156.7m) of 3-year bonds in China's interbank market next week  opening up the so-called Panda bond market to overseas lenders.,normal
KIM,Kimco Realty Corporation,20150924,RioCan to buy 22 properties from Kimco; ends joint venture ,Sept 24 Canada's RioCan Real Estate Investment Trust will end a joint venture with Kimco Realty Corp  and buy its stake in 22 Canadian properties for C$715 million ($533.66 million).,topStory
KMI,Kinder Morgan Inc,20150924,Canadian regulators delay review of Trans Mountain pipeline ,CALGARY  Alberta  Sept 24 Canada's National Energy Board said on Thursday it has delayed the release of its recommendation report on Kinder Morgan Inc's Trans Mountain pipeline expansion by five months to acquire additional information on the project.,topStory
KFY,Korn/Ferry International,20150924,Korn Ferry purchase of Hay to nearly double its reach: CEO ,Korn Ferry's agreement to buy Hay Group for around $452 million in cash and stock nearly doubles the size of its employee base and puts the combined recruiting company into more than 50 countries  its CEO said on Thursday.,topStory
KFY,Korn/Ferry International,20150924,Korn Ferry purchase of Hay to nearly double its reach - CEO ,Sept 24 Korn Ferry's agreement to buy Hay Group for around $452 million in cash and stock nearly doubles the size of its employee base and puts the combined recruiting company into more than 50 countries  its CEO said on Thursday.,normal
LMT,Lockheed Martin Corporation,20150924,Lockheed says U.S. approves its $9 billion takeover of Sikorsky ,WASHINGTON Lockheed Martin Corp said on Thursday that U.S. officials have approved its $9 billion takeover of Black Hawk helicopter maker Sikorsky Aircraft from United Technologies Corp.,topStory
LMT,Lockheed Martin Corporation,20150924,UPDATE 1-Lockheed says U.S. approves its $9 bln takeover of Sikorsky ,WASHINGTON  Sept 24 Lockheed Martin Corp  said on Thursday that U.S. officials have approved its $9 billion takeover of Black Hawk helicopter maker Sikorsky Aircraft from United Technologies Corp.,normal
LMT,Lockheed Martin Corporation,20150924,EU mergers and takeovers (Sept 24) ,BRUSSELS  Sept 24 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
MGA,Magna International Inc,20150924,CANADA STOCKS-TSX slides as Magna  global growth worries cast pall ,TORONTO  Sept 24 Canada's main stock index fell 1 percent on Thursday  extending its losses for a third straight session and tracking foreign markets increasingly nervous about global growth.,topStory
MLM,Martin Marietta Materials Inc,20150924,UPDATE 1-Lockheed says U.S. approves its $9 bln takeover of Sikorsky ,WASHINGTON  Sept 24 Lockheed Martin Corp  said on Thursday that U.S. officials have approved its $9 billion takeover of Black Hawk helicopter maker Sikorsky Aircraft from United Technologies Corp.,normal
MCD,McDonald&#39;s Corporation,20150924,McDonald's hires White House  Kraft alums ,LOS ANGELES McDonald's Corp  is beefing up its ranks with political and food company alumni as it works to turn around lackluster sales and recreate the fast-food chain as a "modern  progressive burger company.",topStory
MCD,McDonald&#39;s Corporation,20150924,McDonald's hires White House  Kraft alums ,LOS ANGELES  Sept 24 McDonald's Corp is beefing up its ranks with political and food company alumni as it works to turn around lackluster sales and recreate the fast-food chain as a "modern  progressive burger company.",normal
MFGP,Micro Focus Intl PLC,20150924,BRIEF-Micro Focus Intl says trading in line with expectations ,* Trading in current financial year to date has been consistent with previous management guidance  Source text for Eikon:  Further company coverage:    (Reporting By London Bureau),topStory
MON,Monsanto Company,20150924,Exclusive: Pivoting after failed Syngenta bid  Monsanto to build big data business ,CHICAGO/KANSAS CITY With its shares trading at three-year-lows since it abandoned a $46 billion bid to buy Syngenta AG  last month  Monsanto Co plans to offer its shareholders a new corporate vision: a future in big data.,topStory
