AMZN,Amazoncom Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
ODP,Office Depot Inc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,normal
ODP,Office Depot Inc,20150204,UPDATE 4-Staples agrees to buy Office Depot  FTC approval seen likely ,* Deal aimed at competing better with online and big box rivals,normal
ODP,Office Depot Inc,20150204,Breakingviews: Staples-Office Depot can pass antitrust checkout ,NEW YORK (Reuters Breakingviews) - Staples' $6.3 billion takeover of Office Depot could slide through the antitrust checkout line. Crunching together the two largest U.S. office supply chains is a financial winner: the value of the synergies alone almost pays for the entire deal. And though trustbusters may squawk  even they acknowledge that  with internet and big box stores thriving  the competitive landscape has changed.,normal
ODP,Office Depot Inc,20150204,Staples to buy Office Depot for $6.3 bln ,Feb 4 Staples Inc  the No. 1 U.S. office supplier  said it would buy its nearest rival Office Depot Inc in a $6.3 billion cash-and-stock deal.,normal
OXFD,Oxford Immunotec Global PLC,20150204,BRIEF-Oxford Immunotec Global closes underwritten offering of 4.9 mln shrs ,JOHANNESBURG  Feb 4 Oxford Immunotec Global PLC  :  * Closes underwritten offering of 4.9 million shares at a price of $11.75 per,topStory
RYAAY,Ryanair Holdings plc,20150204,UPDATE 2-Wizz Air resurrects London share listing plan ,* Offer to complete in first quarter   (Adds management comment  analyst comment),topStory
SBUX,Starbucks Corporation,20150204,Starbucks' U.S. shops turn to coconuts as non-dairy demand soars ,Starbucks Corp  said on Wednesday that its 12 123 U.S. shops would begin offering coconut milk on Feb. 17  as it seeks to keep pace with soaring demand for non-dairy and non-soy milk alternatives.,topStory
SBUX,Starbucks Corporation,20150204,Starbucks' U.S. shops turn to coconuts as non-dairy demand soars ,Feb 4 Starbucks Corp said on Wednesday that its 12 123 U.S. shops would begin offering coconut milk on Feb. 17  as it seeks to keep pace with soaring demand for non-dairy and non-soy milk alternatives.,normal
SBUX,Starbucks Corporation,20150204,Delta Air Lines expands partnership with Starbucks ,Delta Air Lines will serve Starbucks brand coffee on all of its flights  growing its existing partnership with the world's biggest coffee chain  the companies plan to announce on Wednesday.,normal
SBUX,Starbucks Corporation,20150204,Delta Air Lines expands partnership with Starbucks ,Feb 3 Delta Air Lines will serve Starbucks brand coffee on all of its flights  growing its existing partnership with the world's biggest coffee chain  the companies plan to announce on Wednesday.,normal
SNCR,Synchronoss Technologies Inc,20150204,BRIEF-F-Secure to sell personal cloud business operations to Synchronoss ,* F-Secure Corporation to sell its personal cloud business operations to Synchronoss Technologies to strengthen its focus on security,topStory
TTWO,Take-Two Interactive Software Inc,20150204,UPDATE 3-'Grand Theft Auto' publisher Take-Two ups full-year profit forecast ,Feb 3 Take-Two Interactive Software Inc   the publisher of video games such as "Grand Theft Auto"  said it expects a slate of unreleased games to drive sales and raised its revenue and profit forecast for the full year.,topStory
TTWO,Take-Two Interactive Software Inc,20150204,CORRECTED-UPDATE 2-'Grand Theft Auto' publisher Take-Two ups full-year profit forecast ,Feb 3 Take-Two Interactive Software Inc   the publisher of video games such as "Grand Theft Auto"  said it expects a slate of unreleased games to drive sales and raised its revenue and profit forecast for the full year.,normal
FOX,Twenty-First Century Fox Inc,20150204,Cable business  films help Fox beat estimates ,Twenty-First Century Fox Inc's quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,topStory
FOX,Twenty-First Century Fox Inc,20150204,UPDATE 1-Cable business  films help Fox beat estimates ,Feb 4 Twenty-First Century Fox Inc's  quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,normal
FOX,Twenty-First Century Fox Inc,20150204,Saudi's Kingdom Holding sells 5.6 percent stake in News Corp ,DUBAI Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  sold most of its stake in media giant News Corp  as part of a portfolio review  it said on Wednesday.,normal
FOXA,Twenty-First Century Fox Inc,20150204,Cable business  films help Fox beat estimates ,Twenty-First Century Fox Inc's quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,topStory
FOXA,Twenty-First Century Fox Inc,20150204,UPDATE 1-Cable business  films help Fox beat estimates ,Feb 4 Twenty-First Century Fox Inc's  quarterly profit beat analysts' estimates  helped by higher affiliate and advertising revenue in its cable business and the box-office success of "The Maze Runner" and "Gone Girl".,normal
FOXA,Twenty-First Century Fox Inc,20150204,Saudi's Kingdom Holding sells 5.6 percent stake in News Corp ,DUBAI Saudi Arabia's Kingdom Holding   the investment firm owned by billionaire Prince Alwaleed bin Talal  sold most of its stake in media giant News Corp  as part of a portfolio review  it said on Wednesday.,normal
AET,Aetna Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,topStory
AET,Aetna Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,normal
AET,Aetna Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Feb 3 Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,normal
BABA,Alibaba Group Holding Limited,20150204,Yahoo to spin off Small Business unit with Alibaba stake ,Yahoo has decided to spin off its Small Business unit as part of the spinoff of its stake in Alibaba Group Holding Ltd.,topStory
BABA,Alibaba Group Holding Limited,20150204,Yahoo to spin off Small Business unit with Alibaba stake ,Feb 3 Yahoo has decided to spin off its Small Business unit as part of the spinoff of its stake in Alibaba Group Holding Ltd.,normal
ALL,Allstate Corporation (The),20150204,Allstate profit falls 1.9 percent ,Allstate Corp   the largest publicly traded home and auto insurer in the United States  reported a 1.9 percent fall in quarterly profit as it paid out more in claims.,topStory
ALL,Allstate Corporation (The),20150204,Allstate profit falls 1.9 pct ,Feb 4 Allstate Corp  the largest publicly traded home and auto insurer in the United States  reported a 1.9 percent fall in quarterly profit as it paid out more in claims.,normal
AMC,AMC Entertainment Holdings Inc,20150204,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from Feb 4  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> C,topStory
APO,Apollo Global Management LLC,20150204,Exclusive: Apollo explores sale or IPO of Great Wolf Resorts - sources ,Private equity firm Apollo Global Management LLC  is exploring a sale or initial public offering of Great Wolf Resorts Inc  the largest U.S. operator of indoor water parks  according to people familiar with the matter.,topStory
APO,Apollo Global Management LLC,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,normal
APO,Apollo Global Management LLC,20150204,Exclusive: Apollo in the lead to acquire Protection 1 - sources ,Private equity firm Apollo Global Management LLC  is in advanced talks to acquire Protection 1 in a deal that could value the U.S. home security company at close to $1.5 billion  including debt  according to people familiar with the matter.,normal
ADM,Archer-Daniels-Midland Company,20150204,ADM-Glencore grain port venture to shuffle Brazil grain flows ,CHICAGO Plans by commodities trading rivals Archer Daniels Midland Co and Glencore PLC to jointly develop an export terminal in northern Brazil promise to shift grain flows both within South America's largest producer and to Asian importers.,topStory
AZN,Astrazeneca PLC,20150204,BRIEF-Astrazeneca gets nod to build global R&D  HQ facility in Cambridge ,* Astrazeneca receives planning consent for new global research and development centre and corporate headquarters in cambridge  uk,topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,UPDATE 3-BBVA plots China sale as it bets on Spanish rebound ,* Shares rise 2.6 percent  lead sector gains   (Recasts to include sale of CITIC stake),topStory
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,BRIEF-BBVA sees "fully-loaded" capital stable at 10 pct by year-end ,* CFO says BBVA's expected core capital ratio to be around 10 percent at end-2105 under Basel III fully-loaded criteria,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,Spain outpaces European shares as BBVA  data fuel recovery bet ,LONDON  Feb 4 Spanish stocks outperformed flat-to-lower European indexes on Wednesday as results from bank BBVA and service sector data underpinned recovery expectations for the indebted country.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,LVMH  BBVA help European shares steady after strong figures ,LONDON  Feb 4 European shares were steady on Wednesday  boosted by strong figures by luxury goods group LVMH  and Spanish bank BBVA  among others.,normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,BRIEF-Shares in Spain's BBVA open up 1.9 percent after Q4 earnings ,* Shares rise 1.9 percent after Q4 earnings at market open  Source text for Eikon:  Further company coverage:    (Reporting By Paul Day; Editing by Sonya Dowsett),normal
BBVA,Banco Bilbao Viscaya Argentaria SA,20150204,Spain's BBVA beats forecasts as 2014 profit rises 26 pct ,MADRID  Feb 4 Spain's second-biggest bank BBVA  on Wednesday reported a 689-million-euro ($790.5 million) fourth-quarter profit  beating forecasts  after making a loss in the same period a year ago.,normal
BBD,Banco Bradesco Sa,20150204,Brazil's Bradesco creates vice president slot for card business ,SAO PAULO  Feb 4 Banco Bradesco SA  Brazil's second-largest private-sector bank  created on Wednesday a new seniot vice president slot for the fast-growing card business  a segment that is responsible for the biggest portion of growth in fee income.,topStory
BBDO,Banco Bradesco Sa,20150204,Brazil's Bradesco creates vice president slot for card business ,SAO PAULO  Feb 4 Banco Bradesco SA  Brazil's second-largest private-sector bank  created on Wednesday a new seniot vice president slot for the fast-growing card business  a segment that is responsible for the biggest portion of growth in fee income.,topStory
BCS,Barclays PLC,20150204,MOVES-Barclays EM syndicate director leaves bank ,Paul Kilby - Fadi Attia has left Barclays  where he was director on the emerging market syndicate desk in New York.,topStory
BBL,BHP Billiton plc,20150204,METALS-Copper trims gains as traders digest China central bank move ,* Pan Pacific fails to reach deal with BHP on copper charges   (Recasts  adds closing prices),topStory
BBL,BHP Billiton plc,20150204,METALS-Copper trims gains as dollar rise offsets China central bank move ,* Pan Pacific fails to reach deal with BHP on copper charges   (Recasts  adds analyst's comment  updates prices),normal
BBL,BHP Billiton plc,20150204,METALS-Copper edges up after China cuts bank reserves requirement ,* Coming up: U.S. ADP employment report for Jan at 1315 GMT   (Updates with official prices),normal
BBL,BHP Billiton plc,20150204,Japan's Pan Pacific fails to reach deal with BHP on 2015 copper charges ,TOKYO  Feb 4 Pan Pacific Copper  Japan's biggest smelter  said on Wednesday it had failed to agree on terms of copper processing fees with global miner BHP Billiton   for 2015.,normal
BSX,Boston Scientific Corporation,20150204,Boston Scientific profit beats Street by a cent ,Boston Scientific Corp's adjusted quarterly profit edged past the average analyst estimate and the medical device maker reported a growth in sales for the fifth straight quarter  helped by continued demand for its heart devices.,topStory
BSX,Boston Scientific Corporation,20150204,UPDATE 2-Boston Scientific profit beats Street by a cent ,* Shares touch seven-year high   (Adds detail  analyst comment; updates share),normal
BSX,Boston Scientific Corporation,20150204,Boston Scientific profit falls as litigation costs soar ,Feb 4 Medical device maker Boston Scientific Corp posted a 19 percent fall in fourth-quarter profit as litigation charges more than doubled.,normal
BP,BP plc,20150204,U.S. regulators probing BP crude shipments on Enbridge pipeline ,CALGARY  Alberta A U.S. investigation into oil major BP Plc  breaking anti-fraud and reporting rules on using oil pipelines is related to crude shipped on Enbridge Inc's  Mainline system  Enbridge said on Wednesday.,topStory
BP,BP plc,20150204,U.S. regulators mull legal action against BP on rules violations: company ,U.S. regulators are considering naming BP PLC  and its entities in an enforcement action alleging the British oil major violated anti-fraud and reporting rules while using Canadian oil pipelines  BP said in its quarterly results statement on Tuesday.,normal
BP,BP plc,20150204,U.S. regulators mull legal action against BP on rules violations- company ,Feb 3 U.S. regulators are considering naming BP PLC and its entities in an enforcement action alleging the British oil major violated anti-fraud and reporting rules while using Canadian oil pipelines  BP said in its quarterly results statement on Tuesday.,normal
BT,BT Group plc,20150204,Deals of the day- Mergers and acquisitions ,Feb 4 The following bids  mergers  acquisitions and disposals were reported by 2100 GMT on Wednesday:,topStory
BT,BT Group plc,20150204,BT finalizes deal to buy EE: source ,LONDON BT  has reached agreement with Orange  and Deutsche Telekom ‎ to buy their UK mobile network operator EE and a deal could be announced as early as Thursday morning  a person familiar with the situation said.,normal
BT,BT Group plc,20150204,UPDATE 1-BT finalises deal to buy EE  -source ,LONDON  Feb 4 BT has reached agreement with Orange and Deutsche Telekom  to buy their UK mobile network operator EE and a deal could be announced as early as Thursday morning  a person familiar with the situation said.,normal
CAH,Cardinal Health Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,topStory
CAH,Cardinal Health Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,normal
CAH,Cardinal Health Inc,20150204,Whistleblower files U.S. fraud suit against Cardinal Health ,Feb 3 Healthcare services provider Cardinal Health Inc said its unit was accused of fraud and violating U.S. healthcare laws by a whistleblower under the False Claims Act.,normal
CMG,Chipotle Mexican Grill Inc,20150204,Chipotle restaurant sales growth slows  shares fall ,Chipotle Mexican Grill Inc  on Tuesday reported sales growth at established restaurants slowed in the fourth quarter and slightly missed Wall Street's estimate  sending shares down more than 6 percent in after-hours trade.,topStory
CCV,Comcast Corporation,20150204,UPDATE 2-U.S. FCC chief seeks tighter regulation of Internet providers ,WASHINGTON  Feb 4 The top U.S. communications regulator on Wednesday proposed to tighten regulations on Internet service providers by treating them more like public utilities  an approach endorsed by President Barack Obama.,normal
DAL,Delta Air Lines Inc,20150204,Delta Air Lines expands partnership with Starbucks ,Delta Air Lines will serve Starbucks brand coffee on all of its flights  growing its existing partnership with the world's biggest coffee chain  the companies plan to announce on Wednesday.,topStory
DAL,Delta Air Lines Inc,20150204,Delta Air Lines expands partnership with Starbucks ,Feb 3 Delta Air Lines will serve Starbucks brand coffee on all of its flights  growing its existing partnership with the world's biggest coffee chain  the companies plan to announce on Wednesday.,normal
DB,Deutsche Bank AG,20150204,ON THE MOVE-Deutsche unit peels away private banker from J.P. Morgan ,Feb 4 Deutsche Bank AG's  asset & wealth management division in the United States said Wednesday it hired broker and private banker Susan Moffat away from J.P. Morgan Securities to work with ultrahigh net worth clients at its Los Angeles office.,topStory
ENB,Enbridge Inc,20150204,UPDATE 1-U.S. regulators probing BP crude shipments on Enbridge pipeline ,CALGARY  Alberta  Feb 4 A U.S. investigation into oil major BP Plc breaking anti-fraud and reporting rules on using oil pipelines is related to crude shipped on Enbridge Inc's Mainline system  Enbridge said on Wednesday.,topStory
ENB,Enbridge Inc,20150204,U.S. regulators probing BP crude shipments on Enbridge pipeline ,CALGARY  Alberta  Feb 4 A U.S. investigation into oil major BP Plc breaking anti-fraud and reporting rules on using oil pipelines is related to crude shipped on Enbridge Inc's Mainline system  Enbridge said on Wednesday.,normal
ETR,Entergy Corporation,20150204,Judge allows hearings on summer closings of New York nuclear plant ,A judge in New York has ruled Entergy Corp cannot stop hearings on the state's plan to shut the company's Indian Point nuclear power plant for part of the summer to protect fish in the Hudson River.,topStory
ETR,Entergy Corporation,20150204,Judge allows hearings on summer closings of New York nuclear plant ,A judge in New York has ruled Entergy Corp  cannot stop hearings on the state's plan to shut the company's Indian Point nuclear power plant for part of the summer to protect fish in the Hudson River.,normal
FMC,FMC Corporation,20150204,Tronox to buy FMC's soda ash unit for $1.64 billion ,Diversified chemicals maker Tronox Ltd  said it would acquire FMC Corp's  Alkali Chemicals division for $1.64 billion to expand in faster-growing developing economies.,topStory
FMC,FMC Corporation,20150204,UPDATE 1-Tronox to buy FMC's soda ash unit for $1.64 bln ,Feb 3 Diversified chemicals maker Tronox Ltd  said it would acquire FMC Corp's Alkali Chemicals division for $1.64 billion to expand in faster-growing developing economies.,normal
FMC,FMC Corporation,20150204,Tronox to buy FMC's Alkali Chemicals unit for $1.64 bln ,Feb 3 Diversified chemical maker Tronox Ltd  said it would acquire FMC Corp's Alkali Chemicals business for $1.64 billion.,normal
F,Ford Motor Company,20150204,Ford CEO worries cars may get commoditized like mobile handsets ,BOCHUM  Germany Ford Motor Co Chief Executive Mark Fields said carmakers faced the challenge of avoiding becoming dependent on someone else's business model as companies from new industries increasingly enter the auto trade.,topStory
F,Ford Motor Company,20150204,Ford CEO worries cars may get commoditised like mobile handsets ,BOCHUM  Germany Feb 4 Ford Motor Co Chief Executive Mark Fields said carmakers faced the challenge of avoiding becoming dependent on someone else's business model as companies from new industries increasingly enter the auto trade.,normal
F,Ford Motor Company,20150204,Ford adding 1 550 jobs for F-150 production  promotes UAW workers ,DETROIT Ford Motor Co said on Wednesday it is adding 1 550 workers at four plants to build the new aluminum body F-150 pickup truck.,normal
F,Ford Motor Company,20150204,UPDATE 1-Ford adding 1 550 jobs for F-150 production  promotes UAW workers ,DETROIT  Feb 4 Ford Motor Co said on Wednesday it is adding 1 550 workers at four plants to build the new aluminum body F-150 pickup truck.,normal
F,Ford Motor Company,20150204,Ford adding 1 550 jobs for F-150 production  promotes UAW workers ,DETROIT  Feb 4 Ford Motor Co said on Wednesday it is adding 1 550 workers at four plants to build the new aluminum body F-150 pickup truck.,normal
GM,General Motors Company,20150204,Ontario sells remaining stake in General Motors -CBC ,Feb 4 The Canadian province of Ontario has sold its remaining shares in General Motors Co for C$1.1 billion ($874.89 million)  the Canadian Broadcasting Corp said on its website on Wednesday.,topStory
GM,General Motors Company,20150204,Exclusive: Shareholders may get more cash back later in 2015 - GM CFO ,DETROIT General Motors Co will consider returning more cash to shareholders later this year  on top of a planned 20-percent dividend increase announced Wednesday  the company's chief financial officer told Reuters. | Video ,normal
GM,General Motors Company,20150204,GM reports higher-than-expected profit despite recall costs ,DETROIT General Motors Co  on Wednesday posted fourth-quarter earnings far above analysts' expectations as strong sales of high-margin SUVs and trucks in North America helped offset record recall costs there  and its shares rose 3 percent. | Video ,normal
GM,General Motors Company,20150204,BRIEF-GM CFO: GM Financial profits will be flat in 2015 vs 2014 ,DETROIT  Feb 4 General Motors Co :  * CFO says a favorable mix will be a tailwind for the company in 2015  and,normal
