AMZN,Amazoncom Inc,20150527,Amazon's Europe changes to boost tax bill  add secrecy ,LONDON  May 26 Amazon's decision to change its tax-efficient European business structure could raise its tax bill by as much as $100 million a year but authorities will have to fight for additional money and any payments will be hidden from public view.,topStory
CHTR,Charter Communications Inc,20150527,Charter expects IG rating for secured debt funding TWC bid ,NEW YORK  May 27 (IFR) - Charter Communications said in an SEC filing on Wednesday that secured debt to be issued to finance its planned merger with Time Warner Cable would be rated investment-grade by two out of the three main rating agencies.,normal
CHTR,Charter Communications Inc,20150527,RPT-Charter's Time Warner Cable bid faces $2 billion regulatory question ,WASHINGTON  May 26 Time Warner Cable  entering into talks to be acquired by  Charter Communications Inc just a month after regulators killed a proposed takeover by Comcast Corp's  was determined not to get burned a second time.,normal
CSCO,Cisco Systems Inc,20150527,Scalia says Cisco ruling by high court will increase power of 'patent trolls' ,NEW YORK U.S. Supreme Court Justice Antonin Scalia  no stranger to speaking his mind both from the bench and in his opinions  used the derogatory term "patent trolls" in a strongly-worded dissent on Tuesday  saying the controversial entities have been handed a victory by the majority's opinion in a case involving Cisco Systems Inc.,topStory
CMCSA,Comcast Corporation,20150527,EU mergers and takeovers (May 27) ,BRUSSELS  May 27 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
CMCSA,Comcast Corporation,20150527,Vox Media acquiring tech news website Re/code ,LOS ANGELES Vox Media  owner of The Verge and other websites  is acquiring Revere Digital  the company that owns technology news website Re/code  according to a post on the Re/code website on Tuesday.,normal
CMCSA,Comcast Corporation,20150527,UPDATE 2-Vox Media acquiring tech news website Re/code ,LOS ANGELES  May 26 Vox Media  owner of The Verge and other websites  is acquiring Revere Digital  the company that owns technology news website Re/code  according to a post on the Re/code website on Tuesday.,normal
CMCSA,Comcast Corporation,20150527,RPT-Charter's Time Warner Cable bid faces $2 billion regulatory question ,WASHINGTON  May 26 Time Warner Cable  entering into talks to be acquired by  Charter Communications Inc just a month after regulators killed a proposed takeover by Comcast Corp's  was determined not to get burned a second time.,normal
FNGN,Financial Engines Inc,20150527,RPT - INSIGHT-Original robo-adviser Financial Engines seeks life beyond 401(k)s ,NEW YORK  May 27 Long before the phrase "robo-adviser" existed  Sunnyvale  California-based Financial Engines was cornering the untapped 401(k) plan market with computer simulations to help people save for retirement.,topStory
FNGN,Financial Engines Inc,20150527,Original robo-adviser Financial Engines seeks life beyond 401(k)s ,NEW YORK Long before the phrase "robo-adviser" existed  Sunnyvale  California-based Financial Engines was cornering the untapped 401(k) plan market with computer simulations to help people save for retirement.,normal
FNGN,Financial Engines Inc,20150527,INSIGHT-Original robo-adviser Financial Engines seeks life beyond 401(k)s ,NEW YORK  May 27 Long before the phrase "robo-adviser" existed  Sunnyvale  California-based Financial Engines was cornering the untapped 401(k) plan market with computer simulations to help people save for retirement.,normal
GILD,Gilead Sciences Inc,20150527,GlobeImmune Hep B drug fails mid-stage study  shares plunge ,Drug developer GlobeImmune Inc said its experimental hepatitis B drug did not reduce infection in patients after 24 weeks of treatment in a mid-stage study  sending the company's shares down as much as 60 percent to a record low.,topStory
GILD,Gilead Sciences Inc,20150527,UPDATE 2-GlobeImmune Hep B drug fails mid-stage study  shares plunge ,* Shares fall as much as 60 pct to record low   (Adds background  analyst comment; updates shares),normal
GILD,Gilead Sciences Inc,20150527,GlobeImmune  Gilead Hep B drug fails in mid-stage study ,May 27 GlobeImmune Inc said its experimental hepatitis B drug did not meet the main goal of reducing infection in patients after 24 weeks  in a mid-stage trial.,normal
MORN,Morningstar Inc,20150527,Investor Bill Gross: Bet against Bunds 'well timed  not well executed' ,Bill Gross  the widely followed investor  admitted in his June Investment Outlook on Wednesday that his bet against the German Bund market was well timed but not profitable.,topStory
MYL,Mylan NV,20150527,Teva discloses 1.35 pct stake in target Mylan ,May 27 Teva Pharmaceutical Industries Ltd   disclosed a 1.35 percent interest in Mylan NV   saying the purchase underscored its commitment to buy Mylan as soon as possible.,topStory
ODP,Office Depot Inc,20150527,Office Depot will pay fine of $3.4 million over office chair defects ,CHICAGO Office Depot said on Wednesday it will pay $3.4 million to the U.S. Consumer Product Safety Commission to settle the commission's inquiry into the company's product safety reporting compliance for defective office chairs.,topStory
ODP,Office Depot Inc,20150527,Office Depot will pay fine of $3.4 mln over office chair defects ,CHICAGO  May 27 Office Depot said on Wednesday it will pay $3.4 million to the U.S. Consumer Product Safety Commission to settle the commission's inquiry into the company's product safety reporting compliance for defective office chairs.,normal
ODP,Office Depot Inc,20150527,Office Depot to pay $3.4 million over office chair defects ,WASHINGTON The U.S. Consumer Product Safety Commission on Wednesday said Office Depot Inc  has agreed to pay $3.4 million in fines over its failure to report defects in two models of office chairs.,normal
ODP,Office Depot Inc,20150527,Office Depot to pay $3.4 million over office chair defects ,WASHINGTON  May 27 The U.S. Consumer Product Safety Commission on Wednesday said Office Depot Inc has agreed to pay $3.4 million in fines over its failure to report defects in two models of office chairs.,normal
RYAAY,Ryanair Holdings plc,20150527,Focus turns to Ryanair as IAG looks to seal Aer Lingus deal ,LONDON After securing approval of the Irish government for its takeover offer for Aer Lingus   British Airways-owner IAG  must now seek the backing of the Irish airline's other major shareholder  Ryanair   to seal the deal.,topStory
RYAAY,Ryanair Holdings plc,20150527,UPDATE 2-Focus turns to Ryanair as IAG looks to seal Aer Lingus deal ,* Aer Lingus shares up 1.7 pct  IAG up 0.5 pct   (Adds more IAG CEO comments  updates shares),normal
RYAAY,Ryanair Holdings plc,20150527,IAG says will not increase Aer Lingus share price offer ,DUBLIN The chief executive of British Airways owner IAG  on Wednesday ruled out any increase in the price offered for Aer Lingus  shares to convince 30-percent shareholder Ryanair  to back the deal.,normal
RYAAY,Ryanair Holdings plc,20150527,UPDATE 6-Irish government backs sale of Aer Lingus to IAG ,* Unions say deal is bad for workers   (Adds share prices  analyst comment),normal
RYAAY,Ryanair Holdings plc,20150527,Wizz Air sees more growth as annual profit soars ,LONDON  May 27 Eastern European-focused budget airline Wizz Air reported a 67 percent jump in annual profit and said it was confident of further profit growth this year as it continues to expand capacity.,normal
SIRI,Sirius XM Holdings Inc,20150527,Sirius XM to face class action in Turtles copyright suit ,NEW YORK A U.S. judge in California allowed a class action lawsuit to proceed on Wednesday against satellite-radio company Sirius XM Holdings Inc over the payment of royalties for songs produced before 1972  in a case that is being closely watched for its implications for digital media.,topStory
SIRI,Sirius XM Holdings Inc,20150527,Sirius XM to face class action in Turtles copyright suit ,NEW YORK A U.S. judge in California allowed a class action lawsuit to proceed on Wednesday against satellite-radio company Sirius XM Holdings Inc over the payment of royalties for songs produced before 1972  in a case that is being closely watched for its implications for digital media.,normal
SIRI,Sirius XM Holdings Inc,20150527,UPDATE 2-Sirius XM to face class action in Turtles copyright suit ,NEW YORK  May 27 A U.S. judge in California allowed a class action lawsuit to proceed on Wednesday against satellite-radio company Sirius XM Holdings Inc over the payment of royalties for songs produced before 1972  in a case that is being closely watched for its implications for digital media.,normal
SIRI,Sirius XM Holdings Inc,20150527,Sirius XM to face class action in Turtles copyright lawsuit ,NEW YORK  May 27 A U.S. judge in California on Wednesday allowed a class action lawsuit to proceed against satellite-radio company Sirius XM Holdings Inc over the payment of royalties for songs made before 1972.,normal
TSLA,Tesla Inc ,20150527,EDF bets on 'French Tesla'in $100 million start-up venture fund ,PARIS French utility EDF is opening up to the world of start-ups with a 90 million euro fund that has already screened 1 000 projects and invested in half a dozen  including one which says its batteries could rival those sold by Tesla.,topStory
WB,Weibo Corporation,20150527,China's Weibo to invest $142 million in taxi-hailing apps: SEC filing ,HONG KONG Chinese microblog Weibo Corp will invest $142 million in China's dominant taxi-hailing firms Didi Taxi and Kuaidi Taxi  a U.S. Securities and Exchange Commission filing showed.,topStory
WB,Weibo Corporation,20150527,China's Weibo to invest $142 mln in taxi-hailing apps - SEC filing ,HONG KONG  May 27 Chinese microblog Weibo Corp  will invest $142 million in China's dominant taxi-hailing firms Didi Taxi and Kuaidi Taxi  a U.S. Securities and Exchange Commission filing showed.,normal
BABA,Alibaba Group Holding Limited,20150527,Alibaba-affiliated online bank get green light from China regulator ,SHANGHAI China's banking regulator has given a green light to MYbank  the online bank affiliated with Chinese e-commerce giant Alibaba Group Holding Ltd  to start operating.,topStory
BABA,Alibaba Group Holding Limited,20150527,UPDATE 1-Alibaba-affiliated online bank get green light from China regulator ,SHANGHAI  May 27 China's banking regulator has given a green light to MYbank  the online bank affiliated with Chinese e-commerce giant Alibaba Group Holding Ltd  to start operating.,normal
BABA,Alibaba Group Holding Limited,20150527,REFILE-BRIEF-Taiwan Mediatek's unit Gaintech sells Alibaba ADS worth $19.1 mln ,* Says unit Gaintech sells 211 001 units of Alibaba's ADS at $90.5207 apiece,normal
BABA,Alibaba Group Holding Limited,20150527,Alibaba-affiliated MYbank given green light to open ,SHANGHAI  May 27 China's banking regulator has granted permission to operate to MYbank  the online bank affiliated with Chinese e-commerce giant Alibaba Group Holding Ltd.,normal
APA,Apache Corporation,20150527,Devon Energy and Apache shut-in some wells on storms ,HOUSTON  May 27 Apache Corp. and Devon Energy Corp. said on Wednesday they have been shutting in some oil and gas wells as a precautionary measure because of heavy rains this week in Texas and Oklahoma.,topStory
AXS,Axis Capital Holdings Limited,20150527,EU mergers and takeovers (May 27) ,BRUSSELS  May 27 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BLK,BlackRock Inc,20150527,UPDATE 1-Global lower rate environment harmful to investors -BlackRock CEO ,May 27 Lowering interest rates around the world to boost the global economy has reached a point where it is now "quite harmful" to clients  including pension funds and insurers  BlackRock Inc Chairman and Chief Executive Officer Laurence Fink said on Wednesday.,topStory
BLK,BlackRock Inc,20150527,Global lower rate environment harmful to investors: BlackRock CEO ,Lowering interest rates around the world to boost the global economy has reached a point where it is now "quite harmful" to clients  including pension funds and insurers  BlackRock Inc  Chairman and Chief Executive Officer Laurence Fink said on Wednesday.,normal
BLK,BlackRock Inc,20150527,Global lower rate environment harmful to investors- BlackRock CEO ,May 27 Lowering interest rates around the world to boost the global economy has reached a point where it is now "quite harmful" to clients  including pension funds and insurers  BlackRock Inc Chairman and Chief Executive Officer Laurence Fink said on Wednesday.,normal
BT,BT Group plc,20150527,BRIEF-British Telecom commences 160 mln stg share buyback programme ,May 27 BT Group PLC :  * British telecom plc - transaction in own shares  * Commencement of a non-discretionary programme to purchase up to £160 million,topStory
CNQ,Canadian Natural Resources Limited,20150527,UPDATE 1-CNRL says uncertainty over new Alberta gov't delays its plans ,CALGARY  Alberta  May 27 Canadian Natural Resources Ltd  one of the biggest producers in the Alberta oil sands  said on Wednesday it is delaying setting out detailed spending plans due to uncertainty about the energy policies of Alberta's new left-leaning government.,topStory
CNQ,Canadian Natural Resources Limited,20150527,CNRL says spending plans delayed by Alberta govt uncertainty ,CALGARY  Alberta  May 27 Canadian Natural Resources Ltd is delaying setting out detailed future spending plans due to uncertainty about the energy policies of Alberta's New Democratic Party government  the company said on Wednesday.,normal
CVE,Cenovus Energy Inc,20150527,Hundreds more oil sands staff evacuated on Alberta fire threat ,CALGARY  Alberta Statoil ASA  MEG Energy Corp and Cenovus Energy Inc evacuated hundreds of workers from three oil sands projects in northeastern Alberta on Tuesday as wildfires raged through the key crude-producing region.,topStory
CVX,Chevron Corporation,20150527,Exxon  Chevron holders say 'no' to adding climate experts to boards ,HOUSTON Shareholders of the top two U.S. oil companies on Wednesday rejected proposals to add directors with climate change expertise to their boards  but a measure passed at one  Chevron Corp  could give new power to minority investors with environmental concerns.,topStory
CVX,Chevron Corporation,20150527,UPDATE 1-Exxon  Chevron holders say 'no' to adding climate experts to boards ,HOUSTON  May 27 Shareholders of the top two U.S. oil companies on Wednesday rejected proposals to add directors with climate change expertise to their boards  but a measure passed at one  Chevron Corp  could give new power to minority investors with environmental concerns.,normal
CVX,Chevron Corporation,20150527,UPDATE 1-Chevron says output from Saudi-Kuwait joint oilfield remains shut ,DUBAI  May 27 An jointly-operated onshore oilfield between Saudi Arabia and Kuwait will remain shut until difficulties to operate there are resolved  a spokeswoman for U.S. oil major Chevron said on Wednesday.,normal
CVX,Chevron Corporation,20150527,Shareholders press for board voice on climate at Exxon  Chevron ,HOUSTON  May 27 Progressive shareholders are pushing to add directors with climate change expertise to the boards of Exxon Mobil Corp and Chevron Corp  arguing the largest U.S. oil companies need more depth of knowledge to navigate environmental issues.,normal
KO,Coca-Cola Company (The),20150527,WRAPUP 7-World soccer rocked by U.S.  Swiss arrests of officials for graft ,ZURICH/NEW YORK  May 27 The world's most popular sport was plunged into turmoil on Wednesday as seven senior soccer officials were arrested on U.S. corruption charges and faced extradition from Switzerland  whose authorities also announced a criminal investigation into the awarding of the next two World Cups.,topStory
CCV,Comcast Corporation,20150527,EU mergers and takeovers (May 27) ,BRUSSELS  May 27 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
CCV,Comcast Corporation,20150527,Vox Media acquiring tech news website Re/code ,LOS ANGELES Vox Media  owner of The Verge and other websites  is acquiring Revere Digital  the company that owns technology news website Re/code  according to a post on the Re/code website on Tuesday.,normal
CCV,Comcast Corporation,20150527,UPDATE 2-Vox Media acquiring tech news website Re/code ,LOS ANGELES  May 26 Vox Media  owner of The Verge and other websites  is acquiring Revere Digital  the company that owns technology news website Re/code  according to a post on the Re/code website on Tuesday.,normal
CCV,Comcast Corporation,20150527,RPT-Charter's Time Warner Cable bid faces $2 billion regulatory question ,WASHINGTON  May 26 Time Warner Cable  entering into talks to be acquired by  Charter Communications Inc just a month after regulators killed a proposed takeover by Comcast Corp's  was determined not to get burned a second time.,normal
CRH,CRH PLC,20150527,UK FTSE rises on acquisition activity and hopes for Greek deal ,LONDON  May 27 Britain's top share index bounced back on Wednesday from a two-week low the day before as acquisitions boosted Imperial Tobacco  cement maker CRH  and International Consolidated Airlines Group.,topStory
CRH,CRH PLC,20150527,UK FTSE rises as acquisition plans boost CRH  Imperial Tobacco ,LONDON  May 27 Britain's top share index bounced back on Wednesday from a two-week low the day before as acquisitions boosted Imperial Tobacco  cement maker CRH  and International Consolidated Airlines Group.,normal
CRH,CRH PLC,20150527,UK FTSE rises as acquisition plans boost CRH  Imperial Tobacco ,LONDON  May 27 Britain's top share index bounced back on Wednesday from a two-week low hit the day before as acquisitions activity boosted Imperial Tobacco  cement maker CRH and  International Consolidated Airlines Group .,normal
CRH,CRH PLC,20150527,Construction  material firms help European shares to rebound ,LONDON  May 27 European shares rebounded from a one-week low on Wednesday with the construction and materials sector leading the market higher after Holcim and Lafarge agreed with CRH on divestment plans.,normal
CRH,CRH PLC,20150527,Construction and material firms help European shares to rebound ,LONDON  May 27 European shares rebounded from a one-week low on Wednesday  with the construction and materials sector leading the market higher after Holcim and Lafarge agreed with CRH on their divestment plans.,normal
DB,Deutsche Bank AG,20150527,Fitch Downgrades Deutsche Bank's TWD Bonds to 'AA+(twn)' ,(The following statement was released by the rating agency) TAIPEI/SINGAPORE  May 26 (Fitch) Fitch Ratings has downgraded the National  Long-Term Rating on Deutsche Bank AG Taipei Branch's (DB Taipei) outstanding  TWD1bn October 2019 senior unsecured notes to 'AA+(twn)' from 'AAA(twn)'  following the downgrade of Deutsche Bank AG on 19 May 2015.  KEY RATING DRIVERS  SENIOR DEBT The rating on DB Taipei's bonds is aligned with Deutsche Bank AG's Long-Term  Issuer Default Rating (IDR) of 'A'  which,topStory
DVN,Devon Energy Corporation,20150527,Devon Energy and Apache shut-in some wells on storms ,HOUSTON  May 27 Apache Corp. and Devon Energy Corp. said on Wednesday they have been shutting in some oil and gas wells as a precautionary measure because of heavy rains this week in Texas and Oklahoma.,topStory
EVR,Evercore Inc,20150527,MOVES-Evercore expands into Germany with Kuna purchase ,LONDON  May 27 (IFR) - US advisory firm Evercore has bought German boutique Kuna & Co and appointed Walter Kuna  founder of the real estate specialist  as senior managing director of its fledgling German business.,topStory
XOM,Exxon Mobil Corporation,20150527,Exxon  Chevron holders say 'no' to adding climate experts to boards ,HOUSTON Shareholders of the top two U.S. oil companies on Wednesday rejected proposals to add directors with climate change expertise to their boards  but a measure passed at one  Chevron Corp  could give new power to minority investors with environmental concerns.,topStory
XOM,Exxon Mobil Corporation,20150527,UPDATE 1-Exxon  Chevron holders say 'no' to adding climate experts to boards ,HOUSTON  May 27 Shareholders of the top two U.S. oil companies on Wednesday rejected proposals to add directors with climate change expertise to their boards  but a measure passed at one  Chevron Corp  could give new power to minority investors with environmental concerns.,normal
XOM,Exxon Mobil Corporation,20150527,Shareholders press for board voice on climate at Exxon  Chevron ,HOUSTON  May 27 Progressive shareholders are pushing to add directors with climate change expertise to the boards of Exxon Mobil Corp and Chevron Corp  arguing the largest U.S. oil companies need more depth of knowledge to navigate environmental issues.,normal
GEH,General Electric Capital Corporation,20150527,UPDATE 1-GE Capital CEO: Priority on sale of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,topStory
GEH,General Electric Capital Corporation,20150527,GE Capital CEO: Priority on sales of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,normal
GEH,General Electric Capital Corporation,20150527,GE in talks with Element Financial on fleet assets sale: Bloomberg ,General Electric Co  is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp   Bloomberg reported  citing people familiar with the matter.,normal
GEH,General Electric Capital Corporation,20150527,GE in talks with Element Financial on fleet assets sale -Bloomberg ,May 26 General Electric Co is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp  Bloomberg reported  citing people familiar with the matter. (http://bloom.bg/1dvt7GW),normal
GEK,General Electric Capital Corporation,20150527,UPDATE 1-GE Capital CEO: Priority on sale of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,topStory
GEK,General Electric Capital Corporation,20150527,GE Capital CEO: Priority on sales of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,normal
GEK,General Electric Capital Corporation,20150527,GE in talks with Element Financial on fleet assets sale: Bloomberg ,General Electric Co  is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp   Bloomberg reported  citing people familiar with the matter.,normal
GEK,General Electric Capital Corporation,20150527,GE in talks with Element Financial on fleet assets sale -Bloomberg ,May 26 General Electric Co is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp  Bloomberg reported  citing people familiar with the matter. (http://bloom.bg/1dvt7GW),normal
GE,General Electric Company,20150527,UPDATE 1-GE Capital CEO: Priority on sale of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,topStory
GE,General Electric Company,20150527,GE Capital CEO: Priority on sales of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,normal
GE,General Electric Company,20150527,GE in talks with Element Financial on fleet assets sale: Bloomberg ,General Electric Co  is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp   Bloomberg reported  citing people familiar with the matter.,normal
GE,General Electric Company,20150527,GE in talks with Element Financial on fleet assets sale -Bloomberg ,May 26 General Electric Co is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp  Bloomberg reported  citing people familiar with the matter. (http://bloom.bg/1dvt7GW),normal
GEB,General Electric Company,20150527,UPDATE 1-GE Capital CEO: Priority on sale of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,topStory
GEB,General Electric Company,20150527,GE Capital CEO: Priority on sales of private equity-lending assets ,May 27 As General Electric Co seeks to unload most of its finance assets  it is prioritizing the sale of businesses that provide lending to U.S. and European private equity firms  and to healthcare-related businesses  GE Capital's top executive said on Wednesday.,normal
GEB,General Electric Company,20150527,GE in talks with Element Financial on fleet assets sale: Bloomberg ,General Electric Co  is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp   Bloomberg reported  citing people familiar with the matter.,normal
GEB,General Electric Company,20150527,GE in talks with Element Financial on fleet assets sale -Bloomberg ,May 26 General Electric Co is in advanced talks to sell assets of its vehicle fleet management business  GE Capital Fleet Services  to Element Financial Corp  Bloomberg reported  citing people familiar with the matter. (http://bloom.bg/1dvt7GW),normal
GM,General Motors Company,20150527,U.S. judge puts GM ignition-switch suits on ice  for now ,NEW YORK A U.S. bankruptcy judge on Wednesday put on hold dozens of lawsuits accusing General Motors Co  of concealing an ignition-switch defect while the plaintiffs in those cases appeal an earlier ruling that found their cases were barred.,topStory
GM,General Motors Company,20150527,U.S. judge puts GM ignition-switch suits on ice  for now ,NEW YORK A U.S. bankruptcy judge on Wednesday put on hold dozens of lawsuits accusing General Motors Co  of concealing an ignition-switch defect while the plaintiffs in those cases appeal an earlier ruling that found their cases were barred.,normal
GM,General Motors Company,20150527,UPDATE 1-U.S. judge puts GM ignition-switch suits on ice  for now ,NEW YORK  May 27 A U.S. bankruptcy judge on Wednesday put on hold dozens of lawsuits accusing General Motors Co of concealing an ignition-switch defect while the plaintiffs in those cases appeal an earlier ruling that found their cases were barred.,normal
GM,General Motors Company,20150527,Judge puts GM ignition-switch lawsuits on ice  for now ,NEW YORK  May 27 A U.S. bankruptcy judge on Wednesday put on hold dozens of lawsuits accusing General Motors Co of concealing an ignition-switch defect while plaintiffs in those cases appeal an earlier ruling that found their cases were barred.,normal
GS,Goldman Sachs Group Inc (The),20150527,MOVES- Goldman Sachs  Abu Dhabi Investment Authority  U.S. Bank ,May 27 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20150527,Goldman tops 2015 City of London bank bonus charts ,LONDON Bankers at Goldman Sachs received the highest bonuses in London's banking industry this year but bonuses paid out by the top 10 banks were down overall compared to last year  a survey published on Wednesday showed.,normal
GS,Goldman Sachs Group Inc (The),20150527,Goldman tops 2015 City of London bank bonus charts ,By Jamie McGeever     LONDON  May 27 Bankers at Goldman Sachs  received the highest bonuses in London's banking industry this year but bonuses paid out by the top 10 banks were down overall compared to last year  a survey published on Wednesday showed.     Goldman Sachs bankers received an average bonus of 194 000 pounds ($300 000)  some 14 percent more than their peers at second-placed Morgan Stanley  according to salary benchmarking site Emolument.com.     The top five in the surve,normal
GVA,Granite Construction Incorporated,20150527,RBS mulls bid for UK government-owned mortgage portfolio: Sky News ,Royal Bank of Scotland Group Plc (RBS) is one of many prospective bidders that have shown an interest in buying Granite  a 13 billion pound ($20 billion) mortgage securitization vehicle earmarked for sale by the UK government  Sky News reported  citing people familiar with the matter.,topStory
GVA,Granite Construction Incorporated,20150527,RBS mulls bid for UK govt-owned mortgage portfolio - Sky News ,May 26 Royal Bank of Scotland Group Plc  (RBS) is one of many prospective bidders that have shown an interest in buying Granite  a 13 billion pound ($20 billion) mortgage securitisation vehicle earmarked for sale by the UK government  Sky News reported  citing people familiar with the matter.,normal
