AMZN,Amazoncom Inc,20150211,Exclusive-Survey: Trouble for Amazon Prime's two-day deliveries? ,SAN FRANCISCO/CHICAGO Amazon.com Inc packages ordered by its Prime members regularly arrived late over the holidays  a Reuters/Ipsos survey shows  reflecting the strain on the logistics network that transformed the company into an e-commerce powerhouse.,topStory
AAPL,Apple Inc,20150211,US STOCKS-Futures little changed ahead of Greek debt talks ,NEW YORK  Feb 11 U.S. stock index futures were little changed on Wednesday  after the S&P 500 climbed to its highest level of the year and ahead of a meeting of euro zone finance ministers to discuss plans for Greece's debt.,normal
AMAT,Applied Materials Inc,20150211,Applied Materials hurt by low demand for chipmaking machinery ,Applied Materials Inc said new orders in its business that makes semiconductor equipment and made-to-order chips fell in the first quarter due to weak demand from foundry customers.,topStory
AMAT,Applied Materials Inc,20150211,UPDATE 2-Applied Materials hurt by low demand for chipmaking machinery ,Feb 11 Applied Materials Inc said new orders in its business that makes semiconductor equipment and made-to-order chips fell in the first quarter due to weak demand from foundry customers.,normal
AMAT,Applied Materials Inc,20150211,Applied Materials revenue rises 7.7 pct ,Feb 11 Chip-equipment maker Applied Materials Inc reported a 7.7 percent rise in quarterly revenue as contract chip manufacturers spent more on technology used to make smartphone and memory chips.,normal
BIDU,Baidu Inc,20150211,Baidu revenue falls short of estimates as customers go mobile ,Baidu Inc   owner of China's dominant search engine   reported a lower-than-expected 47.5 percent rise in quarterly revenue as more users switched from PCs to mobile devices  which have less space for more lucrative forms of advertising.,topStory
BIDU,Baidu Inc,20150211,UPDATE 1-Baidu revenue falls short of estimates as customers go mobile ,Feb 11 Baidu Inc  owner of China's dominant search engine   reported a lower-than-expected 47.5 percent rise in quarterly revenue as more users switched from PCs to mobile devices  which have less space for more lucrative forms of advertising.,normal
BIDU,Baidu Inc,20150211,China's Baidu posts jump in revenue as mobile traffic grows ,Baidu Inc  owner of China's dominant search engine  reported a 47.5 percent rise quarterly revenue  helped by growth in mobile traffic.,normal
BIDU,Baidu Inc,20150211,China's Baidu posts jump in revenue as mobile traffic grows ,Feb 11 Baidu Inc  owner of China's dominant search engine  reported a 47.5 percent rise quarterly revenue  helped by growth in mobile traffic.,normal
BGCP,BGC Partners Inc,20150211,MOVES-Interdealer broker BGC says CFO to retire ,Feb 11 U.S. interdealer broker BGC Partners Inc  said Chief Financial Officer Graham Sadler would retire.,topStory
CSCO,Cisco Systems Inc,20150211,Robust switching sales power strong quarter for Cisco ,Network equipment maker Cisco Systems Inc  reported stronger-than-expected quarterly revenue and profit as demand for switching equipment and routers helped to make up for weak spending by the company's traditional telecom customers. | Video ,topStory
CSCO,Cisco Systems Inc,20150211,UPDATE 3-Robust switching sales power strong quarter for Cisco ,* Shares rise 5.6 pct in extended trading   (Adds analyst comments),normal
CSCO,Cisco Systems Inc,20150211,Cisco revenue rises 7 pct on higher demand for switches  routers ,Feb 11 Network equipment maker Cisco Systems Inc CSCO.O reported a 7 percent rise in quarterly revenue  helped by higher demand for switching equipment and routers.,normal
CMCSA,Comcast Corporation,20150211,Comcast ruling doesn't bar class action bid: 2nd Circuit ,A U.S. appeals court has revived a bid by Applebee's employees in New York to pursue a wage-and-hour suit as a class action  the latest decision to find that a recent Supreme Court ruling that added a hurdle to class certification had been applied too broadly.,topStory
FEYE,FireEye Inc,20150211,Higher IT security spending helps FireEye revenue beat Street ,Cybersecurity company FireEye Inc's quarterly revenue and profit beat market estimates as governments and businesses ramped up spending to protect their networks from increasingly sophisticated attacks.,topStory
FEYE,FireEye Inc,20150211,UPDATE 2-Higher IT security spending helps FireEye revenue beat Street ,Feb 11 Cybersecurity company FireEye Inc's  quarterly revenue and profit beat market estimates as governments and businesses ramped up spending to protect their networks from increasingly sophisticated attacks.,normal
FEYE,FireEye Inc,20150211,FireEye revenue jumps 150 pct ,Feb 11 Cybersecurity services provider FireEye Inc reported a 150 percent jump in quarterly revenue as governments and businesses ramped up spending to protect their networks from highly sophisticated database breaches and hacks.,normal
FSLR,First Solar Inc,20150211,UPDATE 3-Apple in big solar power deal  market cap closes over $700 bln ,SAN FRANCISCO  Feb 10 Apple Inc will buy about $850 million of power from a new California solar farm to cut its energy bill  the iPhone maker said on Tuesday as its stock market value closed above $700 billion for the first time.,topStory
IEP,Icahn Enterprises LP,20150211,SEC probes disclosures tied to Icahn takeover of CVR: U.S. filing ,NEW YORK The Securities and Exchange Commission is investigating whether CVR Energy Inc  might have made misleading disclosures to investors during its unsuccessful defense against billionaire Carl Icahn's 2012 hostile takeover  court documents show.,topStory
IEP,Icahn Enterprises LP,20150211,SEC probes disclosures tied to Icahn takeover of CVR - US filing ,NEW YORK  Feb 11 The U.S. Securities and Exchange Commission is investigating whether CVR Energy Inc  might have made misleading disclosures to investors during its unsuccessful defense against billionaire Carl Icahn's 2012 hostile takeover  court documents show.,normal
INTU,Intuit Inc,20150211,UPDATE 1-FBI to probe fake tax filings through TurboTax - WSJ ,Feb 10 The U.S. Federal Bureau of Investigation is examining how fraudulent tax returns were filed in 19 states through tax-preparation software TurboTax  the Wall Street Journal reported  citing a person with knowledge of the matter.,topStory
MDLZ,Mondelez International Inc,20150211,Mondelez beats profit forecast  sees higher margin in 2015 ,Mondelez International Inc   the maker of Cadbury chocolate and Oreo cookies  reported a better-than-expected adjusted quarterly profit and said it expects cost cuts to boost its full-year adjusted operating margin in 2015.,topStory
MDLZ,Mondelez International Inc,20150211,UPDATE 2-Mondelez beats profit forecast  sees higher margin in 2015 ,Feb 11 Mondelez International Inc  the maker of Cadbury chocolate and Oreo cookies  reported a better-than-expected adjusted quarterly profit and said it expects cost cuts to boost its full-year adjusted operating margin in 2015.,normal
MDLZ,Mondelez International Inc,20150211,Mondelez profit falls 72 pct as sales fall in all regions ,Feb 11 Mondelez International Inc  the maker of Cadbury chocolate and Oreo cookies  reported a near 72 percent fall in quarterly profit as sales across all key markets fell.,normal
NFLX,Netflix Inc,20150211,Netflix 'technical glitch' gives early peek at 'House of Cards' ,LOS ANGELES  Feb 11 An early release of the new season of Netflix Inc's political thriller "House of Cards" was caused by a technical glitch  the company said on Wednesday.,topStory
NVDA,NVIDIA Corporation,20150211,Nvidia's fiscal fourth-quarter results beat estimates  stock rises ,SAN FRANCISCO Nvidia Corp  on Wednesday posted higher quarterly results that beat Wall Street expectations  sending its shares higher as the graphics chipmaker sought to sharpen its focus on high-end automobiles.,topStory
NVDA,NVIDIA Corporation,20150211,UPDATE 2-Nvidia's fiscal 4th-quarter results beat estimates  stock rises ,SAN FRANCISCO  Feb 11 Nvidia Corp on Wednesday posted higher quarterly results that beat Wall Street expectations  sending its shares higher as the graphics chipmaker sought to sharpen its focus on high-end automobiles.,normal
NVDA,NVIDIA Corporation,20150211,Nvidia's fiscal 4th-quarter revenue beats estimates ,SAN FRANCISCO  Feb 11 Nvidia Corp on Wednesday posted higher fiscal fourth-quarter revenue that beat Wall Street's expectations as the graphics chipmaker increased its focus on high-end automobiles.,normal
QCOM,QUALCOMM Incorporated,20150211,China stocks up on expectations of more policy easing  Hong Kong lags ,SHANGHAI  Feb 11 China shares rose for a third straight day on Wednesday after the central bank vowed to support economic growth  but investors were reluctant to chase stocks too high on concerns that the rebound was due to technical factors and may be short-lived.,topStory
TSLA,Tesla Inc ,20150211,Tesla reports fourth-quarter loss  misses sales targets ,DETROIT Tesla Motors Inc  missed sales targets and racked up a fourth-quarter loss of $107.6 million as the luxury electric car maker struggled with production and delivery issues on several fronts.,topStory
TSLA,Tesla Inc ,20150211,UPDATE 1-Tesla reports 4th-quarter loss  misses sales targets ,DETROIT  Feb 11 Tesla Motors Inc missed sales targets and racked up a fourth-quarter loss of $107.6 million as the luxury electric car maker struggled with production and delivery issues on several fronts.,normal
TSLA,Tesla Inc ,20150211,Tesla reports 4th-quarter loss of $107.6 million ,DETROIT  Feb 11 Tesla Motors Inc on Wednesday reported a fourth-quarter loss of $107.6 million  or 86 cents per share  compared with a year-ago loss of $16.3 million  or 13 cents per share.,normal
TSLA,Tesla Inc ,20150211,Exclusive: Tesla CEO threatens firings after dismal China sales - sources ,PARIS/DETROIT Tesla Motors Inc  Chief Executive Elon Musk is prepared to fire overseas executives  people with knowledge of the matter said  after weak Chinese sales of the company's luxury electric cars cast doubt on his ambitious global expansion plans. | Video ,normal
CG,The Carlyle Group LP,20150211,Carlyle beats fourth-quarter profit estimates on asset sales ,Carlyle Group LP  reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash proceeds from asset sales.,topStory
CG,The Carlyle Group LP,20150211,UPDATE 1-Carlyle beats Q4 profit estimates on asset sales ,Feb 11 Carlyle Group LP reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash proceeds from asset sales.,normal
CG,The Carlyle Group LP,20150211,Carlyle beats Q4 profit estimates on asset sales ,Feb 11 Carlyle Group LP reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash generation from asset sales.,normal
TCGP,The Carlyle Group LP,20150211,Carlyle beats fourth-quarter profit estimates on asset sales ,Carlyle Group LP  reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash proceeds from asset sales.,topStory
TCGP,The Carlyle Group LP,20150211,UPDATE 1-Carlyle beats Q4 profit estimates on asset sales ,Feb 11 Carlyle Group LP reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash proceeds from asset sales.,normal
TCGP,The Carlyle Group LP,20150211,Carlyle beats Q4 profit estimates on asset sales ,Feb 11 Carlyle Group LP reported a 68 percent year-on-year drop in fourth-quarter profit  as the appreciation of its portfolio slowed down  yet the decline was smaller than most analysts expected due to strong cash generation from asset sales.,normal
TRIP,TripAdvisor Inc,20150211,Higher advertising  subscription revenue boosts TripAdvisor ,Travel review website operator TripAdvisor Inc  reported better-than-expected quarterly revenue as the company earned more from click-based advertising and subscriptions.,topStory
TRIP,TripAdvisor Inc,20150211,UPDATE 1-Higher advertising  subscription revenue boosts TripAdvisor ,Feb 11 Travel review website operator TripAdvisor Inc reported better-than-expected quarterly revenue as the company earned more from click-based advertising and subscriptions.,normal
TRIP,TripAdvisor Inc,20150211,TripAdvisor's quarterly profit jumps 80 pct ,Feb 11 Travel review website operator TripAdvisor Inc reported an 80 percent jump in quarterly profit  driven by higher advertising and subscription revenue.,normal
WIX,Wixcom Ltd,20150211,Israel's Wix.com sees strong 2015 after beating fourth-quarter estimates ,TEL AVIV Wix.com Ltd  which helps small businesses build and operate websites  reported a smaller-than-expected loss in the fourth quarter and forecast strong revenue growth in 2015 as more firms convert to paid services from free ones.,topStory
WIX,Wixcom Ltd,20150211,UPDATE 1-Israel's Wix.com sees strong 2015 after beating Q4 estimates ,* Expects revenue of $198-$202 mln in 2015   (Adds details  background  quotes),normal
AEM,Agnico Eagle Mines Limited,20150211,Agnico Eagle reports fourth-quarter loss on non-cash items ,Feb 11 Agnico Eagle Mines Ltd reported a fourth-quarter net loss on Wednesday on the back of a number of non-cash items  including foreign currency translation losses  mark-to-market adjustment losses and stock option expenses.,topStory
AMC,AMC Entertainment Holdings Inc,20150211,DIARY-NON S&P WEEK AHEAD ,Thomson Reuters Diary of Non S&P 500 Corporate earnings for U.S. companies     from Feb 11  2015.        S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                            ** This Diary does not provide the EPS estimate figures. EPS figures can retrived from Eikon.          Steps in Eikon to retrive the EPS:-      Eikon Indicator-> Home-> ,topStory
AMOV,America Movil SAB de CV,20150211,Deals of the day- Mergers and acquisitions ,Feb 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
AMOV,America Movil SAB de CV,20150211,UPDATE 2-America Movil sees cell tower spinoff completed by June ,MEXICO CITY  Feb 11 America Movil's planned spinoff of cellphone towers in Mexico into a new company is at an advanced stage and should be up and running by May or June of this year  Chief Executive Daniel Hajj said on Wednesday.,normal
AMOV,America Movil SAB de CV,20150211,RPT-America Movil cellphone tower spinoff to be completed by June -CEO ,MEXICO CITY  Feb 11 Mexican telecoms giant America Movil is still in the process of selling Mexican assets  CEO Daniel Hajj said in an earnings call on Wednesday.,normal
AMOV,America Movil SAB de CV,20150211,UPDATE 1-Telekom Austria says has room for acquisitions ,* CEO sees strong Q1 after Q4 loss   (Recasts with CEO comments),normal
AMOV,America Movil SAB de CV,20150211,CEO of America Movil unit Telekom Austria says expects strong Q1 ,VIENNA  Feb 11 America Movil unit Telekom Austria expects a strong first quarter  its chief executive Hannes Ametsreiter told a news conference on Wednesday  after the company reported a fourth-quarter loss of around 49 million euros ($55.44 million).,normal
AMOV,America Movil SAB de CV,20150211,America Movil profit plunges on regional currency slumps ,MEXICO CITY Mexico's America Movil said on Tuesday its fourth-quarter profit slumped 82 percent compared with a year earlier  as its exchange rate loss more than doubled after falling global oil prices hammered Latin American currencies.,normal
AMOV,America Movil SAB de CV,20150211,UPDATE 2-America Movil profit plunges on regional currency slumps ,MEXICO CITY  Feb 10 Mexico's America Movil  said on Tuesday its fourth-quarter profit slumped 82 percent compared with a year earlier  as its exchange rate loss more than doubled after falling global oil prices hammered Latin American currencies.,normal
AMOV,America Movil SAB de CV,20150211,America Movil 4th-qtr profit drops 82 pct ,MEXICO CITY  Feb 10 Mexico's America Movil said on Tuesday its fourth-quarter net profit slumped 82 percent compared to a year earlier.,normal
AMOV,America Movil SAB de CV,20150211,America Movil 4th-qtr profit drops 82 pct ,MEXICO CITY  Feb 10 Mexico's America Movil said on Tuesday its fourth-quarter net profit slumped 82 percent compared to a year earlier.,normal
AMX,America Movil SAB de CV,20150211,Deals of the day- Mergers and acquisitions ,Feb 11 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,topStory
AMX,America Movil SAB de CV,20150211,UPDATE 2-America Movil sees cell tower spinoff completed by June ,MEXICO CITY  Feb 11 America Movil's planned spinoff of cellphone towers in Mexico into a new company is at an advanced stage and should be up and running by May or June of this year  Chief Executive Daniel Hajj said on Wednesday.,normal
AMX,America Movil SAB de CV,20150211,RPT-America Movil cellphone tower spinoff to be completed by June -CEO ,MEXICO CITY  Feb 11 Mexican telecoms giant America Movil is still in the process of selling Mexican assets  CEO Daniel Hajj said in an earnings call on Wednesday.,normal
AMX,America Movil SAB de CV,20150211,UPDATE 1-Telekom Austria says has room for acquisitions ,* CEO sees strong Q1 after Q4 loss   (Recasts with CEO comments),normal
AMX,America Movil SAB de CV,20150211,CEO of America Movil unit Telekom Austria says expects strong Q1 ,VIENNA  Feb 11 America Movil unit Telekom Austria expects a strong first quarter  its chief executive Hannes Ametsreiter told a news conference on Wednesday  after the company reported a fourth-quarter loss of around 49 million euros ($55.44 million).,normal
AMX,America Movil SAB de CV,20150211,America Movil profit plunges on regional currency slumps ,MEXICO CITY Mexico's America Movil said on Tuesday its fourth-quarter profit slumped 82 percent compared with a year earlier  as its exchange rate loss more than doubled after falling global oil prices hammered Latin American currencies.,normal
AMX,America Movil SAB de CV,20150211,UPDATE 2-America Movil profit plunges on regional currency slumps ,MEXICO CITY  Feb 10 Mexico's America Movil  said on Tuesday its fourth-quarter profit slumped 82 percent compared with a year earlier  as its exchange rate loss more than doubled after falling global oil prices hammered Latin American currencies.,normal
AMX,America Movil SAB de CV,20150211,America Movil 4th-qtr profit drops 82 pct ,MEXICO CITY  Feb 10 Mexico's America Movil said on Tuesday its fourth-quarter net profit slumped 82 percent compared to a year earlier.,normal
AMX,America Movil SAB de CV,20150211,America Movil 4th-qtr profit drops 82 pct ,MEXICO CITY  Feb 10 Mexico's America Movil said on Tuesday its fourth-quarter net profit slumped 82 percent compared to a year earlier.,normal
ANTM,Anthem Inc,20150211,Anthem offers free identity-theft protection after breach ,Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,topStory
ANTM,Anthem Inc,20150211,Anthem offers free identity-theft protection after breach ,Feb 11 Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,normal
ANTM,Anthem Inc,20150211,U.S. states say Anthem too slow to inform customers of breach ,BOSTON Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTM,Anthem Inc,20150211,UPDATE 2-U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTX,Anthem Inc,20150211,Anthem offers free identity-theft protection after breach ,Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,topStory
ANTX,Anthem Inc,20150211,Anthem offers free identity-theft protection after breach ,Feb 11 Anthem Inc said on Wednesday its millions of customers can sign up for free credit monitoring and identity-theft protection services this week following a massive cyber attack involving stolen U.S. Social Security numbers  birth dates and sensitive health information.,normal
ANTX,Anthem Inc,20150211,U.S. states say Anthem too slow to inform customers of breach ,BOSTON Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
ANTX,Anthem Inc,20150211,UPDATE 2-U.S. states say Anthem too slow to inform customers of breach ,BOSTON  Feb 10 Ten U.S. states have sent a letter to Anthem Inc complaining that the company has been too slow in notifying consumers that they were victims of a massive data breach disclosed last week.,normal
AZN,Astrazeneca PLC,20150211,BRIEF-AstraZeneca to pay $7.9 million to resolve US kickback probe ,Feb 11 AstraZeneca PLC :  * U.S. says Astrazeneca to pay $7.9 million to resolve kickback,topStory
BAC,Bank of America Corporation,20150211,Bank of America's U.S. banking unit helped fund tax-minimization trades: WSJ ,Bank of America Corp used its government-backed U.S. banking unit for years to finance controversial trades that helped clients avoid taxes  the Wall Street Journal reported  citing internal documents and people familiar with the matter.,topStory
BAC,Bank of America Corporation,20150211,BofA's U.S. banking unit helped fund tax-minimization trades-WSJ ,Feb 11 Bank of America Corp used its government-backed U.S. banking unit for years to finance controversial trades that helped clients avoid taxes  the Wall Street Journal reported  citing internal documents and people familiar with the matter.,normal
BAC,Bank of America Corporation,20150211,BRIEF-Bank of America's U.S. deposit-taking unit financed tax trades -WSJ ,* Federally insured U.S. banking unit financed tax trades for hedge funds  others  Wall Street Journal says,normal
BK,Bank Of New York Mellon Corporation (The),20150211,BNY Mellon names new senior wealth director ,Bank of New York Mellon Corp named Judy Barton as a senior wealth director for business development in its Dallas office.,topStory
BK,Bank Of New York Mellon Corporation (The),20150211,MOVES- Pimco  Citigroup  BNY Mellon  Societe Generale  Goldman Sachs ,Feb 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,normal
BK,Bank Of New York Mellon Corporation (The),20150211,MOVES-BNY Mellon names new senior wealth director ,Feb 11 Bank of New York Mellon Corp named Judy Barton as a senior wealth director for business development in its Dallas office.,normal
BGCA,BGC Partners Inc,20150211,MOVES-Interdealer broker BGC says CFO to retire ,Feb 11 U.S. interdealer broker BGC Partners Inc  said Chief Financial Officer Graham Sadler would retire.,topStory
BLK,BlackRock Inc,20150211,UPDATE 1-BlackRock president predicts stocks will still go up ,Feb 11 BlackRock President Rob Kapito said on Wednesday that he is still bullish on equities despite the current high valuations in the market.,topStory
BLK,BlackRock Inc,20150211,BlackRock president Kapito predicts stocks will still go up ,Feb 11 BlackRock President Rob Kapito said on Wednesday that he is still bullish on equities despite the current high valuations in the market.,normal
BA,Boeing Company (The),20150211,UPDATE 1-Boeing says not studying reviving 757 with new engines ,SEATTLE  Feb 11 Boeing Co said on Wednesday it is not studying resurrecting its out-of-production 757 jetliner with new engines to plug a gap in its jetliner lineup between its largest single-aisle plane and its smallest widebody models.,topStory
BA,Boeing Company (The),20150211,Boeing to send more 737 MAX  777X work to South Carolina plant ,NORTH CHARLESTON  S.C. Boeing Co  will send more work to a new aircraft component plant in South Carolina than it had previously announced  company executives said on Wednesday  as the planemaker seeks to reduce labor costs.,normal
BA,Boeing Company (The),20150211,Boeing to send more 737 MAX  777X work to S. Carolina plant ,NORTH CHARLESTON  S.C.  Feb 11 Boeing Co  will send more work to a new aircraft component plant in South Carolina than it had previously announced  company executives said on Wednesday  as the planemaker seeks to reduce labor costs.,normal
BA,Boeing Company (The),20150211,Boeing revamps defense  space unit to tighten programs ,WASHINGTON Boeing Co on Wednesday announced a major restructuring of its defense and space business to tighten oversight of the troubled $52 billion KC-46A aerial tanker and other key development programs  cut costs and keep programs on schedule.,normal
BA,Boeing Company (The),20150211,Boeing revamps defense  space unit to tighten programs ,WASHINGTON  Feb 11 Boeing Co on Wednesday announced a major restructuring of its defense and space business to tighten oversight of the troubled $52 billion KC-46A aerial tanker and other key development programs  cut costs and keep programs on schedule.,normal
BA,Boeing Company (The),20150211,American Airlines says to fly Dreamliner from Dallas to Beijing  Buenos Aires ,Feb 11 American Airlines Group Inc said Wednesday that it will launch newly acquired Boeing Co  787 Dreamliners into service to Beijing  China  and Buenos Aires  Argentina  from its Dallas hub beginning on June 2 and June 4  respectively.,normal
BP,BP plc,20150211,New Issue- BP Capital Markets prices a dual tranche deal ,Underlying govt bond    Over midswaps equivalent to 121.3 bps,topStory
BT,BT Group plc,20150211,FTSE ends lower on weaker commodity stocks  led down by Tullow ,LONDON  Feb 11 Britain's top equity index fell for a fourth straight session on Wednesday  with commodity shares losing ground after crude oil prices dropped and copper prices trimmed gains.,topStory
BT,BT Group plc,20150211,UPDATE 3-Sky shares fall as market weighs English soccer rights gamble ,* Sky to cut costs  increase some customer prices   (Adds background),normal
BT,BT Group plc,20150211,FTSE falls  led down by Tullow  as commodity stocks weaken ,LONDON  Feb 11 Britain's top equity index fell for a fourth straight session on Wednesday  with commodity shares losing ground after crude oil prices dropped and copper prices trimmed gains.,normal
BT,BT Group plc,20150211,Sky leads FTSE down after costly TV soccer rights auction  BT gains ,LONDON  Feb 11 Sky led Britain's top share index lower on Wednesday after paying a record sum to secure TV rights for top English soccer games.,normal
BT,BT Group plc,20150211,Sky leads FTSE down after costly TV soccer rights auction  BT gains ,LONDON  Feb 11 Sky led Britain's top share index lower on Wednesday after paying a record sum to secure TV rights for top English soccer games and fierce rival BT  which pushed Sky into paying a premium for the content  rose 4 percent.,normal
CBS,CBS Corporation,20150211,Hall of Fame basketball coach Jerry Tarkanian dead at 84 ,Jerry Tarkanian  a colorful  towel-chomping Hall of Fame basketball coach who transformed once-obscure University of Nevada-Las Vegas into a national powerhouse and won an NCAA title  died on Wednesday at age 84.,topStory
CX,Cemex SAB de CV,20150211,Mexico's Cemex could sell part of business to pay down debt: CEO ,MONTERREY Mexico's Cemex could sell part of its business in northern Europe  the Mediterranean and Asia as it seeks to pay down debt  the cement giant's CEO told Reuters on Tuesday.,topStory
GIB,CGI Group Inc,20150211,UPDATE 1-Ex Logica manager in UK court on insider trading charges ,LONDON  Feb 11 A former financial planning manager of Logica Plc  an Information Technology services company owned by Canadian peer CGI Group Inc  appeared in a London court on Wednesday to face insider trading charges.,topStory
CVX,Chevron Corporation,20150211,UPDATE 1-Tengizchevroil output seen rising 42 pct by 2021 -minister ,ASTANA  Feb 11 Chevron-led venture Tengizchevroil (TCO)  Kazakhstan's largest oil producer  is expected to boost output by 42 percent to 38 million tonnes by 2021  Kazakh Energy Minister Vladimir Shkolnik said on Wednesday.,topStory
CHS,Chico&#39;s FAS Inc,20150211,UPDATE 1-Market Chatter-Corporate finance press digest ,Feb 11 The following corporate finance-related stories were reported by media:,topStory
CHS,Chico&#39;s FAS Inc,20150211,REFILE-Market Chatter- Corporate finance press digest ,Feb 11 The following corporate finance-related stories were reported by media:,normal
C,Citigroup Inc,20150211,MOVES- Pimco  Citigroup  BNY Mellon  Societe Generale  Goldman Sachs ,Feb 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20150211,MOVES-Citigroup hires Swann as technology head for cards  payments businesses ,Feb 11 Citigroup Inc hired Matt Swann to be head of technology for its global cards and payments businesses  a Citigroup spokeswoman said on Wednesday.,normal
C,Citigroup Inc,20150211,MOVES-Rahman to head corporate finance Sub-Sahara Africa at Citi ,LONDON  Feb 11 (IFR) - Citigroup has appointed Aziz Rahman as head of corporate finance for Sub-Saharan Africa. Subject to work permit approvals in South Africa  he will take up the role on April 1  reporting to head of Africa banking Amin Manekia.,normal
CCV,Comcast Corporation,20150211,Comcast ruling doesn't bar class action bid: 2nd Circuit ,A U.S. appeals court has revived a bid by Applebee's employees in New York to pursue a wage-and-hour suit as a class action  the latest decision to find that a recent Supreme Court ruling that added a hurdle to class certification had been applied too broadly.,topStory
