AERI,Aerie Pharmaceuticals Inc,20150916,Aerie Pharmaceuticals' eye drop succeeds in late-stage study ,Drugmaker Aerie Pharmaceuticals Inc said on Wednesday its experimental eye drop met the main goal of a late-stage study  sending its shares up as much as 65 percent in extended trading.,topStory
CDK,CDK Global Inc,20150916,Exclusive: Elliott seeks partner in taking CDK Global private ,Activist hedge fund Elliott Management Corp is seeking to team up with a private equity firm to take CDK Global Inc  private  according to people familiar with the matter  adding to pressure on the information technology company to sell itself.,topStory
PLCE,Children&#39;s Place Inc (The),20150916,Black children less likely to get pain drugs for appendicitis ,(Reuters Health) - Race appears to affect the odds that a child or teen with appendicitis  a painful condition requiring surgery  will get pain medication  particularly opioid medication  according to a new study.,topStory
CSCO,Cisco Systems Inc,20150916,Cisco router break-ins bypass cyber defenses ,FRANKFURT (Company corrects the 15th paragraph beginning "The malicious programme..." to clarify that the nickname SYNful refers to the signal routers sent to open up communication with other routers  rather than how the implanted software jumps between routers.),topStory
CSCO,Cisco Systems Inc,20150916,CORRECTED-UPDATE 2-Cisco router break-ins bypass cyber defences ,FRANKFURT  Sept 15 Security researchers say they have uncovered clandestine attacks across three continents on the routers that direct traffic around the Internet  potentially allowing suspected cyberspies to harvest vast amounts of data while going undetected.,normal
CMCSA,Comcast Corporation,20150916,Comcast creates new enterprise services unit to target big businesses ,NEW YORK Comcast Corp has set up a new business services division to sell broadband  Wi-Fi  ethernet and other services to large companies in the Fortune 1000 list  hoping to attract new revenue  the U.S. cable and Internet provider said on Wednesday.,topStory
CMCSA,Comcast Corporation,20150916,Comcast creates new enterprise services unit to target big businesses ,NEW YORK  Sept 16 Comcast Corp has set up a new business services division to sell broadband  Wi-Fi  ethernet and other services to large companies in the Fortune 1000 list  hoping to attract new revenue  the U.S. cable and Internet provider said on Wednesday.,normal
EXPE,Expedia Inc,20150916,Expedia  Orbitz win U.S. approval to merge ,WASHINGTON Online travel company Expedia Inc  the world's largest online travel services company by bookings  has won U.S. antitrust approval to buy rival Orbitz Worldwide Inc for $1.3 billion  the Justice Department said on Wednesday.,topStory
EXPE,Expedia Inc,20150916,UPDATE 3-Expedia  Orbitz win U.S. approval to merge ,WASHINGTON  Sept 16 Online travel company Expedia Inc  the world's largest online travel services company by bookings  has won U.S. antitrust approval to buy rival Orbitz Worldwide Inc for $1.3 billion  the Justice Department said on Wednesday.,normal
EXPE,Expedia Inc,20150916,Expedia  Orbitz win U.S. approval to merge ,WASHINGTON  Sept 16 Online travel company Expedia Inc has won U.S. antitrust approval to buy rival Orbitz Worldwide Inc  the Justice Department said on Wednesday.,normal
ITCI,Intra-Cellular Therapies Inc,20150916,Intra-Cellular's schizophrenia drug effective in higher dosage ,Intra-Cellular Therapies Inc said a higher dose of its lead drug was found to be effective in reducing the severity of schizophrenia symptoms in a late-stage study  sending its shares up more than 50 percent in premarket trading.,topStory
ITCI,Intra-Cellular Therapies Inc,20150916,UPDATE 2-Intra-Cellular's schizophrenia drug effective in higher dosage ,* Results from another trial show reduced risks from side effects,normal
IRDM,Iridium Communications Inc,20150916,BRIEF-EQS Group and IR advisory firm Iridium announce partnership for Middle East ,* EQS Group and Dubai-based Investor Relations advisory firm Iridium announce partnership for Middle East  Source text for Eikon:,topStory
IRDMB,Iridium Communications Inc,20150916,BRIEF-EQS Group and IR advisory firm Iridium announce partnership for Middle East ,* EQS Group and Dubai-based Investor Relations advisory firm Iridium announce partnership for Middle East  Source text for Eikon:,topStory
MSFT,Microsoft Corporation,20150916,Microsoft discriminated against women in pay  promotions: U.S. lawsuit ,Microsoft Corp  on Wednesday was hit with a proposed class action lawsuit in U.S. court claiming its policy of ranking employees to determine pay and promotions led to discrimination against women.,topStory
MSFT,Microsoft Corporation,20150916,Microsoft discriminated against women in pay  promotions -U.S. lawsuit ,Microsoft Corp on Wednesday was hit with a proposed class action lawsuit in U.S. court claiming its policy of ranking employees to determine pay and promotions led to discrimination against women.,normal
MSFT,Microsoft Corporation,20150916,Microsoft discriminated against women in pay  promotions -U.S. lawsuit ,Sept 16 Microsoft Corp on Wednesday was hit with a proposed class action lawsuit in U.S. court claiming its policy of ranking employees to determine pay and promotions led to discrimination against women.,normal
MSFT,Microsoft Corporation,20150916,Apple faces hurdles as it positions iPad Pro for business use ,SAN FRANCISCO Apple Inc. faces significant challenges selling its larger and more powerful iPad Pro to businesses because companies are reluctant to switch software vendors and use an expensive device that lacks specialized business apps  analysts said.,normal
MDLZ,Mondelez International Inc,20150916,UPDATE 4-Brewer AB InBev seeks $275 bln tie-up with SABMiller ,* AB InBev will have to pay up to $130 bln including debt-analysts,normal
PTNR,Partner Communications Company Ltd,20150916,Orange  Publicis invest in Israeli video distributor Hola ,TEL AVIV  Sept 16 Israel-based Hola  a video distribution network for publishers  said on Wednesday it raised $17 million in a funding round led by Iris Capital  a strategic partnership between France's Orange  and Publicis Groupe.,normal
GOLD,Randgold Resources Limited,20150916,UPDATE 1-AngloGold to redevelop Ghana mine jointly with Randgold ,JOHANNESBURG  Sept 16 Africa's biggest gold producer AngloGold Ashanti said on Wednesday it has signed a deal with Randgold Resources to jointly redevelop its aging Obuasi mine in Ghana.,topStory
SHPG,Shire plc,20150916,Baxalta executive says will not do defensive M&A ,NEW YORK A top executive at Baxalta Inc   which was approached with a takeover offer from Shire PLC   said on Wednesday the company did not plan to rush into doing a defensive deal to try to fend off its unwanted suitor.,topStory
SHPG,Shire plc,20150916,Baxalta executive says will not do defensive M&A ,NEW YORK  Sept 16 A top executive at Baxalta Inc   which was approached with a takeover offer from Shire PLC  said on Wednesday the company did not plan to rush into doing a defensive deal to try to fend off its unwanted suitor.,normal
SYMC,Symantec Corporation,20150916,EU mergers and takeovers (Sept 16) ,BRUSSELS  Sept 16 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
TICC,TICC Capital Corp,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 million ,TPG Specialty Lending Inc  has offered to buy TICC Capital Corp  in an all-stock deal valued at $525 million.,topStory
TICC,TICC Capital Corp,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 mln ,Sept 16 TPG Specialty Lending Inc has offered to buy TICC Capital Corp in an all-stock deal valued at $525 million.,normal
TICCL,TICC Capital Corp,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 million ,TPG Specialty Lending Inc  has offered to buy TICC Capital Corp  in an all-stock deal valued at $525 million.,topStory
TICCL,TICC Capital Corp,20150916,TPG Specialty Lending offers to buy TICC Capital for $525 mln ,Sept 16 TPG Specialty Lending Inc has offered to buy TICC Capital Corp in an all-stock deal valued at $525 million.,normal
FOX,Twenty-First Century Fox Inc,20150916,News Corp to acquire video ad technology company Unruly ,News Corp said it would buy Unruly Holdings Ltd  a UK-based video advertisement technology company  giving it the technology that analyzes historical sharing behavior to predict the potential for video ads to go viral.,topStory
FOX,Twenty-First Century Fox Inc,20150916,UPDATE 1-News Corp to acquire video ad technology company Unruly ,Sept 16 News Corp said it would buy Unruly Holdings Ltd  a UK-based video advertisement technology company  giving it the technology that analyzes historical sharing behavior to predict the potential for video ads to go viral.,normal
FOX,Twenty-First Century Fox Inc,20150916,News Corp to acquire ad technology company Unruly ,Sept 16 News Corp said it would acquire Unruly Holdings Ltd  a global advertisement technology company  for 58 million pounds ($89.60 million) in cash.,normal
FOXA,Twenty-First Century Fox Inc,20150916,News Corp to acquire video ad technology company Unruly ,News Corp said it would buy Unruly Holdings Ltd  a UK-based video advertisement technology company  giving it the technology that analyzes historical sharing behavior to predict the potential for video ads to go viral.,topStory
FOXA,Twenty-First Century Fox Inc,20150916,UPDATE 1-News Corp to acquire video ad technology company Unruly ,Sept 16 News Corp said it would buy Unruly Holdings Ltd  a UK-based video advertisement technology company  giving it the technology that analyzes historical sharing behavior to predict the potential for video ads to go viral.,normal
FOXA,Twenty-First Century Fox Inc,20150916,News Corp to acquire ad technology company Unruly ,Sept 16 News Corp said it would acquire Unruly Holdings Ltd  a global advertisement technology company  for 58 million pounds ($89.60 million) in cash.,normal
XNCR,Xencor Inc,20150916,BRIEF-Amgen says co  Xencor announce collaboration in cancer immunotherapy and inflammation ,* Amgen and Xencor announce strategic collaboration in cancer immunotherapy and inflammation,topStory
ABBV,AbbVie Inc,20150916,MOVES-JPMorgan North America M&A co-head Gosebruch leaving for AbbVie ,Sept 16 Henry Gosebruch  a co-head of North America M&A at JPMorgan Chase & Co  is leaving the investment bank to join biopharmaceutical company AbbVie Inc  as chief strategy officer  leaving Anu Aiyengar as sole North America M&A head.,topStory
ABBV,AbbVie Inc,20150916,AbbVie drug reduces bleeding in uterine fibroid patients ,AbbVie Inc said preliminary results from a mid-stage study showed that its experimental drug reduced heavy menstrual bleeding in women suffering from uterine fibroids.,normal
ABBV,AbbVie Inc,20150916,AbbVie drug reduces bleeding in uterine fibroid patients ,Sept 16 AbbVie Inc said preliminary results from a mid-stage study showed that its experimental drug reduced heavy menstrual bleeding in women suffering from uterine fibroids.,normal
AJRD,Aerojet Rocketdyne Holdings Inc ,20150916,Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,topStory
APD,Air Products and Chemicals Inc,20150916,Air Products to spin off materials technologies business ,Industrial gas producer Air Products and Chemicals Inc said it planned to spin off its materials technologies business into a publicly traded company before September 2016.,topStory
APD,Air Products and Chemicals Inc,20150916,UPDATE 1-Air Products to spin off materials technologies business ,Sept 16 Industrial gas producer Air Products and Chemicals Inc said it planned to spin off its materials technologies business into a publicly traded company before September 2016.,normal
APD,Air Products and Chemicals Inc,20150916,Air Products to spin-off materials technologies business ,Sept 16 Air Products and Chemicals Inc  said on Wednesday it planned to spin-off its materials technologies business into a publicly traded company before September next year.,normal
BABA,Alibaba Group Holding Limited,20150916,BRIEF-Konka signs agreement with Alibaba's online platform T-mall ,* Says signs agreement with Alibaba Group Holding's  online platform T-mall,topStory
BABA,Alibaba Group Holding Limited,20150916,UPDATE 1-Ride-hailing services Lyft  Didi link apps ,SAN FRANCISCO  Sept 16 Ride-hailing company Lyft announced on Wednesday a partnership with China's largest car-hailing company Didi Kuaidi that allows each company to serve the other's passengers and aligns them against a common competitor: Uber.,normal
AU,AngloGold Ashanti Limited,20150916,UPDATE 1-AngloGold to redevelop Ghana mine jointly with Randgold ,JOHANNESBURG  Sept 16 Africa's biggest gold producer AngloGold Ashanti said on Wednesday it has signed a deal with Randgold Resources to jointly redevelop its aging Obuasi mine in Ghana.,topStory
BUD,Anheuser-Busch Inbev SA,20150916,Factbox: AB InBev and SABMiller  the world's two biggest brewers ,Anheuser-Busch InBev   the world's largest brewer  has approached nearest rival SABMiller  about a takeover that would bring together a third of the world's commercial beer production.,topStory
BUD,Anheuser-Busch Inbev SA,20150916,Deals of the day- Mergers and acquisitions ,Sept 16 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Wednesday:,normal
BUD,Anheuser-Busch Inbev SA,20150916,TIMELINE-SABMiller would be culmination of years of deals for AB Inbev ,Sept 16 Anheuser-Busch InBev has approached rival SABMiller about a takeover that would form a brewing group producing a third of the world's beer.,normal
BUD,Anheuser-Busch Inbev SA,20150916,European shares end higher led by SABMiller  eyes on Fed ,MILAN  Sept 16 European shares ended higher for a second session on Wednesday  with M&A hopes sending SABMiller  and InBev up sharply  while investors remained cautious ahead of the Federal Reserve's interest rate decision.,normal
BUD,Anheuser-Busch Inbev SA,20150916,European shares rise led by SABMiller  eyes on Fed decision ,MILAN  Sept 16 European shares were higher for a second session on Wednesday  with M&A hopes sending SABMiller  and InBev sharply higher  while investors remained cautious ahead of the Federal Reserve's interest rate decision.,normal
BUD,Anheuser-Busch Inbev SA,20150916,SABMiller rally helps Britain's FTSE to gain sharply ,LONDON  Sept 16 Britain's top share index rose on Wednesday  with SABMiller surging about 20 percent after news that AB InBev  the world's largest brewer  was to make an offer to acquire the British firm  the world's No. 2.,normal
BUD,Anheuser-Busch Inbev SA,20150916,LPC-AB InBev raises lenders' hopes for jumbo financing ,LONDON  Sept 16 The European loan market is pinning its hopes on a potential jumbo loan financing backing the merger of the world's largest brewer AB InBev and SABMiller  almost a year since the merger was last seriously considered  banking sources said.,normal
BUD,Anheuser-Busch Inbev SA,20150916,BUZZ-European beverage sector: in high spirits ,** Spirits stocks up between 2-20 pct after Anheuser-Busch InBev announces planned offer for SABMiller,normal
BUD,Anheuser-Busch Inbev SA,20150916,European shares climb; SABMiller  InBev boosted by M&A hopes ,LONDON/MILAN  Sept 16 European shares were higher at midday on Wednesday  with M&A hopes sending SABMiller  and InBev sharply higher while the broader market was underpinned by overnight gains on Wall Street and in Asia.,normal
BUD,Anheuser-Busch Inbev SA,20150916,BRIEF-Trading on AB Inbev shares/warrants/derivatives to resume as of 12:15 - FSMA ,* Restoration of the shares/warrants/derivatives Anheuser-Busch Inbev,normal
AZN,Astrazeneca PLC,20150916,Department of Health and Human Services  AstraZeneca to develop antibiotics ,The U.S. Department of Health and Human Services (HHS) said on Wednesday it signed a deal with British drugmaker AstraZeneca Plc to develop antibiotics.,topStory
AZN,Astrazeneca PLC,20150916,Dept of Health and Human Services  AstraZeneca to develop antibiotics ,Sept 16 The U.S. Department of Health and Human Services (HHS) said on Wednesday it signed a deal with British drugmaker AstraZenaca Plc to develop antibiotics.,normal
BBL,BHP Billiton plc,20150916,Glencore in talks on streaming deals on Chile  Peru mines -sources ,TORONTO  Sept 16 Glencore is in talks with Franco-Nevada Corp  Silver Wheaton Corp  Royal Gold Inc and two other companies to sell portions of the future production of three South American copper mines  two sources with knowledge of the talks said.,normal
BA,Boeing Company (The),20150916,Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md. Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc  for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp .,topStory
BA,Boeing Company (The),20150916,UPDATE 3-Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,normal
BA,Boeing Company (The),20150916,Boeing rejects Aerojet Rocketdyne bid for ULA launch venture ,NATIONAL HARBOR  Md.  Sept 16 Boeing Co  on Wednesday said it had rejected an unsolicited bid from Aerojet Rocketdyne Holdings Inc for United Launch Alliance  a 50-50 rocket launch venture of Boeing and Lockheed Martin Corp.,normal
BA,Boeing Company (The),20150916,Boeing appoints new business heads for Turkey and Qatar ,DUBAI  Sept 16 Boeing has appointed new heads of its business in Qatar and Turkey  the U.S. aerospace giant said on Wednesday.,normal
BA,Boeing Company (The),20150916,Boeing KC-46A tanker to make first flight on Sept. 25: U.S. Air Force ,NATIONAL HARBOR  Md. Boeing Co's first fully equipped KC-46A refueling plane is scheduled to complete its first flight on Sept. 25  the Air Force general in charge of tanker programs said Tuesday.,normal
BA,Boeing Company (The),20150916,UPDATE 1-Boeing KC-46A tanker to make 1st flight on Sept. 25 -US Air Force ,NATIONAL HARBOR  Md.  Sept 15 Boeing Co's  first fully equipped KC-46A refueling plane is scheduled to complete its first flight on Sept. 25  the Air Force general in charge of tanker programs said Tuesday.,normal
C,Citigroup Inc,20150916,Citigroup CFO expects 5 percent decline in third-quarter markets revenue ,NEW YORK Citigroup Inc  expects its third-quarter markets revenue to fall by about 5 percent from a year earlier  Chief Financial Officer John Gerspach said on Wednesday.,topStory
C,Citigroup Inc,20150916,Citigroup CFO expects 5 pct decline in 3rd-quarter markets revenue ,NEW YORK  Sept 16 Citigroup Inc expects its third-quarter markets revenue to fall by about 5 percent from a year earlier  Chief Financial Officer John Gerspach said on Wednesday.,normal
CCV,Comcast Corporation,20150916,Comcast creates new enterprise services unit to target big businesses ,NEW YORK Comcast Corp has set up a new business services division to sell broadband  Wi-Fi  ethernet and other services to large companies in the Fortune 1000 list  hoping to attract new revenue  the U.S. cable and Internet provider said on Wednesday.,topStory
CCV,Comcast Corporation,20150916,Comcast creates new enterprise services unit to target big businesses ,NEW YORK  Sept 16 Comcast Corp has set up a new business services division to sell broadband  Wi-Fi  ethernet and other services to large companies in the Fortune 1000 list  hoping to attract new revenue  the U.S. cable and Internet provider said on Wednesday.,normal
CVS,CVS Health Corporation,20150916,CVS Health in $48 million settlement of lawsuit over hiding loss ,CVS Health Corp reached a $48 million settlement of a lawsuit accusing the U.S. drugstore operator of fraudulently concealing a big loss of revenue in its pharmacy benefits manager business  culminating in a plunge in its stock price.,topStory
CVS,CVS Health Corporation,20150916,CVS Health in $48 million settlement of lawsuit over hiding loss ,CVS Health Corp  reached a $48 million settlement of a lawsuit accusing the U.S. drugstore operator of fraudulently concealing a big loss of revenue in its pharmacy benefits manager business  culminating in a plunge in its stock price.,normal
CVS,CVS Health Corporation,20150916,UPDATE 1-CVS Health in $48 million settlement of lawsuit over hiding loss ,Sept 16 CVS Health Corp reached a $48 million settlement of a lawsuit accusing the U.S. drugstore operator of fraudulently concealing a big loss of revenue in its pharmacy benefits manager business  culminating in a plunge in its stock price.,normal
CVS,CVS Health Corporation,20150916,CVS Health in $48 million settlement of lawsuit over stock plunge ,Sept 16 CVS Health Corp reached a $48 million settlement of a lawsuit accusing the U.S. drugstore operator of fraudulently concealing a big loss of revenue in its pharmacy benefits manager business  culminating in a plunge in its stock price.,normal
DEO,Diageo plc,20150916,BUZZ-European beverage sector: in high spirits ,** Spirits stocks up between 2-20 pct after Anheuser-Busch InBev announces planned offer for SABMiller,topStory
EC,Ecopetrol SA,20150916,Ecopetrol and Occidental to increase output at Colombia's La Cira field ,BOGOTA  Sept 16 Colombia's state-run oil company Ecopetrol and U.S.-based Occidental Petroleum Co  will invest up to $2 billion over 10 years to increase production at the La Cira-Infantas oil field  in a bid to reach output of 50 000 barrels per day  Ecopetrol said on Wednesday.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20150916,UPDATE 1-AIRSHOW-China's hefty duties hurt locally built foreign jets - Embraer ,BEIJING  Sept 16 China's heavy import duty is hurting the competitiveness of locally assembled foreign airplanes  Embraer SA's country head said on Wednesday  and that the company was in talks with the government to resolve the matter.,topStory
FDX,FedEx Corporation,20150916,FedEx profit misses expectations  lowers earnings forecast ,CHICAGO Package delivery company FedEx Corp  posted a higher quarterly profit on Wednesday  but missed Wall Street expectations due to weak global economic conditions and the strong U.S. dollar. | Video ,topStory
FDX,FedEx Corporation,20150916,UPDATE 2-FedEx profit misses expectations  lowers earnings forecast ,CHICAGO  Sept 16 Package delivery company FedEx Corp posted a higher quarterly profit on Wednesday  but missed Wall Street expectations due to weak global economic conditions and the strong U.S. dollar.,normal
FDX,FedEx Corporation,20150916,FedEx quarterly earnings rise  miss Wall Street estimates ,CHICAGO  Sept 16 Package delivery company FedEx Corp on Wednesday reported a higher quarterly net profit  but missed Wall Street estimates as weak global economic conditions and the strong U.S. dollar weighed on results.,normal
FCAU,Fiat Chrysler Automobiles NV,20150916,UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150916,UPDATE 3-UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT  Sept 15 A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,normal
F,Ford Motor Company,20150916,UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,normal
F,Ford Motor Company,20150916,UPDATE 3-UAW  Fiat Chrysler reach tentative U.S. labor pact ,DETROIT  Sept 15 A tentative labor contract covering 40 000 U.S. workers at Fiat Chrysler Automobiles NV   could eventually end a controversial two-tier pay system and could offer a new approach to curbing medical costs  the company's chief executive officer said Tuesday.,normal
FNV,Franco-Nevada Corporation,20150916,Glencore in talks on streaming deals on Chile  Peru mines -sources ,TORONTO  Sept 16 Glencore is in talks with Franco-Nevada Corp  Silver Wheaton Corp  Royal Gold Inc and two other companies to sell portions of the future production of three South American copper mines  two sources with knowledge of the talks said.,normal
GEH,General Electric Capital Corporation,20150916,GE executive says no intent to split off healthcare businesses ,General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,topStory
GEH,General Electric Capital Corporation,20150916,GE exec says no intent to split off healthcare businesses ,Sept 16 General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,normal
GEH,General Electric Capital Corporation,20150916,GE sells $3.7 billion UK home loan portfolio to Kensington Mortgage ,General Electric Co  said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GEH,General Electric Capital Corporation,20150916,GE sells $3.7 bln UK home loan portfolio to Kensington Mortgage ,Sept 16 General Electric Co said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
GEH,General Electric Capital Corporation,20150916,Polish billionaire plans to sell debt collector to raise cash for BPH-report ,WARSAW  Sept 16 Polish billionaire Leszek Czarnecki is planning to sell debt collecting company GetBack to help raise cash to buy Bank BPH from General Electric (GE)  the Puls Biznesu daily said on Wednesday.,normal
GEK,General Electric Capital Corporation,20150916,GE executive says no intent to split off healthcare businesses ,General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,topStory
GEK,General Electric Capital Corporation,20150916,GE exec says no intent to split off healthcare businesses ,Sept 16 General Electric Co has no intent to split off any significant parts of its healthcare business  GE's head of the unit said on Wednesday  and that "all aspects" of the $18 billion division are part of the company's portfolio.,normal
GEK,General Electric Capital Corporation,20150916,GE sells $3.7 billion UK home loan portfolio to Kensington Mortgage ,General Electric Co  said on Wednesday it had sold a $3.7 billion portfolio of loans from its British home lending business to private equity-backed Kensington Mortgage Co Ltd as it continues to shrink its financing arm  GE Capital.,normal
