BIDU,Baidu Inc,20150703,Fitch Rates Baidu's Notes Final 'A' ,(The following statement was released by the rating agency) HONG KONG/SYDNEY/SINGAPORE  July 02 (Fitch) Fitch Ratings has assigned Baidu  Inc.'s (Baidu; A/Stable) USD750m 3.000% senior unsecured notes due 2020 and  USD500m 4.125% senior unsecured notes due 2025 final ratings of 'A'. The assignment of the final ratings follows the receipt of documents conforming  to information already received. The final ratings are in line with the expected  rating assigned on 23 June 2015. The notes are rated ,topStory
AET,Aetna Inc,20150703,Aetna to buy Humana for $37 billion in largest insurance deal ,Health insurer Aetna Inc  on Friday said it would buy smaller rival Humana Inc  for about $37 billion in cash and stock  in the largest ever deal in the insurance industry.,normal
AET,Aetna Inc,20150703,UPDATE 7-Aetna to buy Humana for $37 bln in largest insurance deal ,July 3 Health insurer Aetna Inc on Friday said it would buy smaller rival Humana Inc for about $37 billion in cash and stock  in the largest ever deal in the insurance industry.,normal
AET,Aetna Inc,20150703,Aetna to buy Humana for $37 bln in cash and stock ,July 3 Health insurer Aetna Inc said it will buy Humana Inc for about $37 billion  or about $230 per share  in a cash-and-stock deal.,normal
AET,Aetna Inc,20150703,CORRECTED-UPDATE 4-Aetna nears deal to buy Humana for about $34 bln -sources ,July 2 U.S health insurer Aetna Inc is nearing an agreement to buy rival Humana Inc for about $34 billion in a cash and stock deal  people familiar with the matter told Reuters on Thursday.,normal
AET,Aetna Inc,20150703,Aetna nears deal to buy Humana at $230 a share -sources ,July 2 U.S health insurer Aetna Inc is nearing an agreement to buy rival Humana Inc in a cash and stock deal  two people familiar with the matter told Reuters on Thursday.,normal
AA,Alcoa Corporation,20150703,Metals investors look for miners to cut supplies to lift prices ,LONDON  July 3 Investors in industrial metals will keep a close watch on miners' results in coming weeks for possible announcements of production cutbacks that could bolster weak prices.,topStory
AA,Alcoa Corporation,20150703,Japan Q3 aluminium premiums mostly set at six-year low of $100/T -sources ,TOKYO  July 3 Japan's aluminium premiums for July-September shipments were mostly set at a six-year low of $100 per tonne  plunging 74 percent from the previous quarter due to a supply glut  five sources directly involved in the talks said.,normal
BABA,Alibaba Group Holding Limited,20150703,Alibaba arm Ant Financial completes private placement of shares ,BEIJING  July 3 Ant Financial Services Group  the finance arm of China's biggest e-commerce company Alibaba Group Holding Ltd  said on Friday it had completed a private placement of shares that state media had said was seeking to raise up to $4 billion.,topStory
BCS,Barclays PLC,20150703,Barclays eyes narrow new UK bank as rivals take different path ,* UK banks must "ring-fence" units to protect savers  taxpayers,topStory
BCS,Barclays PLC,20150703,Barclays picks KPMG as first new auditor in 120 years ,LONDON  July 3 Barclays has picked KPMG  as its first new auditor in 120 years after new rules encouraged a shake-up in Britain's auditing landscape.,normal
BCS,Barclays PLC,20150703,BRIEF-Barclays says to appoint KPMG as its auditor for year ending Dec 31  2017 ,* Announces its intention to appoint KPMG as its auditor for year ending 31 December 2017.,normal
BBL,BHP Billiton plc,20150703,Metals investors look for miners to cut supplies to lift prices ,LONDON  July 3 Investors in industrial metals will keep a close watch on miners' results in coming weeks for possible announcements of production cutbacks that could bolster weak prices.,normal
BBL,BHP Billiton plc,20150703,Japan Q3 aluminium premiums mostly set at six-year low of $100/T -sources ,TOKYO  July 3 Japan's aluminium premiums for July-September shipments were mostly set at a six-year low of $100 per tonne  plunging 74 percent from the previous quarter due to a supply glut  five sources directly involved in the talks said.,normal
BP,BP plc,20150703,BUZZ-BP: market cheers Gulf spill settlement ,**  BP shares up c.2 pct  after rising 5 pct yesterday  following news of its settlement to resolve claims from its Gulf of Mexico oil spill five years ago,topStory
BP,BP plc,20150703,Factbox: BP's $18.7 billion oil spill deal by the numbers ,HOUSTON BP Plc has reached an $18.7 billion deal with the U.S government and five states to settle litigation stemming from its deadly 2010 Gulf of Mexico oil well blowout and explosion that killed 11 men and unleashed the worst spill in U.S. history.,normal
BP,BP plc,20150703,Factbox: BP settlement payouts to coastal states in 2010 oil spill ,BP Plc's agreed to pay out $18.7 billion to the U.S. government and five coastal states to settle damages claims from the 2010 Gulf of Mexico spill.,normal
BP,BP plc,20150703,Timeline: BP oil spill  litigation at a glance ,BP Plc reached a $18.7 billion settlement to end five years of litigation following the 2010 Gulf of Mexico oil spill. It is the largest settlement with a single entity in U.S. history  the U.S. Department of Justice said.,normal
BP,BP plc,20150703,BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON BP Plc will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,normal
CVX,Chevron Corporation,20150703,BRIEF-Subsea 7 awarded emergency pipeline repair contracts offshore Australia ,* Says has been awarded four contracts by Chevron  and INPEX (operator of the Ichthys LNG Project)  for the engineering  procurement and construction of an Emergency Pipeline Repair System (EPRS) to be used offshore Australia,topStory
SNP,China Petroleum & Chemical Corporation,20150703,CNOOC's new output to lift China's oil production from 2014 record ,BEIJING  July 3 China's crude oil output looks set to rise this year from a record in 2014 as new production from third largest producer CNOOC helps to counter reductions from its two bigger rivals.,topStory
CI,Cigna Corporation,20150703,UPDATE 1-Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,topStory
CEO,CNOOC Limited,20150703,CNOOC's new output to lift China's oil production from 2014 record ,BEIJING  July 3 China's crude oil output looks set to rise this year from a record in 2014 as new production from third largest producer CNOOC helps to counter reductions from its two bigger rivals.,topStory
KO,Coca-Cola Company (The),20150703,Greek bank closures may deplete supermarket shelves ,LONDON/ATHENS  July 3 A halt to international payments from Greek bank accounts is hurting Greek businesses and their foreign partners and threatening supplies of vital goods like food and clothing into the debt-crippled country.,normal
PLOW,Douglas Dynamics Inc,20150703,EU mergers and takeovers (July 3) ,BRUSSELS  July 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
XOM,Exxon Mobil Corporation,20150703,Exxon Mobil ends oil exploration in Madagascar after poor finds: minister ,ANTANANARIVO Exxon Mobil Corp has ended its oil exploration in Madagascar after disappointing findings in its off-shore blocks  the Malagasy Mining and Petroleum Minister said on Friday.,topStory
XOM,Exxon Mobil Corporation,20150703,Exxon Mobil ends oil exploration in Madagascar after poor finds -minister ,ANTANANARIVO  July 3 Exxon Mobil Corp  has ended its oil exploration in Madagascar after disappointing findings in its off-shore blocks  the Malagasy Mining and Petroleum Minister said on Friday.,normal
GEH,General Electric Capital Corporation,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEH,General Electric Capital Corporation,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEH,General Electric Capital Corporation,20150703,EU mergers and takeovers (July 3) ,BRUSSELS  July 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEK,General Electric Capital Corporation,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEK,General Electric Capital Corporation,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEK,General Electric Capital Corporation,20150703,EU mergers and takeovers (July 3) ,BRUSSELS  July 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GE,General Electric Company,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GE,General Electric Company,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GE,General Electric Company,20150703,EU mergers and takeovers (July 3) ,BRUSSELS  July 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEB,General Electric Company,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEB,General Electric Company,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
GEB,General Electric Company,20150703,EU mergers and takeovers (July 3) ,BRUSSELS  July 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEL,Genesis Energy LP,20150703,BRIEF-Genesis Energy's shares trading suspended by WSE ,* Said on Thursday it suspended trading of Genesis Energy's shares until the end of the trading day on which the company signs a contract with an authorised advisor and reports about it as required,topStory
GS,Goldman Sachs Group Inc (The),20150703,UPDATE 3-UberPOP halts service in France after clampdown  protests ,* Two Uber execs face French trial in September   (Adds govt  taxi federation reactions),normal
GS,Goldman Sachs Group Inc (The),20150703,CORRECTED-UPDATE 4-Aetna nears deal to buy Humana for about $34 bln -sources ,July 2 U.S health insurer Aetna Inc is nearing an agreement to buy rival Humana Inc for about $34 billion in a cash and stock deal  people familiar with the matter told Reuters on Thursday.,normal
HAL,Halliburton Company,20150703,Timeline: BP oil spill  litigation at a glance ,BP Plc reached a $18.7 billion settlement to end five years of litigation following the 2010 Gulf of Mexico oil spill. It is the largest settlement with a single entity in U.S. history  the U.S. Department of Justice said.,normal
HSBC,HSBC Holdings plc,20150703,China's services activity slows to five-month low  jobs shed - HSBC/Markit PMI ,BEIJING Activity in China's services sector slowed to its lowest in five months in June  a private survey showed on Friday  suggesting the economy still needs further policy support despite some signs of steadying.,topStory
HSBC,HSBC Holdings plc,20150703,UPDATE 1-China's services activity slows to 5-month low  jobs shed-HSBC/Markit PMI ,* Weak manufacturing  slowing services seen prompting stimulus,normal
HSEA,HSBC Holdings plc,20150703,China's services activity slows to five-month low  jobs shed - HSBC/Markit PMI ,BEIJING Activity in China's services sector slowed to its lowest in five months in June  a private survey showed on Friday  suggesting the economy still needs further policy support despite some signs of steadying.,topStory
HSEA,HSBC Holdings plc,20150703,UPDATE 1-China's services activity slows to 5-month low  jobs shed-HSBC/Markit PMI ,* Weak manufacturing  slowing services seen prompting stimulus,normal
HSEB,HSBC Holdings plc,20150703,China's services activity slows to five-month low  jobs shed - HSBC/Markit PMI ,BEIJING Activity in China's services sector slowed to its lowest in five months in June  a private survey showed on Friday  suggesting the economy still needs further policy support despite some signs of steadying.,topStory
HSEB,HSBC Holdings plc,20150703,UPDATE 1-China's services activity slows to 5-month low  jobs shed-HSBC/Markit PMI ,* Weak manufacturing  slowing services seen prompting stimulus,normal
HUM,Humana Inc,20150703,UPDATE 1-Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,topStory
HUM,Humana Inc,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
HUM,Humana Inc,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
HUM,Humana Inc,20150703,Aetna to buy Humana for $37 billion in largest insurance deal ,Health insurer Aetna Inc  on Friday said it would buy smaller rival Humana Inc  for about $37 billion in cash and stock  in the largest ever deal in the insurance industry.,normal
HUM,Humana Inc,20150703,UPDATE 7-Aetna to buy Humana for $37 bln in largest insurance deal ,July 3 Health insurer Aetna Inc on Friday said it would buy smaller rival Humana Inc for about $37 billion in cash and stock  in the largest ever deal in the insurance industry.,normal
HUM,Humana Inc,20150703,Aetna to buy Humana for $37 bln in cash and stock ,July 3 Health insurer Aetna Inc said it will buy Humana Inc for about $37 billion  or about $230 per share  in a cash-and-stock deal.,normal
HUM,Humana Inc,20150703,CORRECTED-UPDATE 4-Aetna nears deal to buy Humana for about $34 bln -sources ,July 2 U.S health insurer Aetna Inc is nearing an agreement to buy rival Humana Inc for about $34 billion in a cash and stock deal  people familiar with the matter told Reuters on Thursday.,normal
HUM,Humana Inc,20150703,Aetna nears deal to buy Humana at $230 a share -sources ,July 2 U.S health insurer Aetna Inc is nearing an agreement to buy rival Humana Inc in a cash and stock deal  two people familiar with the matter told Reuters on Thursday.,normal
JPM,J P Morgan Chase & Co,20150703,BUZZ-Cobham: rallies off YTD lows after upgrade at JP Morgan ,** British engineer Cobham rises 1.8 pct after upgrade to "overweight" from "neutral" by JP Morgan,topStory
MSCI,MSCI Inc,20150703,China market meddling risks denting Beijing's international ambitions ,* Beijing using monetary policy  regulation to stem market slide,topStory
PTR,PetroChina Company Limited,20150703,CNOOC's new output to lift China's oil production from 2014 record ,BEIJING  July 3 China's crude oil output looks set to rise this year from a record in 2014 as new production from third largest producer CNOOC helps to counter reductions from its two bigger rivals.,topStory
PII,Polaris Industries Inc,20150703,Polaris aims to buy and delist ferry group Mols-Linien ,COPENHAGEN  July 3 Copenhagen-based private equity firm Polaris said it had made a binding offer to acquire all outstanding shares in Danish ferry company Mols-Linien  and planned to delist the company from the stock exchange.,topStory
POT,Potash Corporation of Saskatchewan Inc,20150703,K+S says no basis for talks suggested by Potash Corp ,FRANKFURT  July 3 German potash miner K+S  on Friday rebuffed Potash Corp's overture to engage in talks over its proposed 7.85 billion euro ($8.72 billion) takeover.,topStory
POT,Potash Corporation of Saskatchewan Inc,20150703,UPDATE 1-Potash Corp says to address K+S's concerns about tie-up ,* K+S shares jump 4.5 percent   (Adds shares  analyst comment),normal
RIO,Rio Tinto Plc,20150703,Metals investors look for miners to cut supplies to lift prices ,LONDON  July 3 Investors in industrial metals will keep a close watch on miners' results in coming weeks for possible announcements of production cutbacks that could bolster weak prices.,normal
RIO,Rio Tinto Plc,20150703,Japan Q3 aluminium premiums mostly set at six-year low of $100/T -sources ,TOKYO  July 3 Japan's aluminium premiums for July-September shipments were mostly set at a six-year low of $100 per tonne  plunging 74 percent from the previous quarter due to a supply glut  five sources directly involved in the talks said.,normal
RBS,Royal Bank Scotland plc (The),20150703,RBS could face $13 billion bill in U.S. mortgage bond case -court filings ,LONDON  July 3 State-backed Royal Bank of Scotland may need to pay $13 billion to settle claims it misled investors in mortgage-backed securities  according to documents filed in a U.S. court.,topStory
SNY,Sanofi,20150703,BRIEF-Sanofi's new basal insulin lantus xr aproved in Japan ,* Says new basal insulin lantus xr  known as toujeo in the u.s. and Europe approved in Japan for the treatment of diabetes mellitus.  Source text for Eikon:  Further company coverage:    (Reporting By Dominique Vidalon),topStory
SNY,Sanofi,20150703,European Factors to Watch - Shares seen mixed with Greek vote  PMIs in focus ,(Adds futures  detail  company news)     LONDON  July 3 European stocks were seen opening mixed on Friday ahead of economic survey data later in the session  with focus on the Greek debt crisis heading into a crunch vote at the weekend.     As angry and uncertain voters prepare for a referendum on Sunday that could decide Greece's future in Europe  the International Monetary Fund delivered a stark warning on Thursday of the huge financial hole facing the country.       A new opini,normal
SNY,Sanofi,20150703,Zhejiang Hisun Pharma teams up Sanofi on developing diabetes-related treatment ,* Says signed non-binding MOU with Sanofi SA to set up a joint venture in China focusing on developing insulin and diabetes-related treatment,normal
SC,Santander Consumer USA Holdings Inc,20150703,BRIEF-Santander to buy DDFS's stake in Santander Consumer USA for $928 mln ,* Has reached an agreement to acquire stake held by DDFS LLC in Santander Consumer Usa Holdings Inc ("SCUSA")  representing 9.68 pct of such company,topStory
SC,Santander Consumer USA Holdings Inc,20150703,BRIEF-Santander to buy DDFS's 9.68 percent stake in U.S arm for $928 mln ,* Says it has agreed to buy DDFS's 9.68 percent stake in Santander Consumer USA Holdings (SCUSA) for $928 million,normal
SMFG,Sumitomo Mitsui Financial Group Inc,20150703,Japan's SMFG plans lower shareholdings in client firms - source ,TOKYO  July 3 Japan's Sumitomo Mitsui Financial Group Inc (SMFG) is considering setting a numerical target to reduce ownership of shares in client companies  a source familiar with the matter said on Friday.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20150703,Taiwan stocks fall amid Greece troubles; heavyweights slide ,TAIPEI  July 3 Taiwan stocks fell 0.7 percent in early trade on Friday  led by declines in heavyweights such as TSMC  as investors stayed cautious ahead of Greece's weekend referendum which may decide its future in Europe.     About 15 minutes into trade  the main TAIEX index  had fallen to 9 310.12  after closing flat in the prior session.     Taiwan Semiconductor Manufacturing Co (TSMC)  the world's top contract chip maker  was off 0.4 percent. Largan Precision   camera module supp,topStory
TDOC,Teladoc Inc,20150703,Wall St. edged down on Greece worries  tepid U.S. data ,U.S. stocks closed down slightly on Thursday after the International Monetary Fund warned Greece ahead of its Sunday referendum that it faces a huge financial hole  and mixed jobs data dampened the U.S. economic outlook. | Video ,topStory
BX,The Blackstone Group LP,20150703,MOVES-C.Suisse banker leaving for Blackstone as Greater China chair -sources ,LONDON/HONG KONG July 3 Private-equity firm Blackstone Group LP has hired Liping Zhang as its chairman for Greater China  sources familiar with the move said on Friday.,topStory
BX,The Blackstone Group LP,20150703,Blackstone hires ex-Credit Suisse executive as Greater China chairman-sources ,July 3 Private equity firm Blackstone Group LP  has hired Liping Zhang as its chairman for Greater China  sources familiar with the move said on Friday.,normal
TM,Toyota Motor Corp Ltd Ord,20150703,THAILAND PRESS-Toyota Thai unit aims to export more pickup trucks - Bangkok Post ,The Thai unit of Japan's Toyota Motor Corp aims to boost more exports in the second half  particularly of pickup trucks  to offset sluggish local sales  the Bangkok Post reported.,topStory
UNH,UnitedHealth Group Incorporated,20150703,Aetna’s Humana deal to bring scrutiny on other insurer tie-ups ,NEW YORK Aetna Inc's  $37 billion deal to buy smaller health insurer Humana Inc  will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
UNH,UnitedHealth Group Incorporated,20150703,Aetna's Humana deal to bring scrutiny on other insurer tie-ups -experts ,NEW YORK  July 3 Aetna Inc's $37 billion deal to buy smaller health insurer Humana Inc will face rigorous scrutiny from U.S. regulators  which antitrust experts said could also make other large-scale mergers in the sector more difficult.,normal
VALE,VALE SA,20150703,China to lift ban on entry of miner Vale's mega-ships ,SHANGHAI China said on Friday it will allow 400 000-deadweight tonne ships to dock at its ports  officially ending a more than three-year ban that had effectively shut out Brazilian miner Vale SA's giant vessels.,topStory
VALE,VALE SA,20150703,UPDATE 1-China to lift ban on entry of miner Vale's mega-ships ,SHANGHAI  July 3 China said on Friday it will allow 400 000-deadweight tonne ships to dock at its ports  officially ending a more than three-year ban that had effectively shut out Brazilian miner Vale SA's giant vessels.,normal
