ALRM,Alarmcom Holdings Inc,20151105,BRIEF-Securitas and Alarm.com in strategic partnership ,* Securitas and Alarm.com have entered into a strategic partnership to launch Alarm.com's cloud-based security and automation services in Europe,topStory
FB,Facebook Inc,20151105,US STOCKS-Wall St moves higher with Facebook  financial stocks ,* Indexes up: Dow 0.27 pct  S&P 0.20 pct  Nasdaq 0.13 pct   (Updates to open),topStory
FB,Facebook Inc,20151105,US STOCKS-Wall St falls on mixed earnings as jobs report looms ,* Indexes down: Dow 0.19 pct  S&P 0.28 pct  Nasdaq 0.53 pct   (Updates to late afternoon),normal
FB,Facebook Inc,20151105,US STOCKS-Wall St off lows; health stocks  weak reports drag ,* Dow up 0.02 pct  S&P down 0.06 pct  Nasdaq down 0.37 pct   (Updates to early afternoon),normal
FB,Facebook Inc,20151105,US STOCKS-Wall St down on weak results; health stocks hit by probe ,* Indexes down: Dow 0.43 pct  S&P 0.43 pct  Nasdaq 0.66 pct   (Adds details  updates prices),normal
FB,Facebook Inc,20151105,Facebook to launch news app - FT ,Facebook Inc is preparing to launch a new standalone news app called Notify next week  the Financial Times reported  citing people familiar with the plans.,normal
FB,Facebook Inc,20151105,Facebook revenue  profit beat forecasts; shares hit all-time high ,SAN FRANCISCO Facebook Inc posted surprisingly strong profit and revenue growth as the world's largest social network grew even larger  with a spike in mobile users and advertising that lifted its stock to an all-time high. | Video ,normal
FEYE,FireEye Inc,20151105,FireEye stock plunges as results  outlook disappoint ,FireEye Inc  shares lost about a quarter of their value Thursday as the former Wall Street darling missed quarterly forecasts and cut its outlook  saying reduced Chinese hacking had hurt U.S. demand and sales fell short in Europe.,topStory
FEYE,FireEye Inc,20151105,UPDATE 2-FireEye stock plunges as results  outlook disappoint ,Nov 5 FireEye Inc shares lost about a quarter of their value Thursday as the former Wall Street darling missed quarterly forecasts and cut its outlook  saying reduced Chinese hacking had hurt U.S. demand and sales fell short in Europe.,normal
FEYE,FireEye Inc,20151105,FireEye shares tumble after company cuts forecasts ,Nov 5 FireEye Inc shares tumbled nearly 18 percent on Thursday after the cyber security firm missed quarterly forecasts and cut its revenue outlook  saying that a reduction in cyber spying from China had hurt demand for its products.,normal
GILD,Gilead Sciences Inc,20151105,FDA approves Gilead Sciences' HIV drug cocktail ,Gilead Sciences Inc said the U.S. Food and Drug Administration had approved its HIV drug cocktail  Genvoya  to treat patients aged 12 and above.,topStory
GILD,Gilead Sciences Inc,20151105,UPDATE 2-FDA approves Gilead Sciences' HIV drug cocktail ,Nov 5 Gilead Sciences Inc said the U.S. Food and Drug Administration had approved its HIV drug cocktail  Genvoya  to treat patients aged 12 and above.,normal
ISNS,Image Sensing Systems Inc,20151105,BRIEF-Your Image's order for marketing services raised ,* Increase order for delivery of marketing services to food company  raising its value to 220 000 zlotys ($56 424.72)  Source text for Eikon:,topStory
OASM,Oasmia Pharmaceutical AB,20151105,BRIEF-Oasmia confirms data indicating positive top-line results for Paclical ,* Oasmia pharmaceutical confirms final data indicating positive top-line results for paclical from head-to-head comparison study with abraxane,topStory
OASM,Oasmia Pharmaceutical AB,20151105,BRIEF-Oasmia announces an additional and partial exercise of over-allotment ,* Oasmia announces an additional and partial exercise of over-allotment,normal
PEIX,Pacific Ethanol Inc,20151105,Pacific Ethanol sees 2015 U.S. ethanol exports up slightly ,NEW YORK  Nov 5 Pacific Ethanol Inc  sees total U.S. ethanol exports up slightly this year at about 900 million gallons  due to strong demand from Brazil and globally  said the company's chief Neil Koehler during an investor earnings call on Thursday.,topStory
PDLI,PDL BioPharma Inc,20151105,PDL BioPharma says Valeant delayed royalties on diabetes pill ,Shares of PDL BioPharma Inc fell to their record low  a day after the company said Valeant Pharmaceuticals International Inc delayed royalty payments for diabetes pill  Glumetza  hurting its quarterly results.,topStory
QCOM,QUALCOMM Incorporated,20151105,China woes hurt chipmaker Qualcomm's profit forecast ,Qualcomm Inc forecast first-quarter profit way below analysts' expectations as the chipmaker struggles against fierce competition from Chinese and Taiwanese rivals  and faces delays in closing new licensing agreements in China.,topStory
SHPG,Shire plc,20151105,MOVES-Deutsche Bank healthcare bankers depart for JPMorgan one year after hire ,Nov 5 A pair of Deutsche Bank AG  healthcare investment bankers are leaving for JPMorgan Chase & Co a little more than a year after joining the German bank  according to people familiar with the matter.,normal
SYMC,Symantec Corporation,20151105,Symantec beats profit estimates  accelerates buyback ,Symantec Corp  best known for its Norton antivirus software  reported a quarterly profit above market estimates on Thursday  helped by cost controls as it focuses on life after the pending sale of its data management business.,topStory
SYMC,Symantec Corporation,20151105,UPDATE 2-Symantec beats profit estimates  accelerates buyback ,* Sale of Veritas on track to close by year-end   (Adds details  analyst comment),normal
SYMC,Symantec Corporation,20151105,Symantec's quarterly revenue falls 7.4 pct ,Nov 5 Symantec Corp  best known for its Norton antivirus software  reported a 7.4 percent fall in quarterly revenue  hurt mainly by lower demand for consumer security products.,normal
TTWO,Take-Two Interactive Software Inc,20151105,'Grand Theft Auto' maker Take-Two's revenue nearly triples ,Video game publisher Take-Two Interactive Software Inc's  third-quarter adjusted revenue nearly tripled  topping analysts' estimates  as sales of its "Grand Theft Auto V" and "NBA 2K16" titles surged.,topStory
TTWO,Take-Two Interactive Software Inc,20151105,UPDATE 1-'Grand Theft Auto' maker Take-Two's revenue nearly triples ,Nov 5 Video game publisher Take-Two Interactive Software Inc's third-quarter adjusted revenue nearly tripled  topping analysts' estimates  as sales of its "Grand Theft Auto V" and "NBA 2K16" titles surged.,normal
TTWO,Take-Two Interactive Software Inc,20151105,'Grand Theft Auto' maker Take-Two's revenue nearly triples ,Nov 5 Video game publisher Take-Two Interactive Software Inc's third-quarter adjusted revenue nearly tripled  topping analysts' estimates  as sales of its "Grand Theft Auto V" and "NBA 2K16" titles surged.,normal
ANDE,The Andersons Inc,20151105,Andersons Inc says could double capacity at Michigan ethanol plant ,CHICAGO  Nov 5 The Andersons Inc on Thursday said it could double production at its ethanol plant in Albion  Michigan  which has an annual capacity of 55 million gallons per year.,topStory
FOX,Twenty-First Century Fox Inc,20151105,News Corp's revenue falls for third straight quarter ,News Corp  owner of the Wall Street Journal  reported its third straight quarter of revenue decline  hurt by a strong dollar and lower print ad sales  mainly in Australia.,topStory
FOX,Twenty-First Century Fox Inc,20151105,UPDATE 2-News Corp's revenue falls for third straight quarter ,* Adj profit $0.05/shr vs. est. $0.06/shr   (Adds details  quote),normal
FOX,Twenty-First Century Fox Inc,20151105,News Corp's quarterly revenue falls 4.5 pct ,Nov 5 News Corp's quarterly revenue fell 4.5 percent  the third straight quarter of decline  as revenue declined further in its core news and information services business  which includes Dow Jones and the Wall Street Journal.,normal
FOXA,Twenty-First Century Fox Inc,20151105,News Corp's revenue falls for third straight quarter ,News Corp  owner of the Wall Street Journal  reported its third straight quarter of revenue decline  hurt by a strong dollar and lower print ad sales  mainly in Australia.,topStory
FOXA,Twenty-First Century Fox Inc,20151105,UPDATE 2-News Corp's revenue falls for third straight quarter ,* Adj profit $0.05/shr vs. est. $0.06/shr   (Adds details  quote),normal
FOXA,Twenty-First Century Fox Inc,20151105,News Corp's quarterly revenue falls 4.5 pct ,Nov 5 News Corp's quarterly revenue fell 4.5 percent  the third straight quarter of decline  as revenue declined further in its core news and information services business  which includes Dow Jones and the Wall Street Journal.,normal
VIRT,Virtu Financial Inc,20151105,UPDATE 3-Euronext's core profit jumps on strong cash trading  listings ,Nov 5 European exchange group Euronext  reported a 42 jump in third-quarter core earnings  thanks to sustained listing activity and strong turnover from cash trading.,normal
ZEAL,Zealand Pharma A/S,20151105,BRIEF-Zealand Pharma Q3 net result swings to loss DKK 51.3 ,* Q3 revenue 7.2 million Danish crowns ($1.05 million) versus 58.2 million crowns year ago,topStory
AGU,Agrium Inc,20151105,Fertilizer maker Agrium bucks sector trend  records bigger profit ,Agrium Inc  the Canadian fertilizer and farm retail dealer  on Thursday reported quarterly profit jumped nearly 9 percent  as higher sales volumes and lower costs helped it buck the sector's trend of weaker earnings.,topStory
AGU,Agrium Inc,20151105,UPDATE 1-Fertilizer maker Agrium's profit rises nearly 9 pct ,Nov 5 Canadian fertilizer and farm retail dealer Agrium Inc  reported a nearly 9 percent rise in quarterly profit  helped by lower costs.,normal
AGU,Agrium Inc,20151105,Agrium profit rises nearly 9 pct on lower costs ,Nov 5 Canadian fertilizer and farm retail dealer Agrium Inc  reported a nearly 9 percent rise in quarterly profit  helped by lower costs.,normal
APA,Apache Corporation,20151105,UPDATE 3-U.S. oil producer Apache raises production forecast ,* Takes $3.7 bln writedown on oil slump   (Adds Breakingviews link),topStory
APA,Apache Corporation,20151105,BRIEF-Apache in talks with a Montney joint venture partner-CEO ,* Apache exec says company expects $500 million in proceeds from asset sales in q4,normal
APA,Apache Corporation,20151105,U.S. oil producer Apache raises production forecast ,Apache Corp  reported a much smaller-than-expected quarterly loss and joined a growing list of U.S. oil producers in raising full-year production forecast even as many of them cut spending.,normal
APA,Apache Corporation,20151105,Apache's quarterly loss widens on $3.7 bln charge ,Nov 5 Apache Corp reported a much bigger quarterly loss as it took a $3.7 billion writedown due to a slump in oil prices.,normal
AZN,Astrazeneca PLC,20151105,BRIEF-Astrazeneca says plans late-stage pipeline conference call 2 december 2015 ,* Says plans late-stage pipeline conference call 2 december 2015  Source text for Eikon:  Further company coverage:,topStory
AZN,Astrazeneca PLC,20151105,AstraZeneca lifts full-year forecast after in-line Q3 ,LONDON  Nov 5 Drugmaker AstraZeneca  lifted its full-year forecast for revenue and earnings on Thursday  after reporting third-quarter results broadly in line with analyst expectations.,normal
AVP,Avon Products Inc,20151105,Fitch Downgrades Avon's IDR to 'B+'; Outlook Negative ,(The following statement was released by the rating agency) NEW YORK  November 05 (Fitch) Fitch Ratings has downgraded Avon Products  Inc.'s  (Avon) Issuer Default Rating (IDR) to 'B+' from 'BB-'.  Fitch has also downgraded the ratings on Avon's senior unsecured notes to  'B+/RR4' from 'BB-/RR4'. For issuers with IDRs at 'B+' and below  Fitch performs  a recovery analysis for each class of obligations of the issuer. Issue ratings  are derived from the IDR and the relevant Recovery Rating and not,topStory
BCE,BCE Inc,20151105,Canada's BCE posts profit rise on wireless spending ,TORONTO BCE Inc posted a solid rise in third-quarter profit on Thursday  helped by its wireless customers spending more for service  the Canadian telecommunications company said.,topStory
BCE,BCE Inc,20151105,UPDATE 1-Canada's BCE posts profit rise on wireless spending ,TORONTO  Nov 5 BCE Inc posted a solid rise in third-quarter profit on Thursday  helped by its wireless customers spending more for service  the Canadian telecommunications company said.,normal
BCE,BCE Inc,20151105,Canada's BCE posts profit on wireless spend  TV growth ,TORONTO  Nov 5 BCE Inc posted a solid rise in third-quarter profit on Thursday  helped by its wireless customers spending more for service and strong growth in Internet and television subscriptions  the Canadian telecommunications company said.,normal
BA,Boeing Company (The),20151105,NASA drops Boeing from space station cargo competition ,CAPE CANAVERAL  Fla. U.S. space agency NASA has dropped Boeing Co  from a multibillion-dollar competition to fly cargo to the International Space Station and will delay selecting one or more winners for about two months  officials said on Thursday.,topStory
BA,Boeing Company (The),20151105,UPDATE 2-NASA drops Boeing from space station cargo competition ,CAPE CANAVERAL  Fla.  Nov 5 U.S. space agency NASA has dropped Boeing Co from a multibillion-dollar competition to fly cargo to the International Space Station and will delay selecting one or more winners for about two months  officials said on Thursday.,normal
BA,Boeing Company (The),20151105,NASA tells Boeing it's out of race for station cargo launch contract ,CAPE CANAVERAL  Fla.  Nov 5 U.S. space agency NASA has dumped Boeing Co from a multibillion-dollar competition to fly cargo to the International Space Station  company officials said on Thursday.,normal
BA,Boeing Company (The),20151105,Boeing to pay $57 million to settle 401(k) lawsuit ,Boeing Co  said it had agreed to pay $57 million to settle a lawsuit in which employees accused the company of mismanaging their 401(k) retirement plan.,normal
BA,Boeing Company (The),20151105,Boeing to pay $57 mln to settle 401(k) lawsuit ,Boeing Co said it had agreed to pay $57 million to settle a lawsuit in which employees accused the company of mismanaging their 401(k) retirement plan.,normal
BA,Boeing Company (The),20151105,UPDATE 1-Boeing to pay $57 mln to settle 401(k) lawsuit ,Nov 5 Boeing Co said it had agreed to pay $57 million to settle a lawsuit in which employees accused the company of mismanaging their 401(k) retirement plan.,normal
BA,Boeing Company (The),20151105,UPDATE 1-Russia's airline regulator suspends Boeing 737 flying certificates ,MOSCOW  Nov 5 Russia's airline regulator said it was suspending flying certificates for Boeing 737s currently in use in the country  until it gets notification that the planes are safe to fly.,normal
BA,Boeing Company (The),20151105,Boeing to pay $57 mln to settle 401(k) lawsuit ,Nov 5 Boeing Co has agreed to pay $57 million to settle a lawsuit in which employees accused the company of mismanaging their 401(k) retirement plan  the plaintiffs' legal firm said on Thursday.,normal
BA,Boeing Company (The),20151105,Boeing nears decision on protest of U.S. bomber award to Northrop ,WASHINGTON Boeing Co  may decide as soon as Thursday whether to protest the U.S. Air Force's selection of Northrop Grumman Corp  to develop and build a next-generation long-range strike bomber amid signs that a challenge could be an uphill battle  according to sources familiar with the issue.,normal
BA,Boeing Company (The),20151105,Boeing nears decision on protest of U.S. bomber award to Northrop ,WASHINGTON  Nov 4 Boeing Co may decide as soon as Thursday whether to protest the U.S. Air Force's selection of Northrop Grumman Corp to develop and build a next-generation long-range strike bomber amid signs that a challenge could be an uphill battle  according to sources familiar with the issue.,normal
BAM,Brookfield Asset Management Inc,20151105,UPDATE 1-Brookfield says buying 19.2 pct stake in Australia's Asciano ,SYDNEY  Nov 5 Canada's Brookfield Asset Management Inc said it bought a 19.2 percent stake of Asciano Ltd  matching a rival suitor's stake for the Australian ports and rail giant and upping the bid competition for the $6.5 billion target.,topStory
BAM,Brookfield Asset Management Inc,20151105,RPT-Brookfield buys near 15 pct stake in Asciano - Australian Financial Review ,SYDNEY  Nov 5 Canada's Brookfield Asset Management Inc has  purchased nearly 15 percent of Australian ports and rail operator Asciano Ltd as part of an agreed $6.5 billion takeover that has raised antitrust regulators' eyebrows  The Australian Financial Review (AFR) reported on Thursday.,normal
BAM,Brookfield Asset Management Inc,20151105,Brookfield buys near 15 pct stake in Asciano - Australian Financial Review ,SYDNEY  Nov 5 Canada's Brookfield Asset Management Inc has  purchased nearly 15 percent of Australian ports and rail operator Asciano Ltd as part of an agreed $6.5 billion takeover that has raised antitrust regulators' eyebrows  The Australian Financial Review (AFR) reported on Thursday.,normal
CNQ,Canadian Natural Resources Limited,20151105,Canadian Natural Resources cuts budget again  posts third-quarter loss ,CALGARY  Alberta Canadian Natural Resources Ltd   made further cuts to its 2015 capital expenditure on Thursday and estimated a much lower 2016 spending budget  as oil prices show no signs of recovery.,topStory
CNQ,Canadian Natural Resources Limited,20151105,UPDATE 3-Canadian Natural Resources cuts budget again  posts Q3 loss ,* Lowers 2015 production forecast before royalties   (Adds CEO comments),normal
CNQ,Canadian Natural Resources Limited,20151105,Canadian Natural Resources posts Q3 loss ,Nov 5 Canadian Natural Resources Ltd   reported a quarterly loss  compared with a year-ago profit  hurt by weak oil and gas prices.,normal
CMG,Chipotle Mexican Grill Inc,20151105,Chipotle's E. coli outbreak threatens sales  emboldens critics ,LOS ANGELES Chipotle Mexican Grill Inc's  food poisoning outbreak in Washington state and Oregon threatens to scare diners away from the popular burrito chain and has become fodder for one of its most vocal critics.,topStory
KO,Coca-Cola Company (The),20151105,Drinks bottler Coca-Cola HBC sales revenue down on currency headwinds ,ATHENS  Nov 5 Soft drinks bottler Coca-Cola HBC  posted on Thursday a 2.7 percent drop in net sales revenues in the third quarter year-on-year  hurt by adverse currency movements in Russia and other markets.,topStory
KO,Coca-Cola Company (The),20151105,BRIEF-Coca-Cola Icecek Q3 net profit shrinks to 54.3 million lira ,* Reported on Wednesday Q3 revenue of 2.20 billion lira  ($768.67 million) versus 1.92 year ago,normal
CLR,Continental Resources Inc,20151105,BRIEF-Continental Resources says open to JV for STACK shale acreage ,* Says capex of $1.5 billion to $1.6 billion needed to maintain 200 000 boe/d production average into 2016,topStory
CPG,Crescent Point Energy Corporation,20151105,UPDATE 1-Crescent Point posts quarterly loss as oil prices weigh ,Nov 5 Canadian oil and gas producer Crescent Point Energy Corp  reported a third-quarter loss as it booked an impairment charge related to a slump in oil prices.,topStory
CPG,Crescent Point Energy Corporation,20151105,Crescent Point posts quarterly loss as oil prices weigh ,Nov 5 Canadian oil and gas producer Crescent Point Energy Corp  reported a third-quarter loss  compared with a profit a year earlier  hurt by a slump in oil prices.,normal
DB,Deutsche Bank AG,20151105,MOVES-Deutsche Bank  Haitong Securities  RWC Partners ,Nov 5 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
DB,Deutsche Bank AG,20151105,MOVES-Deutsche Bank healthcare bankers depart for JPMorgan ,Nov 5 A pair of Deutsche Bank AG  healthcare investment bankers are leaving for JPMorgan Chase & Co a little more than a year after joining the German bank  according to people familiar with the matter.,normal
DB,Deutsche Bank AG,20151105,Fitch: DB's LatAm Departures to Drive Slight Market Shifts ,(The following statement was released by the rating agency) NEW YORK  November 05 (Fitch) Deutsche Bank's (DB) exit from certain trading and  investment banking (IB) operations in five Latin American countries will have  only a slight impact on market share for the remaining global banks in the  region  says Fitch Ratings. However  the move could benefit local banks focused  on expanding their trading and IB business in the region.  Absolute revenue and profits from the LatAm countries DB is lea,normal
DB,Deutsche Bank AG,20151105,MOVES-Deutsche Bank healthcare bankers depart for JPMorgan one year after hire ,Nov 5 A pair of Deutsche Bank AG  healthcare investment bankers are leaving for JPMorgan Chase & Co a little more than a year after joining the German bank  according to people familiar with the matter.,normal
DB,Deutsche Bank AG,20151105,MOVES-Ganatra moves to Deutsche London syndicate desk ,LONDON  Nov 5 (IFR) - Neal Ganatra has relocated from Deutsche Bank's Frankfurt bond syndicate desk to London to cover US dollar-denominated sovereign  supranational and agency trades  according to sources.,normal
DB,Deutsche Bank AG,20151105,UPDATE 1-MOVES-Emerging markets banker Hibbert to leave Deutsche -sources ,LONDON  Nov 5 (IFR) - Martin Hibbert  head of debt capital markets origination for Central and Eastern Europe  Middle East and Africa at Deutsche Bank  is leaving the firm  according to several sources.,normal
DB,Deutsche Bank AG,20151105,MOVES-Emerging markets banker Hibbert to leave Deutsche -sources ,LONDON  Nov 5 (IFR) - Martin Hibbert  head of debt capital markets origination for Central and Eastern Europe  Middle East and Africa at Deutsche Bank  is leaving the firm  according to several sources.    (Reporting by Sudip Roy),normal
DEO,Diageo plc,20151105,Diageo sells Argentina wine business to Grupo Peñaflor ,Diageo Plc   the world's largest spirits company  said on Thursday it had sold its wine interests in Argentina to Grupo Peñaflor for an undisclosed amount.,topStory
DEO,Diageo plc,20151105,UPDATE 1-Diageo sells Argentina wine business to Grupo Peñaflor ,Nov 5 Diageo Plc  the world's largest spirits company  said on Thursday it had sold its wine interests in Argentina to Grupo Peñaflor for an undisclosed amount.,normal
DEO,Diageo plc,20151105,Diageo sells wine business in Argentina to Grupo Peñaflor ,Nov 5 Diageo Plc  the world's largest spirits company  said on Thursday it had sold its wine interests in Argentina to Grupo Peñaflor for an undisclosed amount.,normal
DEO,Diageo plc,20151105,BRIEF-Diageo says to sell Argentinian wine interests to Grupo Peñaflor ,* Sells Argentinian wine interests to Grupo Peñaflor and appoints them as dedicated distributor for Diageo's spirits brands,normal
DUK,Duke Energy Corporation,20151105,UPDATE 2-Duke Energy trims 2015 adjusted profit forecast as Brazil weighs ,* Total operating revenue $6.48 bln vs est $6.87 bln   (Adds details  background  CEO comment),topStory
DUK,Duke Energy Corporation,20151105,Duke Energy profit rises on strong demand  low fuel costs ,Duke Energy Corp   the largest U.S. power company by generation capacity  reported a 5.5 percent rise in quarterly profit from continuing operations  driven by warmer-than-expected weather and lower fuel costs.,normal
DUK,Duke Energy Corporation,20151105,Duke Energy profit drops 27 pct ,Nov 5 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a 27 percent drop in quarterly profit.,normal
DUKH,Duke Energy Corporation,20151105,UPDATE 2-Duke Energy trims 2015 adjusted profit forecast as Brazil weighs ,* Total operating revenue $6.48 bln vs est $6.87 bln   (Adds details  background  CEO comment),topStory
DUKH,Duke Energy Corporation,20151105,Duke Energy profit rises on strong demand  low fuel costs ,Duke Energy Corp   the largest U.S. power company by generation capacity  reported a 5.5 percent rise in quarterly profit from continuing operations  driven by warmer-than-expected weather and lower fuel costs.,normal
DUKH,Duke Energy Corporation,20151105,Duke Energy profit drops 27 pct ,Nov 5 Duke Energy Corp  the largest U.S. power company by generation capacity  reported a 27 percent drop in quarterly profit.,normal
ENB,Enbridge Inc,20151105,Enbridge sees hit from delay in start of Line 9 pipeline ,CALGARY Enbridge Inc   Canada's largest pipeline company  said on Thursday it was moving into offshore wind development as part of a broader shift in the coming decades away from carbon-intensive energy.,topStory
ENB,Enbridge Inc,20151105,UPDATE 3-Enbridge sees hit from delay in start of Line 9 pipeline ,CALGARY  Nov 5 Enbridge Inc  Canada's largest pipeline company  said on Thursday it was moving into offshore wind development as part of a broader shift in the coming decades away from carbon-intensive energy.,normal
ENB,Enbridge Inc,20151105,UPDATE 1-Enbridge takes stake in $2.1 bln British offshore wind project ,* Second deal in Europe offshore in less than a week   (Recasts  adds CEO quote),normal
ENB,Enbridge Inc,20151105,Pipeline operator Enbridge's profit rises as shipments increase ,Nov 5 Enbridge Inc  Canada's largest pipeline company  reported a 15.7 percent rise in quarterly adjusted profit  helped by increased throughput as producers moved more oil by pipelines than on rail.,normal
ENB,Enbridge Inc,20151105,Canada's Enbridge takes stake in E.ON offshore wind project ,FRANKFURT  Nov 5 Canadian energy group Enbridge  has taken a 24.9 percent stake in E.ON's 1.9 billion euro ($2.07 billion) offshore wind project Rampion  E.ON said on Thursday.,normal
ENB,Enbridge Inc,20151105,Canadian pipeline company Enbridge buys stake in UK wind farm ,Nov 5 Enbridge Inc  Canada's largest pipeline company  said it had bought a 24.9 percent stake in an offshore wind energy project in the United Kingdom for C$750 million ($570 million).,normal
E,ENI SpA,20151105,Italy's ENI  Sonangol to finalise evaluation of Angola gas fields ,LUANDA  Nov 5 Italy's ENI and Angola's state oil company Sonangol have agreed to finalise the evaluation of a gas field project that could generate up to 1.5 gigawatts (GW) of electricity for the southern African nation.,topStory
EOG,EOG Resources Inc,20151105,UPDATE 1-EOG Resources profit widely beats Street on cost cuts ,Nov 5 Oil producer EOG Resources Inc  posted a better-than-expected profit on Thursday as cost cuts and efficiency gains helped offset falling crude prices.,topStory
EOG,EOG Resources Inc,20151105,EOG Resources posts $4.08 bln loss on asset write-down ,Nov 5 Oil producer EOG Resources Inc  posted a more-than $4 billion quarterly loss on Thursday as it wrote down the value of some shale acreage in line with plunging crude prices.,normal
XOM,Exxon Mobil Corporation,20151105,New York investigating Exxon over climate statements: source ,The New York attorney general has launched an investigation into whether Exxon Mobil Corp  misled the public and shareholders about the risks of climate change.,topStory
XOM,Exxon Mobil Corporation,20151105,UPDATE 2-New York investigating Exxon over climate statements -source ,Nov 5 The New York attorney general has launched an investigation into whether Exxon Mobil Corp misled the public and shareholders about the risks of climate change.,normal
XOM,Exxon Mobil Corporation,20151105,New York investigating Exxon over climate statements -source ,The New York attorney general has launched an investigation into whether Exxon Mobil Corp misled the public about the risk of climate change and its impact on the company's oil business.,normal
XOM,Exxon Mobil Corporation,20151105,NY attorney general investigating Exxon over climate statements ,Nov 5 The New York attorney general has launched an investigation into whether Exxon Mobil Corp misled the public about the risks of climate change or its investors about how those risks may hurt the company's oil business.,normal
F,Ford Motor Company,20151105,UPDATE 1-UAW workers at large GM plant in Fort Wayne  Indiana  approve pact ,DETROIT  Nov 5 United Auto Workers members at the General Motors Co truck plant in Fort Wayne  Indiana  approved a new four-year contract by a wide margin  joining momentum in favor of the deal as voting continues on Thursday.,normal
GEH,General Electric Capital Corporation,20151105,No settlement likely as Electrolux heads to trial over GE bid ,AB Electrolux is not in settlement talks with the U.S. Justice Department on its bid for General Electric's appliance business  a lawyer for Electrolux said on Thursday as the two sides prepared for a trial starting next week.,topStory
