ALXN,Alexion Pharmaceuticals Inc,20150702,BRIEF-Lonza announces additional long-term agreement with Alexion ,* New manufacturing line to be constructed at Lonza's existing Portsmouth  NH (USA) plant,topStory
RYAAY,Ryanair Holdings plc,20150702,BRIEF-Ryanair June traffic grows 14 pct ,* Rolling annual traffic to June grew 14 pct to 94.3 mln customers  Source text for Eikon:  Further company coverage:    (Bengaluru Newsroom; +44 207 542 1810),normal
CG,The Carlyle Group LP,20150702,UPDATE 1-Carlyle  MBK on bidders' shortlist for Tesco S.Korea unit-sources ,* Private equity firms shortlisted for about $6 bln asset-sources,topStory
CG,The Carlyle Group LP,20150702,UK Stocks-Factors to watch on Thursday July 2 ,LONDON  July 2 Britain's FTSE 100 index is seen opening down 25 to 26 points  or around 0.4 percent lower  on Thursday according to financial bookmakers. For more on the factors affecting European stocks  please click on           * The blue-chip index was up by 80.88 points  or 1.2 percent  at 6 601.86 points by the close on Wednesday  bouncing back from five-and-a-half month lows  lifted by airline stocks that were boosted by lower oil prices and a recommendation for a new runway a,normal
CG,The Carlyle Group LP,20150702,UPDATE 1-Philippines' UCPB bank sale draws U.S. private equity  San Miguel -source ,* Submission of pre-qualification documents moved back to July 16   (Recasts and add names of local lenders interested in bidding),normal
TCGP,The Carlyle Group LP,20150702,UPDATE 1-Carlyle  MBK on bidders' shortlist for Tesco S.Korea unit-sources ,* Private equity firms shortlisted for about $6 bln asset-sources,topStory
TCGP,The Carlyle Group LP,20150702,UK Stocks-Factors to watch on Thursday July 2 ,LONDON  July 2 Britain's FTSE 100 index is seen opening down 25 to 26 points  or around 0.4 percent lower  on Thursday according to financial bookmakers. For more on the factors affecting European stocks  please click on           * The blue-chip index was up by 80.88 points  or 1.2 percent  at 6 601.86 points by the close on Wednesday  bouncing back from five-and-a-half month lows  lifted by airline stocks that were boosted by lower oil prices and a recommendation for a new runway a,normal
TCGP,The Carlyle Group LP,20150702,UPDATE 1-Philippines' UCPB bank sale draws U.S. private equity  San Miguel -source ,* Submission of pre-qualification documents moved back to July 16   (Recasts and add names of local lenders interested in bidding),normal
YORW,The York Water Company,20150702,DALCOMP NEGOTIATED CALENDAR ,July 2 - IN ORDER TO ENSURE THAT WE HAVE TIME TO ENTER ALL NEW ISSUE INFORMATION  DALCOMP ASKS THAT FIRMS CALL US AT 212-404-8107 OR USE OUR FAX 212-404-8153 TO INFORM US UPCOMING ISSUES.  WE WILL ADD ANY INFORMATION WE RECEIVE BY 2 P.M.  EDT  ON THURSDAY AFTERNOON.  PLEASE BE SURE TO INCLUDE THE ENTIRE MANAGEMENT GROUP. IF YOU HAVE ANY QUESTIONS ABOUT THIS SERVICE  PLEASE CALL DALCOMP AT 212-404-8107. ISSUE/SENIOR MANAGER                   SALE            (IN 000)   MDY/S&P/FTCH ---------------,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20150702,Vertex Pharma's lung disorder therapy wins FDA nod ,Vertex Pharmaceuticals Inc's unique combination therapy for a rare lung disorder was given the green light by U.S. health regulators  extending the company's reach to the most common form of genetic mutation responsible for cystic fibrosis.,topStory
VRTX,Vertex Pharmaceuticals Incorporated,20150702,UPDATE 2-Vertex Pharma's lung disorder therapy wins FDA nod ,July 2 Vertex Pharmaceuticals Inc's  unique combination therapy for a rare lung disorder was given the green light by U.S. health regulators  extending the company's reach to the most common form of genetic mutation responsible for cystic fibrosis.,normal
VRTX,Vertex Pharmaceuticals Incorporated,20150702,Vertex Pharma's combination cystic fibrosis therapy wins FDA nod ,July 2 Vertex Pharmaceuticals Inc's  combination therapy for a rare lung disorder was approved by U.S. health regulators   extending the company's reach to now treat the most common form of genetic mutation responsible for cystic fibrosis.,normal
WPPGY,WPP plc,20150702,Advertising group WPP to appoint executive in Cuba ,LONDON (This version of the story was refiled to correct syntax and drop word 'advertising' as descriptor for Palco Group in paragraph three),topStory
WPPGY,WPP plc,20150702,REFILE-Advertising group WPP to appoint executive in Cuba ,LONDON  July 2 WPP  the world's biggest advertising group  is to appoint an executive in Cuba  saying on Thursday it would be the first major international communications services group to conduct business on the Communist-ruled island.,normal
WPPGY,WPP plc,20150702,BRIEF-WPP starts communications services in Cuba ,* WPP takes first steps to become first major international communications services group with a presence in Cuba,normal
AET,Aetna Inc,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BABA,Alibaba Group Holding Limited,20150702,UPDATE 2-China's Evergrande plans first Asian soccer listing  eyes funds  reforms ,* Announcement comes a year after Alibaba bought stake   (Adds details),topStory
BABA,Alibaba Group Holding Limited,20150702,Alibaba  Evergrande-owned soccer club files for China IPO in Asian first ,HONG KONG Evergrande Taobao  the soccer team co-owned by Alibaba Group Holding Ltd and property firm Evergrande Real Estate Group Ltd  could become the first club listed in Asia after it filed for an initial public offering in China.,normal
BABA,Alibaba Group Holding Limited,20150702,Alibaba  Evergrande-owned football club files for China IPO in Asian first ,HONG KONG  July 2 Evergrande Taobao  the football team co-owned by Alibaba Group Holding Ltd and property firm Evergrande Real Estate Group Ltd  could become the first club listed in Asia after it filed for an initial public offering in China.,normal
ANTM,Anthem Inc,20150702,Anthem  Cigna in new round of talks: source ,U.S. health insurer Cigna Corp  has had its first meetings with competitor Anthem Inc  after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,topStory
ANTM,Anthem Inc,20150702,Anthem  Cigna in new round of talks -source ,July 2 U.S. health insurer Cigna Corp has had its first meetings with competitor Anthem Inc after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,normal
ANTX,Anthem Inc,20150702,Anthem  Cigna in new round of talks: source ,U.S. health insurer Cigna Corp  has had its first meetings with competitor Anthem Inc  after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,topStory
ANTX,Anthem Inc,20150702,Anthem  Cigna in new round of talks -source ,July 2 U.S. health insurer Cigna Corp has had its first meetings with competitor Anthem Inc after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,normal
ASH,Ashland Global Holdings Inc,20150702,BRIEF-AkzoNobel to sell Zeta Fraction biofunctional technology to Ashland ,* Sells Zeta Fraction biofunctional technology to Ashland Inc,topStory
T,AT&T Inc,20150702,UPDATE 1-AT&T's U-verse TV service to carry CBS channels ,July 1 CBS Corp said AT&T Inc has agreed to keep the television network's channels on its web-based TV service  U-verse.,topStory
BAC,Bank of America Corporation,20150702,MOVES-Bill Murphy joins global equities prime brokerage team at BofA ,July 2 Bank of America Merrill Lynch said it made three appointments to its global equities prime brokerage division this week.,topStory
BKS,Barnes & Noble Inc,20150702,UPDATE 2-Sears Canada CEO quits amid turnaround to join Barnes & Noble ,* Barnes & Noble  Sears Canada both struggling with falling sales,topStory
BKS,Barnes & Noble Inc,20150702,Barnes & Noble picks Sears Canada CEO to lead retail arm ,July 2 Barnes & Noble Inc  the largest U.S. bookstore  said Ronald Boire will take over as chief executive of its retail division  effective Sept. 8.,normal
BLK,BlackRock Inc,20150702,BlackRock's Koesterich says expects Greeks to approve referendum ,BOSTON Greek voters will likely approve a bailout offer from creditors in a referendum set for Sunday  said a top strategist for BlackRock Inc  the world's largest asset manager.,topStory
BP,BP plc,20150702,BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON BP Plc  will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,topStory
BP,BP plc,20150702,Brazil government expects Petrobras to lose key oil rights -source ,BRASILIA  July 2 Brazil's government expects a bill ending state-run Petrobras' dominant role in key offshore oil areas to pass Congress  reversing one of President Dilma Rousseff's signature policies  a source told Reuters on Thursday.,normal
BP,BP plc,20150702,BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON BP Plc will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,normal
BP,BP plc,20150702,UPDATE 6-BP reaches $18.7 billion settlement over deadly 2010 spill ,HOUSTON  July 2 BP Plc  will pay up to $18.7 billion in penalties to the U.S. government and five states to resolve nearly all claims from its deadly Gulf of Mexico oil spill five years ago in the largest corporate settlement in U.S. history.,normal
BP,BP plc,20150702,Factbox: BP's $18.7 billion oil spill deal by the numbers ,HOUSTON BP Plc has reached an $18.7 billion deal with the U.S government and five states to settle litigation stemming from its deadly 2010 Gulf of Mexico oil well blowout and explosion that killed 11 men and unleashed the worst spill in U.S. history.,normal
BP,BP plc,20150702,Factbox: BP settlement payouts to coastal states in 2010 oil spill ,BP Plc's agreed to pay out $18.7 billion to the U.S. government and five coastal states to settle damages claims from the 2010 Gulf of Mexico spill.,normal
BP,BP plc,20150702,Timeline: BP oil spill  litigation at a glance ,BP Plc reached a $18.7 billion settlement to end five years of litigation following the 2010 Gulf of Mexico oil spill. It is the largest settlement with a single entity in U.S. history  the U.S. Department of Justice said.,normal
BP,BP plc,20150702,BP's $18.7 billion oil spill deal by the numbers ,BP Plc has reached an $18.7 billion deal with the U.S government and five states to settle litigation stemming from its deadly 2010 Gulf of Mexico oil well blowout and explosion that killed 11 men and unleashed the worst spill in U.S. history.,normal
BP,BP plc,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters who typically benefit from the single currency's weakness.,normal
BRFS,BRF SA,20150702,BRIEF-Parmalat completes acquisition of BRF dairy division ,* Said on Wednesday that it completed the acquisition of the dairy division of BRF SA (BRF)  a Brazilian food company,topStory
CBS,CBS Corporation,20150702,AT&T's U-verse TV service to carry CBS channels ,CBS Corp said AT&T Inc has agreed to keep the television network's channels on its web-based TV service  U-verse.,topStory
CBS,CBS Corporation,20150702,UPDATE 1-AT&T's U-verse TV service to carry CBS channels ,July 1 CBS Corp said AT&T Inc has agreed to keep the television network's channels on its web-based TV service  U-verse.,normal
CNC,Centene Corporation,20150702,Health insurer Centene adds muscle with $6.3 billion Health Net deal ,U.S. health insurer Centene Corp will buy smaller rival Health Net Inc for $6.3 billion  underscoring the healthcare industry's rush to bulk up to negotiate better prices with suppliers and hospitals  and attract new customers. | Video ,topStory
CNC,Centene Corporation,20150702,UPDATE 3-Health insurer Centene adds muscle with $6.3 bln Health Net deal ,* Deal to create leader in government health insurance programs,normal
CNC,Centene Corporation,20150702,Deals of the day- Mergers and acquisitions ,July 2 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Thursday:,normal
CNC,Centene Corporation,20150702,US STOCKS-U.S. futures rise ahead of jobs data ,July 2 U.S. stock index futures rose slightly on Thursday ahead of a critical job report that could feed into the U.S. Federal Reserve's decision on when to increase interest rates.,normal
CNC,Centene Corporation,20150702,Health insurer Centene to buy Health Net for $6.3 bln ,July 2 U.S. health insurer Centene Corp  said it would buy Health Net Inc for $6.3 billion in cash and stock to bolster its position as a manager of government health insurance programs.,normal
CNC,Centene Corporation,20150702,DIARY-U.S. MEETINGS/WEEK AHEAD ,Thomson Reuters July 2  2015 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - MONTH AHEAD     Dividends                            Non S&P 500 - Weekly             Federal Reserve events               ConferenceCall/Webcast - Weekly  Meetings - Weekly                                Xtra users can see more details on conference calls & webcasts by hovering your mouse  over the RIC  right click  no click on Related Co Data  now click on Co Events.                ** ,normal
CHL,China Mobile (Hong Kong) Ltd,20150702,BRIEF-Alcatel-Lucent signs frame agreements with China Mobile and China Unicom ,* Signed comprehensive frame agreements with China Mobile  and China Unicom for transition to cloud-based networks,topStory
CHU,China Unicom (Hong Kong) Ltd,20150702,BRIEF-Alcatel-Lucent signs frame agreements with China Mobile and China Unicom ,* Signed comprehensive frame agreements with China Mobile  and China Unicom for transition to cloud-based networks,topStory
CI,Cigna Corporation,20150702,Anthem  Cigna in new round of talks: source ,U.S. health insurer Cigna Corp  has had its first meetings with competitor Anthem Inc  after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,topStory
CI,Cigna Corporation,20150702,Anthem  Cigna in new round of talks -source ,July 2 U.S. health insurer Cigna Corp has had its first meetings with competitor Anthem Inc after it rebuffed Anthem's $47 billion merger proposal last month  a person familiar with the matter said on Thursday.,normal
CPG,Crescent Point Energy Corporation,20150702,Crescent Point to acquire light oil producer Coral Hill ,CALGARY  Alberta  July 2 Crescent Point Energy Corp  Canada's No. 4 independent oil producer  said on Thursday it will acquire privately owned light oil producer Coral Hill Energy Ltd  operating in west central Alberta.,topStory
DHR,Danaher Corporation,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
EVR,Evercore Inc,20150702,MOVES-Goldman's activism defense banker Anderson joins Evercore -source ,July 2 Goldman Sachs Group Inc's William Anderson is joining New York-based boutique investment bank Evercore Partners Inc  a person familiar with the matter told Reuters on Thursday.,topStory
XOM,Exxon Mobil Corporation,20150702,Brazil government expects Petrobras to lose key oil rights -source ,BRASILIA  July 2 Brazil's government expects a bill ending state-run Petrobras' dominant role in key offshore oil areas to pass Congress  reversing one of President Dilma Rousseff's signature policies  a source told Reuters on Thursday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150702,UPDATE 3-Truck  luxury car demand drive record June sales in Canada ,TORONTO  July 2 A healthy appetite for trucks and luxury cars pushed auto sales in Canada to a record high for June  with Fiat Chrysler Automobiles the top seller  according to data released on Thursday.,topStory
FCAU,Fiat Chrysler Automobiles NV,20150702,Top U.S. regulator expects action on Fiat Chrysler over recalls ,WASHINGTON The top U.S. auto safety regulator said on Thursday he will move quickly to take action in response to Fiat Chrysler Automobiles NV's   mishandling of recalls involving up to 11 million vehicles.,normal
FCAU,Fiat Chrysler Automobiles NV,20150702,U.S. regulator says Fiat Chrysler misled agency on Takata recalls ,WASHINGTON Fiat Chrysler Automobiles NV misled U.S. auto safety regulators about recall notifications to the owners of vehicles equipped with defective Takata Corp air bags  a U.S. safety recall analysts said on Thursday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150702,U.S. regulator says Fiat Chrysler misled agency on Takata recalls ,WASHINGTON  July 2 Fiat Chrysler Automobiles NV misled U.S. auto safety regulators about recall notifications to the owners of vehicles equipped with defective Takata Corp air bags  a U.S. safety recall analysts said on Thursday.,normal
FCAU,Fiat Chrysler Automobiles NV,20150702,Fiat Chrysler seeks to rebut criticism ahead of U.S. safety hearing ,WASHINGTON  July 2 Fiat Chrysler Automobiles NV   went on offense ahead of a hearing before federal regulators to blunt criticism of its plan to install trailer hitches on 1.5 million Jeep Cherokee and Liberty SUVs to avert a more costly fix to reduce the risk that fuel tanks could rupture and catch fire in rear-end collisions.,normal
FCAU,Fiat Chrysler Automobiles NV,20150702,FCA ignores banks' pleas and pushes ahead with broad data request ,LONDON  July 2 (IFR) - The UK Financial Conduct Authority (FCA) is forging ahead with a broadly unchanged request for data on thousands of bond and equity deals going back over the past five years despite push-back from the industry.,normal
F,Ford Motor Company,20150702,Strong truck  SUV demand helped Ford  GM raise prices in June , (This version of the July 1 story corrects Kia Motors U.S. sales to up 6.9 percent  not 3.6 percent in last paragraph) | Video ,topStory
F,Ford Motor Company,20150702,CORRECTED-UPDATE 4-Strong truck  SUV demand helped Ford  GM raise prices in June ,* GM  Ford  Toyota report drop in car sales  rise in SUV sales,normal
GEH,General Electric Capital Corporation,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,U.S. and European regulatory resistance could force General Electric Co  to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,topStory
GEH,General Electric Capital Corporation,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,July 2 U.S. and European regulatory resistance could force General Electric Co to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,normal
GEH,General Electric Capital Corporation,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters who typically benefit from the single currency's weakness.,normal
GEH,General Electric Capital Corporation,20150702,Electrolux CEO seeks to rescue GE deal after legal blow ,STOCKHOLM The head of Sweden's Electrolux  said he believed a $3.3 billion deal to buy the GE Appliances  business could be salvaged after the United States moved to block it.,normal
GEH,General Electric Capital Corporation,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters that typically benefit from the single currency's weakness.,normal
GEH,General Electric Capital Corporation,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEH,General Electric Capital Corporation,20150702,German utilities outperform sluggish European stock markets ,LONDON  July 2 German utility stocks rose sharply on Thursday after plans for a coal levy were scrapped  outperforming a flat showing on other benchmark European equity indexes that remained dogged by concerns over Greece.,normal
GEH,General Electric Capital Corporation,20150702,CORRECTED-UPDATE 1-Electrolux CEO seeks to rescue GE deal after legal blow ,* CEO says DOJ has not understood how competitive industry is,normal
GEH,General Electric Capital Corporation,20150702,GE meets EU regulators over Alstom power unit deal ,BRUSSELS General Electric  met EU antitrust regulators on Thursday  hoping they will take a softer line on its 12.4-billion-euro ($13.7 billion) bid for Alstom's  energy unit.,normal
GEH,General Electric Capital Corporation,20150702,Electrolux sinks as Greek uncertainty pegs back European shares ,LONDON  July 2 European shares made little headway on Thursday  as uncertainty over Greece's debt crisis pegged back the region's stock markets  while Sweden's Electrolux slumped after a U.S. legal challenge to a deal.,normal
GEK,General Electric Capital Corporation,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,U.S. and European regulatory resistance could force General Electric Co  to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,topStory
GEK,General Electric Capital Corporation,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,July 2 U.S. and European regulatory resistance could force General Electric Co to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,normal
GEK,General Electric Capital Corporation,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters who typically benefit from the single currency's weakness.,normal
GEK,General Electric Capital Corporation,20150702,Electrolux CEO seeks to rescue GE deal after legal blow ,STOCKHOLM The head of Sweden's Electrolux  said he believed a $3.3 billion deal to buy the GE Appliances  business could be salvaged after the United States moved to block it.,normal
GEK,General Electric Capital Corporation,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters that typically benefit from the single currency's weakness.,normal
GEK,General Electric Capital Corporation,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GEK,General Electric Capital Corporation,20150702,German utilities outperform sluggish European stock markets ,LONDON  July 2 German utility stocks rose sharply on Thursday after plans for a coal levy were scrapped  outperforming a flat showing on other benchmark European equity indexes that remained dogged by concerns over Greece.,normal
GEK,General Electric Capital Corporation,20150702,CORRECTED-UPDATE 1-Electrolux CEO seeks to rescue GE deal after legal blow ,* CEO says DOJ has not understood how competitive industry is,normal
GEK,General Electric Capital Corporation,20150702,GE meets EU regulators over Alstom power unit deal ,BRUSSELS General Electric  met EU antitrust regulators on Thursday  hoping they will take a softer line on its 12.4-billion-euro ($13.7 billion) bid for Alstom's  energy unit.,normal
GEK,General Electric Capital Corporation,20150702,Electrolux sinks as Greek uncertainty pegs back European shares ,LONDON  July 2 European shares made little headway on Thursday  as uncertainty over Greece's debt crisis pegged back the region's stock markets  while Sweden's Electrolux slumped after a U.S. legal challenge to a deal.,normal
GE,General Electric Company,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,U.S. and European regulatory resistance could force General Electric Co  to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,topStory
GE,General Electric Company,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,July 2 U.S. and European regulatory resistance could force General Electric Co to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,normal
GE,General Electric Company,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters who typically benefit from the single currency's weakness.,normal
GE,General Electric Company,20150702,Electrolux CEO seeks to rescue GE deal after legal blow ,STOCKHOLM The head of Sweden's Electrolux  said he believed a $3.3 billion deal to buy the GE Appliances  business could be salvaged after the United States moved to block it.,normal
GE,General Electric Company,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters that typically benefit from the single currency's weakness.,normal
GE,General Electric Company,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
GE,General Electric Company,20150702,German utilities outperform sluggish European stock markets ,LONDON  July 2 German utility stocks rose sharply on Thursday after plans for a coal levy were scrapped  outperforming a flat showing on other benchmark European equity indexes that remained dogged by concerns over Greece.,normal
GE,General Electric Company,20150702,CORRECTED-UPDATE 1-Electrolux CEO seeks to rescue GE deal after legal blow ,* CEO says DOJ has not understood how competitive industry is,normal
GE,General Electric Company,20150702,GE meets EU regulators over Alstom power unit deal ,BRUSSELS General Electric  met EU antitrust regulators on Thursday  hoping they will take a softer line on its 12.4-billion-euro ($13.7 billion) bid for Alstom's  energy unit.,normal
GE,General Electric Company,20150702,Electrolux sinks as Greek uncertainty pegs back European shares ,LONDON  July 2 European shares made little headway on Thursday  as uncertainty over Greece's debt crisis pegged back the region's stock markets  while Sweden's Electrolux slumped after a U.S. legal challenge to a deal.,normal
GEB,General Electric Company,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,U.S. and European regulatory resistance could force General Electric Co  to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,topStory
GEB,General Electric Company,20150702,Regulatory rebuffs could force GE to seek other deals  more buybacks ,July 2 U.S. and European regulatory resistance could force General Electric Co to seek another buyer for its appliances business and different paths to expand its industrial operations in an ongoing strategic overhaul.,normal
GEB,General Electric Company,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters who typically benefit from the single currency's weakness.,normal
GEB,General Electric Company,20150702,Electrolux CEO seeks to rescue GE deal after legal blow ,STOCKHOLM The head of Sweden's Electrolux  said he believed a $3.3 billion deal to buy the GE Appliances  business could be salvaged after the United States moved to block it.,normal
GEB,General Electric Company,20150702,Electrolux slump weighs on weaker European stock markets ,LONDON  July 2 European shares fell on Thursday under pressure from concerns over Greece's debt crisis and with a rebound in the euro weighing on exporters that typically benefit from the single currency's weakness.,normal
GEB,General Electric Company,20150702,EU mergers and takeovers (July 2) ,BRUSSELS  July 2 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,normal
