ALGT,Allegiant Travel Company,20150529,U.S. FAA proposes penalties against Air Methods  Allegiant Air ,WASHINGTON The Federal Aviation Administration on Friday said it has proposed civil penalties against emergency medical helicopter operator Air Methods Corp and airline Allegiant Air for failing to comply with U.S. regulations.,topStory
LBTYB,Liberty Global plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,topStory
LBTYK,Liberty Global plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,topStory
LILA,Liberty Global plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,topStory
LILAK,Liberty Global plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,topStory
MSFT,Microsoft Corporation,20150529,BRIEF-Proact buys business unit from VX Company ,* Proact acquires the business unit "Microsoft datacenter innovation services" from VX Company,topStory
MSFT,Microsoft Corporation,20150529,WRAPUP 4-U.S. economy contracts in Q1; dollar hurts corporate profits ,WASHINGTON  May 29 The U.S. economy contracted in the first quarter as it buckled under the weight of unusually heavy snowfalls  a resurgent dollar and disruptions at West Coast ports  but activity already has rebounded modestly.,normal
VOD,Vodafone Group Plc,20150529,Vodafone  Wind sign letter of intent for Italy fiber-optic network ,MILAN Britain's Vodafone and Vimpelcom's Italian mobile phone unit Wind have signed a letter of intent with shareholders of broadband firm Metroweb to build a fiber-optic network in Italy  the companies said in a joint statement.,topStory
VOD,Vodafone Group Plc,20150529,UPDATE 1-Vodafone  Wind sign letter of intent for Italy fibre-optic network ,MILAN  May 29 Britain's Vodafone and Vimpelcom's Italian mobile phone unit Wind have signed a letter of intent with shareholders of broadband firm Metroweb to build a fibre-optic network in Italy  the companies said in a joint statement.,normal
VOD,Vodafone Group Plc,20150529,Vodafone  Wind sign letter of intent for Italy fibre-optic network ,MILAN  May 29 Britain's Vodafone and Vimpelcom's Italian mobile phone unit Wind have signed a letter of intent with shareholders of broadband firm Metroweb to build a fiber optic network in Italy  the companies said in a joint statement.,normal
VOD,Vodafone Group Plc,20150529,RPT-Vodafone investors open to Liberty deal ,LONDON  May 28 Some of the biggest investors in Vodafone say they are open to a European tie-up with Liberty Global  as the British company is now in a stronger position to negotiate a deal with John Malone's cable group.,normal
BABA,Alibaba Group Holding Limited,20150529,Alibaba courts more China bad debt managers for online auctions ,HANGZHOU  China/BEIJING Huarong Asset Management Co Ltd is poised to become the second Chinese bad loan firm to auction soured loans online amid a push by the government to settle these debts as the economy slows  an executive at e-commerce giant Alibaba Group Holding Ltd said.,topStory
BABA,Alibaba Group Holding Limited,20150529,Alibaba courts more China bad debt managers for online auctions ,HANGZHOU  China/BEIJING  May 29 Huarong Asset Management Co Ltd is poised to become the second Chinese bad loan firm to auction soured loans online amid a push by the government to settle these debts as the economy slows  an executive at e-commerce giant Alibaba Group Holding Ltd  said.,normal
AXP,American Express Company,20150529,American Express President Ed Gilligan passes away ,May 29 American Express Co said President Ed Gilligan passed away on Friday morning. He was 55.,topStory
AZN,Astrazeneca PLC,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK  May 29 Bristol-Myers Squibb  has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,topStory
AZN,Astrazeneca PLC,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK Bristol-Myers Squibb has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,normal
AZN,Astrazeneca PLC,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK  May 29 Bristol-Myers Squibb  has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,normal
AZN,Astrazeneca PLC,20150529,AstraZeneca and Lilly to test new cancer drug combination ,LONDON AstraZeneca and Eli Lilly are to combine two of their cancer drugs in a new clinical trial against solid tumors in the latest sign that such cocktails may be the way forward in fighting the disease.,normal
AZN,Astrazeneca PLC,20150529,AstraZeneca and Lilly to test new cancer drug combination ,LONDON  May 29 AstraZeneca and Eli Lilly  are to combine two of their cancer drugs in a new clinical trial against solid tumours in the latest sign that such cocktails may be the way forward in fighting the disease.,normal
AZN,Astrazeneca PLC,20150529,BRIEF-AstraZeneca to collaborate with Lilly on solid tumours clinical trial ,* Astrazeneca and lilly to collaborate on immuno-oncology combination clinical trial in solid tumours,normal
AXS,Axis Capital Holdings Limited,20150529,BRIEF-Exor CEO says no need for plan B on PartnerRe ,* No need for plan B on PartnerRe as confident the reinsurer's shareholders will vote against the proposal by Axis Capital Holdings   Further company coverage:     (Reporting by Milan Newsroom),topStory
BAC,Bank of America Corporation,20150529,Bank of America to improve compliance practices  pay $30 million fine to OCC ,Bank of America Corp  agreed with U.S. regulators to improve its compliance practices and pay a fine for violations in lending rules toward military personnel.,topStory
BAC,Bank of America Corporation,20150529,Bank of America to improve compliance practices  pay $30 mln fine to OCC ,May 29 Bank of America Corp agreed with U.S. regulators to improve its compliance practices and pay a fine for violations in lending rules toward military personnel.,normal
BNS,Bank of Nova Scotia (The),20150529,UPDATE 2-Scotiabank quarterly profit tops estimates  to buy back shares ,TORONTO  May 29 Bank of Nova Scotia  reported a quarterly profit that beat market expectations on Friday and outlined a plan to buy back shares as earnings grew at its Canadian banking division.,topStory
BNS,Bank of Nova Scotia (The),20150529,Scotiabank second-quarter profit tops estimates  to buy back shares ,TORONTO  May 29 Bank of Nova Scotia  reported a quarterly profit that came in ahead of market expectations on Friday  supported by gains in its global banking and markets division  and said it planned to buy back shares.,normal
BCS,Barclays PLC,20150529,Exclusive: Stifel in lead to buy Barclays' U.S. wealth unit - sources ,Investment bank Stifel Financial Corp  is in advanced negotiations to acquire Barclays Plc's  U.S wealth management unit  according to three people familiar with the situation.,topStory
BAX,Baxter International Inc,20150529,Fitch Downgrades Baxter International Inc. to 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  May 29 (Fitch) Fitch Ratings has downgraded Baxter International Inc.'s  (Baxter) long-term Issuer Default Rating (IDR) by two notches to 'BBB+' and  assigned a Stable Rating Outlook. In addition  Fitch downgraded the company's  short-term IDR to 'F2' from 'F1'. Baxter had approximately $10 billion in outstanding debt at March 31  2015. A  full list of Fitch's ratings actions follows at the end of this release. KEY RATING DRIVE,topStory
BA,Boeing Company (The),20150529,UPDATE 2-Airbus debates new A320 output hike  suffers test glitch ,TOULOUSE  May 28 Airbus is leaning towards a new hike in production of its A320 jet  raising the stakes in a battle with Boeing to translate record orders into tangible deliveries  but has yet to decide on the risks of handling unprecedented volumes.,topStory
BRFS,BRF SA,20150529,Brazil's BRF makes successful debut despite shaky backdrop ,NEW YORK  May 29 (IFR) - Brazilian food company BRF's debut euro bond topped off a slow week in the Latin American primary markets.,topStory
BRFS,BRF SA,20150529,Fitch Rates BRF's Proposed Senior Unsecured Notes 'BBB-' ,(The following statement was released by the rating agency) NEW YORK  May 29 (Fitch) Fitch Ratings has assigned a 'BBB-(exp)' rating to the  proposed benchmark-size senior unsecured notes to be issued by BRF S.A (BRF).  These proposed senior unsecured notes will rank equally with all of BRF's  existing and future senior and unsecured indebtedness. The proceeds of the bond  will support investments in sustainable projects of the company. KEY RATING DRIVERS Strong Business Profile:  BRF is one of ,normal
BMY,Bristol-Myers Squibb Company,20150529,Bristol's Opdivo cuts risk of lung cancer death for some ,Chicago Bristol-Myers Squibb Co's drug  Opdivo  improved survival in a trial of patients with the most common form of lung cancer  but it did not work in patients who tested negative for a specific protein in their tumors  leading to a nearly 7 percent sell-off in the company's shares on Friday.,topStory
BMY,Bristol-Myers Squibb Company,20150529,UPDATE 1-Bristol's Opdivo cuts risk of lung cancer death for some ,Chicago May 29 Bristol-Myers Squibb Co's  drug  Opdivo  improved survival in a trial of patients with the most common form of lung cancer  but it did not work in patients who tested negative for a specific protein in their tumors  leading to a nearly 7 percent sell-off in the company's shares on Friday.,normal
BMY,Bristol-Myers Squibb Company,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK  May 29 Bristol-Myers Squibb  has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,normal
BMY,Bristol-Myers Squibb Company,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK Bristol-Myers Squibb has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,normal
BMY,Bristol-Myers Squibb Company,20150529,Bristol-Myers sues immunotherapy exec who left for AstraZeneca ,NEW YORK  May 29 Bristol-Myers Squibb  has sued a top cancer immunotherapy executive for violating confidentiality and non-compete agreements after he left for direct competitor AstraZeneca  court documents show.,normal
BMY,Bristol-Myers Squibb Company,20150529,Reuters Business News Schedule at 1830 GMT/2:30 PM ET ,Intel Corp has resumed talks to buy programmable-chip maker Altera Corp and is close to a $16 billion deal  people familiar with the matter say  paving way for the third mega semiconductor-chip deal this year. (ALTERA-M&A/INTEL (UPDATE 2)  moved  by Greg Roumeliotis and Liana B. Baker  210 words),normal
BMY,Bristol-Myers Squibb Company,20150529,Bristol's Opdivo reduces risk of death from common lung cancer ,Chicago May 29 Bristol-Myers Squibb Co's  drug  Opdivo  improved survival for patients with the most common form of lung cancer  nearly doubling survival for those with high levels of a specific protein in their tumors compared with chemotherapy  according to clinical trial results presented on Friday.,normal
CVX,Chevron Corporation,20150529,Chevron pays reported $5M to family of Pennsylvania well fire victim ,HARRISBURG  Pa. Chevron Corp. has paid a reported $5 million to settle a lawsuit filed last year by the parents of a worker who was burnt to death in a gas well fire in western Pennsylvania.,topStory
CVX,Chevron Corporation,20150529,Chevron pays reported $5M to family of Pennsylvania well fire victim ,HARRISBURG  Pa.  May 29 Chevron Corp.  has paid a reported $5 million to settle a lawsuit filed last year by the parents of a worker who was burnt to death in a gas well fire in western Pennsylvania.,normal
LFC,China Life Insurance Company Limited,20150529,Chinese insurers ready first issues of new sub debt ,HONG KONG  May 29 (IFR) - China Life is set to be the first PRC insurer to adopt stricter regulations aimed at mitigating liquidity risks as the country battles rising debt and a slowing economy.,topStory
KO,Coca-Cola Company (The),20150529,Post Blatter's re-election  Coca-Cola urges FIFA to address issues ,Coca-Cola Co urged FIFA to take "concrete actions" to address the issues that have been raised  hours after Sepp Blatter was re-elected the president of the world football governing body mired in a corruption scandal.,topStory
KO,Coca-Cola Company (The),20150529,Post Blatter's re-election  Coca-Cola urges FIFA to address issues ,May 29 Coca-Cola Co urged FIFA to take "concrete actions" to address the issues that have been raised  hours after Sepp Blatter was re-elected the president of the world football governing body mired in a corruption scandal.,normal
KO,Coca-Cola Company (The),20150529,RPT-Visa's tough stance on FIFA augurs more sponsor demands -experts ,NEW YORK  May 28 Visa Inc's public warning to FIFA that it may end its sponsorship if world soccer's governing body does not quickly clean up its act will likely prompt other sponsors to take a tough stance as a major corruption scandal involving FIFA unfolds  brand experts said.,normal
KO,Coca-Cola Company (The),20150529,Visa's tough stance on FIFA augurs more sponsor demands: experts ,NEW YORK Visa Inc's public warning to FIFA that it may end its sponsorship if world soccer's governing body does not quickly clean up its act will likely prompt other sponsors to take a tough stance as a major corruption scandal involving FIFA unfolds  brand experts said.,normal
KO,Coca-Cola Company (The),20150529,Visa's tough stance on FIFA augurs more sponsor demands -experts ,NEW YORK  May 28 Visa Inc's public warning to FIFA that it may end its sponsorship if world soccer's governing body does not quickly clean up its act will likely prompt other sponsors to take a tough stance as a major corruption scandal involving FIFA unfolds  brand experts said.,normal
KO,Coca-Cola Company (The),20150529,Visa's tough stance on FIFA augurs more sponsor demands -experts ,NEW YORK  May 28 Visa Inc's public warning to FIFA that it may end its sponsorship if world soccer's governing body does not quickly clean up its act will likely prompt other sponsors to take a tough stance as a major corruption scandal involving FIFA unfolds  brand experts said.,normal
DB,Deutsche Bank AG,20150529,UPDATE 1-Deutsche's Jain wins support of bank's top labour leader ,* Shareholder says bank has 12-18 months to show progress   (Adds quotes  shareholder  share price),topStory
DB,Deutsche Bank AG,20150529,Deutsche Bank top labor rep says Frankfurt works council acting alone ,FRANKFURT  May 29 Deutsche Bank's top labour representative on Friday said a call by a Frankfurt-based workers council for co-Chief Executive Anshu Jain to resign did not represent the views of all works councils in the group.,normal
PLOW,Douglas Dynamics Inc,20150529,German perfume retailer Douglas plans IPO in 2015 ,FRANKFURT  May 29 German perfume retailer Douglas plans a stock market listing this year consisting of a sale of existing shares and a capital increase of around 70 million euros ($77 million).,topStory
DRE,Duke Realty Corporation,20150529,Fitch Affirms Duke Realty Corp.'s IDR at 'BBB'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  May 29 (Fitch) Fitch Ratings has affirmed its 'BBB' Issuer Default  Rating (IDR) for Duke Realty Corp. (NYSE: DRE) and its operating partnership  Duke Realty Limited Partnership (collectively Duke). A full list of Fitch's  ratings for Duke is available at the end of this release. The Rating Outlook is Stable. KEY RATING DRIVERS The ratings take into account Duke's large  high quality and diversified  portfolio of predominantly,topStory
DYN,Dynegy Inc,20150529,Illinois asks FERC to investigate Dynegy after power price spike ,May 29 Illinois has asked the federal energy regulator to investigate whether Dynegy Inc manipulated a power auction and to block $113 million in expected overcharges from that auction for the coming year  the regulator said on Friday.,topStory
DYNC,Dynegy Inc,20150529,Illinois asks FERC to investigate Dynegy after power price spike ,May 29 Illinois has asked the federal energy regulator to investigate whether Dynegy Inc manipulated a power auction and to block $113 million in expected overcharges from that auction for the coming year  the regulator said on Friday.,topStory
E,ENI SpA,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
E,ENI SpA,20150529,Eni talks on Mozambique sale sticking in oil slide ,MILAN Talks between Eni and suitors including Chinese state utility Huadian for a stake of around 15 percent in the Italian oil major's prized Mozambique gas field are dragging on due to differences over price  industry and banking sources said.,normal
E,ENI SpA,20150529,Eni talks on Mozambique sale sticking in oil slide ,MILAN  May 29 Talks between Eni and suitors including Chinese state utility Huadian for a stake of around 15 percent in the Italian oil major's prized Mozambique gas field are dragging on due to differences over price  industry and banking sources said.,normal
EVR,Evercore Inc,20150529,TCV seeks to sell stake in marketing firm Merkle-sources ,May 29 Technology Crossover Ventures (TCV) is exploring a sale of its minority stake in Merkle Inc  in a deal that could value the fast-growing marketing technology company at more than $1 billion  according to people familiar with the matter.,normal
FCAU,Fiat Chrysler Automobiles NV,20150529,UPDATE 2-Fiat Chrysler merger email to GM not the only one sent to rivals - chairman ,* FCA has "good prospects" says chairman Elkann   (Adds detail and background),topStory
FCAU,Fiat Chrysler Automobiles NV,20150529,Fiat Chrysler chairman confirms CEO sent merger email to GM ,TURIN  May 29 The chairman of Fiat Chrysler   confirmed that CEO Sergio Marchionne had sent an email to General Motors about a possible tie-up  adding discussions had taken place with other players as well.,normal
F,Ford Motor Company,20150529,Strong sales could shift Ford  GM to higher gear ,NEW YORK Shares of U.S. automakers may finally be able to accelerate.,topStory
F,Ford Motor Company,20150529,Wall St Week Ahead-Strong sales could shift Ford  GM to higher gear ,NEW YORK  May 29 Shares of U.S. automakers may finally be able to accelerate.,normal
FRO,Frontline Ltd,20150529,UPDATE 1-Frontline first-quarter beats forecasts  strikes Ship Finance deal ,* Announces changed charter agreement to strengthen balance sheet,topStory
FRO,Frontline Ltd,20150529,Frontline Q1 beats forecasts  strikes new deal with Ship Finance ,OSLO  May 29 Crude oil tanker firm Frontline  posted first-quarter operating profit above expectations on Friday and said it had adjusted its charter deal with Ship Finance to strengthen its balance sheet.,normal
FRO,Frontline Ltd,20150529,BRIEF-Frontline: Ship Finance takes 27.7 pct ownership in new charter structure ,* Frontline and Ship Finance International Limited agree on amended charter structure,normal
GM,General Motors Company,20150529,UPDATE 2-Fiat Chrysler merger email to GM not the only one sent to rivals - chairman ,* FCA has "good prospects" says chairman Elkann   (Adds detail and background),topStory
GM,General Motors Company,20150529,Fiat Chrysler chairman confirms CEO sent merger email to GM ,TURIN  May 29 The chairman of Fiat Chrysler   confirmed that CEO Sergio Marchionne had sent an email to General Motors about a possible tie-up  adding discussions had taken place with other players as well.,normal
GS,Goldman Sachs Group Inc (The),20150529,MOVES- Goldman Sachs  Clydesdale Bank ,May 29 The following financial services industry appointments were announced on Friday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20150529,MOVES-Goldman's David Wells joining its investment management division ,May 29 Goldman Sachs Group Inc appointed David Wells to a newly created role in its investment management division  according to an internal memo.,normal
HSBC,HSBC Holdings plc,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
HSBC,HSBC Holdings plc,20150529,UPDATE 3-ING and BNP Paribas among bidders for HSBC Turkey -source ,* Sources say business could be sold at about book value   (Adds quote from source in 3rd paragraph),normal
HSBC,HSBC Holdings plc,20150529,ING  Bahrain's ABC  BNP Paribas submit initial bids for HSBC Turkey -source ,ISTANBUL  May 29 Dutch bank ING  Bahrain-based Arab Banking Corp (ABC) and France's BNP Paribas have submitted non-binding bids for HSBC's  Turkish business  a person familiar with the process said on Friday.,normal
HSBC,HSBC Holdings plc,20150529,ING  Qatar National Bank among suitors for HSBC Turkey -sources ,ISTANBUL Potential bidders for HSBC's  Turkish business include ING Group NV   Qatar National Bank  and Bahrain-based Arab Banking Corp (ABC)   people familiar with process said on Friday.,normal
HSBC,HSBC Holdings plc,20150529,ING  Qatar National Bank  Bahrain's ABC eye HSBC Turkey arm -sources ,ISTANBUL  May 29 ING Group NV  Qatar National Bank and the Bahrain-based Arab Banking Corporation are among the potential bidders for HSBC's  Turkish business  sources familiar with process said on Friday.,normal
HSEA,HSBC Holdings plc,20150529,Deals of the day- Mergers and acquisitions ,May 29 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Friday:,topStory
HSEA,HSBC Holdings plc,20150529,UPDATE 3-ING and BNP Paribas among bidders for HSBC Turkey -source ,* Sources say business could be sold at about book value   (Adds quote from source in 3rd paragraph),normal
HSEA,HSBC Holdings plc,20150529,ING  Bahrain's ABC  BNP Paribas submit initial bids for HSBC Turkey -source ,ISTANBUL  May 29 Dutch bank ING  Bahrain-based Arab Banking Corp (ABC) and France's BNP Paribas have submitted non-binding bids for HSBC's  Turkish business  a person familiar with the process said on Friday.,normal
HSEA,HSBC Holdings plc,20150529,ING  Qatar National Bank among suitors for HSBC Turkey -sources ,ISTANBUL Potential bidders for HSBC's  Turkish business include ING Group NV   Qatar National Bank  and Bahrain-based Arab Banking Corp (ABC)   people familiar with process said on Friday.,normal
HSEA,HSBC Holdings plc,20150529,ING  Qatar National Bank  Bahrain's ABC eye HSBC Turkey arm -sources ,ISTANBUL  May 29 ING Group NV  Qatar National Bank and the Bahrain-based Arab Banking Corporation are among the potential bidders for HSBC's  Turkish business  sources familiar with process said on Friday.,normal
