ACTA,Actua Corporation,20150721,Capital Group opens up equity strategy to European  Asian investors ,LONDON U.S. fund manager Capital Group plans to launch a fund later this year to give European and Asian investors access to one of its equity strategies  which has $60 billion under management  it said on Tuesday.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,REFILE-Barclays names Italy chief Colizzi as head of EMEA mergers and acquisitions ,LONDON  July 21 Barclays Plc has appointed Pier Luigi Colizzi  its head of banking in Italy  as head of mergers and acquisitions (M&A) across Europe  Middle East and Africa (EMEA).,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20150721,UK consolidates Bank of England's bank supervision role ,LONDON  July 21 Britain's government unveiled plans on Tuesday to centralise financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
BUFF,Blue Buffalo Pet Products Inc,20150721,Pet food maker Blue Buffalo prices IPO at $20 ,Pet food maker Blue Buffalo Pet Products Inc  priced its initial public offering of common stock at $20 per share  valuing the company at about $3.92 billion.,topStory
BUFF,Blue Buffalo Pet Products Inc,20150721,Pet food maker Blue Buffalo prices IPO at $20 ,July 21 Pet food maker Blue Buffalo Pet Products Inc priced its initial public offering of common stock at $20 per share  valuing the company at about $3.92 billion.,normal
CZR,Caesars Entertainment Corporation,20150721,Caesars Entertainment reaches agreement with its lenders ,Caesars Entertainment Corp reached an agreement with its lenders late on Monday night  hours after a New York state court judge threw out a lawsuit by the casino company against a group of creditors known as the second-lien noteholders.,topStory
CZR,Caesars Entertainment Corporation,20150721,Caesars lawsuit vs second-lien noteholders dismissed by NY court ,A lawsuit by casino company Caesars Entertainment Corp against a group of creditors known as the second-lien noteholders  who are owed billions of dollars  was dismissed by a New York state court judge on Monday  according to a court filing.,normal
CZR,Caesars Entertainment Corporation,20150721,Caesars Entertainment reaches agreement with its lenders ,July 20 Caesars Entertainment Corp  reached an agreement with its lenders late on Monday night  hours after a New York state court judge threw out a lawsuit by the casino company against a group of creditors known as the second-lien noteholders.,normal
CSCO,Cisco Systems Inc,20150721,BRIEF-Amper finalises debt restructuring agreement with Cisco ,* Said on Monday that the debt restructuring agreement that was signed by the company on July 16 was also signed by Cisco on July 20,topStory
COST,Costco Wholesale Corporation,20150721,Costco  Sam's Club  others halt photo sites over possible breach ,TORONTO Costco Wholesale Corp   Sam's Club  and a handful of other large retailers have disabled their online photo printing stores in recent days  on concerns about a possible data breach at PNI Digital Media  which manages and/or hosts photo services sites.,topStory
DBVT,DBV Technologies SA,20150721,BRIEF-DBV Technologies closes $281.5 mln public offering ,* Announced on Monday the closing of $281.5 million public offering and full exercise of underwriters' option to purchase additional American Depositary Shares,topStory
DEPO,Depomed Inc,20150721,Horizon Pharma raises offer again to buy reluctant Depomed ,Ireland-based Horizon Pharma Plc  raised its offer to buy Depomed Inc  for the second time in two months  pushing ahead with its hostile bid  now worth $1.97 billion  for the smaller drugmaker.,topStory
DEPO,Depomed Inc,20150721,UPDATE 3-Horizon Pharma raises offer again to buy reluctant Depomed ,* Depomed shares hit record high  Horizon shares up 1.5 pct   (Adds Depomed response  updates shares),normal
DEPO,Depomed Inc,20150721,Horizon Pharma raises offer for Depomed ,July 21 Ireland-based Horizon Pharma Plc  said it raised its offer to buy smaller drugmaker Depomed Inc to $33 per share  contingent on Depomed agreeing to start takeover talks.,normal
DISH,DISH Network Corporation,20150721,Harbinger sues Dish  Ergen over LightSquared  seeks $1.5 bln ,NEW YORK Harbinger Capital Partners  the hedge fund firm run by Philip Falcone  filed a new lawsuit accusing satellite TV company Dish Network Corp and its chairman  Charles Ergen  of illegally trying to strip it of control of wireless company LightSquared during its bankruptcy.,topStory
DISH,DISH Network Corporation,20150721,Harbinger sues Dish  Ergen over LightSquared  seeks $1.5 billion ,NEW YORK Harbinger Capital Partners  the hedge fund firm run by Philip Falcone  filed a new lawsuit accusing satellite TV company Dish Network Corp and its chairman  Charles Ergen  of illegally trying to strip it of control of wireless company LightSquared during its bankruptcy.,normal
DISH,DISH Network Corporation,20150721,UPDATE 1-Harbinger sues Dish  Ergen over LightSquared  seeks $1.5 bln ,NEW YORK  July 21 Harbinger Capital Partners  the hedge fund firm run by Philip Falcone  filed a new lawsuit accusing satellite TV company Dish Network Corp and its chairman  Charles Ergen  of illegally trying to strip it of control of wireless company LightSquared during its bankruptcy.,normal
DISH,DISH Network Corporation,20150721,Harbinger sues Dish  Ergen over LightSquared ,NEW YORK  July 21 Harbinger Capital Partners  the hedge fund firm run by Philip Falcone  has filed a new lawsuit accusing satellite TV company Dish Network Corp  and its chairman  Charles Ergen  of illegally trying to strip it of control of the bankrupt wireless company LightSquared.,normal
GPRO,GoPro Inc,20150721,GoPro guides for strong third quarter as action cameras click ,Action camera maker GoPro Inc  reported a better-than-expected quarterly profit and forecast current-quarter revenue above market estimates  helped by strong sales in Asia.,topStory
GPRO,GoPro Inc,20150721,UPDATE 2-GoPro guides for strong 3rd qtr as action cameras click ,* Sees 3rd-qtr revenue of $430-$445 mln vs est $401.3 mln   (Updates shares  adds executive  analyst comments),normal
GPRO,GoPro Inc,20150721,GoPro's revenue jumps 71.7 pct as action cameras click with consumers ,July 21 Action camera maker GoPro Inc  reported a 71.7 percent rise in quarterly revenue  helped by strong sales in markets outside North America.,normal
HZNP,Horizon Pharma plc,20150721,Horizon Pharma raises offer again to buy reluctant Depomed ,Ireland-based Horizon Pharma Plc  raised its offer to buy Depomed Inc  for the second time in two months  pushing ahead with its hostile bid  now worth $1.97 billion  for the smaller drugmaker.,topStory
HZNP,Horizon Pharma plc,20150721,Horizon Pharma raises offer for Depomed ,July 21 Ireland-based Horizon Pharma Plc  said it raised its offer to buy smaller drugmaker Depomed Inc to $33 per share  contingent on Depomed agreeing to start takeover talks.,normal
ISRG,Intuitive Surgical Inc,20150721,Intuitive Surgical serves up strong quarter  shares jump 13 percent ,Robotic surgical equipment maker Intuitive Surgical Inc  reported a better-than-expected quarterly profit and forecast surgical procedures to grow 11 to 13 percent this year  sending its shares up 13 percent.,topStory
ISRG,Intuitive Surgical Inc,20150721,UPDATE 2-Intuitive Surgical serves up strong quarter  shares jump 13 pct ,* 2nd-qtr revenue of $586 mln beats est of $566.9 mln   (Adds forecast  details from conference call; updates shares),normal
ISRG,Intuitive Surgical Inc,20150721,Intuitive Surgical posts 30 pct rise in profit ,July 21 Robotic surgical equipment maker Intuitive Surgical Inc posted a 30 percent jump in quarterly profit  helped by a rise in procedures in most of its markets.,normal
MSFT,Microsoft Corporation,20150721,Microsoft posts record loss as it writes down Nokia ,Microsoft Corp  reported a $3.2 billion quarterly net loss  its biggest ever  as the company wrote down its Nokia phone business and demand fell for its Windows operating system.,topStory
MSFT,Microsoft Corporation,20150721,UPDATE 3-Microsoft posts record loss as it writes down Nokia ,* Shares fall 4 pct after market   (Adds details from conference call; updates shares),normal
MSFT,Microsoft Corporation,20150721,IBM  United Tech drag Dow; Apple results weigh on futures ,U.S. stocks closed lower on Tuesday as results from IBM and United Technologies dampened early optimism over earnings season and after-the-bell declines in major tech shares suggested losses would continue on Wednesday.,normal
MSFT,Microsoft Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Adds Nasdaq e-mini volume),normal
MSFT,Microsoft Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple results weigh on futures ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
MSFT,Microsoft Corporation,20150721,US STOCKS-IBM  United Tech drag Dow; Apple earnings on deck ,* Indexes down: Dow 1.00 pct  S&P 0.43 pct  Nasdaq 0.21 pct   (Updates to close  adds Microsoft and Yahoo shares),normal
MSFT,Microsoft Corporation,20150721,Microsoft reports $3.2 bln quarterly loss ,July 21 Microsoft Corp reported a $3.2 billion quarterly net loss  hurt by charges related to its Nokia phone business and job cuts  and weak demand for its Windows operating system.,normal
MSFT,Microsoft Corporation,20150721,US STOCKS-Wall St lower as IBM  United Tech results weigh ,* Indexes down: Dow 1.13 pct  S&P 0.45 pct  Nasdaq 0.18 pct   (Updates to late afternoon  changes byline),normal
MSFT,Microsoft Corporation,20150721,US STOCKS-IBM  United Tech pull down Dow; tech earnings in focus ,* Indexes down: Dow 1.14 pct  S&P 0.46 pct  Nasdaq 0.23 pct   (Updates to early afternoon),normal
MSFT,Microsoft Corporation,20150721,US STOCKS-Wall Street lower after weak results from IBM  United Tech ,* Indexes down: Dow 1.11 pct  S&P 0.41 pct  Nasdaq 0.37 pct   (Adds details  changes comment  updates prices),normal
NTRS,Northern Trust Corporation,20150721,MOVES-Northern Trust appoints head of Australia and New Zealand ,July 21 Asset management company Northern Trust Corp appointed Madeleine Senior as head of Australia and New Zealand to replace Rohan Singh  who will become head of Singapore and South East Asia.,topStory
NTRSP,Northern Trust Corporation,20150721,MOVES-Northern Trust appoints head of Australia and New Zealand ,July 21 Asset management company Northern Trust Corp appointed Madeleine Senior as head of Australia and New Zealand to replace Rohan Singh  who will become head of Singapore and South East Asia.,topStory
NVAX,Novavax Inc,20150721,Novavax's Ebola vaccine shows promise in early-stage trial ,Novavax Inc said its experimental Ebola vaccine induced a substantial immune response to the deadly infection in an early-stage trial involving 230 healthy adults.,topStory
NVAX,Novavax Inc,20150721,UPDATE 1-Novavax's Ebola vaccine shows promise in early-stage trial ,* Stock hits more than 13-year high in morning trade   (Adds details  executive comments  shares),normal
NVAX,Novavax Inc,20150721,BRIEF-Novavax Inc says positive top-line data From Phase 1 Ebola vaccine trial ,* Positive top-line data from phase 1 trial of ebola virus glycoprotein recombinant nanoparticle vaccine candidate adjuvanted with matrix-m,normal
QCOM,QUALCOMM Incorporated,20150721,Qualcomm may consider breakup: WSJ ,Qualcomm Inc  is expected to conduct a strategic review that may result in the breakup of the company  among other options  the Wall Street Journal reported on Monday citing sources.,topStory
QCOM,QUALCOMM Incorporated,20150721,Qualcomm may consider breakup - WSJ ,July 20 Qualcomm Inc is expected to conduct a strategic review that may result in the breakup of the company  among other options  the Wall Street Journal reported on Monday citing sources.,normal
REGN,Regeneron Pharmaceuticals Inc,20150721,Amgen wins first approval for new class of cholesterol drugs ,Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,topStory
REGN,Regeneron Pharmaceuticals Inc,20150721,UPDATE 1-Amgen wins first approval for new class of cholesterol drugs ,July 21 Amgen Inc's cholesterol fighting drug was approved by the European Commission  giving the keenly anticipated treatment a head start over a rival drug being developed by Regeneron Pharmaceuticals Inc and Sanofi SA.,normal
SHLD,Sears Holdings Corporation,20150721,REFILE-BRIEF-Sears Sears roebuck acceptance and kmart entered third amended credit agreement ,July 21 Sears Holdings Corp :  * Says co Sears roebuck acceptance and kmart entered into a third amended and restated credit agreement  * Says the credit agreement amends and restates the company's existing asset-based credit facility  * Credit agreement provides a $3.275 billion asset-based revolving credit facility  including a $1.0 billion letter of credit sub-facility  * Maturity date for $1.971 billion of the revolving credit facility has been extended to July 20  2020  * Credit,topStory
TSLA,Tesla Inc ,20150721,Tesla skids after third downgrade in a month ,Tesla Motors Inc  is just not feeling the love from Wall Street  with UBS on Tuesday becoming the third investment bank this month to downgrade the electric sports-car maker's stock.,topStory
TSLA,Tesla Inc ,20150721,UPDATE 1-Tesla skids after third downgrade in a month ,July 21 Tesla Motors Inc is just not feeling the love from Wall Street  with UBS on Tuesday becoming the third investment bank this month to downgrade the electric sports-car maker's stock.,normal
TSLA,Tesla Inc ,20150721,UBS expects Tesla's car and battery sales growth to disappoint ,July 21 Tesla Motors Inc is just not feeling the love from Wall Street  with UBS on Tuesday becoming the third investment bank this month to downgrade the electric sports-car maker's stock.,normal
TSLA,Tesla Inc ,20150721,US STOCKS-Wall St set to open lower ahead of big tech earnings ,* Futures: Dow down 56 pts  S&P down 2 pts  Nasdaq up 3.5 pts   (Adds details  comment  updates prices),normal
TOPS,TOP Ships Inc,20150721,BRIEF-Makheia selected by Top/Com Group to redesign website ,* Says it was selected by  Top/Com Group to redesign its website   Further company coverage:    (Gdynia Newsroom:),topStory
TRUE,TrueCar Inc,20150721,Ford bets U.S. consumers will snap up high-end pickup trucks ,DETROIT  July 21 Ford Motor Co on Tuesday will launch a new luxury version of its F-150 pickup truck that could command prices above $60 000  answering growing demand from U.S. consumers for trucks that could substitute for a higher end German sedan.,normal
VDSI,VASCO Data Security International Inc,20150721,Vasco Data says a third party may have sold products to Iran ,Vasco Data Security International Inc said some its products may have ended up in Iran in potential violation of U.S. sanctions.,topStory
VDSI,VASCO Data Security International Inc,20150721,Vasco Data says a third party may have sold products to Iran ,July 21 Vasco Data Security International Inc  said some its products may have ended up in Iran in potential violation of U.S. sanctions.,normal
VIA,Viacom Inc,20150721,Taylor Swift  Ed Sheeran lead MTV Video Music Award nominations ,Pop singer Taylor Swift  British singer-songwriter Ed Sheeran  R&B singer Beyonce  and DJ-producer Mark Ronson lead the nominations for the MTV Video Music Awards  the cable network said on Tuesday.,topStory
VIA,Viacom Inc,20150721,Taylor Swift  Ed Sheeran lead MTV Video Music Award nominations ,July 21 Pop singer Taylor Swift  British singer-songwriter Ed Sheeran  R&B singer Beyonce  and DJ-producer Mark Ronson lead the nominations for the MTV Video Music Awards  the cable network said on Tuesday.,normal
VIAB,Viacom Inc,20150721,Taylor Swift  Ed Sheeran lead MTV Video Music Award nominations ,Pop singer Taylor Swift  British singer-songwriter Ed Sheeran  R&B singer Beyonce  and DJ-producer Mark Ronson lead the nominations for the MTV Video Music Awards  the cable network said on Tuesday.,topStory
VIAB,Viacom Inc,20150721,Taylor Swift  Ed Sheeran lead MTV Video Music Award nominations ,July 21 Pop singer Taylor Swift  British singer-songwriter Ed Sheeran  R&B singer Beyonce  and DJ-producer Mark Ronson lead the nominations for the MTV Video Music Awards  the cable network said on Tuesday.,normal
VOD,Vodafone Group Plc,20150721,BRIEF-Vodafone says four European CEOs to join executive committee ,* With effect from 1 October 2015  CEOs of Vodafone's 4 largest European markets will become members of group executive committee,topStory
AGN,Allergan plc,20150721,BRIEF-Diaxonhit receives $0.5 million payment from Allergan ,* Payment follows IND filing with the FDA for a molecule derived from the collaboration between the two companies,topStory
T,AT&T Inc,20150721,AT&T nears U.S. approval of $48.5 bln DirecTV merger ,WASHINGTON AT&T Inc is close to wrapping up its deal to buy DirecTV as U.S. telecom and antitrust regulators signaled a green light for the $48.5 billion merger that would create the country's largest pay-TV company.,topStory
T,AT&T Inc,20150721,AT&T nears U.S. approval of $48.5 billion DirecTV merger ,WASHINGTON AT&T Inc  is close to wrapping up its deal to buy DirecTV  as U.S. telecom and antitrust regulators signaled a green light for the $48.5 billion merger that would create the country's largest pay-TV company.,normal
T,AT&T Inc,20150721,UPDATE 2-AT&T nears U.S. approval of $48.5 bln DirecTV merger ,WASHINGTON  July 21 AT&T Inc is close to wrapping up its deal to buy DirecTV as U.S. telecom and antitrust regulators signaled a green light for the $48.5 billion merger that would create the country's largest pay-TV company.,normal
T,AT&T Inc,20150721,Justice Department gives nod to AT&T-DirecTV merger ,WASHINGTON AT&T Inc  has won U.S. antitrust approval to buy DirecTV  for $48.5 billion  an acquisition that will combine the country's No. 2 wireless carrier with the largest satellite-TV provider  the Justice Department said on Tuesday.,normal
T,AT&T Inc,20150721,Justice Department gives nod to AT&T-DirecTV merger ,WASHINGTON  July 21 AT&T Inc has won U.S. antitrust approval to buy DirecTV for $48.5 billion  an acquisition that will combine the country's No. 2 wireless carrier with the largest satellite-TV provider  the Justice Department said on Tuesday.,normal
T,AT&T Inc,20150721,FCC chairman outlines conditions for AT&T-DirecTV merger ,WASHINGTON  July 21 U.S. Federal Communications Commission Chairman Tom Wheeler on Tuesday outlined some of the conditions he is recommending as part of the approval of AT&T Inc's $48.5 billion bid to buy DirecTV.,normal
AXS,Axis Capital Holdings Limited,20150721,UPDATE 1-Reinsurer PartnerRe says to seek talks with Exor on latest offer ,July 21 Bermuda-based reinsurer PartnerRe  said it would seek talks with Exor SpA to discuss the Italian holding company's latest takeover offer  the sixth in its four-month bidding war with Axis Capital Holdings .,topStory
BBD,Banco Bradesco Sa,20150721,Bradesco enters exclusive talks to buy HSBC Brasil  source says ,SAO PAULO  July 20 Banco Bradesco SA  Brazil's No. 2 private-sector bank  late on Monday began exclusive talks to acquire HSBC Holdings Plc's  Brazilian unit  according to a person with direct knowledge of the transaction.,topStory
BBDO,Banco Bradesco Sa,20150721,Bradesco enters exclusive talks to buy HSBC Brasil  source says ,SAO PAULO  July 20 Banco Bradesco SA  Brazil's No. 2 private-sector bank  late on Monday began exclusive talks to acquire HSBC Holdings Plc's  Brazilian unit  according to a person with direct knowledge of the transaction.,topStory
BCS,Barclays PLC,20150721,MOVES-Barclays  Nomura  HSBC  Permal ,July 21 The following financial services industry appointments were announced on Tuesday. To inform us of other job changes  email moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20150721,UPDATE 2-Barclays denies deferred prosecution offer from Britain's SFO ,* Criminal prosecution would be deferred for set period   (Recasts with Barclays statement),normal
BCS,Barclays PLC,20150721,Barclays names Italy chief Colizzi as head of EMEA mergers and acquisitions ,LONDON Barclays Plc has appointed Pier Luigi Colizzi  its head of banking in Italy  as head of mergers and acquisitions (M&A) across Europe  Middle East and Africa (EMEA).,normal
BCS,Barclays PLC,20150721,UK consolidates Bank of England's bank supervision role ,LONDON Britain's government unveiled plans on Tuesday to centralize financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
BCS,Barclays PLC,20150721,REFILE-Barclays names Italy chief Colizzi as head of EMEA mergers and acquisitions ,LONDON  July 21 Barclays Plc has appointed Pier Luigi Colizzi  its head of banking in Italy  as head of mergers and acquisitions (M&A) across Europe  Middle East and Africa (EMEA).,normal
BCS,Barclays PLC,20150721,UK consolidates Bank of England's bank supervision role ,LONDON  July 21 Britain's government unveiled plans on Tuesday to centralise financial regulation further at the Bank of England and reinforce its own powers to shield taxpayers from having to prop up failing lenders in future.,normal
BHP,BHP Billiton Limited,20150721,At U.S. Capitol  Arizona Apaches protest planned copper mine ,WASHINGTON  July 21 Scores of Native American demonstrators protested at the U.S. Capitol on Tuesday against a proposed $6 billion copper mine in Arizona at a site that members of the Apache tribe say is sacred.,normal
BBL,BHP Billiton plc,20150721,UPDATE 1-BHP beats fiscal 2015 iron ore guidance  takes copper hit ,* Says will take up to $650 million writedown in copper   (Adds iron ore production figures  prices copper impairment),topStory
BLK,BlackRock Inc,20150721,BlackRock steps up China drive with new license to raise onshore funds ,BANGKOK/HONG KONG U.S. fund giant BlackRock Inc  has won a special new licence that will allow it to raise funds in China directly for the first time  a senior executive told Reuters  paving the way for the world's largest money manager to expand in the mainland.,topStory
BA,Boeing Company (The),20150721,BRIEF-Boeing says 777  777X demand consistently strong; EVA Airways to buy 787s ,July 14 John Wojick  global sales senior vice president of Boeing Co  says in a joint press briefing with EVA Airways Corp in Taipei:,topStory
BMY,Bristol-Myers Squibb Company,20150721,Bristol-Myers loses bid to revive drug distribution lawsuit ,A federal judge in Manhattan has rejected a last-ditch attempt by Bristol-Myers Squibb Co to save a lawsuit accusing Mylan Laboratories Ltd of breaching an agreement to distribute an AIDS drug in developing countries  refusing to reconsider his second order dismissing the case.,topStory
CHK,Chesapeake Energy Corporation,20150721,UPDATE 3-Chesapeake Energy suspends dividend payments ,July 21 Chesapeake Energy Corp  the second-largest U.S. natural gas producer  said on Tuesday it will suspend dividend payments starting in the current quarter to save up to $240 million a year.,topStory
CHK,Chesapeake Energy Corporation,20150721,Chesapeake Energy suspends dividend payments ,Chesapeake Energy Corp  the second-largest U.S. natural gas producer  said on Tuesday it will suspend dividend payments starting in the current quarter to save up to $240 million a year.,normal
CHK,Chesapeake Energy Corporation,20150721,RPT-UPDATE 2-Chesapeake Energy suspends dividend payments ,July 21 Chesapeake Energy Corp  the second-largest U.S. natural gas producer  said on Tuesday it will suspend dividend payments starting in the current quarter to save up to $240 million a year.,normal
CHK,Chesapeake Energy Corporation,20150721,UPDATE 2-Chesapeake Energy suspends dividend payments ,July 21 Chesapeake Energy Corp  the second-largest U.S. natural gas producer  said on Tuesday it will suspend dividend payments starting in the current quarter to save up to $240 million a year.,normal
CHK,Chesapeake Energy Corporation,20150721,Chesapeake Energy to suspend dividend payments ,July 21 Chesapeake Energy Corp said on Tuesday it would suspend dividend payments  starting in the current quarter  to save up to $240 million a year.,normal
CMG,Chipotle Mexican Grill Inc,20150721,Chipotle profit beats estimates but same-store sales fall short ,Chipotle Mexican Grill Inc  on Tuesday said its quarterly profit beat estimates  but the burrito chain reported lower than expected sales at its established restaurants  initially sending its shares down in extended trading.,topStory
CMG,Chipotle Mexican Grill Inc,20150721,UPDATE 2-Chipotle profit beats estimates but same-store sales fall short ,July 21 Chipotle Mexican Grill Inc on Tuesday said its quarterly profit beat estimates  but the burrito chain reported lower than expected sales at its established restaurants  initially sending its shares down in extended trading.,normal
CMG,Chipotle Mexican Grill Inc,20150721,Chipotle reports lower-than-expected quarterly sales ,July 21 Burrito chain Chipotle Mexican Grill Inc  reported lower-than-expected quarterly revenue as the removal of pork products from some of its restaurants hurt sales for the second straight quarter.,normal
C,Citigroup Inc,20150721,Citi ordered to pay $770 million over credit card practices ,Citigroup Inc's consumer bank has been ordered to pay $700 million in relief to borrowers for illegal credit card practices  the U.S. Consumer Financial Protection Bureau said.,topStory
C,Citigroup Inc,20150721,Citi ordered to pay $770 mln over credit card practices ,Citigroup Inc's consumer bank has been ordered to pay $700 million in relief to borrowers for illegal credit card practices  the U.S. Consumer Financial Protection Bureau said.,normal
C,Citigroup Inc,20150721,UPDATE 4-Citi ordered to pay $770 mln over credit card practices ,* Settlement is about 1 pct of Citi's 2015 est. revenue   (Adds analyst comments  industry context  graphic link; updates shares),normal
C,Citigroup Inc,20150721,Citibank to pay $700 mln over credit card practices -U.S. regulator ,WASHINGTON  July 21 The U.S. Consumer Financial Protection Bureau ordered Citigroup Inc's consumer bank to pay $700 million in relief to borrowers for what the agency said on Tuesday were illegal credit card practices.,normal
GLW,Corning Incorporated,20150721,Corning names Tony Tripeny as CFO ,Corning Inc   the supplier of Gorilla glass to Apple Inc   said Tony Tripeny  Corporate Controller and the Principal Accounting Officer  has been appointed chief financial officer  effective Sept. 1.,topStory
GLW,Corning Incorporated,20150721,Corning names Tony Tripeny as CFO ,July 22 Corning Inc  the supplier of Gorilla glass to Apple Inc  said Tony Tripeny  Corporate Controller and the Principal Accounting Officer  has been appointed chief financial officer  effective Sept. 1.,normal
