AAPL,Apple Inc,20151123,Rothschild  Petrie Partners form energy restructuring partnership ,NEW YORK  Nov 23 Oil and gas investment bank Petrie Partners and financial advisory firm Rothschild have joined forces to win business in the wave of corporate debt restructurings rippling across the energy sector  Petrie co-founder Andrew Rapp told Reuters.,normal
CG,The Carlyle Group LP,20151123,RPT-UPDATE 1-Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,topStory
CG,The Carlyle Group LP,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,normal
CG,The Carlyle Group LP,20151123,Carlyle  TPG to exit Australia's Healthscope with $612 million stake sale: IFR ,HONG KONG Private equity firms Carlyle Group LP  and TPG Capital Management [TPG.UL] are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd  in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
CG,The Carlyle Group LP,20151123,UPDATE 1-Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
CG,The Carlyle Group LP,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 1130 GMT on Monday:,normal
CG,The Carlyle Group LP,20151123,Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
CG,The Carlyle Group LP,20151123,UPDATE 2-Hollywood producer Dan Mintz agrees to buy Carlyle stake in Taiwan broadcaster ,* Shares of EBC  DMG Entertainment both jump 10 pct   (Adds comment on Taiwan regulatory review),normal
CG,The Carlyle Group LP,20151123,Hollywood producer Dan Mintz agrees to buy Carlyle stake in Taiwan broadcaster ,TAIPEI U.S. film maker Dan Mintz has agreed to buy Carlyle Group's 61 percent stake in Taiwan's Eastern Broadcasting Corp (EBC) for an undisclosed sum  allowing the private equity firm to sell an investment it first tried to dispose of in 2013.,normal
CG,The Carlyle Group LP,20151123,Eastern Media shares open limit up 10 pct ,TAIPEI  Nov 23 Shares of Eastern Media International  a major shareholder of TV broadcaster Eastern Broadcasting Corp (EBC)  opened up by its 10 percent limit on Monday on news U.S. filmmaker Dan Mintz has agreed to buy Carlyle's 's stake in EBC.,normal
TCGP,The Carlyle Group LP,20151123,RPT-UPDATE 1-Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,topStory
TCGP,The Carlyle Group LP,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,normal
TCGP,The Carlyle Group LP,20151123,Carlyle  TPG to exit Australia's Healthscope with $612 million stake sale: IFR ,HONG KONG Private equity firms Carlyle Group LP  and TPG Capital Management [TPG.UL] are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd  in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
TCGP,The Carlyle Group LP,20151123,UPDATE 1-Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
TCGP,The Carlyle Group LP,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 1130 GMT on Monday:,normal
TCGP,The Carlyle Group LP,20151123,Carlyle  TPG to exit Australia's Healthscope with $612 mln stake sale-IFR ,HONG KONG  Nov 23 Private equity firms Carlyle Group LP and TPG Capital Management are selling their entire remaining stake in Australian healthcare operator Healthscope Ltd in a deal worth about $612 million  IFR reported on Monday  citing a source close to the deal.,normal
TCGP,The Carlyle Group LP,20151123,UPDATE 2-Hollywood producer Dan Mintz agrees to buy Carlyle stake in Taiwan broadcaster ,* Shares of EBC  DMG Entertainment both jump 10 pct   (Adds comment on Taiwan regulatory review),normal
TCGP,The Carlyle Group LP,20151123,Hollywood producer Dan Mintz agrees to buy Carlyle stake in Taiwan broadcaster ,TAIPEI U.S. film maker Dan Mintz has agreed to buy Carlyle Group's 61 percent stake in Taiwan's Eastern Broadcasting Corp (EBC) for an undisclosed sum  allowing the private equity firm to sell an investment it first tried to dispose of in 2013.,normal
TCGP,The Carlyle Group LP,20151123,Eastern Media shares open limit up 10 pct ,TAIPEI  Nov 23 Shares of Eastern Media International  a major shareholder of TV broadcaster Eastern Broadcasting Corp (EBC)  opened up by its 10 percent limit on Monday on news U.S. filmmaker Dan Mintz has agreed to buy Carlyle's 's stake in EBC.,normal
AA,Alcoa Corporation,20151123,Elliott Management takes 6.4 percent stake in 'undervalued' Alcoa ,Hedge fund Elliott Management Corp disclosed a 6.4 percent stake in "undervalued" Alcoa Inc on Monday  sending the aluminum producer's shares up as much as 6.3 percent.,topStory
AA,Alcoa Corporation,20151123,US STOCKS-Wall St edges up  helped by material and energy stocks ,* Indexes up: Dow 0.07 pct  S&P 0.22 pct  Nasdaq 0.31 pct   (Adds details  updates prices),normal
AA,Alcoa Corporation,20151123,UPDATE 1-Elliott Management takes 6.4 pct stake in "undervalued" Alcoa ,Nov 23 Hedge fund Elliott Management Corp disclosed a 6.4 percent stake in "undervalued" Alcoa Inc  on Monday  sending the aluminum producer's shares up as much as 6.3 percent.,normal
AA,Alcoa Corporation,20151123,Elliott Management takes 6.5 pct stake in Alcoa - CNBC ,Nov 23 Hedge fund Elliott Management Corp has a 6.5 percent stake in Alcoa Inc  CNBC reported on Monday  citing sources. (http://cnb.cx/1MxBldX),normal
BABA,Alibaba Group Holding Limited,20151123,Alibaba's Jack Ma seeking stake in SCMP publisher: Bloomberg ,SHANGHAI Jack Ma  founder and executive chairman of Alibaba Group Holding Ltd  is in talks to buy a stake in the publisher of Hong Kong's South China Morning Post (SCMP)  Bloomberg reported on Monday citing unidentified sources familiar with the matter.,topStory
BABA,Alibaba Group Holding Limited,20151123,UPDATE 1-Alibaba's Jack Ma seeking stake in SCMP publisher -Bloomberg ,* Latest move by Ma  affiliates to expand media empire   (Adds SCMP declining to comment  context),normal
AGN,Allergan plc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YOR Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver.,topStory
AGN,Allergan plc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YORK Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver. | Video ,normal
AGN,Allergan plc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YORK Pfizer Inc  on Monday said it would buy Botox maker Allergan Plc  in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver. | Video ,normal
AGN,Allergan plc,20151123,UPDATE 5-Pfizer to buy Allergan in $160 billion deal ,NEW YORK  Nov 23 Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver.,normal
AGN,Allergan plc,20151123,Hedge funds' favorite stocks lag broader market: Goldman data ,BOSTON Hedge fund managers' favorite stocks stumbled hard this year to post their worst returns since the financial crisis with health-care companies  such as Valeant Pharmaceuticals   leading the way lower  according to new data from Goldman Sachs.,normal
AGN,Allergan plc,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,normal
AGN,Allergan plc,20151123,Clinton bashes Pfizer-Allergan deal  to propose anti-inversion steps ,WASHINGTON U.S. Democratic presidential candidate Hillary Clinton on Monday bashed Pfizer Inc's  deal to buy Allergan PLC   saying she would propose steps to prevent tax inversions and calling on regulators to take tougher action.,normal
AGN,Allergan plc,20151123,TIMELINE-Saunders gets key job as Pfizer  Allergan combine ,Nov 23 Allergan Plc's Chief Executive Brent Saunders will be second in command at the world's largest drug maker  after he made the biggest bet of his career by selling his company for a record $160 billion to Pfizer Inc .,normal
AGN,Allergan plc,20151123,Clinton bashes Pfizer-Allergan deal  to propose anti-inversion steps ,WASHINGTON U.S. Democratic presidential candidate Hillary Clinton on Monday bashed Pfizer Inc's deal to buy Allergan PLC  saying she would propose steps to prevent tax inversions and calling on regulators to take tougher action.,normal
AGN,Allergan plc,20151123,Clinton bashes Pfizer-Allergan deal  to propose anti-inversion steps ,WASHINGTON  Nov 23 U.S. Democratic presidential candidate Hillary Clinton on Monday bashed Pfizer Inc's  deal to buy Allergan PLC  saying she would propose steps to prevent tax inversions and calling on regulators to take tougher action.,normal
AZN,Astrazeneca PLC,20151123,AstraZeneca sells U.S. drug rights to Perrigo for $380 million ,AstraZeneca  said on Monday it had finalised plans to divest its Crohn’s disease drug Entocort by selling U.S. rights to the medicine to Perrigo  for $380 million.,topStory
AZN,Astrazeneca PLC,20151123,UPDATE 1-Pfizer-Allergan to take healthcare M&A deals to above $600 bln in 2015 ,* Mega-merger may be exception amid bolt-ons  divestments   (Adds Breakingviews link),normal
AZN,Astrazeneca PLC,20151123,Pfizer-Allergan to take healthcare M&A deals to above $600 bln in 2015 ,Nov 23 Pfizer Inc's looming deal to buy Botox maker Allergan Plc for more than $150 billion will cap a record-breaking run for mergers and acquisitions in the healthcare sector  taking the cumulative value of deals in 2015 to more than $600 billion.,normal
AZN,Astrazeneca PLC,20151123,AstraZeneca sells U.S. drug rights to Perrigo for $380 mln ,Nov 23 AstraZeneca said on Monday it had finalised plans to divest its Crohn's disease drug Entocort by selling U.S. rights to the medicine to Perrigo for $380 million.,normal
AZN,Astrazeneca PLC,20151123,BRIEF-Astrazeneca  Perrigo sign deal for US rights to Entocort ,* Astrazeneca enters into agreement with Perrigo for rights to Entocort  in us,normal
ABX,Barrick Gold Corporation,20151123,UPDATE 1-Barrick trims 2015 gold output forecast on Dominican mine issue ,Nov 23 Barrick Gold Corp lowered its 2015 production forecast range on Monday due to a mechanical issue at its jointly owned Dominican Republic-based mine that will result in reduced production at the operation until mid-January 2016.,topStory
ABX,Barrick Gold Corporation,20151123,Barrick trims 2015 gold output forecast on Dominican mine issue ,Nov 23 Barrick Gold Corp lowered its 2015 production forecast range on Monday due to a mechanical issue at its jointly owned Dominican Republic-based mine that will result in reduced production until mid-January 2016.,normal
BMY,Bristol-Myers Squibb Company,20151123,Bristol-Myers signs deal with U.N. group for generic hepatitis C drug ,A United Nations-backed organization working to cut the price of HIV drugs said it had signed a deal with Bristol-Myers Squibb Co to allow generic versions of the company's hepatitis C drug to be sold in 112 low- and middle-income countries.,topStory
CF,CF Industries Holdings Inc,20151123,BRIEF-OCI and CF committed to pursuing combination ,Source text for Eikon:  Further company coverage:    (Gdynia Newsroom),topStory
CHA,China Telecom Corp Ltd,20151123,BRIEF-Alcatel-Lucent and china telecom expand 4G LTE across 12 provinces of China ,* Alcatel-Lucent and China Telecom expand 4G LTE across 12 provinces of China  Source text: http://bit.ly/1Ons1u1 Further company coverage:    (Gdynia Newsroom:),topStory
C,Citigroup Inc,20151123,UPDATE 1-Citigroup to exit Brazil card venture  sources say ,* Rivals uninterested in Citigroup's venture stake   (Adds market share details  share performance),topStory
DHI,DR Horton Inc,20151123,WRAPUP 2-Tight inventories  rising prices hurt U.S. home sales ,WASHINGTON  Nov 23 U.S. home resales fell in October as a persistent shortage of properties limited choice for potential buyers and pushed up prices  suggesting some softening in the pace of the housing market recovery after strong gains early this year.,normal
DB,Deutsche Bank AG,20151123,BRIEF-Prime Office: Deutsche Bank extends previous lease until 2026 ,* Deutsche Bank has extended previous lease by another 10 years till 2026,topStory
DBD,Diebold Nixdorf Incorporated,20151123,Deals of the day- Mergers and acquisitions ,Nov 23 The following bids  mergers  acquisitions and disposals were reported by 1130 GMT on Monday:,topStory
DBD,Diebold Nixdorf Incorporated,20151123,BRIEF-Diebold CEO sees close of Wincor Nixdorf deal in summer 2016 ,* CEO says exepcts to close Wincor Nixdorf DE> deal in summer 2016,normal
DBD,Diebold Nixdorf Incorporated,20151123,ATM maker Diebold offers $1.8 billion for German peer Wincor Nixdorf ,FRANKFURT U.S. automated teller machine maker Diebold Inc  has launched a $1.8 billion cash and share offer for German rival Wincor Nixdorf AG  to form the world's largest ATM maker  the companies said on Monday.,normal
DBD,Diebold Nixdorf Incorporated,20151123,UPDATE 1-ATM maker Diebold offers $1.8 bln for German peer Wincor Nixdorf ,* Wincor Nixdorf shares indicated to open 11 pct higher   (Adds details of deal  background and shares),normal
DBD,Diebold Nixdorf Incorporated,20151123,BRIEF-Wincor sees annual cost synergies of $160 mln after Diebold deal ,Nov 23 Wincor Says  Combined Company Will Target Non,normal
DBD,Diebold Nixdorf Incorporated,20151123,Diebold launches formal offer for Wincor Nixdorf ,FRANKFURT  Nov 23 U.S. automated teller machine maker Diebold Inc has launched a formal offer to buy German rival Wincor Nixdorf AG in a combined cash and share offer  Wincor Nixdorf said on Monday.,normal
EC,Ecopetrol SA,20151123,Colombia's Ecopetrol to explore in four Gulf of Mexico blocks ,BOGOTA The U.S. affiliate of Colombian state-run oil company Ecopetrol will explore for oil in four blocks in the Gulf of Mexico  the company said in a statement on Monday  partially in partnership with Anadarko U.S. Offshore Corp.,topStory
EC,Ecopetrol SA,20151123,Colombia's Ecopetrol to explore in four Gulf of Mexico blocks ,BOGOTA  Nov 23 The U.S. affiliate of Colombian state-run oil company Ecopetrol will explore for oil in four blocks in the Gulf of Mexico  the company said in a statement on Monday  partially in partnership with Anadarko U.S. Offshore Corp.,normal
EBS,Emergent Biosolutions Inc,20151123,FDA approves expanded use of Emergent BioSolution's anthrax vaccine ,The U.S. Food and Drug Administration approved to expand the use of Emergent BioSolutions Inc's anthrax vaccine to prevent suspected or confirmed exposure to the bacterium that causes the disease.,topStory
EBS,Emergent Biosolutions Inc,20151123,UPDATE 1-FDA approves expanded use of Emergent BioSolution's anthrax vaccine ,Nov 23 The U.S. Food and Drug Administration approved to expand the use of Emergent BioSolutions Inc's  anthrax vaccine to prevent suspected or confirmed exposure to the bacterium that causes the disease.,normal
RACE,Ferrari NV,20151123,BRIEF-Ferrari applies to list shares on the Milan bourse ,* Luxury sports car unit Ferrari filed a request to list its shares on the Milan stock exchange,topStory
FCAU,Fiat Chrysler Automobiles NV,20151123,BRIEF-Ferrari applies to list shares on the Milan bourse ,* Luxury sports car unit Ferrari filed a request to list its shares on the Milan stock exchange,topStory
F,Ford Motor Company,20151123,Ford no longer using Takata air bag ammonium nitrate inflators ,DETROIT Ford Motor Co said on Monday it is not using Takata Corp air bag inflators in vehicles under development  but is not issuing a recall or expanding previously announced recalls.,topStory
F,Ford Motor Company,20151123,Ford no longer using Takata air bag ammonium nitrate inflators ,DETROIT  Nov 23 Ford Motor Co said on Monday it is not using Takata Corp air bag inflators in vehicles under development  but is not issuing a recall or expanding previously announced recalls.,normal
FMS,Fresenius Medical Care Corporation,20151123,FMC seeks growth outside main U.S. market ,FRANKFURT Fresenius Medical Care   the world's largest dialysis provider  is looking for opportunities to grow in Europe and Asia as it feels the limits to growth in its largest market  the United States  its chief executive told Reuters in an interview.,topStory
FMS,Fresenius Medical Care Corporation,20151123,FMC sees growth outside main U.S. market ,FRANKFURT Fresenius Medical Care   the world's largest dialysis provider  is looking for opportunities to grow in Europe and Asia as it feels the limits to growth in its largest market  the United States  its chief executive told Reuters in an interview.,normal
GME,Gamestop Corporation,20151123,GameStop revenue misses as gamers pause for new games  deals ,GameStop Corp   the world's largest retailer of video games and related products  reported lower-than-expected quarterly revenue and profit due to a fall in sales of new gaming software and hardware.,topStory
GME,Gamestop Corporation,20151123,UPDATE 2-GameStop revenue misses as gamers pause for new games  deals ,* Shares fall 16 pct   (Adds COO  analyst's comments  details; updates shares),normal
GME,Gamestop Corporation,20151123,CORRECTED-UPDATE 1-GameStop's revenue misses estimates  shares slump ,Nov 23 GameStop Corp  the world's largest retailer of video games and related products  reported lower-than-expected quarterly revenue  hurt by lower sales of new gaming software and hardware.,normal
GME,Gamestop Corporation,20151123,GameStop revenue falls 3.6 pct ,Nov 23 GameStop Corp  the world's largest retailer of video games and related products  reported a 3.6 percent fall in quarterly revenue  hurt by lower sales of new gaming software and hardware.,normal
GG,Goldcorp Inc,20151123,UPDATE 1-Barrick trims 2015 gold output forecast on Dominican mine issue ,Nov 23 Barrick Gold Corp lowered its 2015 production forecast range on Monday due to a mechanical issue at its jointly owned Dominican Republic-based mine that will result in reduced production at the operation until mid-January 2016.,topStory
GG,Goldcorp Inc,20151123,Barrick trims 2015 gold output forecast on Dominican mine issue ,Nov 23 Barrick Gold Corp lowered its 2015 production forecast range on Monday due to a mechanical issue at its jointly owned Dominican Republic-based mine that will result in reduced production until mid-January 2016.,normal
GS,Goldman Sachs Group Inc (The),20151123,BRIEF-Altice shareholder Drahi enters into funded collar transaction ,* Altice shareholder Next Alt  100 percent owned by Patrick Drahi  enters into funded collar transaction over 7.5 percent of the telecom company's shares,topStory
ITUB,Itau Unibanco Banco Holding SA,20151123,Itaú asks Brazil watchdog for 60-day delay in IRB Brasil IPO ,SAO PAULO  Nov 23 One of the shareholders seeking to offload a stake in Brazilian reinsurer IRB Brasil RE SA has asked the country's securities industry watchdog for a 60-day delay in analyzing an initial public offering (IPO) plan  with market turmoil in Latin America's largest economy intensifying in recent weeks.,topStory
JPM,J P Morgan Chase & Co,20151123,Supermarket chain Brookshire Grocery terminates sale process ,Nov 23 Brookshire Holdings Inc  the parent of Louisiana-based Brookshire Grocery Co  said on Monday it would no longer explore a sale of the supermarket store operator.,normal
MBI,MBIA Inc,20151123,Patriarch Partners files bankruptcy petition for Zohar I fund ,U.S. private equity firm Patriarch Partners LLC said on Sunday it filed to put the Zohar I debt fund into Chapter 11 bankruptcy to protect against efforts by MBIA Inc to obtain the assets of Zohar  which invests in Patriarch's portfolio companies.,topStory
MBI,MBIA Inc,20151123,Patriarch Partners files bankruptcy petition for Zohar I fund ,NEW YORK U.S. private equity firm Patriarch Partners LLC said on Sunday it filed to put the Zohar I debt fund into Chapter 11 bankruptcy to protect against efforts by MBIA Inc to obtain the assets of Zohar  which invests in Patriarch's portfolio companies.,normal
MBI,MBIA Inc,20151123,CORRECTED-UPDATE 2-Patriarch Partners files bankruptcy petition for Zohar I fund ,NEW YORK  Nov 22 U.S. private equity firm Patriarch Partners LLC said on Sunday it filed to put the Zohar I debt fund into Chapter 11 bankruptcy to protect against efforts by MBIA Inc to obtain the assets of Zohar  which invests in Patriarch's portfolio companies.,normal
NBL,Noble Energy Inc,20151123,UPDATE 1-Britain's BG Group pays $165 mln for stake in Cyprus gas field ,NICOSIA  Nov 23 Britain's BG Group has agreed to pay U.S. firm Noble Energy $165 million for a 35 percent stake in a consortium with rights over a natural gas field in the eastern Mediterranean  Noble said on Monday.,topStory
NBL,Noble Energy Inc,20151123,Noble Energy wants Britain's BG in Cypriot offshore field ,NICOSIA  Nov 23 Noble Energy has sought approval from the Cypriot government to include Britain's BG Group in a consortium holding rights over a natural gas field in the eastern Mediterranean  Cyprus's energy minister said on Monday.,normal
PANW,Palo Alto Networks Inc,20151123,Palo Alto forecast beats Street on higher cyber security spend ,Cyber security company Palo Alto Networks Inc  forecast current quarter sales that beat market expectations and reported higher-than-expected quarterly revenue as companies and governments spent more to protect themselves from cyber attacks.,topStory
PANW,Palo Alto Networks Inc,20151123,UPDATE 1-Palo Alto forecast beats Street on higher cyber security spend ,Nov 23 Cyber security company Palo Alto Networks Inc forecast current quarter sales that beat market expectations and reported higher-than-expected quarterly revenue as companies and governments spent more to protect themselves from cyber attacks.,normal
PANW,Palo Alto Networks Inc,20151123,Palo Alto revenue jumps on strong demand for cyber security ,Nov 23 Cyber security company Palo Alto Networks Inc reported a 54.6 percent jump in quarterly revenue as companies and governments spent more to protect themselves from cyber attacks.,normal
PRGO,Perrigo Company,20151123,AstraZeneca sells U.S. drug rights to Perrigo for $380 million ,AstraZeneca  said on Monday it had finalised plans to divest its Crohn’s disease drug Entocort by selling U.S. rights to the medicine to Perrigo  for $380 million.,topStory
PRGO,Perrigo Company,20151123,AstraZeneca sells U.S. drug rights to Perrigo for $380 mln ,Nov 23 AstraZeneca said on Monday it had finalised plans to divest its Crohn's disease drug Entocort by selling U.S. rights to the medicine to Perrigo for $380 million.,normal
PRGO,Perrigo Company,20151123,BRIEF-Astrazeneca  Perrigo sign deal for US rights to Entocort ,* Astrazeneca enters into agreement with Perrigo for rights to Entocort  in us,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151123,UPDATE 1-Petrobras rules out raising fresh capital for now -source ,RIO DE JANEIRO  Nov 23 Indebted state-run oil company Petroleo Brasileiro SA has ruled out bolstering its capital in the short term  a source with direct knowledge of the company's decision said on Monday.,topStory
PBR,Petroleo Brasileiro SA- Petrobras,20151123,Petrobras denies talks over hybrid notes to raise capital ,BRASILIA  Nov 23 Brazil's state-run oil company Petroleo Brasileiro SA said in a statement on Monday there are no talks "at this moment" about using hybrid notes as a way to bolster its capital  denying media reports of a possible capital injection by the government.    (Reporting by Alonso Soto; Editing by Christian Plumb),normal
PBR,Petroleo Brasileiro SA- Petrobras,20151123,Petrobras not considering hybrid notes to bolster capital -source ,RIO DE JANEIRO  Nov 23 Heavily indebted state-run oil company Petroleo Brasileiro SA is not considering using so-called hybrid securities to bolster its capital  a source close to the company said on Monday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151123,Emerging market CDS volume nearly unchanged in 3rd qtr vs. year ago-EMTA ,NEW YORK  Nov 23 Emerging market credit default swaps trading volume was nearly unchanged in the third quarter of 2015 versus the same period a year ago  according to survey results released on Monday.,normal
PBR,Petroleo Brasileiro SA- Petrobras,20151123,Petrobras lost 2.29 mln barrels of oil to strike - filing ,SAO PAULO  Nov 23 Brazil's state-run oil company Petroleo Brasileiro SA said on Monday it had been unable to produce 2.29 million barrels of oil and 48.4 million cubic meters of natural gas during a strike that began on Nov. 1.,normal
PFE,Pfizer Inc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YOR Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver.,topStory
PFE,Pfizer Inc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YORK Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver. | Video ,normal
PFE,Pfizer Inc,20151123,Pfizer to buy Allergan in $160 billion deal ,NEW YORK Pfizer Inc  on Monday said it would buy Botox maker Allergan Plc  in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver. | Video ,normal
PFE,Pfizer Inc,20151123,UPDATE 5-Pfizer to buy Allergan in $160 billion deal ,NEW YORK  Nov 23 Pfizer Inc on Monday said it would buy Botox maker Allergan Plc in a deal worth $160 billion to slash its U.S. tax bill  rekindling a fierce political debate over the financial maneuver.,normal
PFE,Pfizer Inc,20151123,Politicians slam tax-avoiding Pfizer-Allergan mega-deal ,WASHINGTON U.S. politicians condemned Pfizer Inc's deal with Allergan Plc as a tax dodge on Monday  bringing another round of hand-wringing in Washington over the corporate tax code  though legislative action before 2017 is unlikely.,normal
PFE,Pfizer Inc,20151123,Republican Trump calls Pfizer deal to move tax base overseas 'disgusting' ,U.S. Republican presidential candidate Donald Trump said on Monday it was "disgusting" that Pfizer Inc will move its tax base overseas as part a deal to buy Allergan Plc.,normal
PFE,Pfizer Inc,20151123,U.S. Republican Trump calls Pfizer deal to move tax base overseas 'disgusting' ,Nov 23 U.S. Republican presidential candidate Donald Trump said on Monday it was "disgusting" that Pfizer Inc  will move its tax base overseas as part a deal to buy Allergan Plc.,normal
PFE,Pfizer Inc,20151123,UPDATE 2-Politicians slam tax-avoiding Pfizer-Allergan mega-deal ,WASHINGTON  Nov 23 U.S. politicians condemned Pfizer Inc's deal with Allergan Plc as a tax dodge on Monday  bringing another round of hand-wringing in Washington over the corporate tax code  though legislative action before 2017 is unlikely.,normal
