AMZN,Amazoncom Inc,20171112,New kids on the block: tech giants turning Sydney's CBD into 'Silicon Place' ,SYDNEY  Nov 12 Global technology titans including Amazon.com Inc  LinkedIn and Expedia are moving into Sydney's central business district  providing a commercial property fillip just as Australia's record housing boom starts to tire.,normal
BA,Boeing Company (The),20171112,Emirates places provisional order for 40 Boeing 787-10 ,DUBAI Dubai's Emirates unveiled a provisional order for 40 Boeing  787-10 jetliners  worth $12.5 billion at list prices  at the Dubai Airshow on Sunday.,normal
BA,Boeing Company (The),20171112,AIRSHOW-Azerbaijan Airlines orders five Boeing 787 Dreamliners ,DUBAI  Nov 12 Azerbaijan Airlines President Jahangir Askerov announced an order for five Boeing 787-8 Dreamliner jets at the Dubai Airshow on Sunday.,normal
BA,Boeing Company (The),20171112,AIRSHOW-Emirates places provisional order for 40 Boeing 787-10 ,DUBAI  Nov 12 Dubai's Emirates unveiled a provisional order for 40 Boeing 787-10 jetliners  worth $12.5 billion at list prices  at the Dubai Airshow on Sunday.,normal
DAL,Delta Air Lines Inc,20171112,Bombardier in talks to reshuffle Delta CSeries deliveries ,DUBAI Bombardier Inc  is in talks to reshuffle Delta Air Line  CSeries delivery slots with other customers in case a trade dispute holds up the U.S. carrier's order  a senior executive said on Sunday.,topStory
DAL,Delta Air Lines Inc,20171112,AIRSHOW-Bombardier in talks to reshuffle Delta CSeries deliveries ,DUBAI  Nov 12 Bombardier Inc is in talks to reshuffle Delta Air Line CSeries delivery slots with other customers in case a trade dispute holds up the U.S. carrier's order  a senior executive said on Sunday.,normal
GEH,General Electric Capital Corporation,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK It is hard to imagine the Dow Jones Industrial Average without General Electric Co . The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,topStory
GEH,General Electric Capital Corporation,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK  Nov 12 It is hard to imagine the Dow Jones Industrial Average without General Electric Co. The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,normal
GEK,General Electric Capital Corporation,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK It is hard to imagine the Dow Jones Industrial Average without General Electric Co . The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,topStory
GEK,General Electric Capital Corporation,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK  Nov 12 It is hard to imagine the Dow Jones Industrial Average without General Electric Co. The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,normal
GE,General Electric Company,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK It is hard to imagine the Dow Jones Industrial Average without General Electric Co . The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,topStory
GE,General Electric Company,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK  Nov 12 It is hard to imagine the Dow Jones Industrial Average without General Electric Co. The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,normal
GEB,General Electric Company,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK It is hard to imagine the Dow Jones Industrial Average without General Electric Co . The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,topStory
GEB,General Electric Company,20171112,Membership revoked? Veteran GE's spot in exclusive Dow may be shaky ,NEW YORK  Nov 12 It is hard to imagine the Dow Jones Industrial Average without General Electric Co. The U.S. industrial conglomerate's stock is the lone original component of the venerable blue-chip index that debuted in 1896.,normal
LMT,Lockheed Martin Corporation,20171112,UAE agrees $1.6 billion deal with Lockheed Martin to upgrade F-16 fighters ,DUBAI The United Arab Emirates will pay Lockheed Martin Corp  6 billion dirhams ($1.63 billion) to upgrade 80 F-16 jet fighters  a Defense Ministry spokesman said on Sunday.,topStory
LMT,Lockheed Martin Corporation,20171112,AIRSHOW-UAE agrees $1.6 bln deal with Lockheed Martin to upgrade F-16 fighters ,DUBAI  Nov 12 The United Arab Emirates will pay Lockheed Martin Corp 6 billion dirhams ($1.63 billion) to upgrade 80 F-16 jet fighters  a Defence Ministry spokesman said on Sunday.,normal
LMT,Lockheed Martin Corporation,20171112,UAE Defence Ministry enters $1.6 bln deal with Lockheed Martin to upgrade F-16 fighters ,DUBAI  Nov 12 United Arab Emirates' Defence Ministry announced a 6 billion dirham ($1.63 billion) deal with Lockheed Martin Corp to upgrade F-16 jet fighters  a spokesman said on Sunday.,normal
RMD,ResMed Inc,20171112,UPDATE 1-Fisher & Paykel says UK court rules rival Resmed's patent is invalid ,* UK court rules Resmed's patent for mask invalid - F&P Healthcare,topStory
RMD,ResMed Inc,20171112,Fisher & Paykel says UK court rules rival Resmed's patent is invalid ,WELLINGTON  Nov 13 A British court has ruled that a patent held by health appliance firm Resmed Inc for a mask that treats sleep apnea was invalid  rival firm Fisher & Paykel Healthcare said on Monday.,normal
RMD,ResMed Inc,20171112,BRIEF-Fisher & Paykel Healthcare Corporation ‍says wins patent case against ResMed in UK court​ ,Nov 13 Fisher & Paykel Healthcare Corporation Ltd,normal
COL,Rockwell Collins Inc,20171112,Emirates partners with Mercedes  Jeremy Clarkson for new first class ,DUBAI Dubai airline Emirates [EMIRA.UL] joined forces with Mercedes-Benz and motoring journalist Jeremy Clarkson to launch its new first-class suites on Sunday  inspired by the styling of luxury car interiors.,normal
WBK,Westpac Banking Corporation,20171112,BRIEF-Westpac Banking Corp says Alexandra Holcomb​ retires as chief risk officer ,* David Stephen has been appointed to role of Chief Risk Officer for Westpac Group,topStory
