AMCX,AMC Networks Inc,20131031,DIARY-NON S&P WEEK AHEAD - Part III ,** For events before Nov 07 please click on.       ** For events before Nov 05 please click on.   - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -  DATE     GMT/MP  COMPANY NAME AND PERIOD                   SYMBOL     EPS     No.OF   YEAR AGO                                                                     ESTIMATE   EST     EPS  07 Nov    BMO    Q3 2013 Atlas Air Worldwide Holdings Inc      1.34     9     1.26 07 Nov    AMC    Q3 2013 Cambium Lear,topStory
EBAYL,eBay Inc,20131031,REFILE-Twitter-backer Benchmark Capital raises new venture fund ,SAN FRANCISCO  Oct 31 Benchmark Capital  the firm behind companies ranging from eBay to Twitter  is raising a new venture fund  according to a person familiar with the situation.,normal
FB,Facebook Inc,20131031,Facebook shares back on roller-coaster  but analysts see value ,More than a dozen brokerages increased their price targets on Facebook Inc shares on Thursday.,topStory
FB,Facebook Inc,20131031,US STOCKS-Wall St set to open flat  near record levels ,* Futures: Dow up 1 pt  S&P down 1.4 pt  Nasdaq down 13 pts,normal
FB,Facebook Inc,20131031,US STOCKS-Futures dip as Fed remarks digested; Facebook gains ,* Futures down: Dow 27 pts  S&P 2.4 pts  Nasdaq 11.75 pts,normal
FB,Facebook Inc,20131031,US STOCKS-Futures dip  but Facebook climbs in premarket ,* Futures down: Dow 27 pts  S&P 4.3 pts  Nasdaq 14.75 pts,normal
FB,Facebook Inc,20131031,Facebook smashes analyst targets but executive comments spook Street ,SAN FRANCISCO Facebook Inc posted strong growth in its mobile advertising business on Wednesday but rattled investors after saying that it did not plan to boost the frequency of ads shown to users.,normal
FSLR,First Solar Inc,20131031,UPDATE 2-First Solar results soar past estimates  stock up 6 pct ,* 2013 revenue forecast cut as some projects may be moved to 2014,topStory
FSLR,First Solar Inc,20131031,First Solar third-quarter net profit more than doubles ,LOS ANGELES  Oct 31 U.S. solar company First Solar Inc on Thursday said its third-quarter net income more than doubled from last year as it made progress on developing major utility-scale projects and sold more panels to customers.,normal
MSFT,Microsoft Corporation,20131031,Microsoft  Infineon suits to proceed in Canada  not ADM ,OTTAWA Consumers may join class action lawsuits against Microsoft Corp and Infineon Technologies AG over allegations of unfair pricing for computer products  the Supreme Court of Canada ruled on Thursday.,topStory
MSFT,Microsoft Corporation,20131031,REFILE-Canada court allows Microsoft suit to proceed  says no on ADM ,OTTAWA  Oct 31 Consumers may join a class action lawsuit against Microsoft Corp over alleged unfair pricing  the Supreme Court of Canada ruled on Thursday.,normal
NIHD,NII Holdings Inc,20131031,UPDATE 1-NII Holdings warns on profit as subscriber losses mount ,* Shares drop 21 pct to a more than 10-year low   (Adds details from conference call  updates share movement),topStory
RYAAY,Ryanair Holdings plc,20131031,BRIEF- Ryanair announces three new routes from Knock ,Oct 31 Ryanair Holdings PLC :  * Ryanair announces new Knock routes from April 2014  * 3 new routes to Eindhoven  Glasgow Prestwick and Kaunas  * Knock traffic will grow from 670 000 to over 750 000 per annum  * Support 80 new on-site jobs at Knock * Source text for Eikon:  * For more news  please click here,topStory
STX,Seagate Technology PLC,20131031,Fitch Rates Seagate HDD Cayman's Sr. Unsecured Notes 'BBB-'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  October 31 (Fitch) Fitch Ratings has assigned a 'BBB-' rating to  Seagate HDD Cayman's (Seagate HDD) proposed issuance of senior unsecured notes  due in 2018. The notes will be guaranteed by Seagate Technology plc (Seagate)   the parent company of Seagate HDD. The Rating Outlook is Stable. KEY RATING DRIVERS The Ratings and Outlook reflect: --Expectations for relatively stable hard disk drive (HDD) pricing going forward  due t,topStory
SBUX,Starbucks Corporation,20131031,Starbucks CEO Schultz resigns from Square Inc's board ,Privately-owned mobile payments company Square Inc said Starbucks Corp Chief Executive Howard Schultz had resigned from the board 15 months after joining one of Silicon Valley's hottest start-ups.,topStory
SBUX,Starbucks Corporation,20131031,Starbucks CEO Schultz resigns from Square Inc's board ,Oct 30 Privately-owned mobile payments company Square Inc said Starbucks Corp Chief Executive Howard Schultz had resigned from the board 15 months after joining one of Silicon Valley's hottest start-ups.,normal
TSLA,Tesla Inc ,20131031,Daimler wants to expand cooperation with electric-car maker Tesla ,NEW YORK Daimler AG   the German parent of Mercedes-Benz  would like to expand its cooperation with Tesla Motors Inc   the U.S. electric-car maker  a top Daimler executive said on Thursday.,topStory
TSLA,Tesla Inc ,20131031,Daimler wants to expand cooperation with electric-car maker Tesla ,NEW YORK  Oct 31 Daimler AG  the German parent of Mercedes-Benz  would like to expand its cooperation with Tesla Motors Inc  the U.S. electric-car maker  a top Daimler executive said on Thursday.,normal
TSLA,Tesla Inc ,20131031,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  Oct 31 2013 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
TSLA,Tesla Inc ,20131031,Seoul shares fall after Fed meeting; shipbuilders struggle ,* Samsung SDI declines after Tesla  Panasonic strengthen ties,normal
TRMB,Trimble Inc,20131031,Trimble Navigation enjoys strong mobile sales ,Oct 31 Trimble Navigation Ltd  a navigation software maker  posted better-than-expected quarterly earnings and forecast a strong fourth quarter  helped by robust sales in the transport and logistics sectors.,topStory
AIG,American International Group Inc,20131031,AIG earnings point to room for improvement-analysts ,American International Group Inc reported earnings nearly in line with expectations on Thursday  but the stock fell after hours as analysts still saw room for improvement in the insurer  which almost went under during the financial crisis.,topStory
AIG,American International Group Inc,20131031,UPDATE 2-AIG earnings point to room for improvement-analysts ,* Third-quarter operating earnings $0.96/share vs est. $0.94,normal
AMT,American Tower Corporation (REIT),20131031,Fitch Rates American Tower's Debt Offering 'BBB'; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  October 31 (Fitch) Fitch Ratings has assigned ratings to American Tower  Corporation's (AMT) debt as follows: --Senior unsecured $1.5 billion term loan due 2019 rated 'BBB'; --Senior unsecured $1 billion 364-day revolving credit facility due Sept. 19   2014 rated 'BBB'. The 'BBB' rating on AMT's senior unsecured $750 million term loan due 2017 has  been withdrawn as it has been repaid by proceeds from the term loan due 2019. Th,topStory
AU,AngloGold Ashanti Limited,20131031,South Africa shares droop as strike threats weigh ,JOHANNESBURG  Oct 31 South African shares let go some of the record gains they made earlier this week as investors booked profits  and as resource companies such as AngloGold Ashanti wilted under the threat of strikes.,topStory
BUD,Anheuser-Busch Inbev SA,20131031,AB InBev profit rises on rapid Mexican cost savings ,BRUSSELS Anheuser-Busch InBev   the world's largest brewer  beat third-quarter profit forecasts as rapid cost savings in Mexico and higher prices helped offset sagging beer sales in its giant Brazilian market.,topStory
BUD,Anheuser-Busch Inbev SA,20131031,UPDATE 2-AB InBev profit rises on rapid Mexican cost savings ,* Mexican cost savings $325 mln of $1 bln target by end 2016,normal
ADM,Archer-Daniels-Midland Company,20131031,Microsoft  Infineon suits to proceed in Canada  not ADM ,OTTAWA Consumers may join class action lawsuits against Microsoft Corp and Infineon Technologies AG over allegations of unfair pricing for computer products  the Supreme Court of Canada ruled on Thursday.,topStory
ADM,Archer-Daniels-Midland Company,20131031,REFILE-Canada court allows Microsoft suit to proceed  says no on ADM ,OTTAWA  Oct 31 Consumers may join a class action lawsuit against Microsoft Corp over alleged unfair pricing  the Supreme Court of Canada ruled on Thursday.,normal
AZN,Astrazeneca PLC,20131031,U.S. authorities quiz AstraZeneca over heart drug trial ,LONDON AstraZeneca is being investigated by U.S. authorities over a major clinical trial that was used to win marketing approval for its new heart drug Brilinta  casting fresh doubts over the medicine.,topStory
AZN,Astrazeneca PLC,20131031,UPDATE 1 -U.S. authorities quiz AstraZeneca over heart drug trial ,LONDON  Oct 31 AstraZeneca is being investigated by U.S. authorities over a major clinical trial that was used to win marketing approval for its new heart drug Brilinta  casting fresh doubts over the medicine.,normal
AZN,Astrazeneca PLC,20131031,AstraZeneca names Dunoyer CFO as drug sales  profits drop ,LONDON AstraZeneca  promoted Marc Dunoyer to be its new chief financial officer on Thursday  plugging a gap in the British drugmaker's top management team as it grapples with falling sales and profits.,normal
AZN,Astrazeneca PLC,20131031,UPDATE 3-AstraZeneca names Dunoyer CFO as drug sales  profits drop ,LONDON  Oct 31 AstraZeneca promoted Marc Dunoyer to be its new chief financial officer on Thursday  plugging a gap in the British drugmaker's top management team as it grapples with falling sales and profits.,normal
AZN,Astrazeneca PLC,20131031,U.S. authorities quiz AstraZeneca over Brilinta clinical trial ,LONDON  Oct 31 AstraZeneca is being investigated by U.S. authorities over a major clinical trial that was used to win marketing approval for its new heart drug Brilinta.,normal
AZN,Astrazeneca PLC,20131031,AstraZeneca names Dunoyer CFO as drug sales  profits drop ,LONDON AstraZeneca  promoted Marc Dunoyer to be its new chief financial officer on Thursday  plugging a gap in the British drugmaker's top management team as it grapples with falling sales and profits.,normal
AZN,Astrazeneca PLC,20131031,FTSE snaps winning streak as Shell  AstraZeneca miss forecasts ,LONDON  Oct 31 Britain's top shares fell on Thursday  as firms including Royal Dutch Shell and AstraZeneca posted weak results and after comments from the U.S. Federal Reserve suggested it was less alarmed about the economy than some had anticipated.,normal
AZN,Astrazeneca PLC,20131031,AstraZeneca names new CFO as drug sales and profits drop ,LONDON  Oct 31 Sales and profits continued to slide at drugmaker AstraZeneca in the third quarter  underscoring the turnaround challenge facing CEO Pascal Soriot  who has been in the job for just over a year.,normal
AVP,Avon Products Inc,20131031,Avon's turnaround stalls; shares plummet ,Avon Products Inc's  quarterly sales slipped  missing forecasts and sending its shares plummeting as investors questioned whether its turnaround plan was working.,topStory
AVP,Avon Products Inc,20131031,UPDATE 3-Avon's turnaround stalls; shares plummet ,Oct 31 Avon Products Inc's quarterly sales slipped  missing forecasts and sending its shares plummeting as investors questioned whether its turnaround plan was working.,normal
BCS,Barclays PLC,20131031,Barclays promotes Attea to co-head of US securitized products ,NEW YORK  Oct 31 (IFR) - Barclays has promoted Martin Attea to co-head of its US securitized-products group  replacing Diane Rinnovatore  who has left the firm after 16 years  according to sources familiar with the matter.,topStory
BCS,Barclays PLC,20131031,Fitch: Barclays' Q313 Results Dented by Fixed Income Markets; Leverage Key Target for Bank ,(The following statement was released by the rating agency) MILAN/LONDON  October 31 (Fitch) Fitch Ratings says that Barclays plc's  (A/Stable/F1/a) Q313 performance reflected a weak trading environment in the  quarter but also resilience of its non-securities businesses and improved  capitalisation  leverage and reduction in risk-weighted assets (RWA).  The results have no immediate impact on Barclays' ratings  which are based on  Fitch's expectation that the bank will achieve its planned cost ,normal
ABX,Barrick Gold Corporation,20131031,UPDATE 1-Barrick to sell $3 billion in stock to pay down debt ,Oct 31 Barrick Gold Corp  the world's largest gold producer  said on Thursday that it will issue more than $3 billion in stock as it looks to improve its liquidity position by paying down its large debt load.,topStory
ABX,Barrick Gold Corporation,20131031,UPDATE 6-Barrick to shelve Pascua-Lama  issue shares to cut debt ,TORONTO  Oct 31 Barrick Gold Corp said on Thursday it would stop development of its Pascua-Lama mine in South America indefinitely  a surprise reversal on a project that has already cost the world's largest gold producer more than $5 billion.,normal
ABX,Barrick Gold Corporation,20131031,Barrick to shelve much-delayed Pascua-Lama  for now ,TORONTO Barrick Gold Corp  said on Thursday it would stop development of its Pascua-Lama mine in South America indefinitely  a surprise reversal on a project that has already cost the world's largest gold producer more than $5 billion.,normal
ABX,Barrick Gold Corporation,20131031,Barrick to raise more than $3 billion through share offer ,Barrick Gold Corp  said on Thursday that it will raise up to $3.45 billion through a bought deal share offering  with much of the money earmarked to pay down short- and medium-term debt.,normal
ABX,Barrick Gold Corporation,20131031,Barrick to raise more than $3 billion through share offer ,Oct 31 Barrick Gold Corp said on Thursday that it will raise up to $3.45 billion through a bought deal share offering  with much of the money earmarked to pay down short- and medium-term debt.,normal
ABX,Barrick Gold Corporation,20131031,Timeline: Barrick Gold shelves development of Pascua-Lama ,Barrick Gold Corp  said on Thursday it will halt development of its Pascua-Lama mine in South America indefinitely - a surprise reversal on a project that has already cost the world's largest gold miner more than $5 billion.,normal
ABX,Barrick Gold Corporation,20131031,TIMELINE-Barrick Gold shelves development of Pascua-Lama ,Oct 31 Barrick Gold Corp said on Thursday it will halt development of its Pascua-Lama mine in South America indefinitely - a surprise reversal on a project that has already cost the world's largest gold miner more than $5 billion.,normal
ABX,Barrick Gold Corporation,20131031,CANADA STOCKS-TSX slips as Barrick  Valeant weigh ,* TSX down 28.65 points  or 0.21 percent  at 13 426.68     * Barrick shares fall 5.6 pct after Pascua-Lama project suspended       By Alastair Sharp     TORONTO  Oct 31 Canada's main stock index declined slightly on Thursday after hitting a two-year high the previous session  with a broad sell-off led by miners as earnings season produced some negative surprises.     Barrick Gold Corp fell 5.6 percent to C$20.39 after the world's top gold producer said it was suspending construction ,normal
ABX,Barrick Gold Corporation,20131031,Barrick to suspend construction at Pascua-Lama mine ,Oct 31 Barrick Gold Corp said on Thursday it would suspend construction at its huge Pascua-Lama gold-silver mine.,normal
BLK,BlackRock Inc,20131031,UPDATE 4-Batista's OGX sells stake in gas unit to Brazil fund  E.ON ,RIO DE JANEIRO/SAO PAULO  Oct 31 Brazilian tycoon Eike Batista's oil company OGX Petróleo e Gas Participações SA agreed on Thursday to sell its 67 percent stake in its natural gas unit for 344 million reais ($156 million)  the day after it filed for bankruptcy protection.,normal
BLK,BlackRock Inc,20131031,Invesco profit rises as assets grow on new client money ,NEW YORK Asset manager Invesco Ltd  said on Thursday that its third-quarter profit rose 34 percent as strong net inflows  primarily in its retail business  helped boost assets.,normal
BLK,BlackRock Inc,20131031,UPDATE 2-Invesco profit rises as assets grow on new client money ,NEW YORK  Oct 31 Asset manager Invesco Ltd  said on Thursday that its third-quarter profit rose 34 percent as strong net inflows  primarily in its retail business  helped boost assets.,normal
BA,Boeing Company (The),20131031,Boeing to raise 737 production to 47/month by 2017 ,Boeing Co  said it would increase production of its workhorse 737 aircraft to 47 planes per month by 2017 from 38 now  a surprise move that analysts said boded well for the company  its suppliers and airlines.,topStory
BA,Boeing Company (The),20131031,UPDATE 1-Boeing to raise 737 production to 47/month by 2017 ,Oct 31 Boeing Co said it would increase production of its workhorse 737 aircraft to 47 planes per month by 2017 from 38 now  a surprise move that analysts said boded well for the company  its suppliers and airlines.,normal
BA,Boeing Company (The),20131031,Boeing to raise 737 production to 47/month by 2017 ,Boeing Co  said it would increase production of its workhorse 737 aircraft to 47 planes per month by 2017 from 38 now.,normal
BA,Boeing Company (The),20131031,Boeing to raise 737 production to 47/month by 2017 ,Oct 31 Boeing Co said it would increase production of its workhorse 737 aircraft to 47 planes per month by 2017 from 38 now.,normal
BA,Boeing Company (The),20131031,UPDATE 1-Oshkosh forecasts profit below estimates as defense sales fall ,Oct 31 Oshkosh Corp  a maker of specialty trucks  forecast 2014 earnings well below analysts' estimates after sales at the company's defense business plunged due to U.S. government spending cuts.,normal
BP,BP plc,20131031,Total profit falls on thin European refining margin ,PARIS French oil company Total  reported a drop in profits due to narrow refining margins in Europe and a heftier exploration bill on Thursday  and decided not to match a dividend increase by rival BP .,topStory
BT,BT Group plc,20131031,UPDATE 2-Demand for sport lifts BT second-quarter results ,LONDON  Oct 31 Britain's BT reported second-quarter profit ahead of forecasts on Thursday  as strong demand for broadband and sports TV got the group off to a winning start under new Chief Executive Gavin Patterson.,topStory
BT,BT Group plc,20131031,Demand for BT Sports helps lift Q2 results ,LONDON  Oct 31 More than 2 million homes have signed up to take BT's new sports service  the group said on Thursday  as it reported strong trading for the first set of results under new chief executive Gavin Patterson.,normal
CNI,Canadian National Railway Company,20131031,UPDATE 1-Canada's CN Rail reaches tentative deal with Teamsters union ,TORONTO  Oct 31 Canadian National Railway Co   the country's largest rail operator  agreed to a new labor contract for some 3 300 conductors  trainmen  yardmen and traffic coordinators represented by the Teamsters union  the railway said Thursday.,topStory
CNI,Canadian National Railway Company,20131031,Canada's CN Rail reaches tentative deal with Teamsters union ,TORONTO  Oct 31 Canadian National Railway Co   the country's largest rail operator  said on Thursday it had agreed to a new labor contract for some 3 300 conductors  trainmen  yardmen and traffic coordinators represented by the Teamsters union.,normal
CBS,CBS Corporation,20131031,UPDATE 2-Time Warner Cable loses subscribers  says open to deals ,* Loses more than double the video customers than expected,topStory
CBS,CBS Corporation,20131031,Time Warner Cable profit drops after CBS blackout ,Oct 31 Time Warner Cable Inc  the second largest U.S. cable operator  posted a 34 percent drop in quarterly profit as it lost more video customers than analysts had expected when it blacked out No. 1 broadcaster CBS Corp  for a month.,normal
CVX,Chevron Corporation,20131031,REFILE-Lawyer 'wanted no part' of case against Chevron in Ecuador ,NEW YORK  Oct 31 A New York lawyer testified on Thursday that he quit a team that was suing Chevron Corp  over environmental pollution in Ecuador in 2010 for "ethical" reasons.,topStory
CI,Cigna Corporation,20131031,Canceled U.S. health plans are disruptive part of reform -Cigna CEO ,Oct 31 The hundreds of thousands of Americans whose individual insurance policies will be canceled as Obamacare takes full effect next year are experiencing a disruptive element of healthcare reform  the head of health insurer Cigna said on Thursday.,topStory
CI,Cigna Corporation,20131031,Cigna says will increase '14 profit despite pressures ,Insurer Cigna Corp said on Thursday it expects to increase its 2014 earnings from 2013  reflecting its smaller exposure to uncertainty around private Medicare and the rollout of individual insurance on new exchanges around the country.,normal
CI,Cigna Corporation,20131031,UPDATE 3-Cigna says will increase '14 profit despite pressures ,* Public insurance exchange may be long-term opportunity -CEO,normal
CI,Cigna Corporation,20131031,CORRECTED-UPDATE 2-Cigna profit rises and beats analyst expectations ,(Corrects number of Medicare and Medicaid customers in 9th paragraph to 488 000 from 488 million),normal
CI,Cigna Corporation,20131031,Cigna profit rises and beats analyst expectations ,Insurer Cigna Corp  on Thursday reported a third-quarter profit that beat analysts' expectations as revenue increased and it managed medical costs in its commercial business.,normal
CI,Cigna Corporation,20131031,Cigna third-quarter profit rises as company contains costs ,Oct 31 Cigna Corp said on Thursday that its third-quarter profit rose due to revenue growth and as it managed medical costs in its commercial business  and the results beat analysts' expectations.,normal
C,Citigroup Inc,20131031,Citigroup puts senior FX dealer in London on leave: source ,LONDON Citigroup has put its head of European spot currency trading in London  Rohan Ramchandani  on leave  as a global investigation into possible manipulation of foreign exchange rates gathers steam  a source familiar with the matter said on Thursday.,topStory
C,Citigroup Inc,20131031,Citi appoints Asian unit's Wadhwani to head EMEA consumer banking ,LONDON  Oct 31 Citigroup has appointed Anil Wadhwani  a veteran executive from its Asian business  to lead its consumer and commercial banking business in Europe  the Middle East and Africa (EMEA).,normal
CNHI,CNH Industrial NV,20131031,UPDATE 2-CNH Industrial sees light ahead for Iveco truck unit ,MILAN  Oct 31 Tractor and trucks maker CNH Industrial  reported an 11 percent fall in its third-quarter trading profit on Thursday  hit by a stronger euro  but said its long-suffering Iveco truck business might now be on the turn.,topStory
CNHI,CNH Industrial NV,20131031,Cnh Industrial share buy back "remains an option" - Chairman ,MILAN  Oct 31 Truck and tractor company CNH Industrial  Chairman Sergio Marchionne said on Thursday that a share buy back remains an option for the U.S.-listed group.,normal
CNHI,CNH Industrial NV,20131031,CNH Industrial sees improvement in Q4 Iveco trading profit ,MILAN  Oct 31 Truck and tractor maker CNH Industrial  sees "material" improvement in truck unit Iveco's shrinking trading profit in the fourth quarter of this year from the third quarter  CEO Richard Tobin said on Thursday.,normal
CNHI,CNH Industrial NV,20131031,CNH Industrial profit falls on strong euro ,MILAN Tractor and truck maker CNH Industrial's   third-quarter profit fell as a stronger euro hurt its Latin American business and its truck business suffered from pricing pressure in a flat market.,normal
CNHI,CNH Industrial NV,20131031,CNH Industrial sees EU truck market down 5 pct in 2013 ,MILAN  Oct 31 Tractor and truck maker CNH Industrial  sees the struggling truck market in the 27 European Union countries falling as much as 5 percent in 2013  it said in a third quarter earnings presentation on its website on Thursday.,normal
CNHI,CNH Industrial NV,20131031,CNH Industrial Q3 net profit falls to 248 mln euros ,MILAN  Oct 31 Truck and tractor maker CNH Industrial  said on Thursday third-quarter profit and margin fell as a stronger euro impacted its Latin American business  and confirmed its full-year targets.,normal
KO,Coca-Cola Company (The),20131031,Coke Femsa shares fall as Mexico passes food  drink taxes ,MEXICO CITY Shares of Mexico's biggest bottling company fell on Thursday as Congress approved a 1 peso-per-liter tax on sugary drinks and an 8 percent tax on junk food as part of a wider tax overhaul.,topStory
KO,Coca-Cola Company (The),20131031,UPDATE 1-Coke Femsa shares fall as Mexico passes food  drink taxes ,(Adds passing of law  companies' comments  updates share prices),normal
KO,Coca-Cola Company (The),20131031,Coke Femsa  Bimbo fall as Mexico poised to pass food  drink taxes ,MEXICO CITY  Oct 31 Shares of Mexico's food and drink companies fell on Thursday as Congress was poised to approve a 1 peso-per-liter tax on sugary drinks and an 8 percent tax on junk food as part of a wider tax overhaul.,normal
COP,ConocoPhillips,20131031,Conoco turns homeward for oil growth ,ConocoPhillips   abandoning higher-risk assets in favor of oilfields closer to home  said it expects proceeds of nearly $9 billion from the sale of its interests in Kazakhstan  Algeria and Nigeria.,topStory
COP,ConocoPhillips,20131031,UPDATE 3-Conoco turns homeward for oil growth ,* Expects about $9 bln from asset sales in Kazakhstan  Algeria  Nigeria,normal
COP,ConocoPhillips,20131031,ConocoPhillips profit jumps as oil  natural gas prices rise ,Oct 31 ConocoPhillips  the largest U.S. independent oil company  reported a 39 percent increase in quarterly profit  partly driven by higher oil and natural gas prices.,normal
COP,ConocoPhillips,20131031,Canada gives ConocoPhillips okay for exploratory drilling in Far North ,NEW YORK  Oct 30 Canada's National Energy Board on Wednesday approved ConocoPhillips's application to start exploratory drilling in the Northwest Territories  the first time the federal regulator has granted authorization for horizontal hydraulic fracturing (fracking) in Canada's Far North.,normal
CCK,Crown Holdings Inc,20131031,UPDATE 1-Food packager Crown to buy Mivisa Envases to expand in Spain ,* Crown to buy Mivisa from funds managed by Blackstone  N+1 Mercapital,topStory
CCK,Crown Holdings Inc,20131031,Food packager Crown to buy Mivisa Envases for 1.2 bln euros ,Oct 31 Food packaging company Crown Holdings Inc  said it will buy Spanish food-can producer Mivisa Envases for 1.2 billion euros ($1.65 billion) to expand in Spain.,normal
DAL,Delta Air Lines Inc,20131031,CORRECTED-Off-duty pilot charged with fondling 14-year-old girl on flight to Utah ,(Corrects paragraphs 1 and 2 to show pilot worked for regional carrier contracted to fly under name Delta Connection  not Delta Air Lines),topStory
DB,Deutsche Bank AG,20131031,Fitch tells Deutsche Bank to stick to reforms ,FRANKFURT  Oct 31 Fitch Ratings told Deutsche Bank to stick to its reform plans or face a ratings downgrade  piling pressure on Germany's flagship lender to lower costs and trading risks and to wrap up a long list of legal challenges.,topStory
DB,Deutsche Bank AG,20131031,RPT-Fitch: Deutsche Bank's Q313 Hit By Litigation Reserves and Poor FICC Performance ,Oct 31 (The following statement was released by the rating agency),normal
EC,Ecopetrol SA,20131031,UPDATE 1-Colombia Ecopetrol Q3 profit rises around 20 pct from yr ago ,* Rise in rebel attacks on oil facilities has hurt firms in Colombia   (Adds detail),topStory
ELLI,Ellie Mae Inc,20131031,Ellie Mae misses estimates due to lower mortgage volumes ,Ellie Mae Inc   whose software is used by mortgage professionals  reported a lower-than-expected third-quarter profit  hurt by lower mortgage volumes and higher R&D spending  pushing its shares down more than 20 percent after the bell.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20131031,UPDATE 2-Embraer misses profit forecast but stands by 2013 outlook ,SAO PAULO  Oct 31 Brazil's Embraer SA  posted an unexpected drop in quarterly profit on Thursday due to delayed aircraft deliveries  but the world's third-largest commercial planemaker stood by its 2013 forecasts on hopes for a strong fourth quarter.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20131031,Brazil's Embraer holds 2013 targets on strong 4th qtr outlook ,SAO PAULO  Oct 31 Brazilian planemaker Embraer SA expects a strong fourth quarter to help the company meet its full-year targets for deliveries and operating margins  Chief Financial Officer Jose Antonio Filippo said on a Thursday conference call.,normal
