AGEN,Agenus Inc,20130905,UPDATE 3-GSK cancer vaccine disappoints in melanoma trial ,* MAGE-A3 vaccine fails to extend disease-free survival in trial,topStory
COST,Costco Wholesale Corporation,20130905,CANADA STOCKS-TSX may open higher as global economy recovers ,Sept 5 Canadian stock index futures pointed to a flat to slightly higher open on Thursday with investors reluctant to make big bets as tension over the risk of military action in Syria was offset by signs of a better global economic recovery.,normal
COST,Costco Wholesale Corporation,20130905,UPDATE 1-US STOCKS-Futures flat as investors look to labor market data ,* Syria in focus after resolution passes Senate committee,normal
ERIC,Ericsson,20130905,BRIEF-Ericsson closes acquisition of Microsoft Mediaroom ,STOCKHOLM  Sept 5 ERICSSON :  * Ericsson closes acquisition of Microsoft Mediaroom,topStory
FB,Facebook Inc,20130905,Russia's Mail.Ru sells remaining Facebook stock ,MOSCOW Russian internet firm Mail.Ru has sold its remaining shares in social network group Facebook Inc for $525 million  making a hefty profit on its original investment and paving the way for a possible one-off payout to shareholders.,topStory
FB,Facebook Inc,20130905,New Snowden documents say NSA can break common Internet encryption ,SAN FRANCISCO  Sept 5 The U.S. National Security Agency has secretly developed the ability to crack or circumvent commonplace Internet encryption used to protect everything from email to financial transactions  according to media reports citing documents obtained by former NSA contractor Edward Snowden.,normal
FB,Facebook Inc,20130905,UPDATE 2-Russia's Mail.Ru sells remaining Facebook stock ,* Mail.Ru says Facebook was a financial  not strategic asset,normal
MSFT,Microsoft Corporation,20130905,BRIEF-Ericsson closes acquisition of Microsoft Mediaroom ,STOCKHOLM  Sept 5 ERICSSON :  * Ericsson closes acquisition of Microsoft Mediaroom,topStory
MSFT,Microsoft Corporation,20130905,Microsoft says wins patent trial against Google's Motorola ,SEATTLE Microsoft Corp said on Wednesday a jury decided in its favor in the second of two trials in federal court in Seattle concerning Motorola Mobility's licensing of so-called standard  essential patents used in Microsoft products.,normal
MSFT,Microsoft Corporation,20130905,UPDATE 1-Microsoft says wins patent trial against Google's Motorola ,SEATTLE  Sept 4 Microsoft Corp said on Wednesday a jury decided in its favor in the second of two trials in federal court in Seattle concerning Motorola Mobility's licensing of so-called standard  essential patents used in Microsoft products.,normal
SMRT,Stein Mart Inc,20130905,WRAPUP 3-U.S. retailers rely on deep discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Many U.S. retailers reported stronger-than-expected August sales on Thursday  but they had to use steep discounts to attract back-to-school shoppers.,normal
SMRT,Stein Mart Inc,20130905,WRAPUP 3-US retailers rely on discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Some U.S. retailers reported stronger-than-expected August sales on Thursday  but many of them had to resort to deep discounts to attract back-to-school shoppers.,normal
VOD,Vodafone Group Plc,20130905,Summer deals lift banks' hopes of M&A tipping point ,LONDON Verizon's deal to buy Vodafone out of their U.S. wireless venture for $130 billion may have been years in the making  but bankers hope it could be an inflexion point that marks the revival of big dealmaking.,topStory
VOD,Vodafone Group Plc,20130905,CORRECTED-Summer deals lift banks' hopes of M&A tipping point ,(Removes incorrect description of Smith & Nephew as private equity owned),normal
AGU,Agrium Inc,20130905,Glencore sale of Viterra farm outlets to Agrium wins Canadian regulatory nod ,Canadian regulators have approved Glencore Xstrata PLC's  sale of some Viterra farm retail stores to Canadian fertilizer company Agrium Inc  in a deal that will make Agrium the dominant farm retailer in Canada.,topStory
AGU,Agrium Inc,20130905,Glencore sale of Viterra farm outlets to Agrium wins regulator nod ,Sept 5 Canada's Competition Bureau has approved Glencore Xstrata PLC's selloff of some Viterra farm retail stores to Canadian fertilizer company Agrium Inc   Agrium said on Thursday.,normal
Y,Alleghany Corporation,20130905,Fitch Affirms Alleghany's Ratings; Outlook Stable ,(The following statement was released by the rating agency) CHICAGO  September 05 (Fitch) Fitch Ratings has affirmed the ratings of  Alleghany Corporation (Alleghany) as follows:   --Issuer Default Rating (IDR) at 'A-'; --Senior debt at 'BBB'.  Fitch has also affirmed the ratings of Alleghany's wholly owned subsidiary  Transatlantic Holdings  Inc. (Transatlantic) as follows: --IDR at 'A-'; --Senior debt at 'BBB+'.  In addition  Fitch has affirmed the 'A+' Insurer Financial Strength (IFS) rating ,topStory
AMOV,America Movil SAB de CV,20130905,UPDATE 4-AT&T  Sawiris circle Telecom Italia -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris and U.S. telecoms giant AT&T have contacted the core investors who want to sell their shares in Telecom Italia  a source close to the situation said.,topStory
AMOV,America Movil SAB de CV,20130905,America Movil not in talks with Telecom Italia shareholders -CFO ,MEXICO CITY  Sept 5 Mexican billionaire Carlos Slim's America Movil is not in talks with shareholders of Telecom Italia regarding any share purchases  a top executive at the Mexican company said on Thursday.,normal
AMOV,America Movil SAB de CV,20130905,AT&T  America Movil  Sawiris sound out T.Italia investors -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris  AT&T and America Movil have approached the core Telecom Italia investors who want to exit their unprofitable investment in the Italian group  a source familiar with the situation said.,normal
AMX,America Movil SAB de CV,20130905,UPDATE 4-AT&T  Sawiris circle Telecom Italia -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris and U.S. telecoms giant AT&T have contacted the core investors who want to sell their shares in Telecom Italia  a source close to the situation said.,topStory
AMX,America Movil SAB de CV,20130905,America Movil not in talks with Telecom Italia shareholders -CFO ,MEXICO CITY  Sept 5 Mexican billionaire Carlos Slim's America Movil is not in talks with shareholders of Telecom Italia regarding any share purchases  a top executive at the Mexican company said on Thursday.,normal
AMX,America Movil SAB de CV,20130905,AT&T  America Movil  Sawiris sound out T.Italia investors -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris  AT&T and America Movil have approached the core Telecom Italia investors who want to exit their unprofitable investment in the Italian group  a source familiar with the situation said.,normal
APO,Apollo Global Management LLC,20130905,Portugal shortlists Apollo  Fosun for sale of state insurer ,LISBON  Sept 5 The Portuguese government has shortlisted Chinese group Fosun International and a unit of U.S. investment fund Apollo Global Management  for the privatisation of the insurance arm of state-owned bank Caixa Geral de Depositos.,topStory
T,AT&T Inc,20130905,UPDATE 4-AT&T  Sawiris circle Telecom Italia -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris and U.S. telecoms giant AT&T have contacted the core investors who want to sell their shares in Telecom Italia  a source close to the situation said.,topStory
T,AT&T Inc,20130905,Summer deals lift banks' hopes of M&A tipping point ,LONDON Verizon's deal to buy Vodafone out of their U.S. wireless venture for $130 billion may have been years in the making  but bankers hope it could be an inflexion point that marks the revival of big dealmaking.,normal
T,AT&T Inc,20130905,AT&T  America Movil  Sawiris sound out T.Italia investors -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris  AT&T and America Movil have approached the core Telecom Italia investors who want to exit their unprofitable investment in the Italian group  a source familiar with the situation said.,normal
BSAC,Banco Santander Chile,20130905,Fitch Expects to Rate Banco Santander Chile's 6 Year CHF100-150MM Senior Fixed Rate Notes 'A+(exp)' ,(The following statement was released by the rating agency) BUENOS AIRES/SANTIAGO  September 05 (Fitch) Fitch Ratings expects to assign a  long-term foreign currency rating of 'A+(exp)' to Banco Santander Chile's (BSC)  six year CHF100-150 million senior unsecured fixed rate notes.  KEY RATING DRIVERS The rating assigned to BSC's new debt issuance correspond to the bank's  long-term Issuer Default Rating (IDR) and ranks equal to other senior unsecured  debt. BSC's IDRs and national scale ratings,topStory
BAC,Bank of America Corporation,20130905,U.S. judge rejects BofA mortgage modification class action ,A lawsuit accusing Bank of America Corp  of reneging on promises to help distressed homeowners modify their mortgage loans  and instead driving them into foreclosure  cannot proceed as a class action  a federal judge has ruled.,topStory
BNS,Bank of Nova Scotia (The),20130905,Scotiabank CEO says rate hikes best tool to avert housing bubble ,TORONTO  Sept 5 Canadian policymakers should raise interest rates if they fear a bubble is forming in the nation's housing market rather than imposing more regulations on Canada's big banks and mortgage lenders  the head of Bank of Nova Scotia said on Thursday.,topStory
BZH,Beazer Homes USA Inc,20130905,RPT-Fitch Affirms Beazer's IDR at 'B-'; Outlook Stable ,Sept 5 (The following statement was released by the rating agency),topStory
BBY,Best Buy Co Inc,20130905,WRAPUP 3-U.S. retailers rely on deep discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Many U.S. retailers reported stronger-than-expected August sales on Thursday  but they had to use steep discounts to attract back-to-school shoppers.,normal
BBY,Best Buy Co Inc,20130905,WRAPUP 3-US retailers rely on discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Some U.S. retailers reported stronger-than-expected August sales on Thursday  but many of them had to resort to deep discounts to attract back-to-school shoppers.,normal
BA,Boeing Company (The),20130905,Norwegian Air grounds Dreamliner after brake problem ,OSLO  Sept 5 Norwegian Air Shuttle has been forced to keep one of its new Boeing 787 Dreamliners on the ground in Stockholm since Monday after problems with its brakes  the company said on Thursday.,topStory
BA,Boeing Company (The),20130905,Boeing: China needs 5 580 new aircraft over next 20 years ,BEIJING China will need 5 580 commercial aircraft worth some $780 billion over the next 20 years  according to a statement released by Boeing Co  on Thursday.,normal
BAM,Brookfield Asset Management Inc,20130905,Fitch Rates Brookfield Asset Management's Debt Securities 'BBB'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  September 05 (Fitch) Fitch Ratings has assigned 'BBB' ratings to  Brookfield Asset Management Inc.'s (BAM) C$425 million aggregate principal  amount of debt debt securities consisting of C$300 million of Medium Term Notes  due March 2024 and C$125 million of 5.95% debentures due June 2035.  The Rating Outlook is Stable. Debt proceeds will be used to repay obligations. In August 2013  BAM negotiated  a settlement to terminate t,topStory
BG,Bunge Limited,20130905,Bunge strikes deal to sell Moroccan fertilizer stake ,CHICAGO  Sept 5 Bunge Ltd said on Thursday it was selling its stake in a Moroccan fertilizer company  less than a month after finalizing the sale of its Brazilian fertilizer operations.,topStory
DB,Deutsche Bank AG,20130905,REFILE-UPDATE 2-Europe's bankers defend scale  stop short of deals ,* Societe Generale  Unicredit say scale important in banking,topStory
E,ENI SpA,20130905,New Issue- ENI prices 900 mln euro 2025 bond ,Lead Manager(s)         Banca IMI  Credit Agricole CIB  Deutsche Bank ,topStory
EVR,Evercore Inc,20130905,Evercore hires former Goldman healthcare banker McAskin ,NEW YORK  Sept 5 Evercore Partners Inc  said on Thursday it had appointed Matthew McAskin  most recently the co-head of Goldman Sachs Group Inc's healthcare services investment banking  as a senior managing director in its healthcare group.,topStory
GPS,Gap Inc (The),20130905,WRAPUP 3-U.S. retailers rely on deep discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Many U.S. retailers reported stronger-than-expected August sales on Thursday  but they had to use steep discounts to attract back-to-school shoppers.,normal
GSK,GlaxoSmithKline PLC,20130905,GSK cancer vaccine disappoints in melanoma trial ,LONDON An experimental cancer vaccine from GlaxoSmithKline failed to help melanoma patients in a closely watched late-stage clinical trial  dealing a blow to the high-risk  high-reward project.,topStory
GSK,GlaxoSmithKline PLC,20130905,UPDATE 3-GSK cancer vaccine disappoints in melanoma trial ,* MAGE-A3 vaccine fails to extend disease-free survival in trial,normal
GSK,GlaxoSmithKline PLC,20130905,South Africa's Aspen says talks with GSK over thrombosis drugs continues ,JOHANNESBURG South Africa's biggest generic drug maker Aspen Pharmacare said on Thursday talks with Britain's GlaxoSmithKline about its $700 bid for drugs and a factory continues.,normal
GSK,GlaxoSmithKline PLC,20130905,South Africa's Aspen says talks with GSK over thrombosis drugs continues ,JOHANNESBURG  Sept 5 South Africa's biggest generic drug maker Aspen Pharmacare said on Thursday talks with Britain's GlaxoSmithKline about its $700 bid for drugs and a factory continues.,normal
GSK,GlaxoSmithKline PLC,20130905,UPDATE 1-Suntory closing in on deal to buy GSK drinks brands -sources ,LONDON  Sept 5 Japan's Suntory Beverage & Food  is in advanced talks to buy GlaxoSmithKline's  Lucozade and Ribena drinks for more than 1 billion pounds ($1.6 billion)  in a deal that would pre-empt an auction of the brands  two people close to the process said.,normal
GSK,GlaxoSmithKline PLC,20130905,Suntory closing in on deal to buy GSK drinks brands -sources ,LONDON  Sept 5 Japan's Suntory Beverage & Food  is in advanced talks to buy GlaxoSmithKline's  Lucozade and Ribena drinks for more than 1 billion pounds ($1.6 billion)  in a deal that would pre-empt an auction of the brands  two people following the process said.,normal
GSK,GlaxoSmithKline PLC,20130905,GSK cancer vaccine misses target in melanoma trial ,LONDON  Sept 5 An experimental cancer vaccine from GlaxoSmithKline failed to meet its first co-primary endpoint in a late-stage clinical trial  dealing a blow to the high-risk  high-reward project.,normal
GS,Goldman Sachs Group Inc (The),20130905,MOVES-BNY  Exotix  Goldman  Aviva Investors  Miton Group  Riverside ,Sept 5 The following financial services industry appointments were announced on Thursday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
GS,Goldman Sachs Group Inc (The),20130905,Evercore hires former Goldman healthcare banker McAskin ,NEW YORK  Sept 5 Evercore Partners Inc  said on Thursday it had appointed Matthew McAskin  most recently the co-head of Goldman Sachs Group Inc's healthcare services investment banking  as a senior managing director in its healthcare group.,normal
JPM,J P Morgan Chase & Co,20130905,JPMorgan to stop making student loans: company memo ,NEW YORK JPMorgan Chase & Co  has decided to get out of the student loan business  after the biggest U.S. bank concluded that competition from federal government programs and increased scrutiny from regulators had limited its ability to expand the business.,topStory
JPM,J P Morgan Chase & Co,20130905,UPDATE 3-JPMorgan to stop making student loans -company memo ,NEW YORK  Sept 5 JPMorgan Chase & Co has decided to get out of the student loan business  after the biggest U.S. bank concluded that competition from federal government programs and increased scrutiny from regulators had limited its ability to expand the business.,normal
JPM,J P Morgan Chase & Co,20130905,EXCLUSIVE-JPMorgan to stop making student loans -company memo ,(Adds names of competitors  background on JPMorgan's regulatory issues),normal
JCP,JC Penney Company Inc Holding Company,20130905,Penney to scrap Martha Stewart home goods line: NYPost ,J C Penney Co Inc  is scrapping a line of products designed by Martha Stewart that rival Macy's Inc  has claimed violated its contract with the home goods doyenne  the New York Post reported  citing sources familiar with the matter.,topStory
JCP,JC Penney Company Inc Holding Company,20130905,UPDATE 1-Penney to scrap Martha Stewart home goods line - NYPost ,Sept 5 J C Penney Co Inc is scrapping a line of products designed by Martha Stewart that rival Macy's Inc has claimed violated its contract with the home goods doyenne  the New York Post reported  citing sources familiar with the matter.,normal
KKR,KKR & Co LP,20130905,KKR to buy Mitchell International from Aurora Capital ,Private equity firm KKR & Co LP  has agreed to buy car and property claims software company Mitchell International Inc from Los-Angeles based buyout firm Aurora Capital Group  the firms said on Thursday.,topStory
KKR,KKR & Co LP,20130905,UPDATE 1-KKR to buy Mitchell International from Aurora Capital ,Sept 5 Private equity firm KKR & Co LP  has agreed to buy car and property claims software company Mitchell International Inc from Los-Angeles based buyout firm Aurora Capital Group  the firms said on Thursday.,normal
LMT,Lockheed Martin Corporation,20130905,Travel to suffer as defense industry cuts budgets ,WASHINGTON Having enjoyed a relatively strong summer travel season  U.S. hotels and airlines face a potential hit this autumn as the nation's defense industry and government departments rein in travel spending.,topStory
LPX,Louisiana-Pacific Corporation,20130905,Deals of the day -- mergers and acquisitions ,(Adds OCP  Hera  Snam  Louisiana-Pacific Corp; updates Smithfield),topStory
LPX,Louisiana-Pacific Corporation,20130905,Ainsworth deal lifts stocks of rival wood product firms ,TORONTO Shares of Canadian wood product companies rallied on Thursday as investors bet that Louisiana-Pacific Corp's  purchase of Ainsworth Lumber Co  pointed at the potential for further consolidation within the sector.,normal
M,Macy&#39;s Inc,20130905,Penney to scrap Martha Stewart home goods line: NYPost ,J C Penney Co Inc  is scrapping a line of products designed by Martha Stewart that rival Macy's Inc  has claimed violated its contract with the home goods doyenne  the New York Post reported  citing sources familiar with the matter.,topStory
M,Macy&#39;s Inc,20130905,UPDATE 1-Penney to scrap Martha Stewart home goods line - NYPost ,Sept 5 J C Penney Co Inc is scrapping a line of products designed by Martha Stewart that rival Macy's Inc has claimed violated its contract with the home goods doyenne  the New York Post reported  citing sources familiar with the matter.,normal
M,Macy&#39;s Inc,20130905,WRAPUP 3-US retailers rely on discounts to win back-to-school shoppers ,NEW YORK  Sept 5 Some U.S. retailers reported stronger-than-expected August sales on Thursday  but many of them had to resort to deep discounts to attract back-to-school shoppers.,normal
MNK,Mallinckrodt plc,20130905,Mallinckrodt's extended-release pain drug meets main goal of study ,Specialty pharmaceutical company Mallinckrodt Plc said its experimental painkiller significantly reduced the intensity of pain in patients who had undergone a surgical removal of bunions.,topStory
MON,Monsanto Company,20130905,Farmers appeal complaints about Monsanto to U.S. Supreme Court ,Sept 5 A group of U.S. farmers  seed companies and others challenging patents on genetically altered crops held by biotech seed giant Monsanto Co. on Thursday appealed their case to the U.S. Supreme Court.,topStory
MS,Morgan Stanley,20130905,Raymond James hires Morgan Stanley team in Maine ,Raymond James Financial Inc  said on Thursday it hired a team of four former Morgan Stanley Wealth Management advisers who managed more than $500 million in client assets to join the firm in Maine.,topStory
MS,Morgan Stanley,20130905,ON THE MOVE-Raymond James hires Morgan Stanley team in Maine ,Sept 5 Raymond James Financial Inc said on Thursday it hired a team of four former Morgan Stanley Wealth Management advisers who managed more than $500 million in client assets to join the firm in Maine.,normal
MSI,Motorola Solutions Inc,20130905,Microsoft says wins patent trial against Google's Motorola ,SEATTLE Microsoft Corp said on Wednesday a jury decided in its favor in the second of two trials in federal court in Seattle concerning Motorola Mobility's licensing of so-called standard  essential patents used in Microsoft products.,topStory
MSI,Motorola Solutions Inc,20130905,UPDATE 1-Microsoft says wins patent trial against Google's Motorola ,SEATTLE  Sept 4 Microsoft Corp said on Wednesday a jury decided in its favor in the second of two trials in federal court in Seattle concerning Motorola Mobility's licensing of so-called standard  essential patents used in Microsoft products.,normal
MSI,Motorola Solutions Inc,20130905,Microsoft says wins patent trial against Google's Motorola ,SEATTLE  Sept 4 Microsoft Corp said on Wednesday a jury decided in its favor in the second of two trials in federal court in Seattle concerning Motorola's licensing of so-called standard  essential patents used in Microsoft products.,normal
NKE,Nike Inc,20130905,British team switches to Nike from Adidas in seven-year deal ,LONDON U.S. sportswear company Nike will provide kit to the British athletics team until 2020  winning the contract after a legal battle involving current supplier Adidas.,topStory
DCM,NTT DOCOMO Inc,20130905,Japan's DoCoMo to begin selling iPhone as early as autumn -sources ,TOKYO  Sept 6 NTT DoCoMo Inc  Japan's largest mobile carrier  will begin selling Apple Inc's  iPhone as early as this autumn  sources familiar with the matter said on Friday.,topStory
DCM,NTT DOCOMO Inc,20130905,DoCoMo to offer Apple's iPhone: Nikkei ,Japan's NTT DoCoMo Inc is expected to offer Apple Inc's iPhone as early as autumn  catching up with rivals KDDI Corp and SoftBank Corp  the Nikkei said.,normal
DCM,NTT DOCOMO Inc,20130905,DoCoMo to offer Apple's iPhone - Nikkei ,Sept 6 Japan's NTT DoCoMo Inc is expected to offer Apple Inc's iPhone as early as autumn  catching up with rivals KDDI Corp and SoftBank Corp  the Nikkei said.,normal
OAS,Oasis Petroleum Inc,20130905,Deals of the day -- mergers and acquisitions ,(Adds OCP  Hera  Snam  Louisiana-Pacific Corp; updates Smithfield),topStory
OAS,Oasis Petroleum Inc,20130905,Oasis Petroleum ramps up production with $1.52 billion deal ,Oasis Petroleum Inc  will buy oil and gas assets in the Williston Basin in North Dakota from a clutch of sellers including Magnum Hunter Resources Corp  for about $1.52 billion  boosting its production by nearly a third.,normal
OAS,Oasis Petroleum Inc,20130905,UPDATE 2-Oasis Petroleum ramps up production with $1.52 bln deal ,* To add 161 000 net acres with deal  taking holdings to 492 000 acres,normal
PTR,PetroChina Company Limited,20130905,Scandal-hit PetroChina tightens control over managers to keep firm running ,BEIJING/HONG KONG PetroChina   has tightened control over its managers and stepped up safety inspections to ensure the "shock" from a deepening corruption scandal doesn't disrupt the global operations of the Chinese energy giant  officials told Reuters.,topStory
PTR,PetroChina Company Limited,20130905,Scandal-hit PetroChina tightens control over managers to keep firm running ,BEIJING/HONG KONG  Sept 6 PetroChina   has tightened control over its managers and stepped up safety inspections to ensure the "shock" from a deepening corruption scandal doesn't disrupt the global operations of the Chinese energy giant  officials told Reuters.,normal
RJF,Raymond James Financial Inc,20130905,ON THE MOVE-Raymond James hires Morgan Stanley team in Maine ,Sept 5 Raymond James Financial Inc said on Thursday it hired a team of four former Morgan Stanley Wealth Management advisers who managed more than $500 million in client assets to join the firm in Maine.,topStory
O,Realty Income Corporation,20130905,Fitch Affirms Realty Income's IDR at 'BBB+'; Outlook Stable ,(The following statement was released by the rating agency) NEW YORK  September 05 (Fitch) Fitch Ratings has affirmed the credit ratings of  Realty Income Corporation (NYSE: O) as follows: --Issuer Default Rating (IDR) at 'BBB+'; --$1 billion unsecured revolving credit facility at 'BBB+'; --$3.2 billion of senior unsecured notes at 'BBB+'; --$609.4 million of preferred stock at 'BBB-'.  The Rating Outlook is Stable. KEY RATING DRIVERS The affirmation of Realty Income's IDR at 'BBB+' is supported,topStory
SNN,Smith & Nephew SNATS Inc,20130905,CORRECTED-Summer deals lift banks' hopes of M&A tipping point ,(Removes incorrect description of Smith & Nephew as private equity owned),topStory
TI,Telecom Italia SPA,20130905,AT&T  Sawiris circle Telecom Italia: source ,MILAN Egyptian tycoon Naguib Sawiris and U.S. telecoms giant AT&T have contacted the core investors who want to sell their shares in Telecom Italia  a source close to the situation said.,topStory
TI,Telecom Italia SPA,20130905,UPDATE 4-AT&T  Sawiris circle Telecom Italia -source ,MILAN  Sept 5 Egyptian tycoon Naguib Sawiris and U.S. telecoms giant AT&T have contacted the core investors who want to sell their shares in Telecom Italia  a source close to the situation said.,normal
TI,Telecom Italia SPA,20130905,Telecom Italia investor Fossati urges Telefonica to decide ,MILAN  Sept 5 Telecom Italia investor Marco Fossati urged Telefonica to decide what to do with its stake in the Italian company and said time was ripe to join a consolidation wave in the telecoms industry.,normal
TI,Telecom Italia SPA,20130905,European shares helped by ECB vow to keep rates low ,* Investors snap up put options as Syria remains a concern,normal
TI,Telecom Italia SPA,20130905,America Movil not in talks with Telecom Italia shareholders -CFO ,MEXICO CITY  Sept 5 Mexican billionaire Carlos Slim's America Movil is not in talks with shareholders of Telecom Italia regarding any share purchases  a top executive at the Mexican company said on Thursday.,normal
TI,Telecom Italia SPA,20130905,European shares helped by ECB vow to keep rates low ,* Investors snap up put options as Syria remains a concern,normal
TI,Telecom Italia SPA,20130905,European shares inch higher ahead of ECB ,PARIS  Sept 5 European stocks inched higher around midday on Thursday  although trading was choppy as investors avoided taking big bets before ECB chief Mario Draghi's press conference.,normal
