AERI,Aerie Pharmaceuticals Inc,20131203,BRIEF-Aerie Pharmaceuticals: Needham starts with buy ,Dec 3 Dec 3 Aerie Pharmaceuticals Inc :  * Needham starts with buy rating and $18 price target For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
GS,Goldman Sachs Group Inc (The),20131203,Rogue trader should pay $118 mln to Goldman Sachs -U.S. ,NEW YORK  Dec 3 A former Goldman Sachs Group Inc  trader who pleaded guilty to fraudulently building an unauthorized $8.3 billion futures trade should repay $118 million to his former employer to cover its losses and spend about three years in prison  federal prosecutors said.,topStory
GS,Goldman Sachs Group Inc (The),20131203,Rogue trader should pay $118 million to Goldman Sachs: U.S. ,NEW YORK A former Goldman Sachs Group Inc trader who pleaded guilty to fraudulently building an unauthorized $8.3 billion futures trade should repay $118 million to his former employer to cover its losses and spend about three years in prison  federal prosecutors said.,normal
GS,Goldman Sachs Group Inc (The),20131203,Goldman hired as adviser for Hong Kong's Wing Hang Bank sale: sources ,Goldman Sachs  has been hired by the biggest shareholder of Wing Hang Bank Ltd  to advise on the sale of the Hong Kong family-run bank which has a market value of $4.5 billion  people familiar with the matter told Reuters.,normal
GS,Goldman Sachs Group Inc (The),20131203,Goldman hired as adviser for Hong Kong's Wing Hang Bank sale-sources ,Dec 3 Goldman Sachs has been hired by the biggest shareholder of Wing Hang Bank Ltd to advise on the sale of the Hong Kong family-run bank which has a market value of $4.5 billion  people familiar with the matter told Reuters.,normal
GWRE,Guidewire Software Inc,20131203,BRIEF-Guidewire Software up in extended trading after results ,NEW YORK  Dec 3 Guidewire Software Inc :  * Shares up 3.9 percent in extended trading after results,topStory
HRS,Harris Corporation,20131203,COMPETITIVE MUNICIPAL SALE CALENDAR ,Dec 3 - *=BANK QUALIFIED     RATING                                                BIDDING MDY/S&P/FITCH  ($MIL)          ISSUER                   DEADLINE (EST)                              [Dec. 03] Aa1  AA        75.00 Clark County  NV  GO                   11:30 AM                 5.50 Wayne County  MS  GO                   10:00 AM                *7.70 Algonquin Vlg  IL  GO                  11:00 AM      AAA       31.97 Chattanooga  TN  GO                    10:00 AM                *1.93 Ha,topStory
HLF,Herbalife LTD,20131203,UPDATE 1-Ackman's Pershing Square has double-digit gains on year ,BOSTON  Dec 3 Hedge fund manager William Ackman posted fresh gains in November even as his big short position on Herbalife lost more money  leaving his fund with double-digit returns for the year.,topStory
HMC,Honda Motor Company Ltd,20131203,UPDATE 1-Honda says Nov China auto sales more than double ,SHANGHAI  Dec 3 Honda Motor Co Ltd and its two local joint ventures sold 83 013 automobiles in China in November  up 101.5 percent from a year earlier  the Japanese automaker said on Tuesday.,topStory
HMC,Honda Motor Company Ltd,20131203,UPDATE 2-Hyundai Motor feels heat from Japanese rivals in China ,* Yen tumbles to more than 6-month-low against the dollar   (Recasts  adds company comments  China sales),normal
IBM,International Business Machines Corporation,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,topStory
IBM,International Business Machines Corporation,20131203,Google takes on Amazon by cutting cloud service prices ,SAN FRANCISCO  Dec 3 Google Inc will lower prices on cloud services as the search giant gears up to take on Amazon.com Inc  International Business Machines Corp and Microsoft Corp in the fast-growing market of Internet services for corporations.,normal
JPM,J P Morgan Chase & Co,20131203,U.S. regulators plan December 10 Volcker rule vote ,WASHINGTON Wall Street banks will get the final decision about a controversial ban on betting with their own money next week after years of debate  as three U.S. regulators each announced meetings to vote on the Volcker rule.,topStory
JPM,J P Morgan Chase & Co,20131203,Lawmaker Tyrie critical of JP Morgan fees on Co-op deal ,LONDON British lawmaker Andrew Tyrie called for a review of fees paid to advisers on M&A deals after it emerged JP Morgan  had a financial incentive for the Co-operative Bank's  ill-fated 2009 takeover of Britannia to proceed.,normal
