AMZN,Amazoncom Inc,20130903,Bezos offers clues to Washington Post: patience  experimentation ,Sept 3 Jeff Bezos  the founder of Amazon  who shocked media watchers when he agreed to buy The Washington Post  told the struggling newspaper he will guide it using the same approach that successfully shaped his e-commerce site and turned it into the world's largest online retailer.,topStory
FB,Facebook Inc,20130903,Factbox: Microsoft's patchy deal history ,SEATTLE Microsoft Corp has agreed to buy Nokia's handset business for $7.2 billion  but there is no guarantee that acquiring the fading cellphone pioneer will accelerate the PC-centric software company's lumbering move toward mobile computing.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
FLAT,iPath US Treasury Flattener ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
FLAT,iPath US Treasury Flattener ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
STPP,iPath US Treasury Steepener ETN,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
STPP,iPath US Treasury Steepener ETN,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
JBLU,JetBlue Airways Corporation,20130903,JetBlue not interested in merger  acquisition: CEO ,Washington JetBlue Airways Corp   mentioned as a possible takeover candidate if the proposed merger of US Airways Group Inc  and American Airlines  collapses  is not interested in a merger or acquisition  its chief executive said on Tuesday.,topStory
JBLU,JetBlue Airways Corporation,20130903,REUTERS SUMMIT-JetBlue not interested in merger  acquisition -CEO ,Washington  Sept 3 JetBlue Airways Corp   mentioned as a possible takeover candidate if the proposed merger of US Airways Group Inc and American Airlines collapses  is not interested in a merger or acquisition  its chief executive said on Tuesday.,normal
MSFT,Microsoft Corporation,20130903,INSIGHT-As Finland reels  Microsoft doubles down with Nokia phone deal ,HELSINKI/SEATTLE  Sept 3 In an era when shiny new tech start-ups can be worth tens of billions of dollars  Microsoft's deal to acquire Nokia's mobile handset business for 5.44 billion euros ($7.2 billion) is a modest one from a strictly financial point of view.,topStory
MSFT,Microsoft Corporation,20130903,Microsoft swallows Nokia's phone business for $7.2 billion ,HELSINKI/SEATTLE Microsoft Corp will buy Nokia's phone business and license its patents for 5.44 billion euros ($7.2 billion)  a bold foray into mobile devices that also brings potential chief executive contender Stephen Elop back into the fold. | Video ,normal
MSFT,Microsoft Corporation,20130903,Why Nokia didn't sell its patents to Microsoft ,SAN FRANCISCO Nokia may have sold its handset business to Microsoft Corp  but by hanging on to its valuable patent portfolio  the Finnish company could also get a big future payoff at the expense of Android phone makers.,normal
MSFT,Microsoft Corporation,20130903,UPDATE 1-Nokia patent move may mean big payoff post Microsoft ,SAN FRANCISCO  Sept 3 Nokia may have sold its handset business to Microsoft Corp  but by hanging on to its valuable patent portfolio  the Finnish company could also get a big future payoff at the expense of Android phone makers.,normal
MSFT,Microsoft Corporation,20130903,GLOBAL MARKETS-Support for U.S. action in Syria limits stocks' rise ,* U.S. stocks end up but off day's highs     * Microsoft slumps after Nokia deal     * Treasury bond selling resumes     * U.S. manufacturing sector expands     * U.S. dollar hits six-week high after major currencies       By Caroline Valetkevitch     NEW YORK  Sept 3 World stock markets rose on Tuesday but ended well off session highs as U.S. congressional leaders voiced support for military intervention in Syria  while bond yields rose and the dollar gained on strong U.S. manufactu,normal
MSFT,Microsoft Corporation,20130903,GLOBAL MARKETS-Support for U.S. Syria action limits stocks' rise ,* U.S. stocks trim gains; Microsoft slumps after Nokia deal     * Treasury bond selling resumes     * U.S. manufacturing sector expands     * U.S. dollar hits six-week high       By Caroline Valetkevitch     NEW YORK  Sept 3 World stock markets were up slightly on Tuesday but cut gains after U.S. congressional leaders voiced support for military intervention in Syria  while bond yields rose and the dollar gained on strong U.S. manufacturing data.     Data showing U.S. manufacturing h,normal
MSFT,Microsoft Corporation,20130903,UPDATE 8-Microsoft swallows Nokia's phone business for $7.2 bln ,* Elop among those who could succeed Microsoft CEO Ballmer,normal
MSFT,Microsoft Corporation,20130903,Nokia's grip on patents offers revenue potential after Microsoft deal ,SAN FRANCISCO  Sept 3 Nokia may have sold its handset business to Microsoft but by hanging on to its valuable patent portfolio  the Finnish company can try to boost royalties by sueing Android phone makers  or unload the patents in a future deal.,normal
MSFT,Microsoft Corporation,20130903,Timing of bullish Nokia options trades raises questions ,A flurry of bullish bets on Nokia just before markets closed on Friday are in line to pay off handsomely as a result of Microsoft's move to buy the Finnish company's handset business  and has once again raised questions about suspicious timing of such trades.,normal
MSFT,Microsoft Corporation,20130903,Timing of bullish Nokia options trades raises questions ,Sept 3 A flurry of bullish bets on Nokia just before markets closed on Friday are in line to pay off handsomely as a result of Microsoft's move to buy the Finnish company's handset business  and has once again raised questions about suspicious timing of such trades.,normal
MYL,Mylan NV,20130903,India cabinet approves Mylan's deal to buy Strides unit - minister ,NEW DELHI  Sept 3 India's cabinet on Tuesday approved Mylan Inc's deal to buy a unit of Strides Arcolab Ltd  Information and Broadcasting Minister Manish Tewari said  paving the way for  closure of the long-pending transaction.,topStory
NWS,News Corporation,20130903,News Corp sells Dow Jones' Local Media Group ,Sept 3 News Corp said it sold its Dow Jones Local Media Group  which includes eight daily and 15 weekly newspapers  to a unit of Fortress Investment Group LLC.,topStory
NWSA,News Corporation,20130903,News Corp sells Dow Jones' Local Media Group ,Sept 3 News Corp said it sold its Dow Jones Local Media Group  which includes eight daily and 15 weekly newspapers  to a unit of Fortress Investment Group LLC.,topStory
HAIN,The Hain Celestial Group Inc,20130903,Icahn cutting stake in Hain Celestial by half through stock sale ,NEW YORK Activist investor Carl Icahn and his entities are cutting their stake in Hain Celestial Group Inc  by roughly half  Hain said on Tuesday.,topStory
VIA,Viacom Inc,20130903,CORRECTED-COLUMN-MTV's Miley Cyrus mess  Donald Trump and the law  and who benefits from federal fines ,In the wake of MTV's universally-panned decision to feature 20-year-old Miley Cyrus in a cringe-producing sex pantomime with 36-year-old Robin Thicke during the telecast of the MTV Video Music Awards  reporters ought to be sticking microphones in front of producers and executives at MTV and its parent Viacom.,topStory
VIA,Viacom Inc,20130903,Column: MTV's Miley Cyrus mess  Donald Trump and the law  and who benefits from federal fines ,In the wake of MTV's universally-panned decision to feature 20-year-old Miley Cyrus in a cringe-producing sex pantomime with 36-year-old Robin Thicke during the telecast of the MTV Video Music Awards  reporters ought to be sticking microphones in front of producers and executives at MTV and its parent Viacom.,normal
VIAB,Viacom Inc,20130903,CORRECTED-COLUMN-MTV's Miley Cyrus mess  Donald Trump and the law  and who benefits from federal fines ,In the wake of MTV's universally-panned decision to feature 20-year-old Miley Cyrus in a cringe-producing sex pantomime with 36-year-old Robin Thicke during the telecast of the MTV Video Music Awards  reporters ought to be sticking microphones in front of producers and executives at MTV and its parent Viacom.,topStory
VIAB,Viacom Inc,20130903,Column: MTV's Miley Cyrus mess  Donald Trump and the law  and who benefits from federal fines ,In the wake of MTV's universally-panned decision to feature 20-year-old Miley Cyrus in a cringe-producing sex pantomime with 36-year-old Robin Thicke during the telecast of the MTV Video Music Awards  reporters ought to be sticking microphones in front of producers and executives at MTV and its parent Viacom.,normal
VVUS,VIVUS Inc,20130903,New Vivus CEO resigns over health issues ,Drugmaker Vivus Inc said Chief Executive Anthony Zook resigned for health reasons  barely a month after a shareholder revolt over disappointing sales of its diet drug installed him in the top job.,topStory
VVUS,VIVUS Inc,20130903,UPDATE 2-New Vivus CEO resigns over health issues ,Sept 3 Drugmaker Vivus Inc said Chief Executive Anthony Zook resigned for health reasons  barely a month after a shareholder revolt over disappointing sales of its diet drug installed him in the top job.,normal
VVUS,VIVUS Inc,20130903,Vivus CEO resigns due to health problems ,Sept 3 Drugmaker Vivus Inc said Chief Executive Anthony Zook resigned effective immediately due to recurring issues associated with a previously diagnosed medical condition  barely a month and a half after he assumed the role in a long-drawn proxy war.,normal
VOD,Vodafone Group Plc,20130903,UPDATE 2-Verizon to roadshow potential record bond issue next week ,NEW YORK/LONDON  Sept 3 (IFR/LPC) - Verizon Communications could steal the record from Apple  for the biggest bond issue ever to hit the global markets in coming weeks  as it begins the process of raising US$50bn of bonds to pay for part of the US$130bn price take on the 45% stake in Verizon Wireless that it is buying from Vodafone.,topStory
VOD,Vodafone Group Plc,20130903,Deals of the day -- mergers and acquisitions ,Sept 3 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Tuesday:,normal
VOD,Vodafone Group Plc,20130903,Bumper Vodafone sale to help UK stocks ,LONDON Shares in other telecoms companies  stocks with high dividends and firms eyeing share sales may all get a boost when UK-focused fund managers redeploy cash from Vodafone's sale of Verizon Wireless.,normal
VOD,Vodafone Group Plc,20130903,Bumper Vodafone sale to help UK stocks ,LONDON  Sept 3 Shares in other telecoms companies  stocks with high dividends and firms eyeing share sales may all get a boost when UK-focused fund managers redeploy cash from Vodafone's sale of Verizon Wireless.,normal
VOD,Vodafone Group Plc,20130903,Vodafone pummels UK FTSE on payout disappointment ,* Vodafone falls as terms of joint venture sale fuel profit taking,normal
VOD,Vodafone Group Plc,20130903,UPDATE 2-Vodafone's Project Spring to pressure competitors ,* Vodafone to use some Verizon Wireless proceeds to boost capex,normal
VOD,Vodafone Group Plc,20130903,US STOCKS-Futures imply steep gains; potential Syria action delayed ,* Obama to seek congressional authorization for Syria action,normal
VOD,Vodafone Group Plc,20130903,Vodafone drags down UK FTSE on payout disappointment ,* Reports of missiles in Eastern Mediterranean briefly unnerve investors,normal
VOD,Vodafone Group Plc,20130903,US STOCKS-Futures surge as potential Syria action delayed ,* Obama to seek congressional authorization for Syria action,normal
VOD,Vodafone Group Plc,20130903,UPDATE 1-Vodafone's Project Spring to pressure competitors ,* Vodafone to use some Verizon Wireless proceeds to boost capex,normal
AZN,Astrazeneca PLC,20130903,Study finds patients often stop using new AstraZeneca heart drug ,AMSTERDAM  Sept 3 Use of AstraZeneca's  new heart drug Brilinta is frequently discontinued in a real world setting  according to a small clinical study presented on Tuesday.,topStory
T,AT&T Inc,20130903,U.S. drug agents using vast AT&T database  New York Times says ,Sept 2 U.S. law enforcement officials investigating drug crimes have had access  using subpoenas  to a large AT&T Inc database that contains the records of phone calls dating back to 1987  according to a New York Times report.,topStory
AVT,Avnet Inc,20130903,EU mergers and takeovers (Sept 3) ,BRUSSELS  Sept 3 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
BAC,Bank of America Corporation,20130903,Bank of America selling remaining stake in Chinese bank ,HONG KONG/NEW YORK Bank of America Corp  said on Tuesday it started selling its remaining stake in China Construction Bank Corp  (CCB) for as much as $1.5 billion  marking the final step of the U.S. bank's multi-year exit from the asset.,topStory
BAC,Bank of America Corporation,20130903,UPDATE 3-Bank of America selling remaining stake in Chinese bank ,* Other U.S. banks also retreating from China investments,normal
BAC,Bank of America Corporation,20130903,UPDATE 1-Bank of America cutting China bank holdings with $1.5 bln stake sale ,* CCB shares offered at discount of up to 5.1 pct to Tuesday's close,normal
BAC,Bank of America Corporation,20130903,Bank of America launches up to $1.5 bln CCB stake sale-term sheet ,HONG KONG  Sept 3 Bank of America Corp  launched on Tuesday an up to $1.5 billion sell-down in China Construction Bank Corp (CCB) shares  offloading its remaining stake in China's second-biggest lender  according to a term sheet of the deal seen by Reuters.,normal
BCS,Barclays PLC,20130903,Barclays to sell UAE retail bank as revamp gathers pace ,DUBAI Barclays Plc  will sell its retail bank in the United Arab Emirates  highlighting the challenges foreign banks face in the Gulf competing against cash-rich local rivals who are finding it easier to meet stricter rules on risk.,topStory
BCS,Barclays PLC,20130903,UPDATE 1-Barclays to sell UAE retail bank as revamp gathers pace ,* Barclays follows other U.K. banks in selling UAE business,normal
BA,Boeing Company (The),20130903,BAE Systems U.S. CEO says expects declining or flat sales ,WASHINGTON BAE Systems Holdings Inc  sales are likely to be flat to down in 2014 and beyond as the U.S. unit of BAE Systems PLC  of the UK contends with dwindling U.S. defense spending  the company's chief executive officer said on Tuesday.,topStory
BA,Boeing Company (The),20130903,Boeing sees Brazil jet deal decided on merits  not politics ,WASHINGTON Boeing Co's  chances to win a $4 billion contract to sell fighter jets to Brazil should not be damaged by allegations that the United States spied on Brazil's president  the head of the aerospace company's defense unit said on Tuesday.,normal
BA,Boeing Company (The),20130903,Boeing starts production of U.S. Air Force tankers ,WASHINGTON Boeing Co  has begun building aerial tankers for the U.S. Air Force after passing a critical design review earlier this summer  a top executive said on Tuesday.,normal
BA,Boeing Company (The),20130903,Eurocopter vows to keep U.S. plant with new deals ,Europe's Eurocopter is confident of winning new contracts to maintain a 325 000 square-foot factory in Mississippi  despite uncertainty over delayed U.S. proposals to develop new reconnaissance helicopters.,normal
BA,Boeing Company (The),20130903,Boeing sees decision on South Korea fighter competition in 2-3 weeks ,WASHINGTON Boeing Co  said it expects South Korea to complete its assessment of bids for a $7.4 billion fighter contract within weeks  and is confident its F-15 Silent Eagle offering will secure the deal.,normal
BA,Boeing Company (The),20130903,Top Poland defence group PHO attracts foreign partners ,KIELCE  Poland  Sept 3 Poland's top defence group PHO  favoured as a partner by foreign defence companies vying for a share of Poland's military spending spree  has signed a cooperation deal with Boeing and unveiled a prototype of a new tank with BAE Systems.,normal
BA,Boeing Company (The),20130903,European Factors to Watch-Markets seen firm  Nokia to rally ,LONDON  Sept 3 European stocks are seen edging higher on Tuesday  building on the previous session's rally and with Nokia set to rally after Microsoft said it will buy the Finnish company's phone business.     Nokia  once the undisputed leader in mobile phones  has struggled to compete against rivals' smartphones  and investors have bet heavily against the stock by selling it short. With some 66 percent of lendable shares out on loan  according to Markit data  the shares could be vul,normal
BMY,Bristol-Myers Squibb Company,20130903,UPDATE 1-Novo could see U.S. sales hurt after losing two contracts ,(Adds dateline  rewrites first paragraph  adds analyst comment  updates shares),normal
CAJ,Canon Inc,20130903,Canon says to buy back up to 1.6 pct of its own shares ,TOKYO  Sept 3 Japan's Canon Inc said on Tuesday that it will buy back up to 1.6 percent of its own shares  spending up to 50 billion yen ($503.3 million) between Sept. 4 and Nov. 1.,topStory
CBS,CBS Corporation,20130903,CBS win squeezes Time Warner Cable's margins: analysts ,CBS Corp won large increases in the fees it will receive from Time Warner Cable Inc in its agreement with the cable operator that ended a month-long blackout of CBS  Showtime and other channels in key cities  analysts said.,topStory
CBS,CBS Corporation,20130903,PRESS DIGEST-New York Times business news - Sept 3 ,Sept 3 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.,normal
CVX,Chevron Corporation,20130903,UPDATE 1-Lithuania grants Chevron right to explore for shale gas ,VILNIUS  Sept 3 U.S. energy major Chevron  has won a tender to explore for shale gas in western Lithuania  the government said on its Twitter feed on Tuesday  as the Baltic state tries to wean itself from its dependence from Russian gas.,topStory
CVX,Chevron Corporation,20130903,Lithuania govt says Chevron wins shale gas exploration tender ,VILNIUS  Sept 3 Chevron has won a tender to explore for shale gas in western Lithuania  the Baltic state's government said on its Twitter account on Tuesday.,normal
C,Citigroup Inc,20130903,Citigroup to sell private equity fund to Rohatyn Group ,Citigroup Inc said it will sell a $4.3 billion private equity fund  known as Citi Venture Capital International  for an undisclosed price to investment firm Rohatyn Group.,topStory
C,Citigroup Inc,20130903,UPDATE 1-Citigroup to sell private equity fund to Rohatyn Group ,Sept 3 Citigroup Inc said it will sell a $4.3 billion private equity fund  known as Citi Venture Capital International  for an undisclosed price to investment firm Rohatyn Group.,normal
C,Citigroup Inc,20130903,Citigroup sheds more than $6 billion in PE  hedge fund assets: WSJ ,Citigroup Inc  has sold more than $6 billion in private equity and hedge fund assets in the past month to comply with new regulations that limit such investments  the Wall Street Journal reported  citing people familiar with the transactions.,normal
C,Citigroup Inc,20130903,Citigroup sheds more than $6 bln in PE  hedge fund assets - WSJ ,Sept 2 Citigroup Inc has sold more than $6 billion in private equity and hedge fund assets in the past month to comply with new regulations that limit such investments  the Wall Street Journal reported  citing people familiar with the transactions.,normal
DB,Deutsche Bank AG,20130903,Stricker grabs Cup spot with second place at Boston ,NORTON  Massachusetts Steve Stricker earned a place on the United States team for the Presidents Cup after a second-place finish at the Deutsche Bank Championship on Monday moved him ahead of Webb Simpson.,topStory
DB,Deutsche Bank AG,20130903,Stenson wins Deutsche Bank Championship ,NORTON  Massachusetts Sweden's Henrik Stenson won the Deutsche Bank Championship by two shots with a five-under-par round of 66  leaving him with a tournament record-tying total of 22-under 262 at the TPC Boston on Monday.,normal
LLY,Eli Lilly and Company,20130903,UPDATE 1-Novo could see U.S. sales hurt after losing two contracts ,(Adds dateline  rewrites first paragraph  adds analyst comment  updates shares),normal
ELLI,Ellie Mae Inc,20130903,Ellie Mae taps Morgan Stanley to oversee sale: sources ,NEW YORK Mortgage software company Ellie Mae  has hired Morgan Stanley  to try to sell the company  two sources familiar with the deal told Reuters on Tuesday.,topStory
ELLI,Ellie Mae Inc,20130903,Ellie Mae taps Morgan Stanley to oversee sale -sources ,NEW YORK  Sept 3 Mortgage software company Ellie Mae has hired Morgan Stanley to try to sell the company  two sources familiar with the deal told Reuters on Tuesday.,normal
ERJ,Embraer-Empresa Brasileira de Aeronautica,20130903,BRIEF-Latecoere shares rise 3.5 pct after Embraer deal ,PARIS  Sept 3 Latecoere SA :  * Shares rise 3.5 percent after Embraer deal,topStory
E,ENI SpA,20130903,UPDATE 1-Eni steps up the gas in Mozambique ,MILAN  Sept 3 Eni said on Tuesday it had made a new gas discovery at its giant Mozambique field  opening up new acreage at what is the Italian oil and gas group's biggest ever gas discovery.,topStory
EOG,EOG Resources Inc,20130903,EOG Resources says ruptured Texas oil well capped  fire out ,HOUSTON  Sept 3 A ruptured oil well that burned for days last week has been capped and the blaze extinguished  EOG Resources Inc said on Tuesday.,topStory
GM,General Motors Company,20130903,GM India recalling 4 000 Sail cars due to potential engine issue ,Sept 3 General Motors Co. said on Tuesday it was recalling 4 000 of its Chevrolet Sail diesel variant cars in India to address a potential engine issue.,topStory
GSK,GlaxoSmithKline PLC,20130903,Bribery by GSK China was coordinated at company level: Xinhua ,SHANGHAI A Chinese police investigation into drugmaker GlaxoSmithKline has discovered that alleged bribery of doctors in China was coordinated by the British company and was not the work of individual employees  state media reported on Tuesday.,topStory
GSK,GlaxoSmithKline PLC,20130903,UPDATE 1-Bribery by GSK China was coordinated at company level- Xinhua ,SHANGHAI  Sept 3 A Chinese police investigation into drugmaker GlaxoSmithKline has discovered that alleged bribery of doctors in China was coordinated by the British company and was not the work of individual employees  state media reported on Tuesday.,normal
GSK,GlaxoSmithKline PLC,20130903,Bribery by GSK China was coordinated at company level- Xinhua ,SHANGHAI  Sept 3 A Chinese police investigation into drugmaker GlaxoSmithKline has discovered that alleged bribery of doctors in China was coordinated by the British company and was not the work of individual employees  state media reported on Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20130903,Expert networks: thriving in Asia  away from U.S. scrutiny ,SINGAPORE/HONG KONG Expert networks - a matchmaking service linking investors such as hedge funds with company insiders - are under scrutiny from regulators in the United States  but are expanding across Asia  where the market for corporate intelligence is less transparent.,topStory
GS,Goldman Sachs Group Inc (The),20130903,UPDATE 3-Bank of America selling remaining stake in Chinese bank ,* Other U.S. banks also retreating from China investments,normal
HRB,H&R Block Inc,20130903,H&R Block loss widens as costs rise; bank deal delayed ,U.S. tax preparer H&R Block Inc  reported a bigger-than-expected quarterly loss as higher costs outweighed a sharp rise in revenue  sending its shares down nearly 5 percent in extended trading.,topStory
HRB,H&R Block Inc,20130903,UPDATE 1-H&R Block loss widens as costs rise; bank deal delayed ,Sept 3 U.S. tax preparer H&R Block Inc  reported a bigger-than-expected quarterly loss as higher costs outweighed a sharp rise in revenue  sending its shares down nearly 5 percent in extended trading.,normal
HMC,Honda Motor Company Ltd,20130903,Honda to increase output capacity by 30 pct in India - Nikkei ,Sept 4 Honda Motor Co Ltd plans to increase its motorcycle production capacity in India by 30 percent by 2016  aiming to  catch up with market leader and former joint venture partner Hero MotoCorp Ltd  the Nikkei reported.,topStory
HSBC,HSBC Holdings plc,20130903,New Issue-HSBC Holding prices 1.5 bln euro 2024 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 241.8bp,topStory
HSBC,HSBC Holdings plc,20130903,UPDATE 3-Bank of America selling remaining stake in Chinese bank ,* Other U.S. banks also retreating from China investments,normal
HSEA,HSBC Holdings plc,20130903,New Issue-HSBC Holding prices 1.5 bln euro 2024 bond ,Underlying govt bond    Over Mid-swaps  equivalent to 241.8bp,topStory
