AMCN,AirMedia Group Inc,20131119,BRIEF-AirMedia sees Q4 2013 revenue $76 million to $79 million ,Nov 19 Airmedia Group Inc :  * Announces unaudited third quarter 2013 financial results  * Q3 revenue fell 5.6 percent to $69 million  * Sees Q4 2013 revenue $76 million to $79 million  * Sees Q4 2013 revenue down 4.4 to 8 percent  * Q3 net loss per ads $0.06  * Source text for Eikon   * Further company coverage,topStory
CARB,Carbonite Inc,20131119,BRIEF-Carbonite files for $75 mln mixed shelf offering ,Nov 19 Carbonite Inc :  * Files for $75 million mixed shelf offering - SEC filing * Source text for Eikon  * Further company coverage,topStory
CELG,Celgene Corporation,20131119,BRIEF- Celgene invests $6 mln in Alliqua at $3.59/shr ,Nov 19 Alliqua Inc :  * Announces transaction with Celgene  * Says Celgene invests $6.0 million in Alliqua at $3.59 per share  * Says Alliqua receives license to Celgene cellular therapeutics advanced wound,topStory
CHFC,Chemical Financial Corporation,20131119,BRIEF-Chemical Financial ups quarterly dividend by 4.5 pct ,Nov 19 Chemical Financial Corp :  * Increases cash dividend  * Sets quarterly common stock cash dividend of $0.23 per share  * Says dividend represents a 4.5% increase over the third quarter 2013 cash,topStory
CNET,ChinaNet Online Holdings Inc,20131119,BRIEF-ChinaNet reports Q3 earnings per share $0.05 ,Nov 19 ChinaNet Online Holdings Inc :  * Reports third quarter 2013 financial results  * Q3 revenue fell 27 percent to $7.5 million  * Q3 earnings per share $0.05  * Sees fiscal 2013 revenues: $30 million net income: $1.2 million  * Source text for Eikon   * Further company coverage,topStory
CTAS,Cintas Corporation,20131119,RESEARCH ALERT-ABM Industries  Cintas: Piper Jaffray starts with neutral ,Nov 19   * ABM Industries  Cintas Corp : Piper Jaffray starts with neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
CLVS,Clovis Oncology Inc,20131119,BRIEF-Clovis Oncology buys Ethical Oncology Science S.P.A. for up-front payment of $200 mln ,Nov 19 Clovis Oncology Inc :  * Acquires EOS (Ethical Oncology Science) S.P.A. to gain rights to Lucitanib  a,topStory
COMM,CommScope Holding Company Inc,20131119,BRIEF-CommScope to reprice term loan portion of senior secured credit facility due in 2018 ,Nov 19 CommScope Holding Company Inc :  * Commscope holding company-on November 19  co announced intention to reprice,topStory
COST,Costco Wholesale Corporation,20131119,RPT-Fitch Affirms Costco's IDR at 'A+'; Outlook Stable ,Nov 19 (The following statement was released by the rating agency),topStory
DAKT,Daktronics Inc,20131119,BRIEF-Daktronics Q2 earnings per share $0.27 ,Nov 19 Daktronics Inc :  * Announces second quarter fiscal 2014 results  * Q2 earnings per share $0.27  * Q2 earnings per share view $0.21 -- Thomson Reuters I/B/E/S  * Q2 sales $161.6 million versus I/B/E/S view $152.7 million  * Says backlog at end of the fiscal 2014 second quarter was $132 million ,topStory
ETFC,E*TRADE Financial Corporation,20131119,E*Trade gets another nod from regulators on its recovery ,NEW YORK  Nov 19 E*Trade Financial Corp  said on Tuesday that it has received approval from regulators to divert capital from its bank subsidiary to use for broader corporate purposes.,topStory
EIGI,Endurance International Group Holdings Inc,20131119,BRIEF-Endurance International: Morgan Stanley starts with overweight ,Nov 19 Endurance International Group Holdings Inc  :  * Morgan Stanley starts with overweight; price target $16  For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US      For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
EIGI,Endurance International Group Holdings Inc,20131119,RESEARCH ALERT-Endurance International: Goldman Sachs starts with buy - Theflyonthewall.com ,Nov 19 Endurance International Group Holdings Inc  :  * Goldman Sachs starts with buy rating - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
EIGI,Endurance International Group Holdings Inc,20131119,RESEARCH ALERT-Endurance International: Wells Fargo starts with outperform - Theflyonthewall.com ,Nov 19 Endurance International Group Holdings Inc  :  * Wells Fargo starts with outperform rating - Theflyonthewall.com For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,normal
EXXI,Energy XXI Gulf Coast Inc,20131119,BRIEF-Energy XXI (Bermuda) gives pricing of upsized private offering of $350 mln of convertible notes due 2018 ,Nov 19 Energy XXI (Bermuda) Ltd :  * Announces pricing of upsized private offering of $350 million of convertible,topStory
ERIC,Ericsson,20131119,BRIEF-Ericsson signs deal with China Mobile for LTE ,STOCKHOLM  Nov 19 ERICSSON :  * Ericsson continues strategic partnership with China Mobile for lte  * Says Ericsson will deploy LTE TDD (TD-LTE) in 15 provinces in mainland China,topStory
EVOK,Evoke Pharma Inc,20131119,BRIEF-Evoke Pharma up 58.7 percent premarket; Aegis Capital starts with buy rating  $60 price target ,NEW YORK  Nov 19 Evoke Pharma Inc :  * Up 58.7 percent to $12.93 in premarket; Aegis Capital starts with buy rating  $60 price target,topStory
HZNP,Horizon Pharma plc,20131119,Horizon Pharma to buy U.S. rights to AstraZeneca's arthritis drug ,Horizon Pharma Inc said it would buy the right to market AstraZeneca Plc's arthritis drug Vimovo in the United States for an upfront payment of $35 million  sending up its shares 24 percent in premarket trading.,topStory
HZNP,Horizon Pharma plc,20131119,BRIEF-Horizon Pharma up 23 percent premarket; to buy U.S. rights for Vimovo drug ,NEW YORK  Nov 19 Horizon Pharma Inc :  * Up 23 percent to $5.50 in premarket; to buy U.S. rights for Vimovo drug,normal
HZNP,Horizon Pharma plc,20131119,BRIEF-POZEN says Horizon Pharma to buy U.S. rights for Vimovo drug ,Nov 19 POZEN Inc :  * Announces U.S. rights for Vimovo to be acquired by Horizon Pharma USA  inc * Source text for Eikon  * Further company coverage,normal
HZNP,Horizon Pharma plc,20131119,BRIEF-Horizon Pharma agrees to buy U.S. rights to AstraZeneca drug Vimovo ,Nov 19 Horizon Pharma Inc :  * Announces agreement to acquire U.S. rights to Vimovo(R) and provides 2014,normal
IEP,Icahn Enterprises LP,20131119,Normally chatty Icahn falls silent on Las Vegas investment ,NEW YORK  Nov 19 - Carl Icahn is seldom at a loss for words.,topStory
JCOM,j2 Global Inc,20131119,BRIEF-Ziff Davis acquires Techbargains.com ,Nov 19 j2 Global Inc :  * Ziff Davis acquires techbargains.com  * Ziff Davis says terms of the acquisition were not disclosed and the financial,topStory
MGLN,Magellan Health Inc,20131119,BRIEF-Arizona court rules against Magellan Health's appeal ,Nov 19 Magellan Health Services Inc :  * Administrative law judge in Arizona office issued decision to rule against,topStory
MELI,MercadoLibre Inc,20131119,RESEARCH ALERT-Mercadolibre: JP Morgan raises target price ,Nov 18 MercadoLibre Inc :  * JP Morgan raises target price to $112 from $109; rating neutral For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
MSFT,Microsoft Corporation,20131119,Microsoft's Gates highlights tough requirements for new CEO ,BELLEVUE  Washington Chairman Bill Gates said on Tuesday he was pleased with Microsoft Corp's progress in finding a new chief executive but outlined the difficulties in picking the next leader of the world's largest software company as it seeks to reinvent itself as a mobile computing power.,topStory
MSFT,Microsoft Corporation,20131119,UPDATE 2-Microsoft's Gates highlights tough requirements for new CEO ,BELLEVUE  Wash.  Nov 19 Chairman Bill Gates said on Tuesday he was pleased with Microsoft Corp's  progress in finding a new chief executive but outlined the difficulties in picking the next leader of the world's largest software company as it seeks to reinvent itself as a mobile computing power.,normal
MSFT,Microsoft Corporation,20131119,CORRECTED-UPDATE 1-Microsoft's Gates says 'pleased with progress' of CEO search ,(Corrects to show answered questions  not asked them in third paragraph),normal
MSFT,Microsoft Corporation,20131119,Nokia shareholders approve sale of mobile business to Microsoft ,HELSINKI Nokia shareholders approved the 5.4 billion euros ($7.4 billion) sale of the company's mobile phone business to Microsoft  deciding the deal's financial benefits outweighed any objections to the loss of a Finnish national asset.,normal
MSFT,Microsoft Corporation,20131119,UPDATE 2-Nokia shareholders approve sale of mobile business to Microsoft ,(Updates with final vote  shareholders' comments  adds background  writes through),normal
MSFT,Microsoft Corporation,20131119,Nokia shareholders approve sale of handset business to Microsoft ,HELSINKI Nokia shareholders approved the sale of the company's mobile phone business to Microsoft  deciding the deal's financial benefits outweighed objections by a minority of investors upset by the sale of a Finnish national asset.,normal
MSFT,Microsoft Corporation,20131119,Nokia shareholders approve sale of handset business to Microsoft ,HELSINKI  Nov 19 Nokia shareholders approved the sale of the company's mobile phone business to Microsoft  deciding the deal's financial benefits outweighed objections by a minority of investors upset by the sale of a Finnish national asset.,normal
MSFT,Microsoft Corporation,20131119,Microsoft's Gates says 'pleased with progress' of CEO search ,BELLEVUE  Wash.  Nov 19 Microsoft Corp  Chairman Bill Gates said on Tuesday he was pleased with the software company's progress in finding a new chief executive and the search committee had spoken to a number of candidates  but he did not give a date by which he expected a new leader to replace the retiring Steve Ballmer.,normal
MSFT,Microsoft Corporation,20131119,Nokia shareholders set to approve Microsoft deal ,HELSINKI  Nov 19 Nokia shareholders were set to approve the sale of the company's mobile phone business to Microsoft on Tuesday  deciding the deal's financial benefits outweighed objections by a minority of investors upset by the sale of a Finnish national asset.,normal
MSFT,Microsoft Corporation,20131119,RPT-Nokia shareholders expected to approve Microsoft deal ,HELSINKI  Nov 19 Nokia shareholders are expected to approve the sale of its mobile phone business to Microsoft on Tuesday  with the deal's financial benefits likely to outweigh resistance from a minority of investors upset over the sale of a Finnish national icon.,normal
MDLZ,Mondelez International Inc,20131119,BRIEF-Mondelez announces $1.5 bln cash tender offer for certain notes ,Nov 19 Mondelez International Inc :  * Announces $1.5 billion cash tender offer for certain notes  * Tender offer will expire on December 17 2013  * Source text for Eikon   * Further company coverage,topStory
MDLZ,Mondelez International Inc,20131119,BRIEF-Mondelez invests over $100 million in new European biscuit factory ,Nov 18 Mondelez International Inc :  * Invests over $100 million in new European biscuit factory  * Says the investment will create 200 new roles making oreo cookies and belvita,normal
NDAQ,Nasdaq Inc,20131119,Three exchange firms considering bids for Euronext - WSJ ,Nov 18 London Stock Exchange Group  Nasdaq OMX Group Inc and Deutsche Börse AG are considering individual bids for European exchange group Euronext  the Wall Street Journal reported  citing people familiar with the discussions.,topStory
NWS,News Corporation,20131119,Rupert Murdoch close to finalizing divorce: report ,Rupert Murdoch  the chairman of News Corp and 21st Century Fox  and his wife of 14 years  Wendi Deng Murdoch  are close to settling their divorce  according to a report in the New York Times.,topStory
NWS,News Corporation,20131119,Rupert Murdoch close to finalizing divorce - report ,Nov 19 Rupert Murdoch  the chairman of News Corp  and 21st Century Fox  and his wife of 14 years  Wendi Deng Murdoch  are close to settling their divorce  according to a report in the New York Times.,normal
NWSA,News Corporation,20131119,Rupert Murdoch close to finalizing divorce: report ,Rupert Murdoch  the chairman of News Corp and 21st Century Fox  and his wife of 14 years  Wendi Deng Murdoch  are close to settling their divorce  according to a report in the New York Times.,topStory
NWSA,News Corporation,20131119,Rupert Murdoch close to finalizing divorce - report ,Nov 19 Rupert Murdoch  the chairman of News Corp  and 21st Century Fox  and his wife of 14 years  Wendi Deng Murdoch  are close to settling their divorce  according to a report in the New York Times.,normal
OMER,Omeros Corporation,20131119,BRIEF-Omeros presents late-stage trial data of eye drug at American Academy of Ophthalmology meeting ,Nov 19 Omeros Corp :  * Reports phase 3 oms302 clinical data presented at the annual American academy,topStory
OTIV,On Track Innovations Ltd,20131119,BRIEF-On Track Innovations directors purchase additional 69 100 shares of the company ,Nov 19 On Track Innovations Ltd :  * Oti directors purchase additional 69 100 shares of otiv * Source text for Eikon  * Further company coverage,topStory
PMBC,Pacific Mercantile Bancorp,20131119,BRIEF-Leila Rohani named SVP & regional manager of Pacific Mercantile Bank's Newport Beach Financial Center ,Nov 19 Pacific Mercantile Bancorp :  * Leila rohani named SVP & regional manager of Pacific Mercantile bank's,topStory
PTNR,Partner Communications Company Ltd,20131119,Israel's Partner Comms Q3 profit drops less than expected ,TEL AVIV  Nov 19 Partner Communications   Israel's second-largest mobile phone operator  posted a 65 percent drop in third-quarter net profit as the company faces increased competition and an erosion in prices.,topStory
PTNR,Partner Communications Company Ltd,20131119,BRIEF-Partner Communications reports Q3 EPS of $0.07/shr ,Nov 19 Partner Communications Company Ltd :  * Reports third quarter 2013 results1  * Q3 revenue fell 15 percent to $316 million  * Q3 earnings per share $0.07  * Q3 cellular arpu $24  down 13 percent  * Says subscriber base growth of 29 000 in the third quarter  * Source text for Eikon   * Further company coverage,normal
PFBI,Premier Financial Bancorp Inc,20131119,BRIEF-Premier Financial Bancorp to buy Bank of Gassaway ,Nov 19 Premier Financial Bancorp Inc :  * Announces agreement to purchase bank of gassaway  * Deal valued at about $20.3 million  * As a cash purchase  earnings from bank of gassaway locations will become,topStory
QIWI,QIWI plc,20131119,BRIEF-Qiwi up 10.5 percent premarket after Q3 results ,NEW YORK  Nov 19 Qiwi PLC :  * Up 10.5 percent to $46.47 in premarket after Q3 results,topStory
QIWI,QIWI plc,20131119,BRIEF-Qiwi Q3 adjusted earnings per share RUB 11.63 ,Nov 19 Qiwi PLC :  * Announces third quarter 2013 results  * Q3 adjusted earnings per share rub 11.63  * Q3 revenue rose 13 percent to $25.8 million  * Says 2013 adjusted net revenue is expected to increase by 42% to 45% over,normal
RYAAY,Ryanair Holdings plc,20131119,Britain's FTSE slips  Intertek big faller ,LONDON  Nov 19 Britain's top share index slipped on Tuesday  hurt by testing firm Intertek on worries over a slowdown in its business  though analysts were confident that technical support would cap any weakness in the broader market.,topStory
RYAAY,Ryanair Holdings plc,20131119,Britain's FTSE weakens  Intertek big faller ,LONDON  Nov 19 Britain's top share index weakened on Tuesday  weighed down by testing firm Intertek  on worries over a slowdown in its business  though analysts were confident technical support would cap any weakness in the broader market.,normal
RYAAY,Ryanair Holdings plc,20131119,EasyJet's profit leap underlines advantage over Ryanair ,LONDON British budget airline easyJet  reported a sharp rise in annual profit and said it would pay a 175 million pound ($282 million) special dividend to shareholders  underlining its advantage over larger Irish rival Ryanair . | Video ,normal
RYAAY,Ryanair Holdings plc,20131119,Earnings concerns keep FTSE 100 under pressure ,LONDON  Nov 19 Testing firm Intertek led the FTSE 100 lower on Tuesday on concerns over a slowdown in its business  while doubts linger more broadly over corporate earnings and whether they are doing enough to justify the recent equity market rally.,normal
RYAAY,Ryanair Holdings plc,20131119,UPDATE 2-EasyJet's profit leap underlines advantage over Ryanair ,LONDON  Nov 19 British budget airline easyJet  reported a sharp rise in annual profit and said it would pay a 175 million pound ($282 million) special dividend to shareholders  underlining its advantage over larger Irish rival Ryanair.,normal
RYAAY,Ryanair Holdings plc,20131119,Earnings concerns drag on FTSE 100 ,LONDON  Nov 19 The FTSE 100 tracked U.S. and Asian stock markets lower on Tuesday  with doubts setting in as to whether this year's rally has pushed share prices higher than are justified by corporate earnings.,normal
LEDS,SemiLEDS Corporation,20131119,BRIEF-SemiLEDs Q4 non-GAAP loss per share $0.26 ,Nov 19 SemiLEDs Corp :  * Reports fourth quarter and fiscal year end 2013 financial results  * Q4 non-GAAP loss per share $0.26  * Q4 GAAP loss per share $0.64  * Q4 revenue fell 38 percent to $3.4 million  * GAAP gross margin for Q4 was negative 103%  compared with gross margin for,topStory
SAMG,Silvercrest Asset Management Group Inc,20131119,BRIEF-Silvercrest Asset Management CEO Cochran dies in Connecticut ,Nov 19 Silvercrest Asset Management Group Inc  :  * Moffett Cochran announcement  * G. Moffett Cochran  chief executive officer and co-founder  died yesterday in,topStory
SLP,Simulations Plus Inc,20131119,BRIEF-Simulations Plus Q4 earnings per share $0.015 ,Nov 19 Simulations Plus Inc :  * Reports FY 2013 and fourth quarter FY 2013 financial results  * Q4 earnings per share $0.015  * Q4 revenue fell 4.4 percent to $1.6 million  * Q4 earnings per share view $0.02  revenue view $1.8 million -- Thomson Reuters I/B/E/S  * Source text for Eikon   * Further company coverage,topStory
SPTN,SpartanNash Company,20131119,BRIEF-Nash Finch  Spartan Stores enter into $1 bln amended loan agreement ,Nov 19 Nash Finch Co :  * On November 19  co  Spartan Stores Inc entered into a $1 billion amended and,topStory
SPEX,Spherix Incorporated,20131119,BRIEF-Spherix up 41.5 percent premarket; CompuFill unit reaches settlement and license deal with technology company ,NEW YORK  Nov 19 Spherix Inc :  * Up 41.5 percent to $10.40 in premarket; CompuFill unit reaches settlement and license deal with technology company,topStory
SPEX,Spherix Incorporated,20131119,BRIEF-Spherix announces settlement agreement and continued monetization of patent portfolio ,Nov 19 Spherix Inc :  * Announces settlement agreement and continued monetization of patent portfolio  * Says unit compufill llc  has entered into a settlement and license agreement,normal
TCPC,TCP Capital Corp,20131119,RESEARCH ALERT-TCP Capital: Wunderlich cuts to hold ,Nov 19 TCP Capital Corp :  * Wunderlich cuts to hold from buy; raises target price to $18 from $17.50 For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
TSLA,Tesla Inc ,20131119,U.S. launches investigation into Tesla Model S fires ,DETROIT U.S. auto safety regulators have launched an investigation into electric sports car maker Tesla Motors Inc's  luxury Model S sedan after three car fires in six weeks  and Tesla announced it is raising the vehicle's ground clearance. | Video ,topStory
TSLA,Tesla Inc ,20131119,CORRECTED-UPDATE 3-U.S. launches investigation into Tesla Model S fires ,DETROIT  Nov 19 U.S. auto safety regulators have launched an investigation into electric sports car maker Tesla Motors Inc's luxury Model S sedan after three car fires in six weeks  and Tesla announced it is raising the vehicle's ground clearance.,normal
TSLA,Tesla Inc ,20131119,Regulator launches investigation into Tesla Model S fires ,DETROIT U.S. auto safety regulators have launched an investigation into luxury electric sports car maker Tesla Motors Inc's  Model S sedan after three car fires in six weeks.,normal
TSLA,Tesla Inc ,20131119,U.S. launches investigation into Tesla Model S fires ,Nov 19 U.S. regulators said they have launched an investigation into electric sports car maker Tesla Motors Inc's popular Model S sedans after another car caught fire two weeks ago.,normal
TSLA,Tesla Inc ,20131119,BRIEF-Tesla shares down 3.4 pct premarket ,NEW YORK  Nov 19 Tesla Motors Inc :  * Shares down 3.4 percent in premarket trading,normal
TSLA,Tesla Inc ,20131119,BRIEF-U.S. NHTSA to examine potential risks related to undercarriage strikes on Tesla model S ,Nov 19 Tesla Motors Inc :  * National Highway Traffic Safety Administration (NHTSA) - to examine,normal
TSLA,Tesla Inc ,20131119,Tesla defends Model S safety as stocks plunge ,TOKYO Tesla Motors Inc  on Tuesday stood by the safety of its electric cars as the U.S. company's shares continue to sink after reporting a third fire in its Model S luxury sedan.,normal
TSLA,Tesla Inc ,20131119,Tesla defends Model S safety as stocks plunge ,TOKYO  Nov 19 Tesla Motors Inc on Tuesday stood by the safety of its electric cars as the U.S. company's shares continue to sink after reporting a third fire in its Model S luxury sedan.,normal
CG,The Carlyle Group LP,20131119,BRIEF-Chesapeake services limited and Multi Packaging Solutions agree to merge ,Nov 19 Carlyle Group LP :  * Chesapeake services limited and Multi Packaging Solutions  Inc.  portfolio,topStory
TCGP,The Carlyle Group LP,20131119,BRIEF-Chesapeake services limited and Multi Packaging Solutions agree to merge ,Nov 19 Carlyle Group LP :  * Chesapeake services limited and Multi Packaging Solutions  Inc.  portfolio,topStory
URBN,Urban Outfitters Inc,20131119,RESEARCH ALERT-Urban Outfitters: Janney cuts fair value ,Nov 19 Urban Outfitters Inc :  * Janney cuts fair value to $45 from $46; rating buy For a summary of rating and price target changes on U.S. companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/US    For a summary of rating and price target changes on Canadian companies:   Reuters Eikon users  click on    Reuters 3000Xtra users  double-click    Thomson ONE users  type in RT/RCH/CA,topStory
URBN,Urban Outfitters Inc,20131119,Urban Outfitters warns of margin pressure in holiday season ,Teen apparel retailer Urban Outfitters Inc  joined rival Abercrombie & Fitch Co  in warning of a squeeze on current-quarter margins as a tough holiday season could force it to discount more.,normal
