AMZN,Amazoncom Inc,20130909,Traditional U.S. stores fight Amazon for online sales ,U.S. bricks and mortar retailers are racing to catch up with e-commerce giant Amazon.com in fast-growing online sales.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
TAPR,Barclays Inverse US Treasury Composite ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
TAPR,Barclays Inverse US Treasury Composite ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DLBL,Barclays PLC,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DLBL,Barclays PLC,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DLBL,Barclays PLC,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DTYL,Barclays PLC,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DTYL,Barclays PLC,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DTYL,Barclays PLC,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
BIIB,Biogen Inc,20130909,UPDATE 1-Biogen bets more on Isis technology for neurological drugs ,Sept 9 Biogen Idec has agreed to pay another $100 million upfront to Isis Pharmaceuticals Inc  as part of a broad collaboration to develop new medicines for neurological disorders  the companies said on Monday.,topStory
CMCSA,Comcast Corporation,20130909,Comcast unit names TV exec Shell to run Universal film group ,LOS ANGELES Comcast Corp elevated NBCUniversal TV executive Jeff Shell to chairman of the Universal Filmed Entertainment Group  replacing Ron Meyer who is moving into a more senior job at the media giant  the company said on Monday.,topStory
CMCSA,Comcast Corporation,20130909,Comcast unit names TV exec Shell to run Universal film group ,LOS ANGELES  Sept 9 Comcast Corp  elevated NBCUniversal TV executive Jeff Shell to chairman of the Universal Filmed Entertainment Group  replacing Ron Meyer who is moving into a more senior job at the media giant  the company said on Monday.,normal
DLHC,DLH Holdings Corp,20130909,EU mergers and takeovers (Sept 9) ,BRUSSELS  Sept 9 The following are mergers under review by the European Commission and a brief guide to the EU merger process:,topStory
GRPN,Groupon Inc,20130909,MARKET PULSE-Molex  potash stocks  Biodel  Groupon  SunEdison  Fusion-IO ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DTYS,iPath US Treasury 10-year Bear ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DTYS,iPath US Treasury 10-year Bear ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DTUS,iPath US Treasury 2-year Bear ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DTUS,iPath US Treasury 2-year Bear ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DTUL,iPath US Treasury 2-year Bull ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DTUL,iPath US Treasury 2-year Bull ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DFVS,iPath US Treasury 5-year Bear ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DFVS,iPath US Treasury 5-year Bear ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DFVL,iPath US Treasury 5-year Bull ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DFVL,iPath US Treasury 5-year Bull ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
FLAT,iPath US Treasury Flattener ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
FLAT,iPath US Treasury Flattener ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
FLAT,iPath US Treasury Flattener ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
DLBS,iPath US Treasury Long Bond Bear ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
DLBS,iPath US Treasury Long Bond Bear ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
STPP,iPath US Treasury Steepener ETN,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
STPP,iPath US Treasury Steepener ETN,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
STPP,iPath US Treasury Steepener ETN,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
IRDM,Iridium Communications Inc,20130909,Iridium unveils new stand-alone satellites for hosted payloads ,WASHINGTON  Sept 9 Iridium Communications  on Monday unveiled a new satellite concept aimed at helping governments and others put sensors and other payloads into space at half the cost of current programs.,topStory
IRDMB,Iridium Communications Inc,20130909,Iridium unveils new stand-alone satellites for hosted payloads ,WASHINGTON  Sept 9 Iridium Communications  on Monday unveiled a new satellite concept aimed at helping governments and others put sensors and other payloads into space at half the cost of current programs.,topStory
MSFT,Microsoft Corporation,20130909,Sony pins hopes for profit on PlayStation 4  sets February launch in Japan ,TOKYO Sony Corp announced the Japanese release of its PlayStation 4 on Monday as the electronics maker braces for a console war with Microsoft Corp that could make or break the Japanese firm's struggle to return to profit.,topStory
MSFT,Microsoft Corporation,20130909,UPDATE 1-Sony pins hopes for profit on PlayStation 4  sets Feb 22 launch in Japan ,TOKYO  Sept 9 Sony Corp announced the Japanese release of its PlayStation 4 on Monday as the electronics maker braces for a console war with Microsoft Corp  that could make or break the Japanese firm's struggle to return to profit.,normal
NBIX,Neurocrine Biosciences Inc,20130909,Lower dose of Neurocrine's movement disorder drug fails in study ,Neurocrine Biosciences Inc said a lower dose of its experimental drug to treat a rare movement disorder did not meet the main goal of a mid-stage clinical study  sending its shares down 32 percent in after-market trade.,topStory
QCOM,QUALCOMM Incorporated,20130909,New Formula E series gains two corporate sponsors ,LONDON The new Formula E electric motor racing series has signed up technology company Qualcomm and logistics provider DHL as corporate sponsors before its launch next September.,topStory
QCOM,QUALCOMM Incorporated,20130909,Motor racing-New Formula E series gains two corporate sponsors ,LONDON  Sept 9 The new Formula E electric motor racing series has signed up technology company Qualcomm and logistics provider DHL as corporate sponsors before its launch next September.,normal
STX,Seagate Technology PLC,20130909,UPDATE 1-Western Digital buys flash memory maker Virident  focus now on Fusion-io ,* Fusion-io shares rise 20 pct   (Adds details from conference call  analysts' comments; updates shares),topStory
UMPQ,Umpqua Holdings Corporation,20130909,Umpqua Holdings in talks to buy Sterling Financial for about $1.8 billion: report ,Umpqua Holdings Corp  is in advanced talks to buy private equity-backed Sterling Financial Corp  in a deal that may be valued at about $1.8 billion  Bloomberg reported on Monday  citing people with knowledge of the discussions.,topStory
VOD,Vodafone Group Plc,20130909,Vodafone faces pressure to raise $10 billion Kabel bid: sources ,FRANKFURT/LONDON Vodafone is facing pressure from Kabel Deutschland's largest shareholder to raise its 7.7 billion euro ($10.1 billion) offer for Germany's largest cable company  two sources familiar with the situation said.,topStory
VOD,Vodafone Group Plc,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
VOD,Vodafone Group Plc,20130909,Vodafone may fail to clinch Kabel Deutschland -paper ,FRANKFURT  Sept 9 Vodafone may fail to reach the 75 percent threshold of acceptances from shareholders needed to clinch Germany's largest cable operator Kabel Deutschland  the Financial Times said on Monday.,normal
WDC,Western Digital Corporation,20130909,Western Digital buys flash memory maker Virident  focus now on Fusion-io ,Western Digital Corp said it would buy Virident Systems Inc for $685 million as the hard drive maker and Seagate Technology Plc battle for a piece of the fast-growing market for solid-state drives used in servers.,topStory
WDC,Western Digital Corporation,20130909,UPDATE 1-Western Digital buys flash memory maker Virident  focus now on Fusion-io ,* Fusion-io shares rise 20 pct   (Adds details from conference call  analysts' comments; updates shares),normal
WDC,Western Digital Corporation,20130909,Western Digital to buy flash storage company Virident ,Sept 9 Hard drive maker Western Digital Corp  said it would buy Virident Systems Inc  a maker of flash memory for servers  for $685 million in cash.,normal
AMOV,America Movil SAB de CV,20130909,UPDATE 2-KPN finance head quits with America Movil bid in limbo ,BRUSSELS  Sept 9 KPN's chief financial officer quit unexpectedly on Monday  leaving the Dutch telecoms group without a key executive as it negotiates with Mexico's America Movil  which is proposing a 7.2 billion euro ($9.5 billion) takeover.,topStory
AMX,America Movil SAB de CV,20130909,UPDATE 2-KPN finance head quits with America Movil bid in limbo ,BRUSSELS  Sept 9 KPN's chief financial officer quit unexpectedly on Monday  leaving the Dutch telecoms group without a key executive as it negotiates with Mexico's America Movil  which is proposing a 7.2 billion euro ($9.5 billion) takeover.,topStory
AXP,American Express Company,20130909,Time Inc in talks to buy American Express magazines: report ,Time Inc  the magazine publisher that is preparing to spin out from its parent company Time Warner Inc  is in talks to acquire American Express' titles such as Food & Wine  according to a report in the New York Times.,topStory
AXP,American Express Company,20130909,Time Inc in talks to buy American Express magazines - report ,Sept 9 Time Inc  the magazine publisher that is preparing to spin out from its parent company Time Warner Inc   is in talks to acquire American Express' titles such as Food & Wine  according to a report in the New York Times.,normal
APA,Apache Corporation,20130909,Fieldwood Energy sets price guidance on $2.63billion loan ,NEW YORK Oil and gas outfit Fieldwood Energy set price guidance on its new $2.625 billion loan backing its $3.75 billion purchase of Apache Corporation's  Gulf of Mexico Shelf business  sources told Thomson Reuters LPC.,topStory
APA,Apache Corporation,20130909,RLPC: Fieldwood Energy sets price guidance on $2.63B loan ,NEW YORK  Sept 9 Oil and gas outfit Fieldwood Energy set price guidance on its new $2.625 billion loan backing its $3.75 billion purchase of Apache Corporation's Gulf of Mexico Shelf business  sources told Thomson Reuters LPC.,normal
AIZ,Assurant Inc,20130909,JPMorgan in $300 mln settlement over force-placed insurance ,NEW YORK  Sept 9 JPMorgan Chase & Co and a major insurer have agreed to a $300 million settlement to resolve accusations that they forced homeowners into over-priced property insurance and entered into kickback arrangements that inflated the policies' prices.,topStory
BAC,Bank of America Corporation,20130909,Bank of America to lay off thousands in mortgage business ,Layoffs at Bank of America Corp's  mortgage business will amount to about 2 100 positions  a source told Reuters on Monday  in response to weak refinancing activity.,topStory
BAC,Bank of America Corporation,20130909,Bank of America to lay off thousands in mortgage business ,Sept 9 Layoffs at Bank of America Corp's  mortgage business will amount to about 2 100 positions  a source told Reuters on Monday  in response to weak refinancing activity.,normal
BAC,Bank of America Corporation,20130909,Merrill hires advisers from Goldman  Morgan Stanley ,NEW YORK Merrill Lynch Wealth Management has begun the school year by hiring a multi-million dollar private banker in Denver from Goldman Sachs Group Inc  and a two-person broker team in Miami that had been with Morgan Stanley  for 13 years.,normal
BAC,Bank of America Corporation,20130909,ON THE MOVE-UBS lands Morgan Stanley adviser in North Carolina ,Sept 9 UBS AG's  Wealth Management Americas said on Monday it had hired a veteran adviser from rival brokerage Morgan Stanley Wealth Management to join the firm in North Carolina.,normal
BCS,Barclays PLC,20130909,Barclays to pay $36.1 million in Massachusetts subprime settlement ,Barclays Plc  agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,topStory
BCS,Barclays PLC,20130909,Barclays to pay $36.1 mln in Massachusetts subprime settlement ,Sept 9 Barclays Plc agreed on Monday to pay $36.1 million to settle charges by Massachusetts that it hurt homeowners there by packaging subprime mortgages that the borrowers could not afford  and which violated state law  into securities.,normal
BCS,Barclays PLC,20130909,UPDATE 3-Vodafone faces pressure to raise $10 bln Kabel bid-sources ,* Elliot Asset Management owns 10.9 pct of Kabel Deutschland,normal
BCE,BCE Inc,20130909,UPDATE 1-BCE goes to court to fight Canada's wireless rules ,TORONTO  Sept 9 BCE Inc   Canada's largest telecoms company  is taking Ottawa to court to fight government moves to assist new entrants in the wireless market as part of its policy push to increase wireless competition.,topStory
BCE,BCE Inc,20130909,Canadian telecom BCE files legal challenge to telecoms rules ,TORONTO  Sept 9 BCE Inc   Canada's largest telecommunications company  has issued a legal challenge to the federal government's indefinite extension of cellular tower-sharing and roaming rules designed to help new entrants to the market.,normal
BA,Boeing Company (The),20130909,UPDATE 2-Norwegian Air may seek compensation for Dreamliner problems ,* Airline suffers technical problems with both Dreamliners     * Both aircraft now back in service       OSLO  Sept 9 Norwegian Air Shuttle said it grounded a second Boeing Dreamliner within a week for a technical problem and will seek compensation for its troubles with the high-tech aircraft.     The airline operates two Dreamliners and lost use of both in the past week due to unrelated problems  forcing it to lease Airbus A340s on short notice  it said.     The Dreamliner  which se,topStory
BA,Boeing Company (The),20130909,Bell teams with Lockheed for US Army helicopter bid ,WASHINGTON  Sept 9 Bell Helicopter  a unit of Textron Inc  on Monday said it would team with Lockheed Martin Corp to bid for the U.S. Army's next-generation helicopter - an order worth billions of dollars - using Bell's V-280 Valor tiltrotor.,normal
BA,Boeing Company (The),20130909,Kuwait Airways may delay deal for Airbus jets: paper ,KUWAIT Kuwait Airways  may delay a plan to buy 25 new aircraft from Airbus   a Kuwaiti newspaper reported on Monday  saying the state-owned carrier would prioritize leasing planes instead.,normal
BA,Boeing Company (The),20130909,Norwegian Air has technical problem with second Dreamliner ,OSLO  Sept 9 Norwegian Air Shuttle has experienced its second technical problem with a Boeing  Dreamliner within a week and is frustrated with the time taken to resolve these issues  it said on Monday.,normal
BXP,Boston Properties Inc,20130909,Norway's oil fund buys Times Square property for $684 mln ,OSLO  Sept 9 Norway's $750 billion oil fund bought a 45 percent stake in the 47-story Times Square Tower in New York from Boston Properties  Inc. for $684 million  it said on Monday.,topStory
CCJ,Cameco Corporation,20130909,Cameco delays start-up of Cigar Lake mine to 2014 ,TORONTO  Sept 9 Cameco Corp said on Monday that it needed to complete additional work at its Cigar Lake project  delaying the start-up of the high-grade uranium mine until the first quarter of 2014.,topStory
CVX,Chevron Corporation,20130909,Iraq's Majnoon oilfield to begin producing 175 000 bpd next month ,BAGHDAD  Sept 9 Iraq's giant Majnoon oilfield  run by Royal Dutch Shell  will start up production next month at a rate of 175 000 barrels per day (bpd)  an oil ministry spokesman said on Monday.,normal
DB,Deutsche Bank AG,20130909,UPDATE 2-SunEdison to divest semiconductor business  cuts sales outlook ,* Files for an IPO of up to $250 mln for semiconductor business,topStory
DB,Deutsche Bank AG,20130909,Exclusive: Japan regulator probing Deutsche Bank entertainment of pension clients - sources ,TOKYO Japan's securities market watchdog is investigating whether Deutsche Bank AG employees provided excessive entertainment to Japanese pension fund executives in breach of regulations  sources with knowledge of the matter said.,normal
FE,FirstEnergy Corporation,20130909,Ohio Davis-Besse reactor moves step closer to new license ,The U.S. Nuclear Regulatory Commission staff said there were no safety issues that would preclude a 20-year license renewal for FirstEnergy Corp's 894-megawatt Davis-Besse nuclear power plant in Ohio.,topStory
FE,FirstEnergy Corporation,20130909,Ohio Davis-Besse reactor moves step closer to new license ,Sept 9 The U.S. Nuclear Regulatory Commission staff said there were no safety issues that would preclude a 20-year license renewal for FirstEnergy Corp's  894-megawatt Davis-Besse nuclear power plant in Ohio.,normal
FCX,Freeport-McMoran Inc,20130909,UPDATE 1-Japan's Toshiba set to buy U.S. natural gas from 2018 ,NEW YORK  Sept 9 Japan's Toshiba Corp  has agreed to buy liquefied natural gas from the proposed Freeport LNG export plant in Texas  joining the ranks of global companies seeking to import some of America's growing fuel supplies.,topStory
GM,General Motors Company,20130909,Opel cuts Ampera electric car price by 17 percent in Germany ,FRANKFURT General Motors'  European brand Opel has announced a 17 percent cut in the price of its Ampera electric car in Germany at this week's Frankfurt car show  where rivals will be showing off their electric models for the first time.,topStory
GM,General Motors Company,20130909,UPDATE 1-Opel cuts Ampera electric car price by 17 pct in Germany ,* Opel cuts price for first time by 8 000 euros in Germany,normal
GSK,GlaxoSmithKline PLC,20130909,Suntory to buy GSK's Lucozade  Ribena drinks for $2.1 billion ,LONDON/TOKYO Japan's Suntory Beverage & Food Ltd is to buy GlaxoSmithKline Plc's Lucozade and Ribena brands for 1.35 billion pounds ($2.1 billion) to help it expand into new markets.,topStory
GSK,GlaxoSmithKline PLC,20130909,UPDATE 3-Suntory to buy GSK's Lucozade  Ribena drinks for $2.1 bln ,LONDON/TOKYO  Sept 9 Japan's Suntory Beverage & Food Ltd is to buy GlaxoSmithKline Plc's  Lucozade and Ribena brands for 1.35 billion pounds ($2.1 billion) to help it expand into new markets.,normal
GSK,GlaxoSmithKline PLC,20130909,MARKET PULSE-Apple  Sony  Oncolytics  Biodel  BlackBerry ,(For more market insights  including options activity  click on  ; for the Day Ahead newsletter http://link.reuters.com/mex49s;  for the Morning News Call newsletter  http://link.reuters.com/nex49s),normal
GSK,GlaxoSmithKline PLC,20130909,RPT-Suntory to buy GSK drinks brands for $2.1 bln ,LONDON  Sept 9 Japan's Suntory Beverage & Food Ltd has agreed to buy the Lucozade and Ribena brands from GlaxoSmithKline Plc for 1.35 billion pounds ($2.11 billion) in a deal that boosts its soft drinks portfolio and helps it expand into new markets.,normal
GSK,GlaxoSmithKline PLC,20130909,Suntory to buy GSK drinks brands for $2.1 bln ,LONDON  Sept 9 Japan's Suntory Beverage & Food Ltd has agreed to buy the Lucozade and Ribena brands from GlaxoSmithKline Plc for 1.35 billion pounds ($2.11 billion) in a deal that boosts its soft drinks portfolio and helps it expand into new markets.,normal
GS,Goldman Sachs Group Inc (The),20130909,ON THE MOVE-Merrill hires advisers from Goldman  Morgan Stanley ,NEW YORK  Sept 9 Merrill Lynch Wealth Management has begun the school year by hiring a multi-million dollar private banker in Denver from Goldman Sachs Group Inc and a two-person broker team in Miami that had been with Morgan Stanley for 13 years.,topStory
GS,Goldman Sachs Group Inc (The),20130909,China locks foreign investors out of another bad-debt cleanup ,HONG KONG Chinese banks have a colossal mess of bad debts to clean up for the second time in as many decades  but they are unlikely to call in the financial world's most efficient mop and broom.,normal
GS,Goldman Sachs Group Inc (The),20130909,RPT-South Korea probes 3 foreign brokerages including Goldman ,SEOUL  Sept 9 South Korean financial regulators are reviewing three foreign brokerages including Goldman Sachs Group Inc's local unit for possible breach of domestic capital markets regulations  a source at one of the regulators said.,normal
GS,Goldman Sachs Group Inc (The),20130909,South Korea probes three foreign brokerages including Goldman ,SEOUL South Korean financial regulators are reviewing three foreign brokerages including Goldman Sachs Group Inc's local unit for possible breach of domestic capital markets regulations  a source at one of the regulators said.,normal
GS,Goldman Sachs Group Inc (The),20130909,South Korea probes 3 foreign brokerages including Goldman ,SEOUL  Sept 9 South Korean financial regulators are reviewing three foreign brokerages including Goldman Sachs Group Inc's local unit for possible breach of domestic capital markets regulations  a source at one of the regulators said.,normal
HCA,HCA Healthcare Inc,20130909,ANALYSIS-Hospital investors wary of slow rampup for Obamacare ,NEW YORK  Sept 9 Investors in U.S. hospital companies are counting on the Obama administration to pull off its national healthcare reform for 2014 to drive earnings growth  but a series of delays to the program has some questioning how strong the launch will be at its start.,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan's board takes some power from Dimon ,JPMorgan Chase & Co's  board  under fire for the bank's trading losses and myriad government probes  said on Monday that it was adding two directors and handing more power to its lead independent director  steps that give it extra supervision over Chairman and Chief Executive Jamie Dimon.,topStory
JPM,J P Morgan Chase & Co,20130909,UPDATE 3-JPMorgan's board takes some power from Dimon ,Sept 9 JPMorgan Chase & Co's board  under fire for the bank's trading losses and myriad government probes  said on Monday that it was adding two directors and handing more power to its lead independent director  steps that give it extra supervision over Chairman and Chief Executive Jamie Dimon.,normal
JPM,J P Morgan Chase & Co,20130909,JPMorgan in $300 million settlement over force-placed insurance ,NEW YORK JPMorgan Chase & Co  and a major insurer have agreed to a $300 million settlement to resolve accusations that they forced homeowners into over-priced property insurance and entered into kickback arrangements that inflated the policies' prices.,normal
