AAPL,Apple Inc,20131211,Biometric smartphones to be mainstream in 2014: Ericsson ,STOCKHOLM Biometric smartphones are expected to become mainstream next year as leading handset makers follow the lead of Apple Inc. into fingerprint recognition technology  an Ericsson report on consumer trends showed on Wednesday.,topStory
LULU,lululemon athletica inc,20131211,Lululemon's new CEO to get higher base salary than predecessor ,TORONTO Lululemon Athletica Inc's  incoming chief executive  Laurent Potdevin  will be paid a base salary of $900 000 as well as signing and retention bonuses  the upscale yogawear retailer said in a regulatory filing made public on Wednesday.,topStory
LULU,lululemon athletica inc,20131211,Lululemon's new CEO to get higher base salary than predecessor ,TORONTO  Dec 11 Lululemon Athletica Inc's  incoming chief executive  Laurent Potdevin  will be paid a base salary of $900 000 as well as signing and retention bonuses  the upscale yogawear retailer said in a regulatory filing made public on Wednesday.,normal
MSFT,Microsoft Corporation,20131211,Cisco loses court challenge to Microsoft's takeover of Skype ,LUXEMBOURG Microsoft fended off a challenge to its $8.5 billion takeover of messaging service Skype as Europe's second-highest court ruled against claims by rival Cisco that the 2011 deal would harm competition.,topStory
MSFT,Microsoft Corporation,20131211,UPDATE 3-Cisco loses court challenge to Microsoft's takeover of Skype ,* Cisco and Microsoft compete in corporate communications,normal
MSFT,Microsoft Corporation,20131211,Microsoft says Xbox One global sales top 2 million ,SAN FRANCISCO Microsoft Corp has sold more than 2 million Xbox One video game consoles since its November 22 launch  catching up with rival Sony Corp's PlayStation 4 released a week earlier.,normal
MSFT,Microsoft Corporation,20131211,UPDATE 1-Microsoft says Xbox One global sales top 2 million ,SAN FRANCISCO  Dec 11 Microsoft Corp  has sold more than 2 million Xbox One video game consoles since its Nov. 22 launch  catching up with rival Sony Corp's  PlayStation 4 released a week earlier.,normal
MSFT,Microsoft Corporation,20131211,Microsoft says Xbox One global sales top 2 million units ,SAN FRANCISCO  Dec 11 Microsoft Corp  has sold more than 2 million Xbox One video game consoles since its Nov. 22 launch  catching up with rival Sony Corp's  PlayStation 4 released a week earlier.,normal
MSFT,Microsoft Corporation,20131211,UPDATE 1-India court to rule on seized Nokia plant on Thursday ,Dec 11 An Indian court ruling expected on Thursday could determine whether Nokia will be free to transfer a phone-making factory to Microsoft Corp or pay as much as $3.4 billion in disputed taxes.,normal
MSFT,Microsoft Corporation,20131211,EU court upholds Microsoft  Skype deal  rejects Cisco challenge ,LUXEMBOURG  Dec 11 Europe's second highest court upheld on Wednesday a decision by EU regulators clearing Microsoft's $8.5 billion takeover of Skype two years ago  rejecting a challenge by the world's top network equipment maker Cisco Systems Inc.,normal
BPOP,Popular Inc,20131211,Popular shares fall 1 pct after capital hike announcement ,MADRID  Dec 11 Spain's Banco Popular  opened down around 1 percent after the bank announced it was carrying out a capital increase and buying a stake in Mexican financial group BX+.,topStory
TROW,T Rowe Price Group Inc,20131211,MOVES-Royal Bank of Scotland Franklin Templeton  BNY Mellon  T. Rowe Price ,Dec 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
CG,The Carlyle Group LP,20131211,KKR  Carlyle vie for optical retailer National Vision: sources ,NEW YORK KKR & Co LP  and  LP  are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,topStory
CG,The Carlyle Group LP,20131211,KKR  Carlyle vie for optical retailer National Vision -sources ,NEW YORK  Dec 11 KKR & Co LP and Carlyle Group LP are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,normal
TCGP,The Carlyle Group LP,20131211,KKR  Carlyle vie for optical retailer National Vision: sources ,NEW YORK KKR & Co LP  and  LP  are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,topStory
TCGP,The Carlyle Group LP,20131211,KKR  Carlyle vie for optical retailer National Vision -sources ,NEW YORK  Dec 11 KKR & Co LP and Carlyle Group LP are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,normal
AAV,Advantage Oil & Gas Ltd,20131211,Advantage picks buyer  settles vehicle lease deal with Hertz ,Advantage Rent A Car said it picked Canadian private equity Catalyst Capital Group Inc to buy its assets in bankruptcy proceedings and reached a deal with Hertz Global Holdings Inc  that allows Advantage to continue using a leased vehicle fleet.,topStory
AAV,Advantage Oil & Gas Ltd,20131211,Advantage picks buyer  settles vehicle lease deal with Hertz ,Dec 11 Advantage Rent A Car said it picked Canadian private equity Catalyst Capital Group Inc to buy its assets in bankruptcy proceedings and reached a deal with Hertz Global Holdings Inc that allows Advantage to continue using a leased vehicle fleet.,normal
AET,Aetna Inc,20131211,Aetna sees 2014 earnings per share above Wall St. estimates ,U.S. health insurer Aetna Inc  on Wednesday forecast 2014 earnings per share that were higher than Wall Street expects  a day ahead of a meeting with investors at which the company will lay out its strategy for the coming year.,topStory
AET,Aetna Inc,20131211,Aetna sees 2014 earnings per share above Wall St estimates ,Dec 11 U.S. health insurer Aetna Inc on Wednesday forecast 2014 earnings per share that were higher than Wall Street expects  a day ahead of a meeting with investors at which the company will lay out its strategy for the coming year.,normal
ALSN,Allison Transmission Holdings Inc,20131211,BRIEF-Allison Transmission down 5.3 percent premarket; announced sale of 12.5 million shares by selling stockholders ,NEW YORK  Dec 11 Allison Transmission Holdings Inc  :  * Down 5.3 percent to $25.96 in premarket; announced sale of 12.5 million shares by selling stockholders,topStory
AVP,Avon Products Inc,20131211,Avon to stop order management technology roll-out; cuts 650 jobs ,Avon Products Inc   the world's largest direct seller of cosmetics  said it will halt the further roll-out of its order management technology and cut about 650 jobs.,topStory
SAN,Banco Santander SA,20131211,NEWSMAKER-Bostock switches to Santander as UK flotation looms ,LONDON  Dec 11 Nathan Bostock has proved himself an expert in shrinking bloated banks  yet his retail banking skills are likely to hold the key to whether he lands the top job at Santander's British arm.,topStory
SAN,Banco Santander SA,20131211,RPT-UPDATE 3-Santander ups bet on China with Bank of Shanghai stake ,* HSBC places fair value of $468.2 million on stake as of Sept. 30,normal
BK,Bank Of New York Mellon Corporation (The),20131211,MOVES-Royal Bank of Scotland Franklin Templeton  BNY Mellon  T. Rowe Price ,Dec 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
BCS,Barclays PLC,20131211,KKR  Carlyle vie for optical retailer National Vision -sources ,NEW YORK  Dec 11 KKR & Co LP and Carlyle Group LP are competing for National Vision Inc  the fourth-largest U.S. retailer of eyeglasses and contact lenses  in an auction that could fetch up to $1 billion  people familiar with the matter said this week.,normal
BKS,Barnes & Noble Inc,20131211,Barnes & Noble's Riggio stake falls to 26.3 percent of shares ,NEW YORK Barnes & Noble Inc  Chairman Leonard Riggio has sold 2 million of his shares in the bookstore chain he founded  lowering his stake in the company to 26.3 percent  according to a regulatory filing on Wednesday.,topStory
BKS,Barnes & Noble Inc,20131211,Barnes & Noble's Riggio stake falls to 26.3 percent of shares ,NEW YORK  Dec 11 Barnes & Noble Inc  Chairman Leonard Riggio has sold 2 million of his shares in the bookstore chain he founded  lowering his stake in the company to 26.3 percent  according to a regulatory filing on Wednesday.,normal
BBL,BHP Billiton plc,20131211,COLUMN-Investors may be buying BHP  Rio cost-cutting story: Clyde Russell ,LAUNCESTON  Australia  Dec 11 It's taken some time but there are signs that the cost-cutting efforts by major commodity producers such as BHP Billiton and Rio Tinto are starting to convince investors.,topStory
BBL,BHP Billiton plc,20131211,UPDATE 3-BHP says U.S. shale business to generate cash by 2016 ,* To focus spending on Australia  US  Trinidad and Tobago,normal
BA,Boeing Company (The),20131211,UPDATE 2-Air Canada to buy up to 109 Boeing 737 MAX planes ,Dec 11 Air Canada said on Wednesday it will purchase up to 109 of Boeing Co's 737 MAX under its narrow-body fleet renewal plan  a major win for the aircraft maker and significant shift in supplier for Canada's largest carrier.,topStory
BA,Boeing Company (The),20131211,Union machinists held talks with Boeing on 777X ,Leaders from Boeing Co and its Seattle-area machinists union met on Wednesday about restarting talks that could lead to building Boeing's new 777X jetliner in Washington state  where the current 777 is built.,normal
BA,Boeing Company (The),20131211,UPDATE 2-Union machinists held talks with Boeing on 777X ,Dec 11 Leaders from Boeing Co and its Seattle-area machinists union met on Wednesday about restarting talks that could lead to building Boeing's new 777X jetliner in Washington state  where the current 777 is built.,normal
BA,Boeing Company (The),20131211,Boeing  machinists begin second meeting on 777X  union says ,NEW YORK Boeing Co and machinists union leaders met on Wednesday  their second consecutive day of meetings in an effort to bring Boeing's new jetliner program  the 777X  to Washington state  according to the union.,normal
BA,Boeing Company (The),20131211,Boeing  machinists begin second meeting on 777X  union says ,NEW YORK  Dec 11 Boeing Co and machinists union leaders met on Wednesday  their second consecutive day of meetings in an effort to bring Boeing's new jetliner program  the 777X  to Washington state  according to the union.,normal
BA,Boeing Company (The),20131211,Air Canada in talks to buy over 100 Boeing jets -source ,Dec 11 Air Canada is in advanced talks to buy or place options for more than 100 Boeing 737 MAX aircraft  a source familiar with the matter said on Wednesday.,normal
BA,Boeing Company (The),20131211,Union machinists held talks with Boeing on 777X ,The union representing Boeing Co's Seattle area machinists said its leaders had met with top executives of the airplane maker on Tuesday about restarting talks that could see the new 777X jetliner built in Washington state  where the current 777 is built.,normal
BA,Boeing Company (The),20131211,Union machinists say they held talks with Boeing on 777X ,Dec 11 The union representing Boeing Co's  Seattle area machinists said its leaders had met with top executives of the airplane maker on Tuesday about restarting talks that could see the new 777X jetliner built in Washington state  where the current 777 is built.,normal
BP,BP plc,20131211,Ex-BP supervisors win dismissal of some manslaughter charges ,Two former BP Plc supervisors won the dismissal on Tuesday of some of the manslaughter charges facing them over the Gulf of Mexico drilling rig explosion that killed 11 people in 2010.,topStory
BP,BP plc,20131211,Ex-BP supervisors win dismissal of some manslaughter charges ,Dec 10 Two former BP Plc supervisors won the dismissal on Tuesday of some of the manslaughter charges facing them over the Gulf of Mexico drilling rig explosion that killed 11 people in 2010.,normal
BMY,Bristol-Myers Squibb Company,20131211,FDA advisory panel partially backs drug for rare fat disorder ,An advisory panel of medical experts convened by the U.S. Food and Drug Administration on Wednesday said that Bristol-Myers Squibb Co had provided adequate evidence of the benefits of an experimental drug to treat rare and potentially fatal disorders involving loss of body fat.,topStory
BMY,Bristol-Myers Squibb Company,20131211,UPDATE 2-FDA advisory panel partially backs drug for rare fat disorder ,Dec 11 An advisory panel of medical experts convened by the U.S. Food and Drug Administration on Wednesday said that Bristol-Myers Squibb Co had provided adequate evidence of the benefits of an experimental drug to treat rare and potentially fatal disorders involving loss of body fat.,normal
BMY,Bristol-Myers Squibb Company,20131211,U.S. FDA advisory panel partially backs drug for rare fat disorder ,Dec 11 An advisory panel of medical experts convened by the U.S. Food and Drug Administration on Wednesday voted that Bristol-Myers Squibb Co had provided adequate evidence of the benefits of an experimental drug to treat rare and potentially fatal disorders involving loss of body fat.,normal
BMY,Bristol-Myers Squibb Company,20131211,BRIEF-FDA panel has split vote on Bristol Myers-squibb's metreleptin ,Dec 11 (Reuters) -Bristol-Myers Squibb   * FDA panel votes 11-1 to recommend Bristol Myers-squibb's  metreleptin,normal
CNI,Canadian National Railway Company,20131211,CN Railway to push for further efficiency gains ,* CN targets operating ratio in "low 60s" over next 3 years,topStory
CBS,CBS Corporation,20131211,BBC appoints former Sony boss as embarks on management revamp ,LONDON  Dec 11 After a year of turbulence  the BBC unveiled plans for a management shake-up on Wednesday to help restore confidence in Britain's publicly funded broadcaster  starting with the appointment of ex-Sony CEO and CBS president Howard Stringer.,topStory
CVX,Chevron Corporation,20131211,Chevron sets 2014 budget at $39.8 billion ,Chevron Corp  plans to spend $39.8 billion on projects and exploration in 2014  the second-largest U.S. oil company said on Wednesday  as it finishes work on huge developments in Australia and the Gulf of Mexico.,topStory
CVX,Chevron Corporation,20131211,UPDATE 1-Chevron sets 2014 budget at $39.8 billion ,Dec 11 Chevron Corp plans to spend $39.8 billion on projects and exploration in 2014  the second-largest U.S. oil company said on Wednesday  as it finishes work on huge developments in Australia and the Gulf of Mexico.,normal
CVX,Chevron Corporation,20131211,Chevron sets 2014 budget at $39.8 bln ,Dec 11 Chevron Corp  the second-largest U.S. oil company  said it plans to spend $39.8 billion on projects and exploration in 2014  about 5 percent below the expected 2013 spending.,normal
SNP,China Petroleum & Chemical Corporation,20131211,China pipeline blast exposes risks of urban sprawl ,* Pipeline that exploded breached 100 times a year by thieves,topStory
C,Citigroup Inc,20131211,MOVES-Royal Bank of Scotland Franklin Templeton  BNY Mellon  T. Rowe Price ,Dec 11 The following financial services industry appointments were announced on Wednesday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
C,Citigroup Inc,20131211,Citigroup adds director with hedge fund  banking experience ,NEW YORK Citigroup Inc  named Duncan Hennes  a co-founder of bank advisory firm Promontory Financial Group and a former CEO of Soros Fund Management  to its board of directors on Wednesday.,normal
C,Citigroup Inc,20131211,Citigroup adds director with hedge fund  banking experience ,NEW YORK  Dec 11 Citigroup Inc named Duncan Hennes  a co-founder of bank advisory firm Promontory Financial Group and a former CEO of Soros Fund Management  to its board of directors on Wednesday.,normal
DAL,Delta Air Lines Inc,20131211,Delta Air Lines expects higher profit  lower debt for 2013 ,Dec 11 Delta Air Lines Inc said on Wednesday it expects pretax profit excluding one-time items of $2.6 billion this year  up 70 percent from $1.6 billion for 2012.,topStory
DAL,Delta Air Lines Inc,20131211,Delta expects profit to rise this year ,Dec 11 Delta Air Lines Inc :  * During investor day webcast  carrier says it expects $2.6 billion pretax profit for 2013  up 70 percent over 2012  * Carrier sees 'some modest global economic improvement' taking shape in 2014  * Passenger unit revenue is expected to rise 2 percent to 3 percent in,normal
DPZ,Domino&#39;s Pizza Inc,20131211,UK minister tells Domino's to pay higher wages to attract staff ,LONDON Domino's Pizza   the country's biggest pizza delivery firm  should pay better wages if it is struggling to fill job vacancies rather than seeking a relaxation of immigration rules  said a British government minister.,topStory
DPZ,Domino&#39;s Pizza Inc,20131211,UK minister tells Domino's to pay higher wages to attract staff ,LONDON  Dec 11 Domino's Pizza  the country's biggest pizza delivery firm  should pay better wages if it is struggling to fill job vacancies rather than seeking a relaxation of immigration rules  said a British government minister.,normal
LLY,Eli Lilly and Company,20131211,FDA approves generics of Lilly antidepressant Cymbalta ,The U.S. Food and Drug Administration on Wednesday approved generic versions of Eli Lilly and Co's antidepressant Cymbalta  the U.S. drugmaker's biggest-selling product.,topStory
LLY,Eli Lilly and Company,20131211,FDA approves generics of Lilly antidepressant Cymbalta ,Dec 11 The U.S. Food and Drug Administration on Wednesday approved generic versions of Eli Lilly and Co's  antidepressant Cymbalta  the U.S. drugmaker's biggest-selling product.,normal
LLY,Eli Lilly and Company,20131211,New U.S. FDA rules aim to cut antibiotic use in farm animals ,In a bid to stem a surge in human resistance to certain antibiotics  U.S. regulators announced new guidelines to phase out their use as a growth enhancer in livestock.,normal
LLY,Eli Lilly and Company,20131211,UPDATE 3-New U.S. FDA rules aim to cut antibiotic use in farm animals ,Dec 11 In a bid to stem a surge in human resistance to certain antibiotics  U.S. regulators announced new guidelines to phase out their use as a growth enhancer in livestock.,normal
LLY,Eli Lilly and Company,20131211,FDA official says Zoetis  Eli Lilly support antibiotic strategy ,Animal health companies Zoetis Inc and Eli Lilly & Co support the U.S. Food and Drug Administration's new voluntary phase-out of antibiotic use in animal production  the agency said during a conference call with reporters.,normal
LLY,Eli Lilly and Company,20131211,FDA official says Zoetis  Eli Lilly support antibiotic strategy ,Dec 11 Animal health companies Zoetis Inc  and Eli Lilly & Co support the U.S. Food and Drug Administration's new voluntary phase-out of antibiotic use in animal production  the agency said during a conference call with reporters.,normal
ECA,Encana Corporation,20131211,CANADA STOCKS-Fed fears yank TSX to biggest drop in 5-1/2 months ,* TSX falls 190.59 points  or 1.43 percent  to 13 133.42     * All 10 of the main index sectors decline     * CN Rail's drop has biggest negative impact on index     * Encana slips after releasing production forecast      By John Tilak     TORONTO  Dec 11 Canada's main stock index recorded its biggest single-day drop in about 5-1/2 months on Wednesday after a provisional U.S. budget agreement raised fears the U.S. Federal Reserve might soon begin to scale back its monetary stimulus p,topStory
ECA,Encana Corporation,20131211,UPDATE 2-Encana to raise gas liquids output by 30 pct ,CALGARY  Alberta  Dec 11 Encana Corp  Canada's largest natural gas producer  will boost liquids production by 30 percent in 2014 as it moves to execute a plan from its new chief executive to concentrate spending on regions rich in high-value gas liquids and oil.,normal
ECA,Encana Corporation,20131211,CANADA STOCKS-TSX tumbles  dragged by resource shares  Encana ,* TSX falls 83.03 points  or 0.62 percent  to 13 240.98     * All 10 main index sectors decline     * RBC has market's biggest negative influence     * Encana slips after releasing production outlook      By John Tilak     TORONTO  Dec 11 Canada's main stock index dropped on Wednesday  as weak commodity prices weighed on shares of natural resource companies and investors cautiously digested news of a provisional U.S. budget agreement.      The bipartisan budget deal announced in the ,normal
ECA,Encana Corporation,20131211,Encana to grow natural gas liquids production by 30 pct ,Dec 11 Encana Corp said it would increase natural gas liquids production by 30 percent in 2014 as part of its plan to focus spending on five regions rich in gas liquids and oil.,normal
XOM,Exxon Mobil Corporation,20131211,UPDATE 1-Exxon offers rare gasoil term contract from S.Arabia ,* Sign of Saudi Arabia becoming self-sufficient in meeting gasoil needs,topStory
XOM,Exxon Mobil Corporation,20131211,Exxonmobil offers rare gasoil term for 2014 from S.Arabia refinery ,SINGAPORE  Dec 11 Exxonmobil has offered gasoil cargoes through a rare term tender from its joint-venture refinery in Saudi Arabia  trade sources said on Wednesday.,normal
F,Ford Motor Company,20131211,UPDATE 3-GM to halt car production in Australia  industry in crisis ,* GM says closure of vehicle  engine plants to affect 2 900 jobs,topStory
FTS,Fortis Inc,20131211,Fortis to buy UNS Energy for about $2.5 billion ,Fortis Inc  has reached a friendly deal to buy Arizona-focused utility UNS Energy Corp  for about $2.5 billion in cash  the Canadian power company said on Wednesday  as it looks to expand its presence in the United States.,topStory
FTS,Fortis Inc,20131211,UPDATE 1-Fortis to buy UNS Energy for about $2.5 bln ,Dec 11 Fortis Inc has reached a friendly deal to buy Arizona-focused utility UNS Energy Corp  for about $2.5 billion in cash  the Canadian power company said on Wednesday  as it looks to expand its presence in the United States.,normal
FTS,Fortis Inc,20131211,Fortis to buy UNS Energy for about $2.5 bln ,Dec 11 Canadian power company Fortis Inc  said it agreed to buy utility firm UNS Energy Corp  for about $2.5 billion in cash to expand its presence in the United States.,normal
GM,General Motors Company,20131211,GM doesn't owe $450 million in retiree benefits: U.S. judge ,A federal judge said General Motors Co is not required to pay $450 million to cover medical benefits for retirees  in a defeat for the United Auto Workers union.,topStory
GM,General Motors Company,20131211,UPDATE 1-GM doesn't owe $450 mln in retiree benefits - U.S. judge ,Dec 11 A federal judge said General Motors Co  is not required to pay $450 million to cover medical benefits for retirees  in a defeat for the United Auto Workers union.,normal
GM,General Motors Company,20131211,Analysis: With heavy lifting done  GM's focus turns to cars  fixing Europe ,DETROIT With General Motors Co  in recent days setting in motion big changes around the globe  the focus for new Chief Executive Mary Barra and her team will be making cars and trucks that prove popular enough to help end losses in Europe  analysts said.,normal
GM,General Motors Company,20131211,GM doesn't owe $450 mln in retiree benefits  U.S. judge rules ,Dec 11 A federal judge said General Motors Co  is not required to pay $450 million to cover medical benefits for retirees  in a defeat for the United Auto Workers union.,normal
GM,General Motors Company,20131211,GM to halt car production in Australia  industry in crisis ,SYDNEY/MELBOURNE General Motors Co  said it would stop making cars in Australia by 2017 due to high costs and a cripplingly strong currency  fuelling fears rival Toyota Motor Corp  will follow suit and put the entire local autos industry at risk. | Video ,normal
GM,General Motors Company,20131211,Toyota says GM exit puts pressure on its ability to make cars in Australia ,SYDNEY Toyota Motor Corp said on Wednesday that General Motors Co's decision to stop production in Australia would place "unprecedented pressure" on its ability to make cars in the country.,normal
GM,General Motors Company,20131211,Toyota says GM exit puts pressure on its ability to make cars in Australia ,SYDNEY  Dec 11 Toyota Motor Corp said on Wednesday that General Motors Co's decision to stop production in Australia would place "unprecedented pressure" on its ability to make cars in the country.,normal
GM,General Motors Company,20131211,GM shakes up auto industry men's club  naming first woman CEO ,DETROIT General Motors Co CEO Dan Akerson will step down next month and be replaced by GM "lifer" and global product chief Mary Barra  a sign that the development of new vehicles will be the paramount focus of the company that emerged from bankruptcy four years ago. | Video ,normal
GM,General Motors Company,20131211,Toyota likely to quit Australia production after GM exits: union official ,SYDNEY Toyota Motor Corp is likely to close its production in Australia  after General Motors Co said it would end vehicle and engine manufacturing in the country by the end of 2017  an Australian labor union official said on Wednesday.,normal
GM,General Motors Company,20131211,Toyota likely to quit Australia production after GM exits - union official ,SYDNEY  Dec 11 Toyota Motor Corp is likely to close its production in Australia  after General Motors Co said it would end vehicle and engine manufacturing in the country by the end of 2017  an Australian labour union official said on Wednesday.,normal
GSK,GlaxoSmithKline PLC,20131211,"Patent box" encourages GSK to invest $330 million more in UK ,LONDON GlaxoSmithKline is to invest another 200 million pounds ($330 million) on advanced manufacturing in Britain  the company said on Wednesday  underlining the draw of a tax break designed to encourage research and development.,topStory
GSK,GlaxoSmithKline PLC,20131211,"Patent box" encourages GSK to invest $330 mln more in UK ,LONDON  Dec 11 GlaxoSmithKline is to invest another 200 million pounds ($330 million) on advanced manufacturing in Britain  the company said on Wednesday  underlining the draw of a tax break designed to encourage research and development.,normal
GS,Goldman Sachs Group Inc (The),20131211,Goldman and Deutsche Bank disclose stakes in Portugal's CTT ,LISBON Goldman Sachs  and Deutsche Bank  bought big stakes in Portugal's CTT   the newly privatized postal services company said on Wednesday  as its shareholder structure began to be disclosed.,topStory
