ATVI,Activision Blizzard Inc,20130801,Activision CEO says 'business as usual' after buyback deal ,SAN FRANCISCO Activision Blizzard Inc will conduct "business as usual" for now while it explores growth and acquisition opportunities  the video game publisher's CEO said on Thursday after sealing a deal last week to buy back most of parent company Vivendi's stake for more than $8 billion.,topStory
ALE,Allete Inc,20130801,Allete to add 200 MW to North Dakota wind power farm ,Aug 1 Allete Inc's Minnesota Power unit plans to start expanding its Bison wind farm in North Dakota by 200 megawatts later this year  enabling the company to meet Minnesota's renewable energy requirements about 10 years early.,topStory
LNT,Alliant Energy Corporation,20130801,Alliant awards contract to upgrade Iowa Ottumwa coal power plant ,Aug 1 Alliant Energy Corp's Interstate Power and Light awarded a $110 million contract to replace equipment at its Ottumwa coal-fired power plant in Iowa to engineering firms Babcock & Wilcox Co and privately held Burns & McDonnell.,topStory
AIG,American International Group Inc,20130801,UPDATE 3-AIG investors cheer first capital return since bailout ,* Shares rise 6 pct after the bell   (Adds background  analyst comment  life insurance unit results; updates shares),topStory
APA,Apache Corporation,20130801,Apache profit matches Street as shale production jumps ,Apache Corp   an oil and natural gas exploration and production company  reported a higher quarterly profit on Thursday that matched Wall Street's expectations  helped by a surge in shale operations.,topStory
APA,Apache Corporation,20130801,UPDATE 2-Apache profit matches Street as shale production jumps ,By Ernest Scheyder     Aug 1 Apache Corp  an oil and natural gas exploration and production company  reported a higher quarterly profit on Thursday that matched Wall Street's expectations  helped by a surge in shale operations.     The company  which sold off its Gulf of Mexico shelf assets last month  has been focusing more on onshore production and said its North American onshore liquids production rose 42 percent to 175 000 barrels per day in the quarter.     "We expect Apache to ,normal
APA,Apache Corporation,20130801,Apache profit nearly triples ,Aug 1 Apache Corp  the oil and natural gas exploration and production company  said on Thursday its quarterly profit nearly tripled  helping mostly by North American shale operations.,normal
APO,Apollo Global Management LLC,20130801,Apollo  TPG among funds circling Gherkin tower owner IVG ,LONDON/FRANKFURT  Aug 1 Apollo and TPG Capital are among the private equity funds holding the debt of German property company IVG with a view to taking control as last-ditch talks with creditors near an end  two sources close to the situation told Reuters.,topStory
APO,Apollo Global Management LLC,20130801,Apollo  TGP among funds circling Gherkin tower owner IVG ,LONDON/FRANKFURT Apollo and TPG Capital are among the private equity funds holding the debt of German property company IVG with a view to taking control as last-ditch talks with creditors near an end  two sources close to the situation told Reuters.,normal
AZN,Astrazeneca PLC,20130801,WRAPUP 1-Drugmakers fear short-term "turmoil" as China probes widen ,* AstraZeneca CEO sees short-term disruption  price pressure,topStory
AZN,Astrazeneca PLC,20130801,AstraZeneca unit looking at biosimilars  no comment on Celltrion ,LONDON  Aug 1 AstraZeneca is looking at ways to leverage its capacity to make biotech drugs within its MedImmune unit  including a possible move into so-called biosimilars  its chief executive said on Thursday.,normal
AZN,Astrazeneca PLC,20130801,AstraZeneca warns of higher costs as drug sales slide ,LONDON British drugmaker AstraZeneca warned on Thursday of higher costs in 2013 as it invests through a slump in sales caused by a wave of patent expiries on key medicines.,normal
AZN,Astrazeneca PLC,20130801,UPDATE 2-AstraZeneca warns of higher costs as drug sales slide ,LONDON  Aug 1 British drugmaker AstraZeneca  warned on Thursday of higher costs in 2013 as it invests through a slump in sales caused by a wave of patent expiries on key medicines.,normal
AZN,Astrazeneca PLC,20130801,AstraZeneca drug sales fall on patent expiries in second quarter ,LONDON  Aug 1 AstraZeneca sales fell by a slightly more -than-expected 6 percent in the second quarter  hurt by loss of patent protection on key drugs  while earnings tumbled nearly a quarter due to a higher tax rate.,normal
T,AT&T Inc,20130801,Leap Wireless quarterly loss widens as it loses subscribers ,Leap Wireless   which agreed to be bought by AT&T Inc  last month  reported a bigger quarterly loss as it lost subscribers.,topStory
T,AT&T Inc,20130801,Google bets on custom colors with first flagship Moto X phone ,NEW YORK/SAN FRANCISCO  Aug 1 Motorola on Thursday unveiled its highly anticipated Moto X smartphone  which will be customizable with different colors for AT&T customers and marks the cellphone maker's first flagship device since Google Inc bought the company in 2012.,normal
AVP,Avon Products Inc,20130801,Avon profit beats views; offer to settle bribe probe rejected ,Avon Products Inc  reported higher-than-expected earnings on Thursday  helped by a jump in business in its biggest market  Latin America  but said its attempt to settle a bribery investigation was rebuffed.,topStory
AVP,Avon Products Inc,20130801,UPDATE 2-Avon profit beats views; offer to settle bribe probe rejected ,Aug 1 Avon Products Inc reported higher-than-expected earnings on Thursday  helped by a jump in business in its biggest market  Latin America  but said its attempt to settle a bribery investigation was rebuffed.,normal
AVP,Avon Products Inc,20130801,Avon sales rise 2 percent excluding currency effect ,Avon Products Inc  on Thursday said second-quarter sales rose 2 percent  excluding the impact of currency fluctuations  as it benefited from big gains in Latin America  its largest market.,normal
AVP,Avon Products Inc,20130801,Avon sales rise 2 percent excluding currency effect ,Aug 1 Avon Products Inc on Thursday said second-quarter sales rose 2 percent  excluding the impact of currency fluctuations  as it benefited from big gains in Latin America  its largest market.,normal
BAC,Bank of America Corporation,20130801,Bank of America expects civil charges over mortgage bonds ,The Justice Department intends to file civil charges against Bank of America Corp  linked to a sale of one or two mortgage bonds  the bank said on Thursday in a regulatory filing.,topStory
BAC,Bank of America Corporation,20130801,Bank of America expects civil charges over mortgage bonds ,Aug 1 The U.S. Justice Department intends to file civil charges against Bank of America Corp linked to a sale of one or two mortgage bonds  the bank said on Thursday in a regulatory filing.,normal
ABX,Barrick Gold Corporation,20130801,CANADA STOCKS-Data  earnings push TSX higher  drive energy gains ,* TSX rises 107.32 points  or 0.86 percent  to 12 593.96     * Eight of 10 main index sectors advance     * Suncor gains after results  has biggest influence on market     * Barrick  Enbridge jump after quarterly reports      By John Tilak     TORONTO  Aug 1 Canada's main stock index climbed on Thursday after a burst of data from China  Europe and the United States showed the global economic recovery was strengthening  boosting the price of oil and fueling a rally in shares of energy,topStory
ABX,Barrick Gold Corporation,20130801,UPDATE 3-Barrick posts loss on impairment charge  cuts dividend ,TORONTO  Aug 1 Barrick Gold Corp posted an $8.7 billion writedown on Thursday  the largest yet in a series of charges taken by gold miners  but results were above expectations  sending its beaten-down shares higher.,normal
ABX,Barrick Gold Corporation,20130801,CANADA STOCKS-TSX jumps at open on robust data  Barrick gain ,TORONTO  Aug 1 Canada's main stock index jumped in early Thursday trading  driven by strong economic data from China and Europe  as well as a gain in Barrick Gold Corp  after the miner reported quarterly results.     The Toronto Stock Exchange's S&P/TSX composite index  was up 125.27 points  or 1 percent  at 12 611.91 shortly after the open.,normal
ABX,Barrick Gold Corporation,20130801,Gold miner Barrick posts loss on impairment charge ,Aug 1 Barrick Gold Corp posted a second-quarter loss on Thursday due to an $8.7 billion impairment charge largely on account of the recent slump in gold prices.,normal
BP,BP plc,20130801,Big Oil struggles with costs as results fall flat ,LONDON Some of the western world's top oil companies this week abandoned output targets  missed profit forecasts and promised a tight rein on spending after turning in disappointing quarterly results.,normal
CCJ,Cameco Corporation,20130801,UPDATE 1-Cameco cuts costs as uranium prices slump  misses view ,WINNIPEG  Manitoba  August 1 Canada's Cameco Corp  one of the world's biggest uranium producers  reported higher quarterly profit on Thursday  but said it planned to cut costs as prices struggled due to reduced demand for nuclear fuel.,topStory
CCJ,Cameco Corporation,20130801,Cameco records higher profit  cutting costs ,WINNIPEG  Manitoba  August 1 Canada's Cameco Corp  one of the world's biggest uranium producers  reported higher quarterly profit on Thursday  and said it planned to cut costs.,normal
CHK,Chesapeake Energy Corporation,20130801,Chesapeake profit tops Street estimate  review underway ,Chesapeake Energy Corp's  new Chief Executive Doug Lawler on Thursday said a comprehensive review of the company's partnerships and assets is underway as the second largest U.S. natural gas provider seeks to simplify its structure and improve financial discipline.,topStory
CHK,Chesapeake Energy Corporation,20130801,UPDATE 2-Chesapeake profit tops Street estimate  review underway ,(Updates share price  adds analyst and conference call commentary)     By Anna Driver     Aug 1 Chesapeake Energy Corp's new Chief Executive Doug Lawler on Thursday said a comprehensive review of the company's partnerships and assets is underway as the second largest U.S. natural gas provider seeks to simplify its structure and improve financial discipline.     The company  which experienced a severe liquidity crunch in 2012 after spending heavily for years to acquire drilling acreag,normal
CHK,Chesapeake Energy Corporation,20130801,Chesapeake quarterly profit tops Street estimate ,Chesapeake Energy Corp  reported a better-than-expected quarterly profit on Thursday as it produced more crude oil than Wall Street targeted.,normal
CHL,China Mobile (Hong Kong) Ltd,20130801,REFILE-UPDATE 2-Apple CEO met China Mobile head  discussed cooperation ,BEIJING/SINGAPORE  July 31 Apple Inc  CEO Tim Cook on Tuesday met with the head of China Mobile Ltd   the world's largest mobile carrier by subscribers and the only Chinese carrier that doesn't offer iPhones and iPads.,topStory
CI,Cigna Corporation,20130801,Cigna profit exceeds expectations; lower costs help ,Cigna Corp  which provides U.S. and overseas health insurance as well as disability and life insurance  reported a second-quarter profit that beat expectations on Thursday as medical costs fell and revenue rose.,topStory
CI,Cigna Corporation,20130801,UPDATE 3-Cigna profit exceeds expectations; lower costs help ,Aug 1 Cigna Corp  which provides U.S. and overseas health insurance as well as disability and life insurance  reported a second-quarter profit that beat expectations on Thursday as medical costs fell and revenue rose.,normal
CI,Cigna Corporation,20130801,Cigna reports higher second-quarter profit on low medical costs ,August 1 Cigna Corp said on Thursday that second-quarter profit rose as medical costs were low and revenue increased from health insurance  supplemental benefit plans like dental and vision  and disability and life insurance.,normal
CIT,CIT Group Inc (DEL),20130801,Penney says CIT still funding vendors; others keep same terms ,J.C. Penney Co Inc  said on Thursday that commercial lender CIT Group Inc  continued to support deliveries from suppliers  and claimed reports to the contrary were untrue.,topStory
CIT,CIT Group Inc (DEL),20130801,UPDATE 2-Penney says CIT still funding vendors; others keep same terms , ,normal
CIT,CIT Group Inc (DEL),20130801,US STOCKS-China  Europe manufacturing data help lift futures ,NEW YORK  Aug 1 U.S. stock index futures rose on Thursday  after economic data in Europe and China boosted hopes for the global economy and kept alive expectations for continued economic support from global central banks.,normal
CIT,CIT Group Inc (DEL),20130801,US STOCKS-Futures up  spurred by China  Europe manufacturing data ,NEW YORK  Aug 1 U.S. stock index futures rose on Thursday  after economic data in Europe and China boosted hopes for the global economy and kept expectations for continued economic support from global central banks alive.,normal
C,Citigroup Inc,20130801,Citigroup to pay $10.75 million in arbitration ,Citigroup Inc  was ordered to pay $10.75 million to a former customer over losses from investments in Royal Bank of Scotland Group PLC   which was bailed out after the 2008 financial crash  a securities arbitration panel ruled.,topStory
C,Citigroup Inc,20130801,CORRECTED-Citigroup to pay $10.75 mln in arbitration ,(Corrects paragraphs 1-2 to show ruling made by FINRA arbitration panel  not FINRA; adds explanatory paragraph 3 to show arbitration set up; corrects paragraph 4 to ...recently retired from Morgan Stanley  not ....is currently employed with Morgan Stanley),normal
C,Citigroup Inc,20130801,Judge approves Citigroup $590 million settlement ,NEW YORK A federal judge gave final approval Thursday to a $590 million settlement by Citigroup Inc that resolves a shareholder lawsuit accusing the bank of hiding tens of billions of dollars of toxic mortgage assets.,normal
C,Citigroup Inc,20130801,UPDATE 1-U.S. judge approves Citigroup $590 mln settlement ,NEW YORK  Aug 1 A federal judge gave final approval Thursday to a $590 million settlement by Citigroup Inc  that resolves a shareholder lawsuit accusing the bank of hiding tens of billions of dollars of toxic mortgage assets.,normal
CLX,Clorox Company (The),20130801,UPDATE 3-P&G appears back on track with CEO Lafley's return ,Aug 1 Procter & Gamble Co forecast a slightly more upbeat 2014 than expected on Thursday as Chief Executive A.G. Lafley tries to get the world's largest household products maker back on track without sacrificing profitability.,topStory
COP,ConocoPhillips,20130801,ConocoPhillips beats estimates as output increases ,ConocoPhillips  reported a better-than-expected profit due to higher oil and gas output and raised its full-year production forecast.,topStory
COP,ConocoPhillips,20130801,UPDATE 1-ConocoPhillips beats estimates as output increases ,Aug 1 ConocoPhillips reported a better-than-expected profit due to higher oil and gas output and raised its full-year production forecast.,normal
COP,ConocoPhillips,20130801,ConocoPhillips profit falls 10 pct ,Aug 1 ConocoPhillips  the largest independent U.S. exploration and production company  reported a 10 percent drop in quarterly earnings.,normal
EC,Ecopetrol SA,20130801,UPDATE 1-Colombia Ecopetrol Q2 net profit falls 6.8 pct to $1.8 bln ,* Falling oil prices  increased tariffs on pipelines hurt results,topStory
LLY,Eli Lilly and Company,20130801,WRAPUP 1-Drugmakers fear short-term "turmoil" as China probes widen ,* AstraZeneca CEO sees short-term disruption  price pressure,topStory
ENB,Enbridge Inc,20130801,CANADA STOCKS-Data  earnings push TSX higher  drive energy gains ,* TSX rises 107.32 points  or 0.86 percent  to 12 593.96     * Eight of 10 main index sectors advance     * Suncor gains after results  has biggest influence on market     * Barrick  Enbridge jump after quarterly reports      By John Tilak     TORONTO  Aug 1 Canada's main stock index climbed on Thursday after a burst of data from China  Europe and the United States showed the global economic recovery was strengthening  boosting the price of oil and fueling a rally in shares of energy,topStory
ENB,Enbridge Inc,20130801,UPDATE 1-Enbridge's adj profit rises as contracted volumes grow ,* On track to meet full-year adj earnings forecast of $1.74-$1.90/share,normal
E,ENI SpA,20130801,UPDATE 2-Eni points to "significant" problems in Nigeria ,* Q2 results affected by Saipem  outages in Libya  Nigeria,topStory
XOM,Exxon Mobil Corporation,20130801,UPDATE 3-Decades-old defect caused Exxon's Arkansas oil spill -regulator ,WASHINGTON  Aug 1 A leak in Exxon Mobil Corp's  nearly 70-year-old Pegasus pipeline  which spilled thousands of barrels of crude oil in a small Arkansas town in March  appears to have been caused by an original  manufacturing defect  U.S. regulators said on Thursday.,topStory
XOM,Exxon Mobil Corporation,20130801,Exxon pipeline leak caused by manufacturing defect -U.S. report ,WASHINGTON  Aug 1 A leak in Exxon Mobil's  Pegasus pipeline  which spilled thousands of barrels of crude oil in a small Arkansas town in March  was caused by a manufacturing defect  and the line will remain shut until it can be restarted safely  U.S. regulators said on Thursday.,normal
XOM,Exxon Mobil Corporation,20130801,Exxon's quarterly profit falls short of Street view ,Exxon Mobil Corp  on Thursday reported a sharp fall in quarterly profit on lower oil and gas output production and weaker earnings from its refining business.,normal
XOM,Exxon Mobil Corporation,20130801,UPDATE 2-Exxon's quarterly profit falls short of Street view ,Aug 1 Exxon Mobil Corp on Thursday reported a sharp fall in quarterly profit on lower oil and gas output production and weaker earnings from its refining business.     "I think the (earnings) shortfall was across the board " Brian Youngberg  oil analyst at Edward Jones in St Louis. "The biggest miss was on the downstream  the refining margins were well below expectations."     The world's largest publicly traded oil company reported profit at $6.9 billion  or $1.55 per share  down 57,normal
XOM,Exxon Mobil Corporation,20130801,Exxon's quarterly profit lower  output off 1.9 pct ,Aug 1 Exxon Mobil Corp on Thursday reported a 57 percent decline in second-quarter profit as oil and gas output dropped  and earnings for its refining business fell.,normal
FLR,Fluor Corporation,20130801,UPDATE 3-Oil  gas work boosts Fluor earnings above estimates ,* Second-quarter adjusted profit ahead of estimates     * Mining sector  one-off charge weigh down 2013 outlook     * Nuclear venture teams up with Rolls-Royce     * Shares up 4 pct  hit 2-month highs       By Braden Reddall     Aug 1 Fluor Corp posted on Thursday a higher-than-expected adjusted profit on growth in oil and gas work  for which prospects were strong  yet the U.S. engineering company trimmed its 2013 outlook partly due to mining sector weakness.     Shares of Fluor  the,topStory
FLR,Fluor Corporation,20130801,Fluor net profit hit by charge  but oil and gas work rises ,Fluor Corp   the largest publicly traded U.S. engineering company  reported on Thursday a quarterly net profit unchanged from a year before  as growth in oil and gas work was offset by a charge related to a legal ruling.,normal
FLR,Fluor Corporation,20130801,Fluor net profit hit by charge  but oil and gas work rises ,Aug 1 Fluor Corp  the largest publicly traded U.S. engineering company  reported on Thursday a quarterly net profit unchanged from a year before  as growth in oil and gas work was offset by a charge related to a legal ruling.,normal
F,Ford Motor Company,20130801,Buyers snap up vehicles in July  but fleet sales weak ,DETROIT Auto sales to individual U.S. consumers beat expectations in July and major automakers reported low inventories for many hot-selling models  such as Ford Motor Co's Fusion mid-size sedan  suggesting sales would strengthen further this year. | Video ,topStory
F,Ford Motor Company,20130801,UPDATE 5-U.S. buyers snap up vehicles in July  but fleet sales weak ,DETROIT  Aug 1 U.S. auto sales to individual U.S. consumers beat expectations in July and major automakers reported low inventories for many hot-selling models  such as Ford Motor Co's Fusion mid-size sedan  suggesting sales would strengthen further this year.,normal
F,Ford Motor Company,20130801,Chrysler leads as Canadian July auto sales set record ,TORONTO Canadian auto sales soared more than 7 percent to a record high for the month of July  industry data released on Thursday showed  with Chrysler  outselling Ford Motor Co  and General Motors Co  and Japan's three big automakers all with double digit gains.,normal
F,Ford Motor Company,20130801,UPDATE 1-Chrysler leads as Canadian July auto sales set record ,TORONTO  Aug 1 Canadian auto sales soared more than 7 percent to a record high for the month of July  industry data released on Thursday showed  with Chrysler  outselling Ford Motor Co and General Motors Co and Japan's three big automakers all with double digit gains.,normal
F,Ford Motor Company,20130801,PRECIOUS-Gold falls as ECB rate view  strong US data boost dollar ,* ECB's low-rate pledge  strong U.S. data lift dollar     * Outflows from main physical gold fund appears easing     * Top gold miners say falling bullion prices hurt results     * Volume light as traders await Friday's job report   (Adds details on technicals  gold miners' performance  updates prices)     By Frank Tang and Jan Harvey     NEW YORK/LONDON  Aug 1 Gold fell on Thursday  its fourth consecutive daily drop  hit by strong U.S. factory data and a dollar rally after the Europ,normal
F,Ford Motor Company,20130801,WRAPUP 3-U.S. factory  jobless data point to firming economy ,* Factory activity accelerates in July  highest in two years     * Weekly jobless claims fall to lowest since January 2008     * Reports show momentum in economy picking up      By Lucia Mutikani     WASHINGTON  Aug 1 U.S. factory activity jumped to a two-year high in July and first-time applications for jobless benefits hit a 5-1/2-year low last week  bolstering views economic growth would accelerate in the second half of the year.     The burst of strength in the economy as the thi,normal
F,Ford Motor Company,20130801,Chrysler Canada posts higher July sales on strong car demand ,TORONTO  Aug 1 Chrysler's Canadian arm on Thursday reported record sales for July  up 8.5 percent from a year earlier  helped in part by a jump in passenger car sales.,normal
F,Ford Motor Company,20130801,Ford to pay $17 million in U.S. settlement over slow recall ,DETROIT Ford Motor Co  agreed to pay nearly $17.4 million in a settlement with U.S. auto safety regulators for failing to act quickly enough last year to recall vehicles with a defect that may cause unintended acceleration.,normal
F,Ford Motor Company,20130801,Ford to pay $17 mln in U.S. settlement over slow recall ,DETROIT  Aug 1 Ford Motor Co agreed to pay nearly $17.4 million in a settlement with U.S. auto safety regulators for failing to act quickly enough last year to recall vehicles with a defect that may cause unintended acceleration.,normal
GM,General Motors Company,20130801,Chrysler leads as Canadian July auto sales set record ,TORONTO Canadian auto sales soared more than 7 percent to a record high for the month of July  industry data released on Thursday showed  with Chrysler  outselling Ford Motor Co  and General Motors Co  and Japan's three big automakers all with double digit gains.,topStory
GM,General Motors Company,20130801,UPDATE 1-Chrysler leads as Canadian July auto sales set record ,TORONTO  Aug 1 Canadian auto sales soared more than 7 percent to a record high for the month of July  industry data released on Thursday showed  with Chrysler  outselling Ford Motor Co and General Motors Co and Japan's three big automakers all with double digit gains.,normal
GM,General Motors Company,20130801,PRECIOUS-Gold falls as ECB rate view  strong US data boost dollar ,* ECB's low-rate pledge  strong U.S. data lift dollar     * Outflows from main physical gold fund appears easing     * Top gold miners say falling bullion prices hurt results     * Volume light as traders await Friday's job report   (Adds details on technicals  gold miners' performance  updates prices)     By Frank Tang and Jan Harvey     NEW YORK/LONDON  Aug 1 Gold fell on Thursday  its fourth consecutive daily drop  hit by strong U.S. factory data and a dollar rally after the Europ,normal
GGB,Gerdau SA,20130801,Gerdau sees little impact from Brazil's steel import tax decision ,SAO PAULO  Aug 1 A decision by the Brazilian government not to renew an import tax on some steel products is unlikely to impact local mill Gerdau SA in a meaningful way  Gerdau executives said at a conference call on Thursday.,topStory
GGB,Gerdau SA,20130801,STXNEWS LATAM-Gerdau has no interest to bid for MMX's Sudeste port  CEO says ,Brazilian steelmaker Gerdau SA is not interested in bidding for mining company MMX Mineração e Metálicos SA's  Porto do Sudeste port compound  Chief Executive Officer André Gerdau-Johannpeter said on Thursday. MMX is reportedly putting up for sale a series of projects or finding partners to reduce debt and speed up execution.,normal
GGB,Gerdau SA,20130801,UPDATE 1-Brazil steelmaker Gerdau beats profit estimates ,SAO PAULO  Aug 1 Brazil's Gerdau SA   beat second-quarter profit estimates on Thursday as costs rose at a slower pace than revenue  in a sign the largest steelmaker in the Americas is banking on prudence to bolster earnings.,normal
GGB,Gerdau SA,20130801,Brazil steelmaker Gerdau beats profit estimates in second quarter ,SAO PAULO  Aug 1 Gerdau SA   the largest steelmaker in the Americas  posted second-quarter net income of 401 million reais ($175 million)  according to a securities filing on Thursday.,normal
