ALGT,Allegiant Travel Company,20131223,YOUR MONEY - What to expect if your kid is flying solo ,(The author is a Reuters' contributor. The opinions expressed are his own.),normal
CAMP,CalAmp Corp,20131223,BRIEF-CalAmp down 7.4 percent in extended trade after Q3 results  outlook ,NEW YORK  Dec 23 CalAmp Corp :  * Down 7.4 percent to $25.51 in extended trade after Q3 results  outlook,topStory
CMCSA,Comcast Corporation,20131223,'Fast and Furious 7' to be released in April 2015 -Vin Diesel ,NEW YORK  Dec 23 "Fast and Furious 7 " the action film that was shut down after the sudden death in a car crash last month of actor Paul Walker will be released in April 2015  the star of the series  Vin Diesel  said on Sunday.,normal
FB,Facebook Inc,20131223,US STOCKS-Dow  S&P hit record highs; Apple's China deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,topStory
FB,Facebook Inc,20131223,US STOCKS-Dow  S&P end at record highs as Apple deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,normal
FB,Facebook Inc,20131223,Hulu must face privacy lawsuit  U.S. judge rules ,Hulu has failed to persuade a federal judge to dismiss a lawsuit accusing the video streaming service of illegally sharing users' viewing history with Facebook Inc and business metrics company comScore Inc.,normal
FB,Facebook Inc,20131223,UPDATE 1-Hulu must face privacy lawsuit  U.S. judge rules ,Dec 23 Hulu has failed to persuade a federal judge to dismiss a lawsuit accusing the video streaming service of illegally sharing users' viewing history with Facebook Inc  and business metrics company comScore Inc.,normal
FB,Facebook Inc,20131223,CORRECTED-Hulu must face privacy lawsuit  U.S. judge rules ,(Corrects title in paragraph 2 to magistrate judge from district judge),normal
FB,Facebook Inc,20131223,T-Mobile prepaid service to offer free Facebook access ,NEW YORK GoSmart  the prepaid service of No. 4 U.S. operator T-Mobile US  said on Monday it would offer its customers free access to Facebook Inc whether or not they subscribe to its Internet service.,normal
FB,Facebook Inc,20131223,T-Mobile prepaid service to offer free Facebook access ,NEW YORK  Dec 23 GoSmart  the prepaid service of No. 4 U.S. operator T-Mobile US  said on Monday it would offer its customers free access to Facebook Inc  whether or not they subscribe to its Internet service.,normal
STX,Seagate Technology PLC,20131223,Seagate to buy Xyratex to add test equipment business ,Seagate Technology Plc said it would buy network and storage equipment maker Xyratex Ltd for about $374 million to strengthen its supply and manufacturing chain for disk drives.,topStory
STX,Seagate Technology PLC,20131223,UPDATE 1-Seagate to buy Xyratex to add test equipment business ,Dec 23 Seagate Technology Plc said it would buy network and storage equipment maker Xyratex Ltd  for about $374 million to strengthen its supply and manufacturing chain for disk drives.,normal
STX,Seagate Technology PLC,20131223,Seagate to buy Xyratex for $374 mln ,Dec 23 Hard-disk drive maker Seagate Technology Plc said it would buy network and storage equipment maker Xyratex Ltd for about $374 million in cash.,normal
TSRO,TESARO Inc,20131223,Weak nausea drug data knocks back Tesaro shares ,Tesaro Inc's experimental drug for treating chemotherapy-induced nausea and vomiting (CINV) failed to show enough benefit in trials to give it an edge over competing drugs  sending its shares down as much as 24 percent.,topStory
TSRO,TESARO Inc,20131223,UPDATE 1-Weak nausea drug data knocks back Tesaro shares ,Dec 23 Tesaro Inc's experimental drug for treating chemotherapy-induced nausea and vomiting (CINV) failed to show enough benefit in trials to give it an edge over competing drugs  sending its shares down as much as 24 percent.,normal
TSRO,TESARO Inc,20131223,Tesaro nausea drug effective in late-stage trials ,Dec 23 Tesaro Inc said its experimental drug for treating chemotherapy-induced nausea and vomiting was found effective in two late-stage studies.,normal
CG,The Carlyle Group LP,20131223,Exclusive: Carlyle near deal to buy J&J diagnostics unit - sources ,NEW YORK Private equity firm Carlyle Group LP  is nearing an agreement to acquire Johnson & Johnson's  ortho clinical diagnostics unit  four people familiar with the matter said on Monday  in a deal expected to be worth around $4 billion.,topStory
TCGP,The Carlyle Group LP,20131223,Exclusive: Carlyle near deal to buy J&J diagnostics unit - sources ,NEW YORK Private equity firm Carlyle Group LP  is nearing an agreement to acquire Johnson & Johnson's  ortho clinical diagnostics unit  four people familiar with the matter said on Monday  in a deal expected to be worth around $4 billion.,topStory
VOD,Vodafone Group Plc,20131223,Celesio shareholder Elliott remains opposed to McKesson bid ,FRANKFURT Hedge fund Elliott International remains opposed to U.S. wholesale drugs group McKesson's  $8.3 billion offer for European counterpart Celesio   it said on Monday  warning it was "irrevocably bound" not to accept the bid in its current form.,normal
YRCW,YRC Worldwide Inc,20131223,UPDATE 1-Trucking co YRC Worldwide reaches deal to cut debt ,Dec 23 Trucking company YRC Worldwide Inc  said it reached an agreement with some shareholders and institutional investors to reduce its debt by about $300 million.,topStory
AER,Aercap Holdings NV,20131223,AerCap in no rush to order new jets after buying ILFC ,AerCap  has emerged as one of the leading forces in aviation after agreeing to buy the world's second-largest jet lessor  but its chief executive said on Monday he was in no hurry to join the industry's recent plane ordering bonanza.,topStory
BK,Bank Of New York Mellon Corporation (The),20131223,BNY Mellon cuts fees to settle Massachusetts forex case ,BOSTON Bank of New York Mellon Corp will cut fees by $15.45 million to resolve a Massachusetts complaint over its handling of foreign exchange transactions  state officials said on Monday.,topStory
BK,Bank Of New York Mellon Corporation (The),20131223,UPDATE 2-BNY Mellon cuts fees to settle Massachusetts forex case ,BOSTON  Dec 23 Bank of New York Mellon Corp  will cut fees by $15.45 million to resolve a Massachusetts complaint over its handling of foreign exchange transactions  state officials said on Monday.,normal
BK,Bank Of New York Mellon Corporation (The),20131223,BNY Mellon resolves Massachusetts forex case with fee discount ,BOSTON  Dec 23 Massachusetts' top securities regulator said on Monday his office has revolved an administrative complaint with Bank of New York Mellon Corp  over its handling of foreign exchange transactions.,normal
ABX,Barrick Gold Corporation,20131223,Dominican gold rush hits a bureaucratic slowdown ,COTUI  Dominican Republic Little more than a decade ago  one of the world's largest known gold deposits sat abandoned in the foothills of the Dominican Republic's Central Cordillera mountain range. Car-sized boulders leached heavy metals into what locals called the "blood river " its waters ran so red from contaminants.,normal
BA,Boeing Company (The),20131223,Norwegian Air Dreamliner grounded in U.S. due to technical problems ,OSLO Budget airline Norwegian Air Shuttle  said one of its Boeing  Dreamliners was grounded in the United States  the latest in a string of technical problems to hit the new plane.,topStory
BA,Boeing Company (The),20131223,Norwegian Air Dreamliner grounded in U.S. due to technical problems ,OSLO  Dec 23 Budget airline Norwegian Air Shuttle said one of its Boeing Dreamliners was grounded in the United States  the latest in a string of technical problems to hit the new plane.,normal
BA,Boeing Company (The),20131223,Boeing machinists to vote January 3 on revised contract ,NEW YORK Unionized workers at Boeing Co  will vote on January 3 on the company's latest proposed contract  according to a statement issued by the International Association of Machinists and Aerospace Workers on Sunday evening.,normal
BA,Boeing Company (The),20131223,Boeing machinists to vote Jan. 3 on revised contract ,NEW YORK  Dec 22 Unionized workers at Boeing Co  will vote on Jan. 3 on the company's latest proposed contract  according to a statement issued by the International Association of Machinists and Aerospace Workers on Sunday evening.,normal
BP,BP plc,20131223,Rosneft targets oil trading big league with Morgan Stanley deal ,MOSCOW Russia's Rosneft  will be trading oil from offices in London  New York and Singapore following its purchase of Morgan Stanley's business  in a challenge to established players such as BP .,topStory
BP,BP plc,20131223,UPDATE 1-Rosneft targets oil trading big league with Morgan Stanley deal ,* Rosneft is the world's top listed oil company by output,normal
BP,BP plc,20131223,Rosneft says redeems $5.1 billion from loans for TNK-BP purchase ,MOSCOW Rosneft   Russia's top oil producer  said on Monday it has redeemed $5.1 billion from loans  received from international banks  for the purchase of Anglo-Russian oil firm TNK-BP.,normal
BP,BP plc,20131223,Rosneft says redeems $5.1 bln from loans for TNK-BP purchase ,MOSCOW  Dec 23 Rosneft  Russia's top oil producer  said on Monday it has redeemed $5.1 billion from loans  received from international banks  for the purchase of Anglo-Russian oil firm TNK-BP.,normal
BAM,Brookfield Asset Management Inc,20131223,UPDATE 1-Vale to sell some VLI shares to Brookfield for $842 mln ,BRASILIA  Dec 23 Brazilian iron ore miner Vale  said on Monday it agreed to sell a 26.5 percent stake in logistics company VLI SA to Canada's Brookfield Asset Management for 2 billion reais ($842.78 million).,topStory
BAM,Brookfield Asset Management Inc,20131223,REFILE-Vale to sell VLI unit stake to Brookfield for $842 mln -filing ,BRASILIA  Dec 23 Brazilian iron ore miner Vale  said on Monday it agreed to sell a 26.5 percent stake in logistics company VLI SA to Canada's Brookfield Asset Management for 2 billion reais ($842.78 million).,normal
CVX,Chevron Corporation,20131223,Chevron appeals to top Ecuador court in pollution case ,QUITO U.S. energy company Chevron Corp appealed on Monday to Ecuador's highest court  asking it to cancel a $9.5 billion fine for polluting the Amazon rainforest in a long-running case.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131223,Dow  S&P hit record highs; Apple's China deal lifts techs ,NEW YORK U.S. stocks climbed on Monday  with the Dow and S&P 500 advancing to all-time highs as a distribution deal by Apple Inc with China Mobile boosted the technology sector.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131223,US STOCKS-Dow  S&P hit record highs; Apple's China deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,Australia shares seen rising on Wall St record highs  trade shortened ,SYDNEY  Dec 24 Australian shares were set to rise on Tuesday  tracking a positive lead from Wall Street after Apple Inc lifted the technology sector on its deal with China Mobile.     The market will be closed earlier on Christmas eve.      * Local share price index futures rose 0.5 percent to 5 296  a 4.1 point premium/discount to the underlying S&P/ASX 200 index close. The benchmark gained 0.5 percent to three-week highs on Monday.     * New Zealand's benchmark NZX 50 index rose 0.,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,US STOCKS-Dow  S&P end at record highs as Apple deal lifts techs ,* Facebook ends at record high on first day in the S&P 500,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,UPDATE 1-Apple  China Mobile sign long-awaited deal to sell iPhones , ,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,US STOCKS-Wall St rallies to record highs  buoyed by Apple deal ,* Dow  S&P 500 at all-time highs; last week was best in months,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,Strong ARM helps FTSE notch up four-session winning streak ,LONDON  Dec 23 Britain's shares rose for a fourth straight day on Monday as chip designer ARM was boosted by the prospect of more orders from key client Apple  while optimism about U.S. growth underpinned the broader market.,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,Strong ARM helps FTSE notch up 4-session winning streak ,LONDON  Dec 23 Britain's shares rose for a fourth straight day on Monday as chip designer ARM was boosted by the prospect of more orders from key client Apple and optimism about U.S. growth underpinned the broader market.,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,US STOCKS-Wall St rises to new highs  boosted by Apple deal ,NEW YORK  Dec 23 U.S. stocks rose Monday  advancing to all-time highs as Apple Inc surged on a distribution deal with China Mobile.,normal
CHL,China Mobile (Hong Kong) Ltd,20131223,US STOCKS SNAPSHOT-Wall St opens higher  boosted by Apple deal ,NEW YORK  Dec 23 U.S. stocks opened higher on Monday  extending the previous week's steep rally as Apple Inc  surged on a distribution deal with China Mobile.,normal
CCU,Compania Cervecerias Unidas SA,20131223,Chilean brewer CCU enters Paraguay via acquisition ,SANTIAGO  Dec 23 Chile's largest beer brewer Compania Cervecerias Unidas said it was entering the Paraguayan market via the purchase of stakes in a drinks company and a distributor.,topStory
DRI,Darden Restaurants Inc,20131223,Activist Starboard takes 5.6 percent Darden stake  plans push for change: source ,NEW YORK Activist investor Starboard Value LP has taken a 5.6 percent stake in Darden Restaurants Inc   which it plans to disclose in a regulatory filing Monday  according to a person familiar with the situation.,topStory
DRI,Darden Restaurants Inc,20131223,Activist Starboard takes 5.6 pct Darden stake  plans push for change-source ,NEW YORK  Dec 22 Activist investor Starboard Value LP has taken a 5.6 percent stake in Darden Restaurants Inc   which it plans to disclose in a regulatory filing Monday  according to a person familiar with the situation.,normal
ETE,Energy Transfer Equity LP,20131223,Regency Energy to buy pipeline assets in Texas for $1.6 billion ,Regency Energy Partners LP   owned by billionaire Kelcy Warren's Energy Transfer Equity LP   said it would buy pipeline and related assets for about $1.6 billion to take advantage of soaring crude production in Texas.,topStory
ETE,Energy Transfer Equity LP,20131223,UPDATE 2-Regency Energy to buy pipeline assets in Texas for $1.6 bln ,* Eagle Rock shares rise as much as 17 pct  Regency 12 pct,normal
XOM,Exxon Mobil Corporation,20131223,COLUMN-Hot 2014 investing tip: Don't chase 2013 ,CHICAGO  Dec 23 This year  the stock market has been glowing as brightly as the seasonal lights that now bedeck holiday streetscapes.,normal
XOM,Exxon Mobil Corporation,20131223,RPT-Qatar says can help Iran get more from world's biggest gas field ,DOHA  Dec 23 Qatar wants to help Iran to develop its share of the world's biggest gas field so both countries can reap the maximum long-term rewards  sources at state-run Qatar Petroleum (QP) say.,normal
FCX,Freeport-McMoran Inc,20131223,Freeport in 'at-will' pay deal with CEO  grants $36 million in stock ,Freeport-McMoRan Copper & Gold Inc  said on Monday it reached an agreement with Chief Executive Richard Adkerson to cancel his employment agreement  giving up his guaranteed salary  benefits and rights to substantial severance in exchange for restricted stock worth about $36 million.,topStory
FCX,Freeport-McMoran Inc,20131223,UPDATE 1-Freeport in 'at-will' pay deal with CEO  grants $36 mln in stock ,Dec 23 Freeport-McMoRan Copper & Gold Inc  said on Monday it reached an agreement with Chief Executive Richard Adkerson to cancel his employment agreement  giving up his guaranteed salary  benefits and rights to substantial severance in exchange for restricted stock worth about $36 million.,normal
GM,General Motors Company,20131223,GM unit Opel sees enough sales growth to avoid cost cuts: paper ,FRANKFURT General Motors'  European unit Opel is cautiously optimistic that sales will grow enough in 2014 to avoid a further round of cost cutting  Chief Executive Karl-Thomas Neumann told newspaper Sueddeutsche Zeitung.,topStory
GM,General Motors Company,20131223,GM unit Opel sees enough sales growth to avoid cost cuts - paper ,FRANKFURT  Dec 23 General Motors'  European unit Opel is cautiously optimistic that sales will grow enough in 2014 to avoid a further round of cost cutting  Chief Executive Karl-Thomas Neumann told newspaper Sueddeutsche Zeitung.,normal
GOL,Gol Linhas Aereas Inteligentes SA,20131223,EMERGING MARKETS-Brazil stock index up on Dasa  Gol shares ,* Brazil Bovespa gains 0.56 pct  Mexico IPC up 0.31 pct      SAO PAULO  Dec 23 Brazilian stocks rose on Monday  led by shares of medical diagnostics firm Dasa and airline Gol  though strong technical resistance kept gains in the broader Bovespa index in check.      Mexico's IPC index rose for the third session in four  while Chile's bourse moved lower.     Brazil's benchmark Bovespa stock index rose 0.56 percent to 51 471.07 but was unable to regain the previous session's losses. The,topStory
GS,Goldman Sachs Group Inc (The),20131223,Next NYC mayor hires Goldman exec to get tough on business breaks ,NEW YORK  Dec 23 New York's incoming mayor  Bill de Blasio  hired a Goldman Sachs executive on Monday to shake up business tax incentives that he believes are leaving the city short changed.,topStory
HLF,Herbalife LTD,20131223,Ackman sticks with Herbalife short sale  promises new information in 2014 ,BOSTON Herbalife is still engaged in improper recruiting tactics and is likely violating multi-level market restrictions in China  activist hedge fund manager William Ackman wrote to his investors on Monday.,topStory
HLF,Herbalife LTD,20131223,Ackman sticks with Herbalife short sale  promises new information in 2014 ,BOSTON  Dec 23 Herbalife is still engaged in improper recruiting tactics and is likely violating multi-level market restrictions in China  activist hedge fund manager William Ackman wrote to his investors on Monday.,normal
ICE,Intercontinental Exchange Inc,20131223,NYSE proposes 'kill switch' to help catch trading errors ,NEW YORK IntercontinentalExchange Group's  NYSE Euronext unit has filed a plan with regulators to offer firms that trade on the New York Stock Exchange a "kill switch" that could cut off trading if preset levels were breached.,topStory
JNJ,Johnson & Johnson,20131223,Exclusive: Carlyle near deal to buy J&J diagnostics unit - sources ,NEW YORK Private equity firm Carlyle Group LP  is nearing an agreement to acquire Johnson & Johnson's  ortho clinical diagnostics unit  four people familiar with the matter said on Monday  in a deal expected to be worth around $4 billion.,topStory
MCK,McKesson Corporation,20131223,Elliott denies it may accept McKesson's Celesio bid ,FRANKFURT Hedge fund Elliott International stood firm in rejecting U.S. wholesale drugs group McKesson's  $8.3 billion offer for European counterpart Celesio  on Monday  saying it was "irrevocably bound" not to accept the bid at is stands.,topStory
MCK,McKesson Corporation,20131223,UPDATE 3-Elliott denies it may accept McKesson's Celesio bid ,* Elliott says has seen reports that it may change its mind,normal
MCK,McKesson Corporation,20131223,Celesio shareholder Elliott remains opposed to McKesson bid ,FRANKFURT Hedge fund Elliott International remains opposed to U.S. wholesale drugs group McKesson's  $8.3 billion offer for European counterpart Celesio   it said on Monday  warning it was "irrevocably bound" not to accept the bid in its current form.,normal
MCK,McKesson Corporation,20131223,Investor Elliott formally rebuffs McKesson's Celesio bid ,FRANKFURT  Dec 23 Hedge fund Elliott International confirmed formally that it would not accept U.S. wholesale drugs group McKesson's offer for Germany's Celesio unless the terms are improved.,normal
MTL,Mechel PAO,20131223,Mechel plans 2014 asset sales to cope with $2 billion debt ,MOSCOW Loss-making Russian coal miner and steelmaker Mechel   plans to raise around $1 billion from the sale of assets in 2014 which would help it to offset $2 billion debt it has to repay next year  the company said on Monday.,topStory
MTL,Mechel PAO,20131223,UPDATE 2-Mechel plans 2014 asset sales to cope with $2 bln debt ,* Says hopes to get $1 bln from 2014 assets sale   (Writes through to focus on debt),normal
MRK,Merck & Company Inc,20131223,UPDATE 1-Weak nausea drug data knocks back Tesaro shares ,Dec 23 Tesaro Inc's experimental drug for treating chemotherapy-induced nausea and vomiting (CINV) failed to show enough benefit in trials to give it an edge over competing drugs  sending its shares down as much as 24 percent.,normal
MDP,Meredith Corporation,20131223,Meredith to buy three TV stations for $408 million ,Media company Meredith Corp said it would buy three television stations from Gannett Co Inc and Sander Media for $407.5 million to expand its broadcast revenue and footprint.,topStory
MDP,Meredith Corporation,20131223,Meredith to buy 3 TV stations for $408 mln ,Dec 23 Media company Meredith Corp said it would buy three television stations from Gannett Co Inc  and Sander Media for $407.5 million to expand its broadcast revenue and footprint.,normal
MS,Morgan Stanley,20131223,Morgan Stanley to sell India mutual funds assets to HDFC ,MUMBAI Morgan Stanley  is selling its Indian mutual fund assets to a joint venture between India's HDFC and Britain's Standard Life   becoming the latest foreign asset manager to quit India.,topStory
MS,Morgan Stanley,20131223,Rosneft targets oil trading big league with Morgan Stanley deal ,MOSCOW Russia's Rosneft  will be trading oil from offices in London  New York and Singapore following its purchase of Morgan Stanley's business  in a challenge to established players such as BP .,normal
MS,Morgan Stanley,20131223,UPDATE 1-Rosneft targets oil trading big league with Morgan Stanley deal ,* Rosneft is the world's top listed oil company by output,normal
MS,Morgan Stanley,20131223,Rosneft's presence on global oil market to be boosted by Morgan Stanley deal: Sechin ,MOSCOW Rosneft's  deal to buy the global oil merchanting unit of Morgan Stanley's  commodities division will boost the company's presence on the global oil markets  Chief Executive Igor Sechin said in a statement on Monday.,normal
MS,Morgan Stanley,20131223,Rosneft's presence on global oil market to be boosted by Morgan Stanley deal- Sechin ,MOSCOW  Dec 23 Rosneft's deal to buy the global oil merchanting unit of Morgan Stanley's  commodities division will boost the company's presence on the global oil markets  Chief Executive Igor Sechin said in a statement on Monday.,normal
NKE,Nike Inc,20131223,Italy striker Balotelli to wear Puma boots in sponsorship deal ,FRANKFURT  Dec 23 Puma has signed up Italian striker Mario Balotelli to wear its soccer boots  part of the German sportswear company's efforts to strengthen a footwear business that has lost out to rivals Nike and Adidas in recent years.,topStory
NVO,Novo Nordisk A/S,20131223,U.S. FDA approves Novo Nordisk's drug for rare blood clotting disorder ,The U.S. Food and Drug Administration said on Monday it has approved Novo Nordisk's drug Tretten to prevent bleeding in patients with a rare blood clotting disorder.,topStory
NVO,Novo Nordisk A/S,20131223,UPDATE 1-U.S. FDA approves Novo Nordisk's drug for rare blood clotting disorder ,Dec 23 The U.S. Food and Drug Administration said on Monday it has approved Novo Nordisk's drug Tretten to prevent bleeding in patients with a rare blood clotting disorder.,normal
NVO,Novo Nordisk A/S,20131223,U.S. FDA approves Novo Nordisk's drug for rare blood clotting disorder ,Dec 23 The U.S. Food and Drug Administration said on Monday it has approved Novo Nordisk's drug Tretten to prevent bleeding in patients with a rare blood clotting disorder known as congenital Factor XIIIA-subunit deficiency.,normal
OXY,Occidental Petroleum Corporation,20131223,Occidental in $26 mln settlement with former chairman Irani ,Dec 23 Occidental Petroleum Corp reached a $26 million settlement with its former chairman  Ray Irani  adding to the executive's billion-dollar haul over more than two decades.,topStory
PNC,PNC Financial Services Group Inc (The),20131223,PNC settles U.S. charges over National City mortgage bias ,Dec 23 PNC Financial Services Group Inc  agreed to pay $35 million to settle U.S. charges that the former National City Corp discriminated against African-American and Hispanic borrowers by charging them more on home mortgages because of their race or national origin.,topStory
PKX,POSCO,20131223,RPT-Fitch Downgrades POSCO to 'BBB'; Outlook Stable ,Dec 23 (The following statement was released by the rating agency),topStory
PLD,Prologis Inc,20131223,Norway's wealth fund to buy property stake from Prologis ,OSLO Norway's $812-billion sovereign wealth fund  the world's largest  has agreed to buy a 45-percent stake in a portfolio of U.S. warehouses valued at $1 billion from U.S.-based Prologis  as the fund builds up its still-small property assets.,topStory
PLD,Prologis Inc,20131223,Norway's wealth fund to buy property stake from Prologis ,OSLO  Dec 23 Norway's $812-billion sovereign wealth fund  the world's largest  has agreed to buy a 45-percent stake in a portfolio of U.S. warehouses valued at $1 billion from U.S.-based Prologis as the fund builds up its still-small property assets.,normal
PUK,Prudential Public Limited Company,20131223,Prudential PLC takes 15 percent stake in Bilfinger Berger Global ,FRANKFURT Prudential PLC  now holds a total 15 percent stake in closed-ended investment company Bilfinger Berger Global Infrastructure SICAV SA   the company said in a regulatory statement on Monday.,topStory
PUK,Prudential Public Limited Company,20131223,Prudential PLC takes 15 pct stake in Bilfinger Berger Global ,FRANKFURT  Dec 23 Prudential PLC now holds a total 15 percent stake in closed-ended investment company Bilfinger Berger Global Infrastructure SICAV SA   the company said in a regulatory statement on Monday.,normal
RIO,Rio Tinto Plc,20131223,Rio Tinto mulls selling stake in Pebble owner Northern Dynasty ,LONDON  Dec 23 Global miner Rio Tinto  said on Monday it is considering the sale of its stake in Canada's Northern Dynasty  owner of the undeveloped Pebble copper-gold project in Alaska.,topStory
SHG,Shinhan Financial Group Co Ltd,20131223,Shinhan  IBK among final bidders for Woori's regional bank units -sources ,SEOUL  Dec 23 South Korea's Shinhan Financial Group Co Ltd  BS Financial Group Inc  Industrial Bank of Korea and a consortium joined by private equity firm MBK Partners were among final bidders for Woori Finance Holdings Co Ltd's two regional banking units  officials at the bidding parties said on Monday.,topStory
TSM,Taiwan Semiconductor Manufacturing Company Ltd,20131223,Acer names ex-TSMC sales executive new CEO ,Dec 23 Acer Inc has named former TSMC  sales executive Jason Chen its new CEO as of January 1  appointing a chipmaking industry veteran to the helm of a Taiwanese company struggling to overcome sluggish PC sales.,topStory
TGT,Target Corporation,20131223,Target meets with state attorneys as lawsuits pile up ,BOSTON/NEW YORK Target Corp's general counsel  Timothy Baer  spoke with top state prosecutors on Monday to address their concerns about a massive data breach  as consumer lawsuits piled up against the retailer and two U.S. senators called for a federal probe.,topStory
TGT,Target Corporation,20131223,Target meets with state attorneys as lawsuits pile up ,BOSTON/NEW YORK  Dec 23 Target Corp's  general counsel  Timothy Baer  spoke with top state prosecutors on Monday to address their concerns about a massive data breach  as consumer lawsuits piled up against the retailer and two U.S. senators called for a federal probe.,normal
TGT,Target Corporation,20131223,BRIEF-Target's general counsel to speak with state attorneys general this afternoon ,Dec 23 Target Corp :  * Says actively partnering with U.S. secret service  Department of Justice on,normal
TGT,Target Corporation,20131223,Traffic at Target stores falls after data breach: WSJ ,In the wake of a massive data breach  Target Corp  suffered reduced customer traffic over one of the busiest shopping weekends of the year  the Wall Street Journal reported.,normal
TGT,Target Corporation,20131223,Traffic at Target stores falls after data breach - WSJ ,Dec 23 In the wake of a massive data breach  Target Corp suffered reduced customer traffic over one of the busiest shopping weekends of the year  the Wall Street Journal reported.,normal
TTM,Tata Motors Ltd,20131223,RPT-Fitch affirms Tata Motors at 'BB'; outlook stable ,Dec 23 (The following statement was released by the rating agency),topStory
GCI,TEGNA Inc,20131223,Meredith to buy three TV stations for $408 million ,Media company Meredith Corp said it would buy three television stations from Gannett Co Inc and Sander Media for $407.5 million to expand its broadcast revenue and footprint.,topStory
GCI,TEGNA Inc,20131223,Meredith to buy 3 TV stations for $408 mln ,Dec 23 Media company Meredith Corp said it would buy three television stations from Gannett Co Inc  and Sander Media for $407.5 million to expand its broadcast revenue and footprint.,normal
TI,Telecom Italia SPA,20131223,Telecom Italia seen giving minority investors more say ,MILAN Telecom Italia  is likely to have to give minority investors more say after narrowly surviving an attempt by rebel shareholders to throw out the board  potentially complicating decisions over its prized Brazilian business.,topStory
TI,Telecom Italia SPA,20131223,Telecom Italia seen giving minority investors more say ,* Rebel investor wants minorities to have more board seats,normal
