ATVI,Activision Blizzard Inc,20131022,Activision CEO  co-chairman control 25 percent of votes ,SAN FRANCISCO Activision Blizzard Inc  CEO Bobby Kotick and Co-chairman Brian Kelly control more than a quarter of voting interest in the company after completing their $8.2 billion deal to buy back most of its shares from Vivendi   the videogames publisher said on Monday.,topStory
AAPL,Apple Inc,20131022,RPT-UPDATE 2-Nokia launches tablet to join Microsoft gadget push ,ABU DHABI  Oct 22 Nokia has unveiled its first tablet and large-screen smartphones  which will form part of Microsoft's global push to become a leading player in consumer devices when it takes over the Finnish company's handset business.,normal
CSII,Cardiovascular Systems Inc,20131022,Cardiovascular Systems gets nod for new heart device ,Cardiovascular Systems Inc received U.S. Food and Drug Administration approval to start selling its heart device to treat severe calcium deposits in coronary arteries  sending its shares up as much as 23 percent.,topStory
CMCSA,Comcast Corporation,20131022,Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,topStory
CMCSA,Comcast Corporation,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
CREE,Cree Inc,20131022,LED maker Cree forecasts disappointing profit; shares fall ,Cree Inc   a maker of light-emitting diodes  forecast current-quarter earnings below analysts' average estimate as it expects higher marketing expenses for its LED bulb  sending its shares down about 15 percent in extended trading.,topStory
CREE,Cree Inc,20131022,UPDATE 1-LED maker Cree forecasts disappointing profit; shares fall ,* Expects 2nd-quarter operating expenses to rise by $5.5 mln,normal
CREE,Cree Inc,20131022,Cree earnings forecast falls short of estimates  shares plunge ,Oct 22 Cree Inc  a maker of light-emitting diodes (LEDs)  reported lower-than-expected first-quarter revenue and forecast current-quarter earnings below analyst estimates  sending its shares down 13 percent in extended trading.,normal
FB,Facebook Inc,20131022,Singer Dolly Parton slightly injured in car accident ,NASHVILLE  Tennessee Singer Dolly Parton was slightly injured on Monday when the SUV she was riding in as a passenger was hit by a car  police said  but the country music star posted on Facebook that she was fine and resting at home.,topStory
FB,Facebook Inc,20131022,Gory videos OK when posted for users to 'condemn': Facebook ,SAN FRANCISCO Facebook Inc has surreptitiously resumed allowing decapitation videos to be posted on its website  lifting a temporary ban it had placed earlier this year on content featuring graphic violence.,normal
LBTYA,Liberty Global plc,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
LBTYB,Liberty Global plc,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
LBTYK,Liberty Global plc,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
LILA,Liberty Global plc,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
LILAK,Liberty Global plc,20131022,UPDATE 2-Netflix CEO hopeful for deals with Comcast  others ,LOS ANGELES  Oct 21 Netflix Inc CEO Reed Hastings said on Monday he was hopeful the company would reach a deal with Comcast Corp and other pay television providers to offer his company's movie and TV streaming service through cable set-top boxes.,normal
MEOH,Methanex Corporation,20131022,Canada's Methanex sells $110 mln stake in Egyptian venture ,DUBAI  Oct 22 Canada's Methanex agreed to sell a 10 percent stake in Egyptian methanol producer EMethanex to one of its joint venture partners Arab Petroleum Investments Corp (APICORP) for $110 million  APICORP said on Tuesday.,topStory
MSFT,Microsoft Corporation,20131022,Key House Republican presses tech companies on Obamacare glitches ,WASHINGTON The Republican chairman of a key congressional oversight committee has asked Google  Microsoft and three other U.S. companies to provide details on their possible involvement in a "tech surge" aimed at fixing a website implementing President Barack Obama's signature healthcare law.,topStory
MSFT,Microsoft Corporation,20131022,Nokia launches tablet to join Microsoft gadget push ,ABU DHABI Nokia has unveiled its first tablet and large-screen smartphones  which will form part of Microsoft's global push to become a leading player in consumer devices when it takes over the Finnish company's handset business.,normal
MSFT,Microsoft Corporation,20131022,UPDATE 3-Nokia launches tablet to join Microsoft gadget push ,ABU DHABI/HELSINKI  Oct 22 Nokia  unveiled its first tablet computer and new large-screen smartphones  which will form part of Microsoft's push in consumer devices when it takes over the Finnish company's handset business.,normal
MSFT,Microsoft Corporation,20131022,Loeb's Third Point takes Nokia stake  plans to return some cash ,BOSTON Hedge fund manager Daniel Loeb  one of the industry's best performers this year  said his Third Point took a position in Nokia after the Finnish communications and technology company said it would spin off its Devices & Services business to Microsoft.,normal
MSFT,Microsoft Corporation,20131022,RPT-UPDATE 2-Nokia launches tablet to join Microsoft gadget push ,ABU DHABI  Oct 22 Nokia has unveiled its first tablet and large-screen smartphones  which will form part of Microsoft's global push to become a leading player in consumer devices when it takes over the Finnish company's handset business.,normal
MSFT,Microsoft Corporation,20131022,CORRECTED-UPDATE 1-Nokia launches tablet  joins large-screen smartphone race ,(Corrects Lumia model number in 2nd par to 1320  from 1620),normal
MSFT,Microsoft Corporation,20131022,Nokia announces new Asha phones ,ABU DHABI  Oct 22 Nokia on Tuesday announced upgraded versions of its Asha range of mobile phones  some of the last products it developed before deciding to sell its handset business to Microsoft.,normal
NFLX,Netflix Inc,20131022,Carl Icahn cuts Netflix stake  pockets $800 million profit ,NEW YORK Billionaire investor Carl Icahn has cashed in big on Netflix Inc  taking advantage of a 457 percent gain in its shares since he bought more than 9 percent of the streaming video company only 14 months ago.,topStory
NFLX,Netflix Inc,20131022,Analysts raise Netflix targets but ask if shares now too high ,Strong subscriber gains by Netflix Inc prompted analysts to sharply raise price targets on the stock  even as some worried that the shares are getting expensive as the online online video company faces bigger bills for original programs.,normal
NFLX,Netflix Inc,20131022,Carl Icahn cuts Netflix stake  pockets $800 million profit ,NEW YORK Billionaire investor Carl Icahn has cashed in big on Netflix Inc  taking advantage of a 457 percent gain in its shares since he bought more than 9 percent of the streaming video company only 14 months ago.,normal
NFLX,Netflix Inc,20131022,UPDATE 4-Carl Icahn cuts Netflix stake  pockets $800 mln profit ,(Updates to focus on Carl Icahn cutting his stake in Netflix),normal
NFLX,Netflix Inc,20131022,US STOCKS-Wall Street rises as jobs data supports Fed policy ,* Fed seen unlikely to taper stimulative policy this year,normal
NFLX,Netflix Inc,20131022,UPDATE 2-Netflix shares slump as earnings rally fades ,(Adds analyst comment  short interest and options volume  updates shares),normal
NFLX,Netflix Inc,20131022,US STOCKS-Stocks rise as weak jobs data supports easy money policy ,* Fed seen unlikely to taper stimulative policy this year,normal
NFLX,Netflix Inc,20131022,US STOCKS SNAPSHOT-Nasdaq turns briefly negative as Netflix slides ,NEW YORK  Oct 22 U.S. stocks pared gains in midmorning trading on Tuesday as Netflix shares turned around sharply and other rising stocks reversed direction.,normal
NFLX,Netflix Inc,20131022,US STOCKS-Futures flat before Sept. payrolls  Netflix up ,* Netflix shares extend gains on strong earnings  more subscribers,normal
NFLX,Netflix Inc,20131022,Analysts raise Netflix targets but ask if shares now too high ,Oct 22 Strong subscriber gains by Netflix Inc  prompted analysts to sharply raise price targets on the stock  even as some worried that the shares are getting expensive as the online online video company faces bigger bills for original programs.,normal
PTIE,Pain Therapeutics Inc,20131022,Pfizer commits to developing Pain Therapeutics' painkiller ,Pfizer Inc said it has decided to develop the abuse-resistant painkiller made by its partner Pain Therapeutics Inc  six months after the pharmaceutical giant's comments raised fears it would drop the drug.,topStory
PTIE,Pain Therapeutics Inc,20131022,UPDATE 1-Pfizer commits to developing Pain Therapeutics' painkiller ,Oct 22 Pfizer Inc said it has decided to develop the abuse-resistant painkiller made by its partner Pain Therapeutics Inc  six months after the pharmaceutical giant's comments raised fears it would drop the drug.,normal
AA,Alcoa Corporation,20131022,Alcoa  VSMPO in joint venture to develop aerospace products ,NEW YORK U.S. aluminum company Alcoa Inc  has formed a joint venture with Russia's VSMPO-Avisma Corp   the world's No. 1 titanium producer  to develop high-end aerospace products to feed growing demand from the sector  Alcoa said on Tuesday.,topStory
AA,Alcoa Corporation,20131022,Alcoa  VSMPO in joint venture to develop aerospace products ,NEW YORK  Oct 22 U.S. aluminum company Alcoa Inc  has formed a joint venture with Russia's VSMPO-Avisma Corp  the world's No. 1 titanium producer  to develop high-end aerospace products to feed growing demand from the sector  Alcoa said on Tuesday.,normal
AA,Alcoa Corporation,20131022,Alcoa shares jump on unusually heavy trading ,Shares of Alcoa Inc  surged on Tuesday in an unusually busy day for the aluminum producer  with the stock rising sharply in late-day trading for its biggest one-day move in nearly two years  though the reasons for the move were unclear.,normal
AA,Alcoa Corporation,20131022,Alcoa shares jump on unusually heavy trading ,Oct 22 Shares of Alcoa Inc surged on Tuesday in an unusually busy day for the aluminum producer  with the stock rising sharply in late-day trading for its biggest one-day move in nearly two years  though the reasons for the move were unclear.,normal
AMOV,America Movil SAB de CV,20131022,KPN curbs investment  says America Movil relations fine ,BRUSSELS Dutch telecoms group KPN  will invest less in the coming years than previously indicated  having already spent heavily on fast fixed-lines and mobile broadband  it said on Tuesday.,topStory
AMOV,America Movil SAB de CV,20131022,UPDATE 2-KPN curbs investment  says America Movil relations fine ,* Cuts spending on Dutch  Belgian networks by 500 mln euros,normal
AMX,America Movil SAB de CV,20131022,KPN curbs investment  says America Movil relations fine ,BRUSSELS Dutch telecoms group KPN  will invest less in the coming years than previously indicated  having already spent heavily on fast fixed-lines and mobile broadband  it said on Tuesday.,topStory
AMX,America Movil SAB de CV,20131022,UPDATE 2-KPN curbs investment  says America Movil relations fine ,* Cuts spending on Dutch  Belgian networks by 500 mln euros,normal
ABG,Asbury Automotive Group Inc,20131022,UPDATE 2-Asbury Auto says vehicle sales slowed sharply in October ,Oct 22 U.S. auto dealer Asbury Automotive Group Inc said sales slowed "significantly" in October  after demand for used cars  helped it report a better-than-expected third-quarter profit.,topStory
ABG,Asbury Automotive Group Inc,20131022,Asbury Automotive profit up 10 pct on higher car sales ,U.S. auto dealer Asbury Automotive Group Inc  posted a 10 percent rise in quarterly profit helped by the continuing recovery in the automobile industry.,normal
BBD,Banco Bradesco Sa,20131022,UPDATE 3-Bradesco says state bank competition will limit  options ,SAO PAULO  Oct 22 Brazil's Banco Bradesco SA   grappling with hefty bond losses and weak credit demand  expects intense competition from state-run banks to limit any attempt to raise borrowing costs and offset slower growth in interest income.,topStory
BBDO,Banco Bradesco Sa,20131022,UPDATE 3-Bradesco says state bank competition will limit  options ,SAO PAULO  Oct 22 Brazil's Banco Bradesco SA   grappling with hefty bond losses and weak credit demand  expects intense competition from state-run banks to limit any attempt to raise borrowing costs and offset slower growth in interest income.,topStory
BAC,Bank of America Corporation,20131022,Bank of America: U.S. fraud case is 'Alice in Wonderland' ,NEW YORK The U.S. government has failed to produce any evidence to show that Bank of America Corp's  Countrywide unit committed mortgage fraud in the run-up to the financial crisis  a lawyer for the bank said on Tuesday.,topStory
BBL,BHP Billiton plc,20131022,Deals of the day- Mergers and acquisitions ,(Adds Nokia  BHP Billiton  Ferrovial  EI Towers  Eni SPA  Ferrovial SA),topStory
BBL,BHP Billiton plc,20131022,METALS-Copper rises as dollar falls after U.S. jobs report ,LONDON  Oct 22 Copper rose on Tuesday as the dollar fell and after the first U.S. jobs report in nearly two months suggested the economy had lost steam  supporting expectations that the Federal Reserve will delay a decision to taper its bond-buying programme.,normal
BBL,BHP Billiton plc,20131022,UPDATE 1-BHP plans sale to trim down west Texas shale assets ,LONDON/NEW YORK  Oct 22 BHP Billiton  plans to sell roughly half its oil and gas acreage in the Permian Basin in Texas and New Mexico  an area revived by the shale boom  to focus on its most lucrative assets there.,normal
BBL,BHP Billiton plc,20131022,BHP Billiton plans sale to trim down west Texas shale assets ,LONDON/NEW YORK  Oct 22 BHP Billiton  the world's largest mining company  plans to sell roughly half its acreage in the Permian Basin - a revived oil and gas region in Texas and New Mexico - as it focuses on its most lucrative assets there.,normal
BBL,BHP Billiton plc,20131022,Britain's FTSE 100 rises to 11-week high on strong sales updates ,* FTSE 100 up 0.2 pct  highest since early August     * Reckitt  BHP lead gainers after strong updates     * U.S. jobs in focus  but won't shed light on shutdown impact      By Toni Vorobyova     LONDON  Oct 22 Britain's top share index edged up to 11-week highs on Tuesday  helped by strong updates from consumer goods maker Reckitt Benckiser  hospitality specialist Whitbread and miner BHP Billiton.     Reckitt offered the biggest boost to the FTSE 100  its shares up 5.3 percent after,normal
BBL,BHP Billiton plc,20131022,UK FTSE edges up after strong Reckitt  BHP updates ,* FTSE 100 up 0.2 pct     * Reckitt  BHP lead gainers after strong updates     * Strong non-farm payroll beat would trigger selloff - ETX's Priest      By Francesco Canepa     LONDON  Oct 22 Britain's top share index rose for a ninth straight day on Tuesday  helped by strong updates from consumer goods maker Reckitt Benckiser and miner BHP Billiton.     Gains were kept in check by caution before U.S. jobs data expected to offer clues on the strength of the recovery and thus on how lo,normal
BBL,BHP Billiton plc,20131022,UPDATE 3-BHP raises iron ore target as Australian expansions accelerate ,* Says ready to shift  pull funding from underperforming units,normal
BBL,BHP Billiton plc,20131022,Australia shares rise to new 5-yr high  BHP cheered by strong production ,SYDNEY  Oct 22 Australian shares rose 0.4 percent on Tuesday to a new five-year closing high  led by BHP Billiton on solid production results  while a rush of U.S. data in coming days kept investors focused on the implications for the Federal Reserve's stimulus programme.,normal
BBL,BHP Billiton plc,20131022,Australia shares extend gains  BHP jumps on strong production ,SYDNEY  Oct 22 Australian shares rose 0.3 percent on Tuesday morning  led by BHP Billiton after the global miner posted solid production results  while a rush of U.S. data in coming days kept investors focused on the implications for the Federal Reserve's stimulus programme.,normal
BA,Boeing Company (The),20131022,Boeing rotorcraft chief says prospects for foreign sales bright ,WASHINGTON The head of Boeing Co's  rotorcraft unit said strong international demand would help limit the pain of a decline in U.S. military spending and that discussions with Japan about a possible purchase of V-22 tiltrotors had accelerated in recent months.,topStory
CNI,Canadian National Railway Company,20131022,UPDATE 2-CN Railway results get boost from energy  market share gains ,TORONTO  Oct 22 Canadian National Railway Co   the focus of fresh scrutiny after one of its trains derailed and caught fire last weekend  reported a market-beating third-quarter profit and record revenue on Tuesday  as it announced a two-for-one stock split and share buyback plan.,topStory
CAT,Caterpillar Inc,20131022,Caterpillar dealer report offers little hope for 3rd-qtr earnings ,* Asia  Latin America among the once-hot regions now suffering,topStory
CLS,Celestica Inc,20131022,Celestica profit jumps due to strong demand from telcos ,Canadian contract electronics manufacturer Celestica Inc's   third-quarter net profit rose 31 percent  helped by higher demand from telecom companies for its networking equipment.,topStory
CLS,Celestica Inc,20131022,UPDATE 1-Celestica profit jumps due to strong demand from telcos ,Oct 22 Canadian contract electronics manufacturer Celestica Inc's  third-quarter net profit rose 31 percent  helped by higher demand from telecom companies for its networking equipment.,normal
CLS,Celestica Inc,20131022,Celestica's profit rises 31 percent ,Oct 22 Canadian contract electronics manufacturer Celestica Inc  reported a 31 percent rise in third-quarter profit as revenue from its communications and storage business improved.,normal
CX,Cemex SAB de CV,20131022,EU to investigate Holcim  Cemex deal in Germany ,BRUSSELS  Oct 22 European Union antitrust regulators are investigating whether Swiss cement maker Holcim's  proposed takeover of Mexican rival Cemex's  operations in Germany will reduce competition and result in higher prices for consumers.,topStory
CNC,Centene Corporation,20131022,UPDATE 2-Centene raises 2014 revenue growth forecast after contract win ,* Says early to draw conclusions from enrollments at healthcare exchanges,topStory
CHL,China Mobile (Hong Kong) Ltd,20131022,Hong Kong shares fall  China Mobile sinks on Q3 earnings ,HONG KONG  Oct 22 Hong Kong shares slipped on Tuesday from their highest levels in a month  led down by China Mobile after its disappointing third quarterly results kicked off a reporting season for blue chip companies.,topStory
CHL,China Mobile (Hong Kong) Ltd,20131022,Hong Kong shares slip  China Mobile sinks after earnings disappoint ,* China property H-shares rise  A-shares slip after home price data,normal
CHA,China Telecom Corp Ltd,20131022,UPDATE 1-China telecom maker ZTE says to swing into profit in 2013 ,* ZTE guided Q3 net profit at 190-440 mln yuan  Jan-Sep net profit 500-750 mln yuan   (Recasts with profit guidance  adds context  company comment),topStory
CIT,CIT Group Inc (DEL),20131022,UPDATE 1-Lender CIT profit beats estimates as interest expense falls ,* Third-qtr earnings 99 cents/shr vs loss of $1.49 year earlier,topStory
CEO,CNOOC Limited,20131022,UPDATE 3-Petrobras-led group wins Brazil oil auction with minimum bid  many stay away ,* Total  Shell  CNOOC  China National Petroleum join winning bid,topStory
GLW,Corning Incorporated,20131022,Corning to buy out Samsung from LCD JV  signs 10-year supply deal ,Corning Inc said it would buy out Samsung Electronics Co Ltd's stake in their LCD panel joint venture in a deal that could result in the South Korean company taking a 7.4 percent share in the Gorilla Glass maker.,topStory
GLW,Corning Incorporated,20131022,UPDATE 2-Corning to buy out Samsung from LCD JV  signs 10-yr supply deal ,Oct 22 Corning Inc said it would buy out Samsung Electronics Co Ltd's stake in their LCD panel joint venture in a deal that could result in the South Korean company taking a 7.4 percent share in the Gorilla Glass maker.,normal
GLW,Corning Incorporated,20131022,Corning to buy out Samsung from LCD panel JV ,Oct 22 Specialty glass maker Corning Inc  said it would buy out Samsung Electronics Co Ltd's  stake in their LCD panel joint venture  resulting in the South Korean company taking a 7.4 percent shareholding in Corning.,normal
DAL,Delta Air Lines Inc,20131022,Delta posts higher-than-expected profit  says outlook 'solid' ,Delta Air Lines Inc  on Tuesday reported a higher-than-expected quarterly profit as fare increases and strong demand in the United States and Europe boosted revenue  sending its shares up nearly 4 percent to a new year high.,topStory
DAL,Delta Air Lines Inc,20131022,UPDATE 3-Delta posts higher-than-expected profit  says outlook 'solid' ,Oct 22 Delta Air Lines Inc on Tuesday reported a higher-than-expected quarterly profit as fare increases and strong demand in the United States and Europe boosted revenue  sending its shares up nearly 4 percent to a new year high.,normal
DAL,Delta Air Lines Inc,20131022,Delta's refinery turns small profit for first time ,NEW YORK Delta Air Lines Inc's  Pennsylvania oil refinery turned a small profit in the third quarter  the first time since it purchased the plant in 2012 to help trim jet fuel costs  the company said on Tuesday.,normal
DAL,Delta Air Lines Inc,20131022,Delta's refinery turns small profit for first time ,NEW YORK  Oct 22 Delta Air Lines Inc's  Pennsylvania oil refinery turned a small profit in the third quarter  the first time since it purchased the plant in 2012 to help trim jet fuel costs  the company said on Tuesday.,normal
DAL,Delta Air Lines Inc,20131022,Delta posts higher quarterly profit ,Oct 22 Delta Air Lines reported a higher quarterly profit on Tuesday as revenue rose in the seasonally strong summer period.,normal
DBD,Diebold Nixdorf Incorporated,20131022,Diebold settles U.S. bribery charges for $48 million ,Diebold Inc  the largest U.S. provider of automated teller machines  will pay roughly $48.1 million to settle U.S. criminal and civil charges that it bribed bank officials in China and Indonesia and paid bribes in Russia to win business.,topStory
DBD,Diebold Nixdorf Incorporated,20131022,UPDATE 1-Diebold settles U.S. bribery charges for $48 million ,Oct 22 Diebold Inc  the largest U.S. provider of automated teller machines  will pay roughly $48.1 million to settle U.S. criminal and civil charges that it bribed bank officials in China and Indonesia and paid bribes in Russia to win business.,normal
DBD,Diebold Nixdorf Incorporated,20131022,Diebold settles U.S. bribery charges for $48 mln ,Oct 22 Diebold Inc  a maker of automated teller machines and bank security systems  agreed to pay more than $48 million to settle U.S. criminal and civil charges that it bribed officials in foreign countries to win business  the U.S. Securities and Exchange Commission said on Tuesday.,normal
E,ENI SpA,20131022,Deals of the day- Mergers and acquisitions ,(Adds Nokia  BHP Billiton  Ferrovial  EI Towers  Eni SPA  Ferrovial SA),topStory
E,ENI SpA,20131022,UPDATE 1-Eni talks with EnBW over German gas grid JV ,* Eni seeking to sell 50 pct stake in jv - report   (Recasts lead  adds background  sources),normal
E,ENI SpA,20131022,Eni in talks with EnBW over German gas grid JV ,MILAN  Oct 22 Italian oil and gas group Eni  is in talks with German utility EnBW over a possible deal on a joint venture that controls gas grid assets in Germany  a spokesperson for Eni said on Tuesday.,normal
FE,FirstEnergy Corporation,20131022,FirstEnergy to replace steam generators at Ohio Davis-Besse reactor ,Oct 22 U.S. power company FirstEnergy Corp  said it will install two new steam generators in the 894-megawatt Davis-Besse nuclear power plant in Ohio during the plant's spring 2014 refueling outage.,topStory
FCX,Freeport-McMoran Inc,20131022,UPDATE 3-Freeport beats Street  looks at sales but in no rush ,Oct 22 Freeport-McMoRan Copper & Gold Inc  reported better-than-expected third-quarter results on Tuesday  lifting its shares 4 percent  and the company said it was still looking at asset sales but was not under any pressure to do them quickly.,topStory
FCX,Freeport-McMoran Inc,20131022,Freeport beats Street; looking at sales  joint ventures ,Freeport McMoRan Copper & Gold Inc  reported a decline in third-quarter profit on Tuesday as lower metal prices weighed on results  but earnings topped expectations and the company's shares rose in premarket trading.,normal
FCX,Freeport-McMoran Inc,20131022,Freeport profit dips as metal prices fall ,Oct 22 Freeport McMoRan Copper & Gold Inc  reported a decline in quarterly earnings on Tuesday as lower metal prices weighed on results.,normal
GG,Goldcorp Inc,20131022,Goldcorp gets environmental go-ahead for Chile mine ,SANTIAGO Goldcorp has secured the environmental permit it needs to progress with its copper and gold El Morro project in the north of Chile  the Canadian miner said on Tuesday.,topStory
GG,Goldcorp Inc,20131022,Goldcorp gets environmental go-ahead for Chile mine ,SANTIAGO  Oct 22 Goldcorp has secured the environmental permit it needs to progress with its copper and gold El Morro project in the north of Chile  the Canadian miner said on Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20131022,Goldman must pay legal fees for ex-programmer accused of theft ,NEW YORK Goldman Sachs Group Inc  must pay some legal fees incurred by a former computer programmer accused of stealing code from the bank because his title of vice president made him a bank officer at the time  a New Jersey federal judge ruled Tuesday.,topStory
GS,Goldman Sachs Group Inc (The),20131022,UPDATE 1-Goldman must pay legal fees for ex-programmer accused of theft ,NEW YORK  Oct 22 Goldman Sachs Group Inc  must pay some legal fees incurred by a former computer programmer accused of stealing code from the bank because his title of vice president made him a bank officer at the time  a New Jersey federal judge ruled Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20131022,Goldman must pay legal fees for ex-programmer accused of theft ,NEW YORK  Oct 22 Goldman Sachs Group Inc  must pay some legal fees incurred by a former computer programmer accused of stealing code from the bank because his title of vice president made him a bank officer at the time  a New Jersey federal judge ruled Tuesday.,normal
GS,Goldman Sachs Group Inc (The),20131022,Goldman Sachs cuts ownership in UK insurer ,LONDON Goldman Sachs  has sold most of its stake in Rothesay Life  a UK insurer founded and run by one of its former partners  freeing up capital to meet stricter regulatory requirements.,normal
GS,Goldman Sachs Group Inc (The),20131022,REFILE-UPDATE 1-Goldman Sachs cuts ownership in UK insurer ,LONDON  Oct 22 Goldman Sachs has sold most of its stake in Rothesay Life  a UK insurer founded and run by one of its former partners  freeing up capital to meet stricter regulatory requirements.,normal
GS,Goldman Sachs Group Inc (The),20131022,Goldman cuts stake in LEG Immobilien after share sale ,FRANKFURT Goldman Sachs and Perry Capital have cut their stakes in LEG Immobilien  by selling shares worth 289 million euros  the first sale by the major shareholders since the German property group's bourse debut this year.,normal
GS,Goldman Sachs Group Inc (The),20131022,UPDATE 1-Goldman cuts stake in LEG Immobilien after share sale ,* Goldman Sachs and Perry sell after lock-up period expires,normal
HOG,Harley-Davidson Inc,20131022,Harley-Davidson profit rises; shipment forecast unchanged ,Harley-Davidson Inc  reported higher quarterly earnings on Tuesday  lifted by the normal summer surge in motorcycle sales in its key North American market  but it kept the full-year forecast for its global shipments unchanged.,topStory
HOG,Harley-Davidson Inc,20131022,UPDATE 3-Harley-Davidson profit rises; shipment forecast unchanged ,* Strong demand for bikes but top of full-year forecast at risk,normal
HNP,Huaneng Power International Inc,20131022,Hong Kong shares slip  China Mobile sinks after earnings disappoint ,* China property H-shares rise  A-shares slip after home price data,topStory
ITUB,Itau Unibanco Banco Holding SA,20131022,STXNEWS LATAM-Itaú sees merchant acquiring unit regaining lost market share ,Itaú Unibanco Holding SA  Brazil's largest lender by market value  expects to recoup part of the market share lost in the merchant acquiring industry in recent months  now that it finalized the integration of a series de acquisitions in the sector in the lender's banking services platform. Itaú  which last year bought out the stake it did not own of Redecard SA and this year bought card payment processor Credicard from Citigroup Inc  has seen market share in merchant acquiring  or card payment p,topStory
