CAVM,Cavium Inc,20130617,BRIEF-Cavium licenses Imagination Tech architecture ,LONDON  June 17 Imagination Technologies Group PLC  :  * Signs license agreement with cavium for imagination's latest mipsr5,topStory
NFLX,Netflix Inc,20130617,Netflix boosts original programing with DreamWorks deal ,Video streaming service Netflix Inc is beefing up its original programing menu through a multi-year deal with DreamWorks Animation SKG Inc  the maker of movies such as Shrek  Madagascar and Kung Fu Panda. | Video ,normal
NFLX,Netflix Inc,20130617,US STOCKS-Wall St gains as investors bet on Fed support ,* Indexes up: Dow 0.7 pct  S&P 500 0.6 pct  Nasdaq 0.8 pct,normal
NFLX,Netflix Inc,20130617,UPDATE 4-Netflix boosts original programming with DreamWorks deal ,June 17 Video streaming service Netflix Inc  signed an exclusive multiyear deal for a slate of new TV series from "Shrek" creator DreamWorks Animation  deepening its push into original programming to stand apart from Internet competitors.,normal
NFLX,Netflix Inc,20130617,REFILE-US STOCKS-Wall St rebounds from last week  climbs on Fed expectations ,* Indexes up: Dow 1.1 pct; S&P 500 1 pct; Nasdaq up 1.2 pct,normal
NFLX,Netflix Inc,20130617,US STOCKS-Wall Street gains on Fed hopes after weekly loss ,NEW YORK  June 17 U.S. stocks rose 1 percent early on Monday  with traders focused on expectations the Federal Reserve will reinforce this week its commitment to supporting the economic recovery.,normal
NFLX,Netflix Inc,20130617,US STOCKS-Wall Street set to rise after weekly loss  Fed eyed ,NEW YORK  June 17 U.S. stocks were set to rise at the open on Monday after major indexes on Friday closed their third negative week in four  with traders focused on expectations the Federal Reserve will reinforce its commitment to supporting the economic recovery.,normal
NFLX,Netflix Inc,20130617,REFILE-Netflix  DreamWorks sign original content deal ,June 17 Netflix Inc and DreamWorks Animation SKG Inc said they had signed a multi-year deal for a new original series.,normal
SHLD,Sears Holdings Corporation,20130617,Orchard Supply files for bankruptcy  Lowe's steps in ,Orchard Supply Hardware Stores Corp   spun off by Sears Holdings Corp  less than two years ago  has filed for Chapter 11 bankruptcy protection partly blaming hefty dividends paid out to its former parent.,topStory
SHLD,Sears Holdings Corporation,20130617,UPDATE 3-Orchard Supply files for bankruptcy  Lowe's steps in ,* Orchard's total liabilities $480.1 mln; total assets $441 mln,normal
SKYW,SkyWest Inc,20130617,Embraer launches next E-Jets to strong demand  SkyWest orders up to $9.4 billion ,PARIS Brazilian planemaker Embraer SA  launched a bigger and more efficient lineup of commercial E-Jets at the Paris Airshow  with a robust show of demand as it pushed deeper into a segment that rival Bombardier had staked out with its new narrow-body CSeries.,topStory
SKYW,SkyWest Inc,20130617,AIRSHOW-UPDATE 2-Embraer launches next E-Jets to strong demand  SkyWest orders up to $9.4 bln ,* Firm order for 100 E-175 jets from SkyWest     * Embraer shares up 5.87 pct  highest in 6 years     * E-Jet overhaul to cost $1.7 billion over eight years       By Brad Haynes     PARIS  June 17 Brazilian planemaker Embraer SA  launched a bigger and more efficient lineup of commercial E-Jets at the Paris Airshow  with a robust show of demand as it pushed deeper into a segment that rival Bombardier had staked out with its new narrow-body CSeries.     The world's largest regional air,normal
SKYW,SkyWest Inc,20130617,Embraer wins up to 365 potential next-gen E-Jet orders ,PARIS Brazilian planemaker Embraer  unveiled up to 365 potential orders for its revamped E-Jet aircraft at the Paris Airshow on Monday  including a firm order for 100 E-175s from U.S. company SkyWest Inc .,normal
SKYW,SkyWest Inc,20130617,AIRSHOW-Embraer to announce SkyWest  ILFC orders-source ,PARIS  June 17 Regional airline operator SkyWest  will be the launch customer for Embraer's  second-generation E-Jets with an order for 100 aircraft on Monday  according to a source with knowledge of the deal.,normal
CG,The Carlyle Group LP,20130617,Carlyle plans more CLOs as closes 350 mln euro fund ,LONDON  June 17 Private equity firm The Carlyle Group said on Monday it had raised a 350 million euro ($467.16 million) Collateralized Loan Obligation (CLO) fund to invest in European bank loans.,topStory
TCGP,The Carlyle Group LP,20130617,Carlyle plans more CLOs as closes 350 mln euro fund ,LONDON  June 17 Private equity firm The Carlyle Group said on Monday it had raised a 350 million euro ($467.16 million) Collateralized Loan Obligation (CLO) fund to invest in European bank loans.,topStory
VOD,Vodafone Group Plc,20130617,Britain's FTSE rises  lifted by demand for defensives ,LONDON  June 17 Britain's top share index rose on Monday  as demand for safe-haven consumer staples helped to lift the FTSE 100 off of six week lows ahead of a U.S. monetary policy meeting later this week.,topStory
ASH,Ashland Global Holdings Inc,20130617,BRIEF-UPM-Kymmene and Ashland to study biofibrils use ,HELSINKI  June 17 Ashland Inc :  * UPM and Ashland Inc to collaborate on application development for UPM,topStory
AZN,Astrazeneca PLC,20130617,BRIEF-AstraZeneca's MedImmune  NGM Biopharmaceuticals in deal to develop therapies for diabetes and obesity ,LONDON  June 17 AstraZeneca PLC :  * Medimmune NGM Biopharmaceuticals announce agreement to discover and develop,topStory
T,AT&T Inc,20130617,Deals of the day -- mergers and acquisitions ,June 17 The following bids  mergers  acquisitions and disposals were reported by 2000 GMT on Monday:,topStory
T,AT&T Inc,20130617,Telefonica denies report of $93 billion offer from AT&T ,MADRID Telefonica  said on Monday it had not received any indication of interest from AT&T   following a Spanish newspaper report that the government had halted a 70 billion-euro ($93 billion) offer from the U.S. company.,normal
BA,Boeing Company (The),20130617,Qatar mulls being launch customer for 777 upgrade ,PARIS Qatar Airways is talking to Boeing  about being a launch customer for a successor to its mini-jumbo  the 406-seat 777-9X  Chief Executive Akbar Al Baker said at the Paris Airshow on Monday.,topStory
BA,Boeing Company (The),20130617,AIRSHOW-UPDATE 1-Qatar mulls being launch customer for 777 upgrade ,PARIS  June 17 Qatar Airways is talking to Boeing about being a launch customer for a successor to its mini-jumbo  the 406-seat 777-9X  Chief Executive Akbar Al Baker said at the Paris Airshow on Monday.,normal
BA,Boeing Company (The),20130617,Boeing wins $354 million upgrade for French AWACS planes ,PARIS Boeing Co  on Monday said it had won a contract valued at $354 million for a major upgrade of four French E-3F Airborne Warning and Control System (AWACS) aircraft.,normal
BA,Boeing Company (The),20130617,AIRSHOW-Boeing wins $354 mln upgrade for French AWACS planes ,PARIS  June 17 Boeing Co on Monday said it had won a contract valued at $354 million for a major upgrade of four French E-3F Airborne Warning and Control System (AWACS) aircraft.,normal
BA,Boeing Company (The),20130617,AIRSHOW-WRAPUP 1-Orders for big jets make a splash in Paris ,PARIS  June 17 Big finance waded into a rain-soaked Paris Airshow with more than $10 billion in orders for jumbo passenger jets as planemakers duelled over strategy for large aircraft on Monday.,normal
BA,Boeing Company (The),20130617,Boeing executive sees 100-200 international tanker sales ,PARIS Chris Chadwick  president of Boeing's  military aircraft division  said the company could sell 100 to 200 of its KC-46 refueling tankers to international customers in coming years.,normal
BA,Boeing Company (The),20130617,AIRSHOW-Boeing executive sees 100-200 international tanker sales ,PARIS  June 17 Chris Chadwick  president of Boeing's military aircraft division  said the company could sell 100 to 200 of its KC-46 refueling tankers to international customers in coming years.,normal
BA,Boeing Company (The),20130617,Qatar Airways buys up to nine Boeing 777-300ER ,PARIS Qatar Airways has signed an agreement to buy up to nine Boeing  777-300ER aircraft valued at $2.8 billion at list prices  the airline said at the Paris Airshow on Monday.,normal
BA,Boeing Company (The),20130617,AIRSHOW-Leasing company GECAS to order Boeing 787-10X ,PARIS  June 17 GECAS  the aircraft leasing arm of General Electric  has committed to buying 10 Boeing  787-10X aircraft pending the launch of the extended variant of the plane  the company said at the Paris Airshow on Monday.,normal
BA,Boeing Company (The),20130617,AIRSHOW-SkyMark Airlines says to order Boeing 737 MAX planes ,PARIS  June 17 Japan's SkyMark Airlines  has signed an agreement to buy at least four Boeing 737 MAX aircraft  the company said at the Paris Airshow on Monday.,normal
CHK,Chesapeake Energy Corporation,20130617,Chesapeake hires former SEC lawyer as compliance officer ,HOUSTON Chesapeake Energy Corp  on Monday named as chief compliance officer a lawyer the oil and gas company had previously hired to respond to an investigation by the Securities and Exchange Commission.,topStory
CHK,Chesapeake Energy Corporation,20130617,Chesapeake hires former SEC lawyer as compliance officer ,HOUSTON  June 17 Chesapeake Energy Corp  on Monday named as chief compliance officer a lawyer the oil and gas company had previously hired to respond to an investigation by the U.S. Securities and Exchange Commission.,normal
CVX,Chevron Corporation,20130617,U.S. gives Tesoro green light to buy Chevron assets ,WASHINGTON Oil refiner Tesoro Corp won approval from U.S. antitrust regulators to buy Northwest Products Pipeline system and related assets from Chevron Corp  on the condition it sells a petroleum terminal in Boise  Idaho.,topStory
CVX,Chevron Corporation,20130617,Tesoro to sell Boise petroleum terminal to win US deal approval ,WASHINGTON  June 17 U.S. antitrust regulators have given oil refiner Tesoro Corp and its logistics subsidiary approval to buy Northwest Products Pipeline system and related assets from Chevron Corp  on the condition that its sells a petroleum terminal in Boise  Idaho  the Federal Trade Commission said on Monday.,normal
CVX,Chevron Corporation,20130617,Chevron jumbo gets US high-grade market off to strong start ,June 17 (IFR) - Chevron Corp on Monday kicked off the week for the US primary high-grade market with a six-part deal expected to be sized at about USD5bn.,normal
C,Citigroup Inc,20130617,Nigeria hires Citi and Deutsche Bank ahead of potential Eurobond ,LONDON  June 17 (IFR) - The Federal Republic of Nigeria  rated BB-/BB-  has appointed Citigroup and Deutsche Bank to arrange a series of fixed income investor meetings ahead of a potential Eurobond issue  according to a market source.,topStory
