ADXS,Advaxis Inc,20131209,BRIEF-Advaxis up 22 pct premarket; signs license deal with Global BioPharma to develop ADXS-HPV in Asia ,NEW YORK  Dec 9 Advaxis Inc :  * Up 22 percent to $4.38 in premarket; signs license deal with Global bioPharma to develop,topStory
QCOM,QUALCOMM Incorporated,20131209,Qualcomm plans smartphone chips with 64-bit technology ,SAN FRANCISCO Qualcomm Inc said on Monday it will make smartphone chips with 64-bit features typically found in personal computers  following Apple Inc and opening the way to more efficient mobile gadgets.,topStory
QCOM,QUALCOMM Incorporated,20131209,Qualcomm plans smartphone chips with 64-bit technology ,SAN FRANCISCO  Dec 9 Qualcomm Inc said on Monday it will make smartphone chips with 64-bit features typically found in personal computers  following Apple Inc  and opening the way to more efficient mobile gadgets.,normal
SPEX,Spherix Incorporated,20131209,BRIEF-Spherix up 12.7 percent premarket ,NEW YORK  Dec 9 Spherix Inc :  * Up 12.7 percent to $9.85 in premarket,topStory
TXN,Texas Instruments Incorporated,20131209,Texas Instruments narrows quarterly forecast in slow economy ,SAN FRANCISCO Chipmaker Texas Instruments Inc  narrowed its fourth-quarter forecast on Monday following concerns on Wall Street that demand was not improving as much as previously expected.,topStory
TXN,Texas Instruments Incorporated,20131209,UPDATE 2-Texas Instruments narrows quarterly forecast in slow economy ,SAN FRANCISCO  Dec 9 Chipmaker Texas Instruments Inc narrowed its fourth-quarter forecast on Monday following concerns on Wall Street that demand was not improving as much as previously expected.,normal
TXN,Texas Instruments Incorporated,20131209,Texas Instruments narrows quarterly forecast ,SAN FRANCISCO  Dec 9 Chipmaker Texas Instruments Inc narrowed its fourth-quarter forecast on Monday following concerns on Wall Street that demand was not improving as much as previously expected.,normal
CG,The Carlyle Group LP,20131209,Carlyle  Farallon bet on China funeral growth with Hong Kong IPO ,HONG KONG Carlyle Group LP   hedge fund firm Farallon Investors and China Cinda have agreed to buy $45 million worth of shares in Fu Shou Yuan International Group Ltd as China's largest provider of death-care services seeks up to $215 million in a Hong Kong IPO.,topStory
CG,The Carlyle Group LP,20131209,CORRECTED-UPDATE 1-Carlyle  Farallon bet on China funeral growth with HK IPO ,(Corrects second paragraph to say Carlyle executives visited the company in 2010  not last year),normal
TCGP,The Carlyle Group LP,20131209,Carlyle  Farallon bet on China funeral growth with Hong Kong IPO ,HONG KONG Carlyle Group LP   hedge fund firm Farallon Investors and China Cinda have agreed to buy $45 million worth of shares in Fu Shou Yuan International Group Ltd as China's largest provider of death-care services seeks up to $215 million in a Hong Kong IPO.,topStory
TCGP,The Carlyle Group LP,20131209,CORRECTED-UPDATE 1-Carlyle  Farallon bet on China funeral growth with HK IPO ,(Corrects second paragraph to say Carlyle executives visited the company in 2010  not last year),normal
UTHR,United Therapeutics Corporation,20131209,United Therapeutics receives subpoena for 3 drugs ,United Therapeutics Corp said it received a subpoena from the U.S. Department of Health and Human Services regarding marketing practices used to sell three of its drugs to treat pulmonary arterial hypertension (PAH).,topStory
UTHR,United Therapeutics Corporation,20131209,United Therapeutics receives subpoena for 3 drugs ,Dec 9 United Therapeutics Corp said it received a subpoena from the U.S. Department of Health and Human Services regarding marketing practices used to sell three of its drugs to treat pulmonary arterial hypertension (PAH).,normal
VOD,Vodafone Group Plc,20131209,UPDATE 1-Vodafone drags Britain's FTSE 100 higher ,* Gains in Vodafone enable FTSE to end in positive territory,topStory
VOD,Vodafone Group Plc,20131209,Growth to fuel 2014 jump in UK company cash calls - study ,LONDON  Dec 9 The number of UK companies that ask shareholders for more money is set to rise by almost a third in 2014 as a brighter economic outlook encourages more firms to expand their operations.,normal
YRCW,YRC Worldwide Inc,20131209,Trucker YRC to save up to $100 million if union approves contract ,Struggling trucker YRC Worldwide Inc  said it expected annual savings of up to $100 million if union members vote to extend the employment of about 26 000 workers until March 2019.,topStory
YRCW,YRC Worldwide Inc,20131209,Trucker YRC to save up to $100 mln if union approves contract ,Dec 9 Struggling trucker YRC Worldwide Inc  said it expected annual savings of up to $100 million if union members vote to extend the employment of about 26 000 workers until March 2019.,normal
ANF,Abercrombie & Fitch Company,20131209,Abercrombie rejects shareholder call; extends CEO contract ,Struggling teen apparel retailer Abercrombie & Fitch Co  said it will extend Chief Executive Mike Jeffries' contract by at least a year after it expires in February  days after a shareholder urged the company to replace him.,topStory
ANF,Abercrombie & Fitch Company,20131209,UPDATE 2-Abercrombie rejects shareholder call; extends CEO contract ,(Adds statement from Engaged Capital; updates share movement),normal
ANF,Abercrombie & Fitch Company,20131209,Abercrombie rejects shareholder call; extends CEO contract ,Struggling teen apparel retailer Abercrombie & Fitch Co  said it will extend Chief Executive Mike Jeffries contract by a year  days after a shareholder urged the company to replace him.,normal
ANF,Abercrombie & Fitch Company,20131209,Abercrombie rejects shareholder call; extends CEO contract ,Dec 9 Struggling teen apparel retailer Abercrombie & Fitch Co said it will extend Chief Executive Mike Jeffries contract by a year  days after a shareholder urged the company to replace him.,normal
AEP,American Electric Power Company Inc,20131209,AEP venture completes Texas CREZ power transmission lines ,Dec 9 U.S. power company American Electric Power Co Inc said on Monday its Electric Transmission Texas venture energized the last of seven transmission line projects associated with the Competitive Renewable Energy Zones (CREZ) in west Texas.,topStory
BCS,Barclays PLC,20131209,Barclays favors nickel in 2014  bearish on gold and oil ,* Brent seen averaging $101 a barrel in Q1 vs about $110 now,topStory
ABX,Barrick Gold Corporation,20131209,CANADA STOCKS-TSX rises on U.S.  Canada data; banks  miners gain ,* TSX rises 32.06 points  or 0.24 percent  to 13 312.78     * Five of 10 main index sectors advance     * RBC plays biggest role in pushing index higher     * Barrick  Yamana Gold climb with bullion prices      By John Tilak     TORONTO  Dec 9 Canada's main stock index climbed on Monday as data from the United States and China suggested growth in the world's two biggest economies was starting to gather steam.     The Toronto market advanced for a second straight session  with bank an,topStory
ABX,Barrick Gold Corporation,20131209,CANADA STOCKS-TSX climbs on signals of strength from China  U.S. ,* TSX rises 59.22 points  or 0.45 percent  to 13 339.94     * Seven of the 10 main index sectors advance     * RBC plays biggest role in pushing index higher     * Barrick  Goldcorp climb with bullion prices      By John Tilak     TORONTO  Dec 9 Canada's main stock index rose on Monday after positive Chinese economic signals helped push up some commodity prices and a strong U.S. jobs report on Friday suggested stability in the world's biggest economy.     Seven of the 10 main sectors,normal
BBL,BHP Billiton plc,20131209,RPT-UPDATE 1-BHP to pay 41 pct more to China copper smelters in H1 charges-sources ,* H1 TC/RCs settled at $99 per tonne and 9.9 cents per pound,topStory
BBL,BHP Billiton plc,20131209,BRIEF-BHP Billiton confirms production  spending guidance ,Dec 9 Bhp Billiton PLC :  * Production guidance remains unchanged  * To deliver growth of 16 per cent  in copper equivalent terms  over the next 2,normal
BBL,BHP Billiton plc,20131209,UPDATE 1-BHP to pay 41 pct more to China copper smelters in H1 charges-sources ,* H1 TC/RCs settled at $99 per tonne and 9.9 cents per pound,normal
BA,Boeing Company (The),20131209,Boeing must decide on F/A-18 production in March 2014: executive ,NAVAL AIR STATION PATUXENT RIVER  Maryland Boeing Co  must decide in March 2014 whether to invest tens of millions of dollars to continue production of the F/A-18 fighter jet  a senior Boeing executive said on Monday  underscoring his confidence that sufficient orders would emerge to keep the plane in production until beyond 2020.,topStory
BA,Boeing Company (The),20131209,Boeing must decide on F/A-18 production in March 2014-executive ,NAVAL AIR STATION PATUXENT RIVER  Maryland  Dec 9 (Reuters) - B oeing Co must decide in March 2014 whether to invest tens of millions of dollars to continue production of the F/A-18 fighter jet  a senior Boeing executive said on Monday  underscoring his confidence that sufficient orders would emerge to keep the plane in production until beyond 2020.,normal
BA,Boeing Company (The),20131209,REFILE-Small steps to Mars are a big leap for Indian companies ,* Go-it-alone ethic  local engineers give a boost to domestic firms,normal
BSX,Boston Scientific Corporation,20131209,FDA looks again at Boston Scientific anti-stroke device ,U.S. Food and Drug Administration staff reviewing data on Boston Scientific Corp's novel anti-stroke device highlighted the implant's failure to meet a key goal for effectiveness in a recent study but said on Monday that other data must be weighed in deciding whether it should be approved.,topStory
BSX,Boston Scientific Corporation,20131209,Data mixed on Boston Scientific anti-stroke device -FDA staff ,Dec 9 Boston Scientific Corp's  anti-stroke device did not meet one measure of success in a clinical study of the implant  but other data must be considered when determining overall safety and effectiveness  staff members of the U.S. Food and Drug Administration stressed on Monday.,normal
BSX,Boston Scientific Corporation,20131209,BRIEF-FDA stresses Boston Scientific anti-stroke device did not meet non-inferiority goal in study ,CHICAGO  Dec 9 Boston Scientific Corp :  * FDA emphasizes Boston Scientific anti-stroke device did not meet,normal
BAK,Braskem SA,20131209,EMERGING MARKETS-Brazil stocks extend rally  Braskem plunges ,* Brazil Bovespa gains 0.47 pct  Mexico IPC up 1.21 pct      SAO PAULO  Dec 9 Brazilian stocks rose for the third straight session on Monday following better than expected Chinese economic data  though shares of chemical maker Braskem SA dropped after the company said it is renegotiating a key contract.     Mexico's IPC index rose its most in over a week on optimism over an energy reform bill  while Chile's bourse  was little-changed.     China's exports handily beat forecasts in Nov,topStory
BMY,Bristol-Myers Squibb Company,20131209,Bristol drug for fat disorder may work  but risky -FDA staff ,Dec 9 An experimental Bristol-Myers drug to treat rare and potentially fatal disorders involving loss of body fat appears effective for some patients although with considerable safety risks  staff members of the U.S. Food and Drug Administration said on Monday.,topStory
BVN,Buenaventura Mining Company Inc,20131209,Peru silver mine strike ends after state intervention ,LIMA  Dec 9 Operations at Peru's Uchucchacua silver mine resumed over the weekend after the government ordered an end to a three-day strike  parent company Buenaventura said on Monday.,topStory
DB,Deutsche Bank AG,20131209,MOVES-Deutsche Bank  Jupiter Fund  Macquarie  RBC Capital ,Dec 9 The following financial services industry appointments were announced on Monday. To inform us of other job changes  email to moves@thomsonreuters.com.,topStory
DB,Deutsche Bank AG,20131209,Deutsche Bank creates new post to tighten controls ,FRANKFURT  Dec 9 Deutsche Bank  created a new senior position to govern compliance and risk management throughout the group and named a top McKinsey consultant to fill it  less than a week after EU officials fined Deutsche and other banks for rigging interest rates.,normal
EC,Ecopetrol SA,20131209,UPDATE 2-Ecopetrol  Talisman announce large oil find in Colombia ,BOGOTA  Dec 9 Colombian state-owned oil company Ecopetrol and Canada's Talisman Energy Inc  said on Monday they had discovered an estimated 1.3 billion barrels of oil in southeastern Colombia and that about a tenth of it was likely to be recoverable.,topStory
EC,Ecopetrol SA,20131209,Ecopetrol  Talisman say Colombia oil area commercially viable ,BOGOTA  Dec 9 Colombia's state-owned oil company Ecopetrol and Canada's Talisman Energy say the Akacias CPO-09 onshore oil area in the southeastern province of Meta which they have been exploring jointly  is commercially viable.,normal
ETR,Entergy Corporation,20131209,Entergy Arkansas nuclear reactor offline after transformer fire ,U.S. power company Entergy Corp said on Monday a 989-megawatt Unit 2 at its Arkansas nuclear power plant is offline after a transformer fire earlier this morning.,topStory
ETR,Entergy Corporation,20131209,Entergy Arkansas 2 nuclear reactor off line after transformer fire ,Dec 9 U.S. power company Entergy Corp  said Monday its 989-megawatt Unit 2 a the Arkansas nuclear power plant is off line after a transformer fire Monday morning.,normal
ESS,Essex Property Trust Inc,20131209,Essex offers to buy BRE Properties for about $4.48 billion ,Essex Property Trust Inc   a manager of residential properties on the U.S. West Coast  offered to buy BRE Properties Inc  for about $4.48 billion in stock and cash.,topStory
ESS,Essex Property Trust Inc,20131209,Essex offers to buy BRE Properties for about $4.48 bln ,Dec 9 Essex Property Trust Inc  a manager of residential properties on the U.S. West Coast  offered to buy BRE Properties Inc for about $4.48 billion in stock and cash.,normal
FCX,Freeport-McMoran Inc,20131209,UPDATE 1-Indonesia trying to skirt its own ban on mineral exports ,JAKARTA  Dec 9 Indonesia's government is still seeking a way around a mineral ore export ban that the country's parliament insists remains in place  chief economic minister Hatta Rajasa said on Monday  as mining investors held out for a breakthrough.,topStory
GFA,Gafisa SA,20131209,STXNEWS LATAM-Unit of Brazil's Gafisa to buy up to 32.9 mln Gafisa shares ,RIO DE JANEIRO  Dec 9 Brazilian homebuilder Gafisa SA in a securities filing Monday said that Construtora Tenda SA  one of its units  would buy up to 32.9 million Gafisa shares at market prices on the Sao Paulo stock exchange.,topStory
GEH,General Electric Capital Corporation,20131209,Ex-GE bankers freed  U.S. too slow to charge bid rigging -court ,NEW YORK  Dec 9 A federal appeals court said the U.S. government had waited too long to prosecute three former General Electric Co bankers for conspiring to defraud cities in a municipal bond bid rigging scheme  and ordered the case to be dismissed.,topStory
GEK,General Electric Capital Corporation,20131209,Ex-GE bankers freed  U.S. too slow to charge bid rigging -court ,NEW YORK  Dec 9 A federal appeals court said the U.S. government had waited too long to prosecute three former General Electric Co bankers for conspiring to defraud cities in a municipal bond bid rigging scheme  and ordered the case to be dismissed.,topStory
GE,General Electric Company,20131209,Ex-GE bankers freed  U.S. too slow to charge bid rigging -court ,NEW YORK  Dec 9 A federal appeals court said the U.S. government had waited too long to prosecute three former General Electric Co bankers for conspiring to defraud cities in a municipal bond bid rigging scheme  and ordered the case to be dismissed.,topStory
GEB,General Electric Company,20131209,Ex-GE bankers freed  U.S. too slow to charge bid rigging -court ,NEW YORK  Dec 9 A federal appeals court said the U.S. government had waited too long to prosecute three former General Electric Co bankers for conspiring to defraud cities in a municipal bond bid rigging scheme  and ordered the case to be dismissed.,topStory
GM,General Motors Company,20131209,U.S. exits GM stake  taxpayers lose $10 billion ,WASHINGTON The U.S. government sold its last shares of automaker General Motors Co  on Monday  marking an end to a historic bailout of one of America's most storied companies.,topStory
GM,General Motors Company,20131209,UPDATE 2-U.S. exits GM stake  taxpayers lose $10 billion ,WASHINGTON  Dec 9 The U.S. government sold its last shares of automaker General Motors Co on Monday  marking an end to a historic bailout of one of America's most storied companies.,normal
GM,General Motors Company,20131209,U.S. exits GM stake  taxpayers lose about $10 billion ,WASHINGTON  Dec 9 The U.S. government sold its last shares in General Motors Co on Monday  leaving taxpayers saddled with a total shortfall of about $10 billion on the automaker's 2009 bailout.,normal
GM,General Motors Company,20131209,Auto bailout saved 1.5 million U.S. jobs: study ,DETROIT The federal bailout of General Motors Co   Chrysler and parts suppliers in 2009 saved 1.5 million U.S. jobs and preserved $105.3 billion in personal and social insurance tax collections  according to a study released on Monday.,normal
GM,General Motors Company,20131209,Auto bailout saved 1.5 million U.S. jobs -study ,DETROIT  Dec 9 The federal bailout of General Motors Co  Chrysler and parts suppliers in 2009 saved 1.5 million U.S. jobs and preserved $105.3 billion in personal and social insurance tax collections  according to a study released on Monday.,normal
GG,Goldcorp Inc,20131209,UPDATE 1-Goldcorp says Mexican land group threatens Canada suit ,TORONTO/MEXICO CITY  Dec 9 Goldcorp Inc  said on Monday a group challenging its use of lands around its Peñasquito mine in Mexico is threatening to sue the company in Canada.,topStory
GG,Goldcorp Inc,20131209,CANADA STOCKS-TSX climbs on signals of strength from China  U.S. ,* TSX rises 59.22 points  or 0.45 percent  to 13 339.94     * Seven of the 10 main index sectors advance     * RBC plays biggest role in pushing index higher     * Barrick  Goldcorp climb with bullion prices      By John Tilak     TORONTO  Dec 9 Canada's main stock index rose on Monday after positive Chinese economic signals helped push up some commodity prices and a strong U.S. jobs report on Friday suggested stability in the world's biggest economy.     Seven of the 10 main sectors,normal
GG,Goldcorp Inc,20131209,Goldcorp says Mexico land group threatens to sue it in Canada ,TORONTO  Dec 9 Goldcorp Inc said on Monday a group challenging its use of lands around its Peñasquito mine in Mexico is threatening to sue the company in Canada.,normal
GS,Goldman Sachs Group Inc (The),20131209,Goldman Sachs strategists tout stocks in 2014 on better growth ,NEW YORK Economic growth in developed economies will accelerate next year and investors should buy U.S. stocks  partly on the likelihood that central banks' monetary policies will remain accommodative  Goldman Sachs strategists said on a webcast Monday.,topStory
GS,Goldman Sachs Group Inc (The),20131209,Goldman Sachs strategists tout stocks in 2014 on better growth ,NEW YORK  Dec 9 Economic growth in developed economies will accelerate next year and investors should buy U.S. stocks  partly on the likelihood that central banks' monetary policies will remain accommodative  Goldman Sachs  strategists said on a webcast Monday.,normal
GS,Goldman Sachs Group Inc (The),20131209,Ex-Goldman Sachs banker jailed in UK in Nigerian corruption case ,LONDON Former Goldman Sachs banker Elias Preko was sentenced to 4-1/2 years in prison by a London court on Monday for laundering $5 million on behalf of James Ibori  the former governor of Nigeria's oil-producing state of Delta.,normal
GS,Goldman Sachs Group Inc (The),20131209,Ex-Goldman Sachs banker jailed in UK in Nigerian corruption case ,LONDON  Dec 9 Former Goldman Sachs banker Elias Preko was sentenced to 4-1/2 years in prison by a London court on Monday for laundering $5 million on behalf of James Ibori  the former governor of Nigeria's oil-producing state of Delta.,normal
GS,Goldman Sachs Group Inc (The),20131209,DIARY-U.S. MEETINGS/WEEK AHEAD ,THOMSON REUTERS  Dec 09 2013 - Corporate Meetings for US companies for Week ahead.         S&P 500 Earnings - Weekly           S&P 500 Earnings - Day Ahead        Non S&P 500 - Weekly               Non S&P 500 - Day Ahead             ConferenceCall/Webcast - Weekly    ConferenceCall/Webcast - Day        S&P 500 Earnings - Monthly           Meetings - Day Ahead                Economic Indicators                  Dividends                           Daily earnings hits & misses         Federal Rese,normal
HSBC,HSBC Holdings plc,20131209,HSBC plays down prospect of listing UK banking arm ,LONDON HSBC  played down a report on Monday that it was considering listing a third of its British retail and commercial banking arm in order to meet UK regulation and unlock value for shareholders.,topStory
HSBC,HSBC Holdings plc,20131209,UPDATE 2-HSBC plays down prospect of listing UK banking arm ,* HSBC considering floating up to 30 pct of UK business -FT,normal
HSBC,HSBC Holdings plc,20131209,HSBC considering listing UK banking arm: FT ,LONDON HSBC Holdings Plc  is considering floating up to 30 percent of its British retail and commercial banking arm to help meet UK regulation and unlock value for shareholders  the Financial Times said on Monday.,normal
HSBC,HSBC Holdings plc,20131209,HSBC considers floating UK banking business -FT ,Dec 9 HSBC Holdings Plc is considering the flotation of up to 30 percent of its British retail and commercial banking arm  the Financial Times reported  a move that would help it cope with planned new rules that demand that British banks ringfence their retail arms.,normal
HSEA,HSBC Holdings plc,20131209,HSBC plays down prospect of listing UK banking arm ,LONDON HSBC  played down a report on Monday that it was considering listing a third of its British retail and commercial banking arm in order to meet UK regulation and unlock value for shareholders.,topStory
HSEA,HSBC Holdings plc,20131209,UPDATE 2-HSBC plays down prospect of listing UK banking arm ,* HSBC considering floating up to 30 pct of UK business -FT,normal
HSEA,HSBC Holdings plc,20131209,HSBC considering listing UK banking arm: FT ,LONDON HSBC Holdings Plc  is considering floating up to 30 percent of its British retail and commercial banking arm to help meet UK regulation and unlock value for shareholders  the Financial Times said on Monday.,normal
HSEA,HSBC Holdings plc,20131209,HSBC considers floating UK banking business -FT ,Dec 9 HSBC Holdings Plc is considering the flotation of up to 30 percent of its British retail and commercial banking arm  the Financial Times reported  a move that would help it cope with planned new rules that demand that British banks ringfence their retail arms.,normal
HSEB,HSBC Holdings plc,20131209,HSBC plays down prospect of listing UK banking arm ,LONDON HSBC  played down a report on Monday that it was considering listing a third of its British retail and commercial banking arm in order to meet UK regulation and unlock value for shareholders.,topStory
HSEB,HSBC Holdings plc,20131209,UPDATE 2-HSBC plays down prospect of listing UK banking arm ,* HSBC considering floating up to 30 pct of UK business -FT,normal
HSEB,HSBC Holdings plc,20131209,HSBC considering listing UK banking arm: FT ,LONDON HSBC Holdings Plc  is considering floating up to 30 percent of its British retail and commercial banking arm to help meet UK regulation and unlock value for shareholders  the Financial Times said on Monday.,normal
HSEB,HSBC Holdings plc,20131209,HSBC considers floating UK banking business -FT ,Dec 9 HSBC Holdings Plc is considering the flotation of up to 30 percent of its British retail and commercial banking arm  the Financial Times reported  a move that would help it cope with planned new rules that demand that British banks ringfence their retail arms.,normal
JPM,J P Morgan Chase & Co,20131209,Republican SEC member blasts $13 billion JPMorgan settlement ,A Republican member of the U.S. Securities and Exchange Commission blasted other government regulators on Monday for requiring JPMorgan Chase & Co to pay $13 billion to resolve allegations of mortgage misdeeds tied to the financial crisis.,topStory
JPM,J P Morgan Chase & Co,20131209,US Republican SEC member blasts $13 bln JPMorgan settlement ,Dec 9 A Republican member of the U.S. Securities and Exchange Commission blasted other government regulators on Monday for requiring JPMorgan Chase & Co to pay $13 billion to resolve allegations of mortgage misdeeds tied to the financial crisis.,normal
KKR,KKR & Co LP,20131209,KKR  Bain among bidders for Tyco's $1.6 billion South Korea unit: sources ,HONG KONG KKR & Co LP  and Bain Capital are among suitors which have placed initial bids for Tyco International Inc's  South Korean security systems unit  a business valued at about $1.6 billion  people familiar with the matter said.,topStory
KKR,KKR & Co LP,20131209,UPDATE 1-KKR  Bain among bidders for Tyco's $1.6 bln S.Korea unit -sources ,* S.Korea security systems unit worth around $1.6 bln -sources,normal
KKR,KKR & Co LP,20131209,KKR  CVC place bids for Tyco's S.Korean unit -sources ,HONG KONG  Dec 9 Buyout firms KKR & Co LP  and CVC Capital Partners are among the suitors that have placed preliminary bids for U.S.-based Tyco International Inc's South Korean unit  a business valued at about $1.6 billion  people familiar with the matter said.,normal
LYG,Lloyds Banking Group Plc,20131209,UPDATE 1-Lloyds to sell remaining stake in St James's Place ,LONDON  Dec 9 Lloyds Banking Group said it would bolster its capital by selling its remaining 21 percent stake in wealth manager St James's Place  worth about 700 million pounds ($1.15 billion).,topStory
LYG,Lloyds Banking Group Plc,20131209,Lloyds to sell remaining stake in St James's Place ,LONDON Lloyds Banking Group  said on Monday it would sell its remaining 21 percent stake in wealth manager St James's Place  to bolster its capital.,normal
LYG,Lloyds Banking Group Plc,20131209,Lloyds to sell remaining stake in St James's Place ,LONDON  Dec 9 Lloyds Banking Group said on Monday it would sell its remaining 21 percent stake in wealth manager St James's Place to bolster its capital.,normal
LYG,Lloyds Banking Group Plc,20131209,Lloyds sells UK real estate loans to Cerberus ,LONDON  Dec 9 Lloyds Banking Group said on Monday it had agreed to sell a portfolio of British corporate real estate loans to an entity affiliated with Cerberus European Investments for 90 million pounds ($147 million) in cash.,normal
